SED_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED24504,547,439,988,43,19,62,8,0,8,10,10,22,17,5,24,9266,7649,16914,442,510,948,255,9,263,24,3,28,47,17,59,82,57,135,356,327,683,11089,9041,20128,18,21,37,0,0,0,36,31,70,241,179,416,20,31,51,24,8,24,337,266,603,0,0,0,0,0,0,10,6,13,0,0,0,0,0,3,9,9,11,106,44,154,447,320,767,88,103,189,0,0,3,3,0,3,98,105,201,1027,1238,2258,1210,1981,3185,163,167,328,14031,12839,26875
SED24606,2323,1905,4221,72,80,157,7,0,4,404,599,1005,32,24,53,8257,6981,15240,242,500,737,30,6,34,107,11,112,421,114,538,103,64,164,442,578,1023,12436,10857,23286,82,78,159,0,0,0,308,333,641,125,114,242,29,24,51,45,23,64,583,569,1153,0,0,0,7,17,23,3,5,10,3,3,4,0,4,4,11,27,40,113,99,215,706,700,1408,104,105,209,3,3,6,8,3,10,111,109,223,827,1055,1887,875,1521,2395,127,124,251,15085,14368,29451
SED24703,2030,2023,4052,383,433,818,4,3,13,4657,5045,9701,98,88,182,6073,4747,10819,305,611,916,28,3,33,210,44,255,1677,954,2629,220,127,344,6948,6357,13300,22623,20436,43058,205,206,411,0,0,0,556,581,1142,44,41,79,21,34,50,81,45,127,909,901,1814,0,0,0,60,115,171,4,8,12,0,3,5,8,9,19,76,138,213,301,269,564,1284,1303,2591,207,230,432,12,12,25,18,33,48,235,271,508,1123,1077,2203,1931,3077,5006,230,229,460,27436,26400,53839
SED24808,725,809,1538,65,109,178,7,0,7,7,10,13,18,9,26,13316,10040,23356,820,829,1648,311,11,319,69,3,73,36,13,46,104,46,151,195,205,403,15678,12075,27750,86,59,143,0,0,0,37,55,85,222,165,386,24,52,77,25,6,25,381,337,721,0,0,0,0,0,0,12,0,12,13,14,30,4,0,3,26,17,45,137,51,186,551,402,954,131,163,292,3,0,3,7,3,10,139,161,302,321,586,910,1161,1956,3112,188,157,348,18036,15345,33372
SED24904,8,6,10,96,55,148,10,0,5,4,0,3,13,14,27,9698,8377,18082,758,852,1606,185,6,191,91,8,99,101,31,137,164,52,220,663,572,1236,11793,9979,21764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,4,11,15,0,0,0,5,13,17,65,51,111,76,60,137,0,0,0,0,0,0,13,3,21,19,3,19,817,770,1581,897,1492,2387,214,173,385,13804,12471,26279
SED25003,924,862,1794,125,159,287,7,0,7,28,19,46,57,11,67,12960,10068,23031,613,817,1433,283,5,283,56,3,63,54,12,62,95,50,148,106,106,216,15320,12110,27427,228,155,380,0,0,0,26,28,51,272,213,486,36,61,95,11,4,21,571,465,1038,0,0,0,3,6,8,7,12,17,15,27,36,0,0,0,27,45,71,109,79,185,705,585,1295,124,169,296,3,3,7,8,0,4,137,174,307,253,492,746,1023,1779,2799,183,171,354,17620,15311,32927
SED25102,631,488,1113,83,73,156,5,0,3,0,3,6,13,3,12,10964,9181,20146,481,528,1012,259,3,258,97,9,108,59,6,67,63,48,116,210,211,418,12874,10548,23419,100,62,162,0,0,0,28,15,38,259,171,430,37,45,79,19,0,18,434,296,735,0,0,0,0,0,0,4,3,5,15,16,22,0,0,0,13,18,33,113,56,170,568,373,936,75,67,149,0,0,4,9,0,9,88,76,160,757,1009,1768,1027,1947,2977,126,92,213,15439,14043,29478
SED25205,1498,1177,2678,96,122,220,4,0,5,7,4,9,14,18,36,10922,9699,20626,405,616,1020,139,5,143,98,4,106,210,46,256,90,54,137,181,270,452,13664,12012,25680,134,117,256,0,0,0,69,44,114,218,220,442,37,40,79,38,21,55,499,442,940,0,0,0,0,0,0,3,3,7,8,7,16,0,0,0,14,15,24,98,50,152,611,506,1121,86,95,179,0,0,0,4,0,13,92,101,192,583,837,1423,948,1978,2932,116,83,196,16017,15524,31541
SED25302,197,85,279,73,61,130,3,3,5,3,3,8,11,3,18,10412,9118,19526,507,580,1094,189,3,190,33,3,35,71,22,97,81,50,132,194,222,424,11776,10159,21933,36,13,51,0,0,0,4,0,5,202,92,291,8,18,29,5,0,5,254,123,379,0,0,0,0,0,0,0,3,3,14,12,28,4,0,7,19,20,31,103,42,150,378,180,561,50,40,92,5,4,3,6,0,4,59,46,106,816,1212,2033,970,1823,2790,115,112,227,14119,13538,27652
SED25402,64,48,109,115,77,184,3,0,10,3,0,3,24,22,43,10315,9051,19372,641,625,1266,155,3,158,62,9,74,74,24,91,100,28,129,292,271,562,11843,10156,21999,3,7,15,0,0,0,3,0,3,19,12,26,11,8,17,4,0,4,37,30,67,0,0,0,0,0,0,4,6,8,14,11,19,4,3,10,20,21,35,93,36,132,150,90,234,19,9,27,0,4,4,0,0,0,21,8,29,317,421,735,1285,1915,3197,165,143,309,13773,12731,26503
SED25501,1596,1155,2753,172,234,411,4,0,4,20,13,36,18,15,33,8987,7437,16428,397,732,1131,71,0,71,59,3,68,154,27,183,86,45,130,236,293,527,11812,9951,21755,198,146,343,0,0,0,106,98,205,281,208,487,41,69,114,26,5,35,658,526,1183,0,0,0,3,7,10,11,5,12,4,22,26,3,0,7,21,40,59,92,66,155,770,626,1396,162,122,284,9,4,8,5,0,11,174,129,300,681,696,1378,867,1339,2198,116,94,213,14405,12832,27241
SED25605,768,675,1444,154,217,372,3,3,6,8,11,19,53,12,62,10703,7887,18583,434,760,1189,161,4,162,57,3,59,76,11,88,92,46,139,125,115,240,12634,9732,22362,213,146,359,0,0,0,21,24,50,384,211,597,24,65,86,14,0,13,650,452,1105,0,0,0,0,3,3,12,6,25,18,28,49,3,0,8,42,37,76,102,61,162,791,550,1344,132,144,279,3,3,11,3,0,3,141,143,285,457,558,1008,751,1218,1969,153,116,264,14917,12315,27233
SED25704,8,7,12,26,23,52,3,3,3,0,5,7,18,15,32,9658,8054,17711,537,562,1101,230,5,237,146,29,172,145,49,196,123,44,168,743,726,1468,11632,9528,21165,0,0,0,0,0,0,0,0,0,6,5,5,3,0,3,0,0,0,8,5,11,0,0,0,0,0,0,3,4,5,0,0,3,0,0,0,5,8,7,78,26,106,91,38,128,0,0,0,0,0,0,9,0,9,11,0,11,1119,1016,2141,1009,1808,2823,236,203,440,14105,12593,26699
SED25802,233,177,407,64,35,93,5,0,8,3,6,14,22,10,34,10662,8883,19542,597,606,1206,335,12,345,68,17,85,45,13,60,104,53,157,440,334,779,12580,10143,22720,24,12,39,0,0,0,9,4,14,62,52,115,18,14,29,16,4,19,121,85,211,0,0,0,0,0,0,3,5,9,6,8,9,0,0,7,10,11,24,113,40,149,247,136,379,49,41,91,3,0,3,3,0,5,59,41,100,951,990,1944,1186,2053,3241,183,204,385,15197,13572,28768
SED25905,614,531,1148,85,139,222,11,3,10,3,0,5,27,11,42,12771,9592,22363,675,809,1487,306,3,314,71,7,73,33,6,34,87,47,131,101,114,215,14786,11253,26042,104,102,205,0,0,0,13,26,36,236,135,369,20,49,71,9,4,11,380,306,686,0,0,0,0,0,0,16,11,25,8,12,25,0,5,3,27,26,46,126,57,185,534,390,920,118,83,200,3,0,3,3,0,3,127,83,213,375,652,1030,884,1514,2401,181,109,290,16881,14008,30891
SED26005,855,707,1555,132,175,309,3,3,10,4,3,5,38,15,51,15682,11304,26987,952,1155,2104,294,8,304,84,5,92,37,5,47,143,61,201,106,132,233,18326,13571,31895,160,131,290,0,0,0,14,16,33,292,195,491,34,70,101,14,8,20,522,413,928,0,0,0,0,0,0,10,7,18,16,30,53,3,0,3,34,40,73,120,72,191,671,519,1193,151,156,303,5,3,9,8,3,8,157,158,319,426,850,1276,1108,1861,2971,178,129,310,20877,17090,37964
SED26102,51,27,80,84,43,123,6,7,14,16,4,21,6,8,12,8886,7309,16194,440,526,966,221,3,221,31,9,34,55,13,66,76,55,127,240,251,489,10099,8253,18350,3,11,15,0,0,0,0,0,3,71,40,106,0,11,12,0,0,0,75,57,134,0,0,0,0,3,3,3,11,10,7,6,13,3,0,3,13,22,37,89,43,132,183,116,300,26,22,43,3,3,4,0,3,5,29,23,53,711,965,1679,1004,1773,2777,149,152,308,12182,11286,23464
SED26207,517,529,1050,86,131,214,0,0,3,106,172,283,24,31,53,10328,8344,18672,463,714,1169,156,5,154,101,5,109,158,27,183,92,52,146,149,170,322,12192,10172,22361,295,232,529,0,0,0,94,73,170,226,215,447,29,46,77,5,7,6,649,577,1232,0,0,0,20,20,39,18,20,37,5,9,23,0,0,3,44,59,104,103,105,208,797,739,1536,143,194,335,3,5,10,4,3,4,149,200,352,347,553,899,864,1613,2476,139,138,277,14489,13410,27902
SED26303,2196,2304,4503,224,250,479,10,0,11,872,1378,2253,32,28,53,7676,7442,15121,303,535,844,83,0,82,175,37,214,1690,972,2667,102,57,158,450,558,1010,13815,13570,27387,151,141,296,0,0,0,284,331,615,118,186,306,28,31,63,111,71,183,694,766,1462,0,0,0,66,116,183,8,9,20,7,13,16,3,10,13,86,140,229,175,196,368,949,1107,2057,131,154,281,4,17,25,14,13,21,146,176,329,712,865,1577,1064,2139,3204,143,136,282,16837,17989,34822
SED26406,2607,2281,4889,265,385,647,10,0,9,50,73,121,40,21,60,9966,7915,17885,406,662,1070,116,4,113,109,7,117,326,82,406,93,45,143,491,525,1013,14467,12006,26476,382,341,718,0,0,0,203,190,397,247,192,444,42,82,124,78,31,108,956,838,1791,0,0,0,10,11,23,6,5,14,11,24,36,9,8,16,32,53,87,98,63,164,1094,949,2042,203,220,421,0,4,6,4,0,10,210,224,433,545,661,1209,1072,1933,3013,126,100,228,17522,15874,33396
SED26504,8,3,12,47,47,96,3,3,6,0,7,7,12,9,26,8520,7371,15891,513,577,1084,194,3,205,81,17,103,185,75,257,127,56,181,663,637,1298,10355,8807,19161,3,0,5,0,0,0,0,4,4,3,0,3,0,0,0,0,0,0,6,8,11,0,0,0,0,0,0,0,7,3,0,0,5,3,0,3,11,5,17,95,49,136,112,56,164,0,3,9,0,0,0,4,0,4,10,3,12,852,854,1702,1097,1825,2921,190,183,371,12607,11730,24335
SED26603,2449,2310,4751,129,185,309,4,0,7,408,604,1019,63,21,82,11112,8135,19247,476,757,1237,170,3,172,156,21,172,531,219,749,112,55,164,263,310,573,15864,12615,28481,208,187,396,0,0,0,229,253,479,192,184,381,40,72,109,53,23,76,719,720,1442,0,0,0,44,66,107,7,12,21,4,7,12,0,6,3,55,90,145,164,147,307,945,950,1896,151,167,316,0,11,17,9,7,19,165,185,352,458,631,1089,1033,1880,2915,189,149,331,18657,16408,35060
SED26708,45,25,71,56,27,79,5,3,11,13,0,16,14,8,17,9463,7777,17240,523,493,1019,243,6,252,140,35,170,122,43,173,166,57,219,850,674,1526,11638,9145,20784,0,3,3,0,0,0,3,0,3,30,15,47,0,0,6,0,0,0,39,23,62,0,0,0,0,0,0,3,6,11,0,5,3,0,0,0,5,7,16,86,36,119,132,70,196,21,4,24,3,0,3,3,0,3,24,7,37,1576,1300,2877,1151,2004,3155,227,202,424,14745,12725,27478
SED26806,3148,3178,6331,174,235,411,12,8,13,2220,2720,4936,79,69,147,8503,7127,15624,337,638,979,28,7,32,216,36,255,1158,540,1696,150,118,265,2183,2594,4780,18208,17255,35465,152,132,292,0,0,0,654,728,1382,51,52,107,18,30,46,74,51,126,953,1002,1953,0,0,0,61,65,129,0,5,10,0,0,0,4,6,12,72,78,149,213,177,396,1239,1253,2496,183,161,343,6,9,12,17,16,33,206,185,389,1030,1059,2086,1221,1840,3057,151,128,277,22061,21717,43777
SED26903,1705,1687,3394,205,261,468,5,3,12,452,627,1077,62,26,86,9474,7069,16547,433,660,1094,154,3,150,150,23,173,463,177,638,85,49,128,240,275,518,13426,10862,24285,206,203,411,0,0,0,189,184,376,164,162,330,33,70,102,44,20,65,637,638,1279,0,0,0,63,97,160,7,13,14,11,22,34,7,5,13,82,137,225,130,144,270,856,923,1772,144,178,314,7,14,17,9,5,14,161,194,352,356,480,841,955,1613,2571,172,122,294,15925,14191,30117
SED27003,1900,1835,3741,220,266,487,12,4,12,2849,3258,6104,70,69,141,7630,6294,13924,283,559,846,45,0,49,228,37,260,2074,1272,3344,145,107,252,2607,3043,5651,18061,16749,34814,117,100,223,0,0,0,402,515,919,46,37,82,19,25,39,92,59,153,679,739,1415,0,0,0,52,83,137,5,6,9,0,7,8,8,7,17,67,105,175,245,238,485,992,1079,2078,131,136,270,8,6,15,28,22,53,164,172,332,956,1041,2000,1132,2012,3143,168,155,323,21485,21204,42686
SED27101,1849,1417,3266,205,209,418,0,0,0,4,7,13,30,11,36,10077,8448,18522,409,648,1056,127,3,131,100,5,109,133,25,154,65,33,94,253,262,515,13250,11075,24329,273,207,482,0,0,0,115,85,199,299,182,481,33,79,115,66,17,77,783,572,1349,0,0,0,0,5,6,12,15,22,9,9,16,0,3,9,19,32,57,108,48,153,911,646,1564,144,139,282,0,0,3,9,4,12,155,143,295,560,688,1249,928,1943,2867,105,79,189,15909,14574,30488
SED27208,37,26,65,31,30,64,0,0,4,8,4,10,11,6,18,8838,7392,16237,530,599,1132,257,10,271,42,6,53,105,31,130,125,42,168,660,517,1176,10646,8679,19322,0,3,3,0,0,0,0,3,3,27,11,38,3,0,5,4,0,4,30,17,51,0,0,0,0,0,0,3,0,3,0,7,9,0,0,0,3,4,8,64,29,89,94,55,151,20,11,27,5,0,4,6,0,6,24,13,40,1016,877,1894,1061,1846,2900,180,153,333,13026,11626,24644
SED27305,360,250,617,115,132,250,0,0,0,0,3,6,21,8,33,11727,9744,21472,551,739,1289,161,3,164,59,6,68,60,12,68,76,38,119,101,100,197,13230,11050,24275,79,56,139,0,0,0,5,3,8,340,183,519,23,47,73,8,0,6,450,292,747,0,0,0,0,0,0,12,9,19,14,27,41,0,0,3,29,37,64,91,49,142,573,378,952,92,74,164,3,3,3,6,0,7,103,78,176,447,651,1091,871,1650,2520,100,86,184,15311,13896,29211
SED27406,1596,1296,2893,101,138,240,4,0,4,4,7,10,31,16,46,9006,8047,17054,325,524,841,82,0,79,97,12,103,319,64,384,93,49,139,295,390,682,11943,10542,22485,223,133,353,0,0,0,70,94,165,268,215,487,41,64,97,65,25,92,667,519,1189,0,0,0,0,0,0,4,3,7,10,9,18,3,0,0,20,17,32,95,73,166,783,608,1390,97,111,213,0,3,3,7,7,11,106,120,230,853,1121,1971,934,1620,2561,94,79,173,14719,14091,28813
SED27504,12,5,15,53,51,100,3,0,3,0,3,3,19,21,44,11154,9454,20611,721,960,1684,188,4,199,120,15,129,196,58,254,109,47,155,623,541,1158,13201,11162,24361,0,0,0,0,0,0,3,0,3,4,0,3,0,0,4,0,0,0,9,7,13,0,0,0,0,0,0,4,0,5,3,6,10,7,0,7,13,5,23,100,40,143,121,56,178,0,4,4,0,0,0,3,3,7,5,7,12,720,723,1439,1076,1781,2858,213,182,398,15329,13911,29239
SED27608,416,201,614,174,166,337,3,0,8,3,8,14,22,14,36,12510,10752,23260,612,810,1417,149,4,148,66,3,73,173,38,211,83,51,135,264,231,495,14472,12279,26753,16,14,31,0,0,0,12,13,24,172,88,264,6,14,18,19,0,21,224,132,356,0,0,0,0,0,0,9,16,25,9,19,29,3,0,8,26,37,62,133,62,195,381,228,614,103,64,169,0,3,5,9,0,9,114,72,183,773,1026,1800,1300,2562,3861,125,117,237,17168,16284,33450
SED27708,7,3,13,74,40,110,3,0,3,4,4,7,31,24,51,10366,9083,19451,731,804,1532,208,8,215,117,8,125,170,49,220,140,46,184,665,543,1213,12518,10606,23127,0,0,0,0,0,0,0,0,0,7,3,7,0,0,0,0,0,0,5,6,9,0,0,0,0,0,0,3,3,11,7,9,9,3,0,3,10,7,21,97,49,139,112,65,179,4,0,0,0,0,3,8,0,9,9,4,16,800,805,1602,1290,2056,3342,175,170,346,14907,13702,28611
SED27807,1381,1441,2819,140,187,326,0,0,0,6,21,22,82,18,106,11359,6796,18156,728,949,1679,189,6,199,69,3,73,69,15,89,110,47,156,151,189,340,14285,9676,23956,193,219,415,0,0,0,97,99,195,182,149,337,27,78,112,22,5,27,527,560,1081,0,0,0,0,0,0,15,12,24,7,14,18,3,3,7,32,24,51,125,56,180,678,641,1316,129,181,318,4,0,3,0,0,0,133,184,323,207,348,559,814,1160,1971,306,215,520,16421,12221,28639
SED27907,666,689,1356,95,108,208,4,3,9,28,44,68,25,15,38,11111,9044,20157,597,670,1269,231,10,234,78,13,90,51,6,55,88,29,112,139,144,274,13097,10769,23864,80,81,157,0,0,0,21,36,54,243,217,456,27,47,78,13,4,18,393,378,766,0,0,0,6,5,12,17,21,45,5,17,27,0,3,3,31,48,83,120,70,187,542,501,1040,80,115,198,3,4,6,4,3,7,85,122,210,308,632,943,1001,1857,2862,135,126,263,15174,14007,29178
SED28007,1159,1317,2471,80,91,172,12,0,11,10,8,15,60,12,72,14562,10751,25312,716,1006,1722,268,7,277,67,4,68,30,17,41,111,60,173,91,120,208,17147,13394,30549,177,158,335,0,0,0,37,41,85,319,260,577,37,92,131,18,9,26,594,556,1151,0,0,0,0,0,0,13,9,24,9,19,29,0,3,5,19,29,55,132,65,196,743,658,1402,133,156,290,4,0,3,8,3,9,144,163,303,292,590,879,1090,1882,2972,180,152,328,19594,16839,36432
SED28107,1962,1701,3669,88,145,234,8,0,8,10,16,20,118,28,148,16968,10836,27808,917,1318,2237,272,0,272,118,3,123,89,15,107,186,66,252,161,180,343,20905,14319,35215,328,340,671,0,0,0,85,88,171,554,359,905,74,182,253,48,15,63,1085,980,2069,0,0,3,0,0,0,3,11,17,10,24,31,5,5,9,13,41,56,189,97,292,1294,1119,2413,366,427,797,6,5,10,11,5,13,384,433,819,420,1005,1423,1292,2081,3368,266,203,467,24548,19153,43703
SED28203,982,991,1967,113,151,269,7,0,7,16,37,49,111,16,122,10681,6988,17672,552,754,1306,231,0,232,74,4,72,59,9,64,85,31,119,101,128,233,13002,9117,22116,163,195,355,0,0,0,43,58,103,216,170,386,29,53,82,9,4,18,467,474,941,0,0,0,0,0,0,16,12,23,3,12,20,5,5,12,18,28,52,103,59,160,586,565,1153,118,137,263,0,0,0,3,0,3,125,139,265,201,393,595,773,1271,2039,256,176,431,14944,11656,26597
SED28301,294,228,517,796,793,1588,0,4,4,0,7,9,20,8,27,10325,8360,18686,402,740,1141,182,0,182,75,4,78,63,5,69,85,50,129,152,182,336,12400,10375,22775,147,97,243,0,0,0,12,11,21,227,105,334,27,24,52,8,0,4,416,238,658,0,0,0,52,32,90,66,64,127,24,32,57,0,3,5,144,132,279,103,72,172,660,446,1107,97,81,181,10,10,25,10,3,12,119,91,214,815,993,1805,959,1627,2586,118,70,192,15068,13606,28675
SED28408,230,134,365,96,114,205,5,0,5,0,3,4,36,25,65,9212,8197,17407,623,728,1347,100,3,100,45,7,52,171,41,215,59,33,86,463,456,915,11030,9744,20771,11,6,18,0,0,0,15,7,23,53,37,91,8,12,11,15,3,21,94,67,162,0,0,0,0,0,0,4,9,14,3,12,17,3,0,5,15,24,37,65,54,122,176,143,316,30,35,64,3,0,3,7,0,7,40,38,74,366,531,903,982,1874,2855,140,113,249,12738,12437,25176
SED28507,1253,1101,2353,89,149,239,3,0,5,8,9,14,34,13,53,11873,8422,20299,671,789,1465,202,0,201,87,11,94,64,12,74,94,46,142,180,201,378,14560,10760,25325,174,185,354,0,0,0,76,69,145,240,200,437,45,48,96,32,13,42,564,510,1072,0,0,0,3,0,3,8,3,14,4,17,29,0,0,4,18,26,41,113,59,175,698,600,1293,188,209,395,0,4,4,0,0,4,188,215,400,309,583,888,1033,1708,2738,180,140,313,16967,13995,30961
SED28607,2519,2615,5131,151,176,325,4,8,15,11,17,32,57,23,86,10633,8677,19314,430,719,1150,92,4,97,191,25,220,718,204,928,111,56,167,402,449,856,15330,12984,28314,254,261,516,0,0,0,185,209,397,238,253,491,33,76,114,101,55,154,813,853,1667,0,0,0,11,14,28,10,7,8,4,15,15,8,4,10,26,35,62,147,98,241,980,986,1966,147,195,341,3,8,11,15,3,24,164,204,371,643,967,1608,1104,2003,3105,144,113,252,18366,17257,35618
SED28704,695,693,1391,86,74,158,9,4,12,3,10,8,23,7,33,15666,12458,28119,648,748,1395,376,7,383,74,3,75,46,12,55,87,49,140,160,186,344,17867,14249,32117,97,76,172,0,0,0,20,21,43,416,320,736,43,72,119,16,7,22,597,490,1085,0,0,0,3,4,5,12,13,20,8,18,25,0,0,0,22,29,52,140,70,210,758,588,1348,139,120,261,0,0,3,3,3,6,148,123,268,592,1050,1642,1234,2636,3872,183,173,356,20787,18816,39601
SED28803,981,1090,2067,119,139,258,5,3,5,7,10,21,110,20,133,16117,10962,27077,856,1073,1931,368,5,373,60,4,62,38,5,47,140,67,210,91,133,224,18906,13508,32414,294,228,523,0,0,0,34,40,71,355,246,605,47,78,125,13,3,20,743,601,1337,0,0,0,0,0,0,25,24,42,8,27,32,0,0,0,30,51,82,176,94,269,946,742,1689,177,187,362,0,6,5,7,3,12,182,199,384,297,662,966,1135,1913,3046,268,189,464,21737,17215,38954
SED29494,60,36,101,22,18,42,0,0,0,39,49,85,10,3,10,582,275,859,70,59,126,17,0,17,14,0,14,17,8,19,36,16,50,140,83,227,1002,549,1552,9,18,24,0,0,0,5,9,20,4,7,8,0,0,0,4,0,7,29,35,64,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,13,7,14,39,41,83,14,9,21,0,0,0,0,0,0,12,9,24,25,38,69,138,134,274,19,18,33,1242,786,2033
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,23,0,23
