SED_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
SED22201,4,0,0,0,1808,1814,44,3,0,0,1757,1804,1542,50,63,5,2309,3964,2518,136,168,6,1009,3829,2330,192,449,26,642,3639,2284,129,459,56,334,3268,1801,78,260,120,112,2371,1016,27,100,170,32,1341,290,10,25,194,28,546,11831,627,1521,580,8032,22582,5,3,0,0,1671,1679,107,5,4,3,1733,1850,2013,101,95,7,2135,4352,2503,196,311,23,991,4018,2428,293,796,66,539,4128,2200,195,819,189,289,3702,1666,93,646,493,94,2997,823,21,211,769,43,1871,159,7,47,760,21,997,11914,914,2931,2307,7524,25589,7,3,0,0,3480,3496,148,8,4,3,3485,3653,3558,151,163,10,4437,8319,5015,327,475,32,2000,7850,4760,488,1243,88,1184,7768,4489,326,1284,241,631,6970,3474,167,907,611,202,5363,1835,46,310,944,84,3214,449,12,68,960,49,1545,23739,1538,4456,2887,15556,48174
SED22305,17,0,0,0,2178,2191,308,16,0,7,3071,3400,3526,109,114,8,3470,7236,4118,213,253,17,1328,5929,2687,243,537,35,905,4407,2472,217,577,77,504,3846,1836,140,396,150,205,2729,1083,45,150,192,55,1526,288,10,28,160,25,507,16334,1003,2053,644,11737,31779,35,7,0,4,1995,2042,569,22,9,10,1763,2371,3828,201,188,32,2034,6281,3085,293,445,71,831,4722,2287,269,683,177,536,3952,2266,227,721,421,325,3963,1568,114,508,584,124,2897,761,38,192,868,57,1911,123,9,44,654,25,857,14525,1180,2792,2816,7685,28994,45,7,0,4,4171,4233,879,39,9,12,4831,5772,7357,309,302,42,5500,13514,7202,509,697,87,2158,10655,4972,517,1220,214,1440,8357,4739,448,1301,498,828,7816,3405,253,912,733,325,5631,1839,80,338,1063,113,3440,416,17,68,811,49,1363,30858,2185,4845,3462,19424,60771
SED22404,8,0,0,0,1777,1779,22,3,0,0,1394,1419,800,56,40,3,1740,2633,1788,132,220,15,1182,3343,2431,246,560,43,1042,4315,2823,257,715,89,593,4481,2553,153,610,192,243,3754,1036,43,152,190,84,1504,253,3,24,148,17,450,11698,901,2329,687,8077,23681,3,3,0,0,1692,1700,32,12,3,0,1282,1331,1111,80,52,3,1499,2742,1996,205,304,16,1067,3595,2497,257,714,83,776,4324,2921,184,853,216,394,4569,2256,110,590,415,147,3521,692,30,171,640,44,1579,104,0,35,519,26,679,11625,881,2718,1900,6916,24041,7,3,3,0,3463,3479,56,12,3,0,2678,2745,1910,140,89,6,3234,5380,3786,340,530,37,2248,6937,4924,497,1270,131,1817,8640,5743,440,1566,309,988,9052,4809,268,1195,606,392,7270,1724,75,323,833,130,3088,350,9,58,666,39,1127,23321,1785,5044,2583,14990,47717
SED22501,5,0,0,3,1955,1959,21,0,0,0,1785,1809,968,27,28,0,1944,2973,2690,96,156,8,854,3807,3108,156,329,25,532,4156,3222,89,369,61,290,4030,2338,74,258,102,102,2861,809,21,67,114,27,1039,187,0,13,112,13,327,13355,470,1217,424,7495,22961,3,0,0,0,1823,1827,40,3,0,0,1693,1735,1307,44,56,0,1666,3069,2964,135,231,16,864,4211,3275,214,595,58,505,4644,3206,154,706,202,266,4538,1959,81,452,327,87,2900,605,21,144,484,37,1301,85,0,32,487,19,621,13432,656,2225,1575,6955,24843,10,0,0,3,3777,3787,65,3,0,0,3475,3543,2271,66,85,0,3609,6044,5650,235,384,25,1717,8017,6381,365,924,85,1041,8796,6427,252,1078,264,554,8570,4293,149,709,431,184,5765,1418,44,213,603,61,2335,277,7,44,596,29,949,26790,1125,3442,1997,14446,47805
SED22607,0,0,0,0,1701,1703,52,0,0,3,2489,2543,1894,59,56,9,3991,6001,2899,160,224,10,1471,4766,2801,180,453,21,896,4353,2290,143,471,51,571,3523,1391,68,255,97,313,2119,740,32,88,109,116,1087,304,14,27,158,39,538,12382,650,1577,457,11579,26638,12,0,0,0,1823,1833,115,15,3,0,2474,2610,2288,139,160,6,3904,6502,3060,188,399,29,1443,5119,2770,216,616,89,864,4561,2182,193,639,187,606,3817,1198,75,375,368,242,2265,595,25,165,679,117,1574,201,3,39,631,42,919,12436,856,2396,1992,11523,29197,12,0,0,3,3525,3536,173,15,3,3,4965,5157,4183,199,219,11,7892,12508,5966,344,620,39,2911,9881,5577,395,1073,114,1765,8918,4472,337,1113,242,1181,7344,2593,145,630,461,556,4380,1334,56,251,785,231,2659,510,13,65,787,84,1457,24813,1507,3974,2450,23097,55839
SED22704,0,3,0,0,2086,2090,38,0,0,0,1670,1716,981,58,43,0,1980,3058,1807,159,217,9,1161,3346,2487,283,557,29,1010,4365,3054,282,830,143,695,5011,2813,233,686,221,278,4235,1423,56,226,291,101,2092,372,13,26,234,48,704,12986,1083,2586,930,9030,26615,5,0,0,0,1845,1849,83,9,0,0,1385,1479,1208,96,64,9,1630,3001,1972,216,281,33,1040,3544,2725,315,741,128,750,4658,3187,249,876,271,401,4984,2538,155,618,600,140,4055,1023,28,199,890,69,2214,177,10,50,750,26,1007,12917,1084,2825,2682,7280,26791,11,3,3,0,3929,3944,124,9,0,0,3058,3191,2186,152,106,9,3610,6054,3777,373,502,36,2199,6885,5218,599,1297,155,1758,9026,6245,526,1708,417,1101,9996,5356,390,1307,821,415,8296,2452,89,428,1179,169,4307,547,21,77,988,73,1706,25905,2166,5417,3609,16310,53409
SED22802,0,0,0,0,2056,2061,36,3,3,0,1836,1878,1382,50,48,0,2204,3688,2349,132,206,8,948,3637,2647,181,434,22,641,3924,2454,132,435,44,264,3325,2010,88,294,92,102,2594,871,14,84,137,45,1149,202,10,18,109,12,339,11956,599,1516,412,8110,22597,9,0,0,0,1970,1975,74,4,0,0,1661,1738,1759,83,74,4,1886,3816,2480,196,326,18,777,3800,2754,248,688,67,477,4241,2398,150,665,201,192,3594,1802,82,384,382,61,2715,634,15,115,525,25,1311,103,0,22,377,11,510,12008,786,2275,1584,7046,23695,10,0,0,0,4026,4040,110,5,3,0,3501,3617,3147,132,124,4,4092,7499,4828,323,534,25,1723,7436,5402,429,1124,93,1115,8163,4850,280,1092,239,453,6920,3814,176,675,475,163,5306,1506,28,198,662,65,2456,298,8,36,488,15,851,23968,1386,3791,1998,15150,46292
SED22901,16,0,0,0,1794,1807,23,0,5,0,1881,1907,1347,37,39,7,2305,3738,2404,115,137,3,994,3646,2513,186,351,22,600,3677,2803,118,445,50,273,3688,2144,72,272,107,86,2683,973,34,84,153,28,1269,290,10,10,197,13,522,12516,563,1341,530,7985,22938,0,0,0,0,1715,1720,59,5,0,0,1707,1772,1743,71,89,0,1913,3822,2594,169,258,13,780,3807,2622,213,616,70,484,4008,2877,177,722,205,217,4199,1872,83,475,462,88,2978,705,24,151,699,33,1623,172,12,38,812,28,1051,12643,755,2350,2270,6963,24973,15,0,0,0,3509,3524,81,9,3,0,3589,3679,3096,107,123,3,4224,7553,4995,287,391,15,1769,7455,5139,396,967,91,1087,7677,5684,296,1164,256,486,7883,4013,157,746,564,174,5664,1681,59,242,849,66,2891,455,19,44,1007,39,1579,25161,1317,3690,2796,14944,47914
SED23007,12,0,0,0,1976,1989,192,12,10,6,3904,4124,3405,131,123,9,5971,9642,3577,258,379,17,2228,6457,2436,263,620,27,1291,4636,2096,244,596,67,726,3731,1531,136,331,128,288,2409,892,47,110,181,108,1348,296,8,16,161,23,513,14441,1092,2189,607,16521,34852,15,3,0,0,2014,2031,424,31,21,8,3082,3569,3938,197,247,15,4438,8841,3202,301,593,48,1776,5919,2291,287,836,114,1110,4642,1969,227,773,305,564,3840,1345,95,378,545,184,2544,653,39,119,753,65,1630,142,3,33,617,31,830,13973,1188,2992,2403,13272,33837,22,3,3,0,3996,4025,618,46,30,13,6988,7689,7344,329,368,27,10411,18480,6771,560,972,68,4007,12372,4729,547,1460,136,2400,9275,4064,469,1373,373,1294,7571,2871,229,706,679,468,4952,1543,94,228,936,172,2971,442,12,45,783,57,1342,28414,2284,5182,3016,29794,68684
SED23101,3,0,0,0,1908,1916,44,0,3,3,2018,2068,1307,24,43,3,2035,3412,2788,66,146,18,729,3737,2827,123,247,17,507,3722,2409,91,302,60,298,3153,2326,70,224,110,137,2864,1571,38,116,209,45,1978,410,6,31,216,14,676,13686,418,1113,632,7678,23528,3,0,0,0,1790,1795,62,4,3,0,1741,1812,1688,41,60,4,1554,3351,3142,103,215,24,667,4154,2969,146,480,46,454,4098,2469,145,575,159,301,3650,2332,79,437,469,132,3445,1135,29,220,947,70,2406,201,0,53,867,61,1190,14002,549,2041,2524,6777,25902,4,0,0,3,3703,3705,103,3,4,3,3762,3876,2996,66,105,4,3585,6758,5929,166,364,38,1395,7895,5797,269,730,66,962,7827,4881,238,875,218,597,6807,4658,152,658,576,273,6316,2706,73,336,1155,118,4385,616,12,86,1092,70,1865,27690,970,3162,3156,14453,49431
SED23205,9,0,3,0,1754,1761,43,7,3,0,1876,1928,1091,57,64,0,2778,3989,1870,175,242,4,1558,3848,2012,271,619,34,1035,3965,2107,225,740,65,524,3664,1844,139,492,152,211,2840,1007,56,198,217,76,1548,318,16,40,231,16,620,10295,940,2392,700,9830,24163,3,0,0,0,1722,1729,83,11,7,0,1866,1967,1435,120,78,11,2489,4136,1983,244,401,20,1337,3983,2072,320,900,79,880,4250,2074,241,1046,250,405,4010,1718,138,768,514,153,3297,787,42,288,799,68,1989,160,6,63,807,30,1075,10318,1114,3567,2475,8948,26422,9,0,3,0,3476,3491,120,13,11,3,3741,3890,2521,173,144,15,5265,8119,3857,417,644,21,2898,7833,4086,587,1521,109,1914,8213,4186,465,1784,312,933,7676,3563,274,1260,663,366,6131,1795,95,486,1020,141,3534,483,26,104,1036,46,1696,20619,2055,5960,3176,18780,50587
SED23308,3,0,3,0,1743,1748,61,9,0,0,2180,2251,1433,50,58,4,2915,4462,2219,155,217,5,1228,3820,2150,212,592,24,990,3972,2149,189,689,69,560,3654,1726,104,399,138,235,2603,1003,42,135,209,77,1455,383,12,28,275,27,724,11121,767,2114,720,9949,24683,7,0,3,3,1696,1702,101,11,0,4,2258,2370,1728,89,80,6,2779,4679,2273,210,312,19,1257,4083,2290,299,842,83,879,4389,2116,228,1005,255,523,4124,1565,102,716,532,198,3104,852,37,231,915,70,2105,194,8,57,947,44,1244,11113,984,3242,2772,9699,27803,9,0,3,3,3438,3454,156,18,3,4,4440,4622,3162,140,140,10,5693,9141,4494,368,527,24,2486,7894,4438,517,1432,115,1866,8358,4266,415,1694,323,1078,7777,3289,203,1109,675,431,5708,1850,75,362,1124,148,3562,573,19,85,1224,65,1966,22238,1752,5356,3499,19650,52486
SED23402,3,0,0,0,2506,2511,57,3,3,0,2160,2228,1789,87,61,0,2388,4323,3013,178,253,10,1025,4484,3316,247,517,29,599,4706,2743,169,464,73,258,3716,1897,86,278,91,125,2478,979,26,93,158,25,1287,238,9,11,149,11,422,14042,811,1682,519,9099,26155,0,0,0,0,2290,2290,132,6,3,0,2177,2317,2337,127,105,5,2177,4754,3140,289,392,19,918,4756,3320,290,777,64,505,4953,2632,184,693,187,193,3888,1722,88,428,376,71,2695,668,32,131,534,38,1402,136,5,26,495,18,685,14088,1019,2562,1698,8381,27742,7,0,6,0,4793,4802,191,12,4,0,4336,4542,4129,213,159,7,4563,9073,6151,469,649,31,1942,9237,6633,538,1291,89,1104,9661,5377,353,1159,261,455,7606,3618,178,706,476,195,5175,1650,59,226,692,65,2691,372,16,42,647,26,1104,28132,1833,4246,2214,17485,53900
SED23502,8,0,0,3,1639,1651,44,4,0,0,1276,1318,911,59,29,0,1536,2536,1462,143,153,10,1034,2800,2103,196,452,27,805,3592,2839,232,795,92,579,4545,3258,193,733,241,323,4754,1633,62,217,266,111,2288,363,9,34,239,17,669,12607,908,2420,883,7328,24149,3,0,0,0,1517,1522,74,14,0,0,1115,1205,1142,108,48,14,1457,2767,1692,185,263,23,880,3041,2327,293,648,84,647,4002,3061,230,875,293,410,4873,2977,95,626,614,131,4450,1148,19,176,963,56,2368,163,3,29,802,27,1029,12599,953,2673,2790,6237,25248,7,0,0,5,3159,3174,119,21,0,0,2389,2527,2050,165,80,14,2990,5299,3152,329,414,28,1912,5839,4434,488,1102,116,1454,7590,5901,468,1665,386,992,9409,6231,295,1366,859,456,9200,2784,77,395,1225,167,4653,533,11,63,1045,47,1701,25207,1854,5094,3679,13567,49403
SED23602,9,0,0,0,1692,1701,52,5,0,0,1310,1368,1101,64,47,0,1769,2980,1831,125,175,8,1045,3189,2231,208,481,25,887,3831,2697,206,683,97,546,4225,2643,176,510,160,225,3722,1211,47,170,220,88,1736,317,11,23,206,27,588,12083,845,2089,725,7597,23339,7,0,0,0,1505,1513,74,3,3,0,1104,1182,1280,94,72,0,1410,2859,1825,173,264,23,834,3129,2358,218,619,82,673,3952,2847,191,852,269,343,4502,2348,100,545,530,118,3648,845,26,144,814,55,1885,159,3,49,709,17,945,11746,824,2557,2430,6062,23614,11,0,0,0,3199,3209,124,6,3,0,2417,2549,2376,159,115,3,3182,5841,3659,297,445,37,1881,6318,4588,425,1102,105,1558,7781,5536,400,1531,366,890,8728,4995,278,1057,693,345,7378,2056,78,311,1037,142,3624,480,14,71,917,44,1529,23831,1667,4648,3153,13653,46948
SED23702,0,0,0,0,2501,2508,46,4,0,3,2442,2494,1273,83,51,0,2711,4109,2419,174,256,3,1271,4129,2973,273,642,31,872,4789,2863,236,665,97,403,4265,2205,107,447,154,123,3032,982,41,138,190,36,1382,203,7,14,138,3,367,12953,923,2202,623,10367,27069,3,0,0,0,2213,2220,92,9,0,0,2152,2259,1713,128,98,5,2453,4398,2509,276,436,30,1129,4382,3180,338,939,123,712,5289,2813,247,995,234,277,4565,1924,114,623,452,100,3212,679,32,178,589,24,1502,102,0,25,398,12,541,13016,1145,3300,1830,9078,28365,8,0,0,0,4719,4721,133,16,0,7,4600,4757,2983,211,148,10,5164,8505,4927,453,693,35,2403,8502,6155,606,1580,157,1581,10074,5675,485,1661,329,676,8828,4130,221,1064,605,221,6244,1653,70,315,778,64,2887,308,10,43,532,19,911,25972,2064,5507,2454,19443,55432
SED23806,3,0,0,0,2072,2072,53,0,0,3,2987,3043,1638,37,50,0,4093,5823,2648,85,182,7,1146,4067,2799,140,260,25,628,3848,2369,75,296,47,318,3111,1822,52,206,64,210,2355,926,19,98,114,87,1240,254,3,19,132,34,449,12503,415,1112,394,11580,26006,5,0,0,0,2046,2057,87,12,6,0,2900,3009,2004,53,93,8,3911,6069,2934,97,243,15,1224,4519,3029,177,437,47,706,4406,2363,110,542,131,391,3543,1656,70,469,327,288,2809,664,21,164,514,153,1522,123,5,48,657,138,978,12866,540,2004,1717,11774,28902,7,0,0,5,4119,4130,141,11,6,3,5890,6055,3635,88,142,5,8007,11886,5582,176,420,28,2378,8586,5831,320,698,70,1338,8252,4731,184,834,182,716,6654,3477,121,674,394,501,5162,1593,40,259,631,239,2764,374,9,75,791,177,1424,25372,956,3112,2104,23358,54912
SED23901,6,0,0,0,1813,1822,26,0,0,0,1989,2013,1454,38,48,6,2815,4355,2899,129,206,12,1154,4389,2698,194,365,24,884,4160,2347,145,459,77,583,3609,1866,93,313,101,250,2624,1128,22,100,182,78,1506,433,17,23,248,20,747,12852,636,1513,643,9588,25237,3,0,0,0,1797,1800,87,0,0,0,1816,1904,1883,79,90,6,2449,4508,3059,151,275,14,1147,4640,2782,210,659,53,823,4528,2301,163,695,192,494,3847,1713,114,494,413,221,2949,851,33,179,811,92,1965,228,3,61,944,34,1271,12916,752,2449,2429,8867,27412,14,0,0,0,3611,3621,109,0,0,0,3809,3919,3332,117,131,9,5269,8864,5961,276,477,26,2298,9035,5482,406,1027,72,1705,8692,4648,311,1152,272,1082,7462,3582,208,807,509,467,5571,1979,54,279,994,163,3471,661,18,86,1195,56,2014,25764,1397,3961,3065,18463,52645
SED24006,10,0,0,0,2541,2548,28,0,3,0,2400,2430,903,18,31,6,2440,3401,2331,66,117,9,718,3242,3536,128,284,25,591,4560,2933,93,257,53,402,3729,2059,58,202,90,185,2591,1105,30,72,153,91,1455,459,18,21,211,41,750,13365,410,994,544,9410,24719,4,0,0,0,2486,2494,43,0,0,4,2230,2276,1191,37,60,7,2190,3471,2962,103,214,23,687,3987,3951,194,512,42,534,5239,2841,132,513,134,385,4005,1885,65,372,386,221,2923,862,23,141,715,110,1846,249,5,53,899,69,1271,13980,550,1860,2206,8913,27512,11,0,0,3,5027,5042,72,0,4,4,4626,4703,2089,57,94,7,4632,6873,5289,163,334,38,1407,7231,7487,323,799,67,1123,9800,5775,222,765,182,792,7731,3939,118,574,475,403,5517,1968,55,218,862,206,3306,709,17,74,1116,103,2018,27343,953,2857,2748,18323,52229
SED24105,4,0,3,0,2389,2396,132,9,8,0,2536,2684,2407,92,119,10,2677,5300,3130,151,265,13,1063,4625,3218,180,448,26,635,4503,2766,157,480,79,363,3843,2190,107,321,135,143,2886,1016,36,108,178,46,1381,255,9,25,140,16,444,15116,723,1767,581,9864,28055,15,3,0,0,2156,2179,361,19,15,3,2059,2463,3008,127,223,19,1905,5275,3472,228,484,52,797,5028,3023,220,677,122,469,4513,2581,164,669,276,280,3976,1865,89,408,599,107,3063,664,29,117,738,26,1579,113,0,34,652,22,826,15108,880,2628,2462,7825,28900,21,3,0,0,4542,4573,496,24,24,3,4600,5146,5417,221,336,29,4579,10581,6600,372,747,61,1858,9647,6241,399,1126,144,1102,9010,5348,320,1154,356,650,7820,4056,191,725,733,243,5951,1680,66,225,910,72,2960,368,12,54,793,33,1267,30225,1606,4396,3042,17688,56953
SED24207,8,4,0,0,2743,2758,177,4,0,0,2658,2840,2768,122,112,9,3411,6430,4846,270,415,14,1547,7091,3605,313,529,29,694,5175,2842,173,523,74,287,3903,1979,121,218,121,96,2537,663,27,57,131,23,898,110,4,13,71,3,205,17000,1038,1870,451,11468,31829,20,0,0,0,2659,2685,316,20,6,0,2322,2674,3718,201,222,13,2551,6704,4760,394,694,40,1268,7164,3356,349,799,146,641,5292,2651,216,703,335,223,4127,1527,103,318,505,64,2508,394,11,78,512,21,1005,76,6,13,243,3,336,16828,1303,2823,1788,9750,32493,30,5,0,0,5402,5441,493,27,9,3,4981,5514,6490,327,337,19,5956,13126,9605,666,1111,51,2813,14249,6966,662,1330,176,1335,10469,5495,392,1217,414,510,8032,3504,220,535,623,157,5041,1056,39,132,637,44,1909,184,11,25,313,6,539,33827,2339,4692,2244,21215,64320
SED24308,13,0,6,0,2290,2307,86,4,3,3,2204,2299,1460,75,54,5,2822,4415,2160,236,258,9,1526,4186,2298,271,560,27,1066,4224,2333,214,655,70,468,3745,1972,128,411,187,178,2879,1037,36,118,266,57,1524,286,10,23,191,27,531,11642,988,2085,762,10637,26117,8,0,0,3,2188,2198,141,9,6,0,2044,2202,1677,153,104,28,2362,4315,2139,274,360,64,1268,4097,2286,335,834,113,775,4348,2265,241,826,300,306,3946,1796,131,488,614,101,3124,795,19,152,918,37,1930,175,3,43,763,31,1012,11269,1173,2806,2808,9120,27173,14,0,3,3,4479,4506,226,14,9,3,4242,4495,3132,231,156,31,5184,8732,4297,510,617,76,2797,8286,4584,610,1394,148,1838,8579,4602,461,1479,371,781,7694,3767,257,896,800,279,6003,1830,63,277,1187,102,3451,456,16,64,949,59,1545,22916,2155,4891,3569,19753,53287
SED24408,0,0,0,3,1714,1715,33,0,0,0,1376,1404,965,54,41,0,1657,2712,1714,126,135,7,808,2788,2376,189,403,30,714,3722,2792,188,635,84,566,4260,2479,139,453,168,247,3482,1355,40,145,282,131,1946,390,11,28,265,49,743,12092,747,1832,840,7254,22775,6,0,0,0,1570,1575,69,6,0,3,1190,1267,1264,70,47,0,1415,2803,1878,169,226,22,702,3001,2546,208,575,70,561,3955,2868,180,667,266,286,4269,2260,105,408,592,124,3483,999,18,131,1011,68,2232,230,9,29,1002,58,1328,12113,766,2090,2974,5977,23916,5,0,0,3,3281,3292,97,11,3,3,2563,2678,2224,125,92,3,3073,5521,3593,298,359,30,1513,5784,4924,404,973,100,1276,7678,5663,366,1299,355,852,8531,4734,242,861,760,368,6960,2346,57,274,1292,206,4179,620,17,59,1268,106,2067,24205,1511,3924,3818,13233,46690
SED24504,0,0,0,0,1779,1784,19,0,3,0,1311,1329,787,29,21,4,1413,2255,2311,107,157,11,966,3550,2779,183,474,25,890,4348,2802,187,587,70,552,4202,2464,124,450,148,228,3412,944,29,132,175,65,1341,209,8,15,147,20,399,12311,672,1841,579,7220,22623,3,0,0,0,1653,1655,41,3,4,0,1141,1185,1065,61,39,0,1273,2437,2592,182,264,12,1026,4083,2975,216,651,64,776,4696,2779,160,760,191,486,4380,2136,105,533,420,182,3370,637,8,129,520,43,1335,114,4,23,543,28,714,12337,742,2413,1753,6608,23857,3,0,0,0,3435,3435,56,3,3,0,2453,2515,1846,93,59,3,2691,4692,4901,290,420,23,1993,7628,5756,402,1125,93,1665,9044,5586,349,1348,254,1042,8577,4598,225,985,570,405,6788,1580,40,259,696,105,2679,327,11,45,685,51,1118,24646,1413,4256,2335,13828,46479
SED24606,0,0,0,0,1632,1637,38,0,0,0,2244,2286,1301,27,36,3,3155,4524,2355,69,145,4,961,3535,2622,103,240,25,634,3630,2176,90,322,40,356,2986,1814,66,275,87,239,2470,1084,20,106,126,97,1426,366,5,27,185,51,629,11758,381,1154,474,9364,23126,0,0,0,0,1680,1684,89,4,4,0,2608,2710,1614,46,81,4,3100,4850,2536,103,220,18,1047,3924,2813,148,465,48,634,4102,2159,109,555,139,438,3397,1725,55,495,324,235,2837,791,21,179,686,121,1802,184,4,61,741,77,1068,11919,489,2063,1967,9935,26365,6,0,0,0,3313,3320,134,4,10,3,4848,4990,2914,74,118,11,6252,9369,4890,172,372,22,2005,7460,5432,252,703,72,1271,7734,4332,198,874,181,792,6383,3537,122,765,412,469,5304,1874,42,281,816,220,3227,547,15,87,924,126,1697,23671,876,3213,2433,19299,49492
SED24703,25,4,4,3,4086,4120,222,11,20,9,11749,12006,4291,137,205,8,13560,18198,3067,180,373,9,3266,6892,1895,207,473,13,1400,3987,1645,183,593,53,668,3138,1237,93,391,71,377,2169,468,40,137,84,138,867,155,4,24,96,57,330,12993,854,2221,352,35299,51715,14,12,8,4,5437,5476,367,25,20,10,14098,14519,4695,193,308,11,13035,18242,2760,193,537,25,2725,6236,1999,208,698,78,1170,4160,1584,141,723,187,613,3248,1010,83,513,300,266,2173,349,25,127,386,93,977,56,3,33,320,61,472,12823,882,2969,1332,37497,55502,39,11,9,9,9521,9601,582,38,38,13,25850,26519,8987,332,512,20,26594,36440,5821,367,907,38,5987,13124,3888,424,1175,89,2570,8150,3228,318,1315,245,1281,6394,2248,182,906,369,642,4340,814,67,264,472,227,1848,204,4,58,416,117,807,25817,1741,5184,1678,72801,107222
