SED_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SED26903,6688,1003,132,13,12,7846,4566,1808,285,28,15,6706,2640,3076,836,57,28,6641,478,633,244,0,0,1351,911,491,107,30,8,1550,25,34,37,0,0,104,89,58,16,3,0,166,92,34,10,5,0,141,4244,4331,1254,89,38,9953,109,60,10,0,4,185,567,264,56,3,12,900,16175,7469,1734,132,76,25582
SED27003,1454,2973,1123,18,21,5589,1098,3151,2545,23,26,6853,841,3264,6798,80,60,11044,107,355,2633,0,5,3100,313,988,953,32,19,2312,68,26,254,0,0,353,32,27,59,8,8,131,21,58,60,3,3,151,1377,4719,10764,128,97,17082,57,52,65,3,0,178,113,282,457,11,18,883,4101,11185,14952,174,166,30580
SED27101,6483,842,78,3,9,7410,7014,1098,141,3,20,8283,3006,1521,470,10,12,5025,167,277,49,0,0,490,776,253,42,3,4,1078,37,74,45,0,3,161,53,23,0,0,3,76,74,23,7,0,0,99,4105,2171,610,13,28,6925,73,33,11,0,0,125,361,120,23,0,7,510,18032,4264,865,20,68,23257
SED27208,10170,137,56,332,67,10763,7467,33,12,124,51,7696,1678,160,146,38,11,2036,343,122,97,0,5,564,1432,38,45,46,10,1567,38,37,44,0,0,123,211,16,12,49,4,290,192,11,10,4,6,223,3903,382,337,148,34,4799,169,45,3,4,3,226,694,70,40,30,12,857,22404,670,457,640,170,24335
SED27305,5529,374,125,33,3,6066,8348,213,24,48,3,8637,1659,134,30,18,3,1840,168,3,0,0,0,176,422,25,0,6,3,451,14,0,4,0,0,17,13,0,3,6,0,22,25,0,0,0,0,33,2298,165,39,29,9,2534,62,92,81,0,0,231,304,35,13,10,0,359,16534,880,279,119,15,17824
SED27406,5788,2096,526,20,28,8461,4889,1860,605,53,22,7433,1009,1573,1476,53,19,4128,66,193,89,0,0,347,374,400,153,13,10,961,4,14,39,0,0,60,21,17,18,0,0,49,41,32,21,0,0,94,1517,2230,1795,67,37,5643,59,43,28,0,0,129,272,145,78,4,9,506,12524,6378,3028,149,97,22169
SED27504,7795,401,55,155,16,8422,7958,187,16,27,20,8197,2638,952,114,15,8,3731,644,223,61,0,0,929,1354,189,35,22,10,1600,109,45,23,0,0,172,289,33,13,99,3,440,162,35,3,0,0,200,5189,1472,248,138,22,7064,204,51,0,0,0,264,685,146,23,29,7,894,21833,2259,348,345,63,24856
SED27608,7562,560,25,28,16,8186,9145,377,17,48,18,9603,2602,779,52,26,7,3465,159,69,11,0,0,243,1009,185,18,11,7,1222,73,50,15,4,0,146,51,11,13,3,4,77,59,21,4,0,0,87,3956,1118,110,43,18,5246,210,92,11,0,0,305,415,73,20,5,3,511,21292,2215,180,119,55,23854
SED27708,7947,431,126,76,27,8605,7318,204,50,33,25,7632,2314,702,336,24,18,3390,554,177,151,0,0,881,1230,142,63,14,26,1469,45,20,58,0,0,133,215,21,18,21,3,271,125,10,6,0,0,142,4482,1067,628,58,48,6293,114,32,29,5,3,187,541,74,94,5,16,727,20407,1813,924,175,118,23443
SED27807,7999,638,266,7,6,8933,5330,914,310,10,6,6576,2434,1023,986,18,23,4483,340,179,109,0,0,630,1328,337,197,16,15,1888,48,36,18,0,0,113,288,88,56,3,3,438,134,25,17,0,0,175,4578,1689,1384,37,42,7724,112,21,12,0,3,141,794,169,95,24,15,1096,18812,3436,2072,81,71,24472
SED27907,6479,386,239,0,3,7103,8351,500,162,9,9,9032,2145,751,410,3,6,3311,120,67,45,0,0,233,729,115,81,0,3,933,19,9,10,0,0,34,37,5,7,0,0,47,46,8,9,0,0,56,3100,947,557,3,16,4620,102,15,11,0,0,130,390,64,30,0,4,489,18422,1907,997,10,28,21372
SED28007,5652,693,46,0,3,6394,10321,1191,56,3,24,11595,1583,979,112,0,5,2678,27,22,76,0,0,119,544,178,16,3,3,751,10,19,28,0,0,47,61,28,7,0,0,98,47,6,0,0,0,57,2269,1231,240,0,14,3752,76,83,18,0,0,179,445,106,17,0,0,570,18765,3306,380,5,40,22492
SED28107,4232,765,147,14,4,5162,12301,2188,141,3,6,14640,4489,1212,377,3,8,6089,83,22,26,0,0,123,925,182,55,4,0,1163,34,18,7,0,0,59,86,35,7,18,5,144,58,14,7,3,0,75,5670,1478,466,22,14,7656,65,70,22,0,0,161,548,109,38,0,3,702,22824,4605,818,40,32,28323
SED28203,7889,226,101,0,10,8222,6786,594,176,5,17,7580,2630,918,469,0,9,4028,172,51,34,0,0,259,818,126,75,7,3,1029,20,28,14,0,0,62,155,15,14,0,0,190,85,14,5,0,0,103,3889,1153,600,14,19,5675,96,10,7,0,0,114,684,61,28,0,9,788,19338,2048,912,16,55,22368
SED28301,7456,792,277,16,13,8553,6459,745,231,0,16,7452,1272,605,300,0,8,2194,57,35,20,0,0,111,444,129,55,3,0,635,3,16,9,0,0,27,35,13,4,0,0,52,54,10,7,0,0,71,1874,806,394,10,9,3086,78,86,30,0,0,195,302,83,50,0,43,475,16158,2509,986,25,86,19760
SED28408,6501,706,122,11,12,7357,6320,383,53,15,25,6793,3114,1195,476,10,15,4811,584,275,55,0,3,921,806,180,72,0,8,1069,82,57,38,0,6,180,66,17,17,0,7,107,70,25,8,0,0,102,4726,1752,658,11,38,7181,130,21,3,0,0,154,437,99,35,3,12,589,18111,2957,885,34,89,22074
SED28507,5555,456,27,48,5,6089,9140,641,66,7,6,9852,3646,1150,234,0,5,5031,340,106,15,0,0,457,1012,181,34,7,3,1230,40,13,0,0,0,62,91,15,3,16,0,126,68,8,0,0,0,81,5200,1474,278,21,13,6990,94,46,4,0,0,139,516,86,9,6,3,624,20499,2699,386,77,32,23697
SED28607,6422,1234,283,44,26,8001,6472,2272,417,21,30,9211,2559,1938,1351,65,19,5932,113,306,317,0,3,744,744,331,170,33,13,1289,61,21,66,0,0,146,68,44,13,21,4,147,63,26,18,4,0,100,3612,2659,1933,116,44,8365,90,30,11,3,10,137,396,139,106,9,10,660,16989,6334,2746,191,114,26380
SED28704,5602,232,19,6,10,5865,13342,662,49,3,16,14078,2906,658,112,0,19,3700,67,54,7,0,0,125,636,80,12,4,13,737,28,12,0,0,0,34,61,16,0,0,0,72,61,11,0,0,0,67,3755,821,131,8,23,4740,90,27,0,0,0,115,449,43,7,0,4,501,23237,1782,205,21,58,25299
SED28803,4840,234,20,41,0,5136,13151,756,44,4,13,13965,2825,1079,125,0,11,4048,146,46,11,0,0,200,759,121,12,3,0,894,36,10,4,0,0,46,140,12,0,24,0,182,66,6,0,0,0,82,3978,1275,156,33,18,5460,140,22,0,0,0,162,520,57,6,6,5,603,22619,2354,221,91,35,25324
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
