SED_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED25704,25062,26133,51193,10525,5176,15698,2674,6499,9175,903,925,1829,757,611,1365,14862,13202,28069,7975,10626,18595,5.1,4.6,4.9,59.3,50.5,54.8,56.3,48.2,52.2,158,283,442,209,484,698,1258,2487,3744,1306,2291,3595,6684,3107,9788,184,454,637,331,507,834,7200,4065,11264,24327,24835,49159,3185,3401,6593,17434,17503,34938,8788,9401,18188
SED25802,26157,27956,54113,11390,5254,16636,2995,7303,10293,821,1017,1831,983,897,1879,16185,14465,30649,8061,11448,19514,6.1,6.2,6.1,61.9,51.7,56.6,58.1,48.6,53.1,435,529,967,333,734,1059,1718,3034,4752,1681,2924,4611,8073,3669,11742,211,497,705,343,666,1005,8627,4829,13452,25277,26281,51560,4025,4530,8555,17308,17831,35137,10719,11767,22489
SED25905,26334,27187,53525,12779,6494,19278,3336,6705,10041,766,806,1572,1285,1209,2494,18169,15218,33386,7013,10825,17835,7.1,7.9,7.5,69,56,62.4,64.1,51.5,57.7,891,846,1734,241,510,751,2812,3561,6380,2309,2976,5284,6095,2958,9049,179,344,521,373,608,983,6646,3908,10553,26860,27313,54171,3652,3620,7270,19329,19672,39001,9913,10046,19959
SED26005,30807,31308,62117,16002,8046,24054,3973,8114,12087,898,928,1823,1541,1572,3114,22417,18654,41077,6885,11174,18055,6.9,8.4,7.6,72.8,59.6,66.1,67.8,54.6,61.1,1153,1087,2234,320,583,906,3144,4229,7372,2797,3615,6417,6945,3539,10483,270,405,672,453,667,1124,7665,4613,12278,33224,33124,66344,4875,5057,9930,22505,22449,44948,13581,13757,27333
SED26102,24069,26255,50326,8187,4024,12205,3273,6447,9718,719,813,1539,670,598,1274,12851,11883,24735,9459,12387,21851,5.2,5,5.2,53.4,45.3,49.1,50.6,43,46.6,606,633,1238,400,743,1140,2398,3316,5712,2027,3067,5091,6677,2694,9365,187,349,534,421,625,1048,7284,3668,10952,21847,23348,45196,3904,4197,8101,14573,15292,29865,10427,11446,21872
SED26207,23766,25773,49537,10902,6369,17269,2882,6228,9112,703,821,1526,790,692,1481,15283,14106,29383,7223,10273,17503,5.2,4.9,5,64.3,54.7,59.3,61,52.1,56.3,967,1009,1975,378,711,1085,3457,4532,7983,2045,2500,4546,5042,1764,6812,123,255,375,312,518,832,5480,2539,8021,23593,24977,48567,3103,3250,6358,17333,18723,36059,8393,8645,17044
SED26303,25518,28877,54386,12181,9283,21463,4004,7779,11788,648,926,1574,1033,934,1968,17863,18925,36788,5883,8058,13945,5.8,4.9,5.3,70,65.5,67.6,66,62.3,64,2476,3431,5906,941,1900,2844,6490,8051,14535,2054,2402,4457,2959,1544,4503,133,165,298,274,335,611,3362,2041,5409,22935,25042,47980,4911,5756,10666,14959,16536,31501,11894,13457,25352
SED26406,29872,31352,61228,12591,7708,20297,4239,7255,11493,693,911,1602,1547,1645,3193,19065,17521,36592,9188,12218,21406,8.1,9.4,8.7,63.8,55.9,59.8,58.7,50.6,54.5,3178,3156,6337,692,1104,1797,6806,7745,14552,2522,2938,5455,3460,1661,5114,143,208,354,316,441,760,3915,2312,6230,24628,25884,50508,7665,7887,15554,14828,15983,30813,16486,16742,33234
SED26504,22753,24276,47024,9202,4688,13893,2588,6128,8717,815,908,1723,638,568,1201,13242,12292,25533,7547,9836,17381,4.8,4.6,4.7,58.2,50.6,54.3,55.4,48.3,51.7,311,411,723,298,594,896,1515,2701,4216,1507,2469,3975,6171,2822,8998,200,380,587,343,542,884,6716,3749,10464,21670,22502,44174,3268,3541,6806,15462,15865,31326,8389,9138,17525
SED26603,29930,31613,61545,13652,8251,21902,4184,7158,11344,822,1000,1818,1403,1233,2637,20061,17646,37704,7976,12037,20010,7,7,7,67,55.8,61.3,62.3,51.9,57,2007,2094,4098,630,1164,1797,5296,6224,11516,2586,2975,5564,4987,2103,7093,169,257,426,329,497,825,5482,2855,8342,27272,28717,55988,5888,5773,11665,17544,19109,36646,14073,13867,27937
SED26708,24188,24476,48665,10811,4926,15742,3059,6822,9879,877,978,1856,609,497,1110,15360,13220,28581,7051,9521,16574,4,3.8,3.9,63.5,54,58.7,61,52,56.5,369,496,870,291,580,873,1752,3039,4788,1642,2575,4219,6497,2954,9448,205,354,556,364,540,910,7069,3855,10920,24099,23778,47873,3246,3311,6561,17397,17065,34455,8615,8757,17366
SED26806,32359,35009,67365,17181,14417,31598,4129,6357,10485,752,940,1692,1154,1202,2354,23216,22918,46128,5716,8560,14283,5,5.2,5.1,71.7,65.5,68.5,68.2,62,65,3742,3904,7648,878,1491,2369,10048,11370,21416,2645,3453,6102,2935,1639,4572,129,192,322,311,479,792,3375,2305,5681,21679,23117,44795,8825,9903,18720,10319,11263,21588,19845,21552,41395
SED26903,27663,29323,56979,11149,6981,18132,4050,6421,10466,731,787,1517,1449,1238,2681,17375,15427,32798,8153,11619,19769,8.3,8,8.2,62.8,52.6,57.6,57.6,48.4,52.9,1739,1830,3566,445,930,1375,4339,5239,9577,2341,2702,5044,4227,2097,6322,167,280,446,319,457,768,4708,2834,7544,24627,25888,50513,5246,5296,10537,16069,17523,33590,12416,12265,24686
SED27003,31397,33178,64577,16662,13596,30255,4044,6599,10638,780,1017,1797,1244,1147,2386,22727,22352,45077,5576,7694,13270,5.5,5.1,5.3,72.4,67.4,69.8,68.4,63.9,66.1,3645,4085,7727,1035,1764,2796,9573,10454,20029,2307,2730,5040,2793,1539,4330,133,194,328,311,398,708,3231,2125,5357,22891,24199,47086,7928,8430,16352,12065,13035,25097,18085,18966,37051
SED27101,24248,26263,50512,12045,6721,18771,3269,7016,10280,594,837,1439,999,855,1852,16912,15430,32342,6360,9693,16058,5.9,5.5,5.7,69.7,58.8,64,65.6,55.5,60.4,1754,1718,3480,645,1084,1734,4660,5805,10458,2408,2962,5370,4458,2128,6585,136,217,358,330,520,849,4921,2868,7787,23777,25242,49018,4195,4314,8510,15933,17098,33031,10862,11259,22120
SED27208,26380,25828,52214,9386,4568,13951,2829,6157,8984,809,898,1707,937,664,1596,13956,12282,26240,10535,11579,22111,6.7,5.4,6.1,52.9,47.6,50.3,49.4,45,47.2,317,374,686,240,562,803,1349,2469,3820,1420,2425,3848,6744,2970,9714,251,433,686,357,580,933,7346,3985,11337,24492,24382,48873,3257,3533,6793,17790,17589,35383,8709,9188,17894
SED27305,21973,22988,44961,11770,6269,18038,2992,6912,9903,556,712,1268,821,785,1604,16133,14681,30817,5042,7516,12560,5.1,5.3,5.2,73.4,63.9,68.5,69.7,60.4,65,1077,951,2024,343,582,927,3206,3986,7196,2071,2660,4735,5109,2211,7322,127,234,362,298,515,822,5537,2965,8505,23147,23628,46772,2415,2598,5021,17961,18292,36248,6838,7231,14072
SED27406,22679,25359,48037,11140,6518,17656,3036,6842,9881,545,733,1279,688,693,1384,15405,14782,30192,6040,9268,15310,4.5,4.7,4.6,67.9,58.3,62.9,64.9,55.6,60,1897,1770,3660,654,1175,1832,5403,6271,11666,2380,3061,5439,3251,1499,4749,118,200,317,316,577,888,3682,2271,5957,21723,23931,45650,3840,4229,8074,14697,16319,31015,10206,11114,21318
SED27504,27090,28394,55486,11504,6126,17629,2913,6821,9729,922,968,1882,1107,848,1958,16437,14758,31197,8437,11344,19784,6.7,5.7,6.3,60.7,52,56.2,56.6,49,52.7,447,488,940,319,713,1031,1678,2896,4574,1589,2687,4276,6415,3282,9695,208,417,628,336,531,867,6962,4232,11190,26133,26595,52725,4340,4663,9004,18167,18381,36551,10822,11447,22267
SED27608,26601,28756,55353,12598,6235,18838,3776,8989,12770,793,1058,1850,921,854,1779,18090,17139,35232,7163,10196,17355,5.1,5,5,68,59.6,63.6,64.5,56.6,60.4,1309,1172,2487,532,1072,1606,4229,5591,9820,2685,3507,6189,6562,3054,9611,181,338,515,363,586,942,7103,3976,11077,25337,26694,52036,5742,5914,11654,15638,16620,32263,14001,14752,28757
SED27708,24760,26500,51264,10747,5252,16004,3203,7411,10612,955,1035,1992,825,723,1545,15732,14427,30160,7101,10039,17147,5.2,5,5.1,63.5,54.4,58.8,60.2,51.7,55.8,414,512,930,311,717,1026,1907,3278,5182,1498,2638,4135,6479,3304,9782,217,450,668,344,532,878,7041,4287,11327,23773,24846,48622,3749,4080,7833,16714,17223,33941,9634,10566,20201
SED27807,31497,30953,62454,10991,5783,16776,4472,5648,10126,956,785,1736,2110,1859,3973,18529,14078,32611,10588,14684,25266,11.4,13.2,12.2,58.8,45.5,52.2,52.1,39.5,45.9,913,808,1724,215,382,604,3185,3502,6688,2233,2444,4684,4839,2424,7265,219,347,565,411,487,897,5468,3262,8729,28988,29103,58085,5196,4651,9845,19938,20715,40653,12641,11434,24077
SED27907,23881,25483,49360,11741,6513,18255,2756,6632,9391,678,855,1534,1021,910,1928,16196,14914,31111,6281,9109,15391,6.3,6.1,6.2,67.8,58.5,63,63.5,54.9,59.1,491,558,1048,290,652,941,2073,3155,5226,1933,2783,4710,6771,2945,9714,175,367,544,371,631,1001,7316,3941,11256,23607,24741,48353,3364,3529,6891,17121,17845,34966,8774,9381,18152
SED28007,28719,29946,58667,14978,8074,23050,3752,7768,11519,867,1002,1863,1406,1453,2857,21001,18291,39296,6322,10142,16463,6.7,7.9,7.3,73.1,61.1,67,68.2,56.2,62.1,909,959,1867,278,595,875,3604,4832,8439,2503,3059,5564,6236,2795,9036,178,357,531,405,685,1084,6814,3839,10654,30712,31553,62269,3692,3863,7558,22168,22629,44800,10681,11265,21941
SED28107,36324,35727,72051,18713,9762,28477,4697,8165,12859,1145,1224,2372,1873,2123,3989,26420,21275,47700,7985,12573,20556,7.1,10,8.4,72.7,59.5,66.2,67.6,53.6,60.7,3096,2696,5789,495,673,1165,5175,6376,11549,3470,3925,7391,6303,3512,9821,255,379,637,461,681,1146,7022,4575,11596,35832,35855,71687,7783,7770,15550,19774,19922,39698,20440,20386,40830
SED28203,27307,27845,55153,10753,5583,16328,3384,5237,8620,806,836,1649,1405,1184,2589,16351,12839,29188,9377,13395,22773,8.6,9.2,8.9,59.9,46.1,52.9,54.7,41.9,48.2,1072,1046,2110,223,382,605,2729,3346,6079,2017,2478,4490,4387,2279,6663,199,304,500,342,509,849,4935,3086,8018,26640,27033,53675,4702,4501,9202,17104,17598,34701,12323,12136,24455
SED28301,23876,25713,49588,11010,5662,16670,3499,7221,10719,564,721,1287,892,817,1707,15958,14426,30386,6988,10279,17262,5.6,5.7,5.6,66.8,56.1,61.3,63.1,52.9,57.8,1833,1640,3471,575,920,1499,5197,5723,10918,2246,2894,5145,3842,1565,5406,94,205,301,324,562,882,4262,2337,6594,24500,25577,50073,3072,3328,6399,18162,19001,37164,8616,9207,17823
SED28408,21929,24813,46743,9336,5137,14470,2829,6512,9337,580,784,1361,1047,874,1927,13788,13310,27099,6808,10025,16832,7.6,6.6,7.1,62.9,53.6,58,58.1,50.1,53.8,818,860,1674,477,907,1382,2503,3775,6280,1612,2309,3918,5049,2808,7860,187,381,576,293,409,707,5533,3603,9135,20645,22582,43220,4137,4668,8807,13171,14562,27736,10599,11769,22362
SED28507,26924,28368,55292,13000,6823,19825,3177,6348,9523,787,822,1612,1472,1490,2964,18432,15487,33926,6795,11082,17878,8,9.6,8.7,68.5,54.6,61.4,63,49.3,56,1122,985,2104,289,529,817,2466,3432,5895,2088,2982,5068,6401,3368,9766,247,378,628,435,571,1003,7082,4317,11397,26589,27488,54074,5004,5202,10211,17273,17692,34963,12464,13144,25612
SED28607,27830,29619,57456,14049,9234,23277,3573,7009,10581,745,1013,1763,1124,985,2113,19492,18244,37731,6710,9620,16334,5.8,5.4,5.6,70,61.6,65.7,66,58.3,62,1941,2371,4320,751,1513,2258,5834,7079,12907,2301,2839,5145,4559,1800,6357,145,219,368,362,461,827,5064,2486,7554,26696,27815,54508,4917,5173,10090,17500,18586,36084,12543,13004,25548
SED28704,29315,31013,60320,16576,8175,24752,3321,9390,12711,887,1251,2143,1010,1047,2054,21795,19863,41659,5979,9496,15475,4.6,5.3,4.9,74.3,64,69.1,70.9,60.7,65.7,963,969,1934,438,989,1422,2934,4651,7591,2516,3932,6453,8808,3914,12723,182,459,642,407,738,1152,9402,5114,14514,30444,30986,61433,5626,6063,11687,17872,17829,35703,15841,16967,32811
SED28803,33192,34022,67211,16280,8279,24559,4370,7879,12247,1082,1061,2149,1737,1680,3415,23472,18898,42369,8116,13527,21649,7.4,8.9,8.1,70.7,55.5,63,65.5,50.6,58,1338,1346,2684,294,582,875,3562,4556,8111,2916,3678,6588,6560,3469,10028,266,437,708,483,693,1177,7309,4603,11912,34226,34306,68531,6855,6971,13831,20841,20920,41760,17449,17785,35242
SED29494,3942,2883,6825,811,384,1194,317,326,641,115,81,193,367,251,613,1610,1038,2647,1119,1175,2291,22.8,24.2,23.2,40.8,36,38.8,31.5,27.4,29.7,133,106,238,30,60,91,344,449,792,190,219,404,540,242,777,25,36,60,45,52,101,602,327,932,810,544,1354,2095,1859,3954,534,315,849,2233,1988,4223
SED29797,27,4,25,16,0,16,0,0,0,3,0,3,0,0,0,23,0,23,0,4,4,0,0,0,85.2,0,92,70.4,0,76,0,0,0,0,0,0,3,0,3,0,0,3,12,0,12,0,0,0,0,0,0,12,0,12,13,0,12,12,0,11,12,0,7,16,0,13
