SSC_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SSC20307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,6,0,3,9,13,5,10,0,0,39,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,9,13,3,10,0,0,45,0,0,0,0,0,0,0,0,0,5,0,3,3,3,3,3,0,18,3,8,17,21,11,19,3,0,85
SSC20308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,3,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,7,3,7,5,5,3,0,27
SSC20309,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,4,3,0,0,27
SSC20310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,3,0,0,0,13,0,0,0,0,3,0,0,0,7,3,4,5,3,0,0,0,0,16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,8,5,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,7,11,6,8,10,5,0,0,53
SSC20311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,11,3,0,6,3,0,3,3,0,18
SSC20312,189,120,69,37,16,4,965,8,65,55,49,43,22,9,4,252,344,953,443,306,216,93,72,18,2450,182,304,139,137,104,73,50,26,1020,102,156,82,107,91,41,25,10,608,13,13,9,12,8,0,0,3,55,10,32,10,21,13,12,11,4,119,124,196,101,137,111,57,42,16,777,18,24,16,13,12,8,10,6,99,173,187,92,100,71,68,91,117,910,880,2241,1030,862,622,354,283,192,6474
SSC20313,253,176,88,38,12,3,924,6,57,93,97,75,34,13,4,360,200,670,555,391,243,130,73,14,2271,78,209,179,186,143,83,46,16,948,101,138,137,219,137,63,70,22,894,6,8,8,9,15,3,3,0,50,4,9,19,37,23,20,8,5,122,116,158,166,263,177,82,79,25,1069,9,15,12,16,9,13,8,5,86,79,71,72,92,82,60,60,36,550,501,1511,1338,1224,811,439,290,100,6209
SSC20314,193,133,80,41,5,4,708,9,33,65,80,60,19,5,0,273,175,430,396,338,198,105,43,18,1695,98,109,101,140,136,66,36,21,710,80,80,78,120,107,49,41,16,578,3,10,8,11,8,4,5,0,41,7,12,11,23,22,12,8,4,89,93,101,96,153,134,61,52,22,707,3,9,9,9,4,11,12,3,53,95,50,42,74,75,59,56,26,476,483,944,906,926,690,364,210,95,4622
SSC20315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,0,10
SSC20316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6,0,8,6,4,0,0,0,0,18
SSC20318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9
SSC20319,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,6,0,0,0,0,4,0,0,0,6,3,3,6,0,4,0,0,0,20,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,9,3,4,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,11,3,4,12,11,7,13,0,0,48
SSC20320,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,9,8,4,0,3,0,27,0,3,6,3,3,3,0,0,18,4,3,8,9,6,3,0,0,35,0,0,0,0,0,0,0,0,3,3,0,0,4,4,0,0,0,11,8,8,8,9,11,5,0,0,54,0,0,0,0,0,0,0,0,0,3,0,4,8,3,5,0,0,36,12,17,25,32,23,18,8,0,143
SSC20321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,5,3,0,0,11
SSC20322,86,14,10,3,0,0,310,3,26,28,9,3,3,0,0,71,193,484,244,88,67,30,3,0,1101,76,189,127,75,57,15,3,5,546,79,169,134,115,92,38,20,5,657,17,17,7,15,4,0,0,0,55,12,27,20,23,14,9,3,3,112,106,211,159,150,109,47,24,5,823,11,17,10,11,6,9,0,0,72,117,157,103,97,95,81,48,20,728,528,1265,753,444,355,191,82,31,3647
SSC20323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,7,3,7,11,0,0,8,0,0,22
SSC20324,3,3,0,0,0,0,18,3,0,3,5,5,3,0,0,15,8,28,13,5,3,0,3,0,62,6,12,16,8,13,9,0,0,56,31,38,39,37,28,18,8,3,199,3,4,0,3,0,0,0,0,9,3,4,0,3,3,3,0,0,13,32,50,38,45,32,15,8,3,227,0,3,0,0,0,0,0,0,5,10,14,11,14,12,21,10,3,94,55,114,88,78,67,53,21,8,478
SSC20325,0,0,5,3,0,0,15,0,0,0,3,3,0,0,0,8,0,3,7,3,3,10,0,0,24,0,0,3,0,5,8,0,0,12,0,3,0,4,10,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,10,0,4,0,19,0,0,0,0,0,0,0,0,0,0,4,3,0,6,5,0,0,28,0,19,9,11,34,26,6,0,107
SSC20326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,4,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,5,3,5,0,0,19
SSC20327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,4,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,4,4,6,0,0,0,21
SSC20328,7,3,4,3,0,0,19,0,3,7,8,8,6,0,0,34,0,12,19,19,26,8,3,0,80,5,6,12,16,26,11,0,0,82,21,43,40,37,47,21,0,0,203,3,5,4,4,5,0,0,0,13,0,0,0,0,3,0,0,0,10,25,54,41,39,52,21,0,0,229,0,0,0,0,0,0,0,0,6,14,12,12,12,27,20,19,3,117,45,90,87,90,148,68,24,3,562
SSC20329,32,27,19,8,8,0,125,0,12,18,21,21,13,5,0,90,22,110,136,66,66,47,6,0,453,17,45,65,55,52,51,12,0,296,36,88,80,93,65,65,34,3,454,4,10,4,8,0,4,0,0,33,3,3,7,11,4,8,3,0,42,46,98,89,113,74,76,37,3,528,0,0,3,5,3,3,0,0,16,12,19,22,19,31,42,30,9,182,98,322,362,299,267,234,95,17,1702
SSC20330,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,3,0,0,3,5,5,0,0,0,11,0,0,0,4,3,0,0,0,9,0,3,4,3,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,11,13,9,7,0,0,49
SSC20331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,3,0,3,3,0,0,9,0,0,6,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,7,0,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,14,0,5,18,6,9,12,3,0,55
SSC20332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,5,3,0,0,0,23
SSC20333,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,7,5,0,0,0,12,0,0,3,4,6,3,3,0,16,3,4,6,6,15,14,3,0,58,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,9,13,9,16,14,3,0,61,0,0,0,0,0,0,0,0,4,6,7,8,8,3,4,3,3,44,11,17,18,30,33,22,13,7,144
SSC20334,14,7,13,9,0,0,43,0,5,5,11,21,10,0,0,59,7,47,67,33,43,40,17,5,267,3,20,38,44,42,46,14,8,215,17,31,46,76,63,61,22,9,328,4,3,0,4,6,3,0,0,14,0,0,4,9,14,6,0,5,34,27,35,52,86,78,66,29,13,381,0,0,0,6,5,5,3,3,23,21,25,29,32,45,51,35,24,263,55,137,213,218,246,226,101,56,1255
SSC20335,416,565,434,234,82,26,2029,4,53,143,206,175,109,32,10,734,297,845,1137,1274,1015,646,268,101,5590,72,180,233,359,379,335,196,90,1843,86,189,152,242,173,133,76,34,1086,17,11,11,16,15,15,4,0,89,13,20,32,62,77,79,33,23,334,116,221,189,318,265,223,118,56,1504,7,18,22,27,40,33,20,17,188,181,162,159,258,222,247,200,174,1595,704,1731,2301,3021,2523,1826,917,473,13484
SSC20336,291,304,208,106,40,13,1119,7,25,102,152,132,64,15,6,509,184,442,819,874,583,290,141,85,3412,53,113,223,327,237,202,126,69,1339,67,121,133,193,188,127,81,52,959,6,5,12,12,6,5,4,0,60,14,14,19,49,37,36,27,28,230,83,135,170,252,233,172,112,88,1246,0,3,18,25,14,14,15,15,105,87,58,115,145,115,121,155,214,1014,422,916,1733,2071,1534,973,601,486,8743
SSC20337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,3,3,0,0,10,3,8,6,7,3,3,0,0,31,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,8,8,11,10,3,0,0,35,0,0,0,0,0,0,0,0,4,0,0,0,3,0,4,0,0,6,7,7,11,15,14,8,3,0,63
SSC20338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC20339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,3,0,0,0,9,4,0,0,25
SSC20340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,0,0,13,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,3,0,15,10,0,6,5,8,4,3,0,40
SSC20341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,3,3,5,0,0,0,0,14
SSC20343,12,7,4,3,0,0,26,0,11,6,16,7,7,0,0,52,8,45,52,37,27,18,9,0,190,24,71,55,58,51,27,12,0,295,77,182,123,165,126,58,20,8,766,16,11,6,6,10,0,0,0,54,13,9,3,15,6,12,0,0,59,107,204,139,186,143,69,20,8,880,3,6,3,3,0,4,0,0,24,54,44,37,57,68,47,34,21,367,202,376,306,364,310,176,78,29,1837
SSC20344,65,18,19,7,0,0,251,8,18,21,14,3,3,0,0,64,108,370,163,83,59,20,11,0,810,93,240,128,98,62,19,11,3,652,160,249,178,149,87,58,25,11,922,33,21,22,17,10,4,0,0,102,16,34,29,20,14,0,3,0,120,207,307,223,193,110,62,30,10,1150,11,30,12,4,9,0,0,0,71,241,326,192,203,148,114,92,23,1342,678,1429,799,610,407,225,145,43,4340
SSC20345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,7,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,15,10,11,5,9,11,0,0,0,39
SSC20346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,5,0,3,0,0,0,10
SSC20347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,10,8,4,0,0,17
SSC20348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,3,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,11,4,0,3,9,3,8,0,0,28
SSC20349,71,22,9,3,7,0,188,5,27,20,19,10,0,0,0,87,46,239,181,91,57,27,6,0,640,52,198,170,102,76,36,6,4,639,190,402,277,190,159,79,40,5,1347,18,28,17,9,16,4,0,0,82,16,24,21,21,22,13,0,0,115,223,450,313,226,193,98,38,5,1546,3,8,13,3,5,3,0,3,45,80,106,90,58,65,67,46,16,529,419,1102,862,510,408,229,110,32,3673
SSC20350,15,6,4,0,0,0,62,0,10,6,3,3,0,0,0,28,18,144,54,18,15,3,0,0,261,11,63,40,22,9,6,0,0,149,26,77,40,36,27,14,9,4,233,0,0,3,5,3,0,0,0,16,0,9,10,0,9,0,0,0,30,33,80,54,47,39,14,8,4,279,0,5,4,0,0,0,0,0,9,12,40,14,17,11,13,14,7,127,77,375,182,112,86,38,26,12,908
SSC20351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20352,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,4,3,0,4,4,0,0,18,0,0,5,11,3,0,0,0,20,3,4,3,6,9,3,3,0,37,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,4,11,6,9,7,3,0,43,0,0,0,0,0,0,0,0,0,12,0,5,13,17,3,3,0,45,13,11,20,31,38,10,8,0,132
SSC20353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,8,0,0,0,0,13,3,3,4,3,0,0,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,3,4,5,3,0,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,5,6,8,12,10,6,3,0,53
SSC20354,12,12,16,4,0,0,69,0,21,24,18,20,5,0,0,90,13,140,102,49,43,30,9,0,388,16,55,58,43,46,21,5,0,252,74,185,114,117,86,25,10,6,614,8,9,16,4,5,0,0,0,42,3,3,17,11,9,3,9,0,46,83,191,140,129,97,27,21,6,699,0,7,3,0,3,3,0,0,16,27,22,26,23,32,34,34,11,217,147,453,366,284,261,126,66,14,1726
SSC20355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,12,0,0,0,5,6,0,0,0,7,0,0,6,5,0,0,0,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,7,3,11,9,8,3,0,0,45
SSC20356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,3,0,0,0,0,3,3,0,0,11,0,3,0,3,4,3,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,5,0,4,3,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,4,9,11,14,0,0,40
SSC20357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,3,0,0,13,0,0,3,3,0,0,0,0,8,0,4,8,3,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,5,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,3,0,3,7,0,0,15,0,11,17,6,10,11,0,0,55
SSC20358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20359,839,398,280,97,22,0,2862,24,316,278,179,140,56,5,0,1004,795,2947,1448,663,352,168,35,12,6420,161,631,352,219,157,74,24,7,1626,212,522,292,204,166,63,46,15,1521,29,32,16,9,10,6,0,0,108,35,44,46,42,43,17,6,3,230,272,606,357,255,223,82,51,19,1857,21,47,28,22,17,13,7,0,157,269,516,295,203,130,96,92,45,1636,1601,6228,3603,1937,1284,590,234,83,15564
SSC20360,349,179,109,56,16,0,1371,8,180,159,87,61,24,6,0,522,375,1570,699,297,162,72,21,4,3194,74,317,207,113,66,35,5,4,813,114,304,139,95,55,29,26,6,766,15,19,18,6,3,5,0,0,61,4,26,11,25,11,13,0,0,92,132,349,171,129,75,39,26,5,923,7,14,13,7,5,3,0,0,50,102,312,157,73,57,42,42,19,803,714,3373,1754,880,535,272,110,36,7671
SSC20361,380,197,130,52,6,0,1313,16,170,148,115,93,32,7,0,581,361,1295,749,395,214,108,21,4,3158,102,358,212,168,107,49,10,13,1015,136,346,194,179,108,73,28,30,1090,19,15,14,13,11,3,0,0,75,6,29,27,33,21,11,8,3,131,166,390,237,221,134,86,41,28,1304,7,27,13,14,17,3,5,0,85,110,265,170,108,117,74,88,47,982,790,3029,1908,1214,813,404,180,102,8439
SSC20362,3,3,3,0,0,0,7,0,3,5,4,0,5,0,0,18,0,5,12,14,10,11,0,0,53,6,4,7,14,13,5,3,0,60,13,22,31,23,24,13,11,0,142,8,0,3,0,0,0,0,0,11,0,0,3,0,4,0,0,0,13,15,23,41,23,29,16,9,0,159,0,0,0,0,0,3,0,0,3,7,3,12,17,20,19,17,7,96,33,41,76,76,77,61,28,4,395
SSC20363,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,6,3,3,4,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,3,3,9,3,0,0,18,4,3,6,12,17,4,3,0,44
SSC20364,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,11,0,0,0,3,5,0,0,0,14,3,3,5,10,6,4,0,0,33,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,3,3,3,11,12,13,4,3,0,49,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,8,0,29,7,5,13,23,27,6,10,0,102
SSC20365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,5,0,3,6,0,3,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,7,3,4,3,3,4,36
SSC20366,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3,0,0,6,0,8,0,0,0,17,0,0,0,4,3,4,4,0,16,0,3,4,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,7,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,14,0,7,10,15,23,6,8,3,75
SSC20367,0,6,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,0,4,5,0,0,18,0,3,3,11,0,6,0,0,18,3,3,4,5,5,5,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,3,4,14,5,5,0,0,34,0,0,0,0,0,0,0,0,0,6,0,0,3,6,4,0,0,19,10,5,14,36,23,12,0,0,100
