SSC_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SSC20514,0,0,0,35,12,0,49,167,27,239
SSC20515,3,0,3,15,17,0,31,50,3,77
SSC20516,0,0,5,7,0,0,7,9,0,20
SSC20517,0,0,0,0,0,0,0,9,3,13
SSC20518,301,31,338,862,383,18,1262,3154,283,4702
SSC20519,16,0,12,174,59,12,245,1075,85,1407
SSC20520,540,121,665,2239,1060,77,3379,8426,959,12760
SSC20521,310,37,361,2107,726,62,2899,6189,604,9689
SSC20522,0,0,0,7,0,0,7,27,0,41
SSC20523,3,0,3,47,26,0,77,175,21,275
SSC20524,0,0,0,48,13,0,60,130,10,197
SSC20525,112,8,128,1350,382,32,1767,4992,541,7300
SSC20526,0,0,0,0,0,0,0,0,0,0
SSC20527,0,0,0,0,0,0,0,0,0,0
SSC20528,0,0,5,3,4,0,5,15,8,32
SSC20529,0,0,0,8,7,0,14,13,0,28
SSC20530,0,35,35,46,27,0,79,131,114,316
SSC20531,0,0,0,24,4,0,26,31,0,56
SSC20532,44,18,65,116,75,3,194,631,84,908
SSC20533,0,0,0,4,0,0,6,24,0,33
SSC20534,210,108,318,1324,383,51,1762,4086,588,6430
SSC20535,54,5,57,977,322,39,1341,2709,246,4294
SSC20536,691,203,908,3933,1190,117,5243,11892,1148,18280
SSC20537,0,0,0,6,8,4,17,29,0,55
SSC20538,0,0,0,6,3,0,11,33,3,51
SSC20539,0,0,0,0,0,0,0,3,0,3
SSC20540,0,0,0,22,10,0,33,119,35,188
SSC20541,0,0,0,0,0,0,0,0,0,0
SSC20542,0,0,0,24,11,0,33,71,26,131
SSC20543,0,0,3,12,3,0,19,37,7,64
SSC20544,6,0,13,68,51,14,131,348,749,1229
SSC20545,0,0,0,4,6,0,6,27,13,42
SSC20546,3,0,3,17,3,0,24,62,10,95
SSC20547,0,0,0,0,0,0,0,5,0,5
SSC20548,20,6,25,225,107,11,348,832,147,1326
SSC20549,0,0,0,10,0,0,8,41,5,51
SSC20550,0,0,0,3,0,0,3,0,0,5
SSC20551,3,0,3,3,0,0,5,17,8,27
SSC20552,0,0,0,23,11,0,30,46,8,81
SSC20553,128,24,159,1658,747,62,2467,5213,448,8127
SSC20554,0,0,0,0,0,0,0,11,3,8
SSC20555,0,0,0,14,3,0,19,41,3,59
SSC20556,4,0,4,65,24,4,89,170,38,294
SSC20557,6,0,6,144,75,10,228,518,63,814
SSC20558,41,4,48,636,329,50,1012,2494,438,3946
SSC20559,0,0,0,0,0,0,0,0,0,0
SSC20560,0,0,0,0,0,0,0,8,3,14
SSC20561,0,0,0,21,10,0,34,63,10,109
SSC20562,0,0,0,0,0,0,3,21,0,24
SSC20563,180,33,216,982,429,18,1429,4624,393,6445
SSC20564,0,0,0,37,30,5,69,157,38,260
SSC20565,0,0,0,16,7,0,23,24,4,45
SSC20566,398,90,488,1880,497,31,2408,14071,1130,17607
SSC20567,178,19,199,1870,556,36,2462,7445,717,10626
SSC20568,0,0,0,17,9,4,30,22,3,51
SSC20569,3,0,3,66,31,3,103,160,30,285
SSC20570,0,3,3,34,14,0,41,129,12,189
SSC20571,41,8,55,1011,332,51,1386,3452,456,5300
SSC20572,115,21,138,1094,555,54,1699,4124,421,6248
SSC20573,0,0,0,57,18,4,81,196,15,287
SSC20574,0,0,0,8,0,0,8,7,0,11
SSC20575,3,0,3,26,16,0,38,104,11,152
SSC20576,0,0,0,5,0,0,5,27,3,32
SSC20577,34,9,39,214,109,11,333,984,151,1470
SSC20578,10,0,6,455,100,19,569,933,124,1626
SSC20579,16,3,20,1923,365,68,2349,3221,346,5907
SSC20580,0,0,0,18,3,0,25,52,7,84
SSC20581,0,0,0,3,0,0,7,47,9,51
SSC20582,0,0,0,11,8,0,12,26,6,44
SSC20583,0,0,0,46,17,3,58,109,16,191
SSC20584,0,0,0,16,8,0,21,30,3,53
SSC20585,0,0,0,0,0,0,0,6,0,6
SSC20586,0,0,0,0,0,0,0,0,0,0
SSC20587,63,9,79,245,91,12,353,1030,154,1531
SSC20588,166,35,204,761,281,17,1053,3379,564,4990
SSC20589,0,0,3,46,19,3,71,100,16,180
SSC20590,0,0,0,17,8,0,20,38,6,68
SSC20591,0,0,0,8,3,0,8,17,12,44
SSC20592,508,51,567,4151,1173,168,5492,15133,1322,21945
SSC20593,260,20,286,1307,281,41,1635,4073,537,6251
SSC20594,0,0,0,0,0,0,0,0,0,0
SSC20595,0,0,0,0,0,0,0,6,0,9
SSC20596,22,6,29,817,271,51,1138,1861,291,3288
SSC20597,0,0,0,0,0,0,0,0,0,0
SSC20598,0,0,0,9,3,0,11,22,3,39
SSC20599,0,0,0,13,3,0,17,35,4,58
SSC20600,113,14,125,279,153,20,449,1441,196,2086
SSC20601,6,0,6,69,20,0,94,212,31,338
SSC20602,0,0,0,4,0,0,4,0,0,7
SSC20603,324,76,404,1207,617,46,1866,4841,788,7497
SSC20604,0,5,8,11,3,0,16,20,7,38
SSC20605,3,0,3,14,7,0,25,167,21,204
SSC20606,0,0,0,10,6,0,24,44,8,69
SSC20607,3,0,5,60,22,0,80,140,21,245
SSC20608,0,0,0,3,4,0,6,16,0,23
SSC20609,18,4,21,394,151,24,575,1047,98,1717
SSC20610,52,22,73,123,48,3,175,635,91,905
SSC20611,3,3,4,38,16,0,54,198,37,285
SSC20612,40,30,68,717,283,25,1017,5473,1040,7535
SSC20613,0,0,0,3,0,0,3,3,13,21
SSC20614,0,0,0,19,4,0,31,69,7,111
SSC20615,0,0,3,15,13,0,31,60,16,99
SSC20616,4,0,4,113,35,3,149,280,37,466
SSC20617,3,5,11,120,69,7,197,349,99,647
SSC20618,0,0,0,3,0,0,3,10,3,18
SSC20619,0,0,0,8,0,0,12,22,0,34
SSC20620,65,4,67,375,106,9,490,1817,236,2541
SSC20621,0,0,0,23,9,0,26,47,9,81
SSC20622,4,0,4,15,3,3,25,80,3,108
SSC20623,0,0,3,49,3,10,62,114,11,194
SSC20624,3,0,3,21,12,0,33,114,14,164
SSC20625,0,0,0,3,0,0,5,21,0,25
SSC20626,0,0,0,4,0,0,4,4,0,11
SSC20627,0,0,0,50,12,3,65,205,30,304
SSC20628,0,0,0,13,3,0,13,22,9,47
SSC20629,4,0,3,37,10,3,54,115,17,185
SSC20630,0,0,0,3,3,0,4,14,0,20
SSC20631,0,0,0,8,6,0,11,11,0,17
SSC20632,0,0,0,17,17,0,40,81,17,134
SSC20633,0,0,0,12,7,0,15,49,13,78
SSC20634,0,0,0,24,9,0,31,71,15,113
SSC20635,10,5,17,85,47,0,136,483,65,682
SSC20636,145,36,188,2182,929,94,3211,7786,1176,12174
SSC20637,0,0,0,12,0,0,12,7,3,22
SSC20638,0,0,0,6,5,0,8,21,3,33
SSC20639,0,0,0,10,12,0,20,65,12,92
SSC20640,15,10,22,71,53,4,123,497,77,698
SSC20641,0,0,0,13,4,3,21,82,10,110
SSC20642,0,0,0,50,16,4,71,147,14,233
SSC20643,0,0,0,3,0,0,3,9,0,12
SSC20644,63,20,82,163,78,10,251,742,144,1140
SSC20645,0,3,3,14,19,0,34,51,6,87
SSC20646,0,0,0,6,0,0,5,36,5,45
SSC20647,3,0,3,8,4,0,15,30,0,44
SSC20648,0,0,0,7,4,0,12,46,11,66
SSC20649,0,0,0,3,3,0,6,8,0,10
SSC20650,11,0,11,79,55,0,132,362,25,526
SSC20651,0,0,0,0,0,0,0,0,0,0
SSC20652,0,0,0,7,3,0,4,24,5,30
SSC20653,230,52,289,608,353,35,991,2753,398,4144
SSC20654,0,0,0,7,3,0,10,24,3,29
SSC20655,4,0,4,54,43,0,99,195,21,308
SSC20656,0,0,0,7,0,0,7,33,3,48
SSC20657,162,35,202,10653,1967,282,12898,21960,2328,37187
SSC20658,179,56,239,3355,1118,145,4620,9714,1452,15787
SSC20659,238,42,279,3720,657,125,4502,6443,761,11706
SSC20660,67,14,88,4356,891,145,5389,8496,1029,14922
SSC20661,18,5,21,203,116,10,334,1001,108,1443
SSC20662,69,3,76,3385,657,89,4130,6334,674,11142
SSC20663,0,0,0,3,0,0,3,11,0,13
SSC20664,0,0,0,15,10,0,25,78,8,119
SSC20665,6,0,6,234,83,12,320,1278,220,1819
SSC20666,0,0,3,26,8,0,31,107,12,150
SSC20667,116,30,151,416,240,17,672,1642,321,2638
SSC20668,0,0,0,4,5,0,13,20,21,50
SSC20669,17,5,18,548,243,29,819,1533,178,2536
SSC20670,0,0,0,0,0,0,0,0,0,0
SSC20671,0,0,0,0,0,0,0,4,0,4
SSC20672,0,0,0,7,3,0,11,8,0,17
SSC20673,3,0,3,39,15,0,63,95,11,169
SSC20674,3,0,3,22,6,3,35,81,14,133
SSC20675,0,0,0,15,0,0,16,36,8,68
SSC20676,0,0,0,11,0,0,11,41,0,55
SSC20677,693,122,825,4460,1835,195,6485,14213,1435,22129
SSC20678,30,10,44,915,351,41,1311,2569,143,4028
SSC20679,139,40,184,1383,544,61,1990,4052,343,6382
SSC20680,41,5,47,875,338,31,1250,2234,186,3670
SSC20681,0,0,0,0,0,0,0,5,0,5
SSC20682,0,0,3,48,20,7,75,80,18,167
SSC20683,0,3,3,36,16,0,50,140,26,206
SSC20684,0,0,4,8,3,0,14,69,9,90
SSC20685,0,0,0,3,3,0,9,12,8,32
SSC20686,0,0,0,8,4,0,11,23,3,36
SSC20687,0,0,0,8,3,0,12,48,6,66
SSC20688,0,0,0,3,3,0,4,4,0,7
SSC20689,0,0,0,3,3,0,3,5,0,10
SSC20690,0,0,3,0,0,0,0,13,5,21
SSC20691,0,0,0,26,9,0,33,50,6,96
SSC20692,7,0,7,336,97,16,448,603,104,1158
SSC20693,0,0,0,3,0,0,6,17,3,23
SSC20694,0,0,0,3,9,0,11,55,3,68
SSC20695,3,0,3,44,27,3,72,232,21,324
SSC20696,0,0,0,70,11,8,87,196,26,307
SSC20697,57,13,68,965,245,12,1220,3309,642,5165
SSC20698,0,0,0,16,11,0,28,91,26,145
SSC20699,0,0,0,0,6,0,9,22,3,31
SSC20700,0,0,0,0,0,0,0,0,0,0
SSC20701,0,3,7,109,43,5,151,270,32,456
SSC20702,474,115,601,4426,898,78,5403,16100,2627,24126
SSC20703,407,50,457,3366,1135,76,4577,12531,1314,18417
SSC20704,0,0,0,4,6,0,9,102,51,156
SSC20705,0,0,0,0,0,0,0,3,0,3
SSC20706,0,0,3,4,6,0,7,77,14,92
SSC20707,43,9,52,1593,572,59,2223,3883,422,6530
SSC20708,0,0,0,0,3,0,8,27,0,31
SSC20709,0,0,0,19,3,0,22,57,6,86
SSC20710,7,0,7,136,45,4,186,334,51,570
SSC20711,3,0,3,63,35,4,109,197,41,339
SSC20712,0,0,0,0,0,0,0,12,0,12
SSC20713,3,0,3,33,18,11,62,163,48,274
SSC20714,0,0,0,7,7,0,19,63,6,90
SSC20715,0,0,0,5,7,0,10,17,3,36
SSC20716,108,21,134,311,139,16,470,1542,217,2229
SSC20717,0,0,0,20,8,0,26,54,10,95
SSC20718,3,0,3,50,22,0,74,124,17,212
SSC20719,0,0,0,0,0,0,3,4,8,8
SSC20720,0,0,0,18,4,0,30,105,10,145
SSC20721,0,0,0,31,13,0,50,104,13,170
SSC20722,116,10,124,306,138,13,447,1224,62,1735
SSC20723,135,27,162,2989,889,58,3934,9115,1322,14371
SSC20724,122,14,141,1078,463,52,1592,3078,326,4994
SSC20725,98,4,105,1258,391,18,1668,4762,456,6884
SSC20726,0,0,0,4,0,0,4,3,0,6
SSC20727,0,0,0,0,8,0,12,15,7,25
SSC20728,0,0,0,3,0,0,3,15,0,21
SSC20729,0,0,0,7,0,0,7,17,0,17
SSC20730,7,0,7,89,29,4,126,200,30,353
SSC20731,14,3,22,422,127,14,559,782,84,1423
SSC20732,0,0,0,22,15,0,31,73,16,122
SSC20733,0,0,0,0,0,0,0,0,0,0
SSC20734,3,0,3,0,4,0,4,7,3,21
SSC20735,0,0,0,78,35,3,120,284,25,437
SSC20736,0,0,0,10,3,0,11,20,0,32
SSC20737,12,4,20,2004,296,49,2353,3059,331,5745
SSC20738,0,0,0,10,3,0,7,33,0,45
SSC20739,12,5,20,47,27,3,79,214,37,330
SSC20740,10,0,10,27,10,0,31,121,18,170
SSC20741,0,0,0,0,0,0,0,10,4,14
SSC20742,19,4,24,211,116,11,341,837,129,1309
SSC20743,5,3,4,49,25,3,71,200,18,296
SSC20744,0,0,0,21,13,0,33,92,18,145
SSC20745,0,0,0,30,7,0,37,108,264,404
SSC20746,84,17,101,2197,772,110,3080,5913,398,9390
SSC20747,3,0,3,18,8,0,29,66,10,97
SSC20748,13,0,14,415,158,16,592,1466,234,2294
SSC20749,0,0,0,14,5,0,17,49,8,78
SSC20750,64,29,92,194,82,13,282,1006,197,1489
SSC20751,0,0,0,23,12,0,38,106,28,169
SSC20752,202,55,257,1700,727,60,2492,5490,497,8480
SSC20753,0,0,0,9,7,0,19,40,8,69
SSC20754,0,0,0,28,3,3,28,77,72,173
SSC20755,0,0,0,23,5,0,32,64,9,99
SSC20756,4,0,4,49,33,0,80,192,12,289
SSC20757,0,0,0,5,0,0,7,11,5,26
SSC20758,0,0,0,17,6,0,27,65,16,103
SSC20759,0,0,0,3,3,0,6,34,6,46
SSC20760,9,9,18,1010,301,11,1318,7491,1362,10175
SSC20761,0,0,0,3,0,0,3,10,0,13
SSC20762,0,0,0,6,0,3,11,33,3,46
SSC20763,6,0,6,96,36,3,142,273,35,454
SSC20764,75,32,110,161,86,12,259,826,184,1271
SSC20765,552,146,707,3095,1364,58,4521,12514,1127,18157
SSC20766,693,118,829,4863,1782,113,6759,15754,1114,23637
SSC20767,3,0,3,21,13,0,35,91,20,151
SSC20768,478,78,558,2006,846,54,2910,6745,572,10235
SSC20769,0,0,0,0,3,0,3,3,3,9
SSC20770,4,0,4,32,23,3,55,141,10,206
SSC20771,4,0,4,68,26,3,99,135,17,249
SSC20772,0,0,0,3,0,0,5,27,5,40
SSC20773,54,12,62,5375,1142,220,6736,7661,718,15127
SSC20774,0,0,0,6,0,0,8,17,4,28
SSC20775,0,0,0,0,0,0,0,0,0,0
SSC20776,0,0,0,18,7,0,19,27,3,50
SSC20777,115,37,155,1271,361,30,1671,5056,799,7520
SSC20778,0,0,0,3,0,0,3,44,0,48
SSC20779,0,0,0,3,0,0,7,20,4,28
SSC20780,0,0,0,19,4,0,22,35,8,66
SSC20781,0,0,0,4,0,0,4,30,4,38
SSC20782,136,24,168,816,462,49,1323,3249,349,4920
SSC20783,0,0,0,0,0,0,0,4,0,8
SSC20784,287,43,337,1989,812,127,2929,5984,907,9828
SSC20785,0,0,0,44,9,0,49,73,18,146
SSC20786,0,3,6,52,37,0,88,165,22,274
SSC20787,8,0,4,42,27,0,67,199,26,292
SSC20788,0,0,0,4,3,0,10,15,3,27
SSC20789,0,0,0,38,7,3,44,69,10,121
SSC20790,9,0,6,82,65,0,141,286,41,475
SSC20791,0,0,0,7,0,0,11,25,0,35
SSC20792,3,0,3,38,14,4,54,140,21,216
SSC20793,0,3,5,30,9,0,35,96,25,157
SSC20794,0,0,0,26,5,0,34,85,9,125
SSC20795,0,0,0,0,0,0,0,19,0,27
SSC20796,180,35,216,601,324,39,967,2327,256,3547
SSC20797,0,3,4,6,0,0,7,20,5,31
SSC20798,9,0,9,61,29,9,94,233,30,356
SSC20799,0,0,3,15,7,0,16,52,11,77
SSC20800,0,0,0,3,3,0,4,10,0,17
SSC20801,0,0,0,9,7,0,14,24,13,42
SSC20802,0,0,0,12,0,0,12,26,3,41
SSC20803,13,3,21,95,37,5,144,327,72,544
SSC20804,0,0,0,0,3,0,5,27,3,28
SSC20805,0,0,0,3,0,0,3,10,3,19
SSC20806,0,0,3,47,19,3,66,114,8,188
SSC20807,19,6,25,92,46,0,137,573,77,784
SSC20808,0,0,0,9,9,0,21,36,4,62
SSC20809,0,0,0,0,0,0,0,8,3,7
SSC20810,3,0,3,68,35,6,105,193,14,311
SSC20811,0,0,0,4,12,0,18,34,9,57
SSC20812,0,0,0,4,3,0,9,8,6,19
SSC20813,0,0,0,0,0,0,0,0,0,3
SSC20814,0,0,0,14,6,0,26,62,12,100
SSC20815,0,0,0,4,3,0,4,17,0,26
SSC20816,22,5,28,134,60,5,199,682,76,961
SSC20817,84,34,119,826,445,31,1306,2734,577,4613
SSC20818,0,0,0,0,0,0,0,3,0,5
SSC20819,80,8,91,659,300,26,984,2101,150,3231
SSC20820,0,0,0,12,3,0,13,50,9,69
SSC20821,17,3,26,177,58,4,246,673,150,1065
SSC20822,76,13,93,262,177,3,449,1206,151,1802
SSC20823,55,14,70,651,258,32,935,2075,215,3226
SSC20824,125,23,146,369,357,3,733,3367,561,4667
SSC20825,0,0,0,4,4,0,7,73,6,83
SSC20826,0,0,0,19,0,0,19,36,10,67
SSC20827,3,4,7,121,53,8,182,468,68,714
SSC20828,0,0,0,5,3,0,12,19,3,29
SSC20829,0,0,0,4,0,0,4,9,0,15
SSC20830,72,70,143,427,145,20,587,1283,322,2196
SSC20831,0,0,0,28,7,0,33,51,21,107
SSC20832,350,96,451,1999,882,97,2979,7364,1169,11508
SSC20833,3,0,9,72,38,3,115,281,33,435
SSC20834,0,0,0,62,32,3,97,212,35,344
SSC20835,0,0,3,37,13,0,49,83,20,152
SSC20836,0,0,0,15,3,0,20,55,4,84
SSC20837,6,0,9,213,82,0,298,578,78,958
SSC20838,32,23,57,101,40,8,147,559,103,818
SSC20839,0,0,0,18,4,0,21,52,3,74
SSC20840,3,0,3,7,5,0,18,40,4,62
SSC20841,4,0,4,7,3,0,8,64,10,77
SSC20842,157,19,185,1058,312,47,1415,2972,344,4720
SSC20843,0,0,0,28,16,0,44,108,13,164
SSC20844,37,9,54,79,43,0,121,634,128,886
SSC20845,7,3,12,30,10,0,39,131,23,195
SSC20846,3,3,8,53,30,0,84,217,34,338
SSC20847,0,0,0,5,0,0,5,26,0,31
SSC20848,0,0,0,7,3,0,12,27,6,45
SSC20849,0,0,0,19,5,0,17,34,4,62
SSC20850,0,0,0,0,0,0,0,0,0,0
SSC20851,0,0,0,32,7,0,44,76,18,140
SSC20852,0,0,0,25,3,0,27,87,4,121
SSC20853,37,4,49,517,242,31,796,1309,165,2265
SSC20854,0,0,0,45,12,3,64,105,12,181
SSC20855,3,0,3,18,18,0,27,118,20,163
SSC20856,17,5,23,90,47,3,143,433,83,658
SSC20857,11,3,13,79,26,12,116,329,31,475
SSC20858,245,29,283,1786,542,71,2402,5460,552,8412
SSC20859,187,64,257,3352,1393,142,4889,9153,703,14743
SSC20860,29,11,33,1278,487,57,1827,3398,202,5420
SSC20861,120,11,132,2246,678,103,3029,9015,1358,13399
SSC20862,86,11,97,991,407,47,1445,2931,286,4663
SSC20863,0,0,0,0,0,0,0,26,6,32
SSC20864,3,3,4,62,23,5,95,185,13,292
SSC20865,267,34,303,3816,1386,92,5304,13377,1168,19854
SSC20866,5,0,9,99,34,8,143,243,37,428
SSC20867,0,0,0,6,0,0,3,11,0,16
SSC20868,0,0,0,0,0,0,0,0,0,0
SSC20869,3,0,3,14,0,0,9,78,4,98
SSC20870,0,0,0,0,0,0,0,17,0,18
SSC20871,6,3,13,124,46,4,170,320,58,541
SSC20872,339,49,393,6251,1483,165,7899,15605,1713,25212
SSC20873,12,3,22,887,281,39,1210,1751,284,3237
SSC20874,3,0,3,13,4,0,20,30,3,53
SSC20875,3,0,7,18,12,3,34,113,21,171
SSC20876,0,0,0,0,0,0,0,0,0,0
SSC20877,7,0,7,24,14,0,41,145,19,207
SSC20878,0,0,0,0,0,0,0,3,0,8
SSC20879,476,63,551,3255,1112,80,4443,11623,1233,17304
SSC20880,0,0,0,0,0,0,0,0,0,0
SSC20881,51,42,92,458,144,4,606,1667,289,2569
SSC20882,33,5,47,265,92,4,365,744,75,1184
SSC20883,36,13,45,256,99,5,364,1073,154,1592
SSC20884,0,0,0,7,4,0,15,36,3,57
SSC20885,8,9,18,87,19,6,112,326,78,512
SSC20886,117,61,181,383,225,17,630,1854,306,2786
SSC20887,0,0,0,25,10,3,37,114,21,172
SSC20888,0,0,0,7,9,0,14,77,20,111
SSC20889,0,0,0,4,3,0,3,4,0,10
SSC20890,0,0,0,25,16,3,43,108,12,165
SSC20891,0,0,0,22,13,3,39,74,13,129
SSC20892,0,0,0,18,9,0,34,56,9,93
SSC20893,3,0,3,753,136,20,910,835,56,1796
SSC20894,0,0,0,10,10,0,16,12,3,31
SSC20895,85,18,105,977,290,50,1324,3821,439,5581
SSC20896,5,0,3,46,11,3,58,185,20,258
SSC20897,0,0,0,0,0,0,7,9,0,13
SSC20898,3,0,3,14,6,0,16,44,4,66
SSC20899,0,0,0,0,0,0,0,0,0,0
SSC20900,0,0,0,41,11,0,50,135,66,246
SSC20901,3,0,4,21,21,0,42,84,9,133
SSC20902,0,0,0,13,0,0,11,32,6,46
SSC20903,467,54,527,2199,546,52,2793,7359,867,11018
SSC20904,0,0,0,0,0,0,0,18,0,22
SSC20905,0,0,0,3,0,0,3,15,0,21
SSC20906,0,0,0,12,3,0,16,57,11,84
SSC20907,3,0,3,21,10,0,31,93,5,127
SSC20908,0,0,0,6,0,0,6,25,3,33
SSC20909,0,0,0,3,0,0,3,9,3,15
SSC20910,0,0,0,0,0,0,0,0,0,0
SSC20911,392,95,490,4517,1752,189,6460,14094,1146,21696
SSC20912,14,0,18,243,81,17,334,803,104,1250
SSC20913,0,0,0,3,0,0,3,9,3,20
SSC20914,3,0,3,85,44,3,130,289,31,448
SSC20915,8,3,16,126,54,14,192,399,55,649
SSC20916,0,0,0,0,3,0,3,8,3,16
SSC20917,0,0,0,6,3,0,9,5,0,11
SSC20918,114,20,144,957,411,27,1392,6522,1341,9250
SSC20919,141,32,176,1540,606,79,2221,7542,983,10750
SSC20920,0,0,0,19,10,0,28,44,14,80
SSC20921,4,0,5,14,0,0,15,51,11,83
SSC20922,0,0,0,0,0,0,0,0,0,0
SSC20923,104,21,123,991,284,27,1296,4260,805,6364
SSC20924,22,3,26,116,81,7,201,523,62,790
SSC20925,100,16,120,538,214,48,803,2301,201,3306
SSC20926,0,0,3,94,62,0,162,308,83,557
SSC20927,0,0,0,27,15,0,39,100,5,147
SSC20928,0,0,0,0,0,0,0,4,5,9
SSC20929,275,59,341,1900,507,51,2464,10547,1506,14513
SSC20930,0,0,0,16,11,0,25,71,9,106
SSC20931,336,32,381,1841,607,56,2506,5865,446,8814
SSC20932,0,0,0,50,22,3,73,117,22,217
SSC20933,0,0,3,24,13,0,41,143,22,205
SSC20934,110,15,131,198,112,13,330,1127,155,1613
SSC20935,0,3,8,17,16,0,28,115,8,152
SSC20936,0,0,0,10,3,0,14,42,3,52
SSC20937,0,0,0,0,0,0,0,14,0,19
SSC20938,3,0,3,24,6,0,35,51,26,109
SSC20939,0,0,0,3,0,0,9,14,0,16
SSC20940,0,0,0,14,4,0,15,30,10,53
SSC20941,597,144,756,5446,2388,284,8119,19008,2932,30066
SSC20942,168,30,201,759,322,37,1117,2948,633,4697
SSC20943,615,99,719,3153,1251,126,4534,9426,908,14863
SSC20944,0,0,0,16,4,0,26,63,11,94
SSC20945,0,0,0,14,11,0,29,58,10,96
SSC20946,0,0,0,4,0,0,4,7,0,8
SSC20947,0,0,0,60,48,3,111,218,15,344
SSC20948,3,0,3,42,28,0,69,90,30,183
SSC20949,0,0,0,32,9,0,45,83,797,926
SSC20950,0,0,0,0,0,0,0,3,5,8
SSC20951,0,0,0,11,0,0,11,36,9,54
SSC20952,0,0,0,11,0,0,13,11,5,30
SSC20953,4,0,6,30,13,0,39,110,24,177
SSC20954,0,0,0,0,0,0,0,7,0,10
SSC20955,0,0,0,4,4,0,12,29,0,40
SSC20956,0,0,0,13,4,0,22,50,5,77
SSC20957,3,0,4,25,17,0,36,94,15,146
SSC20958,25,4,28,150,56,3,213,589,43,855
SSC20959,22,3,22,317,128,13,462,796,136,1391
SSC20960,0,0,0,25,18,0,45,112,10,166
SSC20961,0,0,0,24,5,0,27,61,10,92
SSC20962,3,0,0,58,14,0,71,93,10,181
SSC20963,0,0,0,3,0,0,4,0,0,3
SSC20964,0,0,0,9,3,0,15,6,0,14
SSC20965,0,0,0,6,6,0,14,21,0,36
SSC20966,154,28,184,586,350,33,970,3225,425,4614
SSC20967,97,19,113,1187,386,60,1629,3624,452,5702
SSC20968,0,0,0,0,5,0,5,17,0,20
SSC20969,4,0,4,23,24,3,44,113,27,179
SSC20970,0,0,0,0,0,0,0,8,0,13
SSC20971,0,0,0,3,4,0,7,21,3,28
SSC20972,22,3,24,450,135,14,606,1094,151,1852
SSC20973,0,0,0,0,3,0,5,42,3,56
SSC20974,0,0,0,0,0,0,0,0,0,0
SSC20975,0,0,0,7,5,0,19,33,8,55
SSC20976,3,0,4,3,0,0,3,14,0,18
SSC20977,0,0,0,8,7,0,15,43,0,55
SSC20978,0,0,0,14,3,0,20,42,14,76
SSC20979,0,0,0,3,0,0,3,5,0,11
SSC20980,0,0,0,0,0,0,0,0,0,0
SSC20981,0,0,0,7,3,0,10,12,3,26
SSC20982,3,0,3,78,20,0,97,179,15,293
SSC20983,0,0,0,24,8,0,27,86,9,124
SSC20984,0,0,0,8,8,0,18,19,0,36
SSC20985,0,0,0,5,0,0,6,25,8,40
SSC20986,0,0,0,4,5,0,9,42,11,66
SSC20987,0,0,0,3,0,0,3,6,0,10
SSC20988,0,0,0,6,0,0,10,40,15,61
SSC20989,0,0,0,12,7,0,16,24,0,41
SSC20990,0,0,0,0,0,0,0,0,0,0
SSC20991,0,0,0,0,0,0,0,14,0,19
SSC20992,7,5,13,83,32,3,117,310,26,454
SSC20993,0,0,0,21,5,0,29,71,11,103
SSC20994,102,54,162,1797,547,88,2428,4038,490,6953
SSC20995,3,0,3,127,70,3,204,403,58,659
SSC20996,0,0,0,7,0,0,9,13,0,17
SSC20997,136,17,155,1155,611,48,1814,4670,517,7001
SSC20998,0,0,0,72,19,3,97,236,33,366
SSC20999,0,0,0,36,13,0,47,65,3,121
SSC21000,0,0,0,10,0,0,12,33,3,44
SSC21001,0,0,0,6,11,0,21,68,10,97
SSC21002,81,6,87,790,187,11,985,3124,252,4363
SSC21003,467,46,525,4660,1386,154,6200,13214,1081,20492
SSC21004,0,0,0,24,19,0,39,44,3,92
SSC21005,0,0,0,0,0,0,0,10,3,18
SSC21006,890,185,1087,6726,2338,149,9218,22751,1613,33584
SSC21007,0,0,0,0,0,0,0,0,0,0
SSC21008,0,0,0,3,0,0,3,18,0,19
SSC21009,0,0,0,12,0,0,12,38,8,50
SSC21010,0,0,0,0,0,0,3,7,7,21
SSC21011,0,0,0,20,8,0,26,95,12,136
SSC21012,0,3,3,3,0,0,3,12,8,27
SSC21013,10,4,12,62,28,0,83,204,32,323
SSC21014,0,0,0,11,8,3,21,12,0,27
SSC21015,0,0,0,3,0,0,3,3,0,8
SSC21016,0,0,0,0,0,0,0,0,0,0
SSC21017,4,0,4,24,8,0,36,63,6,105
SSC21018,8,0,9,217,79,10,304,507,40,846
SSC21019,3,0,3,28,15,3,49,96,9,150
SSC21020,0,0,0,21,6,0,33,55,6,87
SSC21021,0,0,0,0,0,0,0,13,3,13
SSC21022,0,0,0,10,3,0,16,29,21,61
SSC21023,3,0,3,0,0,0,0,15,6,24
SSC21024,0,0,0,3,3,0,5,12,0,16
SSC21025,3,0,3,11,3,0,15,48,6,66
SSC21026,0,0,0,5,0,0,5,3,0,11
SSC21027,0,0,0,4,0,0,10,13,4,27
SSC21028,0,0,0,0,0,0,0,6,0,6
SSC21029,0,0,0,3,0,0,0,6,0,7
SSC21030,0,0,0,4,0,0,4,10,3,17
