SA3_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
21401,1285,1097,2380,4352,4178,8525,690,657,1349,429,413,845,5470,5251,10720,2941,2813,5761,533,548,1083,529,598,1124,4006,3953,7962,217,322,546,146,262,405,499,259,758,413,596,1016,9,10,22,1288,1455,2740,849,1238,2088,228,463,691,101,195,295,331,768,1101,7,13,20,1524,2675,4195,161,189,351,237,523,765,9,9,19,412,721,1134,4546,4802,9351,18531,19953,38485
21402,1253,1181,2437,4764,4551,9317,944,923,1864,751,763,1516,6460,6234,12692,2582,2347,4935,1042,1059,2103,1227,1275,2499,4850,4685,9533,244,253,489,108,204,308,540,219,763,320,519,837,15,16,35,1220,1213,2432,781,1096,1881,146,340,488,99,132,226,334,749,1079,6,9,20,1367,2329,3694,160,132,290,218,519,736,8,16,23,385,662,1045,4888,5420,10302,20418,21718,42134
21501,398,366,766,1622,1532,3152,411,401,814,218,206,425,2260,2131,4390,1297,1276,2570,422,431,849,71,82,156,1786,1783,3573,41,43,82,23,39,56,117,54,173,78,129,206,3,3,6,259,263,524,78,180,258,49,104,152,23,74,98,97,242,339,0,3,4,248,602,855,46,56,107,72,158,226,4,7,8,120,222,346,2904,2331,5239,7986,7704,15692
21502,516,435,951,1708,1553,3259,371,363,736,178,176,354,2255,2090,4346,1304,1280,2587,334,388,726,87,89,179,1734,1752,3486,111,101,214,43,79,126,144,120,262,167,228,395,4,9,13,472,530,1001,105,252,359,49,129,177,29,58,85,93,226,322,0,10,8,273,671,948,55,62,113,64,145,205,4,7,10,117,212,330,2604,2581,5185,7973,8272,16239
21503,270,260,527,990,882,1868,412,422,835,61,69,134,1471,1369,2834,961,912,1869,209,213,425,47,63,111,1211,1188,2400,28,35,61,18,32,49,100,72,171,88,136,220,6,0,9,236,273,512,56,116,170,15,41,55,18,29,39,35,138,173,0,3,3,125,321,441,24,35,57,26,70,97,3,3,6,52,102,157,2199,2099,4297,5562,5608,11173
21601,260,250,510,999,874,1873,430,439,868,101,101,200,1530,1414,2945,706,610,1317,394,400,792,148,143,292,1244,1155,2397,35,36,71,11,41,49,125,73,202,63,131,199,3,9,11,235,284,519,70,123,191,17,63,79,11,23,33,30,131,165,0,0,3,126,337,470,22,36,54,24,98,123,0,0,3,48,129,179,1611,1712,3320,5063,5283,10349
21602,234,195,435,585,546,1129,480,499,976,68,82,153,1135,1121,2257,489,449,942,320,299,622,95,85,182,899,836,1742,20,41,57,10,39,54,104,76,174,64,138,198,4,5,7,204,293,493,50,84,140,9,38,48,5,41,53,19,85,105,0,0,0,90,254,342,40,29,70,33,84,113,3,0,3,73,112,183,1371,1349,2723,4012,4163,8176
21603,497,456,951,2007,1796,3809,690,661,1348,150,136,290,2852,2588,5437,1167,1174,2339,754,730,1486,305,259,559,2226,2168,4392,98,157,249,82,149,224,192,104,297,132,292,422,9,4,13,508,702,1215,168,300,468,64,144,210,30,72,102,129,284,415,4,8,12,387,810,1196,92,100,192,95,201,294,7,0,9,192,299,487,3177,3015,6191,9835,10041,19869
21701,248,240,487,1007,872,1876,210,194,404,184,157,339,1402,1223,2624,667,639,1311,262,302,567,224,211,433,1157,1148,2309,35,40,75,8,24,32,99,64,159,61,145,206,0,7,5,199,279,481,46,94,137,26,49,73,5,24,28,58,140,203,0,0,0,132,311,445,22,42,61,53,108,161,5,4,8,82,153,226,1512,1506,3021,4735,4860,9594
21703,301,276,583,1010,842,1853,553,534,1090,19,14,33,1580,1393,2977,667,563,1229,512,514,1025,17,27,46,1197,1106,2305,38,48,87,3,31,38,103,60,164,59,130,192,5,3,6,215,274,488,55,135,187,20,54,73,9,34,44,61,115,178,0,0,0,146,342,492,29,31,59,38,83,124,3,4,7,65,114,180,1643,1596,3240,5158,5103,10255
21704,396,322,717,1241,1147,2389,817,865,1681,107,93,195,2161,2105,4263,1001,969,1968,521,615,1136,101,106,201,1615,1686,3310,77,111,186,18,93,111,150,92,244,134,252,392,3,4,10,388,549,939,173,312,479,71,130,203,31,45,74,111,260,370,0,5,3,387,753,1134,25,34,64,65,131,196,3,6,12,93,172,265,2017,2140,4160,7061,7730,14792
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,6
29999,27,25,49,63,82,139,9,10,17,7,8,23,76,101,179,49,53,102,5,3,4,20,8,30,67,66,137,16,25,43,11,22,35,7,4,13,13,27,38,0,3,4,55,82,139,78,125,206,43,45,90,6,15,23,12,29,43,3,0,4,147,220,366,18,26,49,36,30,66,0,0,0,58,63,114,1310,734,2042,1743,1279,3025
