SA3_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
21201,652,758,1409,5271,6418,11690,0,0,0,823,917,1735,27,28,53,9804,10621,20426,64,78,136,443,462,904,123,131,251,166,170,340,144,203,343,84,89,167,154,160,310,547,609,1154,1011,1155,2170,74,85,163,155,195,345,1425,1803,3223,1509,1713,3218,49,63,109,21857,24886,46738,587,548,1133,490,458,944,36,39,79,0,3,3,446,365,805,114,173,292,558,538,1097,17823,16309,34130,179,144,321,61,102,165,18063,16559,34622,4201,4052,8259,46442,47843,94288
21202,2606,2917,5527,4755,5608,10366,3,3,8,1058,1210,2264,77,70,147,15674,16932,32606,126,142,269,2302,2328,4632,162,238,406,247,278,528,163,225,383,479,476,959,309,350,665,1198,1338,2532,1121,1356,2478,87,113,200,257,301,561,1342,1804,3148,2411,2616,5034,43,69,115,31829,35461,67289,2256,1990,4247,5439,4783,10217,40,43,84,3,0,4,844,678,1517,266,292,555,1109,965,2076,16570,14611,31176,163,110,273,81,90,174,16813,14809,31623,5089,4963,10052,65181,65939,131119
21203,3943,4170,8114,6125,7227,13350,4,4,10,838,1021,1861,14,7,18,18846,20103,38952,113,118,235,1627,1593,3219,192,228,418,509,569,1075,170,177,350,425,449,869,410,452,863,1589,1720,3310,1470,1775,3247,93,145,237,372,395,769,1472,1822,3295,2876,3135,6012,67,82,144,37192,41032,78224,4253,4011,8264,6246,5735,11982,61,80,139,4,3,4,2541,2305,4845,241,269,504,2778,2581,5362,21911,19653,41560,188,151,334,70,108,178,22165,19902,42069,7192,6829,14026,83842,84335,168177
21204,11510,13263,24774,3500,4026,7527,0,3,3,819,909,1723,12,8,11,18702,20202,38895,116,140,262,5292,5584,10874,254,334,586,226,237,457,146,170,316,346,382,725,412,436,850,987,1102,2088,1081,1267,2351,59,96,155,247,299,547,1137,1498,2633,2324,2605,4932,77,53,133,35724,39350,75075,5176,4129,9303,11310,8798,20108,270,270,537,0,3,6,3642,2573,6210,370,348,717,4016,2921,6933,18048,14997,33049,156,110,272,108,113,223,18321,15224,33540,8567,7792,16360,94898,91729,186623
21205,5726,6465,12182,4392,5667,10062,9,13,20,1368,1670,3037,13,12,30,15692,17337,33036,171,195,370,5997,6285,12284,94,139,231,90,99,191,215,298,517,500,553,1057,382,477,856,781,988,1769,1376,1644,3021,65,95,158,97,119,211,2172,3009,5184,2048,2419,4464,68,88,152,35538,41109,76647,4772,4308,9084,2251,1929,4178,299,309,608,4,3,8,890,619,1509,370,410,782,1254,1038,2295,28678,26392,55071,210,162,373,84,107,191,28975,26665,55635,7278,7134,14410,86102,88955,175056
21301,9488,11355,20843,2432,2824,5254,35,32,62,1466,1396,2865,0,4,6,27509,29671,57178,56,67,122,5875,6023,11897,337,415,753,350,318,664,176,243,423,756,789,1546,483,522,1001,1252,1325,2576,737,802,1538,69,100,173,175,193,371,772,911,1679,3197,3416,6614,47,46,93,45728,49083,94814,3216,2390,5612,6301,4891,11193,20,30,50,4,3,4,2888,2063,4949,211,242,452,3104,2304,5406,16572,14520,31092,122,98,220,68,84,144,16766,14697,31459,8416,8028,16441,93039,92780,185816
21302,799,1140,1939,2594,3377,5969,0,0,3,321,378,702,0,0,0,10840,12417,23257,46,54,103,2435,2514,4945,102,99,200,48,56,105,177,241,420,88,86,179,162,186,350,232,241,475,576,737,1318,54,68,120,50,50,100,748,1040,1785,877,1030,1907,16,29,45,19362,22607,41972,806,650,1456,2114,1951,4065,40,38,78,0,0,3,264,188,452,89,121,214,352,316,672,13811,12536,26347,134,98,232,52,84,130,13989,12714,26705,3598,3514,7114,41066,42936,84006
21303,3037,3785,6829,1291,1721,3014,0,0,0,416,466,875,0,0,0,7865,8770,16632,41,32,70,1669,1809,3477,47,54,104,34,37,72,63,72,138,183,164,348,174,179,352,250,296,545,288,366,652,21,20,39,41,50,100,446,598,1039,782,885,1668,28,18,44,13626,15545,29178,1922,1174,3099,2175,1399,3579,23,43,68,0,0,0,177,133,314,121,124,243,302,259,560,15590,14337,29926,172,156,325,64,79,145,15822,14570,30399,4482,4098,8580,41405,40883,82288
21304,1680,2051,3732,4925,6009,10938,21,22,46,759,876,1636,91,73,162,23863,25697,49564,66,72,132,3159,3174,6334,337,407,745,260,296,553,232,304,535,652,665,1322,333,375,715,998,1139,2133,920,1125,2048,78,109,186,234,276,511,1442,1876,3319,2613,2808,5429,51,57,108,41043,45371,86407,1901,1883,3785,2752,2691,5443,29,28,63,6,9,18,1435,1192,2624,177,249,431,1618,1446,3070,18915,17252,36167,180,126,300,83,131,209,19173,17506,36681,7464,6798,14266,75666,77773,153438
21305,2797,3258,6055,6763,7972,14731,3,3,3,2275,2408,4687,88,86,170,25401,27546,52950,143,172,315,2714,2656,5374,313,393,711,417,479,900,427,477,904,457,459,914,728,811,1539,1530,1765,3297,1493,1785,3276,139,184,320,193,217,416,1810,2141,3953,3495,3766,7259,121,157,272,48516,53474,101996,9959,9151,19105,8298,7947,16241,67,49,114,9,5,10,4198,3448,7645,403,494,895,4606,3947,8554,26639,23693,50332,228,173,397,115,136,254,26974,23996,50976,10145,8704,18853,111366,110525,221895
21401,670,973,1643,7253,9216,16470,0,0,0,696,841,1536,8,3,8,12650,14486,27137,83,137,220,1280,1244,2520,211,256,465,266,286,557,228,249,476,112,111,228,208,239,452,654,793,1454,1595,1928,3529,95,135,225,140,126,261,1432,1998,3429,1818,2138,3952,72,81,152,28798,34276,63070,681,703,1380,467,437,902,123,121,249,0,0,3,142,91,233,248,334,583,389,432,821,27260,24900,52160,270,231,494,129,209,341,27654,25339,52998,6627,6449,13075,65418,68727,134143
21402,456,756,1212,11218,14143,25370,7,0,6,893,1104,1994,3,4,6,14839,16974,31814,134,173,308,1024,928,1950,254,333,585,183,194,374,232,304,536,37,24,58,161,227,388,291,362,656,1988,2343,4331,110,163,277,27,40,66,2488,3470,5957,1393,1634,3026,50,73,120,35339,42495,77826,143,147,289,106,88,199,104,89,196,3,4,4,44,30,74,148,256,399,192,291,478,31377,28791,60169,215,214,428,105,211,314,31698,29215,60913,6845,7045,13884,74875,80125,154999
21501,124,149,266,3325,3865,7194,0,0,0,237,246,486,32,28,58,4837,5259,10100,203,269,472,80,61,139,52,76,134,29,36,64,1602,1759,3360,17,14,31,31,41,76,257,278,533,854,829,1678,106,164,277,60,63,125,3947,4632,8583,478,553,1034,14,32,50,16169,18208,34377,89,98,190,111,75,189,15,9,26,3,3,6,29,33,64,54,73,125,88,105,195,9415,7948,17365,42,42,82,29,41,65,9486,8032,17517,3413,2653,6066,29485,29334,58820
21502,236,296,536,2916,3494,6410,0,0,0,167,161,327,3,4,10,5687,6225,11911,127,166,295,281,255,537,70,117,185,64,85,151,305,384,687,12,5,13,107,102,209,288,356,648,607,658,1262,99,137,232,140,179,320,1559,2023,3583,498,596,1086,45,39,88,12969,14984,27958,130,96,220,538,404,942,12,6,20,12,8,22,111,98,213,25,54,80,155,165,323,9452,8567,18021,64,47,109,19,22,41,9533,8639,18175,2905,2797,5708,26481,27398,53878
21503,221,256,476,2373,2621,4992,0,0,0,267,273,544,122,124,242,4315,4491,8805,102,135,236,72,86,158,15,20,29,36,40,78,68,90,157,3,4,10,91,77,167,94,127,227,592,621,1212,24,28,59,16,26,41,1874,2205,4075,318,373,699,6,7,11,10384,11356,21741,89,60,144,226,104,330,3,0,4,3,3,4,106,78,178,21,25,43,127,100,231,5351,4525,9880,30,25,60,10,16,30,5394,4572,9961,2309,2132,4443,18753,18583,37336
21601,69,100,173,3012,3294,6304,0,0,0,147,197,345,4,0,4,4291,4635,8928,25,41,61,51,46,99,24,37,64,22,24,48,77,76,152,8,4,7,34,44,77,255,216,468,754,836,1584,71,129,205,14,22,33,1433,1766,3198,322,372,690,7,10,20,10548,11748,22294,35,29,64,45,34,81,0,3,7,0,5,5,9,7,15,18,44,65,25,55,81,5758,5041,10803,45,39,88,19,23,39,5829,5100,10928,1817,1766,3584,18368,18841,37208
21602,75,83,162,2189,2404,4591,0,0,0,82,103,186,48,41,91,4024,4331,8356,44,58,97,57,42,100,25,36,55,14,21,32,36,51,90,0,0,4,29,39,70,70,111,180,566,611,1177,25,34,57,18,20,35,1168,1312,2478,173,187,362,3,4,6,8562,9400,17964,47,43,86,103,82,183,0,3,4,0,0,0,67,51,118,17,29,51,90,75,166,4098,3465,7563,17,14,34,6,22,28,4125,3502,7627,1512,1396,2915,14514,14598,29112
21603,201,299,496,3346,3951,7302,0,0,0,183,200,383,52,43,93,7619,8103,15725,78,72,150,380,382,757,88,131,217,49,77,130,75,117,198,29,16,43,69,66,140,397,467,872,1025,1160,2187,48,70,115,39,47,79,1734,2165,3900,602,676,1275,18,15,35,15835,17755,33590,271,236,505,1860,1666,3524,8,3,12,8,3,13,440,367,809,55,102,160,507,473,980,9100,8160,17259,72,61,133,36,40,75,9206,8262,17465,3733,3340,7076,31618,32036,63649
21701,76,117,195,2119,2508,4623,0,0,0,245,256,499,46,54,96,2878,3228,6111,30,45,70,30,28,59,54,71,129,14,16,28,784,845,1624,3,0,7,38,33,73,105,148,256,979,985,1967,45,64,112,15,24,41,1774,2103,3880,342,375,715,9,4,9,9510,10800,20306,39,34,71,21,26,54,4,8,8,3,8,9,5,8,16,35,54,90,48,70,111,5967,5160,11119,50,32,79,18,37,56,6027,5223,11254,1816,1740,3562,17543,18013,35558
21703,81,97,181,1948,2285,4231,0,0,0,171,194,371,0,0,0,4656,4870,9519,5,13,23,64,70,133,49,63,120,9,11,16,76,88,169,6,0,5,27,27,57,85,110,193,952,967,1912,29,50,77,11,15,23,1449,1834,3284,273,294,569,9,15,19,9823,10903,20724,28,23,50,95,41,139,9,9,11,3,3,8,9,10,13,31,31,69,45,43,90,6454,5493,11949,50,38,83,29,25,50,6527,5551,12078,1977,1796,3771,18574,18460,37040
21704,130,184,313,2046,2567,4611,0,0,0,336,391,723,24,34,59,6962,7863,14819,66,58,129,66,63,127,33,61,98,13,17,27,258,293,550,9,4,11,27,63,92,114,144,259,1388,1598,2988,62,83,145,27,57,83,1110,1417,2527,499,521,1023,3,4,10,13040,15248,28290,58,60,113,48,42,94,12,12,25,4,3,9,8,10,22,47,49,99,59,72,125,8339,7412,15754,75,54,123,37,38,67,8451,7499,15947,2584,2615,5196,24386,25720,50099
29797,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,3,0,3,28,4,29
29999,77,76,156,216,206,416,0,0,3,29,32,62,3,0,3,508,440,947,3,4,11,44,42,90,10,8,14,12,9,20,10,16,23,8,0,8,22,12,27,30,38,69,64,56,122,7,3,9,11,10,19,66,58,125,82,73,149,0,0,0,1125,999,2129,66,35,99,137,113,247,10,6,15,3,0,4,13,6,19,13,20,35,24,28,54,1410,1106,2512,23,17,46,9,18,34,1441,1142,2591,1451,838,2289,4331,3238,7565
