SA3_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
21402,61091,67067,128156,25515,12436,37951,7851,17937,25796,1727,2021,3754,1790,1699,3487,36885,34101,70985,20484,28822,49302,4.9,5,4.9,60.4,50.8,55.4,57.4,48.3,52.7,1723,1806,3524,1028,1977,3009,6449,9107,15553,5535,8084,13621,16913,7311,24222,434,899,1330,1005,1663,2666,18345,9877,28221,58334,62504,120837,10085,10529,20616,39316,41612,80930,26764,29325,56090
21501,24362,24629,48998,9953,4905,14852,2721,6147,8868,795,898,1693,791,531,1324,14254,12486,26745,8523,10438,18963,5.5,4.3,5,58.5,50.7,54.6,55.3,48.5,51.9,256,355,608,215,543,760,1258,2629,3884,1407,2438,3846,5912,2845,8763,249,421,673,327,535,865,6496,3807,10306,23203,23271,46476,3074,3470,6546,17184,17102,34280,7882,8662,16542
21502,21243,22402,43642,8754,4820,13573,2243,5314,7554,669,706,1374,998,783,1784,12664,11620,24286,6623,8859,15480,7.9,6.7,7.3,59.6,51.9,55.6,54.9,48.4,51.6,204,279,486,186,426,612,1219,2204,3425,1159,1931,3088,5049,2656,7703,221,411,633,316,434,751,5586,3505,9087,19800,20569,40364,3616,3789,7408,13501,13831,27330,8746,9451,18198
21503,15284,15435,30716,6357,2890,9247,1488,3659,5147,542,516,1058,456,334,787,8842,7400,16241,4773,6429,11202,5.2,4.5,4.8,57.9,47.9,52.9,54.9,45.8,50.3,83,137,221,112,271,382,673,1422,2099,745,1230,1976,3642,1657,5293,114,260,378,176,284,457,3930,2199,6131,14507,14421,28932,1834,1920,3759,10672,10491,21162,4903,5088,9986
21601,14969,15567,30536,6251,3104,9362,1646,3899,5548,543,572,1119,450,376,822,8890,7957,16845,4912,6374,11283,5.1,4.7,4.9,59.4,51.1,55.2,56.4,48.7,52.5,107,189,291,129,311,448,764,1488,2259,771,1444,2215,4204,1912,6120,108,257,367,222,297,525,4539,2470,7012,14636,14922,29559,1938,2077,4009,10550,10523,21073,5303,5689,10991
21602,11854,12121,23981,4763,2237,6997,1076,2827,3900,443,467,908,319,308,629,6601,5835,12432,4247,5310,9557,4.8,5.3,5.1,55.7,48.1,51.8,53,45.6,49.2,77,136,214,87,215,301,525,1025,1546,633,1096,1722,3165,1457,4618,97,199,296,171,254,429,3425,1916,5346,11192,11290,22474,1774,1859,3635,7952,7918,15871,4385,4641,9024
21603,25044,25947,50990,10548,5662,16208,2708,6249,8962,832,875,1706,1048,806,1852,15135,13590,28730,7809,10188,17997,6.9,5.9,6.4,60.4,52.4,56.3,56.3,49.3,52.7,447,471,921,304,662,968,1590,2735,4327,1475,2459,3933,5820,2934,8750,196,387,584,293,486,782,6310,3809,10124,23955,24284,48234,3939,4236,8173,16642,16811,33450,9868,10424,20292
21701,14507,15121,29624,6017,2785,8803,1703,3980,5678,550,567,1114,491,370,862,8761,7701,16462,4639,6294,10937,5.6,4.8,5.2,60.4,50.9,55.6,57,48.5,52.6,187,202,393,141,337,481,814,1599,2407,811,1406,2218,3952,1857,5813,155,302,455,216,319,537,4326,2473,6798,14146,14416,28562,1789,1963,3754,10631,10673,21305,4621,5034,9655
21703,15094,15331,30421,6508,3040,9548,1897,4118,6017,558,598,1162,393,293,691,9361,8056,17414,4527,6127,10652,4.2,3.6,4,62,52.5,57.2,59.4,50.6,55,174,242,412,146,305,445,887,1618,2505,851,1482,2338,3875,1827,5702,133,220,353,207,329,535,4215,2376,6591,14812,14689,29501,1963,2027,3994,10960,10834,21788,5025,5107,10133
21704,19542,21085,40629,8799,4390,13190,2588,5970,8559,716,826,1540,598,558,1159,12708,11739,24444,5355,7746,13100,4.7,4.8,4.7,65,55.7,60.2,61.9,53.1,57.3,364,461,827,263,591,852,1644,2820,4465,1299,2159,3463,4936,2584,7519,165,340,501,268,425,697,5371,3354,8718,18774,19760,38535,3175,3425,6604,13027,13585,26609,7973,8702,16672
29797,27,4,25,16,0,16,0,0,0,3,0,3,0,0,0,23,0,23,0,4,4,0,0,0,85.2,0,92,70.4,0,76,0,0,0,0,0,0,3,0,3,0,0,3,12,0,12,0,0,0,0,0,0,12,0,12,13,0,12,12,0,11,12,0,7,16,0,13
29999,3942,2883,6825,811,384,1194,317,326,641,115,81,193,367,251,613,1610,1038,2647,1119,1175,2291,22.8,24.2,23.2,40.8,36,38.8,31.5,27.4,29.7,133,106,238,30,60,91,344,449,792,190,219,404,540,242,777,25,36,60,45,52,101,602,327,932,810,544,1354,2095,1859,3954,534,315,849,2233,1988,4223
