SA3_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
21203,1621,534,261,87,24,5,4177,79,448,503,289,195,91,23,0,1628,1048,4802,4400,2057,1061,431,141,31,13969,1051,3911,3770,2292,1273,546,171,38,13063,2854,5718,5209,4610,2871,1333,464,101,23154,341,379,316,249,141,48,6,3,1481,228,451,535,490,348,182,53,15,2305,3429,6544,6057,5348,3359,1562,529,113,26944,76,211,240,189,146,81,41,6,981,1684,1844,1805,1643,1364,1039,691,286,10354,7429,19339,18395,12347,7660,3842,1621,484,71111
21204,1764,709,389,180,48,20,6071,70,507,442,308,277,144,32,8,1788,2082,7697,4429,2394,1583,768,312,73,19332,1417,4283,2930,2135,1483,828,287,111,13477,2009,3708,3279,3138,2493,1815,899,212,17554,282,274,280,224,174,100,21,5,1358,209,412,452,461,379,268,127,38,2358,2498,4391,4015,3827,3051,2185,1049,255,21265,122,384,264,177,185,141,69,17,1367,1866,2378,1833,1647,1707,1726,1384,750,13290,8242,22424,15674,11199,8661,5975,3176,1238,76593
21205,3989,2534,1486,769,297,55,14111,83,640,829,955,741,367,108,19,3741,3915,9717,7371,5471,3583,1982,903,254,33197,1488,2536,2468,2699,2059,1462,854,261,13821,1252,1957,1979,2582,1853,1408,1122,356,12514,171,119,129,161,114,83,30,16,820,144,194,279,427,368,346,204,92,2057,1567,2277,2386,3163,2338,1838,1356,465,15392,156,251,218,258,230,169,146,63,1491,1568,1496,1214,1199,1132,1245,1405,1201,10467,9078,21613,18473,16282,11565,7838,5064,2315,92217
21301,1281,500,273,123,16,3,4206,92,476,443,315,187,68,20,5,1598,2166,6795,4416,2434,1571,676,144,32,18220,1396,3898,2695,1971,1334,518,140,28,11982,2160,4198,3638,3540,2790,1584,603,166,18668,263,325,288,265,176,66,20,4,1410,241,463,507,505,422,203,60,22,2416,2664,4979,4436,4307,3381,1850,684,188,22493,99,313,211,176,178,102,19,13,1119,2236,2531,1993,1935,1959,1835,1151,593,14229,8829,20814,15468,11636,8891,5172,2176,857,73844
21302,1298,908,529,196,28,5,3978,24,385,535,514,403,124,27,6,2019,747,3585,3688,2154,1257,545,173,44,12192,415,1349,1491,1390,890,457,141,48,6177,825,1816,1661,1921,1503,782,400,174,9082,89,112,92,92,72,31,16,3,499,80,174,229,256,187,128,41,24,1118,996,2101,1979,2272,1763,937,457,198,10696,31,89,94,88,80,61,27,17,480,610,833,819,802,784,732,669,402,5651,2865,9297,9908,8117,5705,3048,1516,718,41188
21303,1661,718,376,107,19,6,5545,49,713,693,483,264,62,11,0,2263,1562,6437,4423,1891,931,308,73,22,15652,684,2015,1505,1036,598,211,66,31,6139,709,1678,1278,1154,832,360,173,81,6271,130,110,84,80,56,21,4,0,484,73,206,188,193,128,57,17,6,873,910,2000,1548,1430,1018,437,193,90,7623,58,160,122,73,54,39,13,9,515,938,1516,1152,850,701,512,433,332,6415,4359,15329,11098,6487,3938,1668,802,482,44164
21304,1255,529,292,121,32,3,3248,61,407,568,339,253,91,20,0,1735,925,4206,4398,2024,1107,492,104,28,13286,905,2825,3029,1959,1209,512,140,38,10619,2341,5185,4912,3860,2534,1310,416,93,20658,285,317,301,202,146,59,4,0,1321,224,421,615,464,355,217,44,13,2342,2850,5928,5827,4523,3040,1586,464,107,24325,61,145,186,130,103,85,38,15,762,1726,2104,2040,1620,1352,1182,600,240,10873,6611,16567,17303,11122,7361,4060,1394,429,64841
21305,4628,1164,547,216,45,4,11924,67,811,1002,515,341,119,23,6,2890,1725,9952,8035,3366,1823,730,180,39,25856,1321,5303,4456,3016,1738,688,182,45,16764,2778,6154,5479,4783,3022,1478,503,117,24317,347,360,353,264,147,68,11,0,1547,242,569,693,561,405,209,48,13,2751,3373,7080,6521,5613,3576,1755,557,131,28612,97,413,377,222,173,110,48,8,1447,2149,3280,2607,1947,1545,1271,743,353,13905,8904,31991,27637,15841,9750,4891,1796,596,101396
21401,686,479,377,181,49,14,2419,66,422,496,412,384,197,43,9,2028,694,3110,3020,1946,1409,825,309,99,11407,858,2507,2507,2242,1653,953,332,103,11147,2188,4924,4404,4393,3357,1890,843,268,22255,272,252,252,220,161,85,27,4,1272,189,303,400,440,419,257,118,58,2184,2643,5477,5057,5054,3932,2231,983,335,25716,36,103,112,126,152,145,85,22,783,1344,1441,1436,1536,1498,1463,1211,708,10647,5675,13658,13317,11793,9406,6000,3010,1288,64144
21402,686,817,742,603,229,45,3524,42,312,609,692,718,493,127,20,3009,586,2342,3489,2968,2566,2333,990,263,15553,656,1607,2435,2766,2598,2228,1014,324,13621,1988,4079,4188,4947,4070,2885,1606,468,24222,240,202,225,240,202,163,49,14,1330,170,238,373,492,535,538,215,96,2666,2396,4517,4786,5685,4807,3591,1868,574,28221,38,65,125,149,182,273,170,76,1074,1225,959,1244,1598,1834,2394,2129,1184,12579,4983,10174,13369,14673,13444,11926,6526,2483,77580
21501,149,112,104,68,22,4,608,12,133,148,176,190,87,13,6,760,227,905,808,648,709,414,124,48,3884,157,551,679,799,853,548,188,75,3846,884,1646,1468,1736,1624,930,367,97,8763,127,124,120,123,102,65,12,4,673,69,111,141,175,202,122,40,14,865,1080,1877,1723,2036,1928,1123,418,115,10306,18,40,28,49,63,55,35,15,296,628,665,690,815,963,1021,814,515,6116,2146,4288,4224,4630,4821,3318,1617,777,25819
21502,136,93,88,37,10,0,486,25,104,137,165,120,50,12,4,612,203,925,831,609,524,228,95,17,3425,168,542,610,673,610,348,114,24,3088,846,1732,1421,1521,1208,652,248,70,7703,197,143,105,87,69,30,5,4,633,77,109,134,169,141,85,21,4,751,1127,1987,1652,1781,1420,764,275,79,9087,26,28,39,30,35,40,21,13,231,796,728,585,762,879,912,701,387,5753,2362,4419,3999,4117,3676,2378,1224,526,22696
21503,67,37,40,22,0,3,221,8,62,75,90,97,46,8,4,382,121,576,460,327,339,163,88,31,2099,110,293,380,391,418,259,100,30,1976,545,984,884,1093,983,561,192,52,5293,72,70,74,62,61,26,4,5,378,43,72,91,90,86,56,18,3,457,665,1126,1048,1245,1130,643,211,60,6131,7,25,12,25,23,25,18,9,140,567,500,472,657,789,777,614,326,4704,1489,2628,2512,2775,2826,1925,1039,462,15646
21601,67,59,52,34,4,3,291,11,80,91,108,92,52,12,0,448,98,518,581,386,375,206,72,16,2259,98,324,373,489,486,285,121,34,2215,592,1132,1069,1271,1074,632,264,80,6120,68,78,73,57,45,27,5,0,367,46,58,100,91,104,82,31,14,525,708,1266,1241,1421,1219,747,302,101,7012,7,24,22,20,28,43,22,7,166,450,297,376,486,608,678,608,331,3845,1373,2592,2742,2970,2864,2039,1151,499,16233
21602,48,35,32,33,5,0,214,0,53,52,74,78,35,10,0,301,79,339,359,264,251,167,63,19,1546,89,268,281,350,373,255,97,17,1722,449,807,805,915,800,518,267,64,4618,49,50,49,60,50,20,5,0,296,29,57,71,92,76,73,22,12,429,536,910,924,1062,926,615,290,75,5346,3,14,15,10,27,41,27,9,150,356,256,272,369,536,606,494,239,3136,1080,1886,1949,2174,2226,1752,988,363,12418
21603,220,197,139,49,21,6,921,19,192,235,219,221,68,17,3,968,270,1240,994,734,638,326,90,24,4327,244,786,832,812,657,406,144,60,3933,1041,1836,1660,1721,1367,755,292,78,8750,131,106,93,114,84,44,6,3,584,75,128,139,165,124,97,42,12,782,1251,2070,1889,1993,1577,903,341,90,10124,17,63,52,41,34,37,28,13,295,807,871,813,917,910,952,683,359,6315,2647,5478,5036,4910,4181,2741,1324,555,26880
21701,86,88,87,44,22,0,393,12,64,98,130,112,51,8,3,481,90,498,522,428,472,290,78,37,2407,90,258,400,465,520,316,125,42,2218,581,961,994,1306,1068,631,200,70,5813,116,85,71,72,64,37,3,0,455,34,65,74,107,127,86,31,10,537,732,1113,1141,1484,1259,752,231,85,6798,12,13,16,36,34,31,18,7,165,423,267,333,454,624,632,475,271,3477,1371,2269,2601,3078,3100,2113,963,445,15936
21703,66,76,102,74,20,6,412,9,67,80,92,120,69,14,0,445,100,485,534,442,478,338,93,28,2505,115,290,399,490,539,347,118,41,2338,600,1098,1044,1189,972,510,219,66,5702,77,75,52,55,65,26,3,0,353,47,84,97,109,101,69,21,8,535,722,1261,1191,1348,1143,608,248,70,6591,5,16,17,25,29,31,19,0,147,439,331,328,548,623,652,517,251,3690,1403,2515,2617,3022,3031,2115,1028,396,16127
21704,195,182,174,114,24,0,827,3,150,204,204,189,86,16,4,852,244,1052,1085,819,721,375,124,43,4465,169,589,619,749,670,449,168,45,3463,875,1557,1531,1459,1153,615,246,86,7519,102,112,92,79,68,37,3,0,501,62,102,138,130,138,91,26,11,697,1043,1779,1763,1666,1367,737,278,99,8718,9,27,24,35,45,43,23,17,221,621,425,485,646,725,742,610,352,4602,2112,4141,4376,4293,3880,2548,1242,556,23149
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,5,10,0,0,0,25
29999,63,20,20,14,0,0,238,0,36,18,19,14,3,0,0,91,121,360,126,75,68,33,4,3,792,61,119,74,59,51,22,9,0,404,107,219,155,124,108,52,11,0,777,18,14,12,5,3,3,0,0,60,7,24,18,14,16,9,5,0,101,138,255,188,152,125,61,12,0,932,3,8,10,0,3,8,0,0,42,309,513,497,343,235,114,29,13,2076,650,1413,971,670,526,263,61,19,4580
