SA3_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
21201,1123,993,516,331,432,227,110,3737,499,481,263,160,222,101,48,1766,419,394,200,126,209,74,36,1456,4229,3768,2088,1254,1640,586,244,13818,31,19,11,6,11,6,0,81,6305,5661,3083,1874,2508,994,434,20857,112,137,94,66,110,46,42,606,103,126,60,41,62,27,6,424,61,82,46,37,51,20,8,297,728,843,544,380,479,168,61,3200,34,23,9,14,14,5,0,109,1031,1206,752,539,714,270,113,4630,7337,6871,3832,2419,3222,1267,545,25488
21202,3396,3556,1944,1243,1909,1352,703,14104,629,604,381,232,349,185,79,2457,559,507,288,176,249,126,68,1979,2731,2747,1595,990,1436,663,266,10430,38,47,32,11,13,13,3,159,7346,7463,4234,2655,3960,2340,1116,29119,254,377,249,186,343,186,134,1728,125,160,119,76,111,54,24,665,55,87,57,49,83,32,11,378,474,657,408,341,460,171,67,2568,54,46,31,15,20,3,0,171,963,1315,864,670,1018,448,237,5514,8313,8776,5104,3318,4980,2791,1351,34631
21203,6624,6170,3065,1771,2470,1544,770,22410,815,738,363,241,322,144,51,2674,788,678,312,169,249,96,45,2350,4241,3754,2006,1233,1558,558,212,13560,76,99,45,16,13,7,4,266,12540,11444,5788,3430,4610,2343,1084,41249,406,543,348,274,405,248,144,2368,152,210,130,83,135,37,19,765,81,139,100,58,84,38,19,509,848,1009,636,451,591,194,62,3783,69,63,36,32,29,5,5,234,1550,1957,1243,902,1233,526,256,7664,14095,13396,7037,4331,5846,2870,1337,48915
21204,7455,6060,3160,2007,2955,2192,1246,25070,553,517,234,146,188,96,54,1800,725,494,225,130,170,99,31,1880,1424,1260,691,430,543,276,126,4738,63,57,31,23,9,13,3,204,10219,8386,4331,2740,3864,2682,1465,33689,821,1061,789,568,859,656,385,5132,157,151,83,74,90,49,18,633,121,112,70,62,57,40,21,486,280,392,297,201,231,102,46,1546,97,80,42,27,42,13,5,314,1476,1801,1288,938,1282,859,473,8113,11690,10186,5621,3675,5151,3539,1938,41806
21205,4487,4362,2362,1513,2213,1865,1072,17873,525,525,316,182,259,186,109,2110,679,642,339,196,268,196,90,2403,1978,2469,1544,994,1277,761,393,9417,25,13,6,12,9,7,4,77,7691,8010,4566,2891,4026,3006,1676,31866,285,473,334,279,535,477,292,2680,70,114,68,61,70,73,36,500,36,80,78,62,69,60,30,412,187,332,304,206,302,177,100,1610,22,23,12,11,18,5,3,92,603,1025,803,624,999,787,454,5296,8296,9039,5368,3519,5020,3797,2132,37163
21301,5922,4959,2713,1775,2577,1936,1133,21020,723,583,370,212,287,178,106,2465,722,557,263,167,229,142,84,2158,2212,1878,1038,726,965,516,217,7555,105,96,52,22,20,10,3,309,9688,8082,4443,2900,4074,2783,1533,33499,974,1352,864,673,1006,647,406,5915,193,194,100,82,105,57,29,760,172,160,97,51,81,44,19,625,477,661,413,268,371,145,78,2407,139,140,84,61,60,31,14,532,1949,2505,1557,1134,1619,923,548,10250,11639,10588,5998,4031,5691,3704,2087,43744
21302,1299,1033,454,249,436,304,156,3939,609,615,289,153,217,129,65,2076,588,453,207,144,167,104,55,1710,2350,2233,1131,704,933,531,305,8188,32,21,4,5,4,0,0,57,4877,4353,2092,1253,1755,1064,581,15972,95,154,97,75,108,69,47,634,82,108,80,56,78,38,20,465,44,77,36,35,46,28,12,276,228,404,237,183,297,134,75,1559,28,23,15,4,10,0,0,82,477,762,468,350,529,273,154,3017,5356,5115,2557,1598,2284,1333,741,18990
21303,1773,1240,580,366,554,453,261,5227,547,367,153,80,105,49,39,1326,518,336,152,60,89,38,16,1212,1901,1383,573,308,393,202,88,4851,25,15,13,4,13,3,0,72,4764,3334,1461,824,1157,749,402,12681,213,300,208,134,233,183,108,1383,69,95,45,21,44,15,20,318,36,53,30,24,41,20,3,205,132,202,141,92,125,59,36,777,20,25,9,5,15,11,3,102,478,671,435,277,458,287,169,2784,5235,4006,1901,1096,1614,1038,575,15469
21304,3197,3342,1778,1089,1516,935,447,12307,800,840,463,238,361,162,70,2935,745,738,360,205,261,150,47,2510,5317,5103,2583,1565,1863,722,244,17395,48,59,22,20,16,6,4,180,10104,10087,5204,3114,4020,1985,806,35324,386,505,337,221,335,182,108,2066,167,211,139,100,136,45,37,834,86,160,97,54,93,31,22,535,1081,1366,764,477,628,222,67,4612,96,109,52,33,29,7,0,329,1813,2342,1390,883,1225,492,230,8376,11923,12433,6595,4001,5239,2474,1040,43700
21305,11305,8543,3659,1989,2567,1441,675,30183,1200,968,515,279,385,179,98,3619,1096,883,434,257,331,155,65,3214,4522,4344,2126,1319,1798,822,338,15259,87,93,45,22,23,12,3,277,18217,14824,6780,3865,5099,2599,1176,52554,781,942,585,393,573,331,164,3772,235,295,177,112,162,64,31,1065,140,209,111,79,127,68,29,763,993,1306,805,534,673,270,112,4694,120,93,53,34,27,11,8,349,2270,2846,1734,1157,1563,739,338,10643,20485,17663,8518,5021,6658,3341,1512,63198
21401,1081,1026,647,383,585,307,152,4191,693,656,330,182,298,132,58,2346,667,596,327,169,250,98,64,2168,4549,3763,1950,1198,1561,598,255,13865,36,39,20,8,10,0,3,126,7030,6077,3274,1941,2703,1142,533,22700,110,156,146,96,147,97,38,787,133,216,143,97,154,57,25,818,83,143,97,70,126,38,27,580,959,1150,738,496,758,296,122,4511,58,53,42,27,13,4,0,197,1342,1715,1159,785,1191,493,208,6890,8369,7790,4438,2728,3890,1633,742,29586
21402,464,648,419,315,390,221,74,2536,611,826,479,263,357,143,61,2739,590,694,344,221,315,128,69,2356,4754,5203,2932,1726,2340,878,374,18208,28,27,24,12,21,4,8,123,6440,7395,4200,2544,3426,1367,579,25954,27,60,82,57,104,27,10,365,97,185,127,96,154,42,15,717,53,100,82,49,94,26,20,432,769,1230,808,578,735,228,88,4438,37,36,38,24,15,8,3,156,982,1615,1127,805,1099,342,140,6100,7422,9008,5322,3348,4530,1707,721,32058
21501,164,142,86,39,42,10,3,486,59,74,43,22,29,6,3,242,84,100,47,38,39,3,3,311,2031,2171,1288,815,1189,203,39,7727,13,12,6,4,12,0,0,52,2352,2496,1474,924,1303,224,43,8823,8,11,3,4,12,4,0,45,22,37,26,22,29,10,0,144,11,27,15,12,17,4,0,80,394,578,348,276,336,74,17,2013,24,18,21,17,9,0,3,88,456,669,415,324,397,87,19,2372,2808,3168,1889,1251,1703,311,59,11192
21502,237,231,153,81,137,31,9,885,87,81,45,29,66,17,0,324,114,82,46,21,49,11,6,320,1961,1996,1157,713,1024,259,56,7160,26,20,17,6,4,0,0,72,2425,2409,1404,851,1284,317,63,8755,31,53,25,27,37,6,3,176,26,36,27,23,21,3,0,146,32,27,11,20,21,3,0,114,550,664,391,267,364,93,20,2341,21,27,14,14,10,3,0,87,653,805,468,349,448,104,20,2861,3080,3217,1876,1201,1731,420,89,11614
21503,141,126,69,36,76,16,3,469,38,32,23,20,20,3,0,142,77,65,27,10,18,6,0,209,1297,1419,833,587,840,146,28,5149,11,14,7,11,4,0,0,49,1567,1668,958,661,956,174,33,6018,16,24,15,11,15,3,3,86,16,26,3,6,13,0,0,77,0,11,7,8,11,3,0,43,246,332,204,144,197,33,10,1158,24,19,9,5,4,4,0,63,298,419,242,177,239,45,12,1425,1864,2084,1201,840,1197,219,47,7446
21601,59,57,38,22,22,3,0,192,49,44,24,23,22,8,0,172,51,53,27,15,26,7,7,185,1409,1511,880,617,848,201,30,5492,8,12,6,9,3,0,0,32,1573,1664,974,686,921,215,37,6073,3,4,10,3,7,0,0,21,11,24,13,13,10,6,0,78,13,6,7,3,8,0,0,43,297,373,263,160,238,57,3,1397,16,9,4,4,0,0,0,37,337,424,299,183,263,69,3,1571,1909,2089,1272,871,1184,278,40,7644
21602,84,84,45,27,41,6,3,287,42,29,25,7,32,3,0,134,44,36,24,12,23,7,0,145,978,1073,671,434,555,122,25,3864,6,14,3,6,3,0,0,32,1155,1230,766,488,647,138,32,4464,3,10,11,8,15,3,0,61,20,14,10,12,14,4,0,75,10,28,5,0,7,0,0,56,240,330,186,145,166,29,8,1106,6,12,9,3,6,0,0,44,284,391,226,164,222,42,6,1332,1440,1626,997,654,865,182,35,5798
21603,749,674,346,214,334,114,38,2464,120,111,58,35,72,18,3,411,131,120,62,43,52,19,3,430,2056,2205,1230,796,1188,300,57,7836,21,22,12,11,11,0,3,85,3074,3134,1708,1100,1651,456,99,11222,66,64,54,45,54,29,16,330,50,43,37,18,30,6,3,191,26,34,21,7,22,3,0,114,552,699,438,305,441,88,19,2546,24,37,24,21,8,0,0,118,717,886,566,394,557,137,38,3297,3795,4020,2271,1498,2208,592,135,14521
21701,66,74,31,23,35,9,3,239,37,48,30,24,16,3,0,164,62,54,52,34,27,6,0,235,1254,1299,794,554,729,140,21,4795,13,10,7,0,5,0,0,35,1429,1486,916,638,817,158,23,5465,6,10,11,8,5,3,0,33,13,17,18,10,12,3,0,78,0,7,9,8,11,7,0,45,219,291,217,150,218,38,4,1139,11,12,3,3,8,3,0,46,249,342,262,180,252,48,10,1339,1677,1825,1176,820,1068,210,27,6809
21703,81,74,43,24,34,10,0,263,80,52,37,15,29,12,3,231,69,58,29,22,23,6,0,209,1320,1582,893,577,798,187,34,5393,6,14,13,0,3,0,0,33,1558,1781,1018,641,891,211,40,6136,7,9,6,0,11,0,0,29,14,20,22,6,12,3,0,73,10,11,17,7,7,0,0,51,284,325,207,164,213,46,10,1252,11,15,11,8,7,0,0,58,331,379,257,189,243,47,7,1464,1892,2156,1275,828,1135,259,52,7594
21704,109,119,87,53,68,8,0,444,130,126,45,41,46,10,0,398,125,135,61,24,47,15,4,417,1904,2092,1230,796,1057,262,84,7420,15,9,9,4,4,6,0,44,2280,2484,1439,918,1223,296,91,8725,18,15,20,14,9,0,0,71,36,36,23,22,19,13,5,153,12,30,14,11,13,5,0,84,327,479,299,223,331,88,18,1755,19,19,12,9,0,0,0,64,408,576,371,264,379,99,20,2126,2693,3057,1807,1187,1600,396,113,10851
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
