SA3_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
20501,5598,11101,105,578,554,2628,147,684,2778,11230,3588,15119,267,1139,464,1533,976,3105,1712,5776,5298,20898,40,193,128,450,59,213,775,2137,1006,2991,94,306,217,475,624,1311,934,2092,1939,5087,137,279,12970,37361
20502,6159,12107,53,308,377,1751,100,448,2122,8378,2656,10880,161,636,296,945,758,2309,1213,3887,3871,14772,20,84,152,541,54,181,701,1884,928,2697,57,182,149,324,589,1225,801,1735,1724,4430,128,272,11881,31583
20503,7852,15464,85,454,622,2859,151,665,3168,12693,4021,16667,239,975,476,1514,980,3001,1691,5495,5711,22160,29,113,174,594,84,288,986,2665,1268,3662,75,219,260,563,803,1668,1138,2445,2410,6111,162,325,16135,44059
20504,7628,15082,112,598,677,3124,170,745,3775,14862,4730,19332,350,1403,617,2009,1504,4671,2468,8079,7200,27411,51,239,273,1002,139,495,1640,4454,2112,6194,143,450,339,728,1148,2380,1629,3554,3740,9746,237,497,18801,52740
20505,4965,9752,84,441,453,2088,124,535,2322,9171,2976,12239,181,740,353,1120,783,2403,1313,4263,4292,16501,21,92,132,451,45,172,642,1797,838,2516,53,157,182,385,497,1036,727,1582,1570,4100,134,275,10962,30623
20601,8823,17430,76,425,634,2858,116,519,5195,19131,6021,22933,430,1803,706,2448,1378,4485,2504,8734,8524,31668,20,94,133,452,26,76,763,1850,935,2480,98,308,299,670,1264,2742,1667,3718,2602,6199,659,1392,20614,56687
20602,4883,9638,36,191,491,2194,53,224,3550,13320,4129,15923,257,1079,544,1930,769,2421,1569,5433,5699,21354,8,40,91,285,20,60,533,1293,651,1680,65,189,222,494,686,1487,973,2171,1618,3851,319,660,12523,35510
20603,6009,11879,63,343,800,3615,69,310,4230,16011,5162,20282,453,1916,881,3173,1178,3755,2514,8840,7676,29127,21,88,130,478,35,126,761,1962,943,2662,104,328,328,729,908,1957,1334,3016,2279,5677,508,1054,16474,47735
20604,14515,28494,20,115,327,1566,38,174,3929,13494,4314,15351,165,663,516,1659,609,1832,1291,4149,5607,19499,14,70,142,508,37,122,819,2017,1012,2712,104,321,567,1221,770,1612,1434,3161,2448,5872,2040,4267,24614,58132
20605,12634,24613,24,161,480,2133,50,217,5106,18326,5665,20838,234,933,693,2289,778,2356,1709,5583,7379,26417,3,22,133,425,21,71,1032,2363,1194,2889,81,252,461,967,933,1883,1477,3098,2671,5984,673,1394,23349,58410
