SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC22510,3,0,3,4,14,9,9,8,5,52
SSC22511,0,0,0,0,0,0,0,3,0,3
SSC22512,0,0,0,27,24,6,13,26,21,124
SSC22513,0,0,3,63,100,58,56,49,77,396
SSC22514,0,0,0,0,0,0,0,0,0,0
SSC22515,53,6,80,308,350,185,170,347,162,1531
SSC22516,0,0,0,0,6,0,0,0,0,12
SSC22517,3,0,3,6,15,8,12,5,4,52
SSC22518,0,0,0,40,50,25,25,20,15,176
SSC22519,0,0,0,3,3,5,0,3,0,19
SSC22520,0,0,3,41,61,34,49,50,24,260
SSC22521,0,0,3,135,169,83,57,100,46,592
SSC22522,0,0,0,20,19,12,11,17,7,88
SSC22523,0,0,0,69,59,38,33,39,54,289
SSC22524,3,3,10,119,142,85,78,115,55,597
SSC22525,4,0,3,17,31,26,13,38,22,145
SSC22526,0,0,0,0,0,0,0,0,0,0
SSC22527,0,0,0,4,12,5,8,10,3,50
SSC22528,0,0,0,15,18,8,11,11,9,77
SSC22529,0,0,0,0,0,0,0,0,0,0
SSC22530,0,0,3,144,207,116,117,125,61,768
SSC22531,8,3,18,100,149,89,72,103,71,587
SSC22532,0,0,0,9,14,20,17,23,4,91
SSC22533,8,6,19,255,301,139,122,216,141,1170
SSC22534,180,109,504,3338,2903,1061,738,2371,1067,11480
SSC22535,0,0,3,39,72,43,45,43,32,281
SSC22536,0,0,0,0,0,0,0,0,0,0
SSC22537,20,17,70,461,565,297,231,529,243,2325
SSC22538,126,26,233,2518,2991,1427,1035,1557,645,10167
SSC22539,0,0,0,6,4,3,3,10,0,26
SSC22540,3,0,0,48,48,24,23,50,29,226
SSC22541,0,3,3,9,5,8,3,3,5,31
SSC22542,0,0,3,3,5,0,6,3,7,25
