SSC_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC20250,..,3,6,0,4,15,9,3,3,42,..,0,3,23,38,62,109,59,77,370,3,3,4,3,0,7,4,0,3,34,517,278,201,376,503,424,370,158,135,2954,..,3,156,463,733,549,466,184,80,2636,..,11,77,72,82,55,30,5,3,345,..,0,4,32,51,39,10,8,24,165,1052,..,..,..,..,..,..,..,..,1052,..,399,..,..,..,..,..,..,..,399,..,140,94,19,20,15,0,0,0,294,..,13,8,7,0,9,16,6,6,60,..,3,3,6,0,0,0,0,0,19,..,3,15,10,15,25,8,16,3,96,..,7,24,39,74,106,144,97,87,574,7,9,8,3,0,17,9,3,6,60,1062,591,402,658,985,811,686,315,217,5714
SSC20251,..,69,84,28,21,13,10,5,4,236,..,15,63,59,81,108,151,146,119,740,3,22,15,9,9,12,14,9,5,100,1156,824,835,966,973,733,560,379,220,6632,..,18,648,1272,1341,962,687,374,138,5448,..,69,246,134,122,59,28,8,0,672,..,4,22,103,114,88,38,38,41,445,2364,..,..,..,..,..,..,..,..,2364,..,979,..,..,..,..,..,..,..,979,..,289,230,64,49,37,3,0,0,674,..,55,62,15,9,38,29,25,14,245,..,78,73,18,16,10,4,0,0,195,..,174,192,62,41,27,17,4,4,523,..,48,131,126,151,189,214,201,165,1236,10,48,33,24,15,25,20,8,8,194,2375,1757,1645,1825,1861,1433,1046,658,371,12963
SSC20252,..,20,36,14,5,3,4,4,0,87,..,8,31,24,25,47,69,84,58,342,4,11,13,3,3,6,9,8,6,61,685,452,455,561,525,368,251,263,127,3685,..,8,400,803,712,464,299,266,68,3013,..,28,105,74,51,28,12,4,0,299,..,0,17,57,106,56,21,30,22,319,1451,..,..,..,..,..,..,..,..,1451,..,504,..,..,..,..,..,..,..,504,..,165,149,43,51,18,3,0,0,435,..,55,37,4,19,29,13,24,14,190,..,46,28,3,7,0,3,0,0,87,..,63,82,33,6,9,9,3,0,210,..,17,52,40,62,73,92,113,78,520,10,25,21,8,6,8,9,5,10,104,1464,902,880,1068,1024,687,457,447,192,7130
SSC20253,..,39,59,8,9,11,12,3,3,141,..,13,16,27,42,117,115,176,103,602,14,5,6,14,11,5,3,12,6,80,912,569,579,717,739,604,464,414,187,5182,..,3,457,978,1002,672,536,397,114,4156,..,30,169,86,78,61,25,10,0,454,..,3,15,71,122,99,32,33,30,415,1910,..,..,..,..,..,..,..,..,1910,..,696,..,..,..,..,..,..,..,696,..,228,226,77,57,32,3,0,0,629,..,55,40,18,10,31,30,30,16,218,..,49,41,8,3,4,0,0,0,111,..,98,111,24,18,18,20,4,3,297,..,15,46,54,92,181,160,230,144,929,20,12,14,25,22,11,3,16,9,135,1936,1191,1124,1329,1404,1118,813,715,318,9941
SSC20254,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,..,0,0,0,0,6,0,0,0,7,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,5,0,0,0,20
SSC20255,..,0,0,7,0,0,0,0,0,7,..,0,3,3,3,0,6,0,0,18,0,0,0,0,0,3,0,0,0,3,22,7,14,25,19,19,16,5,0,114,..,0,10,22,13,13,16,3,0,78,..,0,6,10,6,6,0,0,0,31,..,0,0,0,5,4,0,0,0,12,40,..,..,..,..,..,..,..,..,40,..,8,..,..,..,..,..,..,..,8,..,6,0,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,7,0,0,0,0,0,4,..,0,5,5,6,14,12,0,0,46,0,0,0,0,3,3,0,0,0,9,41,16,22,42,38,40,31,9,0,241
SSC20256,..,3,0,3,3,0,7,3,0,14,..,0,3,6,18,33,53,23,16,157,8,7,0,3,4,14,13,7,0,53,113,58,57,92,130,173,238,95,33,988,..,0,30,104,121,189,313,140,35,931,..,5,30,20,39,26,14,0,0,134,..,0,3,10,28,9,6,3,3,72,217,..,..,..,..,..,..,..,..,217,..,72,..,..,..,..,..,..,..,72,..,28,26,14,14,4,0,0,0,83,..,6,0,3,0,0,0,0,3,14,..,3,7,0,0,0,0,0,0,7,..,8,3,5,9,3,9,6,0,38,..,10,6,23,35,66,81,45,36,296,8,8,8,4,11,15,20,9,4,90,224,132,108,177,254,313,450,206,74,1941
SSC20257,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,0,0,0,15,..,0,0,0,4,0,0,0,0,10,..,0,3,3,3,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,12,..,..,..,..,..,..,..,..,12,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,3,5,0,3,0,0,29
SSC20258,..,0,0,0,0,0,0,0,0,0,..,0,0,0,4,4,0,0,0,13,0,0,0,0,0,4,0,0,0,5,9,14,5,13,15,23,12,0,3,85,..,0,0,15,18,26,13,0,0,78,..,0,4,3,3,9,0,0,0,14,..,0,0,0,0,3,0,0,0,4,24,..,..,..,..,..,..,..,..,24,..,9,..,..,..,..,..,..,..,9,..,9,8,0,0,0,0,0,0,17,..,3,0,0,0,0,0,0,3,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,3,..,0,3,3,3,11,0,0,0,18,0,0,0,0,0,3,3,0,0,4,24,18,12,23,25,53,17,0,3,185
SSC20259,..,0,0,0,3,3,3,0,0,9,..,0,0,8,4,10,6,3,0,29,0,3,0,0,0,0,3,0,0,15,108,72,77,83,96,82,45,18,0,588,..,3,53,104,115,101,75,33,0,482,..,13,48,25,27,14,0,0,0,130,..,3,4,9,15,8,3,3,0,48,216,..,..,..,..,..,..,..,..,216,..,52,..,..,..,..,..,..,..,52,..,61,26,6,5,0,0,0,0,99,..,4,4,0,0,5,0,3,3,18,..,0,0,3,3,4,0,0,0,12,..,0,7,0,3,8,3,0,0,16,..,0,11,10,16,17,20,6,0,84,0,4,0,5,0,6,3,0,0,22,219,143,151,168,192,159,109,44,5,1183
SSC20260,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,4,3,4,8,8,0,3,0,35,..,3,4,4,4,14,0,5,3,37,..,0,3,3,0,3,0,0,0,13,..,0,0,0,0,0,0,0,0,0,8,..,..,..,..,..,..,..,..,8,..,5,..,..,..,..,..,..,..,5,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,3,8,10,10,11,10,22,5,7,3,76
SSC20261,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,9,..,0,3,3,0,3,3,0,0,11,..,0,0,0,0,3,0,0,0,3,..,0,0,0,0,0,0,0,0,0,5,..,..,..,..,..,..,..,..,5,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0,4,3,0,0,21
SSC20262,..,0,0,0,0,0,0,0,0,0,..,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9,5,3,3,14,4,10,3,0,46,..,0,3,0,11,8,13,3,0,42,..,3,0,0,7,0,0,0,0,13,..,0,0,0,0,0,0,0,0,0,9,..,..,..,..,..,..,..,..,9,..,3,..,..,..,..,..,..,..,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9,5,3,7,18,12,15,3,0,83
SSC20263,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,15,0,3,4,9,5,3,0,0,34,..,0,3,4,9,3,3,0,0,27,..,0,0,0,0,0,0,0,0,3,..,0,0,0,3,0,0,0,0,5,17,..,..,..,..,..,..,..,..,17,..,0,..,..,..,..,..,..,..,0,..,0,0,3,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,3,18,4,11,9,11,7,4,6,3,65
SSC20264,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
SSC20265,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,10,3,3,4,5,10,9,4,0,36,..,0,0,3,0,12,12,0,0,29,..,0,3,3,0,0,0,0,0,9,..,0,0,0,0,0,3,0,0,3,5,..,..,..,..,..,..,..,..,5,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,4,0,8,0,0,3,0,0,0,0,0,0,4,12,3,8,6,3,15,21,3,0,65
SSC20266,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,10,6,4,0,29,..,0,4,3,3,9,10,3,0,33,..,0,0,0,0,7,0,0,0,9,..,0,0,0,3,0,0,0,0,3,6,..,..,..,..,..,..,..,..,6,..,3,..,..,..,..,..,..,..,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,4,6,3,4,3,3,17,13,9,0,59
SSC20267,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,3,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,4,..,..,..,..,..,..,..,..,4,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,4,0,0,0,8
SSC20268,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,..,0,0,0,3,3,3,0,0,11,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,13
SSC20269,..,0,0,0,0,0,0,0,0,0,..,0,0,0,9,3,4,3,3,21,0,0,0,0,0,0,0,0,0,0,25,15,11,20,30,18,17,8,3,138,..,0,11,14,23,35,15,10,0,103,..,4,8,7,20,7,0,0,0,50,..,0,0,3,0,0,0,0,0,3,48,..,..,..,..,..,..,..,..,48,..,9,..,..,..,..,..,..,..,9,..,7,4,0,0,0,0,0,0,15,..,4,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,3,3,10,7,9,3,3,25,0,0,0,0,0,0,0,0,0,0,48,31,22,27,55,43,22,17,0,263
SSC20270,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20271,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,18,7,5,8,17,8,14,4,0,81,..,0,0,14,25,12,14,3,0,77,..,0,0,0,0,6,0,0,0,7,..,0,0,0,0,0,0,0,0,3,33,..,..,..,..,..,..,..,..,33,..,0,..,..,..,..,..,..,..,0,..,5,4,3,0,0,0,0,0,14,..,0,0,0,0,0,3,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,8,..,0,0,0,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,33,12,10,18,35,24,19,8,0,159
SSC20272,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,12
SSC20273,..,0,0,0,0,0,0,0,0,0,..,0,3,0,3,3,9,3,0,21,0,0,0,0,0,3,3,0,0,5,45,17,29,31,39,44,40,11,0,256,..,0,19,32,52,71,47,15,3,238,..,0,14,11,12,10,3,0,0,48,..,0,3,3,3,0,0,0,0,13,103,..,..,..,..,..,..,..,..,103,..,25,..,..,..,..,..,..,..,25,..,15,7,0,0,0,0,0,0,23,..,0,0,0,0,3,0,0,0,4,..,0,0,0,0,3,0,0,0,5,..,3,0,0,3,4,0,0,0,11,..,0,3,3,15,9,11,9,0,56,0,0,0,0,0,7,3,0,0,7,103,40,44,56,85,105,69,25,5,527
SSC20274,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,17,..,0,0,0,3,4,3,0,0,13,..,0,0,0,3,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,5,..,..,..,..,..,..,..,..,5,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,3,0,0,10,4,3,0,0,25
SSC20275,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,8,3,7,6,5,0,0,49,..,0,4,9,14,5,9,4,0,53,..,0,0,0,0,3,0,0,0,4,..,0,0,0,0,0,0,0,0,3,15,..,..,..,..,..,..,..,..,15,..,8,..,..,..,..,..,..,..,8,..,4,0,0,0,0,0,0,0,9,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,11,11,10,11,25,14,9,4,3,100
SSC20276,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,5,3,0,0,23,..,0,0,3,4,7,0,0,0,21,..,0,0,0,0,0,3,0,0,7,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,3,..,0,0,0,3,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,3,3,10,11,10,4,0,45
SSC20277,..,9,46,12,15,13,14,3,0,113,..,8,40,44,53,98,101,64,36,446,4,11,3,4,10,3,8,5,6,56,502,233,479,499,417,371,269,149,62,2975,..,14,304,543,400,355,250,130,26,2018,..,27,245,198,100,53,16,0,3,645,..,0,25,66,85,52,15,17,12,272,1000,..,..,..,..,..,..,..,..,1000,..,212,..,..,..,..,..,..,..,212,..,133,91,38,25,12,0,0,0,296,..,21,15,9,3,16,22,15,3,103,..,14,8,3,3,0,0,0,0,32,..,31,78,34,31,24,16,6,3,225,..,17,90,112,137,176,163,94,57,847,5,19,19,15,16,5,12,10,8,110,1012,488,875,1014,794,707,499,259,98,5752
SSC20278,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,0,6,0,0,0,3,0,0,0,14,29,19,15,20,17,29,9,0,0,141,..,0,17,27,38,47,21,0,0,155,..,0,3,0,3,3,0,0,0,12,..,0,0,0,0,0,0,0,0,6,52,..,..,..,..,..,..,..,..,52,..,9,..,..,..,..,..,..,..,9,..,6,11,0,0,0,0,0,0,13,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,3,4,3,3,4,3,0,0,14,0,9,4,0,0,3,0,0,0,23,52,35,42,33,47,60,25,0,0,292
SSC20279,..,0,0,0,3,0,0,0,0,3,..,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,23,25,15,13,24,20,21,13,0,153,..,0,9,7,31,35,27,12,3,119,..,0,7,12,6,0,0,0,0,25,..,0,0,4,3,0,3,0,0,10,42,..,..,..,..,..,..,..,..,42,..,15,..,..,..,..,..,..,..,15,..,16,14,0,3,0,0,0,0,30,..,3,3,0,0,3,3,3,0,18,..,3,0,0,3,0,0,0,0,5,..,0,0,0,3,0,3,0,0,10,..,3,0,0,0,3,3,8,0,15,0,4,0,0,4,0,0,0,0,8,48,49,37,24,47,46,39,21,3,309
SSC20280,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,16,..,0,0,3,3,7,3,0,0,15,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,6,..,..,..,..,..,..,..,..,6,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,6,0,3,4,3,7,3,0,0,31
SSC20281,..,3,0,0,0,3,3,0,0,6,..,0,3,0,6,5,3,0,0,17,0,0,0,0,0,0,3,0,0,6,32,13,15,23,39,45,38,10,0,211,..,0,8,27,33,67,49,14,0,204,..,0,6,4,16,7,3,0,0,39,..,3,0,4,10,0,0,0,0,20,69,..,..,..,..,..,..,..,..,69,..,22,..,..,..,..,..,..,..,22,..,7,0,0,3,3,0,0,0,9,..,0,0,0,0,0,3,0,0,10,..,4,0,0,0,0,0,0,0,4,..,3,3,0,4,8,3,0,0,18,..,0,4,5,12,14,16,5,0,57,3,3,0,3,0,7,5,0,0,26,77,39,25,44,71,98,87,26,8,479
SSC20282,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,16,21,7,14,25,9,8,3,0,100,..,0,0,21,29,24,16,4,0,94,..,0,3,4,5,0,0,0,0,11,..,0,0,0,0,0,0,0,0,4,29,..,..,..,..,..,..,..,..,29,..,22,..,..,..,..,..,..,..,22,..,9,4,0,0,0,0,0,0,13,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,3,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,5,29,42,8,23,37,29,18,4,0,193
SSC20283,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,19,13,4,3,18,7,7,0,0,72,..,0,7,7,22,11,13,0,3,69,..,0,0,0,3,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0,28,..,..,..,..,..,..,..,..,28,..,10,..,..,..,..,..,..,..,10,..,7,3,0,0,0,0,0,0,13,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,28,21,12,10,28,14,18,4,3,144
SSC20284,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20285,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,6,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,4
