SSC_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SSC20295,15,13,31,10,0,12,0,8,8,0,0,0,0,0,0,10,9,26,0,3,10,0,0,0,66.7,69.2,83.9,66.7,61.5,64.5,0,0,0,0,0,0,3,3,6,0,3,0,7,0,5,0,0,0,0,0,0,7,0,7,19,22,40,0,0,3,12,12,28,4,4,9
SSC20296,58,60,118,17,16,34,9,14,24,3,6,8,0,0,0,35,38,66,16,20,37,0,0,0,60.3,63.3,55.9,50,60,55.9,3,0,3,0,0,0,4,14,21,7,15,25,12,10,25,0,3,3,3,0,3,19,13,25,56,64,119,8,4,11,34,45,81,27,24,43
SSC20297,20,22,39,5,4,11,4,7,9,0,0,0,0,0,5,12,7,21,9,12,15,0,0,23.8,60,31.8,53.8,45,50,51.3,0,0,4,0,0,0,0,4,3,3,0,3,6,0,9,0,0,0,0,0,0,6,3,12,22,16,40,3,3,4,22,12,33,5,4,12
SSC20298,350,394,745,117,50,170,38,78,119,12,24,33,12,8,19,178,163,339,141,194,333,6.7,4.9,5.6,50.9,41.4,45.5,47.7,38.6,43.2,0,4,3,3,10,12,21,42,65,14,32,42,70,37,111,4,5,10,3,4,7,77,42,126,336,365,706,34,40,78,262,273,536,97,114,209
SSC20299,45,47,88,21,7,27,3,13,20,3,0,4,0,0,5,32,23,51,11,15,31,0,0,9.8,71.1,48.9,58,60,42.6,58,0,0,0,0,0,3,0,3,9,0,3,3,15,4,22,0,0,0,0,5,3,17,7,22,45,39,84,10,7,16,20,24,47,23,22,45
SSC20300,27,29,54,15,11,28,4,10,12,0,0,0,0,0,0,20,21,40,10,4,13,0,0,0,74.1,72.4,74.1,70.4,72.4,74.1,0,0,0,0,0,0,3,4,5,0,4,3,4,6,8,0,0,0,0,0,4,9,7,14,30,30,58,0,3,3,20,25,46,11,7,19
SSC20301,17,14,26,10,3,13,0,0,0,0,0,0,0,0,0,10,6,11,4,5,11,0,0,0,58.8,42.9,42.3,58.8,21.4,50,0,0,0,0,0,0,0,3,3,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,7,6,22,0,0,0,6,10,17,7,0,7
SSC20302,8815,9577,18395,4298,2466,6763,1096,2432,3530,225,318,548,370,303,674,5989,5517,11506,2361,3576,5941,6.2,5.5,5.9,67.9,57.6,62.5,63.7,54.5,58.9,322,326,646,116,262,378,989,1412,2406,769,1155,1921,2456,1097,3549,77,118,193,130,217,352,2662,1431,4089,8522,8990,17509,1315,1443,2759,5871,6224,12099,3598,3824,7415
SSC20303,35,38,69,8,5,16,0,4,6,0,3,3,0,0,0,18,12,27,13,15,24,0,0,0,51.4,31.6,39.1,22.9,31.6,36.2,0,0,0,0,0,0,0,3,3,0,0,3,10,3,12,0,0,0,0,0,3,5,3,12,28,26,52,3,0,3,22,20,39,4,4,9
SSC20304,37,29,67,19,8,28,4,16,16,3,4,7,0,0,0,30,23,54,8,5,15,0,0,0,81.1,79.3,80.6,70.3,96.6,76.1,0,0,0,0,0,0,4,3,8,4,5,11,10,3,15,0,0,0,3,0,3,12,8,17,40,31,76,3,5,8,36,24,63,8,5,17
SSC20305,1398,1442,2841,978,488,1463,133,484,621,45,73,116,38,34,74,1185,1085,2273,157,298,452,3.2,3.1,3.3,84.8,75.2,80,82.7,72.5,77.4,25,34,60,19,38,57,106,202,308,156,210,370,502,227,727,9,31,39,11,35,49,522,296,816,1500,1500,3003,290,321,611,608,589,1203,1039,1084,2117
SSC20306,60,47,110,32,10,38,3,9,7,0,0,0,3,3,5,34,19,55,14,22,32,8.8,15.8,9.1,56.7,40.4,50,58.3,40.4,40.9,0,0,0,0,0,0,3,3,3,7,0,3,16,7,15,0,0,3,0,3,4,17,7,22,47,34,78,13,15,28,30,24,59,23,16,40
SSC20307,71,83,155,24,9,33,7,24,37,0,3,6,4,3,9,38,38,79,23,39,66,10.5,7.9,11.4,53.5,45.8,51,43.7,43.4,49,0,0,0,0,0,0,0,8,6,3,4,6,32,9,39,0,3,3,0,0,0,35,11,45,72,82,151,5,5,16,54,66,117,18,24,44
SSC20308,19,21,38,7,6,16,0,4,8,0,0,0,0,0,0,10,10,18,5,7,10,0,0,0,52.6,47.6,47.4,36.8,47.6,63.2,0,0,0,0,0,0,0,3,6,0,0,0,6,0,6,0,0,0,0,0,0,6,3,11,17,17,30,3,3,10,16,12,27,5,9,11
SSC20309,23,19,41,6,7,17,3,0,8,0,4,4,0,4,4,14,13,28,5,3,5,0,30.8,14.3,60.9,68.4,68.3,39.1,57.9,70.7,0,3,3,0,0,0,4,3,5,0,0,3,7,0,7,0,0,0,0,0,0,12,0,9,19,16,34,3,3,4,14,10,27,3,3,12
SSC20310,40,37,79,22,15,34,6,14,20,0,0,0,0,0,0,30,27,58,9,9,12,0,0,0,75,73,73.4,70,78.4,68.4,0,0,0,0,0,3,0,11,13,3,4,7,12,3,16,0,0,3,0,0,0,13,7,19,39,37,78,5,3,9,34,27,65,11,8,16
SSC20311,15,12,26,3,3,9,0,3,3,0,0,0,0,0,0,10,9,11,6,5,8,0,0,0,66.7,75,42.3,20,50,46.2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6,21,18,39,0,0,0,3,4,8,18,13,32
SSC20312,4947,5166,10111,1650,1130,2777,834,1072,1909,118,129,252,298,267,565,2901,2602,5502,1699,2185,3881,10.3,10.3,10.3,58.6,50.4,54.4,52.6,45.1,48.8,487,479,965,86,167,252,1157,1292,2450,473,540,1020,403,206,608,23,30,55,50,72,119,476,305,777,3624,3736,7357,1468,1521,2993,1901,2025,3924,3064,3118,6184
SSC20313,4706,5109,9819,2059,1227,3284,718,1277,1989,111,131,240,231,197,426,3118,2825,5940,1429,2094,3519,7.4,7,7.2,66.3,55.3,60.5,61.4,51.6,56.1,470,451,924,124,237,360,1051,1225,2271,419,526,948,613,276,894,20,33,50,48,81,122,677,387,1069,4402,4724,9125,980,994,1980,2934,3182,6112,2251,2343,4594
SSC20314,3230,3734,6956,1395,882,2278,485,996,1484,73,89,156,170,140,311,2119,2108,4223,957,1445,2405,8,6.6,7.4,65.6,56.5,60.7,60.5,52.7,56.3,359,345,708,84,182,273,753,947,1695,301,402,710,400,175,578,18,25,41,38,48,89,459,252,707,2952,3423,6374,694,747,1445,1985,2345,4330,1552,1682,3236
SSC20315,7,7,12,5,0,10,0,0,0,0,0,0,0,0,0,5,3,7,3,5,6,0,0,0,71.4,42.9,58.3,71.4,0,83.3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,12,5,17,0,0,0,3,3,7,6,6,12
SSC20316,3,3,12,3,4,5,0,0,0,0,0,3,0,0,0,3,3,6,0,0,0,0,0,0,100,100,50,100,133.3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,3,9,0,3,3,3,3,7,0,3,7
SSC20317,17,18,31,12,0,11,0,7,7,0,0,0,0,0,0,12,8,20,0,3,4,0,0,0,70.6,44.4,64.5,70.6,38.9,58.1,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,4,0,9,16,20,37,0,0,0,19,13,33,0,0,5
SSC20318,10,8,18,6,0,8,0,0,0,0,0,0,0,0,0,8,3,5,7,7,8,0,0,0,80,37.5,27.8,60,0,44.4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,4,0,7,5,4,10,5,0,8
SSC20319,36,42,77,24,12,30,3,15,14,0,0,3,0,0,0,28,21,53,11,15,20,0,0,0,77.8,50,68.8,75,64.3,61,0,3,3,3,0,3,4,0,6,0,6,6,12,3,20,0,3,3,0,0,0,13,8,23,35,48,84,3,0,6,26,26,58,14,17,26
SSC20320,141,142,285,66,30,93,22,32,54,4,7,11,3,3,8,90,75,166,34,55,94,3.3,4,4.8,63.8,52.8,58.2,65.2,48.6,55.4,3,0,6,0,0,0,10,19,27,7,12,18,25,12,35,0,4,3,0,4,11,26,22,54,149,144,287,13,22,30,118,111,225,37,40,78
SSC20321,11,6,17,4,4,6,0,0,3,0,0,0,0,0,0,5,3,11,0,0,0,0,0,0,45.5,50,64.7,36.4,66.7,52.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,17,0,0,0,10,3,13,0,0,3
SSC20322,3769,3738,7505,1295,750,2047,621,635,1249,106,93,196,347,277,626,2365,1757,4119,1158,1718,2877,14.7,15.8,15.2,62.7,47,54.9,53.6,39.5,46.5,168,146,310,26,50,71,569,532,1101,282,265,546,389,263,657,30,26,55,48,58,112,469,357,823,3483,3452,6930,729,658,1390,2220,2321,4546,1772,1596,3374
SSC20323,18,19,34,6,3,5,0,5,3,3,0,3,0,0,0,8,8,18,4,5,6,0,0,0,44.4,42.1,52.9,50,42.1,32.4,0,0,0,0,0,0,0,3,3,3,0,3,0,4,6,0,0,0,0,0,0,0,4,5,18,18,35,0,0,0,16,11,22,5,4,7
SSC20324,414,450,866,152,86,233,47,94,137,14,11,33,15,25,38,233,217,443,150,208,355,6.4,11.5,8.6,56.3,48.2,51.2,51.4,42.4,46.5,13,7,18,3,13,15,14,48,62,27,32,56,118,81,199,3,8,9,9,6,13,128,97,227,395,395,785,52,75,128,268,288,559,144,161,306
SSC20325,71,69,135,19,10,32,10,13,22,4,8,8,0,0,0,35,30,66,26,21,48,0,0,0,49.3,43.5,48.9,46.5,44.9,45.9,7,7,15,0,8,8,10,14,24,3,5,12,17,0,19,0,0,0,0,0,0,17,0,19,65,58,115,3,11,16,40,38,81,25,24,45
SSC20326,12,12,26,3,0,4,0,3,4,0,0,0,0,0,0,6,5,7,8,9,10,0,0,0,50,41.7,26.9,25,25,30.8,0,0,0,0,0,0,0,0,0,0,0,0,6,5,8,0,0,0,0,4,4,6,7,16,13,9,26,0,0,0,8,9,25,0,0,0
SSC20327,20,20,42,7,0,11,0,5,5,0,0,0,0,0,0,11,8,20,9,4,17,0,0,0,55,40,47.6,35,25,38.1,0,0,0,0,0,0,0,3,3,0,3,3,3,3,8,0,0,0,0,0,0,3,7,9,21,18,41,0,0,0,19,17,34,0,3,3
SSC20328,434,455,883,177,89,270,48,126,175,22,15,37,25,15,41,271,249,519,129,165,292,9.2,6,7.9,62.4,54.7,58.8,56.9,50.5,54.6,12,7,19,12,20,34,22,59,80,32,48,82,149,58,203,0,13,13,0,3,10,149,81,229,407,412,822,74,88,158,306,305,608,159,155,308
SSC20329,1190,1378,2562,579,346,931,147,393,540,35,46,81,30,35,68,798,826,1621,335,493,828,3.8,4.2,4.2,67.1,59.9,63.3,63.9,57,60.6,53,71,125,28,68,90,187,272,453,123,169,296,327,131,454,11,19,33,15,28,42,350,178,528,1212,1385,2598,141,157,293,896,999,1892,411,494,904
SSC20330,39,39,75,23,13,30,5,10,21,0,0,3,0,0,0,30,25,55,11,16,26,0,0,0,76.9,64.1,73.3,71.8,59,72,3,0,6,0,3,3,6,8,11,4,3,9,11,3,11,0,0,0,0,0,0,10,7,13,37,51,87,3,3,7,26,33,64,15,13,29
SSC20331,56,60,116,33,17,48,6,18,24,0,0,3,0,0,0,38,36,73,12,22,35,0,0,0,67.9,60,62.9,69.6,58.3,64.7,0,0,0,0,3,4,3,6,4,4,5,9,11,8,14,0,0,0,0,3,3,16,10,22,61,53,115,6,3,13,56,46,99,7,15,22
SSC20332,23,17,45,13,7,20,0,9,12,0,0,0,0,0,0,19,15,33,6,5,7,0,0,0,82.6,88.2,73.3,56.5,94.1,71.1,0,0,0,0,0,0,3,3,9,0,0,0,8,3,11,0,0,0,0,0,0,8,3,10,23,26,55,0,0,0,19,24,37,8,4,5
SSC20333,142,139,282,52,22,76,13,22,38,7,4,17,3,0,8,74,60,131,54,64,122,4.1,0,6.1,52.1,43.2,46.5,50.7,34.5,46.5,0,0,0,3,5,3,10,6,12,3,14,16,42,18,58,0,3,3,0,0,3,42,26,61,142,130,273,10,8,19,105,105,210,37,30,71
SSC20334,971,1059,2028,326,205,525,154,254,403,30,35,68,24,10,29,530,496,1033,343,452,794,4.5,2,2.8,54.6,46.8,50.9,52.5,46.6,49.1,26,19,43,21,32,59,109,158,267,91,129,215,241,84,328,8,8,14,9,31,34,253,126,381,884,912,1795,155,184,344,598,609,1207,405,443,846
SSC20335,8840,10378,19221,4101,2354,6452,1298,2503,3806,215,254,461,234,259,494,5841,5369,11212,2455,4376,6828,4,4.8,4.4,66.1,51.7,58.3,63.5,49.2,55.8,1066,962,2029,254,485,734,2721,2865,5590,763,1074,1843,707,379,1086,26,62,89,124,202,334,857,651,1504,8230,9388,17624,1673,1902,3574,5330,6261,11589,4320,4845,9166
SSC20336,5927,6883,12810,2807,1461,4267,814,1862,2671,115,196,309,203,198,400,3935,3715,7656,1704,2786,4494,5.2,5.3,5.2,66.4,54,59.8,63,51.1,56.6,597,526,1119,181,325,509,1618,1797,3412,585,758,1339,648,306,959,21,44,60,80,150,230,747,499,1246,6051,6744,12796,980,1032,2010,4117,4681,8798,2656,2915,5562
SSC20337,82,62,145,28,14,40,8,15,29,8,3,10,3,0,3,44,38,85,36,24,55,6.8,0,3.5,53.7,61.3,58.6,53.7,51.6,54.5,0,0,0,0,0,0,3,3,9,0,7,10,20,11,31,3,3,9,0,0,0,21,16,35,82,65,144,13,7,13,69,54,130,19,14,30
SSC20338,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,3,3,0,0,0
SSC20339,25,22,46,16,9,24,3,0,3,0,0,0,0,0,0,13,9,29,7,9,11,0,0,0,52,40.9,63,76,40.9,58.7,0,0,0,0,0,0,7,3,5,0,0,0,4,0,7,0,0,0,0,0,0,4,0,7,20,15,36,3,0,4,24,15,37,4,4,3
SSC20340,32,30,65,18,9,18,0,12,9,3,0,6,0,0,0,18,20,34,7,12,20,0,0,0,56.3,66.7,52.3,65.6,70,50.8,0,0,0,0,3,3,0,0,3,3,6,13,3,0,5,0,0,0,0,0,0,3,0,4,34,36,73,0,3,3,34,32,67,3,4,10
SSC20341,4,3,12,3,0,8,0,0,0,0,0,0,0,0,0,4,3,12,0,0,0,0,0,0,100,100,100,75,0,66.7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,4,3,7,0,0,0
SSC20342,16,14,27,10,3,9,0,3,4,0,0,0,0,0,0,7,8,16,7,4,11,0,0,0,43.8,57.1,59.3,62.5,42.9,48.1,0,0,0,0,0,0,0,4,3,0,0,0,0,3,5,0,0,0,0,0,0,3,3,3,16,16,35,0,0,0,16,15,31,0,3,3
SSC20343,1688,1774,3458,793,352,1145,179,447,630,63,60,121,64,69,130,1099,928,2022,491,738,1229,5.8,7.4,6.4,65.1,52.3,58.5,61.3,48.4,54.8,16,16,26,9,36,52,62,132,190,112,184,295,536,236,766,19,36,54,21,35,59,572,305,880,1707,1751,3459,239,263,499,1162,1196,2357,670,716,1384
SSC20344,4776,4436,9214,1242,538,1773,673,603,1276,131,96,225,359,265,621,2407,1498,3905,1939,2522,4456,14.9,17.7,15.9,50.4,33.8,42.4,42.8,27.9,35.5,150,103,251,20,50,64,408,398,810,315,341,652,575,343,922,35,65,102,58,67,120,664,482,1150,4471,4184,8654,885,835,1716,2874,2816,5690,2066,1854,3918
SSC20345,34,39,74,18,11,33,3,8,13,3,0,8,0,0,0,30,22,54,3,13,11,0,0,0,88.2,56.4,73,70.6,48.7,73,0,0,0,0,0,0,4,10,7,0,5,3,8,0,15,0,0,0,0,0,3,11,4,13,40,40,75,3,0,3,27,29,57,9,10,19
SSC20346,10,9,22,5,4,10,0,6,6,0,0,0,0,0,0,10,10,14,3,3,10,0,0,0,100,111.1,63.6,50,111.1,72.7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,3,6,15,11,30,0,0,0,12,12,27,0,0,3
SSC20347,16,14,32,6,4,13,3,5,4,0,0,0,0,0,0,11,11,17,3,3,3,0,0,0,68.8,78.6,53.1,56.3,64.3,53.1,0,0,0,0,0,0,0,0,0,0,4,3,7,3,8,0,0,0,0,0,0,7,3,8,17,16,27,0,0,0,7,13,25,3,4,10
SSC20348,34,25,56,3,3,6,4,3,6,0,0,0,0,0,4,11,5,13,16,15,33,0,0,30.8,32.4,20,23.2,20.6,24,21.4,0,0,0,0,0,0,0,3,3,0,3,3,8,0,9,0,0,0,0,4,3,8,3,15,25,22,43,4,3,6,25,18,43,3,3,5
SSC20349,3278,3495,6774,1679,883,2555,315,812,1124,113,98,209,165,159,327,2274,1949,4218,838,1353,2188,7.3,8.2,7.8,69.4,55.8,62.3,64.3,51.3,57.4,102,83,188,27,61,87,265,379,640,277,359,639,858,490,1347,25,57,82,41,75,115,930,622,1546,3308,3422,6730,759,827,1580,1833,1872,3710,1923,2090,4014
SSC20350,822,778,1597,419,252,671,106,159,259,14,21,37,40,39,80,580,473,1050,189,260,449,6.9,8.2,7.6,70.6,60.8,65.7,65.6,55.5,60.6,30,32,62,7,17,28,125,135,261,52,96,149,177,56,233,7,7,16,15,10,30,199,78,279,666,629,1295,197,172,367,383,391,773,448,393,839
SSC20351,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,3,0,3,0,0,0
SSC20352,94,101,198,37,16,55,12,23,28,0,0,3,5,0,5,51,39,93,31,40,66,9.8,0,5.4,54.3,38.6,47,52.1,38.6,43.4,0,3,4,0,0,0,4,13,18,6,14,20,25,9,37,3,0,7,0,0,0,31,13,43,84,86,169,7,10,16,55,58,120,30,28,59
SSC20353,61,57,123,32,9,39,6,16,29,0,0,3,4,0,4,46,32,80,17,25,37,8.7,0,5,75.4,56.1,65,62.3,43.9,57.7,0,0,0,0,0,0,0,7,7,5,4,13,9,5,21,0,0,0,0,4,5,11,13,23,60,67,132,8,4,16,52,49,98,11,16,31
SSC20354,1375,1487,2853,714,361,1075,166,456,629,29,56,86,43,61,95,952,940,1888,354,473,829,4.5,6.5,5,69.2,63.2,66.2,66.1,58.7,62.7,29,39,69,31,60,90,147,236,388,108,149,252,409,201,614,13,25,42,10,35,46,436,266,699,1330,1400,2731,252,275,527,825,837,1658,690,745,1437
SSC20355,43,36,81,30,8,36,7,17,21,0,3,3,0,0,3,34,26,63,3,12,11,0,0,4.8,79.1,72.2,77.8,86,77.8,74.1,0,0,0,0,0,0,0,7,12,3,3,7,12,0,13,0,0,4,0,0,0,11,0,15,41,40,88,7,13,19,40,35,70,13,16,27
SSC20356,32,35,60,15,7,20,5,11,15,0,0,0,0,0,0,23,19,44,8,14,20,0,0,0,71.9,54.3,73.3,62.5,51.4,58.3,0,0,0,0,0,3,3,0,3,4,3,11,9,4,13,0,0,0,0,3,3,9,7,19,38,32,71,3,0,0,30,25,51,12,4,19
SSC20357,45,42,90,20,10,34,10,10,19,0,3,3,0,0,3,29,26,56,14,15,23,0,0,5.4,64.4,61.9,62.2,66.7,54.8,62.2,0,0,0,0,0,0,9,10,13,3,3,8,13,3,15,0,0,3,0,0,0,12,4,19,48,46,97,3,0,0,40,33,78,13,5,18
SSC20358,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0
SSC20359,10605,11257,21866,5006,4076,9085,1888,2838,4727,289,371,662,481,422,906,7663,7712,15370,2248,2884,5129,6.3,5.5,5.9,72.3,68.5,70.3,67.7,64.7,66.2,1266,1597,2862,353,649,1004,2999,3420,6420,780,850,1626,1053,469,1521,54,50,108,112,118,230,1219,638,1857,7988,8413,16402,2779,2982,5763,4428,4830,9260,6130,6409,12539
SSC20360,4836,5463,10300,2499,2183,4678,744,1344,2089,120,145,269,227,201,427,3586,3878,7461,894,1251,2143,6.3,5.2,5.7,74.2,71,72.4,69.5,67.2,68.3,605,759,1371,177,343,522,1404,1789,3194,385,427,813,499,270,766,28,35,61,44,52,92,572,350,923,3421,3841,7266,1476,1643,3123,1828,2123,3954,2978,3337,6322
SSC20361,5821,6427,12250,2664,2080,4746,952,1595,2547,147,203,352,301,227,531,4069,4114,8180,1393,1919,3316,7.4,5.5,6.5,69.9,64,66.8,64.6,60.3,62.4,598,716,1313,210,373,581,1404,1753,3158,478,538,1015,722,372,1090,27,51,75,47,87,131,797,502,1304,4854,5199,10051,1347,1484,2828,2991,3208,6200,2991,3302,6299
SSC20362,335,333,668,123,57,179,36,87,126,16,14,33,12,11,21,184,173,358,118,134,254,6.5,6.4,5.9,54.9,52,53.6,52.2,47.4,50.6,3,3,7,7,18,18,22,29,53,22,35,60,96,40,142,4,4,11,4,5,13,105,53,159,344,311,660,36,43,76,264,224,489,97,115,208
SSC20363,35,46,84,14,7,24,8,13,19,0,4,5,0,3,3,22,23,44,9,15,22,0,13,6.8,62.9,50,52.4,62.9,52.2,57.1,0,0,0,3,3,10,0,0,3,0,0,6,7,6,16,0,0,0,0,0,0,7,6,16,36,44,75,3,3,8,26,33,56,13,11,20
SSC20364,104,90,199,50,18,66,7,20,31,0,0,4,5,0,6,64,48,110,32,39,78,7.8,0,5.5,61.5,53.3,55.3,54.8,42.2,50.8,0,3,3,0,0,0,0,11,11,8,7,14,27,11,33,3,4,7,4,0,3,31,15,49,104,86,196,17,10,30,78,68,147,36,30,64
SSC20365,46,37,81,20,11,26,0,12,9,0,3,4,0,0,4,21,19,49,19,10,33,0,0,8.2,45.7,51.4,60.5,43.5,70.3,48.1,0,0,0,0,0,0,0,3,7,0,7,5,11,6,17,0,0,0,0,0,0,11,8,23,38,27,65,3,9,9,37,26,58,10,11,22
SSC20366,56,64,118,21,14,39,6,12,19,4,8,9,0,0,5,35,36,77,14,18,33,0,0,6.5,62.5,56.3,65.3,55.4,53.1,56.8,0,3,3,3,3,3,8,9,17,6,7,16,9,3,11,0,0,0,0,0,3,10,4,19,51,58,110,3,9,14,43,44,87,14,18,35
SSC20367,98,79,175,43,19,68,10,21,33,3,3,7,0,0,3,61,48,108,28,26,53,0,0,2.8,62.2,60.8,61.7,57.1,54.4,61.7,3,5,10,0,0,0,4,7,18,8,12,18,23,7,29,0,0,0,3,0,5,28,13,34,97,77,169,5,3,13,69,50,122,30,33,61
SSC20368,12,10,23,9,0,11,3,3,6,0,0,0,0,0,0,9,8,17,0,4,3,0,0,0,75,80,73.9,100,30,73.9,0,0,0,0,0,0,0,3,4,0,0,0,3,0,5,0,0,0,0,0,0,3,0,5,18,14,25,0,0,0,15,12,24,0,3,4
SSC20369,20,16,42,8,3,5,5,5,11,3,0,3,3,0,0,9,8,20,8,12,17,33.3,0,0,45,50,47.6,80,50,45.2,0,3,3,0,0,0,3,5,4,0,3,3,3,0,5,0,0,0,0,0,0,3,0,5,24,22,37,3,0,3,25,20,37,0,3,4
SSC20370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20371,67,54,120,30,8,33,8,19,29,0,0,0,0,0,3,37,28,63,27,23,55,0,0,4.8,55.2,51.9,52.5,56.7,50,51.7,0,0,0,0,3,3,5,4,15,0,8,7,23,11,32,0,3,4,0,3,3,22,10,36,70,64,130,3,4,6,55,48,96,12,11,31
SSC20372,3,3,5,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,100,0,60,100,0,60,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,3,0,6,0,0,0,3,0,3,0,0,0
SSC20373,116,107,227,50,16,64,14,35,55,5,8,12,3,3,4,78,62,136,31,34,65,3.8,4.8,2.9,67.2,57.9,59.9,59.5,55.1,57.7,0,0,0,0,5,5,12,12,21,9,11,17,28,11,42,0,0,0,0,3,3,28,19,43,108,106,215,12,13,28,91,81,176,27,28,51
SSC20374,129,107,234,48,20,64,18,33,51,5,10,12,4,3,9,78,59,138,39,41,79,5.1,5.1,6.5,60.5,55.1,59,55,58.9,54.3,0,0,3,0,9,9,7,12,17,3,12,19,33,14,48,0,0,0,6,3,8,36,18,58,126,102,230,4,10,11,96,75,170,36,31,66
SSC20375,32,31,67,20,9,26,3,13,19,0,0,3,0,0,0,21,27,49,6,5,13,0,0,0,65.6,87.1,73.1,71.9,71,71.6,0,0,0,0,3,3,0,6,6,10,7,13,6,4,7,0,0,0,0,0,0,6,4,7,43,35,74,4,3,11,27,23,47,14,13,31
