SSC_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SSC20693,..,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7
SSC20694,..,13,13,17,0,17,6,0,6,3,0,3,0,0,0,0,0,0,24,13,36
SSC20695,..,38,38,73,5,76,19,0,20,14,0,14,3,0,3,4,0,4,112,42,155
SSC20696,..,28,28,39,0,43,22,0,22,19,0,19,19,0,19,4,0,4,106,24,134
SSC20697,..,358,358,421,35,455,312,17,332,320,5,329,216,0,219,241,8,251,1522,427,1946
SSC20698,..,4,4,15,0,13,8,0,8,9,0,9,6,0,6,3,0,3,38,4,46
SSC20699,..,3,3,3,0,9,0,0,0,4,0,4,0,0,0,0,0,0,10,3,9
SSC20700,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20701,..,72,72,77,11,85,37,0,37,28,0,28,10,0,10,3,0,3,154,81,241
SSC20702,..,2268,2268,2052,341,2392,1566,135,1703,1296,113,1407,694,75,776,706,82,785,6318,3009,9324
SSC20703,..,1447,1447,2081,129,2213,1354,29,1382,1295,26,1322,571,19,586,422,26,451,5720,1673,7391
SSC20704,..,71,71,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,10,70,80
SSC20705,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20706,..,18,18,22,0,22,3,0,3,0,0,0,0,0,0,0,0,0,26,18,46
SSC20707,..,463,463,803,41,845,486,5,490,577,0,577,255,0,255,104,0,104,2222,509,2732
SSC20708,..,4,4,9,0,9,0,0,0,3,0,3,0,0,0,0,0,0,15,4,13
SSC20709,..,15,15,7,0,13,9,0,9,3,0,3,0,0,0,5,0,5,22,20,40
SSC20710,..,36,36,73,0,73,42,0,42,37,0,37,22,0,22,17,0,17,194,42,233
SSC20711,..,15,15,53,0,53,25,0,25,23,0,23,12,0,12,6,0,6,112,17,129
SSC20712,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10
SSC20713,..,40,40,49,0,55,9,0,9,13,0,13,5,0,5,6,0,6,83,43,127
SSC20714,..,11,11,17,0,16,5,0,5,0,0,0,3,0,3,0,0,0,28,13,43
SSC20715,..,3,3,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,9,3,14
SSC20716,..,472,472,360,34,394,130,3,129,81,0,78,29,0,30,14,0,14,610,508,1117
SSC20717,..,9,9,19,0,19,3,0,3,6,0,6,5,0,5,0,0,0,31,9,41
SSC20718,..,23,23,37,0,37,15,0,16,16,0,16,3,0,3,3,0,3,76,22,97
SSC20719,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
SSC20720,..,11,11,26,0,29,9,0,9,13,0,13,3,0,3,0,0,0,53,8,59
SSC20721,..,11,11,33,0,36,12,0,12,13,0,13,5,0,5,0,0,0,64,11,78
SSC20722,..,181,181,227,18,241,112,10,121,108,0,107,63,0,61,25,0,23,528,206,736
SSC20723,..,1035,1035,1493,130,1616,1084,38,1123,1028,7,1035,461,12,477,417,3,415,4481,1225,5702
SSC20724,..,489,489,707,69,776,365,15,379,342,12,353,145,0,144,72,0,78,1632,585,2222
SSC20725,..,495,495,583,25,603,579,7,586,509,0,513,287,0,288,152,0,153,2109,532,2639
SSC20726,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
SSC20727,..,0,0,3,0,3,5,0,5,0,0,0,0,0,0,0,0,0,7,0,12
SSC20728,..,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10
SSC20729,..,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8
SSC20730,..,30,30,39,0,42,26,0,25,27,0,27,27,0,27,3,0,3,117,38,152
SSC20731,..,120,120,201,19,217,105,4,110,117,0,120,50,0,55,27,0,27,496,147,648
SSC20732,..,12,12,26,0,28,10,0,10,4,0,4,3,0,3,0,0,0,40,11,52
SSC20733,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20734,..,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
SSC20735,..,58,58,80,3,79,28,0,28,23,0,23,6,0,6,8,0,8,144,67,214
SSC20736,..,7,7,8,0,8,0,0,0,4,0,4,4,0,4,0,0,0,13,7,15
SSC20737,..,191,191,382,32,410,413,8,428,657,3,664,293,3,293,228,0,228,1969,245,2209
SSC20738,..,8,8,15,0,15,3,0,3,0,0,0,0,0,0,0,0,0,21,8,27
SSC20739,..,60,60,55,4,62,24,0,24,15,0,15,6,0,6,4,0,4,104,67,167
SSC20740,..,22,22,33,0,33,19,0,19,0,0,0,3,0,3,0,0,0,61,22,84
SSC20741,..,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
SSC20742,..,82,82,176,10,183,64,0,64,81,0,81,43,0,43,36,0,36,403,89,490
SSC20743,..,31,31,63,0,60,20,0,20,21,0,21,9,0,9,0,0,0,106,32,140
SSC20744,..,3,3,22,3,21,9,0,9,9,0,9,3,0,3,3,0,3,43,6,52
SSC20745,..,12,12,20,3,18,17,0,17,15,0,15,4,0,4,0,0,0,51,12,66
SSC20746,..,519,519,1053,47,1102,694,4,706,949,0,949,403,0,403,110,0,110,3218,569,3787
SSC20747,..,14,14,11,0,17,3,0,3,5,0,5,0,0,0,0,0,0,30,16,49
SSC20748,..,229,229,307,33,335,211,5,214,130,0,130,65,0,65,26,0,26,736,267,1003
SSC20749,..,10,10,17,0,14,3,0,3,3,0,3,0,0,0,0,0,0,30,6,34
SSC20750,..,252,252,248,22,274,82,0,82,55,0,55,31,0,31,12,0,12,430,272,703
SSC20751,..,19,19,31,0,30,6,0,6,11,0,11,3,0,3,4,0,4,52,23,72
SSC20752,..,739,739,1104,56,1162,607,3,613,764,0,764,279,0,276,76,0,76,2834,802,3631
SSC20753,..,3,3,17,0,17,3,0,3,3,0,3,4,0,4,0,0,0,22,7,29
SSC20754,..,6,6,18,0,18,6,0,7,4,0,10,3,0,3,0,0,3,32,10,43
SSC20755,..,0,0,18,0,22,3,0,3,10,0,10,5,0,5,0,0,0,41,0,39
SSC20756,..,28,28,44,6,48,22,0,22,18,0,18,10,0,10,3,0,3,91,30,120
SSC20757,..,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,9,0,14
SSC20758,..,10,10,13,0,10,4,0,4,13,0,13,3,0,3,0,0,0,33,7,42
SSC20759,..,9,9,11,0,13,3,0,3,0,0,0,0,0,0,0,0,0,18,8,19
SSC20760,..,1434,1434,1648,417,2065,603,183,788,213,69,285,51,25,76,19,7,29,2533,2134,4673
SSC20761,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5
SSC20762,..,6,6,4,0,4,0,0,0,0,0,0,3,0,3,0,0,0,15,6,21
SSC20763,..,32,32,66,6,65,30,0,31,35,0,35,11,0,11,10,0,10,154,31,190
SSC20764,..,207,207,215,14,230,55,0,55,54,0,56,27,0,27,14,0,14,367,221,589
SSC20765,..,1860,1860,2548,174,2720,1346,80,1433,1194,27,1224,454,7,458,206,4,213,5743,2165,7908
SSC20766,..,1740,1740,2900,139,3041,1906,24,1933,1963,19,1982,764,12,775,300,3,301,7835,1934,9768
SSC20767,..,12,12,20,3,18,6,0,6,5,0,5,4,0,4,7,0,7,38,14,58
SSC20768,..,819,819,1245,45,1292,659,13,668,855,0,855,378,0,382,113,0,113,3256,870,4130
SSC20769,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
SSC20770,..,13,13,35,0,35,12,0,12,14,0,14,8,0,8,0,0,0,69,13,85
SSC20771,..,25,25,38,0,45,19,0,19,21,0,21,4,0,4,0,0,0,93,28,124
SSC20772,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20773,..,853,853,1720,92,1810,1312,17,1329,1702,3,1707,740,0,742,253,0,253,5732,964,6702
SSC20774,..,3,3,3,0,0,3,0,3,4,0,4,0,0,0,0,0,0,7,4,13
SSC20775,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20776,..,5,5,10,0,10,4,0,4,5,0,5,0,0,0,0,0,0,21,5,19
SSC20777,..,702,702,799,95,891,479,42,520,426,27,458,203,24,224,214,23,244,2117,913,3029
SSC20778,..,7,7,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,19,7,24
SSC20779,..,4,4,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,4,13
SSC20780,..,5,5,5,0,5,9,0,9,3,0,3,0,0,0,3,0,3,20,5,32
SSC20781,..,3,3,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15,3,18
SSC20782,..,763,763,883,59,944,317,8,328,254,0,254,86,0,86,41,0,42,1582,833,2417
SSC20783,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
SSC20784,..,1136,1136,1528,97,1628,634,6,644,596,0,596,293,0,292,143,0,143,3190,1247,4442
SSC20785,..,19,19,18,3,21,14,0,14,4,0,4,12,0,12,0,0,0,46,20,67
SSC20786,..,39,39,47,6,48,12,0,12,14,0,14,8,0,8,7,0,7,89,48,136
SSC20787,..,23,23,52,0,52,14,0,14,25,0,25,5,0,5,3,0,3,95,23,126
SSC20788,..,0,0,8,0,8,4,0,4,0,0,0,0,0,0,0,0,0,11,0,14
SSC20789,..,12,12,12,0,15,10,0,10,8,0,8,8,0,8,0,0,0,44,10,54
SSC20790,..,39,39,83,0,85,34,0,36,29,0,29,12,0,12,3,0,3,157,44,204
SSC20791,..,3,3,3,0,3,5,0,5,3,0,3,0,0,0,0,0,0,10,3,10
SSC20792,..,22,22,43,0,43,6,0,6,12,0,12,10,0,10,5,0,5,74,22,98
SSC20793,..,21,21,20,0,20,10,0,10,8,0,8,3,0,3,3,0,3,44,21,68
SSC20794,..,18,18,24,0,23,12,0,8,8,0,8,3,0,3,0,0,0,41,17,63
SSC20795,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11
SSC20796,..,412,412,563,29,595,209,0,205,234,0,234,102,0,102,40,0,40,1140,446,1588
SSC20797,..,10,10,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,10,19
SSC20798,..,46,46,64,6,64,18,0,20,14,0,14,7,0,7,4,0,4,113,46,157
SSC20799,..,9,9,11,0,11,3,0,3,3,0,3,3,0,3,0,0,0,24,9,34
SSC20800,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9
SSC20801,..,0,0,9,0,9,3,0,3,3,0,3,0,0,0,0,0,0,16,0,19
SSC20802,..,0,0,11,0,11,0,0,0,0,0,0,4,0,4,0,0,0,14,0,14
SSC20803,..,78,78,88,4,96,22,0,22,34,0,34,16,0,16,6,0,6,170,80,248
SSC20804,..,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,15
SSC20805,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4
SSC20806,..,35,35,20,0,20,12,0,12,15,0,15,13,0,13,0,0,0,59,35,91
SSC20807,..,183,183,136,17,154,42,0,42,29,0,25,10,0,10,7,0,7,216,206,418
SSC20808,..,5,5,10,3,14,0,0,0,7,0,7,0,0,0,0,0,0,19,9,26
SSC20809,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SSC20810,..,24,24,35,3,40,23,0,23,29,0,29,12,0,12,3,0,3,105,23,129
SSC20811,..,6,6,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,22,6,27
SSC20812,..,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11
SSC20813,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20814,..,13,13,13,0,9,6,0,6,5,0,5,3,0,3,0,0,0,23,10,35
SSC20815,..,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,12
SSC20816,..,89,89,215,14,227,32,0,33,43,0,43,19,0,19,9,0,9,316,98,420
SSC20817,..,774,774,669,72,742,278,7,287,255,0,259,109,0,109,59,0,59,1368,854,2217
SSC20818,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20819,..,274,274,420,15,440,211,6,217,274,0,274,132,0,132,31,0,31,1068,303,1372
SSC20820,..,12,12,13,0,13,0,0,0,4,0,4,0,0,0,0,0,0,19,12,29
SSC20821,..,140,140,181,16,195,72,3,75,60,0,60,18,0,18,9,0,9,342,156,493
SSC20822,..,332,332,297,34,323,97,7,111,78,0,78,25,0,25,11,0,11,508,370,878
SSC20823,..,493,493,505,45,551,205,9,218,205,13,210,68,0,71,23,0,27,1006,567,1564
SSC20824,..,859,859,783,127,908,196,52,246,83,23,111,24,3,32,12,3,12,1097,1074,2173
SSC20825,..,4,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,4,9
SSC20826,..,0,0,7,0,6,0,0,0,3,0,3,6,0,6,5,0,5,15,4,19
SSC20827,..,96,96,125,10,133,41,0,41,41,0,41,12,0,12,7,0,7,226,104,330
SSC20828,..,5,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12
SSC20829,..,3,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,3,12
SSC20830,..,210,210,345,12,361,117,4,123,123,0,123,81,0,81,29,0,29,701,232,928
SSC20831,..,8,8,11,0,11,7,0,7,9,0,9,3,0,3,3,0,3,29,8,38
SSC20832,..,1528,1528,1815,133,1942,650,17,669,674,8,680,308,0,304,124,0,124,3565,1693,5258
SSC20833,..,31,31,81,0,81,25,0,25,25,0,25,15,0,15,9,0,9,153,31,181
SSC20834,..,16,16,49,4,50,28,0,28,22,0,22,14,0,14,0,0,0,117,23,136
SSC20835,..,12,12,20,0,20,10,0,10,14,0,14,5,0,5,3,0,3,50,12,61
SSC20836,..,9,9,14,0,15,5,0,5,4,0,4,0,0,0,3,0,3,30,10,40
SSC20837,..,40,40,106,3,106,75,0,75,81,0,81,42,0,42,13,0,13,318,45,363
SSC20838,..,174,174,128,9,138,33,0,38,31,0,31,17,0,17,11,0,11,220,182,404
SSC20839,..,11,11,6,4,9,3,0,3,6,0,6,0,0,0,0,0,0,22,12,35
SSC20840,..,12,12,11,3,14,6,0,6,0,0,0,0,0,0,0,0,0,17,14,29
SSC20841,..,5,5,17,0,17,4,0,4,3,0,3,0,0,0,0,0,0,28,5,30
SSC20842,..,596,596,645,57,702,331,8,347,354,3,359,143,0,144,24,0,31,1502,665,2164
SSC20843,..,22,22,30,3,32,8,0,8,3,0,3,9,0,9,0,0,0,51,25,74
SSC20844,..,156,156,155,9,169,28,0,31,24,5,28,6,3,6,4,0,4,219,175,394
SSC20845,..,28,28,26,3,29,11,0,11,11,0,11,7,0,7,3,0,3,57,30,84
SSC20846,..,37,37,59,3,63,7,0,7,24,0,24,7,0,7,3,0,3,97,43,146
SSC20847,..,3,3,6,0,6,0,0,0,3,0,3,3,0,3,0,0,0,10,3,13
SSC20848,..,0,0,10,0,13,4,0,4,4,0,4,0,0,0,0,0,0,17,0,22
SSC20849,..,8,8,8,0,8,4,0,4,3,0,3,0,0,0,0,0,0,20,8,25
SSC20850,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20851,..,4,4,24,0,24,5,0,5,17,0,17,3,0,3,0,0,0,50,4,56
SSC20852,..,13,13,20,0,20,4,0,4,6,0,6,3,0,3,4,0,4,40,13,53
SSC20853,..,180,180,330,5,337,162,3,162,154,0,159,99,0,99,41,0,41,782,193,973
SSC20854,..,11,11,25,0,24,13,0,13,11,0,11,7,0,7,3,0,3,64,17,74
SSC20855,..,41,41,28,0,33,9,0,9,7,0,7,0,0,0,3,0,3,48,42,88
SSC20856,..,141,141,108,3,113,34,0,34,38,0,38,16,0,16,6,0,6,195,146,344
SSC20857,..,60,60,91,3,102,33,0,40,20,0,20,12,0,12,4,0,4,163,63,229
SSC20858,..,1222,1222,1176,171,1347,510,51,562,608,14,624,201,5,209,78,3,80,2575,1468,4041
SSC20859,..,1066,1066,1874,62,1944,1071,11,1083,1454,4,1453,538,0,538,129,0,131,5071,1149,6220
SSC20860,..,199,199,574,8,578,409,4,413,621,0,621,239,0,239,60,0,60,1904,211,2115
SSC20861,..,2762,2762,2124,539,2664,712,91,803,605,20,619,171,0,174,31,0,34,3640,3421,7054
SSC20862,..,330,330,628,30,653,319,0,320,394,0,398,163,0,163,60,0,60,1570,359,1923
SSC20863,..,3,3,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,13,3,17
SSC20864,..,9,9,42,3,42,17,0,17,16,0,16,12,0,12,5,0,5,98,16,111
SSC20865,..,1085,1085,2200,116,2318,1500,23,1523,1606,10,1620,735,7,745,437,5,437,6484,1244,7726
SSC20866,..,26,26,64,0,69,30,0,30,42,0,42,14,0,14,4,0,4,152,33,186
SSC20867,..,0,0,4,0,4,0,0,0,0,0,0,3,0,3,0,0,0,5,0,5
SSC20868,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20869,..,27,27,23,3,21,3,0,3,3,0,3,0,0,0,0,0,0,32,28,54
SSC20870,..,3,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,3,12
SSC20871,..,33,33,79,0,80,30,0,30,35,0,38,27,0,27,9,0,9,179,42,220
SSC20872,..,1630,1630,2438,178,2617,2007,43,2049,2251,12,2262,967,14,979,580,3,578,8238,1884,10117
SSC20873,..,253,253,466,41,509,292,14,302,249,3,251,110,0,110,44,0,44,1157,312,1472
SSC20874,..,5,5,11,0,11,3,0,3,5,0,5,0,0,0,0,0,0,18,5,25
SSC20875,..,29,29,26,0,26,10,0,10,3,0,3,3,0,3,0,0,0,45,29,78
SSC20876,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20877,..,40,40,48,0,43,3,0,3,9,0,9,0,0,0,3,0,3,61,42,100
SSC20878,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20879,..,2343,2343,2039,246,2287,1112,69,1179,1344,20,1366,490,5,497,125,5,130,5108,2690,7795
SSC20880,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20881,..,406,406,385,56,442,151,5,156,155,0,155,48,0,48,11,0,11,750,469,1219
SSC20882,..,127,127,158,7,168,90,7,91,98,4,104,36,0,36,7,0,7,388,143,532
SSC20883,..,245,245,194,12,208,106,10,111,97,3,96,43,0,43,39,0,43,473,269,736
SSC20884,..,3,3,12,0,12,0,0,3,4,0,4,4,0,4,0,0,0,21,4,22
SSC20885,..,87,87,75,12,95,31,0,31,33,3,33,4,0,4,3,0,3,148,101,256
SSC20886,..,528,528,506,26,531,147,0,145,118,0,124,51,0,57,22,0,22,847,560,1406
SSC20887,..,28,28,38,0,38,12,0,12,8,0,8,3,0,3,0,0,0,56,28,86
SSC20888,..,16,16,19,0,18,9,0,9,3,0,3,0,0,0,0,0,0,29,20,51
SSC20889,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SSC20890,..,24,24,26,3,31,12,0,12,8,0,8,7,0,7,0,0,0,51,29,76
SSC20891,..,9,9,26,0,26,4,0,4,5,0,5,7,0,7,0,0,0,45,9,48
SSC20892,..,3,3,13,0,15,6,0,6,12,0,12,4,0,4,0,0,0,25,4,34
SSC20893,..,81,81,238,12,246,159,0,161,230,0,230,75,0,75,23,0,23,725,95,824
SSC20894,..,3,3,6,0,3,3,0,3,0,0,0,0,0,0,0,0,0,12,4,16
SSC20895,..,824,824,706,128,831,334,44,377,347,16,363,109,9,117,31,0,34,1523,1025,2550
SSC20896,..,29,29,43,0,45,14,0,14,12,0,12,3,0,3,0,0,0,78,26,103
SSC20897,..,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,3
SSC20898,..,10,10,11,0,14,0,0,0,3,0,3,0,0,0,4,0,4,21,12,33
SSC20899,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20900,..,18,18,14,11,22,6,0,6,9,0,9,0,0,0,0,0,0,25,26,51
SSC20901,..,23,23,31,0,29,4,0,4,6,0,6,7,0,7,0,0,0,46,20,71
SSC20902,..,4,4,10,0,10,3,0,3,6,0,6,0,0,0,0,0,0,19,4,24
SSC20903,..,1045,1045,1123,82,1199,707,36,743,745,21,766,387,16,410,332,18,353,3299,1213,4511
SSC20904,..,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,6,0,11
SSC20905,..,3,3,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,6,4,8
SSC20906,..,8,8,15,0,13,6,0,6,4,0,4,3,0,3,3,0,3,25,13,38
SSC20907,..,15,15,23,3,25,7,0,7,4,0,4,3,0,3,3,0,3,41,14,56
SSC20908,..,6,6,3,0,7,3,0,3,0,0,0,0,0,0,0,0,0,8,9,12
SSC20909,..,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
SSC20910,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20911,..,2237,2237,2834,203,3037,1716,30,1750,1697,13,1707,656,0,660,225,0,225,7127,2487,9621
SSC20912,..,100,100,179,10,195,71,0,71,99,0,102,37,0,37,20,0,20,411,108,516
SSC20913,..,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7
SSC20914,..,28,28,86,0,88,29,0,29,28,0,28,14,0,14,5,0,5,154,30,183
SSC20915,..,85,85,117,4,115,33,0,33,32,0,32,22,0,22,15,0,15,215,92,308
SSC20916,..,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6
SSC20917,..,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,5,0,11
SSC20918,..,1421,1421,1252,312,1568,456,149,607,275,81,363,76,35,111,56,13,70,2118,2005,4129
SSC20919,..,1646,1646,1483,339,1827,538,203,749,533,108,641,151,25,176,45,5,49,2750,2329,5085
SSC20920,..,9,9,14,0,15,7,0,7,3,0,3,3,0,3,0,0,0,29,10,32
SSC20921,..,5,5,17,0,17,3,0,3,4,0,4,0,0,0,0,0,0,33,5,39
SSC20922,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20923,..,1096,1096,787,170,954,355,84,442,303,22,320,117,3,123,85,4,87,1643,1381,3027
SSC20924,..,99,99,156,3,157,32,0,32,29,0,29,18,0,18,6,0,6,242,104,345
SSC20925,..,486,486,391,96,490,193,62,257,155,9,163,69,9,78,22,4,29,829,668,1505
SSC20926,..,94,94,74,0,79,33,0,33,30,0,30,16,0,16,7,0,7,165,97,254
SSC20927,..,5,5,21,0,21,8,0,13,20,0,20,3,0,3,0,0,0,54,8,59
SSC20928,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20929,..,2124,2124,1712,513,2225,871,206,1076,562,108,663,169,39,211,101,28,135,3415,3024,6441
SSC20930,..,6,6,15,0,18,8,0,8,9,0,9,5,0,5,0,0,0,39,7,43
SSC20931,..,999,999,1130,71,1200,632,40,672,716,11,729,240,6,243,83,3,86,2803,1132,3939
SSC20932,..,12,12,44,0,45,7,0,7,15,0,15,6,0,6,0,0,0,78,10,93
SSC20933,..,27,27,37,7,41,7,0,7,5,0,5,3,0,3,0,0,0,54,37,91
SSC20934,..,307,307,288,17,301,68,0,68,55,0,55,32,0,32,8,0,8,452,323,776
SSC20935,..,17,17,32,0,32,6,0,6,13,0,13,0,0,0,0,0,0,52,17,67
SSC20936,..,7,7,9,0,9,9,0,9,0,0,0,0,0,0,0,0,0,18,10,25
SSC20937,..,4,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8
SSC20938,..,5,5,7,0,7,8,0,8,6,0,6,4,0,4,5,0,5,32,5,38
SSC20939,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8
SSC20940,..,3,3,9,0,9,3,0,3,4,0,4,3,0,3,0,0,0,18,3,22
SSC20941,..,4727,4727,4464,523,4989,2112,90,2200,1621,22,1642,640,6,644,259,4,267,9094,5379,14476
SSC20942,..,722,722,547,92,636,377,18,397,236,3,238,109,3,107,53,0,53,1318,831,2151
SSC20943,..,1499,1499,2035,92,2127,993,6,1003,1266,3,1269,473,0,473,150,0,150,4913,1602,6522
SSC20944,..,12,12,21,0,21,3,0,3,10,0,10,0,0,0,0,0,0,33,12,46
SSC20945,..,28,28,20,0,17,3,0,3,3,0,3,0,0,0,3,0,3,25,23,55
SSC20946,..,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5
SSC20947,..,30,30,62,7,64,23,0,23,27,0,27,15,0,15,3,0,3,122,33,155
SSC20948,..,22,22,27,8,32,9,3,12,7,0,7,4,0,4,3,0,3,52,24,77
SSC20949,..,17,17,22,0,22,9,0,9,7,0,7,3,0,3,4,0,4,47,15,58
SSC20950,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20951,..,8,8,7,0,7,3,0,3,4,0,4,0,0,0,3,0,3,17,8,20
SSC20952,..,6,6,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,5,10,17
SSC20953,..,47,47,23,0,24,11,0,11,11,0,11,3,0,3,3,0,3,46,50,93
SSC20954,..,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
SSC20955,..,9,9,8,0,9,7,0,7,0,0,0,0,0,0,0,0,0,11,9,19
SSC20956,..,7,7,11,0,15,8,0,8,9,0,9,0,0,0,0,0,0,30,7,36
SSC20957,..,18,18,19,0,19,3,0,3,6,0,6,5,0,5,0,0,0,41,23,66
SSC20958,..,166,166,109,21,132,50,0,51,55,0,55,15,0,15,3,0,3,240,192,432
SSC20959,..,116,116,189,10,193,86,0,86,93,0,93,50,0,50,42,0,42,456,125,577
SSC20960,..,14,14,27,3,30,5,0,5,17,0,17,3,0,3,0,0,0,57,18,77
SSC20961,..,5,5,12,0,12,8,0,8,6,0,6,5,0,5,3,0,3,35,5,43
SSC20962,..,19,19,16,5,25,17,0,17,12,0,12,6,0,6,5,0,5,57,20,84
SSC20963,..,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4
SSC20964,..,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,10
SSC20965,..,4,4,0,0,0,4,0,4,0,0,0,3,0,3,0,0,0,11,4,14
SSC20966,..,770,770,646,91,735,227,46,267,182,17,198,81,7,85,20,3,21,1155,924,2078
SSC20967,..,1009,1009,833,112,947,363,45,408,341,29,362,133,6,138,24,3,30,1690,1209,2902
SSC20968,..,3,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,3,13
SSC20969,..,21,21,25,0,27,19,0,19,8,0,8,5,0,5,3,0,3,51,23,78
SSC20970,..,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
