SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC20489,136,273,6,21,20,81,4,22,63,266,86,383,7,30,16,40,18,55,40,130,126,514,0,3,0,3,3,11,18,47,20,69,0,5,3,5,21,39,24,53,44,120,3,4,307,913
SSC20490,20,37,0,0,0,8,0,0,9,29,8,37,0,3,0,0,4,6,7,14,16,49,0,0,0,0,0,0,3,7,3,7,0,0,0,0,5,8,5,8,3,7,0,0,39,102
SSC20491,37,74,0,0,7,38,0,4,21,94,35,128,3,14,0,3,8,17,13,37,45,162,0,0,0,0,0,3,10,15,5,16,0,4,3,4,0,0,3,8,9,27,0,0,90,274
SSC20492,1273,2471,4,37,52,291,11,40,310,1153,379,1528,15,61,42,146,65,197,128,400,505,1927,3,14,40,140,7,22,137,404,184,573,20,59,78,168,130,275,221,510,405,1082,306,638,2488,6110
SSC20493,701,1349,5,15,28,135,0,3,312,1081,344,1234,17,72,54,185,61,180,130,436,480,1667,0,0,10,27,3,9,59,138,67,169,5,19,35,72,59,122,96,213,164,382,37,87,1384,3480
SSC20494,16,32,0,0,0,0,0,0,3,23,3,23,0,0,0,0,8,13,8,13,13,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,27,70
SSC20495,1769,3525,7,46,141,621,21,85,1247,4565,1424,5308,84,349,197,704,222,699,508,1754,1923,7067,0,7,20,65,9,33,143,340,170,432,30,95,69,149,207,443,303,684,471,1121,110,234,4280,11942
SSC20496,19,44,0,8,0,9,3,10,9,32,14,58,0,0,0,5,7,13,3,18,15,71,0,0,0,3,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,8,0,0,42,124
SSC20497,1440,2893,66,382,462,2147,91,418,2369,9300,2992,12245,195,827,298,1060,413,1361,908,3250,3897,15489,19,95,105,385,31,109,385,1084,544,1679,55,190,115,266,229,534,402,987,947,2658,73,150,6352,21192
SSC20498,16,25,0,0,5,19,0,0,8,41,18,64,0,7,0,3,3,7,3,13,22,75,0,0,0,0,0,4,0,0,0,7,0,0,0,0,3,6,3,6,4,16,0,0,35,115
SSC20499,12,27,0,0,0,0,0,0,8,24,8,24,0,0,0,3,0,6,6,12,12,29,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,3,8,3,8,0,0,26,61
SSC20500,12,21,0,0,3,8,0,0,3,14,9,22,0,3,0,0,0,3,0,9,8,25,0,0,0,0,0,4,0,0,0,4,0,0,0,0,6,5,6,5,3,8,0,0,24,62
SSC20501,8,14,0,0,0,0,0,0,0,3,0,3,0,0,0,8,0,3,3,9,3,14,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,11,31
SSC20502,4,13,0,0,0,0,0,0,4,16,4,16,0,0,0,0,3,3,3,3,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,11,38
SSC20503,0,0,0,0,0,0,0,0,3,17,3,17,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17
SSC20504,414,823,3,26,25,120,5,29,247,909,284,1080,21,83,29,89,64,206,109,373,400,1456,3,18,10,33,6,18,77,180,96,251,11,29,30,61,97,196,131,282,230,535,28,54,1069,2869
SSC20505,1618,3241,48,276,203,996,74,346,1387,5264,1707,6873,126,536,163,550,474,1534,762,2614,2473,9487,17,77,78,258,47,163,489,1285,628,1780,58,198,99,222,416,928,579,1354,1208,3130,90,197,5393,16060
SSC20506,9,15,0,0,0,13,0,0,0,4,5,20,0,0,0,0,3,8,3,8,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,41
SSC20507,34,62,0,0,0,5,0,0,12,59,16,67,0,3,0,6,10,28,13,38,28,105,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,7,5,7,3,8,0,0,64,176
SSC20508,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
SSC20509,20,38,3,9,4,12,0,3,21,80,30,111,0,11,7,24,11,27,21,57,47,162,0,0,0,0,0,0,0,4,0,4,0,3,0,0,3,7,0,5,3,10,0,3,67,216
SSC20510,242,477,7,22,17,82,3,13,60,239,82,350,3,15,4,14,26,77,35,106,118,453,3,8,4,16,0,3,23,73,30,99,0,3,0,0,26,48,25,52,57,148,10,12,424,1092
SSC20511,12,20,0,7,4,14,0,0,3,14,3,32,0,3,3,8,0,0,3,11,7,40,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,0,20,67
SSC20512,19,28,0,0,0,0,0,0,10,27,10,27,0,9,3,6,3,13,7,26,15,54,0,0,0,0,0,3,0,0,0,3,0,5,0,3,0,0,0,3,0,6,0,3,32,92
SSC20513,740,1448,4,19,47,205,12,57,347,1347,409,1624,22,91,43,133,95,283,158,507,568,2129,0,10,23,66,4,16,135,339,167,426,15,38,53,104,109,218,172,366,339,789,28,64,1679,4439
SSC20514,37,73,0,0,6,17,3,12,18,65,21,97,4,10,3,16,14,37,20,66,42,157,0,0,0,0,0,0,0,7,0,7,0,0,0,0,4,4,3,7,4,15,0,0,78,245
SSC20515,17,35,0,0,0,0,0,0,4,23,4,23,0,0,0,3,4,12,6,12,13,35,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,29,74
SSC20516,3,6,0,0,0,0,0,5,3,3,4,12,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17
SSC20517,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
SSC20518,558,1117,3,29,71,342,7,25,348,1355,429,1746,41,182,71,269,89,298,210,744,642,2485,3,16,13,33,0,4,31,90,49,140,13,27,30,61,66,139,100,221,149,365,29,69,1379,4037
SSC20519,135,260,0,4,14,69,0,5,71,266,91,341,3,15,14,35,22,64,36,115,122,458,0,0,3,10,0,7,10,22,16,38,3,7,5,14,15,30,23,45,37,77,10,23,301,821
SSC20520,1615,3185,25,125,183,874,14,54,915,3615,1131,4666,96,398,225,799,268,827,588,2021,1714,6688,3,11,15,51,0,0,122,302,144,367,27,75,72,183,127,254,220,508,367,882,68,135,3765,10882
SSC20521,1130,2232,12,52,152,705,6,33,889,3410,1067,4201,101,419,224,769,235,741,561,1924,1621,6130,3,4,26,92,3,18,112,268,145,385,23,76,61,151,126,246,217,476,361,859,45,93,3152,9316
SSC20522,8,15,0,0,0,4,0,0,0,4,0,8,0,0,0,3,0,4,3,7,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,34
SSC20523,47,90,0,9,5,11,0,0,19,81,28,103,0,0,0,7,7,26,10,35,39,135,0,0,0,3,0,0,4,13,3,17,0,0,0,4,7,12,10,15,12,27,0,0,92,252
SSC20524,19,35,0,0,3,19,0,4,19,85,27,114,4,17,3,13,10,27,20,63,42,174,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,10,3,8,0,0,63,220
SSC20525,811,1631,8,43,60,279,7,29,573,2141,649,2484,39,169,97,340,162,514,304,1020,947,3512,3,15,20,77,18,48,87,227,126,371,16,57,55,120,171,378,245,555,369,924,56,116,2187,6178
SSC20526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20528,5,9,0,0,0,0,0,0,3,13,3,13,0,0,0,0,0,0,0,0,3,13,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,0,0,9,19
SSC20529,5,11,0,0,0,0,0,0,4,10,4,10,0,0,0,0,0,0,0,0,4,10,0,0,0,6,0,0,0,8,3,8,0,0,0,0,0,0,0,0,3,8,0,0,12,28
SSC20530,28,53,0,9,5,33,0,9,13,49,22,99,3,19,0,3,7,35,15,60,37,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,69,214
SSC20531,5,9,0,0,3,10,0,0,5,29,10,38,0,0,0,4,0,5,3,11,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,4,0,0,20,60
SSC20532,156,308,3,11,8,48,3,12,39,170,58,236,0,3,4,26,15,46,25,81,78,315,0,0,0,3,0,0,11,34,12,40,0,3,10,12,11,24,18,38,33,77,4,9,274,707
SSC20533,5,14,0,0,0,0,0,0,5,18,5,18,0,0,0,0,0,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23
SSC20534,790,1580,5,31,46,211,13,45,563,2090,623,2379,20,86,38,119,117,373,172,574,801,2955,5,13,15,45,14,30,112,270,141,363,12,47,53,108,175,363,235,515,377,880,36,75,2001,5485
SSC20535,474,959,9,44,55,246,20,81,412,1579,494,1951,52,200,67,228,147,477,260,900,760,2856,3,9,21,71,8,36,63,174,98,284,14,42,33,70,109,231,149,347,248,633,15,30,1499,4481
SSC20536,2089,4124,20,105,242,1080,36,158,1652,6241,1946,7581,155,633,264,894,522,1620,945,3150,2887,10725,3,20,50,159,20,60,301,722,371,957,54,166,135,316,398,872,587,1355,962,2312,105,221,6047,17385
SSC20537,3,10,0,0,0,8,0,0,0,5,3,9,3,5,0,3,3,15,10,24,10,31,0,0,0,0,0,3,3,5,0,8,0,5,0,0,0,0,0,5,3,14,0,0,16,56
SSC20538,12,24,0,0,0,6,0,0,3,10,3,20,0,0,0,3,0,0,0,3,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,42
SSC20539,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20540,35,65,0,3,0,12,0,3,12,45,17,67,0,0,0,0,3,7,3,9,19,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,5,4,0,0,56,150
SSC20541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20542,23,47,0,3,0,3,0,0,9,39,12,46,0,0,0,0,6,9,6,9,17,58,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,3,0,3,40,111
SSC20543,9,19,0,0,0,0,0,4,4,26,4,35,0,4,0,0,0,0,0,4,10,37,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,3,0,3,0,8,0,0,24,69
SSC20544,74,145,0,0,0,7,6,18,27,109,36,137,0,3,4,14,9,29,15,45,46,177,0,0,3,8,0,0,14,35,16,35,0,0,3,8,16,32,15,32,33,69,6,5,160,403
SSC20545,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,10,19
SSC20546,18,39,0,6,0,0,0,3,6,17,4,26,0,0,0,0,0,4,3,4,6,33,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,11,3,11,0,0,31,79
SSC20547,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC20548,212,415,3,16,10,62,3,18,93,379,117,476,9,29,17,53,29,95,57,177,173,651,0,6,6,15,0,3,19,42,23,64,9,20,7,11,20,42,34,79,53,142,3,4,440,1217
SSC20549,6,14,0,0,0,0,0,0,3,11,3,11,0,0,0,0,3,20,3,20,12,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,47
SSC20550,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20551,3,8,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,3,3,4,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22
SSC20552,13,22,0,0,0,3,0,0,10,40,14,44,0,3,0,4,5,13,5,20,15,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,93
SSC20553,1044,2060,26,130,127,596,26,105,639,2483,817,3320,110,443,128,447,281,925,512,1816,1329,5130,3,10,33,122,17,46,91,254,141,435,29,84,55,137,163,374,249,599,387,1028,41,87,2795,8313
SSC20554,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
SSC20555,10,21,0,0,0,5,0,0,0,11,3,12,0,4,0,0,5,6,7,17,10,26,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,4,3,4,4,6,0,0,21,56
SSC20556,26,60,0,5,7,42,0,3,22,73,29,124,5,22,3,15,15,35,25,70,54,196,0,0,0,0,0,4,3,8,5,12,0,3,0,0,4,8,4,9,8,22,0,0,95,279
SSC20557,117,230,3,15,8,37,3,18,52,221,69,284,11,53,14,40,38,121,58,212,128,498,0,0,3,6,0,6,15,28,15,38,4,10,6,6,18,35,22,52,38,95,0,0,278,816
SSC20558,518,1013,4,24,42,183,5,29,218,848,269,1086,21,78,37,121,87,251,141,453,414,1541,3,20,25,83,4,31,125,338,160,469,15,51,28,62,83,160,123,276,284,745,22,44,1233,3338
SSC20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20560,0,3,0,0,0,0,0,0,0,5,0,5,0,0,0,0,3,8,3,8,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13
SSC20561,14,28,0,5,0,5,0,0,10,44,16,53,0,3,0,0,3,13,3,17,17,69,0,6,0,0,0,0,4,7,3,13,0,0,0,0,0,3,0,3,10,22,0,0,39,117
SSC20562,0,8,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,4,3,9,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,5,20
SSC20563,628,1290,13,84,80,351,16,63,402,1544,508,2043,97,419,104,363,310,1015,503,1801,1010,3840,0,9,14,54,6,23,74,191,96,281,24,83,51,113,169,389,239,578,336,860,46,108,2023,6103
SSC20564,37,72,0,18,3,12,3,21,17,52,27,102,0,7,4,10,5,26,11,43,35,146,0,0,0,4,0,0,3,8,5,9,0,3,0,0,7,12,6,19,14,30,0,3,83,247
SSC20565,7,13,0,0,0,6,0,0,4,28,7,35,0,0,0,3,0,3,4,9,8,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,57
SSC20566,1225,2485,0,8,72,337,14,48,890,3194,978,3590,45,207,104,359,210,673,367,1238,1347,4827,0,3,20,65,5,11,117,284,133,372,21,64,67,144,198,422,283,637,420,1000,142,319,3126,8638
SSC20567,1188,2432,12,84,118,543,21,94,895,3328,1043,4053,68,295,132,463,337,1088,539,1852,1583,5902,0,13,29,90,11,44,116,312,157,457,21,66,48,105,270,589,339,760,496,1214,103,231,3366,9776
SSC20568,7,14,0,0,0,0,0,0,6,46,6,46,0,3,0,0,3,7,3,11,12,56,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,21,68
SSC20569,40,85,0,16,7,28,3,12,22,89,34,143,6,19,0,0,4,20,9,39,44,179,0,0,0,0,0,0,0,3,0,3,0,3,0,7,8,13,9,15,7,22,0,0,95,285
SSC20570,41,75,0,0,0,4,3,12,14,57,16,75,6,21,0,0,3,7,9,29,24,104,0,0,0,0,0,0,3,11,3,11,0,5,0,0,4,6,3,10,9,19,0,0,71,192
SSC20571,686,1336,3,12,44,196,6,19,446,1666,503,1895,17,58,56,191,72,210,141,455,646,2346,3,12,12,37,3,4,55,135,69,188,4,20,35,79,72,151,108,247,183,433,32,59,1539,4181
SSC20572,984,1947,8,58,67,317,22,98,376,1475,471,1947,49,202,76,255,193,586,313,1043,789,2991,3,23,23,100,12,31,137,371,180,525,12,38,46,110,130,271,189,422,366,941,22,46,2160,5923
SSC20573,38,80,0,6,4,24,4,15,17,61,27,104,3,11,3,17,11,35,17,63,42,163,0,0,0,0,0,5,0,5,3,5,0,3,3,8,5,15,7,23,14,30,0,0,95,276
SSC20574,0,0,0,0,0,8,0,0,3,4,5,11,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11
SSC20575,21,37,0,0,7,21,0,0,10,47,15,70,3,18,0,4,3,20,14,41,27,113,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,7,0,0,47,156
SSC20576,4,7,0,0,0,0,0,0,3,13,3,13,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,6,28
SSC20577,240,472,6,44,11,62,10,39,69,257,95,405,6,19,11,32,22,77,39,134,134,539,3,10,5,30,0,14,36,89,49,132,3,3,3,12,37,84,47,102,91,231,5,11,469,1250
SSC20578,198,401,3,21,24,95,9,28,192,730,223,873,16,50,11,34,52,173,80,265,304,1138,0,7,5,15,3,8,35,115,47,138,3,11,3,6,23,50,26,58,74,199,5,14,580,1754
SSC20579,705,1433,16,80,110,517,25,119,938,3581,1092,4303,44,190,58,210,92,298,199,695,1291,4996,3,13,21,77,9,37,127,364,163,497,14,40,28,55,67,149,108,251,270,746,30,65,2294,7241
SSC20580,12,18,0,0,0,4,0,0,10,41,13,49,4,12,0,5,3,3,6,24,16,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,87
SSC20581,11,22,0,0,0,0,0,0,0,6,0,6,0,0,3,12,0,0,3,12,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,14,35
SSC20582,8,14,0,0,0,0,0,0,4,13,4,13,0,0,0,6,0,4,3,10,6,26,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,19,45
SSC20583,27,50,0,9,0,9,0,0,17,66,21,82,0,0,3,13,7,21,9,34,31,116,0,0,0,0,0,0,8,15,8,15,0,0,0,0,6,10,6,10,8,19,0,5,69,186
SSC20584,12,23,0,0,0,6,0,0,4,25,7,26,0,0,0,0,0,0,0,0,7,29,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,20,55
SSC20585,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20587,213,426,9,39,21,89,3,16,88,375,116,514,11,35,17,50,43,137,68,223,188,740,0,0,3,22,0,0,24,69,25,91,3,7,4,4,31,64,32,69,60,165,4,12,467,1344
SSC20588,744,1462,4,42,62,302,11,48,279,1095,355,1486,21,81,34,89,101,324,154,497,510,1985,3,14,23,90,18,50,108,301,152,451,7,31,20,48,74,160,103,236,254,690,13,25,1515,4158
SSC20589,27,51,0,15,3,26,0,0,14,73,28,110,0,3,3,12,5,20,14,37,37,149,0,0,0,3,0,0,3,9,0,12,0,0,0,4,0,3,0,4,9,17,0,0,67,220
SSC20590,12,29,0,0,3,13,0,0,3,16,9,21,0,0,0,0,0,0,3,7,7,30,0,0,0,0,3,10,0,3,6,12,0,0,0,0,0,0,0,0,3,10,0,0,24,69
SSC20591,7,10,0,0,0,4,0,0,3,17,7,17,0,0,0,0,0,0,0,0,6,20,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,15,35
SSC20592,2390,4719,37,216,234,1079,58,256,1808,6771,2136,8318,168,739,227,807,544,1799,943,3340,3085,11663,7,23,48,159,6,35,240,603,299,814,35,107,75,174,470,1037,580,1313,876,2128,178,373,6521,18878
SSC20593,689,1376,11,50,65,307,16,55,570,2122,655,2530,37,155,41,145,147,465,226,775,880,3301,0,0,20,55,3,13,86,208,107,275,18,46,31,65,148,314,194,428,299,707,43,87,1920,5481
SSC20594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20595,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
SSC20596,367,732,7,55,54,267,22,84,310,1210,394,1611,32,127,38,139,110,340,178,607,570,2222,3,17,12,48,11,35,74,193,98,294,6,18,23,60,63,136,91,213,196,511,3,10,1140,3468
SSC20597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20598,6,13,3,12,0,3,0,0,3,12,5,26,0,0,0,0,0,0,0,0,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,46
SSC20599,13,24,0,9,4,13,0,0,8,15,11,33,0,3,0,0,0,0,0,3,11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,64
SSC20600,346,688,0,3,27,136,3,9,106,433,139,585,7,35,28,86,43,121,75,249,216,835,3,5,8,17,0,0,31,86,37,107,0,3,4,15,36,72,39,91,81,192,7,17,647,1735
SSC20601,44,84,0,0,7,16,3,11,28,112,35,139,3,25,0,8,14,57,24,92,57,229,0,0,0,0,0,8,3,5,3,14,0,0,0,3,3,7,3,12,5,22,0,3,105,335
SSC20602,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20603,880,1755,14,65,78,363,26,113,419,1703,538,2249,38,156,48,156,147,455,233,768,772,3012,9,46,23,94,18,59,204,567,261,771,18,49,31,68,145,304,191,420,453,1194,50,105,2155,6070
SSC20604,11,18,0,0,0,0,0,0,3,18,3,18,0,0,0,0,0,4,0,4,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,37
SSC20605,22,46,0,0,0,0,0,0,5,23,5,23,0,5,0,0,3,13,3,19,10,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,9,4,9,0,0,36,93
SSC20606,8,12,0,8,0,3,0,0,3,17,7,29,0,0,0,3,3,10,6,12,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,60
SSC20607,38,80,0,0,5,28,0,5,23,79,25,116,3,10,0,3,3,9,8,19,33,134,0,3,0,0,0,0,4,9,3,15,0,3,0,3,8,17,11,22,15,37,0,7,90,254
SSC20608,4,12,0,0,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26
SSC20609,219,430,3,31,22,91,12,50,152,629,190,799,18,72,15,56,67,217,101,345,288,1146,4,5,5,17,5,13,32,81,43,115,4,12,5,10,52,109,54,126,97,235,3,6,610,1825
SSC20610,134,261,0,0,8,30,0,0,38,164,47,194,4,16,9,22,18,48,31,87,74,280,0,4,5,15,3,8,15,28,20,59,0,0,11,17,19,48,30,67,54,122,3,9,269,675
SSC20611,34,74,0,0,3,13,3,6,14,51,14,66,0,0,0,7,4,7,4,20,25,87,0,0,0,0,0,0,7,10,7,10,0,0,0,3,3,6,3,8,6,23,0,3,63,182
SSC20612,1077,2094,5,18,28,117,3,16,280,1022,311,1177,5,31,15,59,33,115,64,202,375,1377,3,28,22,101,4,15,164,453,193,594,7,15,51,118,87,186,148,327,343,919,77,159,1863,4553
SSC20613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20614,19,44,0,0,3,16,0,3,10,29,11,49,0,0,3,3,3,8,8,13,14,61,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,40,110
SSC20615,15,26,0,0,6,10,0,0,4,19,6,30,3,4,4,4,3,5,7,20,15,49,0,0,0,0,0,0,4,14,4,14,0,0,0,4,0,3,4,5,9,20,0,0,35,92
SSC20616,56,119,4,17,10,38,4,20,50,191,62,269,3,10,6,23,19,53,29,88,91,356,0,0,0,0,0,0,6,17,6,17,0,7,0,3,0,3,3,12,7,24,5,3,163,502
SSC20617,102,196,0,0,20,76,3,10,42,157,59,246,7,23,10,31,13,30,21,85,85,328,0,0,0,3,0,0,7,19,7,26,0,0,0,3,3,3,7,7,10,31,0,3,202,565
SSC20618,8,13,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20
