SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC20503,14,0,474,0,0,0,1583,0
SSC20504,41,1800,757,350,1885,0.8,1385,2.2
SSC20505,36,1517,671,325,1533,0.8,1339,2.6
SSC20506,52,1140,515,100,1375,0.7,725,1.6
SSC20507,49,1424,627,108,2250,0.7,2053,2.5
SSC20508,54,0,337,0,0,1,725,2
SSC20509,41,1733,729,289,1958,0.8,1702,2.8
SSC20510,55,800,463,130,1047,0.7,755,2
SSC20511,47,1300,749,0,2062,0.8,1687,2.5
SSC20512,49,1463,553,0,1292,0.7,1166,2.5
SSC20513,50,1200,555,263,1296,0.7,902,2.1
SSC20514,41,1634,578,185,1487,0.9,1512,3
SSC20515,51,1365,856,0,1458,0.8,1343,2.3
SSC20516,51,1125,933,0,1625,0.4,1625,1.7
SSC20517,60,0,725,0,999,0.5,1125,1.6
SSC20518,41,2167,774,420,2301,0.9,1792,2.5
SSC20519,27,2167,496,369,2045,1,1272,2.5
SSC20520,37,2167,934,400,2634,0.9,1990,2.5
SSC20521,40,2500,865,420,2535,0.9,1968,2.6
SSC20522,53,1750,599,0,1312,0.6,1125,1.9
SSC20523,47,1100,587,55,1267,0.7,1010,2.3
SSC20524,41,1820,695,0,2476,0.8,2272,3
SSC20525,33,2000,638,386,1844,0.9,1531,2.6
SSC20526,0,0,0,0,0,0,0,0
SSC20527,0,0,0,0,0,0,0,0
SSC20528,55,1517,724,0,900,0.7,899,2.4
SSC20529,45,0,525,0,1062,0.7,1041,1.8
SSC20530,53,1500,586,270,1825,0.8,1542,2.6
SSC20531,40,1083,817,180,1875,0.7,1812,2.8
SSC20532,54,780,454,152,1012,0.7,760,2
SSC20533,42,0,712,0,1687,0.6,1125,1.9
SSC20534,41,1840,726,325,1825,0.8,1307,2.2
SSC20535,40,1800,674,340,1806,0.8,1515,2.7
SSC20536,40,2000,716,365,1997,0.9,1502,2.5
SSC20537,41,1083,392,0,1187,0.8,1031,2.7
SSC20538,49,1300,585,227,2250,0.6,1374,1.8
SSC20539,0,0,0,0,0,0,0,0
SSC20540,48,867,486,130,1107,0.7,850,2.2
SSC20541,0,0,0,0,0,0,0,0
SSC20542,49,1294,494,150,1187,0.8,939,2.1
SSC20543,44,500,406,0,875,1,700,2.9
SSC20544,41,1200,540,258,1294,0.7,880,2
SSC20545,59,1150,725,0,1875,0.8,1024,1.7
SSC20546,53,1298,490,130,1196,0.6,1053,2.4
SSC20547,52,0,0,0,0,0,0,1
SSC20548,47,1259,588,200,1433,0.8,1182,2.4
SSC20549,49,1517,939,0,2583,0.6,1666,2.2
SSC20550,44,0,0,0,0,0,0,0
SSC20551,55,0,866,0,2125,0.6,1812,1.4
SSC20552,40,2464,843,185,2749,0.9,2749,3.1
SSC20553,39,1820,688,380,1924,0.8,1728,2.8
SSC20554,70,0,262,0,0,0,449,0
SSC20555,52,804,619,85,1125,0.6,1062,2.2
SSC20556,44,2000,661,244,1728,0.8,1550,2.7
SSC20557,44,1591,633,300,1756,0.8,1483,2.8
SSC20558,37,975,471,200,1172,0.7,964,2.4
SSC20559,0,0,0,0,0,0,0,0
SSC20560,46,0,550,0,1562,1,1562,2.5
SSC20561,39,1533,665,280,1437,0.7,1166,2.5
SSC20562,61,0,537,0,1375,0.5,899,1.6
SSC20563,43,1800,515,350,1557,0.9,1392,2.8
SSC20564,45,2000,621,269,1525,0.8,1375,2.7
SSC20565,40,1400,687,140,1416,0.7,1375,2.7
SSC20566,25,1799,330,360,1369,1,1051,2.7
SSC20567,33,1680,489,342,1342,1,1257,2.8
SSC20568,35,784,550,146,1125,0.7,1041,3.2
SSC20569,38,1600,637,319,2026,0.9,1859,2.7
SSC20570,44,1192,590,228,1233,0.8,1271,2.8
SSC20571,36,2383,1127,475,2857,0.9,2272,2.4
SSC20572,46,1400,547,295,1333,0.7,1122,2.4
SSC20573,46,1530,547,230,1547,0.9,1420,2.7
SSC20574,28,0,350,0,0,0,575,1
SSC20575,41,1560,628,200,1875,1,1687,2.9
SSC20576,52,0,364,0,725,0.6,479,1.5
SSC20577,50,1083,449,200,1045,0.7,834,2.2
SSC20578,31,1897,853,361,1971,0.8,1824,2.8
SSC20579,30,2006,818,390,1902,0.8,1886,3.1
SSC20580,39,1601,843,0,2100,0.7,1937,2.6
SSC20581,55,1300,437,50,899,0.6,712,1.8
SSC20582,50,1700,389,0,850,0.8,833,2.6
SSC20583,44,1517,608,249,1553,0.7,1402,2.4
SSC20584,51,1300,825,0,2187,0.9,1937,2.7
SSC20585,0,0,0,0,0,0,0,0
SSC20586,0,0,0,0,0,0,0,0
SSC20587,48,1153,526,180,1293,0.7,1009,2.3
SSC20588,47,1300,497,200,1244,0.8,931,2.3
SSC20589,41,1517,633,163,1770,0.9,1625,2.8
SSC20590,48,1668,735,0,1775,0.6,1583,2.5
SSC20591,47,0,519,0,1312,0.7,1187,2.3
SSC20592,35,2000,675,370,1996,1,1638,2.6
SSC20593,37,2000,639,346,1854,0.9,1501,2.5
SSC20594,0,0,0,0,0,0,0,0
SSC20595,63,0,249,0,0,0,0,2
SSC20596,36,1600,694,320,1767,0.9,1554,2.8
SSC20597,0,0,0,0,0,0,0,0
SSC20598,39,1888,749,0,2249,0.8,1875,2.6
SSC20599,46,823,450,0,1458,0.8,1458,2.9
SSC20600,52,1036,492,150,1190,0.7,918,2.2
SSC20601,43,1950,793,243,1924,0.9,1731,2.9
SSC20602,30,0,150,0,0,0,0,0
SSC20603,43,1170,560,215,1315,0.7,964,2.2
SSC20604,57,1083,749,0,1458,0.7,1333,2.2
SSC20605,57,1400,365,190,1375,0.9,875,2.1
SSC20606,45,1200,469,200,1124,1,939,2
SSC20607,44,969,553,115,1375,0.8,1075,2.6
SSC20608,50,2155,866,0,2250,0.6,1624,2.1
SSC20609,37,1567,685,345,1719,0.8,1596,2.9
SSC20610,54,650,481,126,1116,0.7,811,2
SSC20611,36,763,597,100,1287,0.9,1114,2.4
SSC20612,32,2180,969,400,2200,1.1,1712,2
SSC20613,48,0,425,0,0,0,0,0
SSC20614,48,1071,710,220,1625,0.7,1424,2.4
SSC20615,41,1042,870,0,1666,0.8,1583,2.7
SSC20616,42,1517,667,160,1678,0.8,1445,3
SSC20617,46,2000,810,380,2071,0.8,1705,2.6
SSC20618,50,0,589,0,974,0.6,949,1.6
SSC20619,39,0,780,0,2749,0.5,949,2.6
SSC20620,36,1300,382,288,1021,1,902,3
SSC20621,43,1387,575,0,1375,0.8,1199,2.7
SSC20622,39,1350,620,118,2125,0.8,1875,2.5
SSC20623,43,1272,628,240,1437,0.9,1265,2.7
SSC20624,57,867,489,200,1083,0.6,928,2
SSC20625,50,0,489,0,1125,0.6,1062,1.7
SSC20626,47,0,700,0,1749,0,1024,1.5
SSC20627,38,576,530,129,1318,0.8,1260,2.8
SSC20628,49,347,449,0,1187,0.8,933,2.9
SSC20629,39,1767,645,175,1660,0.8,1521,3
SSC20630,52,0,519,0,962,0,962,3.5
SSC20631,44,0,441,0,949,0.5,900,2.9
SSC20632,43,1517,504,150,1266,0.8,833,2.5
SSC20633,52,927,466,150,1624,0.6,1156,2.5
SSC20634,53,1200,476,165,1208,0.8,1083,2.4
SSC20635,53,1300,467,258,1060,0.7,923,2.2
SSC20636,35,1164,449,240,1075,0.8,914,2.5
SSC20637,41,0,514,0,1125,1,1124,3.1
SSC20638,41,0,425,0,687,0.6,749,1.6
SSC20639,47,2084,565,255,1624,0.6,1160,1.9
SSC20640,57,981,453,240,912,0.6,730,1.9
SSC20641,51,975,427,150,860,0.6,735,2
SSC20642,35,1105,672,210,1420,0.8,1235,2.8
SSC20643,53,0,725,0,0,0.4,949,2.5
SSC20644,50,867,458,150,1118,0.7,848,2.1
SSC20645,40,1409,537,158,1687,0.8,1312,2.3
SSC20646,49,1042,634,0,2333,0.8,2083,2.8
SSC20647,57,1300,550,0,1541,0.5,1187,2.6
SSC20648,55,1300,543,0,1437,0.7,687,1.8
SSC20649,61,0,706,0,1125,0.7,1124,2
SSC20650,50,2275,719,127,2111,0.8,1992,2.9
SSC20651,0,0,0,0,0,0,0,0
SSC20652,49,0,575,0,2250,0.6,824,1.9
SSC20653,54,1473,488,250,1129,0.7,840,2.1
SSC20654,43,0,725,0,1874,0.5,1562,2.2
SSC20655,44,1187,612,200,1656,0.8,1515,2.6
SSC20656,50,1118,664,0,1749,0.7,1416,2.3
SSC20657,30,1733,616,335,1527,1,1504,3.3
SSC20658,34,1517,593,300,1391,0.9,1251,2.8
SSC20659,31,1950,697,376,1657,0.9,1596,3.1
SSC20660,31,1754,668,345,1662,0.9,1591,3.2
SSC20661,46,2000,644,341,1904,0.8,1812,3
SSC20662,30,1733,708,336,1600,0.9,1564,3.1
SSC20663,65,0,280,0,575,1,487,1.5
SSC20664,55,1517,622,0,1656,0.6,1416,2
SSC20665,32,2350,1354,534,3066,1,2537,2.1
SSC20666,50,647,435,170,1089,0.7,774,2.2
SSC20667,48,1200,521,220,1284,0.8,963,2.3
SSC20668,47,1473,687,0,1124,0.5,949,2.6
SSC20669,38,1449,575,290,1438,0.8,1167,2.5
SSC20670,0,0,0,0,0,0,0,0
SSC20671,61,0,575,0,0,0,0,0
SSC20672,40,0,762,0,2750,0.5,1812,2.2
SSC20673,47,1692,682,265,1468,0.7,1226,2.5
SSC20674,46,1517,624,300,1674,0.7,1575,2.5
SSC20675,40,1300,464,90,1375,0.8,899,2
SSC20676,38,1260,817,0,2749,0.8,2250,2.8
SSC20677,38,1733,667,337,1715,0.8,1348,2.4
SSC20678,39,1800,744,450,2183,0.8,2047,3.1
SSC20679,39,1800,727,366,2081,0.8,1786,2.8
SSC20680,38,1733,683,352,1814,0.8,1573,2.7
SSC20681,24,0,774,0,0,0,0,0
SSC20682,34,1495,575,212,1766,0.9,1666,3.1
SSC20683,48,1000,556,14,1402,0.7,1174,2.3
SSC20684,57,596,581,63,1224,0.6,928,1.9
SSC20685,45,0,483,0,1187,0.6,1125,2
SSC20686,42,2871,462,0,1624,0.7,1624,2.7
SSC20687,60,802,537,110,1062,0.8,900,1.8
SSC20688,61,0,687,0,0,0,0,0
SSC20689,60,0,599,0,0,0.5,575,1
SSC20690,44,0,350,0,687,1.2,725,2.9
SSC20691,42,1320,807,0,2045,1,1875,2.7
SSC20692,32,1764,735,365,1618,0.7,1530,2.8
SSC20693,55,0,825,0,2125,0.6,1375,2
SSC20694,58,1083,425,237,1031,0.6,784,2
SSC20695,50,867,455,162,1042,0.7,819,2.3
SSC20696,39,1600,697,285,2042,0.8,1702,2.8
SSC20697,31,1300,376,290,990,1.1,919,3.2
SSC20698,48,1802,720,150,1674,0.9,1666,3.2
SSC20699,46,0,624,0,1312,0.7,1187,2.3
SSC20700,0,0,0,0,0,0,0,0
SSC20701,36,1300,577,240,1255,0.7,1032,2.3
SSC20702,32,1500,460,284,1118,1.1,1026,2.9
SSC20703,37,1550,486,300,1315,0.9,1184,2.9
SSC20704,47,0,539,200,1125,1,629,1.1
SSC20705,0,0,0,0,0,0,0,0
SSC20706,63,867,377,0,754,0.5,575,1.7
SSC20707,35,1600,672,265,1757,0.8,1576,2.9
SSC20708,48,1950,433,0,1874,0.8,1374,2.1
SSC20709,45,1517,537,60,1062,0.6,916,2
SSC20710,38,1452,591,225,1444,0.8,1281,3
SSC20711,46,1717,719,210,1800,0.8,1648,2.9
SSC20712,52,0,850,0,0,0.4,1624,2
SSC20713,50,693,469,100,990,0.8,833,2.3
SSC20714,58,867,459,78,1062,0.7,849,2.1
SSC20715,58,1147,840,0,1999,0.5,1375,1.8
SSC20716,53,1377,546,280,1264,0.8,932,2
SSC20717,40,1501,588,160,1406,0.7,1281,2.5
SSC20718,44,1419,691,175,1300,0.8,1162,2.5
SSC20719,63,0,1125,0,0,0.6,0,2
SSC20720,50,1083,595,150,1406,0.9,1224,2.5
SSC20721,44,1112,540,120,1354,0.8,1312,2.5
SSC20722,47,2500,778,400,2630,0.8,1895,2.6
SSC20723,34,1600,506,309,1312,0.9,1245,3
SSC20724,34,1473,588,260,1443,0.8,1244,2.6
SSC20725,36,1500,482,300,1404,0.9,1290,3
SSC20726,51,0,1437,0,0,0,900,1
SSC20727,57,0,664,0,1375,0.7,1687,2.6
SSC20728,45,0,450,0,1875,0.6,1874,2
SSC20729,42,0,574,0,1875,0.7,1375,1.5
SSC20730,35,1300,625,69,1550,0.9,1220,2.9
SSC20731,32,1500,679,300,1493,0.8,1418,2.8
SSC20732,46,1545,598,0,1562,0.8,1218,2.3
SSC20733,0,0,0,0,0,0,0,0
SSC20734,58,0,687,0,0,0.5,1042,1
SSC20735,45,1200,434,137,1048,0.8,925,2.3
SSC20736,45,910,450,0,900,0.4,743,2.6
SSC20737,31,2000,752,356,1846,1,1880,3.6
SSC20738,55,2000,725,0,1437,0.6,1312,1.8
SSC20739,53,680,479,135,1037,0.7,821,2.2
SSC20740,54,683,448,150,982,0.7,822,2.1
SSC20741,60,0,575,0,1187,0.6,1187,2
SSC20742,45,2000,630,283,1689,0.8,1551,2.9
SSC20743,50,1285,547,200,1346,0.7,1163,2.4
SSC20744,46,1525,787,0,2042,0.8,1916,2.7
SSC20745,37,1560,505,110,1468,0.8,1281,2.7
SSC20746,38,2000,785,370,2266,0.8,2089,3
SSC20747,48,650,466,100,1291,0.7,949,2
SSC20748,37,1470,717,300,1688,0.7,1440,2.5
SSC20749,41,1083,489,50,1228,0.7,1140,2
SSC20750,52,840,478,150,1218,0.7,896,2.1
SSC20751,45,723,415,86,959,0.6,769,2.4
SSC20752,43,1950,695,380,1939,0.8,1595,2.7
SSC20753,44,535,588,0,1325,0.6,1187,2.6
SSC20754,37,1762,917,365,1949,0.8,1875,2.7
SSC20755,39,1757,678,180,1774,0.8,1687,3
SSC20756,50,1733,622,210,1708,0.9,1397,2.6
SSC20757,32,0,1021,145,2250,0.8,1218,3
SSC20758,46,1598,637,150,1781,0.7,1562,2.7
SSC20759,57,1600,612,65,1375,0.7,949,1.8
SSC20760,30,2167,970,501,2251,1.2,1868,2.1
SSC20761,37,0,466,0,0,0.3,725,1
SSC20762,48,1235,550,135,849,0.8,833,2.2
SSC20763,43,1613,620,250,1625,0.8,1449,2.8
SSC20764,53,780,489,160,1171,0.7,842,2.1
SSC20765,42,1993,572,416,1578,0.8,1363,2.5
SSC20766,41,2000,569,420,1704,0.8,1504,2.8
SSC20767,47,1733,480,240,1406,0.8,1281,2.8
SSC20768,44,2100,669,395,2103,0.8,1783,2.8
SSC20769,55,0,337,0,725,0.5,725,2
SSC20770,46,1159,686,140,1792,0.7,1468,2.6
SSC20771,43,1083,583,200,1468,0.7,1201,2.5
SSC20772,20,0,266,0,0,0,0,0
SSC20773,31,1967,794,351,1929,0.8,1813,3.1
SSC20774,39,0,525,0,1624,1,900,2.8
SSC20775,0,0,0,0,0,0,0,0
SSC20776,42,0,588,0,1375,0.7,1375,2.4
SSC20777,34,1337,443,280,1050,1,976,2.8
SSC20778,50,1560,412,0,774,0.7,900,1.7
SSC20779,52,0,479,0,1125,0.5,833,1.6
SSC20780,37,2167,642,0,2399,0.8,2100,2.5
SSC20781,49,0,899,0,1458,0.7,1343,1.8
SSC20782,48,1647,576,305,1356,0.7,1075,2.2
SSC20783,70,0,900,0,0,0,0,2
SSC20784,40,1500,558,270,1399,0.8,1155,2.5
SSC20785,37,1325,700,220,1446,0.8,1266,2.6
SSC20786,47,1733,707,205,1465,0.7,1178,2.4
SSC20787,51,1640,498,147,1292,0.8,1104,2.6
SSC20788,37,1300,518,0,1343,0.8,1312,2.3
SSC20789,39,1000,656,115,1625,0.9,1437,2.7
SSC20790,46,2000,803,350,2288,0.8,1930,2.5
SSC20791,43,0,724,0,1687,0.9,1374,2.6
SSC20792,43,1240,596,150,1571,0.8,1268,2.6
SSC20793,45,1509,588,338,1410,0.7,1145,2.2
SSC20794,47,1300,657,140,1474,0.7,1149,2.3
SSC20795,57,1767,385,0,1875,0.8,1812,2
SSC20796,49,1600,551,275,1479,0.7,1121,2.5
SSC20797,51,0,547,0,1125,0.7,933,1.2
SSC20798,50,1083,467,185,1070,0.7,850,2.3
SSC20799,52,800,457,0,1375,0.6,1125,2.3
SSC20800,54,0,450,0,999,1,450,2
SSC20801,48,1191,487,0,933,0.9,949,2.6
SSC20802,50,0,487,0,1625,0.8,1625,2.8
SSC20803,45,1000,603,136,1414,0.8,1106,2.3
SSC20804,59,310,392,0,1024,0.6,687,2
SSC20805,50,0,833,0,1324,0.8,900,2
SSC20806,41,1300,608,138,1666,0.7,955,2.5
SSC20807,57,794,429,153,807,0.8,626,1.9
SSC20808,47,509,566,0,1166,0.7,1031,2.3
SSC20809,66,0,474,0,0,0.6,1249,2
SSC20810,43,1500,628,0,1839,0.9,1651,2.8
SSC20811,43,1040,537,100,959,0.7,939,1.7
SSC20812,39,0,612,0,1812,0.8,1562,2
SSC20813,48,0,0,0,0,0,0,0
SSC20814,53,1083,562,215,1218,0.8,1089,2.3
SSC20815,45,0,474,0,1125,0.9,1042,1.5
SSC20816,56,1300,559,240,1257,0.7,1111,2.3
SSC20817,39,1257,544,236,1243,0.8,941,2.3
SSC20818,57,0,349,0,0,0,0,0
SSC20819,44,2500,946,396,2903,0.8,2348,2.7
SSC20820,53,1083,599,0,1949,0.8,1499,1.9
SSC20821,45,1057,477,198,968,0.7,816,2.3
SSC20822,44,1300,617,250,1431,0.7,1058,2.1
SSC20823,41,1649,742,295,2023,0.8,1445,2.3
SSC20824,38,2192,1341,451,3120,1,2285,1.9
SSC20825,25,1625,1073,0,2750,0.5,1374,2.3
SSC20826,45,1767,512,0,1875,0.7,1812,4
SSC20827,46,1300,490,250,1244,0.8,948,2.2
SSC20828,56,0,900,0,3749,0.5,2249,1.4
SSC20829,44,0,433,0,1999,0.5,1125,2.1
SSC20830,43,1560,599,330,1450,0.8,1210,2.6
SSC20831,46,1300,989,235,2656,0.9,2333,2.9
SSC20832,43,1353,606,250,1431,0.8,1139,2.4
SSC20833,49,1647,605,250,1474,0.8,1275,2.7
SSC20834,45,1767,613,220,1649,0.8,1552,2.8
SSC20835,39,2000,660,100,1786,0.8,1525,2.7
SSC20836,48,1565,425,170,1292,0.6,824,2.4
SSC20837,42,2010,696,276,2023,0.8,1904,3.1
SSC20838,52,660,516,130,1294,0.7,897,2.1
SSC20839,44,2167,682,0,1774,0.7,1458,2.1
SSC20840,48,1083,509,125,933,0.7,924,1.8
SSC20841,51,1267,608,0,1416,0.6,1291,2.2
SSC20842,40,1950,788,365,2094,0.8,1662,2.5
SSC20843,45,1300,547,245,1312,0.8,1025,2.3
SSC20844,56,1000,466,210,1068,0.7,788,1.9
SSC20845,46,1517,467,148,1125,0.7,922,2.5
SSC20846,51,1300,515,150,1273,0.8,949,2.3
SSC20847,49,3142,928,0,2166,1,2083,2.8
SSC20848,53,542,619,0,1541,0.7,1374,2.6
SSC20849,41,2200,737,0,2083,0.6,1875,2.1
SSC20850,0,0,0,0,0,0,0,0
SSC20851,35,1800,712,0,1553,1,1463,2.8
SSC20852,41,867,616,150,1517,0.7,979,2.3
SSC20853,40,1517,681,245,1699,0.8,1463,2.8
SSC20854,39,1950,685,138,1674,0.9,1452,2.8
SSC20855,58,607,432,105,776,0.5,720,1.9
SSC20856,51,1000,491,175,1190,0.7,813,2.1
SSC20857,50,1313,542,210,1288,0.7,1117,2.3
SSC20858,37,2167,972,391,2595,0.9,1921,2.4
SSC20859,42,2000,807,370,2359,0.8,2071,2.8
SSC20860,40,2000,803,450,2437,0.9,2314,3.2
SSC20861,35,2167,1164,390,2626,1,1892,2
SSC20862,42,1733,673,350,1865,0.8,1627,2.8
SSC20863,63,672,407,0,754,0.6,703,1.7
SSC20864,44,1700,707,270,1902,0.8,1792,3
SSC20865,37,1625,564,338,1537,0.9,1453,3
SSC20866,40,1300,571,255,1463,0.8,1300,2.8
SSC20867,44,0,599,0,1125,0,1125,3.3
SSC20868,0,0,0,0,0,0,0,0
SSC20869,54,824,537,133,1291,0.7,706,1.7
SSC20870,50,0,369,0,700,0.8,575,1.7
SSC20871,43,1550,624,255,1613,0.8,1445,2.8
SSC20872,33,1700,581,323,1484,0.9,1409,3
SSC20873,31,1572,729,310,1627,0.8,1494,2.7
SSC20874,44,1255,674,165,1375,0.7,1281,2.3
SSC20875,50,867,487,170,1235,0.7,1125,1.9
SSC20876,0,0,0,0,0,0,0,0
SSC20877,53,824,469,92,1028,0.6,762,2
SSC20878,71,0,556,0,0,0.5,0,0
SSC20879,37,2167,859,341,2366,0.9,1775,2.5
SSC20880,0,0,0,0,0,0,0,0
SSC20881,36,1800,827,346,1997,0.9,1588,2.2
SSC20882,40,2100,730,360,2155,0.8,1691,2.6
SSC20883,36,1400,474,280,1136,0.9,958,2.5
SSC20884,46,1509,537,0,1375,0.6,1375,2.8
SSC20885,37,1244,510,240,1111,0.7,994,2.1
SSC20886,53,1032,518,182,1202,0.7,854,2.1
SSC20887,46,1400,610,155,1468,0.7,1075,2.1
SSC20888,52,900,471,0,1218,0.7,697,2
SSC20889,40,0,833,0,1624,0.5,1624,2
SSC20890,48,1465,533,160,1125,0.8,1011,2.3
SSC20891,47,867,641,0,1625,0.8,1437,2.5
SSC20892,44,2000,599,0,2036,0.9,1937,3
SSC20893,32,2000,1083,342,2333,0.8,2257,3.1
SSC20894,45,0,518,0,1062,0.7,1083,2
SSC20895,35,2052,830,329,2332,1,1710,2.3
SSC20896,52,2167,695,318,1625,0.7,1355,2.2
SSC20897,43,0,604,0,1562,1,1125,4
SSC20898,44,1494,700,0,1468,0.6,1281,1.9
SSC20899,0,0,0,0,0,0,0,0
SSC20900,31,1625,796,289,2041,1,1471,2.1
SSC20901,56,1083,509,200,1312,0.7,1093,2.2
SSC20902,46,1600,682,0,1375,0.7,1625,2.5
SSC20903,34,1733,451,330,1228,1,1086,2.9
SSC20904,49,0,575,0,1687,0.4,1625,3.5
SSC20905,50,0,524,0,1249,0.6,949,2.3
SSC20906,51,1300,812,0,2062,0.7,1875,2.4
SSC20907,43,1300,589,260,1339,0.7,1265,2.4
SSC20908,46,1213,562,0,1083,0.6,1125,1.8
SSC20909,53,0,900,0,0,0.3,1625,1.5
SSC20910,0,0,0,0,0,0,0,0
SSC20911,39,1733,665,339,1754,0.8,1455,2.6
SSC20912,44,1879,733,351,2214,0.8,1971,2.7
SSC20913,49,0,525,0,1187,0.2,1042,1.5
SSC20914,51,2020,663,305,1760,0.7,1577,2.5
SSC20915,46,1135,570,120,1278,0.7,1039,2.4
SSC20916,60,0,433,0,1062,0.4,774,1
SSC20917,33,0,325,0,725,0.5,762,3
SSC20918,33,2286,925,400,2223,1,1715,2.1
SSC20919,36,2167,1001,440,2603,1,1920,2.2
SSC20920,46,1408,477,215,1104,0.7,1069,2.4
SSC20921,47,1300,410,245,949,0.7,725,2.2
SSC20922,0,0,0,0,0,0,0,0
SSC20923,33,2000,604,250,1553,1,1171,2.2
SSC20924,58,2500,851,379,1968,0.7,1632,2.2
SSC20925,27,1408,494,260,1376,0.8,1038,2.3
SSC20926,46,1227,494,250,1220,0.8,924,2.3
SSC20927,40,2050,603,200,1833,0.8,1666,2.9
SSC20928,48,0,399,0,0,0,0,0
SSC20929,32,1842,623,310,1660,1.1,1314,2.2
SSC20930,50,1907,780,375,2083,0.7,1542,2.8
SSC20931,40,1950,582,360,1695,0.8,1344,2.6
SSC20932,45,1690,619,250,1424,0.8,1318,2.5
SSC20933,52,1538,482,225,1104,0.7,875,2
SSC20934,57,1219,477,195,1178,0.7,811,2
SSC20935,56,1377,454,160,1156,0.7,969,2.2
SSC20936,49,1150,487,150,1792,0.6,1125,2.1
SSC20937,60,0,1025,0,2999,0.7,1875,1.4
SSC20938,29,1083,612,125,1531,0.8,1478,3.2
SSC20939,35,0,366,0,1542,0.5,1291,2
SSC20940,47,1213,478,0,1541,0.9,1125,2.8
SSC20941,39,1500,594,296,1411,0.8,1108,2.3
SSC20942,39,1205,469,265,1061,0.8,888,2.3
SSC20943,44,1950,706,355,2052,0.8,1617,2.6
SSC20944,49,769,489,0,1100,0.7,1015,2.2
SSC20945,56,493,412,150,843,0.7,477,1.9
SSC20946,52,0,450,0,0,0,850,1.5
SSC20947,46,1925,695,250,1843,0.7,1536,2.6
SSC20948,46,1050,555,273,1437,0.8,1053,2.4
SSC20949,35,1820,728,60,1843,0.7,1724,2.3
SSC20950,34,0,649,0,0,0,0,0
SSC20951,48,1418,450,0,1042,0.6,949,2.6
SSC20952,43,1582,599,0,1812,0.7,1125,2
SSC20953,52,1571,596,218,1812,0.9,900,1.9
SSC20954,67,0,450,0,0,0.8,450,1
SSC20955,54,1625,833,0,2083,0.6,1812,1.9
SSC20956,40,650,493,60,1187,0.8,1075,2.5
SSC20957,49,1473,612,160,1812,0.7,982,2.2
SSC20958,37,2500,892,280,2353,1,1509,2.1
SSC20959,39,1614,620,270,1614,0.8,1382,2.9
SSC20960,49,2000,707,255,1649,0.7,1531,2.5
SSC20961,44,1326,419,0,1312,1,949,2.8
SSC20962,34,950,624,186,1352,0.9,1183,2.6
SSC20963,24,0,450,0,0,1.3,0,4
SSC20964,31,0,525,0,1062,1.1,1062,5
SSC20965,35,0,900,0,1625,0.9,1374,2.8
SSC20966,40,1733,725,302,2050,0.8,1427,2.1
SSC20967,35,1617,726,295,1988,0.8,1373,2.2
SSC20968,60,0,450,0,1149,0.6,762,1.6
SSC20969,47,1185,494,176,1531,0.8,924,2.5
SSC20970,62,0,280,0,0,2,225,1.6
SSC20971,55,1300,428,0,900,0.6,1781,2.3
SSC20972,40,1733,655,310,1791,0.9,1618,2.9
SSC20973,60,0,391,0,933,0.6,743,1.6
SSC20974,0,0,0,0,0,0,0,0
SSC20975,53,1213,714,0,1375,0.6,1333,2
SSC20976,47,0,669,0,1374,0,1749,2.5
SSC20977,44,1192,584,100,1437,0.8,1187,2.3
SSC20978,42,1400,550,200,1812,0.7,1374,2.8
SSC20979,28,0,575,0,0,0,1375,2
SSC20980,0,0,0,0,0,0,0,0
SSC20981,51,0,550,0,1312,0.7,1166,2.3
SSC20982,43,1733,628,240,1885,0.9,1593,2.8
SSC20983,41,2000,512,305,1333,0.9,1562,2.9
SSC20984,53,1907,875,0,1875,0.6,1874,2.1
SSC20985,38,205,537,285,1062,0.6,849,1.9
SSC20986,54,1150,412,0,1208,0.6,1125,2.3
SSC20987,52,0,399,0,1062,0.5,1062,2
SSC20988,52,759,410,0,725,0.6,624,1.8
SSC20989,42,0,553,200,1792,1,1624,2.4
SSC20990,0,0,0,0,0,0,0,0
SSC20991,69,0,762,0,1875,0.8,1749,2
SSC20992,43,919,504,120,1166,0.8,1032,2.4
SSC20993,43,1641,575,250,1292,0.9,1199,2.5
SSC20994,39,1980,752,351,2129,0.8,1863,2.8
SSC20995,45,2177,735,290,2354,0.8,2198,2.9
SSC20996,35,1300,599,0,1562,0.7,1125,2
SSC20997,43,1700,532,330,1433,0.8,1256,2.7
SSC20998,43,1733,635,255,1515,0.8,1422,2.9
SSC20999,44,1517,643,170,1571,0.8,1375,2.8
SSC21000,47,1517,743,0,1292,0.7,1187,2.5
SSC21001,51,1467,641,275,1312,0.6,1075,2.2
SSC21002,32,1800,739,360,1945,1.1,1498,2.3
SSC21003,37,2500,965,395,2834,0.9,2195,2.6
SSC21004,46,1950,725,56,1875,0.7,1416,2.5
SSC21005,60,0,324,0,0,0.5,649,0
SSC21006,40,2000,561,430,1778,0.8,1553,2.9
SSC21007,0,0,0,0,0,0,0,0
SSC21008,59,2150,525,0,1375,0.6,1374,1.6
SSC21009,43,639,489,40,1374,0.7,1062,2.2
