SSC_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SSC20522,9,0,0,0,3,0,0,4,0,24
SSC20523,69,23,21,17,6,10,6,21,4,178
SSC20524,25,33,12,14,15,9,0,6,3,125
SSC20525,554,1199,490,378,596,426,159,277,69,4157
SSC20526,0,0,0,0,0,0,0,0,0,0
SSC20527,0,0,0,0,0,0,0,0,0,0
SSC20528,6,0,0,0,0,0,0,4,0,15
SSC20529,10,0,3,3,3,0,0,3,0,27
SSC20530,17,22,33,8,24,9,4,15,4,131
SSC20531,17,4,6,3,3,3,0,3,0,41
SSC20532,71,64,52,42,41,39,28,56,10,405
SSC20533,17,4,0,0,0,0,0,7,0,26
SSC20534,504,887,528,394,573,324,149,257,59,3678
SSC20535,285,485,431,289,411,294,172,219,30,2612
SSC20536,1612,2945,1391,1056,1619,1197,345,597,145,10902
SSC20537,6,3,5,4,0,0,3,3,0,24
SSC20538,4,7,0,5,0,3,0,0,0,23
SSC20539,0,0,0,0,0,0,0,0,0,0
SSC20540,38,15,17,7,4,3,3,11,0,97
SSC20541,0,0,0,0,0,0,0,0,0,0
SSC20542,3,11,6,6,8,6,3,14,0,58
SSC20543,10,0,0,3,0,0,0,7,0,27
SSC20544,31,56,32,41,25,14,10,28,3,246
SSC20545,0,15,4,0,0,0,0,0,0,22
SSC20546,21,10,10,8,5,7,4,10,0,66
SSC20547,0,0,0,0,0,0,0,0,0,0
SSC20548,77,99,113,83,82,71,74,101,15,718
SSC20549,10,9,9,6,3,3,0,7,0,37
SSC20550,0,0,0,0,0,0,0,0,0,0
SSC20551,10,0,0,0,0,0,0,0,0,13
SSC20552,15,6,13,6,6,3,0,8,0,54
SSC20553,636,827,915,572,810,581,203,433,56,5040
SSC20554,4,0,0,0,0,0,0,3,0,10
SSC20555,11,3,0,3,4,0,6,5,0,37
SSC20556,36,32,32,14,30,14,13,7,3,183
SSC20557,57,78,98,66,55,28,37,49,4,475
SSC20558,124,259,288,230,212,204,128,230,36,1726
SSC20559,0,0,0,0,0,0,0,0,0,0
SSC20560,3,0,0,0,0,0,0,0,0,3
SSC20561,8,5,8,6,12,0,6,11,0,62
SSC20562,4,0,4,0,3,0,0,0,0,16
SSC20563,304,618,478,315,504,389,272,398,62,3347
SSC20564,24,8,39,14,20,9,13,20,7,155
SSC20565,6,5,3,0,0,3,8,0,0,33
SSC20566,510,1918,753,787,820,676,355,674,120,6601
SSC20567,426,1047,796,556,653,522,484,817,103,5407
SSC20568,16,3,6,0,3,0,0,4,0,33
SSC20569,15,36,36,21,19,17,11,12,0,169
SSC20570,29,14,24,13,15,10,10,16,0,121
SSC20571,609,1744,239,249,391,195,39,101,81,3634
SSC20572,275,513,579,476,426,313,230,356,55,3223
SSC20573,18,29,38,14,27,21,15,24,5,186
SSC20574,3,0,0,0,0,0,0,3,0,5
SSC20575,25,14,15,8,6,3,4,17,0,96
SSC20576,7,0,0,0,0,0,0,0,0,12
SSC20577,72,111,117,85,62,50,27,82,6,612
SSC20578,130,177,190,132,175,104,95,108,21,1131
SSC20579,454,805,593,449,622,384,289,377,75,4052
SSC20580,21,8,7,4,7,5,7,9,0,64
SSC20581,3,3,3,0,0,3,3,3,0,20
SSC20582,4,5,3,3,0,3,0,0,0,23
SSC20583,28,9,21,19,10,13,6,13,13,129
SSC20584,5,3,10,6,8,3,0,0,0,28
SSC20585,3,0,0,0,0,0,0,0,0,3
SSC20586,0,0,0,0,0,0,0,0,0,0
SSC20587,112,79,110,67,54,79,85,175,18,777
SSC20588,308,235,287,194,226,222,172,502,50,2204
SSC20589,24,23,17,13,6,4,8,20,3,116
SSC20590,18,7,3,5,0,3,6,3,0,36
SSC20591,0,0,3,0,0,0,0,7,0,16
SSC20592,1698,4403,1431,1285,1739,1143,504,861,213,13278
SSC20593,421,1042,399,334,475,313,149,288,62,3488
SSC20594,0,0,0,0,0,0,0,0,0,0
SSC20595,0,0,0,0,0,0,0,0,0,0
SSC20596,207,313,489,231,294,154,178,261,29,2149
SSC20597,0,0,0,0,0,0,0,0,0,0
SSC20598,18,3,3,0,0,0,0,3,0,31
SSC20599,15,5,7,0,4,0,4,8,0,43
SSC20600,181,126,141,90,110,89,82,122,22,954
SSC20601,39,27,44,12,30,14,22,23,5,222
SSC20602,0,0,0,0,0,0,0,0,0,0
SSC20603,343,405,525,517,322,412,309,878,77,3782
SSC20604,16,3,4,0,0,0,4,0,3,27
SSC20605,8,5,13,4,8,8,3,8,0,59
SSC20606,13,3,3,3,4,8,5,3,0,42
SSC20607,52,18,8,19,14,6,8,16,0,144
SSC20608,3,0,0,0,5,0,6,0,0,15
SSC20609,146,122,237,99,158,110,82,148,21,1122
SSC20610,64,43,63,43,41,35,41,59,5,397
SSC20611,35,8,7,3,10,3,21,97,0,193
SSC20612,749,1990,375,455,479,320,73,188,85,4711
SSC20613,0,0,0,0,0,0,0,0,0,0
SSC20614,19,3,13,4,5,4,5,10,0,71
SSC20615,29,4,6,5,0,4,7,4,0,58
SSC20616,41,44,40,32,37,27,22,31,4,278
SSC20617,77,86,52,27,49,28,11,18,3,364
SSC20618,9,0,0,0,0,0,0,3,0,15
SSC20619,16,3,0,0,0,0,0,5,0,28
SSC20620,39,62,131,114,93,80,132,139,31,813
SSC20621,8,7,7,0,8,4,0,9,0,50
SSC20622,23,21,5,3,3,5,5,11,4,79
SSC20623,14,22,12,21,11,10,8,14,5,121
SSC20624,6,10,11,6,5,9,6,4,0,64
SSC20625,3,0,0,0,0,0,3,3,0,13
SSC20626,3,0,3,0,0,0,0,0,0,6
SSC20627,99,5,8,13,6,11,4,39,3,198
SSC20628,16,3,0,7,3,0,4,0,0,25
SSC20629,35,13,12,8,8,9,12,14,0,116
SSC20630,9,0,0,0,3,0,0,0,0,14
SSC20631,7,0,0,0,0,0,0,0,0,6
SSC20632,10,12,7,7,6,9,4,17,3,74
SSC20633,12,8,6,0,5,8,0,3,0,46
SSC20634,11,4,7,9,3,5,9,10,0,60
SSC20635,42,36,57,26,23,40,23,39,3,294
SSC20636,264,386,748,719,464,578,696,1144,113,5127
SSC20637,7,0,0,0,0,3,0,3,0,13
SSC20638,6,3,0,0,0,0,0,5,0,18
SSC20639,8,9,17,3,5,4,4,4,0,51
SSC20640,19,25,38,38,17,21,17,40,5,221
SSC20641,16,11,6,0,3,3,3,7,3,50
SSC20642,25,9,25,8,8,9,20,31,9,146
SSC20643,3,0,3,0,0,0,0,0,0,4
SSC20644,86,75,78,55,40,37,42,81,3,494
SSC20645,18,8,5,9,5,4,8,7,0,65
SSC20646,3,6,7,3,0,3,4,3,0,29
SSC20647,18,3,3,0,0,0,0,0,0,27
SSC20648,11,3,3,0,5,3,7,0,0,35
SSC20649,8,0,0,0,0,0,0,0,0,5
SSC20650,49,99,60,36,44,26,7,18,6,343
SSC20651,0,0,0,0,0,0,0,0,0,0
SSC20652,17,0,0,0,0,4,0,0,0,19
SSC20653,230,201,293,229,175,223,70,228,34,1679
SSC20654,13,0,0,0,3,0,0,11,0,24
SSC20655,26,29,32,12,18,21,19,31,0,194
SSC20656,3,3,4,0,0,0,4,4,0,24
SSC20657,1906,2976,3232,2676,3138,2141,2789,2585,407,21853
SSC20658,708,815,1578,1052,1159,889,1071,1225,162,8643
SSC20659,709,1031,1103,918,995,692,775,774,132,7129
SSC20660,877,1297,1472,1089,1348,993,1019,1091,143,9343
SSC20661,127,94,162,67,141,88,70,101,8,861
SSC20662,608,884,1227,891,929,687,956,943,113,7249
SSC20663,0,0,0,0,0,0,0,0,0,3
SSC20664,27,18,5,5,7,3,0,7,0,79
SSC20665,304,565,99,92,155,94,13,29,27,1371
SSC20666,26,6,10,10,4,3,8,7,8,77
SSC20667,115,165,241,140,149,98,75,157,23,1166
SSC20668,0,3,3,5,3,0,0,3,0,18
SSC20669,124,167,314,197,148,145,98,209,23,1435
SSC20670,0,0,0,0,0,0,0,0,0,0
SSC20671,5,0,0,0,0,0,0,0,0,5
SSC20672,3,0,0,0,4,0,0,0,0,11
SSC20673,33,20,8,13,7,10,6,12,8,120
SSC20674,15,18,9,7,7,3,7,7,0,80
SSC20675,13,10,3,0,0,5,3,0,0,41
SSC20676,16,7,3,0,0,3,3,3,0,41
SSC20677,1400,2877,1987,1400,1909,1255,591,1054,204,12684
SSC20678,395,621,398,286,483,343,81,189,29,2826
SSC20679,566,920,596,450,655,495,147,255,56,4144
SSC20680,255,496,401,238,325,217,110,184,38,2265
SSC20681,7,0,0,0,0,0,0,0,0,5
SSC20682,30,25,15,9,7,9,0,11,0,105
SSC20683,46,8,10,10,13,8,6,11,4,122
SSC20684,13,9,0,3,3,3,5,4,3,48
SSC20685,12,0,0,0,0,0,0,7,0,17
SSC20686,10,0,0,0,0,3,0,5,0,20
SSC20687,13,0,3,0,3,3,6,9,0,29
SSC20688,4,0,0,0,0,0,0,0,0,6
SSC20689,5,0,0,0,0,0,0,0,0,6
SSC20690,6,3,0,0,0,3,0,0,0,11
SSC20691,32,3,4,8,0,5,3,8,0,71
SSC20692,79,141,125,92,70,72,27,79,9,697
SSC20693,7,3,0,0,0,0,3,0,0,14
SSC20694,16,5,0,4,3,3,0,7,0,36
SSC20695,19,12,33,19,15,15,8,18,0,141
SSC20696,15,21,45,22,22,18,25,23,3,199
SSC20697,113,155,248,271,143,151,263,260,48,1646
SSC20698,26,8,13,9,9,5,7,14,3,92
SSC20699,14,0,3,0,0,3,0,0,0,19
SSC20700,0,0,0,0,0,0,0,0,0,0
SSC20701,40,28,44,34,24,24,20,55,3,273
SSC20702,651,1140,2114,1135,918,867,1422,2049,305,10605
SSC20703,696,1248,1586,963,1200,906,936,1191,165,8889
SSC20704,4,3,13,3,3,3,14,12,0,51
SSC20705,0,0,0,0,0,0,0,0,0,0
SSC20706,14,3,3,3,3,0,4,7,0,40
SSC20707,437,598,668,479,584,391,383,364,70,3983
SSC20708,3,3,3,0,0,3,0,0,0,18
SSC20709,22,4,3,4,3,0,0,9,0,47
SSC20710,62,42,68,35,31,26,24,43,4,336
SSC20711,34,36,45,13,36,9,13,26,0,206
SSC20712,3,0,0,3,0,0,0,0,0,12
SSC20713,31,13,9,17,3,7,17,19,0,111
SSC20714,9,0,4,3,4,0,4,3,0,31
SSC20715,9,3,0,0,6,0,3,0,0,22
SSC20716,167,213,151,152,110,86,42,144,17,1076
SSC20717,26,13,8,0,0,9,7,3,0,66
SSC20718,34,30,22,13,15,3,7,12,3,141
SSC20719,7,0,0,0,0,0,0,0,0,3
SSC20720,38,7,15,6,9,3,6,12,0,92
SSC20721,3,9,13,14,9,7,11,17,0,86
SSC20722,174,368,49,68,114,85,5,24,14,905
SSC20723,526,899,956,864,966,605,1056,1075,199,7155
SSC20724,238,399,472,390,366,366,211,371,54,2874
SSC20725,248,392,471,367,512,404,518,585,80,3587
SSC20726,4,0,0,0,0,0,0,0,0,11
SSC20727,10,3,3,0,0,6,0,0,0,15
SSC20728,6,3,0,0,0,0,0,0,0,19
SSC20729,4,0,3,3,0,3,0,0,0,11
SSC20730,106,17,24,19,8,9,11,30,3,227
SSC20731,89,126,176,107,114,131,72,142,14,963
SSC20732,16,13,5,6,6,3,0,5,0,68
SSC20733,0,0,0,0,0,0,0,0,0,0
SSC20734,5,0,0,0,3,0,0,0,0,11
SSC20735,20,35,34,31,16,12,20,33,8,204
SSC20736,8,0,4,0,3,0,4,3,0,24
SSC20737,342,712,466,352,629,324,458,421,94,3786
SSC20738,13,4,3,0,0,0,0,3,0,29
SSC20739,55,13,21,7,16,6,13,25,0,148
SSC20740,31,0,4,4,15,0,7,7,4,83
SSC20741,3,3,0,0,0,0,0,0,0,11
SSC20742,114,64,146,45,126,61,70,93,15,738
SSC20743,31,24,13,14,19,15,15,14,0,158
SSC20744,7,23,12,7,7,15,0,10,3,89
SSC20745,28,12,4,17,3,5,3,18,0,97
SSC20746,882,1450,1053,731,1055,678,200,393,88,6536
SSC20747,11,4,8,3,3,0,3,8,6,43
SSC20748,161,203,228,156,250,133,124,128,34,1420
SSC20749,26,5,3,0,3,3,0,6,0,47
SSC20750,103,95,71,72,55,39,78,77,13,607
SSC20751,43,5,5,3,9,4,5,13,3,87
SSC20752,697,1050,767,423,862,664,250,367,72,5146
SSC20753,22,7,4,3,3,0,4,7,0,49
SSC20754,23,12,6,12,9,8,3,21,0,95
SSC20755,29,7,7,8,3,3,6,8,0,70
SSC20756,49,32,27,11,12,13,7,23,3,173
SSC20757,12,0,0,0,0,0,0,0,3,15
SSC20758,18,6,9,8,13,3,3,6,0,70
SSC20759,9,4,6,0,0,3,0,3,0,27
SSC20760,1141,2388,372,436,684,467,74,215,119,5898
SSC20761,0,0,0,0,0,0,3,0,0,7
SSC20762,8,3,5,0,4,3,0,3,0,27
SSC20763,35,31,52,25,42,25,21,36,6,275
SSC20764,98,81,68,61,50,50,46,91,3,550
SSC20765,1380,2597,944,840,1237,1039,251,580,187,9062
SSC20766,1860,3630,1314,1177,1882,1416,357,737,205,12588
SSC20767,13,5,15,13,3,3,14,7,6,75
SSC20768,982,1676,548,484,854,647,143,295,87,5708
SSC20769,6,0,0,0,0,0,0,0,0,10
SSC20770,27,12,23,14,18,11,10,18,0,138
SSC20771,29,34,22,13,17,11,11,18,0,150
SSC20772,0,3,0,0,0,0,0,6,0,22
SSC20773,1311,1851,1848,1251,1676,1102,573,790,181,10571
SSC20774,5,0,0,0,0,0,0,5,0,15
SSC20775,0,0,0,0,0,0,0,0,0,0
SSC20776,19,6,0,3,0,0,0,4,0,41
SSC20777,155,226,665,358,270,246,454,654,75,3100
SSC20778,5,5,9,5,4,0,3,3,0,30
SSC20779,6,0,5,0,0,0,3,0,3,20
SSC20780,14,6,9,0,9,3,0,5,3,44
SSC20781,13,3,0,3,0,0,0,0,0,22
SSC20782,292,408,463,289,293,281,122,267,42,2451
SSC20783,3,0,0,0,0,0,0,0,0,4
SSC20784,549,762,887,561,551,458,430,706,89,4993
SSC20785,12,19,15,12,11,7,3,13,0,86
SSC20786,48,19,17,11,15,9,16,26,6,169
SSC20787,38,26,34,6,18,6,13,27,3,167
SSC20788,7,0,6,3,0,0,0,0,0,17
SSC20789,31,3,8,6,3,10,5,13,0,85
SSC20790,47,99,34,25,21,23,3,15,6,265
SSC20791,4,0,3,0,3,0,0,8,0,18
SSC20792,12,38,13,15,12,8,6,4,0,105
SSC20793,12,19,18,7,6,10,5,3,0,75
SSC20794,26,14,9,12,9,11,3,12,0,92
SSC20795,4,3,3,0,0,0,0,3,0,15
SSC20796,225,316,306,233,219,191,93,146,28,1761
SSC20797,13,0,0,3,3,0,0,3,0,21
SSC20798,59,7,28,14,21,15,10,32,0,190
SSC20799,24,3,3,8,4,3,3,3,0,48
SSC20800,9,0,0,0,0,0,0,0,0,17
SSC20801,5,3,4,3,3,3,0,3,0,20
SSC20802,17,0,0,0,0,0,0,3,0,28
SSC20803,91,61,50,30,33,12,9,22,5,308
SSC20804,8,3,0,0,0,0,0,3,0,17
SSC20805,3,4,0,0,0,0,0,0,0,11
SSC20806,14,13,22,11,17,6,4,14,3,120
SSC20807,24,22,27,31,21,28,17,49,3,221
SSC20808,15,4,0,0,5,5,0,5,0,38
SSC20809,0,0,0,0,0,0,0,0,0,3
SSC20810,22,53,45,28,25,10,6,16,3,199
SSC20811,27,0,0,3,3,0,0,0,0,39
SSC20812,3,0,0,0,3,0,0,0,0,14
SSC20813,0,0,0,0,0,0,0,0,0,0
SSC20814,9,10,5,5,3,3,10,16,0,53
SSC20815,15,3,0,3,0,0,0,0,0,21
SSC20816,58,82,54,53,53,47,21,56,5,434
SSC20817,182,312,374,311,274,240,180,335,34,2236
SSC20818,0,0,0,0,0,0,0,0,0,3
SSC20819,348,768,133,123,305,194,14,67,24,1976
SSC20820,12,12,4,3,0,7,0,3,0,44
SSC20821,36,48,56,49,52,51,33,85,14,423
SSC20822,97,194,136,117,110,112,67,99,13,947
SSC20823,260,593,262,240,247,187,87,154,31,2059
SSC20824,596,1461,113,217,353,161,21,61,46,3025
SSC20825,35,17,3,3,4,0,0,0,0,69
SSC20826,9,6,9,0,6,8,0,0,0,41
SSC20827,43,43,79,43,36,36,35,43,5,366
SSC20828,6,4,0,0,0,0,0,0,0,19
SSC20829,3,3,0,0,0,0,0,0,0,8
SSC20830,149,193,151,104,128,130,42,116,22,1042
SSC20831,3,3,9,5,19,5,10,4,0,63
SSC20832,728,966,939,851,623,744,388,833,88,6162
SSC20833,44,35,55,19,33,28,17,30,5,260
SSC20834,40,23,37,25,24,19,18,31,0,229
SSC20835,65,7,9,3,4,8,6,15,3,116
SSC20836,13,4,6,0,4,0,3,11,0,44
SSC20837,85,105,117,59,99,43,34,41,14,595
SSC20838,95,52,47,39,37,23,32,50,3,382
SSC20839,8,4,9,5,5,0,3,7,0,43
SSC20840,13,4,3,3,3,0,0,7,3,40
SSC20841,20,8,6,0,3,0,3,11,0,52
SSC20842,432,719,417,285,440,270,114,164,47,2887
SSC20843,11,20,18,4,11,7,4,18,0,88
SSC20844,45,31,55,67,27,33,13,49,9,340
SSC20845,17,12,9,9,4,10,10,21,7,92
SSC20846,16,25,37,21,15,13,13,16,0,158
SSC20847,3,9,4,7,0,0,0,3,0,26
SSC20848,16,4,0,0,4,0,0,0,0,32
SSC20849,20,3,5,3,3,0,3,5,0,49
SSC20850,0,0,0,0,0,0,0,0,0,0
SSC20851,9,7,14,18,10,8,5,14,0,94
SSC20852,36,13,11,4,0,0,4,18,4,89
SSC20853,178,209,217,177,198,136,101,191,28,1433
SSC20854,24,36,13,11,16,12,9,16,0,122
SSC20855,17,7,4,12,5,3,4,5,0,61
SSC20856,70,38,46,22,26,24,30,39,0,298
SSC20857,43,47,32,34,40,13,23,29,5,271
SSC20858,997,2110,372,424,684,460,68,183,89,5392
SSC20859,1571,2873,1157,953,1429,856,198,441,102,9584
SSC20860,582,1028,464,392,569,361,110,204,37,3747
SSC20861,1769,3723,746,863,1089,754,115,262,151,9461
SSC20862,373,562,583,307,385,220,159,248,29,2870
SSC20863,11,0,0,0,0,0,0,0,0,12
SSC20864,28,50,23,22,25,20,19,16,3,194
SSC20865,1070,1960,1763,1111,1587,1139,961,1195,210,10991
SSC20866,20,43,45,28,32,23,21,26,3,233
SSC20867,3,0,0,0,0,0,0,3,0,6
SSC20868,0,0,0,0,0,0,0,0,0,0
SSC20869,21,6,7,5,4,0,4,9,0,53
SSC20870,5,0,0,0,4,0,0,0,0,12
SSC20871,40,67,50,37,47,26,13,30,3,311
SSC20872,1174,2052,2063,1728,2077,1647,1589,1762,280,14358
SSC20873,201,391,353,265,282,215,134,238,32,2122
SSC20874,15,6,3,3,3,0,0,3,0,42
SSC20875,14,9,14,13,13,0,9,8,3,85
SSC20876,0,0,0,0,0,0,0,0,0,0
SSC20877,34,7,8,14,3,3,7,15,0,93
SSC20878,0,0,0,0,0,0,0,0,0,0
SSC20879,1713,3453,981,1016,1708,1053,300,584,191,10990
SSC20880,0,0,0,0,0,0,0,0,0,0
SSC20881,199,426,184,161,239,175,57,87,34,1560
SSC20882,123,195,71,73,105,81,23,34,5,708
SSC20883,55,52,137,86,80,75,90,127,12,719
SSC20884,17,5,8,0,3,5,0,4,0,44
SSC20885,20,40,39,55,25,32,7,26,3,241
SSC20886,187,191,184,147,119,122,91,203,18,1267
SSC20887,35,9,12,14,9,0,3,21,0,109
SSC20888,15,3,7,7,4,0,4,3,0,38
SSC20889,4,3,0,0,0,0,0,3,0,10
SSC20890,30,9,8,10,5,3,9,12,0,98
SSC20891,29,20,9,3,9,3,7,4,0,80
SSC20892,11,11,12,8,10,0,0,3,4,54
SSC20893,196,301,200,152,250,118,94,82,12,1401
SSC20894,3,0,0,3,4,0,0,6,0,15
SSC20895,533,1343,301,339,432,262,93,169,66,3543
SSC20896,24,35,28,11,8,5,0,26,0,138
SSC20897,3,0,4,3,0,0,0,3,0,10
SSC20898,16,3,7,3,5,0,6,3,0,45
SSC20899,0,0,0,0,0,0,0,0,0,0
SSC20900,38,10,17,26,7,9,13,27,0,151
SSC20901,15,15,11,5,4,3,3,6,3,73
SSC20902,4,6,5,3,0,0,0,0,0,32
SSC20903,422,944,742,603,566,472,464,602,116,4937
SSC20904,5,0,0,3,0,0,0,0,0,14
SSC20905,4,5,0,3,0,0,0,0,0,12
SSC20906,6,14,5,8,8,7,4,3,0,53
SSC20907,18,6,14,7,6,4,0,18,0,77
SSC20908,6,9,4,3,3,0,0,0,0,23
SSC20909,6,3,0,0,0,0,0,0,0,11
SSC20910,0,0,0,0,0,0,0,0,0,0
SSC20911,1392,2523,2257,1430,2072,1352,845,1169,233,13272
SSC20912,131,249,105,81,81,59,16,52,15,782
SSC20913,4,3,0,0,0,0,0,0,0,7
SSC20914,56,38,48,23,41,34,3,16,12,270
SSC20915,130,43,39,21,33,24,22,39,6,368
SSC20916,4,0,0,0,0,0,0,0,0,7
SSC20917,4,0,3,0,0,0,0,0,0,14
SSC20918,898,2411,324,526,496,374,83,202,104,5427
SSC20919,1156,3194,488,656,766,430,84,160,111,7038
SSC20920,8,4,9,4,7,6,0,5,0,43
SSC20921,3,3,7,4,0,3,3,5,0,31
SSC20922,0,0,0,0,0,0,0,0,0,0
SSC20923,406,1233,210,384,418,265,119,231,53,3331
SSC20924,103,92,49,30,29,39,9,32,10,384
SSC20925,163,434,191,315,183,241,75,207,17,1819
SSC20926,34,23,52,32,21,17,20,41,8,256
SSC20927,31,8,16,7,5,11,7,12,0,90
SSC20928,0,0,0,0,0,0,0,0,0,4
SSC20929,890,2387,827,967,985,772,410,835,162,8246
SSC20930,12,8,9,0,13,0,6,4,0,55
SSC20931,625,1365,537,452,688,526,173,343,70,4772
SSC20932,28,25,14,21,11,3,12,7,0,132
SSC20933,16,32,13,13,7,0,12,18,0,110
SSC20934,138,112,104,65,65,67,38,96,4,684
SSC20935,17,13,3,9,8,6,3,11,0,68
SSC20936,4,6,5,3,3,3,0,3,3,27
SSC20937,8,0,0,0,0,0,0,0,0,13
SSC20938,21,0,7,4,7,0,9,8,4,61
SSC20939,7,3,0,0,0,0,0,0,0,15
SSC20940,7,8,3,3,4,0,3,3,0,33
SSC20941,1451,2725,2655,2083,1954,1749,1077,1659,292,15649
SSC20942,117,154,334,239,179,175,233,362,31,1827
SSC20943,1318,2079,1261,921,1174,1047,300,557,112,8770
SSC20944,6,4,7,6,0,10,0,3,0,45
SSC20945,23,7,0,3,3,0,5,6,0,50
SSC20946,7,0,0,0,3,0,0,0,0,8
SSC20947,61,56,17,14,25,16,8,19,9,223
SSC20948,4,31,13,9,9,9,4,11,0,86
SSC20949,28,12,14,10,7,6,10,9,0,101
SSC20950,0,0,0,0,0,0,0,0,0,3
SSC20951,8,0,5,4,3,0,3,3,0,26
SSC20952,4,0,3,0,0,3,0,3,0,13
SSC20953,7,12,16,9,9,7,12,12,4,93
SSC20954,0,0,0,0,0,0,0,0,0,0
SSC20955,8,7,8,5,10,0,0,0,0,38
SSC20956,23,5,3,0,6,5,0,9,0,54
SSC20957,16,15,14,4,9,7,6,8,3,78
SSC20958,91,198,55,53,75,51,17,29,9,574
SSC20959,109,111,173,90,109,64,73,78,23,828
SSC20960,21,15,27,12,19,4,4,3,4,108
SSC20961,4,13,11,7,4,8,3,4,3,49
SSC20962,44,10,11,12,3,8,4,25,0,117
SSC20963,0,0,0,0,0,0,0,0,0,0
SSC20964,7,3,0,0,0,0,0,0,0,16
SSC20965,15,3,0,0,3,3,0,3,0,32
SSC20966,366,792,290,289,364,232,92,180,31,2641
SSC20967,439,1075,473,415,452,287,144,250,55,3596
SSC20968,7,0,0,0,0,0,0,3,0,12
SSC20969,19,13,14,4,8,3,12,18,0,93
SSC20970,0,0,0,0,0,0,0,0,0,3
SSC20971,5,0,3,3,0,0,3,0,0,17
SSC20972,148,214,273,113,128,83,90,109,7,1168
SSC20973,9,3,3,0,0,0,0,5,0,23
SSC20974,0,0,0,0,0,0,0,0,0,0
SSC20975,7,7,0,0,3,0,4,3,5,37
SSC20976,7,5,0,0,0,0,0,0,0,15
SSC20977,18,3,0,3,3,3,3,4,0,39
SSC20978,22,3,0,3,4,0,3,8,0,53
SSC20979,0,0,0,0,0,0,0,0,0,3
SSC20980,0,0,0,0,0,0,0,0,0,0
SSC20981,9,3,0,3,0,0,0,3,0,17
SSC20982,22,47,30,24,24,8,7,25,3,188
SSC20983,8,13,8,7,7,7,3,11,4,68
SSC20984,6,3,3,0,0,0,0,0,3,21
SSC20985,3,3,3,0,3,0,3,0,0,18
SSC20986,18,5,4,4,0,0,0,4,0,35
SSC20987,6,0,0,0,0,0,3,0,0,11
SSC20988,5,0,4,5,0,0,3,3,0,19
SSC20989,14,0,5,0,3,3,0,5,0,32
SSC20990,0,0,0,0,0,0,0,0,0,0
SSC20991,3,3,0,0,3,0,0,0,0,6
SSC20992,65,19,26,13,17,10,23,39,3,231
SSC20993,26,3,3,3,5,0,6,9,0,68
SSC20994,591,1036,686,473,647,385,195,283,51,4340
SSC20995,68,94,57,35,69,34,11,28,3,402
SSC20996,11,0,4,0,3,0,0,0,0,18
SSC20997,319,487,507,384,635,377,325,369,69,3474
SSC20998,18,29,44,25,19,12,28,31,4,217
SSC20999,31,15,10,11,8,3,3,3,0,81
SSC21000,7,10,8,0,3,3,4,6,0,30
SSC21001,18,3,13,7,4,9,9,8,3,67
SSC21002,333,947,266,264,334,222,68,170,47,2648
SSC21003,2556,5155,789,995,1731,1126,149,427,200,13125
SSC21004,5,11,8,3,10,3,5,9,0,62
SSC21005,0,0,0,7,0,0,0,0,0,4
SSC21006,2525,5565,1593,1494,2401,1779,506,1132,323,17311
SSC21007,0,0,0,0,0,0,0,0,0,0
SSC21008,3,3,0,3,6,0,0,0,0,15
SSC21009,19,3,0,5,0,3,3,4,0,33
SSC21010,0,0,0,0,0,0,0,0,0,6
SSC21011,29,10,4,3,11,15,9,6,0,90
SSC21012,8,0,0,0,0,0,0,3,0,11
SSC21013,50,24,24,9,25,7,9,20,4,172
SSC21014,6,3,0,0,8,0,0,0,0,20
SSC21015,4,0,0,0,0,0,0,0,0,8
SSC21016,0,0,0,0,0,0,0,0,0,0
SSC21017,30,6,3,3,5,0,3,9,3,67
SSC21018,85,75,105,45,83,39,58,62,10,574
SSC21019,9,20,17,10,9,3,11,12,0,93
SSC21020,13,8,4,4,3,0,12,3,0,47
SSC21021,3,0,0,0,0,0,0,3,0,4
SSC21022,11,3,7,0,3,4,0,3,0,27
SSC21023,0,0,0,0,0,0,0,0,0,6
SSC21024,3,3,0,0,0,0,0,0,0,10
SSC21025,23,5,3,0,8,0,3,5,0,48
SSC21026,3,3,0,0,0,0,0,0,0,6
SSC21027,3,0,0,3,0,0,0,0,0,14
SSC21028,0,0,3,0,0,0,0,3,0,6
SSC21029,4,0,0,0,0,0,0,0,0,7
SSC21030,0,4,0,0,4,0,0,0,0,12
SSC21031,35,39,26,15,18,7,7,15,3,159
SSC21032,21,16,20,25,10,10,18,9,0,128
SSC21033,8,3,7,3,3,0,0,3,0,31
SSC21034,18,0,7,3,3,0,6,10,0,51
SSC21035,16,3,0,3,6,3,0,3,0,35
SSC21036,16,4,4,3,8,4,3,14,0,64
SSC21037,3,0,0,3,0,0,0,3,0,12
SSC21038,59,96,70,54,40,49,30,58,5,465
SSC21039,11,4,3,0,7,0,4,3,0,31
SSC21040,813,1806,1482,1058,1233,819,736,1161,175,9277
SSC21041,45,10,3,9,7,3,0,18,0,92
SSC21042,0,0,0,0,0,0,0,0,0,3
SSC21043,29,26,20,5,14,9,9,14,0,128
SSC21044,12,6,14,4,8,6,3,8,0,57
SSC21045,7,4,0,0,3,0,3,4,0,15
