SA1_7DIGITCODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
2106601,0,0,8,3,8,8,4,0,0,40,0,0,5,5,10,5,0,0,0,25,0,0,3,4,8,7,3,0,0,25,0,0,0,3,0,3,0,0,0,14,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,4,4,3,3,3,5,3,0,3,0,25,44,12,44,48,61,80,55,23,7,365
2106602,0,0,16,14,15,14,3,0,0,68,0,0,14,13,11,7,4,0,0,50,0,0,5,12,4,7,0,0,0,31,0,0,6,0,9,3,0,0,0,20,0,0,3,8,9,5,0,0,0,30,0,0,7,9,8,8,0,0,0,27,0,0,4,0,6,9,3,3,0,26,44,29,90,111,105,97,74,32,3,593
2106603,0,0,8,3,9,6,0,0,0,35,0,0,3,5,6,3,0,0,0,23,0,0,4,4,6,0,0,0,0,17,0,0,3,3,3,5,0,0,0,14,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,3,3,8,7,5,24,24,83,26,23,56,45,66,68,79,49,48,459
2106604,0,0,3,8,4,3,0,0,0,18,0,0,13,0,3,0,0,0,0,13,0,0,3,4,3,3,0,0,0,13,0,0,0,3,0,3,0,0,0,9,0,0,3,3,3,8,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,3,3,9,8,5,0,3,28,17,13,37,43,39,35,37,14,16,252
2106605,0,0,3,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,6,4,8,3,4,7,0,0,46,31,25,40,51,50,37,33,9,3,286
2106607,0,0,3,3,5,5,0,0,0,20,0,0,9,3,3,5,0,0,0,22,0,0,5,3,0,0,4,0,0,13,0,0,5,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,8,5,5,0,23,23,15,52,42,43,47,38,28,10,307
2106608,0,0,4,7,10,14,5,0,0,42,0,0,0,8,14,14,10,3,0,45,0,0,4,8,10,5,0,0,0,36,0,0,0,4,3,8,0,0,0,19,0,0,0,6,14,6,3,0,0,30,0,0,0,3,3,6,0,0,0,19,0,0,3,0,5,4,13,0,0,32,47,19,32,68,103,103,83,31,7,492
2106609,0,0,3,10,3,6,3,0,0,26,0,0,0,3,6,3,0,0,0,14,0,0,0,5,3,0,0,0,0,10,0,0,0,3,0,3,0,0,0,9,0,0,0,0,4,4,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,10,3,8,4,0,11,10,3,37,18,25,34,47,46,53,57,49,59,384
2106610,0,0,4,3,5,8,3,0,0,22,0,0,0,3,3,0,0,0,0,13,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,5,4,0,7,3,3,0,0,18,20,15,28,31,39,32,21,16,6,208
2106611,0,0,9,5,4,7,3,0,0,29,0,0,13,5,7,3,0,0,0,27,0,0,3,0,0,3,3,0,0,13,0,0,0,0,9,0,0,0,0,10,0,0,3,6,7,3,0,3,0,17,0,0,0,3,3,0,3,0,0,12,0,0,4,0,6,9,0,3,3,32,24,17,72,47,61,87,51,27,15,396
2106612,0,3,0,0,9,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,17,12,17,10,5,0,79,35,20,61,62,55,71,57,34,5,404
2106613,0,4,10,3,3,3,0,0,0,20,0,0,4,0,3,6,0,0,0,11,0,0,0,5,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,7,7,0,23,17,24,49,28,37,38,46,23,11,282
2106614,0,0,9,9,9,3,8,0,0,34,0,0,0,3,8,0,0,0,0,17,0,0,3,0,4,3,0,0,0,7,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,24,17,25,43,53,39,42,26,11,272
2106615,0,3,4,8,15,4,0,0,3,36,0,0,6,7,3,3,0,0,0,21,0,0,0,0,8,4,0,0,0,14,0,0,3,3,6,0,0,0,0,13,0,0,3,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,4,3,8,0,4,3,0,6,29,38,41,72,76,75,73,47,39,23,474
2106616,0,0,3,3,8,9,0,3,5,34,0,0,7,3,3,4,0,0,0,19,0,0,0,0,5,0,0,0,0,10,0,0,0,0,5,3,0,0,0,9,0,0,4,0,0,0,0,0,0,5,0,0,0,3,0,4,0,0,0,6,4,4,0,3,0,3,8,11,0,33,17,23,42,47,53,66,65,46,24,384
2106617,0,0,13,13,4,11,4,0,0,51,0,3,4,8,12,0,0,0,0,28,0,0,5,4,4,3,0,0,0,23,0,0,3,0,0,3,0,0,0,12,0,0,3,4,6,4,0,0,0,17,0,0,0,0,8,0,0,0,3,9,6,3,3,3,3,3,6,9,0,34,49,24,53,70,86,84,66,53,10,493
2106618,0,0,6,3,5,9,4,0,0,29,0,0,3,3,10,7,3,0,0,20,0,0,3,0,3,7,0,0,0,14,0,0,0,3,3,5,0,0,0,7,0,0,0,0,3,3,3,0,0,15,0,0,0,3,0,0,0,0,0,3,7,3,0,0,0,7,5,3,4,35,30,16,29,29,59,91,71,34,18,392
2106619,0,0,9,3,4,4,0,0,0,20,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,7,8,11,9,0,51,25,31,59,44,65,57,46,37,11,369
2106620,0,3,4,6,7,0,0,0,0,27,0,0,9,3,4,3,0,0,0,15,0,0,9,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,7,0,3,12,4,0,0,3,0,27,33,12,68,72,72,40,26,27,3,356
2106621,0,3,3,10,6,5,0,0,0,29,0,0,3,3,4,4,0,0,0,16,0,0,0,8,0,0,0,0,0,8,0,0,0,0,6,0,3,0,0,9,0,0,0,3,3,4,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,5,18,27,41,44,44,53,25,16,5,267
2106622,0,0,3,12,3,0,0,0,0,28,0,3,3,5,0,4,0,0,0,15,0,0,5,4,0,0,0,0,0,13,0,0,0,3,6,5,0,0,0,9,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,13,18,24,32,36,37,49,25,22,9,255
2106623,0,4,5,3,4,12,3,0,0,31,0,3,7,9,0,0,0,0,0,23,0,0,8,3,7,3,0,0,0,21,0,0,4,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,5,7,5,5,3,0,0,3,0,0,19,21,33,70,52,39,47,37,29,11,327
2106624,0,5,5,4,10,6,0,0,0,25,0,0,0,3,3,3,0,0,0,11,0,0,0,5,4,3,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,3,0,0,0,3,0,5,0,0,21,16,14,41,27,46,46,23,13,13,239
2106625,0,0,7,9,7,4,0,0,0,31,0,0,3,4,9,0,0,0,0,16,0,0,0,4,4,0,0,0,0,10,0,0,0,3,6,0,0,0,0,11,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,10,0,6,10,6,3,3,0,0,35,40,22,31,52,66,36,35,19,13,319
2106626,0,0,4,3,0,4,0,0,0,10,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,3,3,7,8,4,0,34,13,26,32,33,27,39,43,21,0,231
2106627,0,0,3,3,5,4,0,0,0,15,0,0,0,6,0,3,0,0,0,14,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,7,3,3,0,24,19,24,30,35,38,34,34,17,9,243
2106628,0,0,8,3,6,3,0,0,0,19,0,0,7,3,3,0,0,0,0,7,0,0,5,3,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,3,3,0,21,13,15,48,35,25,39,25,30,0,214
2106629,0,0,9,4,9,3,3,0,0,33,0,0,4,6,0,3,0,3,0,20,0,0,0,3,4,0,0,0,0,11,0,0,0,0,3,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,19,29,19,49,56,69,42,49,51,17,380
2106630,0,0,9,5,3,3,3,0,0,27,0,0,0,3,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,3,3,3,6,3,7,7,7,4,4,44,24,36,57,67,50,53,52,24,16,382
2106631,0,3,3,0,3,4,0,3,0,21,0,0,0,0,4,3,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,4,3,3,5,0,32,14,29,44,40,48,33,31,18,8,274
2106632,0,0,7,7,12,7,0,0,0,26,0,0,0,3,11,3,3,0,0,22,0,0,3,6,7,0,0,0,0,16,0,0,3,0,7,0,0,0,0,8,0,0,0,3,14,3,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,3,3,7,3,3,7,8,38,24,27,55,54,70,50,38,34,46,386
2106633,0,0,0,0,9,5,4,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11,13,3,7,17,14,17,14,3,107
2106634,0,4,3,11,6,6,0,0,0,29,0,0,3,3,7,3,0,0,0,12,0,0,0,6,5,3,0,0,0,18,0,0,0,3,0,4,0,0,0,7,0,3,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,3,0,3,16,24,30,30,43,45,49,51,33,12,317
2106635,0,0,3,5,5,9,0,0,0,26,0,0,0,0,3,3,3,0,0,14,0,0,0,3,3,3,0,0,0,12,0,0,4,3,3,3,0,0,0,7,0,0,0,4,3,7,0,0,0,12,0,0,0,0,4,0,3,3,0,16,0,0,4,3,3,10,0,0,3,28,28,17,36,37,54,70,40,20,13,319
2106636,0,0,3,4,8,0,0,0,0,19,0,0,4,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,5,3,8,6,11,3,44,21,15,39,53,41,43,46,40,9,306
2106637,0,0,4,0,0,6,0,0,0,11,0,0,8,0,3,3,0,0,0,13,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,4,9,7,11,45,7,19,31,34,39,52,40,57,22,313
2106638,0,0,0,0,0,3,0,0,0,8,0,0,3,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,7,4,3,0,0,0,26,18,16,15,34,32,31,21,11,6,176
2106639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
2106641,0,0,3,3,6,0,0,0,0,18,0,0,0,3,3,0,0,0,0,4,0,0,0,3,3,0,3,0,0,12,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,11,4,9,6,3,0,40,8,15,21,30,40,44,28,16,3,203
2106642,0,0,4,5,9,4,3,3,0,39,0,0,3,0,0,3,4,3,0,18,0,0,4,3,5,4,3,0,0,19,0,0,0,3,4,4,0,4,0,16,0,0,3,3,10,0,3,0,0,21,0,0,0,0,3,0,0,0,0,3,0,0,4,7,3,0,6,7,0,27,25,16,49,50,74,76,82,53,13,437
2106643,0,0,3,3,0,3,0,0,0,14,0,0,0,0,0,4,0,3,0,11,0,0,0,0,3,0,0,3,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,7,0,0,0,3,3,9,5,5,11,33,17,30,19,23,11,167
2106644,0,0,8,0,4,0,5,3,0,20,0,0,0,3,0,3,0,0,0,8,0,0,0,0,3,3,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,10,10,6,22,35,27,25,32,18,3,188
2106645,0,0,7,3,0,9,0,0,0,13,0,0,3,0,4,3,0,0,0,17,0,0,3,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0,0,3,3,0,4,3,0,3,8,3,3,32,12,19,39,32,37,33,43,17,22,251
2106646,0,7,9,8,12,5,3,0,0,41,0,0,8,3,6,3,0,0,0,21,0,0,5,4,3,4,0,0,0,19,0,0,0,3,3,5,0,0,0,11,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,3,3,7,4,4,0,0,36,31,28,66,61,76,68,45,24,10,419
2106647,0,0,0,8,3,3,0,0,0,12,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,4,0,0,22,12,13,20,31,28,28,36,16,3,187
2106648,0,0,0,3,6,3,4,0,0,14,0,0,0,4,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,3,0,3,17,17,10,15,22,25,24,23,5,10,147
2106649,0,0,9,6,7,4,0,0,3,30,0,0,8,4,6,0,3,0,0,19,0,0,5,8,0,0,0,0,0,18,0,0,0,5,0,0,0,0,0,11,0,0,0,3,3,5,0,0,0,15,0,0,0,8,0,3,0,0,0,16,0,0,4,0,4,9,33,79,187,316,15,5,36,55,37,47,88,172,254,710
2106650,0,3,9,4,4,9,3,0,0,31,0,5,0,10,0,5,0,0,0,22,0,0,0,3,9,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,3,6,0,4,0,3,3,38,26,35,69,54,45,61,45,34,13,388
2106651,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,6,0,0,21
2106701,0,0,3,9,7,6,5,0,0,32,0,0,0,3,5,5,0,0,0,14,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,7,0,0,0,7,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,10,3,5,4,3,7,6,3,0,40,22,18,19,44,45,57,43,15,7,270
2106702,0,0,0,3,3,7,0,0,0,11,0,0,0,0,9,3,0,0,0,16,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,3,19,13,14,20,20,43,48,58,16,8,237
2106703,0,3,0,3,8,3,3,0,0,19,0,0,6,3,10,0,0,0,0,14,0,0,4,12,3,7,3,0,0,25,0,0,3,3,0,0,3,0,0,12,0,0,0,6,4,3,0,0,0,22,0,0,0,4,3,3,0,0,0,10,13,5,8,7,9,7,10,4,0,59,28,22,46,74,88,82,75,18,10,446
2106704,0,0,0,4,6,3,3,0,0,15,0,0,0,5,3,3,0,0,0,14,0,0,0,3,0,4,0,0,0,12,0,0,0,4,5,0,0,0,0,8,0,0,3,5,3,3,0,0,0,11,0,0,0,0,0,3,0,0,0,8,8,0,0,4,4,8,7,0,0,33,22,15,14,45,54,53,44,9,0,255
2106705,0,3,4,0,6,8,0,0,0,24,0,0,3,0,10,0,0,0,0,16,0,0,0,0,9,9,0,0,0,19,0,0,0,0,3,4,3,0,0,8,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,0,0,12,13,4,12,9,0,51,23,8,26,46,74,63,49,26,4,318
2106706,0,0,3,4,4,6,0,0,0,16,0,0,3,0,3,3,0,0,0,13,0,0,0,4,0,6,0,0,0,9,0,0,0,0,3,0,0,0,0,4,0,0,3,0,5,5,0,0,0,19,0,0,0,0,0,3,0,0,0,3,0,0,4,0,9,9,4,0,0,29,10,12,32,36,54,66,69,12,5,305
2106707,0,0,0,0,6,5,0,0,0,22,0,0,5,3,5,0,0,0,0,10,0,0,3,3,3,3,0,0,0,17,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,4,0,0,7,0,0,0,0,3,5,0,0,0,5,4,0,0,0,9,3,4,6,0,28,18,7,16,22,46,55,36,24,4,231
2106708,0,0,3,6,4,3,0,0,0,18,0,0,0,0,3,0,5,0,0,13,0,0,0,0,3,0,3,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,6,9,9,14,28,41,37,35,10,3,187
2106709,0,0,0,0,0,10,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,13,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,3,4,0,0,22,5,7,17,32,25,36,33,21,4,185
2106710,0,0,4,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,3,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,4,4,3,5,5,0,0,24,16,11,26,24,26,31,27,11,3,172
2106711,0,0,0,0,5,3,0,0,0,13,0,0,0,8,3,0,3,0,0,13,0,0,3,3,0,3,0,0,0,11,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,3,0,0,0,0,6,0,0,3,16,25,3,7,37,30,39,35,8,6,190
2106712,0,0,5,8,5,3,0,0,0,22,0,0,3,3,0,3,0,0,0,13,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,3,0,0,17,12,8,27,38,30,39,31,18,3,197
2106713,0,4,4,3,9,10,3,0,0,32,0,0,3,6,9,6,0,0,0,19,0,0,6,6,5,0,0,0,0,23,0,0,0,3,3,0,0,0,0,6,0,0,0,3,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,8,3,4,16,9,0,6,3,0,43,19,15,34,66,64,48,54,18,0,318
2106714,0,3,6,3,0,5,0,0,0,23,0,0,3,4,8,3,0,0,0,14,0,0,0,0,4,3,0,0,0,8,0,0,0,5,3,0,0,0,0,7,0,0,0,0,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,4,4,4,0,16,15,11,23,27,44,46,18,18,7,206
2106715,0,0,3,3,7,3,0,0,0,15,0,0,0,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,17,21,8,15,31,42,47,31,20,4,215
2106716,0,3,3,0,4,10,0,0,0,13,0,0,0,0,5,0,0,0,0,11,0,0,0,0,4,9,0,0,0,11,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,0,16,10,5,24,23,34,65,48,13,5,217
2106717,0,0,3,14,10,4,5,0,0,34,0,0,0,0,10,9,0,0,0,13,0,0,4,0,7,5,3,0,0,16,0,0,0,6,0,0,0,0,0,8,0,0,3,4,3,0,5,0,0,17,0,0,0,4,3,0,0,0,0,8,4,0,0,3,3,9,3,0,0,24,28,7,25,49,79,65,64,21,7,335
2106718,0,3,3,4,8,3,3,0,3,28,0,0,0,3,3,5,0,0,0,13,0,0,3,3,3,3,0,0,0,9,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,3,3,0,0,14,0,0,0,3,5,4,0,0,0,8,3,0,0,0,0,0,0,0,0,7,24,15,18,22,48,44,27,14,7,210
2106719,0,0,0,3,3,3,0,0,0,15,0,0,3,3,9,0,3,0,0,12,0,0,0,3,3,0,0,0,0,16,0,0,0,3,3,3,0,0,0,7,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,4,0,0,0,3,7,3,3,3,6,8,5,3,0,37,22,12,11,43,59,51,40,17,4,257
2106720,0,3,0,5,6,4,6,0,0,22,0,0,0,3,5,3,0,0,0,16,0,0,0,3,5,4,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,0,0,3,3,7,12,0,0,32,41,13,12,38,53,49,59,14,3,280
2106721,0,0,3,3,3,3,0,3,0,21,0,0,6,7,8,3,0,0,0,21,0,0,0,0,3,0,0,0,0,5,0,0,4,0,0,4,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,0,0,17,19,15,33,41,51,58,37,23,4,276
2106722,0,0,6,7,12,4,0,0,0,30,0,0,0,3,4,3,3,0,0,15,0,0,0,0,3,0,0,0,0,9,0,0,6,0,6,0,0,0,0,11,0,0,0,0,9,0,0,0,0,15,0,0,0,4,0,3,0,0,0,8,3,3,3,0,0,3,12,7,0,28,22,21,42,43,64,61,44,23,8,325
2106723,0,0,0,4,6,4,0,0,0,13,0,0,5,4,5,4,0,0,0,16,0,0,0,0,5,3,0,0,0,15,0,0,0,3,5,3,0,0,0,15,0,0,0,3,7,5,0,0,0,19,0,0,0,0,5,3,0,0,0,9,7,0,0,4,8,3,3,3,0,33,29,8,19,51,59,74,58,19,0,319
2106724,0,0,3,3,3,8,3,0,0,31,0,0,4,4,0,3,0,0,0,10,0,0,3,0,3,3,0,0,0,6,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,17,9,11,33,39,32,54,53,4,3,248
2106725,0,0,3,9,3,10,10,0,0,32,0,0,3,6,0,5,0,0,0,18,0,0,0,3,0,5,0,0,0,12,0,0,0,3,3,0,0,0,0,9,0,0,0,0,5,7,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,12,24,7,33,44,40,66,34,13,3,261
2106726,0,4,3,0,7,7,0,0,3,20,0,0,0,4,3,3,3,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,4,3,0,0,3,4,16,3,3,0,34,14,7,18,29,45,66,21,21,6,217
2106727,0,0,5,4,3,3,0,0,0,18,0,0,4,3,3,0,3,0,0,15,0,0,0,3,3,3,0,0,0,13,0,0,4,3,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,7,0,0,0,3,0,0,0,0,0,3,3,0,0,3,4,3,5,4,0,18,10,5,20,38,51,38,34,16,4,217
2106728,0,0,3,3,0,3,0,0,0,14,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,12,11,7,3,0,0,47,17,9,17,34,47,59,33,16,0,242
