SA1_7DIGITCODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
2109019,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22,10,13,13,0,0,67,0,0,0,0,0,0,0,0,10,22,15,12,18,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,10,0,0,0,0,0,0,0,0,4,0,3,0,3,3,0,12,14,21,16,15,19,3,0,86
2109020,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,3,11,11,12,11,4,0,53,0,0,0,0,0,0,0,0,3,16,18,14,10,4,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,7,3,0,0,0,15,9,17,17,16,12,3,0,82
2109021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,6,6,5,0,0,42,0,0,0,0,0,0,0,0,17,4,6,6,5,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,15,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,11,20,13,11,13,5,0,0,54
2109022,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,11,0,0,0,0,0,0,0,0,17,17,3,5,6,0,0,52,0,0,0,0,0,0,0,0,18,21,3,3,10,0,3,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,3,0,0,19,0,0,0,0,0,0,0,0,3,3,3,4,3,0,0,19,24,28,12,7,11,0,3,86
2109023,5,7,3,0,0,3,0,12,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,4,20,30,18,13,11,3,0,97,0,0,0,0,0,0,0,0,31,38,17,18,16,7,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,7,0,0,23,0,0,0,0,0,0,0,0,3,3,4,0,7,0,0,23,31,44,25,18,22,5,0,145
2109024,0,0,0,0,0,0,0,0,3,4,3,0,3,0,0,12,3,0,0,0,0,0,0,5,6,11,3,3,5,0,0,32,0,0,0,0,0,0,0,0,14,21,3,3,4,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,13,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,13,16,24,5,8,11,0,0,61
2109025,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,4,21,21,10,8,9,3,0,63,0,0,0,0,0,0,0,0,23,20,17,8,13,4,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,17,8,13,4,0,80
2109026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,15,17,3,0,3,0,0,48,0,0,0,0,0,0,0,3,21,24,8,4,3,0,0,52,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,0,3,0,0,15,0,0,0,0,0,0,0,0,3,8,3,0,7,0,0,24,22,28,10,4,10,3,0,78
2109101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,18,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,3,4,3,0,0,16,0,0,0,0,0,0,0,0,0,7,0,4,3,0,0,14,3,14,8,3,7,0,0,35
2109102,0,3,0,0,0,0,0,8,3,3,0,3,3,0,0,12,0,3,3,3,0,0,0,9,16,8,9,4,3,0,0,42,0,0,0,0,0,0,0,0,21,14,15,9,5,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,3,0,0,25,0,0,0,0,0,0,0,0,0,7,6,6,3,0,0,30,24,20,24,17,13,3,0,102
2109103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,19,22,10,11,9,0,0,69,0,0,0,0,0,0,0,0,19,24,10,10,13,3,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,17,24,21,17,14,10,3,0,95
2109104,4,3,0,0,0,0,0,10,9,3,3,0,0,0,0,18,4,3,0,0,0,0,0,10,50,39,11,13,13,0,0,126,0,0,0,0,0,0,0,0,67,46,17,20,14,3,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,5,6,3,3,4,7,0,0,24,0,0,0,0,0,0,0,0,6,12,3,4,10,3,0,39,77,57,21,20,22,3,0,204
2109105,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,3,11,3,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,9,0,0,0,0,0,0,0,0,0,0,9,3,5,0,0,17,4,10,7,6,9,4,0,36
2109106,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,22,0,0,0,0,0,0,0,0,3,7,0,0,8,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,12,9,12,0,4,9,0,0,34
2109107,0,5,3,0,5,0,0,11,0,3,0,0,0,0,0,8,3,3,0,0,3,0,0,9,18,29,19,13,18,7,0,102,0,0,0,0,0,0,0,3,27,33,20,15,26,9,0,134,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,4,0,3,0,0,0,0,9,0,14,6,4,6,3,0,31,0,0,0,0,0,0,0,0,10,14,13,4,4,3,0,49,33,46,35,14,31,12,0,180
2109108,0,3,0,0,0,0,0,4,0,3,3,0,0,0,0,7,4,3,3,0,0,0,0,10,40,40,19,6,4,0,0,112,0,3,0,0,0,0,0,3,46,49,22,10,6,0,0,136,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,0,0,0,0,3,7,5,7,0,7,0,0,21,0,0,0,0,0,0,0,0,5,9,11,0,5,0,0,36,57,57,31,10,14,0,0,170
2109109,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,7,3,0,0,0,0,10,20,24,9,6,6,4,0,78,0,0,0,0,0,0,0,0,28,31,12,4,9,4,0,95,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,3,10,0,4,0,0,0,15,0,0,3,0,0,0,0,6,9,11,7,12,0,0,0,31,33,41,16,16,10,4,0,129
2109110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,3,3,3,4,0,0,14,0,0,0,0,0,0,0,0,7,3,4,3,7,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,9,3,4,3,9,0,0,29
2109111,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,8,4,3,0,3,0,0,16,0,0,0,0,0,0,0,3,9,7,8,0,3,0,0,29,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,10,15,6,0,3,0,0,36
2109112,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,14,18,4,7,10,3,0,55,0,0,0,0,0,0,0,0,13,17,4,7,12,3,0,63,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,5,5,3,3,3,0,0,20,0,0,0,0,0,0,0,0,6,5,4,3,3,0,0,21,21,21,11,11,13,3,0,79
2109113,0,3,0,0,0,0,0,3,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,6,23,4,3,6,3,0,43,0,0,0,0,0,0,0,0,11,23,6,3,13,3,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,14,11,25,8,3,14,3,0,67
2109114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,6,8,5,0,0,0,0,24,0,0,0,0,0,0,0,0,7,6,8,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,8,0,0,0,0,27
2109115,0,3,0,0,0,0,0,3,3,0,3,3,0,0,0,7,0,0,0,0,0,0,0,3,6,8,8,4,7,3,0,38,0,0,0,0,0,0,0,0,6,11,10,8,4,0,0,44,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,15,8,22,15,6,4,7,0,59
2109116,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,12,7,0,4,3,3,0,35,0,0,0,0,0,0,0,0,16,9,4,4,4,3,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,8,0,3,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,4,0,4,3,0,24,16,14,8,7,13,4,0,71
2109117,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,6,7,3,8,0,0,36,0,0,0,0,0,0,0,0,17,9,9,3,8,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,6,19,17,7,4,7,0,0,54
2109118,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,3,7,7,9,0,5,0,0,29,0,0,0,0,0,0,0,3,8,15,9,0,5,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,8,14,9,0,5,0,0,39
2109119,4,3,3,3,0,0,0,13,3,4,0,0,0,0,0,6,0,4,3,0,0,0,0,7,30,31,21,11,13,3,0,120,0,0,0,0,0,0,0,0,36,42,30,17,15,3,0,144,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,18,15,3,3,0,0,43,0,0,0,0,0,0,0,7,8,23,15,9,10,0,0,56,47,69,41,25,22,9,0,204
2109120,0,0,0,0,0,0,0,3,0,3,4,3,0,0,0,12,0,3,0,0,0,0,0,5,13,21,13,3,4,3,0,53,0,0,0,0,0,0,0,0,12,23,19,6,3,3,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,7,8,5,0,0,28,0,0,0,0,0,0,0,0,9,3,6,4,5,0,0,34,23,26,24,12,10,3,0,98
2109121,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,3,0,0,18,0,0,0,0,0,0,0,0,12,6,7,3,3,0,0,25,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,7,0,4,3,0,0,14,0,0,0,0,0,0,0,0,5,6,0,4,3,0,0,25,15,17,6,5,4,0,0,49
2109122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,3,6,10,6,3,9,0,0,34,0,0,0,0,0,0,0,0,12,12,6,3,9,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,10,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,13,17,15,11,3,6,0,0,57
2109123,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,7,3,4,0,0,0,23,0,0,0,0,0,0,0,0,8,13,3,4,0,0,0,29,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,13,0,0,0,0,0,0,0,0,0,9,3,3,6,0,0,21,12,21,4,6,5,3,0,55
2109124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2109201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
2109301,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,10,4,3,0,0,0,0,0,11,27,13,11,7,16,0,0,64,0,0,0,0,0,0,0,0,36,17,14,7,16,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,7,0,0,0,21,0,0,3,0,0,0,0,3,3,8,3,7,0,0,0,24,39,28,18,10,21,0,0,110
2109302,3,3,0,0,0,0,0,3,3,3,3,0,0,0,0,10,0,0,0,0,0,0,0,4,3,14,4,3,3,0,0,37,0,0,0,0,0,0,0,0,10,26,5,3,8,0,0,54,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,4,6,0,0,4,0,0,19,0,0,0,0,0,0,0,3,4,8,7,0,4,0,0,20,12,29,16,3,11,3,0,76
2109303,0,3,0,0,0,0,0,3,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,3,11,13,14,9,0,0,0,49,0,0,0,0,0,0,0,0,18,17,17,10,5,0,0,57,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,5,6,4,3,3,0,18,18,20,18,11,8,5,0,76
2109304,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,5,5,7,3,8,9,3,0,39,0,0,0,0,0,0,0,0,7,12,8,7,12,3,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,12,9,12,12,12,3,0,56
2109305,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,5,6,7,7,3,6,0,34,0,0,0,0,0,0,0,0,9,6,3,7,9,6,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,6,3,7,9,6,0,41
2109306,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,6,17,23,16,13,13,3,0,86,0,0,0,0,0,0,0,0,16,34,16,15,16,3,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,8,19,37,16,15,19,3,0,106
2109307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,8,10,3,0,0,0,27,0,0,0,0,0,0,0,0,7,8,10,3,4,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,9,8,8,8,3,6,0,0,44
2109308,3,0,0,0,0,0,0,3,4,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,8,5,5,0,0,0,0,20,0,0,0,0,0,0,0,0,17,8,3,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,4,0,0,0,0,26,0,0,0,0,0,0,0,0,11,9,4,0,0,0,0,28,23,19,6,5,4,0,0,60
2109309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,9,13,4,5,11,0,0,41,0,0,0,0,0,0,0,0,9,13,10,5,12,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,13,14,10,5,12,0,0,57
2109310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,8,14,10,9,0,4,3,0,35,0,0,0,0,0,0,0,0,16,9,10,3,8,3,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,3,0,0,16,0,0,0,0,0,0,0,0,3,9,0,0,4,0,0,17,19,22,8,3,10,3,0,65
2109311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2109312,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,3,0,0,3,3,0,0,9,32,21,4,7,7,3,0,67,0,0,0,0,0,0,0,0,37,25,7,10,7,3,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,0,0,0,0,19,0,0,0,0,0,0,0,0,3,14,4,0,0,0,0,29,45,38,11,12,11,3,0,112
2109313,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,0,5,4,0,0,26,0,0,0,0,0,0,0,0,7,5,8,4,5,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,13,8,10,7,5,0,0,41
2109314,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,3,0,0,3,0,0,9,0,0,0,0,0,0,0,0,12,3,0,0,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,0,5,0,0,21,0,0,0,0,0,0,0,0,6,3,6,0,4,0,0,22,21,9,8,0,11,0,0,45
2109315,6,7,0,0,0,0,0,12,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,14,15,14,7,20,5,0,79,0,0,0,0,0,0,0,0,24,19,10,7,22,5,0,93,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,12,7,0,4,0,0,26,0,0,0,0,0,0,0,0,6,13,7,0,5,0,0,32,35,32,15,11,25,4,3,121
2109316,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,11,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,4,0,0,16,0,0,0,0,0,0,0,0,0,4,8,3,4,0,0,16,3,4,4,4,7,0,0,26
2109317,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,7,0,0,3,0,0,0,0,3,31,29,14,9,8,3,0,85,0,0,0,0,0,0,0,0,34,30,14,9,13,4,0,99,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,4,5,0,3,3,3,0,17,3,0,0,0,0,0,0,0,6,7,0,10,8,4,0,30,41,36,17,18,19,6,0,135
2109318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,8,8,5,0,4,0,0,29,0,0,0,0,0,0,0,0,17,11,5,0,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,7,3,3,4,0,0,22,0,0,3,0,0,0,0,3,5,6,4,4,8,3,0,33,25,14,13,9,12,3,0,73
2109319,3,0,0,0,0,0,0,3,3,8,0,0,3,0,0,12,0,0,0,0,0,0,0,0,22,26,14,7,13,0,0,74,0,0,0,0,0,0,0,0,26,27,18,5,13,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,11,8,0,0,5,0,0,34,0,0,0,0,0,0,0,0,11,5,0,3,10,3,0,33,42,39,20,10,25,3,0,133
2109320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,8,17,6,9,4,4,0,0,43,0,0,0,0,0,0,0,0,16,17,8,4,4,0,0,51,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,10,3,3,0,0,0,0,15,25,19,10,10,4,0,0,70
2109321,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,3,7,0,0,23,0,0,0,0,0,0,0,0,9,6,5,3,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,0,0,0,13,0,0,0,0,0,0,0,0,7,3,0,3,0,0,0,13,14,13,6,4,6,3,0,45
2109322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,10,11,9,5,3,6,0,43,0,0,0,0,0,0,0,0,6,13,4,8,3,4,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,3,0,0,0,17,0,0,0,0,0,0,0,0,6,4,0,3,0,0,0,17,13,21,6,12,4,5,0,64
2109324,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,4,3,0,0,3,0,0,0,11,8,23,3,4,3,0,0,41,0,0,0,0,0,0,0,0,13,22,4,11,5,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,6,5,0,0,21,0,0,0,0,0,0,0,0,8,3,3,6,5,0,0,24,20,26,10,14,13,4,0,81
2109325,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,3,0,0,0,0,0,0,3,13,12,3,3,7,0,0,35,0,0,0,0,0,0,0,0,13,16,5,3,7,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,11,16,15,6,5,11,0,0,51
2109326,0,5,0,0,0,0,0,4,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,16,15,10,3,5,3,0,53,0,0,0,0,0,0,0,0,16,22,11,0,4,3,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,8,0,6,0,3,41,0,0,0,0,0,0,0,0,7,16,12,3,6,0,3,40,24,37,21,9,11,7,4,108
