CED_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
CED223,0,15,7,53,109,244,257,211,74,973,10,27,31,174,47,78,37,21,3,427,32,93,178,1182,176,140,101,37,16,1953,4,9,23,106,28,30,16,11,4,231,7,27,39,382,53,42,20,3,3,579,0,4,3,36,19,10,0,3,0,79,0,17,10,172,97,55,72,37,11,463,4,10,18,83,131,409,657,538,255,2107,3,17,21,123,49,22,10,4,8,261,0,29,26,114,22,13,5,0,0,210,0,3,8,61,90,76,63,35,8,346,7,38,81,397,141,204,123,39,9,1037,0,0,3,8,15,64,101,39,3,231,0,0,8,42,29,36,24,6,6,158,0,0,12,26,6,4,3,0,0,64,0,4,11,55,4,0,0,0,0,68,0,24,3,61,37,44,98,64,23,361,18,106,145,619,325,246,121,42,18,1639,0,10,3,28,17,21,35,14,9,130,0,7,26,100,23,12,8,0,0,179
CED224,3,10,16,31,121,227,365,477,166,1416,27,112,199,472,285,312,145,55,6,1619,87,235,417,2156,310,205,167,61,32,3666,10,28,141,333,66,60,51,22,3,707,6,20,44,354,77,44,43,8,0,598,18,23,26,83,17,3,3,3,0,170,0,16,14,161,66,65,47,33,25,431,0,12,10,112,110,183,405,390,213,1439,4,18,55,137,70,19,28,9,7,347,5,61,129,315,114,33,14,3,0,660,0,0,5,17,42,20,17,11,8,118,11,90,397,914,541,562,370,132,24,3039,0,0,0,8,8,25,33,4,6,88,0,3,8,51,29,18,6,3,3,124,0,0,3,16,14,13,3,7,3,61,0,0,37,59,3,7,0,0,0,111,0,21,12,52,29,45,66,29,14,272,26,167,291,793,393,322,191,99,33,2312,0,3,3,20,19,17,14,6,13,99,5,8,41,104,23,16,5,0,0,216
CED225,0,6,7,23,38,58,52,27,11,228,4,17,16,79,29,27,11,7,0,189,43,222,291,2059,569,272,179,62,22,3728,3,20,33,133,38,28,6,10,3,273,0,27,20,123,41,25,3,0,0,252,0,18,11,39,15,6,3,0,0,93,0,18,3,94,73,68,51,48,13,375,0,3,12,45,84,175,207,150,63,733,0,8,13,48,13,7,11,0,0,109,0,41,33,153,52,15,12,0,0,296,3,4,11,60,50,37,14,10,0,189,10,61,81,211,133,94,52,13,7,653,0,0,0,7,21,44,64,30,8,170,0,8,41,244,176,165,103,39,11,781,0,0,0,26,3,0,3,0,4,32,3,5,7,44,10,0,0,0,0,61,0,10,5,74,79,226,366,183,73,1019,39,260,341,783,533,342,155,49,5,2516,0,3,3,38,54,52,57,34,4,250,9,64,78,211,68,37,11,3,0,469
CED226,0,26,14,46,102,140,170,118,28,649,13,31,49,313,84,103,20,3,3,620,519,1475,1900,17273,1170,842,410,129,16,23744,11,55,92,1024,133,74,47,16,4,1453,4,63,44,332,62,23,11,0,0,544,5,26,41,130,62,31,13,4,0,309,3,34,28,176,66,44,52,29,8,431,3,20,20,114,191,417,521,406,165,1862,4,24,20,137,36,8,10,4,3,239,19,86,62,424,81,42,15,9,3,741,4,44,91,497,195,88,62,20,3,1006,69,206,210,1003,265,264,97,25,3,2142,0,9,17,82,150,407,413,182,29,1295,0,29,52,359,70,53,40,11,0,614,8,103,329,1082,351,193,91,47,17,2220,0,32,65,340,31,15,9,3,0,490,0,9,3,50,23,74,101,37,9,316,288,1510,1393,3041,994,620,193,64,9,8108,3,12,11,46,37,55,53,13,5,232,78,244,219,1403,136,55,25,3,3,2175
CED227,0,0,3,3,17,28,81,68,20,217,0,3,9,52,5,10,3,0,0,87,18,63,48,635,65,40,28,13,3,923,4,3,10,38,12,8,3,0,0,77,0,5,8,23,3,0,0,0,0,45,0,8,7,26,18,0,0,0,0,55,0,3,3,33,17,9,16,5,9,97,0,8,4,31,51,141,286,303,128,952,0,3,10,30,0,3,3,0,0,52,3,3,27,60,0,4,0,0,0,94,0,0,0,5,3,3,0,4,0,11,9,13,94,249,39,20,8,3,0,440,0,0,0,0,3,13,20,6,0,38,0,6,0,14,0,0,6,0,0,30,0,6,18,69,15,13,3,3,0,117,0,0,10,44,0,0,0,0,0,60,0,0,3,29,17,76,129,50,13,321,13,57,108,284,201,145,108,35,9,965,0,3,0,4,4,10,15,0,0,42,0,23,10,51,10,3,3,0,0,103
CED228,4,17,37,69,145,309,550,596,158,1876,4,9,60,293,71,78,25,7,6,548,152,295,1045,4033,336,265,196,79,38,6433,3,9,40,217,27,17,16,3,4,340,7,67,57,393,64,32,13,13,4,651,8,33,35,110,50,17,4,5,0,261,9,25,13,202,48,35,52,26,21,426,8,29,47,204,288,843,1568,1606,662,5247,0,16,15,103,37,15,8,5,0,199,3,22,38,194,35,8,10,4,0,317,3,8,23,103,139,115,77,46,5,508,61,95,105,477,99,112,46,17,8,1021,0,0,9,43,105,475,1007,575,155,2369,0,0,9,93,24,27,25,11,8,201,7,94,153,429,60,26,8,0,0,779,3,17,145,375,8,15,7,0,0,570,3,0,3,31,14,28,69,41,18,197,67,286,408,880,291,180,80,16,7,2208,0,0,0,16,11,15,22,15,8,97,21,49,192,705,29,18,11,0,0,1030
CED229,0,20,35,62,103,140,134,65,14,569,0,8,11,70,20,19,3,3,0,137,106,436,580,5054,504,373,176,64,24,7309,0,16,21,123,25,7,10,7,0,222,4,45,43,221,53,22,17,3,0,411,14,155,263,1000,335,149,94,34,3,2041,3,43,16,146,74,67,57,33,7,442,4,17,36,94,294,559,581,275,77,1945,3,15,10,42,14,7,0,0,3,94,5,14,16,72,17,6,5,0,0,133,5,11,19,219,124,70,43,10,3,503,3,45,53,214,99,74,28,14,3,544,0,3,9,54,71,282,296,82,18,818,0,14,20,120,39,27,14,6,3,230,0,4,8,14,7,3,0,0,0,40,0,20,33,177,7,0,4,0,0,243,0,10,4,38,39,84,176,62,28,431,100,543,471,1173,572,342,153,52,18,3405,0,3,3,24,51,37,54,20,4,195,40,100,74,455,57,42,11,5,0,780
CED230,0,0,0,13,15,20,35,34,14,134,0,3,9,34,14,9,3,0,0,73,43,84,98,1120,115,95,81,22,4,1668,4,6,11,65,20,3,15,9,4,129,0,3,3,35,11,4,0,0,0,60,0,0,3,15,0,3,0,0,0,19,7,23,8,76,36,44,53,62,14,331,0,6,9,28,53,122,231,214,85,738,0,18,3,29,14,9,4,0,3,74,0,0,13,52,7,0,0,0,0,73,0,3,0,17,9,7,5,0,0,39,4,11,19,84,43,20,15,11,4,208,0,0,3,9,16,61,133,68,14,301,3,15,31,135,78,60,36,12,0,368,0,3,7,37,3,3,3,0,0,57,0,0,9,32,5,3,0,0,0,46,3,5,5,63,71,277,554,317,108,1394,39,208,277,754,433,364,241,83,24,2422,0,3,0,17,39,29,62,27,11,191,3,18,20,76,15,6,3,0,0,138
CED231,0,3,14,78,106,188,342,471,143,1340,21,22,731,903,133,107,45,18,11,1993,311,205,784,4448,134,105,74,24,7,6096,7,23,1868,955,55,44,43,12,4,3001,5,12,48,506,43,29,6,3,0,657,0,3,12,46,28,12,5,0,0,108,7,13,23,659,64,51,33,8,14,869,7,13,150,616,103,222,298,392,280,2073,6,20,281,651,90,28,17,0,0,1102,9,24,881,1806,79,20,4,0,0,2821,0,0,10,54,38,17,22,10,3,153,14,59,3176,2733,285,236,124,42,17,6676,0,0,0,19,18,43,59,54,15,208,0,0,81,170,13,15,4,3,3,294,0,4,144,58,11,8,3,7,0,243,0,5,68,151,3,0,0,0,0,226,4,3,48,147,24,47,64,18,7,365,26,69,687,2996,497,342,148,43,15,4821,3,3,4,96,23,17,6,0,3,157,8,10,73,199,15,8,9,0,0,323
CED232,0,12,12,81,123,197,393,522,149,1480,17,32,128,396,61,59,39,11,7,742,120,152,329,2847,181,124,95,42,14,3902,3,16,374,638,58,41,30,9,3,1169,5,4,22,369,20,17,20,4,0,462,0,0,0,34,12,6,13,6,4,72,6,15,89,1199,91,64,47,19,7,1533,10,18,81,570,91,119,190,136,73,1302,30,29,93,446,109,52,16,3,4,777,11,14,152,632,50,9,7,0,0,881,0,0,4,45,19,19,16,4,4,111,12,19,377,1100,159,170,87,24,9,1959,0,0,0,13,14,27,50,21,13,135,0,0,14,144,35,24,18,14,9,255,0,0,3,15,7,6,4,3,7,45,0,3,50,169,4,0,0,0,0,231,8,23,16,142,47,44,79,25,13,394,29,91,451,2448,620,453,194,66,21,4365,0,0,12,134,41,27,14,7,4,228,3,3,26,132,5,4,3,0,0,172
CED233,8,33,34,85,223,510,883,857,238,2865,22,104,241,1008,470,817,331,110,16,3119,22,84,116,882,257,223,187,77,31,1877,3,12,39,217,64,47,52,21,7,469,23,175,174,990,312,200,100,30,4,2014,0,7,6,59,28,27,5,0,0,128,0,12,8,42,41,39,36,28,13,214,6,17,23,80,164,474,1111,1027,420,3318,0,24,24,73,41,18,25,4,10,220,10,76,138,322,157,71,26,11,3,825,0,0,3,60,103,132,73,30,11,414,17,240,459,1242,670,701,446,174,44,4002,0,0,3,9,17,41,72,71,22,233,0,0,0,33,14,19,14,8,0,90,0,8,7,14,3,9,6,5,6,60,0,0,0,19,3,0,0,0,0,22,3,3,9,24,34,51,112,77,44,352,14,106,195,323,252,212,99,58,23,1277,0,0,0,11,22,26,26,16,14,108,15,43,55,193,36,22,18,4,0,390
CED234,0,4,5,10,15,33,68,66,11,217,0,0,10,36,3,5,4,0,0,65,26,109,111,977,131,91,44,18,10,1509,0,4,3,30,7,3,0,10,3,66,5,36,33,43,9,0,0,0,0,125,3,31,90,251,106,30,9,0,0,528,0,19,4,50,17,31,27,26,7,178,0,0,4,24,64,188,443,374,154,1252,0,0,3,19,3,0,0,0,0,32,3,0,16,37,6,3,3,0,0,70,0,0,7,9,3,6,3,0,0,25,9,14,42,179,41,29,3,0,0,316,0,0,0,0,3,20,45,11,0,89,0,0,3,10,3,0,0,0,0,20,0,0,0,16,0,0,0,0,0,24,0,3,3,33,4,3,0,0,0,45,0,3,10,37,31,85,213,87,34,491,27,138,192,435,310,279,185,65,17,1651,0,0,0,9,6,22,28,16,3,88,13,62,37,126,13,8,0,0,0,258
CED235,4,55,75,167,343,722,1029,896,194,3482,4,4,43,127,33,62,16,7,0,297,123,499,1033,6033,672,412,211,64,27,9078,5,23,32,190,43,33,18,4,0,345,25,228,210,759,125,56,22,3,0,1435,18,132,263,940,499,182,72,36,6,2148,3,18,5,97,43,57,33,27,7,299,6,41,56,211,471,1240,1689,1372,539,5632,0,7,21,42,27,9,8,0,3,104,0,3,23,83,29,11,0,0,0,151,9,32,57,464,441,292,133,59,14,1500,16,49,163,326,141,180,88,24,11,988,0,3,0,22,48,240,339,160,42,848,3,9,18,123,36,57,18,15,0,286,0,5,9,34,6,3,3,0,4,60,0,19,71,289,15,15,4,0,0,416,0,3,8,16,12,38,42,24,15,166,64,317,281,613,249,184,57,23,5,1796,0,3,5,4,21,21,35,17,0,112,18,77,86,427,59,36,9,3,0,719
CED236,0,0,0,5,12,13,16,14,3,63,0,0,18,29,4,3,0,0,0,62,3,19,18,191,28,25,16,11,0,307,0,5,9,27,10,7,6,3,0,67,0,0,0,5,0,6,0,0,0,9,0,0,0,8,0,0,0,0,0,10,0,12,17,49,17,35,30,13,5,182,0,0,3,7,14,25,32,24,17,133,0,3,3,21,3,3,4,0,0,41,0,4,44,61,4,0,0,0,0,113,0,0,0,4,3,10,3,0,0,22,0,4,8,36,18,20,3,3,0,99,0,0,0,3,10,23,39,13,4,98,0,3,0,3,0,7,4,0,0,19,0,0,0,10,0,0,3,4,0,20,0,0,4,10,0,0,0,0,0,14,0,3,10,30,40,106,243,115,49,597,22,124,165,502,395,298,158,47,14,1719,0,0,0,9,7,17,30,15,10,82,5,4,0,16,9,0,0,0,0,38
CED237,8,37,36,136,257,497,994,1165,355,3488,3,13,40,188,25,28,9,3,3,313,118,228,461,2857,193,135,102,41,19,4146,46,53,60,437,44,17,15,4,0,675,9,60,58,443,48,26,6,0,0,652,5,44,56,301,149,90,37,34,9,734,7,17,9,326,60,40,19,27,15,513,8,32,68,457,497,1033,1891,2810,1300,8099,0,19,39,233,46,13,14,7,0,364,0,18,24,221,18,10,7,0,0,294,10,28,115,768,639,560,387,140,36,2677,14,29,158,511,88,99,48,14,3,962,0,0,0,22,43,109,266,310,103,856,0,8,15,131,31,12,12,9,0,211,0,6,12,42,19,21,9,3,0,111,8,45,585,1646,39,30,15,3,0,2363,3,10,14,70,29,30,38,14,8,214,26,99,331,1864,383,183,75,21,14,2996,0,0,0,30,12,16,11,13,3,89,133,276,488,1989,126,36,12,7,3,3076
CED294,0,0,0,0,3,4,0,3,0,6,0,0,11,21,0,5,0,0,0,36,10,3,27,87,0,3,4,0,0,130,0,0,0,5,3,0,0,0,0,9,3,3,4,11,3,3,0,0,0,17,3,6,5,9,5,0,3,0,0,27,0,0,5,15,0,0,0,0,0,27,0,0,17,18,6,4,8,0,0,58,0,0,0,9,0,0,0,0,0,11,0,0,13,18,3,0,0,0,0,37,0,0,0,5,0,0,0,0,0,8,0,0,12,27,0,0,0,0,0,42,0,0,0,0,0,0,0,3,0,7,0,0,0,3,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,4,0,0,10,4,0,0,0,0,0,12,0,3,0,8,0,3,12,0,0,29,3,7,24,101,34,31,15,0,0,219,0,0,0,7,0,0,3,0,0,7,0,0,0,9,0,0,0,0,0,11
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
