UCL_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL215004,4,0,3,5,0,0,20,0,8,3,6,12,7,0,0,30,3,22,21,22,25,19,11,9,133,10,16,22,14,25,20,8,3,123,13,38,48,34,51,44,11,0,228,3,3,0,3,0,0,0,0,10,0,3,3,5,5,0,0,0,19,18,43,49,41,54,44,11,0,254,0,3,0,0,0,5,0,0,13,28,21,18,24,35,27,17,8,163,53,123,119,111,149,124,47,18,735
UCL215005,8,6,6,4,0,0,30,0,11,13,7,16,7,0,0,54,5,38,52,28,27,23,3,7,178,6,25,38,30,26,22,12,0,158,39,75,69,66,64,26,10,3,357,3,3,3,7,3,3,0,0,25,0,7,8,10,5,0,5,4,39,39,83,82,79,73,33,13,11,417,0,3,0,0,0,4,3,3,14,27,20,15,36,39,34,34,22,221,77,174,209,192,186,132,66,39,1072
UCL215006,14,16,16,11,11,0,79,0,6,17,20,24,15,3,0,83,8,48,52,62,77,43,33,6,331,14,26,41,34,57,42,30,6,244,21,59,61,66,57,47,15,4,340,0,0,0,0,6,0,0,0,12,0,0,6,9,4,9,5,0,33,25,63,65,76,66,56,23,9,383,0,3,6,3,3,0,4,0,18,25,12,27,31,24,36,25,13,190,66,166,217,247,270,205,123,33,1329
UCL215007,18,6,13,0,0,0,53,0,16,32,14,7,4,0,0,70,21,121,106,47,40,19,3,0,356,21,92,104,74,43,25,15,3,370,75,228,264,184,97,59,14,3,935,6,8,13,4,0,3,0,0,44,6,15,16,16,7,5,4,0,73,97,256,295,209,110,71,27,3,1057,3,0,3,3,6,4,3,0,21,64,26,53,38,45,45,21,12,301,201,516,607,394,252,171,71,18,2231
UCL215008,5,15,10,4,0,0,41,0,0,9,14,5,3,0,0,42,7,36,71,19,32,10,3,0,179,0,30,38,53,22,11,0,0,164,23,86,76,76,39,16,4,0,324,15,0,10,3,0,0,0,0,27,4,8,3,3,0,3,0,0,21,39,92,93,85,39,14,7,3,373,0,0,0,0,0,3,0,0,9,12,12,15,22,12,9,4,0,88,65,176,237,207,128,53,17,4,886
UCL215009,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,14,3,3,5,4,0,0,33,3,9,6,3,8,7,3,0,38,6,20,14,23,27,22,11,0,134,0,0,0,0,0,0,0,0,6,0,3,0,0,4,4,0,0,14,15,28,16,25,38,27,10,0,158,0,0,0,0,3,4,0,0,10,11,4,6,8,8,16,7,3,69,23,55,33,45,71,57,21,3,313
UCL215010,15,9,14,3,4,0,51,3,3,4,16,12,7,0,0,52,15,29,68,57,41,33,3,0,246,6,21,41,32,33,27,7,3,180,32,51,100,79,69,23,11,0,357,4,3,0,7,3,0,0,0,16,0,0,9,15,9,6,3,0,34,38,49,106,95,75,34,13,0,412,0,3,3,0,0,0,0,0,13,24,11,14,24,18,32,32,21,169,88,122,251,241,206,132,62,21,1123
UCL215011,0,0,3,0,0,0,7,0,3,0,3,0,0,0,0,8,4,10,3,5,6,13,5,0,55,4,8,7,10,16,5,3,0,62,3,23,21,35,28,22,10,3,143,0,0,4,0,3,0,0,0,11,0,0,3,4,0,0,0,0,11,3,21,25,34,36,24,16,3,161,0,0,0,0,0,4,0,0,9,0,9,10,10,16,41,36,32,148,14,56,45,67,81,95,60,37,455
UCL215012,20,21,29,25,3,0,109,0,9,26,27,28,13,0,0,102,7,32,104,65,76,57,24,4,369,5,34,38,46,77,60,30,5,301,18,50,68,78,81,57,28,3,388,3,0,3,5,10,10,0,0,30,0,8,6,7,6,5,5,0,42,27,61,78,95,103,66,32,7,457,0,0,0,3,0,0,3,4,12,34,17,27,40,45,62,60,41,328,76,162,284,295,360,287,156,63,1691
UCL215013,11,0,0,0,0,0,24,0,4,8,3,3,0,0,0,18,6,50,34,18,0,3,0,0,117,7,57,43,20,12,3,0,0,142,29,106,59,42,18,10,0,0,274,3,4,12,0,0,0,0,0,22,3,11,8,6,0,0,0,0,30,34,126,81,53,22,10,0,0,327,0,4,4,0,0,0,0,0,8,21,30,29,24,16,15,3,0,136,66,277,209,121,60,28,7,0,768
UCL215014,3,0,0,0,0,0,9,0,6,0,5,0,0,0,0,13,0,12,17,11,7,3,3,0,51,9,16,18,16,19,9,0,0,89,34,60,53,56,32,16,10,0,255,0,3,3,0,3,0,0,0,11,0,0,10,9,3,3,0,0,22,31,63,66,63,34,22,13,0,294,0,0,3,0,0,0,0,0,3,10,9,8,17,6,14,7,0,71,51,114,115,114,66,51,25,3,526
UCL215015,10,7,13,9,0,0,41,0,5,7,10,21,6,0,0,55,7,47,67,31,48,37,17,5,261,3,20,34,38,44,43,12,8,202,17,35,46,71,55,57,25,9,312,4,3,0,4,6,3,0,0,14,0,0,4,3,14,6,0,5,37,27,34,53,81,76,68,23,13,364,0,0,0,6,3,5,4,3,21,19,25,23,32,41,51,35,24,253,57,138,200,204,235,226,101,56,1211
UCL215016,11,5,7,0,0,0,23,0,6,8,10,7,7,0,0,39,8,39,44,30,18,8,4,0,157,21,64,44,52,44,15,6,0,255,70,164,111,134,112,54,15,8,667,13,11,6,6,10,0,0,0,52,13,9,3,15,7,10,0,0,50,95,191,120,149,129,62,15,8,772,3,6,3,3,0,4,0,0,16,40,39,25,49,52,44,33,20,316,173,355,254,300,265,143,63,32,1577
UCL215017,9,0,3,0,0,0,17,0,8,5,8,5,3,0,0,28,6,25,26,17,18,16,3,4,121,18,22,35,29,15,8,4,3,139,30,66,76,81,57,43,13,7,377,0,7,3,0,0,0,0,0,22,0,6,4,5,5,4,0,0,35,32,78,90,93,61,47,13,7,422,0,4,0,0,0,0,0,0,8,36,7,19,37,21,22,16,8,167,87,150,172,190,130,105,44,22,902
UCL215018,9,7,8,7,0,0,42,0,4,4,8,8,3,0,0,31,10,41,45,33,29,24,6,4,191,5,13,22,35,34,34,19,6,161,50,87,76,83,59,55,29,6,448,5,7,5,4,9,4,0,0,35,0,4,5,6,10,14,8,3,46,59,100,87,95,80,68,31,7,529,0,0,0,0,0,4,3,0,10,21,25,27,45,61,67,70,28,341,92,184,191,229,210,208,131,47,1292
UCL215019,11,10,5,6,0,0,33,0,3,16,10,3,0,0,0,33,9,38,40,38,36,17,0,3,180,9,20,25,33,32,29,7,3,141,22,56,67,57,52,32,9,3,291,3,5,8,6,0,0,0,0,20,0,3,7,5,4,3,0,0,24,27,59,74,70,57,42,15,3,340,0,3,3,0,0,3,6,0,12,21,10,12,21,18,16,19,3,119,55,139,182,182,151,108,39,6,863
UCL215020,3,0,3,0,0,0,9,0,3,3,0,3,0,0,0,12,3,11,11,5,5,11,3,3,61,3,6,9,15,17,15,7,3,66,21,30,28,36,33,28,20,3,188,0,4,4,0,0,7,0,0,15,0,3,5,3,3,3,3,0,23,19,37,31,42,40,34,19,3,223,0,3,0,3,0,3,0,0,13,17,3,9,20,22,33,38,21,159,46,66,65,91,84,95,68,32,547
UCL215021,3,0,5,0,0,0,9,0,0,9,0,3,0,0,0,16,3,10,9,15,16,13,4,3,69,0,12,17,19,17,8,0,3,82,16,37,41,52,34,36,3,0,222,5,0,3,0,3,0,0,0,19,0,0,9,3,3,9,0,0,22,25,35,54,58,46,39,5,0,265,0,0,0,0,0,4,0,0,4,7,11,12,27,27,21,17,7,131,44,68,103,123,121,91,33,8,585
UCL215022,23,14,21,3,5,0,99,3,13,7,7,8,5,0,0,48,54,99,51,30,41,27,4,0,307,24,52,39,41,49,28,9,0,240,91,164,104,107,130,98,34,9,739,16,17,11,3,7,9,0,0,70,3,3,13,7,9,9,0,3,50,106,183,133,117,150,108,34,14,851,0,3,3,3,6,9,4,0,25,116,78,74,61,72,78,30,4,512,308,457,330,274,349,260,87,24,2092
UCL215023,0,0,0,0,0,0,3,0,3,3,4,3,4,0,0,14,5,16,15,13,12,10,6,0,77,3,9,13,23,14,13,4,0,83,25,41,40,56,41,16,10,4,241,4,0,3,4,0,0,0,0,14,3,6,5,4,3,0,0,0,19,35,53,50,64,43,20,10,4,276,0,3,0,0,0,3,0,0,6,17,17,8,27,12,32,31,15,148,59,96,88,134,86,78,48,23,604
UCL215024,8,0,0,0,0,0,10,0,3,4,4,0,9,0,0,20,5,18,16,9,14,16,6,3,91,0,7,25,12,11,15,10,0,89,17,33,55,38,62,41,21,4,269,3,7,0,5,3,0,0,0,14,0,3,3,4,0,4,0,0,14,23,45,58,44,62,50,24,3,301,0,3,0,0,0,0,0,0,9,21,15,9,23,31,48,45,18,200,47,97,119,94,119,139,90,23,722
UCL215025,0,0,0,4,0,0,11,0,3,0,4,3,3,0,0,14,4,19,6,6,6,5,3,3,55,0,16,8,13,13,9,5,0,67,24,37,30,37,36,27,12,6,208,4,7,0,0,4,3,3,0,18,5,3,0,0,4,0,0,0,13,30,48,31,40,42,34,19,6,240,0,0,0,0,0,0,0,0,4,11,12,18,16,19,24,25,18,148,46,93,75,84,86,72,53,25,544
UCL215026,13,10,8,19,3,0,73,0,8,11,21,10,22,9,0,79,5,71,58,47,73,66,31,8,364,17,50,51,71,89,93,39,29,429,27,109,117,130,159,145,59,31,778,5,7,3,11,6,11,4,0,43,0,10,7,14,20,29,13,14,100,31,122,135,150,186,182,68,43,922,3,0,3,9,5,10,7,7,43,34,30,51,53,78,110,100,83,539,88,289,327,355,454,511,257,167,2452
UCL215027,12,8,10,15,6,0,56,0,3,11,13,17,12,3,0,58,11,31,37,21,37,29,14,8,180,12,27,38,33,62,33,21,0,216,36,86,65,81,63,62,32,10,441,10,7,5,4,3,0,0,0,30,4,9,10,6,9,11,6,0,51,53,103,80,97,74,73,37,10,523,0,0,0,0,0,3,0,0,7,37,29,20,40,45,63,64,46,343,109,202,187,219,247,216,139,69,1386
UCL215028,30,29,37,27,9,0,141,0,4,15,34,35,13,7,0,104,10,54,89,93,104,63,25,3,444,15,34,40,76,71,54,24,5,317,32,65,63,86,73,49,23,5,391,8,7,4,5,6,3,0,0,32,0,4,3,12,17,11,0,0,49,38,77,72,104,95,62,23,10,469,3,0,0,3,7,12,3,4,27,37,18,24,51,62,56,49,32,338,98,203,263,394,402,286,137,52,1839
UCL215029,7,3,3,0,0,0,30,4,13,0,7,0,0,0,0,22,12,68,43,20,21,9,3,0,176,15,54,30,21,21,7,3,0,156,53,126,62,67,57,30,3,0,396,0,8,3,8,0,0,0,0,20,11,10,5,8,9,9,3,0,47,66,143,72,85,61,33,3,0,463,0,3,0,3,3,0,0,0,11,29,23,14,36,36,27,8,0,179,130,310,164,170,150,74,19,3,1028
UCL215030,3,0,3,0,0,0,9,0,0,3,3,0,0,0,0,14,3,23,18,11,11,12,3,3,76,3,13,21,22,25,11,0,0,95,20,22,28,32,43,24,14,0,177,0,3,0,0,4,0,0,0,10,3,0,4,4,4,3,0,0,21,22,25,30,39,53,26,17,3,217,0,0,0,0,4,0,0,0,10,18,9,12,22,36,27,34,28,179,44,77,82,97,129,78,53,36,598
UCL215031,3,0,0,0,0,0,5,0,3,0,3,3,3,0,0,15,5,14,16,15,17,3,5,0,73,6,4,8,14,15,11,0,3,63,16,27,38,38,32,38,9,5,194,0,3,6,3,3,3,0,0,23,0,3,0,0,0,0,3,3,8,15,26,39,40,32,48,12,4,227,0,0,0,0,0,0,0,0,3,16,13,15,29,35,42,43,33,215,39,68,84,97,106,104,66,45,604
UCL215032,4,3,9,8,3,0,35,0,5,6,12,8,6,3,0,49,3,23,44,23,41,30,10,3,182,11,32,32,33,31,29,18,4,189,39,81,73,61,86,53,30,15,435,3,3,8,0,0,3,0,0,16,0,3,7,3,3,10,3,0,42,44,87,81,67,93,69,35,15,491,0,0,0,4,0,0,4,0,17,32,11,25,28,43,62,68,66,334,94,170,200,174,224,205,135,94,1290
UCL215033,24,13,11,0,0,0,58,0,23,21,8,5,3,0,0,69,16,93,116,45,14,8,0,0,288,9,70,68,37,17,6,0,0,213,24,123,161,59,28,14,0,0,407,0,3,12,3,0,0,0,0,19,0,9,19,5,11,3,0,0,50,29,138,190,64,42,11,0,0,476,0,0,0,3,0,0,0,0,8,17,18,22,14,15,9,0,0,100,70,370,451,185,95,42,0,0,1212
UCL215034,3,3,3,4,0,0,12,0,0,4,3,3,3,0,0,19,0,17,14,13,20,9,6,5,78,0,0,7,6,24,23,12,3,79,13,14,30,33,27,36,14,14,184,0,0,0,3,3,0,3,0,10,0,3,3,0,3,3,7,0,22,13,18,31,40,34,45,22,11,210,0,0,0,0,0,0,0,3,5,11,6,0,8,21,35,18,24,121,29,39,60,70,101,119,56,55,536
UCL215035,8,7,0,3,0,0,18,0,3,4,6,0,0,0,0,11,3,25,21,8,6,5,0,0,76,3,13,17,13,12,7,0,0,72,25,44,56,59,42,21,11,0,253,4,3,6,5,0,0,0,0,13,0,3,3,0,5,0,0,0,22,32,52,63,60,46,28,11,3,288,0,0,0,0,0,4,3,0,8,10,11,7,14,18,22,3,0,82,42,112,114,117,82,71,22,3,559
UCL215036,3,3,4,3,0,0,14,0,0,7,5,4,3,0,0,24,0,23,43,19,9,9,0,3,105,3,15,23,21,9,12,3,0,86,20,38,44,48,35,5,8,0,202,0,3,4,0,3,0,0,0,11,0,0,0,0,4,0,0,0,13,24,39,51,48,45,12,12,0,225,0,0,0,0,3,0,0,0,3,21,5,14,22,12,7,5,0,81,43,90,139,120,86,46,19,3,540
UCL215037,3,0,3,3,0,0,18,0,3,3,0,4,0,0,0,9,3,12,12,11,9,8,6,0,63,3,7,11,25,33,23,7,0,113,19,39,30,56,61,44,24,13,290,0,3,3,3,0,3,3,0,18,0,6,4,4,4,3,5,0,29,22,51,38,67,69,54,32,13,339,0,3,0,0,0,3,0,0,10,13,10,18,22,53,48,56,20,234,42,91,87,123,170,152,102,31,797
UCL215038,0,3,0,0,0,0,8,0,0,0,3,0,3,0,0,11,3,12,17,5,8,5,3,0,53,3,18,8,10,12,13,4,6,78,30,49,42,55,33,27,16,11,261,3,5,5,3,0,0,0,0,18,4,3,3,3,3,3,3,0,18,37,54,47,59,36,31,21,11,296,0,0,0,0,0,0,0,0,5,20,13,14,9,25,16,26,13,133,59,98,89,91,85,69,60,30,578
UCL215039,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,14,3,4,5,4,5,7,4,0,38,3,11,9,15,10,9,3,0,58,16,41,41,51,31,21,5,5,214,3,3,3,0,6,0,0,0,22,0,3,3,3,3,3,0,0,11,24,50,44,54,42,30,5,5,241,0,0,0,3,3,0,0,0,3,12,16,18,15,29,22,9,8,142,43,74,75,92,100,67,28,16,495
UCL215040,8,6,3,0,0,0,23,0,3,3,11,9,7,0,0,37,8,46,45,31,36,22,12,4,206,10,21,33,41,43,23,10,3,183,59,95,89,99,98,59,27,9,528,11,7,4,3,7,0,0,0,35,8,3,12,13,12,5,0,0,52,69,108,102,118,115,69,23,9,623,0,3,0,4,3,0,3,0,12,46,40,47,44,62,96,87,44,461,140,230,235,245,270,219,144,55,1538
UCL215041,0,0,0,0,0,0,10,0,6,10,3,0,0,0,0,16,3,22,21,18,11,5,3,3,90,5,43,34,22,6,8,4,3,127,36,110,70,94,40,26,13,3,401,12,3,9,9,3,3,0,0,35,0,4,6,9,5,0,0,0,30,52,122,91,109,45,31,13,3,465,0,0,0,0,0,4,0,0,5,28,24,28,23,21,23,35,14,211,96,221,184,170,89,78,53,28,922
UCL215042,6,5,3,5,0,0,24,0,8,8,3,3,0,0,0,26,0,33,28,22,19,6,3,0,116,5,20,22,20,15,14,3,0,102,32,63,67,51,41,29,8,3,290,0,3,6,3,3,0,0,0,19,0,0,3,0,5,0,3,0,17,34,69,79,58,50,26,5,3,332,0,0,0,0,3,3,0,0,5,21,17,19,21,21,18,10,3,132,64,142,166,130,120,76,32,12,735
UCL215043,7,8,9,3,3,0,26,4,8,8,12,14,3,0,0,54,9,50,36,31,40,33,8,3,207,14,31,36,34,37,23,14,3,190,68,145,106,111,80,72,31,13,627,12,11,5,5,3,5,0,0,44,3,5,10,10,15,14,4,0,63,84,158,124,134,101,83,43,13,737,0,0,0,0,7,5,0,0,14,49,49,36,38,52,52,44,28,347,153,291,251,252,245,212,111,53,1582
UCL215044,40,28,26,20,4,0,134,0,14,44,25,23,17,7,0,115,17,80,127,105,70,61,29,10,494,17,52,64,70,59,48,28,10,348,65,109,98,118,96,65,45,22,617,4,15,11,12,9,4,0,0,58,0,17,15,17,9,15,7,5,83,68,143,119,146,116,87,51,26,761,0,11,7,6,5,7,3,3,39,61,48,73,60,74,85,73,37,513,165,358,479,439,370,317,191,87,2399
UCL215045,3,6,7,0,0,0,16,0,0,9,9,5,0,0,0,28,10,26,19,15,18,14,3,0,105,6,23,19,27,31,9,3,3,122,16,67,58,43,56,19,5,3,265,4,0,0,3,0,0,0,0,12,6,0,3,0,6,4,0,0,18,22,68,61,45,60,25,5,3,296,0,3,0,3,0,3,0,0,9,20,9,13,17,26,19,11,4,120,56,140,127,122,146,70,20,11,694
UCL215046,0,0,3,0,0,0,3,0,0,6,0,3,0,0,0,11,0,16,5,7,4,9,4,0,45,3,15,18,9,4,3,0,0,57,29,57,38,44,37,23,6,0,234,3,5,0,4,0,0,0,0,11,0,5,0,5,3,7,0,0,18,30,64,44,52,39,25,6,0,262,0,0,0,3,3,0,0,0,4,5,7,12,11,19,16,6,5,82,39,108,88,73,73,56,15,5,465
UCL215047,0,3,4,0,0,0,16,0,0,0,0,0,3,0,0,9,6,18,14,5,7,3,3,0,62,6,35,11,19,8,3,0,0,85,27,80,49,47,32,11,9,0,252,6,3,0,0,0,0,0,0,17,4,12,5,5,4,7,0,0,37,35,94,54,58,37,20,11,0,307,0,3,0,0,0,5,0,0,10,13,21,23,14,29,22,16,3,145,65,173,101,102,95,48,32,3,622
UCL215048,3,9,8,6,3,0,36,0,4,4,3,7,4,0,0,26,3,26,28,17,29,33,8,3,156,0,18,11,10,17,24,6,0,85,6,22,19,29,38,21,3,3,143,0,0,0,0,4,0,0,0,6,0,0,0,0,3,3,3,0,12,6,23,16,30,43,25,10,5,159,0,0,3,0,0,3,0,0,9,8,25,10,11,25,17,24,8,133,18,95,76,76,136,116,54,27,600
UCL215049,34,39,31,24,3,0,155,0,3,21,35,24,14,8,0,102,15,60,132,104,86,57,8,0,459,3,20,46,52,57,52,19,3,250,19,27,64,61,68,45,16,3,314,0,3,3,3,0,3,0,0,13,0,0,4,11,8,15,7,0,46,21,30,70,77,75,66,22,4,367,0,0,0,0,3,3,0,3,17,27,18,29,29,45,43,22,3,212,70,147,338,334,323,251,86,16,1567
UCL215050,11,9,4,3,0,0,35,0,6,16,11,14,7,3,0,62,13,79,62,35,40,24,9,8,275,7,49,37,41,39,42,19,5,241,74,187,122,124,116,70,43,6,742,6,6,6,8,9,5,4,0,45,0,5,13,15,9,9,3,0,61,82,205,146,146,131,81,51,8,844,0,0,0,0,3,3,4,3,12,58,37,41,52,55,79,68,37,432,168,386,312,295,285,237,152,57,1897
UCL215051,12,14,17,14,6,3,58,0,0,3,8,20,6,3,0,46,3,10,26,38,45,36,16,3,169,0,6,12,17,35,32,7,3,123,4,15,23,30,48,40,18,3,180,3,0,0,0,3,0,0,0,4,3,4,0,8,13,12,3,3,41,14,18,28,43,62,49,16,3,228,0,0,0,0,7,4,0,0,10,7,0,0,8,28,30,9,13,96,19,41,82,130,209,169,60,26,734
UCL215052,16,9,9,0,0,3,48,0,14,13,14,9,9,0,0,55,22,70,51,42,34,32,17,12,272,3,37,58,37,42,34,13,6,232,64,87,125,114,114,75,24,12,612,14,3,3,4,3,0,3,0,27,6,5,13,14,15,11,5,6,80,83,102,141,132,133,86,31,18,721,0,3,0,4,4,0,3,0,17,34,41,41,42,53,58,40,16,323,144,273,314,277,273,211,114,53,1667
UCL215053,0,0,0,0,0,0,6,0,3,0,4,0,3,0,0,18,6,14,17,5,3,9,9,0,59,3,17,14,18,22,8,6,0,88,47,76,31,61,53,28,15,4,316,8,5,3,0,4,0,0,0,28,3,5,3,11,7,6,0,0,40,55,94,41,76,63,28,14,9,384,0,0,0,0,0,4,0,0,8,17,34,18,30,49,46,35,21,248,89,164,84,137,140,102,64,28,811
UCL215054,3,0,0,0,0,0,5,0,4,3,0,5,0,3,0,19,0,12,13,18,13,8,0,0,59,5,20,7,15,17,8,0,0,87,38,59,60,65,43,28,4,0,295,0,7,8,3,3,3,0,0,18,3,4,0,5,12,6,3,0,30,36,72,63,69,54,38,10,0,344,0,0,0,0,0,0,0,0,10,7,22,14,21,29,19,17,3,132,59,127,105,136,116,77,26,4,647
UCL215055,0,6,3,0,0,0,11,0,0,6,6,9,5,0,0,26,7,25,36,32,37,22,5,3,160,0,19,28,32,25,20,10,0,136,30,55,52,68,47,33,18,4,305,0,3,3,3,0,0,0,0,9,0,4,0,0,10,3,4,0,21,30,65,53,69,52,40,15,4,335,0,3,0,0,0,5,0,0,9,23,20,19,20,23,37,15,8,164,64,130,147,161,153,118,51,20,844
UCL215056,0,0,3,0,0,0,10,0,0,0,0,4,0,0,0,6,3,10,19,7,9,7,3,0,58,0,11,15,12,16,5,3,3,75,18,31,33,30,26,18,12,0,165,3,0,0,3,0,0,0,0,12,0,0,0,3,5,4,0,0,17,18,34,28,38,32,26,7,0,195,0,0,0,0,3,0,3,0,6,13,5,8,12,12,26,22,11,114,44,58,74,72,80,73,42,21,463
UCL215057,11,12,11,7,3,0,51,0,0,10,10,4,15,0,0,43,4,34,57,26,47,37,10,3,213,3,12,22,37,25,40,20,0,161,10,29,48,55,68,35,24,3,266,0,4,4,3,0,4,0,0,17,0,3,4,3,10,8,3,3,27,12,39,56,55,75,49,26,9,312,0,0,3,0,3,6,3,0,11,9,10,13,22,28,34,26,6,143,29,95,174,163,191,191,86,18,937
UCL215058,3,6,3,0,0,0,13,0,3,6,8,12,3,0,0,35,3,44,29,29,18,18,9,4,146,13,20,32,34,33,22,5,4,159,39,80,90,78,82,49,26,11,451,5,6,4,4,6,3,0,0,31,0,8,3,8,12,6,3,0,45,43,94,96,90,102,55,29,13,522,0,0,0,3,3,0,4,0,13,22,19,20,39,54,49,50,37,291,81,185,183,198,220,150,97,59,1187
UCL215059,0,7,0,0,0,0,9,0,0,5,0,3,7,0,0,14,7,31,21,13,16,6,7,0,101,0,24,22,19,22,10,4,6,107,26,50,63,48,54,50,13,6,298,0,3,0,4,0,5,0,0,14,3,3,5,4,6,6,0,0,26,23,53,67,58,64,58,12,6,339,0,0,0,0,0,0,3,0,8,9,23,5,18,40,26,32,15,168,50,125,120,113,148,109,54,27,751
UCL215060,0,3,5,4,0,0,14,0,3,9,7,3,0,0,0,23,3,15,18,11,16,10,6,0,68,6,17,12,14,11,18,10,0,90,24,41,39,35,33,19,13,3,212,4,0,0,0,4,0,0,0,12,0,0,3,0,3,0,0,0,18,30,47,43,40,41,20,13,3,233,0,0,0,0,0,3,0,0,8,18,8,7,15,26,23,33,23,160,60,93,87,90,96,83,65,31,606
UCL215061,7,3,3,0,0,0,16,0,4,5,4,3,3,0,0,20,13,29,15,10,23,11,7,0,116,4,12,3,22,25,7,10,4,87,31,54,50,49,44,17,20,3,259,6,10,0,6,4,0,0,0,27,0,5,3,8,6,4,0,0,29,42,68,55,63,52,22,19,3,316,0,0,0,0,0,0,0,0,9,10,9,10,21,22,28,33,20,151,71,123,93,123,121,74,67,26,705
UCL215062,8,4,0,3,0,0,23,0,12,11,6,5,7,0,0,40,7,42,39,34,23,28,15,4,189,11,42,37,38,38,39,20,3,227,58,94,95,110,98,75,34,7,575,4,12,8,6,12,4,3,0,43,6,6,7,10,6,8,3,3,60,69,114,113,128,117,91,40,12,677,0,3,0,0,3,8,7,0,18,33,24,27,33,72,74,64,36,360,128,236,227,244,261,245,144,53,1540
UCL215063,3,3,0,3,0,0,12,0,3,3,3,3,9,0,3,17,3,11,17,6,24,19,8,0,86,7,11,15,17,17,25,4,4,100,23,38,36,40,44,64,15,8,272,3,3,5,3,6,0,0,0,26,0,6,5,8,9,5,5,5,44,32,44,53,53,54,67,18,13,335,0,0,0,3,3,5,0,0,13,26,17,10,35,34,60,54,25,265,63,91,101,126,137,184,90,37,822
UCL215064,4,0,0,0,0,0,6,0,0,3,5,4,0,0,0,12,8,14,7,4,16,7,0,0,54,4,4,6,8,12,13,0,0,52,17,21,35,26,20,21,5,3,145,0,0,3,3,3,0,0,0,9,0,0,0,4,3,0,0,0,10,13,23,38,33,26,23,5,3,164,0,0,0,0,0,0,0,0,6,16,6,8,23,27,33,24,16,153,38,52,67,77,85,70,41,19,450
UCL215065,3,6,16,7,3,0,41,0,3,11,4,27,21,3,0,65,6,36,38,37,57,78,22,8,271,5,20,25,41,60,83,28,5,266,31,63,75,101,115,137,75,28,618,4,3,0,3,7,3,0,0,28,4,5,11,8,11,19,13,3,77,39,66,87,107,133,167,89,33,712,0,0,0,0,3,10,3,0,19,31,11,21,38,61,112,85,45,408,81,145,181,239,352,475,232,87,1788
