UCL_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
UCL215080,5,3,0,4,3,0,0,0,0,19,4,5,0,17,12,5,4,3,0,47,20,9,84,29,13,20,13,19,4,203,0,0,4,0,0,0,0,3,0,9,3,0,0,0,0,0,0,3,0,9,0,3,0,0,0,0,0,0,0,5,0,3,5,6,0,0,3,7,9,29,40,87,97,77,36,32,26,31,13,441
UCL215081,4,3,0,3,0,0,3,3,0,19,6,4,4,6,5,0,0,10,0,33,13,3,48,16,12,15,14,28,0,146,0,0,0,3,6,3,0,4,0,12,0,3,0,0,0,3,3,3,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,3,5,0,23,26,40,53,31,21,24,24,55,3,288
UCL215082,4,3,0,0,3,0,0,0,0,10,9,3,3,10,6,0,0,0,0,26,19,7,68,9,24,9,16,16,3,170,0,0,0,0,3,0,0,0,0,9,3,0,0,7,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,3,0,0,15,37,53,80,32,43,14,23,19,3,304
UCL215083,6,22,4,4,8,0,0,3,4,46,19,14,7,24,22,4,0,11,6,109,42,11,191,52,45,27,49,33,9,441,4,0,0,7,4,0,3,3,0,25,3,0,0,6,5,0,0,3,0,26,0,0,0,0,0,0,3,0,0,8,6,0,11,5,3,6,8,4,0,41,114,239,223,121,119,48,57,55,19,981
UCL215084,12,9,3,7,3,6,8,0,0,43,11,9,6,16,6,4,0,0,0,53,34,12,127,22,19,10,36,20,3,282,0,0,0,0,0,0,0,0,0,8,4,0,0,3,0,7,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,0,18,75,92,147,59,43,22,47,24,5,520
UCL215085,8,12,3,8,3,0,0,0,0,43,10,11,0,19,5,3,0,3,0,53,16,7,63,19,13,8,13,13,3,170,0,0,3,0,0,0,0,0,0,12,3,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,5,11,3,0,5,3,3,3,34,66,131,95,75,38,32,30,37,11,509
UCL215086,8,6,3,10,4,3,0,3,0,43,5,12,0,13,3,0,0,6,0,39,31,14,86,47,22,12,17,18,3,246,0,0,3,6,0,3,0,0,0,13,4,0,0,4,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,4,3,3,3,3,0,0,5,0,22,60,120,97,108,35,27,23,33,7,507
UCL215087,21,21,3,14,5,9,0,3,0,69,6,29,8,24,19,7,3,7,0,105,43,14,257,50,36,36,40,36,8,521,0,0,0,4,7,8,0,0,0,19,3,3,0,11,0,0,3,3,0,28,0,3,0,4,3,0,0,0,0,12,3,0,3,12,7,9,3,6,0,58,114,205,283,143,102,72,57,56,14,1050
UCL215088,3,4,4,3,0,0,0,0,0,20,7,4,3,16,3,5,0,3,0,34,15,3,59,29,15,14,24,27,0,184,0,0,0,0,0,3,0,5,0,9,0,0,0,3,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,3,0,4,0,15,43,68,69,59,32,33,27,36,4,369
UCL215089,14,18,6,8,6,0,0,0,0,52,15,8,4,14,10,7,0,0,0,59,39,9,88,10,14,3,9,14,3,184,0,0,0,3,3,0,0,0,0,10,3,0,0,0,5,6,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,0,11,132,157,109,54,81,31,7,13,8,588
UCL215090,10,28,10,13,3,3,0,0,0,76,22,26,13,23,15,8,3,4,3,113,28,18,117,46,24,24,13,18,3,294,4,0,0,3,3,4,0,0,0,16,0,0,4,10,0,3,4,3,0,33,0,3,3,0,0,0,0,0,0,7,0,6,0,5,3,0,0,3,6,35,179,465,163,154,97,68,27,45,17,1214
UCL215091,3,19,3,10,11,8,0,3,0,61,22,22,15,48,28,8,5,4,3,153,44,6,320,94,50,42,59,71,5,694,3,3,3,3,4,9,3,7,0,37,3,3,12,7,3,11,5,3,0,44,0,0,3,3,0,0,0,0,0,9,0,4,13,10,8,8,0,7,3,63,108,175,371,197,121,93,75,109,17,1264
