UCL_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
UCL222063,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,6,0,0,10
UCL222064,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,6,0,0,6
UCL222065,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,4,4,0,11
UCL222066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
UCL222067,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,7,4,0,11
UCL222068,0,0,0,0,0,0,0,0,0,9,3,0,6,0,0,0,6,7,0,20
UCL222069,0,0,0,0,0,0,0,0,0,5,12,0,17,0,0,0,17,7,0,21
UCL222070,0,0,0,0,0,0,0,0,0,3,4,0,10,0,0,0,10,3,0,13
UCL222071,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,4,0,9
UCL222072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8
UCL222073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9
UCL222074,0,0,0,0,0,0,0,0,3,5,6,0,6,0,0,0,7,17,3,23
UCL222075,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,4,5,0,11
UCL222076,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,6,0,10
UCL222077,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,8
UCL222078,0,0,0,0,0,0,0,0,0,3,7,0,8,0,0,4,11,3,0,13
UCL222079,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,7,3,0,15
UCL222080,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,7,0,0,7
UCL222081,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,6,3,0,5
UCL222082,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,10,3,0,17
UCL222083,0,0,0,0,0,0,0,0,0,6,3,0,10,3,0,4,12,14,0,22
UCL222084,0,0,0,0,0,0,0,0,0,3,3,0,10,3,0,3,11,11,0,20
UCL222085,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,8,0,0,10
UCL222086,0,0,0,0,0,0,0,0,3,3,0,0,7,0,0,0,7,12,0,20
UCL222087,0,0,0,0,0,0,0,0,0,0,3,0,5,0,3,3,5,11,0,15
UCL222088,0,0,0,0,0,0,0,0,0,7,13,0,16,0,0,0,16,0,0,19
UCL222089,0,0,0,0,0,0,0,0,0,3,7,0,12,0,0,0,13,3,0,21
UCL222090,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,4,12,0,15
UCL222091,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5
UCL222092,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,9,3,0,11
UCL222093,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,5,0,5
UCL222094,0,3,0,0,0,3,0,0,0,3,6,0,4,0,0,0,4,6,0,19
UCL222095,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,3,12,0,15
UCL222096,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,5,10,0,11
UCL222097,0,0,0,0,0,0,0,0,0,3,4,0,10,3,0,3,9,4,0,15
UCL222098,0,0,0,0,0,0,0,0,0,4,9,0,12,0,0,0,16,6,0,16
UCL222099,0,0,0,0,0,0,0,0,0,9,6,0,10,3,0,3,17,13,0,30
UCL222100,0,0,0,0,0,0,0,0,0,4,10,0,9,0,0,0,16,12,0,23
UCL222101,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,5,4,0,13
UCL222102,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,8,7,0,13
UCL222103,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,4,3,0,8
UCL222104,0,0,0,0,0,0,0,0,0,4,8,0,19,0,0,0,19,11,0,28
UCL222105,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,3
UCL222106,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,5,0,0,5
UCL222107,0,0,0,0,0,0,0,0,0,4,8,0,15,0,0,0,16,5,0,28
UCL222108,0,0,0,0,0,0,0,0,0,4,5,0,8,0,0,0,8,14,0,21
UCL222109,0,0,0,0,0,0,0,0,0,5,4,0,10,0,0,0,13,11,0,20
UCL222110,0,0,0,0,0,0,0,0,0,4,3,0,6,0,0,0,6,4,0,11
UCL222111,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,0,7
UCL222112,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,4
UCL222113,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,4,0,7
UCL222114,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,7,0,9
UCL222115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13
UCL222116,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,6
UCL222117,0,0,0,0,0,0,0,0,0,7,9,0,16,0,0,3,16,3,0,22
UCL222118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7
UCL222119,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,8,5,0,9
UCL222120,0,0,0,0,0,0,0,0,0,4,5,0,9,0,0,0,9,6,0,13
UCL222121,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,3,9,12,0,18
UCL222122,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,7,0,0,8
UCL231777,33,88,4,4,10,97,125,62,278,2898,2658,369,5918,234,264,501,6416,4256,164,10830
UCL279997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL299994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
