UCL_CODE_2016,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
UCL213010,0,3,40,6,0,65,5,46,3,172,11,9,137,24,9,30,18,60,3,309,32,39,214,44,24,42,69,82,13,559,44,48,141,33,33,28,73,98,17,518,44,41,195,30,25,23,98,100,15,573,45,60,142,27,37,23,103,86,9,523,12,7,29,6,5,3,12,19,0,105,8,0,3,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,5,200,212,908,172,133,206,382,497,73,2777,0,3,5,19,3,105,0,14,6,166,16,31,13,82,49,69,0,21,6,294,33,111,36,121,117,56,3,31,0,512,30,89,24,99,101,56,0,47,11,460,33,77,23,150,145,85,10,67,4,590,30,94,15,92,94,43,3,68,4,450,11,20,0,16,16,11,0,18,0,93,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,146,422,131,590,528,425,16,262,46,2565
UCL213011,0,0,30,3,3,40,3,41,5,116,18,16,84,15,10,35,9,41,3,231,45,55,141,20,30,38,63,77,16,488,37,23,101,27,30,25,75,76,12,406,54,40,123,24,40,10,93,85,11,483,47,35,112,38,25,17,103,61,9,447,9,8,17,7,8,6,22,19,3,104,0,3,7,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,215,188,609,140,146,162,377,401,59,2294,3,0,11,20,4,76,0,14,0,129,11,21,16,66,37,54,0,8,4,217,27,102,18,78,88,67,3,37,3,421,21,58,18,68,82,52,6,57,0,367,28,63,19,91,118,65,10,63,7,464,20,51,11,72,83,42,6,65,3,361,4,14,0,15,12,7,3,13,3,71,0,0,0,3,3,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,119,309,92,415,422,368,28,252,27,2038
UCL213012,3,0,48,25,0,49,4,80,3,218,16,13,114,42,9,43,9,45,11,306,66,138,252,45,16,44,29,44,4,635,214,270,270,69,38,53,59,72,16,1068,181,225,220,75,47,55,44,68,15,927,169,211,184,52,61,45,55,63,11,848,28,72,26,9,18,14,19,20,9,214,6,8,5,0,3,0,0,0,3,28,0,0,0,0,0,0,0,0,0,3,690,937,1115,317,195,303,212,392,76,4243,4,3,9,77,11,98,3,26,5,242,7,27,19,79,32,66,3,11,0,240,58,290,36,115,98,44,0,21,4,668,110,421,52,134,197,77,9,39,9,1039,114,347,53,161,233,80,4,45,16,1049,79,242,32,126,166,63,8,37,8,758,17,31,3,25,47,19,0,15,5,163,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,393,1348,205,718,780,453,23,181,55,4160
UCL213013,5,0,18,8,0,41,4,47,0,118,11,8,67,12,3,12,26,47,0,183,21,38,111,14,14,16,86,44,6,345,38,52,120,16,12,12,97,54,15,422,69,45,131,23,15,12,143,81,11,529,60,51,75,16,29,6,112,59,11,421,15,21,8,3,10,9,22,18,3,108,10,3,0,0,0,0,3,3,0,23,0,0,0,0,0,0,0,0,0,3,227,220,531,85,87,112,504,344,41,2153,3,0,11,38,4,56,0,14,0,132,7,15,12,51,15,24,3,11,3,135,21,82,20,64,35,29,4,25,0,292,37,91,20,76,83,48,10,51,4,412,44,90,25,82,95,33,14,63,6,445,34,80,15,70,67,37,10,54,8,368,9,12,3,17,15,5,0,10,0,69,0,0,0,0,5,3,0,3,0,12,0,0,0,0,0,0,0,0,0,4,143,372,103,396,321,236,33,230,25,1869
UCL213014,3,0,36,9,3,55,6,60,0,177,17,21,114,25,8,28,11,40,4,277,82,135,197,55,21,29,44,94,15,674,113,122,154,41,25,28,44,48,5,585,116,81,126,44,29,22,67,77,14,572,67,80,111,32,37,26,56,64,7,479,22,13,23,6,4,4,13,19,0,116,0,8,5,0,0,0,0,3,0,21,0,0,0,0,0,0,0,0,0,6,426,462,765,213,132,194,237,417,56,2906,0,3,6,22,12,104,3,23,0,174,23,37,16,55,25,52,3,25,3,225,47,207,32,114,83,45,4,38,5,588,50,163,31,81,99,65,3,57,5,555,46,152,36,127,128,57,0,58,5,613,36,104,22,88,108,59,9,56,5,488,8,15,3,10,17,8,0,16,0,76,0,0,0,0,4,0,0,3,0,9,0,0,0,0,0,0,0,0,0,3,216,690,136,497,482,390,25,269,31,2734
UCL213015,8,3,40,13,0,29,5,56,0,146,19,21,98,8,8,23,15,41,6,246,99,72,152,23,17,47,40,84,8,551,79,66,94,27,16,28,46,63,10,437,100,62,82,25,28,34,60,74,8,470,92,50,51,17,39,30,49,42,7,386,22,13,8,3,3,0,10,22,5,99,6,0,3,0,0,0,0,3,3,19,0,0,0,0,0,0,0,0,0,4,425,295,532,124,111,194,227,393,44,2344,0,0,3,41,12,88,0,10,0,161,12,35,14,61,42,38,0,15,3,217,40,155,43,64,71,36,0,31,6,454,41,109,23,55,95,48,0,34,11,414,49,91,9,89,98,53,3,60,3,449,38,70,8,64,92,47,3,37,5,375,7,16,0,13,8,7,0,5,0,60,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,186,471,103,392,428,324,11,191,28,2140
UCL213016,0,0,25,18,6,45,3,54,8,173,10,27,80,39,7,28,7,43,3,252,83,194,249,54,19,29,33,66,12,739,287,303,258,73,54,72,39,68,19,1175,262,219,204,83,42,65,39,52,14,981,131,154,137,43,38,45,35,56,10,644,31,46,14,8,17,12,8,17,6,163,3,4,0,0,0,3,0,3,3,16,0,0,0,0,0,0,0,0,0,0,806,950,974,321,184,300,169,356,80,4144,0,0,6,68,9,104,0,26,0,216,5,21,6,80,22,59,0,17,7,220,70,379,41,129,94,77,3,12,8,814,149,402,38,116,198,90,4,34,15,1049,112,302,38,143,249,86,7,30,13,986,56,193,23,66,144,56,0,26,3,578,10,26,6,13,36,5,0,5,4,109,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,406,1325,160,623,754,476,14,152,63,3976
UCL213017,0,0,60,22,3,74,10,85,6,256,12,20,124,24,9,28,29,59,7,318,91,117,241,44,27,38,62,127,8,759,114,123,189,49,32,74,90,89,23,781,147,103,156,65,63,56,134,132,18,882,105,121,118,49,47,49,122,75,9,698,37,23,20,4,9,18,26,27,6,172,11,3,3,0,0,3,0,3,3,27,0,0,0,0,0,0,0,0,0,6,519,510,919,266,190,336,475,596,74,3888,3,6,9,64,14,155,0,43,4,297,15,58,18,74,40,68,4,31,8,331,45,245,37,131,107,95,5,27,5,708,65,218,38,159,161,83,11,56,4,792,75,217,24,173,209,79,17,94,9,896,48,163,17,132,180,74,20,90,9,742,15,24,3,26,33,13,4,11,3,122,7,3,0,0,5,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,272,934,155,753,745,574,64,358,36,3901
UCL213018,6,3,54,17,7,24,7,80,3,205,22,19,113,11,7,38,17,62,0,284,66,104,216,44,23,38,48,109,14,654,105,117,120,34,32,27,59,71,5,564,133,103,154,39,30,46,90,77,4,684,88,112,126,28,44,27,68,66,11,568,26,47,24,9,9,4,19,20,7,154,7,4,3,3,0,3,3,3,0,26,0,0,0,0,0,0,0,0,0,7,452,508,808,182,151,211,302,486,48,3148,4,0,3,61,17,93,0,28,0,208,16,28,19,59,46,53,0,26,4,252,54,177,31,83,109,46,10,38,11,557,54,174,22,94,122,43,6,51,6,567,59,170,41,152,157,68,5,66,10,731,40,158,31,77,117,32,11,55,11,535,14,19,4,11,27,3,0,13,4,93,3,0,0,0,5,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,244,723,151,534,602,348,27,283,44,2960
UCL214001,0,0,15,0,0,32,3,49,3,112,8,4,44,8,0,10,10,52,0,136,25,30,73,30,3,14,31,68,13,279,29,24,47,51,0,9,38,58,6,262,45,36,45,79,15,16,46,63,6,345,36,33,46,50,9,17,41,52,8,284,20,6,15,8,3,3,8,7,3,70,0,0,0,0,0,3,0,3,0,8,0,0,0,0,0,0,0,0,0,0,165,128,289,234,35,100,174,348,36,1510,4,3,4,15,3,57,0,21,0,106,3,13,9,27,15,23,0,25,3,108,14,56,20,63,34,23,3,42,5,255,20,52,18,56,43,19,3,30,3,250,35,68,20,91,52,39,9,57,0,371,21,46,10,66,35,18,0,48,4,237,7,11,0,8,8,3,0,9,0,58,0,0,0,3,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,102,250,77,322,200,177,11,227,20,1395
UCL214002,0,0,29,8,0,18,0,34,0,98,7,8,75,5,8,18,20,38,3,179,33,38,93,17,16,24,33,43,7,304,43,33,72,14,15,24,59,42,8,308,61,44,102,28,15,11,63,46,5,370,61,51,85,24,24,11,66,51,3,380,18,11,21,5,15,9,10,14,3,109,6,0,0,3,0,4,0,3,0,15,0,0,0,0,0,0,0,0,0,6,235,185,475,101,89,122,253,270,33,1766,5,0,3,15,3,54,0,18,0,105,10,22,10,32,21,26,0,15,3,129,25,79,12,57,43,32,3,18,7,282,22,71,23,45,55,26,7,30,3,288,39,87,27,94,99,49,4,51,3,451,32,78,11,93,64,33,3,50,3,361,3,22,5,13,18,5,0,15,3,79,3,0,0,7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,141,358,97,358,293,229,19,199,27,1712
UCL214003,0,0,14,12,0,30,3,45,3,111,7,5,55,10,0,20,9,46,4,144,34,42,72,13,9,11,23,63,3,273,71,97,61,25,20,12,19,41,0,352,68,110,70,46,20,14,32,52,12,435,65,83,71,32,14,15,48,51,9,382,25,36,11,6,11,6,9,5,3,116,3,4,6,0,0,0,0,0,0,20,0,3,0,0,0,0,0,3,0,8,271,395,355,142,80,106,148,311,31,1835,0,0,0,22,3,49,0,16,3,97,3,5,9,25,12,19,0,26,0,108,32,71,24,45,31,24,0,49,3,267,39,155,24,53,49,34,3,23,8,378,45,168,34,80,83,40,0,50,7,512,39,154,13,70,83,28,0,37,3,431,6,29,3,19,20,13,0,9,0,96,3,3,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,4,174,590,111,305,284,204,8,201,20,1899
UCL214004,0,0,14,0,0,18,0,28,0,58,8,0,26,5,0,8,5,33,3,99,28,21,56,7,3,6,16,68,7,219,36,13,43,5,4,8,21,65,6,199,45,11,43,7,11,15,41,60,0,224,29,19,24,3,10,14,46,45,7,194,11,10,9,3,0,3,12,3,0,48,4,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,159,77,218,30,26,77,148,299,26,1051,0,0,4,10,3,36,0,10,0,62,0,15,4,22,10,13,0,14,0,79,11,37,10,33,29,9,0,28,3,162,16,24,8,27,61,22,0,27,3,194,23,41,20,29,46,22,0,34,3,216,13,21,9,27,22,20,4,29,0,151,0,4,0,4,6,0,3,4,0,31,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,62,145,60,151,177,131,12,152,17,901
UCL214005,0,0,9,0,0,4,0,6,0,13,3,0,12,0,3,0,8,0,3,29,0,0,11,0,0,3,9,10,0,24,7,0,13,3,0,4,0,13,0,48,7,0,15,3,0,0,14,16,0,62,5,0,5,4,0,0,4,8,0,29,3,0,3,0,0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,67,13,3,10,37,51,5,233,0,0,0,4,3,4,0,0,0,20,0,0,0,3,0,0,0,3,0,14,3,8,0,3,4,3,0,8,0,31,4,12,0,7,10,5,0,15,0,57,10,8,4,8,14,3,0,9,0,51,5,7,0,9,9,3,0,7,0,39,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,36,10,29,37,29,0,42,0,210
UCL214006,0,0,28,17,7,33,11,44,0,142,12,8,77,23,9,21,18,27,5,190,46,75,163,23,27,15,28,30,0,416,129,151,152,37,44,32,42,32,4,623,158,102,107,48,36,39,56,34,4,587,85,87,65,20,29,23,37,28,4,370,18,19,14,3,10,3,14,5,0,96,3,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,451,446,613,173,159,163,195,213,26,2428,0,0,3,26,5,76,3,16,3,144,4,21,7,54,32,38,0,15,0,171,32,152,24,72,82,28,0,8,3,398,83,233,23,73,131,51,0,10,7,606,53,137,23,96,174,39,8,24,4,566,26,77,14,42,95,26,0,8,0,300,3,16,0,12,19,8,0,6,0,64,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,215,634,98,368,540,266,15,83,20,2244
UCL214007,8,0,24,13,0,41,0,37,3,133,21,13,80,12,3,15,7,27,0,179,53,52,122,9,9,30,31,45,3,358,70,49,77,16,24,23,40,44,10,352,70,51,89,17,27,33,58,40,0,385,71,62,77,18,17,33,53,42,5,379,39,23,22,6,4,3,17,15,3,130,10,4,0,0,0,0,0,5,0,15,3,0,0,0,0,0,0,0,0,3,329,246,495,101,86,167,207,260,24,1931,5,3,4,21,8,59,0,18,0,122,3,25,9,46,21,43,3,7,0,164,21,105,29,55,56,31,0,26,6,324,28,90,21,60,70,42,3,22,4,345,36,106,21,84,106,50,0,51,4,456,35,76,14,85,81,33,0,48,6,376,15,14,3,15,20,12,0,8,3,84,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,0,0,0,3,6,146,416,105,370,372,262,6,184,29,1887
UCL214008,0,0,38,10,0,16,3,28,3,102,10,0,71,9,7,14,10,31,8,154,32,39,145,16,13,8,35,35,5,330,57,78,108,22,16,19,32,56,8,388,80,52,122,21,17,29,67,66,17,464,67,52,87,10,12,13,59,54,11,367,17,14,23,6,0,12,14,14,0,102,3,3,3,0,0,0,4,0,4,24,0,0,0,0,0,0,0,0,0,3,256,235,604,98,64,101,229,291,61,1938,0,3,3,35,0,28,0,8,0,81,4,11,22,44,14,16,0,14,0,131,37,59,31,67,54,32,3,20,3,314,60,94,35,70,77,26,3,33,3,406,46,88,26,73,93,42,9,50,5,430,35,64,11,66,74,37,8,36,10,339,12,19,3,6,18,7,4,11,3,81,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,191,344,131,360,343,190,26,181,30,1789
UCL214009,0,0,4,0,0,17,0,14,0,39,3,6,12,6,0,8,0,5,0,35,17,43,64,8,3,8,6,12,3,169,32,42,61,13,8,14,12,18,6,204,61,29,34,6,6,15,18,23,7,207,47,36,41,14,12,14,14,28,4,208,10,13,9,0,8,5,9,8,5,68,4,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,179,173,229,47,35,74,56,111,26,929,0,0,0,8,0,33,0,3,6,53,0,10,0,11,3,14,0,0,0,36,5,54,11,22,21,14,0,9,3,137,26,75,12,40,34,11,0,11,3,201,39,66,7,35,33,18,3,11,6,210,26,61,9,29,42,20,0,11,5,211,8,11,0,11,11,6,0,9,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,98,271,46,148,145,116,9,43,15,895
UCL214010,0,0,30,7,3,12,3,33,0,96,5,6,51,5,5,11,19,35,6,140,21,25,104,11,11,10,44,37,9,276,50,38,104,30,17,11,41,35,7,332,59,43,88,22,21,15,69,38,7,359,41,23,50,20,16,15,55,35,6,249,3,12,7,4,3,7,13,6,3,57,6,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,188,147,436,101,75,82,237,216,38,1519,6,0,7,17,6,45,0,9,3,84,11,11,10,39,11,33,3,3,0,124,25,69,15,52,48,23,3,11,0,246,23,73,23,72,77,22,4,21,3,317,37,56,20,52,98,32,4,38,3,347,10,52,12,32,46,20,3,25,5,202,0,10,0,6,13,0,0,4,0,42,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,115,273,85,264,302,174,25,107,20,1363
UCL214011,4,3,19,0,3,14,0,20,0,61,4,8,46,4,3,3,12,32,0,110,26,36,70,12,5,13,17,55,9,235,41,24,57,16,9,14,19,39,3,215,36,22,54,16,8,11,39,43,4,233,34,28,43,11,23,18,35,41,7,247,9,4,11,3,3,7,9,12,3,56,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,154,121,300,59,55,82,128,238,25,1172,0,0,0,5,3,30,0,3,0,45,0,15,10,24,13,17,0,12,4,83,7,67,18,44,37,18,0,13,0,200,16,51,7,30,44,18,0,29,3,204,17,46,14,49,52,37,0,43,0,265,16,45,13,44,47,23,3,24,4,213,8,10,0,5,9,3,0,7,0,37,3,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,61,238,56,207,198,143,9,134,14,1062
UCL214012,4,3,10,6,0,17,0,25,3,68,4,4,29,8,0,14,8,21,0,81,17,12,58,9,5,11,10,24,3,155,26,24,49,12,7,10,12,38,3,174,29,18,50,20,7,15,25,33,3,205,39,20,36,13,14,19,25,38,7,215,19,3,8,3,4,7,9,15,3,67,3,0,3,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,146,87,238,68,43,93,84,189,24,973,0,3,3,21,3,24,0,6,0,62,3,8,3,19,3,14,0,3,0,66,14,26,10,40,27,22,3,14,3,151,20,32,11,41,27,25,0,20,4,176,30,49,11,45,54,29,0,39,0,241,30,35,7,47,40,26,3,30,9,223,5,9,4,8,9,7,0,7,0,57,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,106,158,46,221,165,143,10,119,17,989
UCL214013,0,0,12,9,0,18,3,20,0,69,3,3,40,3,0,13,3,16,0,90,27,21,84,9,3,13,22,31,3,218,33,27,64,6,10,8,27,33,0,221,25,31,46,12,6,11,33,34,3,212,41,24,27,13,13,6,38,29,0,198,6,12,7,3,4,3,11,7,3,60,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,3,150,119,292,52,41,88,136,175,10,1079,0,3,5,18,0,30,0,9,0,65,0,3,4,13,7,17,3,7,0,61,16,54,16,33,42,22,0,13,7,197,20,52,6,44,43,20,3,16,0,205,19,48,11,41,49,23,0,23,0,211,22,32,3,28,49,12,4,24,0,175,4,3,3,5,9,5,0,3,0,37,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,83,193,55,184,197,137,13,97,9,963
UCL214014,4,0,19,4,3,23,0,25,0,82,14,10,57,10,0,13,3,28,0,133,17,28,55,13,6,13,24,55,3,210,38,17,63,15,10,20,34,35,3,231,35,19,52,22,15,12,39,46,7,252,37,19,53,13,10,20,37,57,7,253,14,3,11,3,0,3,8,7,0,55,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,3,167,98,308,91,49,101,140,247,25,1229,0,0,0,15,3,51,0,12,0,86,3,20,4,28,10,29,0,11,0,103,14,38,19,43,21,17,0,26,0,191,19,26,21,43,34,32,0,25,3,207,17,44,27,69,55,28,3,54,4,304,10,47,24,40,43,25,3,41,0,229,6,4,0,16,15,3,0,5,0,57,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,5,75,183,93,251,189,186,9,182,17,1186
UCL214015,0,0,19,10,3,7,0,15,0,54,4,0,37,3,0,8,0,21,0,79,5,19,51,3,9,9,16,18,3,126,22,29,34,16,9,10,12,26,3,165,45,37,70,13,17,20,39,32,12,274,57,36,64,24,21,14,48,20,3,289,17,14,18,9,7,10,11,16,0,95,4,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,150,143,297,78,61,83,124,152,19,1099,0,0,0,9,0,21,3,8,0,46,3,3,3,21,6,15,0,4,0,52,7,22,10,26,19,16,0,6,4,112,16,58,4,32,35,13,0,17,7,175,20,67,13,52,69,30,3,24,7,283,44,59,8,57,66,33,0,22,3,288,8,21,0,6,19,3,0,7,7,72,0,0,0,0,3,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,95,233,45,199,215,125,8,82,24,1033
UCL214016,0,0,6,5,0,15,0,22,0,55,8,5,28,10,0,19,8,35,0,115,20,12,67,16,3,12,30,66,3,231,18,13,58,18,8,9,29,49,0,200,35,31,54,18,20,11,39,40,7,247,25,32,48,22,23,6,49,44,3,251,9,5,14,3,4,3,5,3,0,47,0,0,0,0,0,3,0,0,0,11,0,0,3,0,0,0,0,0,0,4,118,102,271,88,65,81,158,249,22,1159,0,0,0,15,0,44,3,11,4,79,3,8,6,25,3,27,0,15,0,86,14,23,12,43,31,17,0,21,0,169,11,36,14,41,41,13,3,21,3,193,20,45,21,49,54,26,0,45,0,256,12,27,14,39,59,28,0,52,4,231,0,7,3,7,9,8,0,5,0,46,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,66,149,74,218,198,162,5,177,8,1064
UCL214017,3,0,18,3,4,20,0,18,3,67,5,4,35,4,0,14,3,42,0,106,18,17,47,16,12,13,28,62,4,220,26,15,39,20,3,14,36,49,6,202,33,19,43,25,13,10,29,55,5,244,36,15,42,23,7,10,37,44,6,220,10,3,5,3,3,5,15,17,0,61,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,148,75,228,102,38,79,148,292,26,1130,3,0,0,16,3,30,0,9,0,65,0,10,4,25,9,7,0,21,0,89,8,42,8,50,26,21,0,24,3,180,17,43,15,48,22,19,5,26,0,188,36,37,8,64,51,32,3,41,0,271,23,32,13,44,38,22,10,37,3,207,7,6,0,4,7,4,0,3,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,85,174,43,248,156,138,16,160,9,1037
UCL214018,0,0,28,4,3,15,8,53,0,110,10,7,84,9,3,25,13,36,3,185,44,33,191,18,22,14,73,49,7,454,62,51,133,35,27,17,86,36,6,457,74,39,151,23,42,26,115,59,9,535,51,41,81,10,26,20,68,31,10,333,6,4,8,3,7,5,8,7,6,62,0,0,3,0,3,0,0,0,0,7,0,0,3,0,0,0,0,0,0,3,254,176,675,108,134,122,374,269,39,2151,0,3,10,13,8,76,0,10,4,116,5,16,18,51,38,39,0,4,6,168,34,81,20,75,97,43,12,14,3,383,56,87,22,64,114,53,9,22,3,430,34,77,20,81,132,59,16,38,7,469,15,43,10,46,97,27,6,23,4,266,3,5,0,3,14,6,0,4,0,34,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,148,306,91,325,505,302,38,119,31,1874
