UCL_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
UCL222012,105,0,0,0,0,105,16,0,0,0,0,16,3,0,0,0,0,3,125,0,0,0,0,126
UCL222013,80,0,0,0,0,77,5,0,0,0,0,5,0,0,0,0,0,0,89,0,0,0,0,92
UCL222014,132,3,0,0,0,133,9,0,0,0,0,9,5,0,0,0,0,5,142,3,0,0,0,146
UCL222015,138,0,0,0,0,138,11,0,0,0,0,11,3,0,0,0,0,3,149,0,0,0,0,152
UCL222016,106,0,0,0,0,106,22,0,0,0,0,22,0,0,0,0,0,0,134,0,0,0,0,134
UCL222017,157,0,0,0,3,154,35,0,0,0,0,36,9,0,0,0,0,9,197,0,0,3,3,196
UCL222018,113,0,0,0,0,113,12,0,0,0,0,12,3,0,0,0,0,3,134,0,0,0,0,134
UCL222019,73,0,0,0,3,78,21,0,0,0,0,25,4,0,0,0,0,3,101,0,0,0,3,104
UCL222020,66,0,0,0,0,66,35,0,0,0,0,35,3,0,0,0,0,3,111,0,0,0,0,111
UCL222021,20,8,4,0,0,33,7,0,0,0,0,7,5,0,0,0,0,5,31,8,4,0,0,43
UCL222022,111,0,0,0,0,112,8,0,0,0,0,8,6,0,0,0,0,6,123,0,0,0,0,122
UCL222023,80,0,0,3,0,79,16,0,0,0,0,16,7,0,0,0,0,7,95,0,0,3,0,97
UCL222024,65,0,0,3,0,70,34,0,0,0,0,36,0,0,0,0,0,0,103,0,0,5,0,113
UCL222025,140,0,0,0,0,140,13,0,0,0,0,13,0,0,0,0,0,0,150,0,0,0,0,150
UCL222026,3,3,44,0,0,46,0,0,6,0,0,6,0,0,3,0,0,3,3,3,50,0,0,51
UCL222027,57,0,0,4,3,61,19,0,0,0,0,19,4,0,0,0,0,4,74,0,0,4,0,81
UCL222028,103,0,0,0,0,103,4,0,0,0,0,4,3,0,0,0,0,3,114,0,0,0,0,114
UCL222029,86,0,0,3,0,87,31,0,0,0,0,32,4,0,0,0,0,4,123,0,0,3,0,128
UCL222030,144,0,0,0,0,147,53,0,0,0,0,53,12,0,0,0,0,13,208,0,0,0,0,211
UCL222031,83,0,0,0,0,82,18,0,0,0,0,18,3,0,0,0,0,3,100,0,0,0,0,104
UCL222032,130,0,0,0,0,133,22,0,0,0,0,22,3,0,0,0,0,8,155,0,0,0,4,160
UCL222033,66,0,0,0,0,66,22,0,0,0,0,29,9,0,0,0,0,9,102,0,0,0,0,98
UCL222034,68,0,0,3,0,70,14,0,0,0,0,14,3,0,0,0,0,3,81,0,0,3,0,93
UCL222035,58,0,0,3,0,63,34,0,6,0,0,43,7,0,0,0,0,10,100,0,9,3,0,112
UCL222036,74,0,0,3,14,90,18,0,0,0,0,18,4,0,0,0,4,4,95,0,0,6,14,119
UCL222037,65,0,0,3,3,74,11,0,4,0,0,13,3,0,0,0,0,3,75,4,7,3,3,88
UCL222038,78,0,0,0,0,78,23,0,0,4,0,22,0,0,0,0,0,0,98,0,0,4,0,100
UCL222039,30,63,4,0,0,101,10,27,3,0,0,42,3,3,3,0,0,10,42,100,9,0,0,151
UCL222040,50,0,0,3,0,56,26,0,0,0,0,28,3,0,0,0,0,3,83,0,0,4,0,85
UCL222041,71,0,0,0,0,66,16,0,0,0,0,14,5,0,0,0,0,5,86,0,0,0,0,86
UCL222042,65,0,0,0,0,65,5,0,0,0,0,5,0,0,0,0,0,0,68,0,0,0,0,68
UCL222043,94,0,7,0,0,100,8,0,0,0,0,8,0,0,0,0,0,0,102,0,7,0,0,111
UCL222044,114,4,0,0,3,123,18,0,0,0,0,18,6,0,0,0,0,6,139,4,0,0,3,144
UCL222045,81,0,0,3,0,83,17,0,0,0,0,25,0,0,0,3,0,4,100,0,0,6,0,111
UCL222046,71,0,0,0,0,71,27,0,0,0,0,32,5,0,0,0,0,5,103,0,5,0,0,107
UCL222047,136,0,0,0,3,140,41,0,0,0,0,41,3,0,0,0,0,3,179,0,0,0,3,185
UCL222048,128,0,0,0,0,133,35,0,0,0,0,34,3,0,0,0,0,3,165,0,0,0,0,169
UCL222049,80,0,4,0,0,81,38,0,3,0,0,46,8,0,3,0,0,12,126,0,5,0,0,131
UCL222050,84,0,0,0,0,84,11,0,0,0,0,11,0,0,0,0,0,0,89,0,0,0,0,89
UCL222051,107,0,0,0,0,107,31,4,0,0,0,37,4,0,0,0,0,4,146,4,0,0,0,157
UCL222052,58,0,0,3,0,63,32,0,0,0,0,32,0,0,0,0,0,0,92,0,0,3,0,96
UCL222053,62,0,0,0,0,64,30,5,0,0,0,33,3,0,0,0,0,3,91,3,0,0,0,100
UCL222054,66,5,0,3,3,75,14,3,0,0,0,12,3,0,0,0,0,4,85,6,0,3,3,97
UCL222055,125,3,0,5,3,132,31,0,0,0,0,30,6,0,0,0,0,6,165,3,0,3,4,171
UCL222056,118,3,0,4,0,123,19,0,0,0,0,20,4,0,0,3,0,6,142,3,3,8,0,153
UCL222057,131,0,5,0,0,133,31,0,8,0,0,41,12,0,0,0,0,7,171,0,14,0,0,185
UCL222058,102,0,10,0,0,106,19,0,0,0,0,20,3,0,0,0,0,3,120,0,6,3,0,132
UCL222059,124,0,0,0,0,124,37,0,0,0,3,38,5,0,0,0,0,5,165,0,0,3,3,164
UCL222060,72,0,0,3,0,83,8,0,3,0,0,13,0,0,0,0,0,3,88,0,3,5,0,93
UCL222061,114,0,0,7,0,120,49,0,0,0,0,49,8,0,0,0,0,10,166,0,0,10,0,173
UCL222062,0,0,15,0,3,18,0,0,0,0,0,0,0,0,3,0,0,6,0,0,17,0,5,18
UCL222063,73,0,0,0,0,72,16,0,0,0,0,20,0,0,0,0,0,0,88,0,0,0,0,96
UCL222064,0,0,14,0,0,13,0,0,5,0,0,7,0,0,0,0,0,3,0,4,18,0,3,27
UCL222065,57,0,0,0,0,63,12,0,3,0,0,22,3,0,0,0,0,3,79,0,4,0,0,86
UCL222066,55,0,0,0,0,57,30,0,0,4,0,36,0,0,0,0,0,0,86,0,0,4,0,90
UCL222067,65,0,0,0,0,65,6,0,0,0,0,6,0,0,0,0,0,0,70,0,0,0,0,71
UCL222068,121,0,0,0,0,121,45,0,4,0,0,47,3,0,0,0,0,3,170,0,6,0,0,176
UCL222069,115,8,4,7,0,132,13,0,0,0,0,17,6,0,0,0,0,10,141,11,4,9,0,160
UCL222070,121,0,0,0,0,121,14,0,0,0,0,14,12,0,0,0,0,12,148,0,0,0,0,148
UCL222071,65,0,0,0,0,65,7,0,0,0,0,7,0,0,0,0,0,0,71,0,0,0,0,71
UCL222072,52,0,0,0,0,56,16,0,0,0,0,21,0,0,0,0,0,0,69,0,3,0,0,74
UCL222073,62,0,0,0,0,66,45,0,0,0,0,45,3,0,0,0,0,3,109,0,0,0,0,112
UCL222074,94,0,0,4,0,94,53,0,3,0,0,58,3,0,4,0,0,3,146,0,8,8,3,162
UCL222075,66,0,0,7,0,70,20,0,0,0,0,26,3,0,0,0,0,7,88,0,3,3,3,97
UCL222076,111,0,0,0,4,122,20,0,0,0,0,20,3,0,0,0,0,3,134,0,0,0,4,137
UCL222077,56,0,0,0,4,58,8,0,0,0,0,8,0,0,0,0,0,0,67,0,0,0,4,65
UCL222078,114,0,0,3,0,124,56,3,0,0,0,58,11,0,0,0,0,11,174,4,0,6,0,185
UCL222079,109,0,0,3,0,116,23,0,0,0,0,23,3,0,0,0,0,3,140,0,0,3,0,144
UCL222080,75,0,0,3,0,78,33,0,3,0,0,32,0,0,0,0,0,3,106,0,5,3,0,119
UCL222081,57,0,0,4,7,68,17,0,0,0,0,12,3,0,0,0,0,3,73,0,3,4,7,83
UCL222082,59,0,0,0,0,61,12,0,0,0,0,12,3,0,0,0,0,3,71,0,0,0,0,74
UCL222083,122,0,0,0,0,124,23,0,0,0,0,23,3,0,0,0,0,3,148,0,0,0,0,148
UCL222084,120,0,7,0,0,123,44,7,3,0,0,52,11,0,0,0,0,10,173,5,8,4,0,189
UCL222085,60,0,3,0,0,62,17,0,4,0,0,25,5,0,0,0,0,5,85,0,7,0,0,88
UCL222086,141,0,0,0,0,143,50,0,5,0,0,59,11,0,0,0,0,9,206,0,6,3,0,215
UCL222087,68,0,3,7,6,86,20,0,0,3,0,28,3,0,0,0,5,12,91,0,5,7,10,119
UCL222088,138,0,0,0,0,138,11,0,0,0,0,11,3,0,0,0,0,3,145,0,0,0,0,150
UCL222089,185,0,0,0,0,190,25,0,0,0,0,25,7,0,0,0,0,7,216,0,0,0,0,220
UCL222090,102,0,0,3,0,105,31,0,3,0,0,35,3,0,0,0,0,3,137,0,3,0,0,143
UCL222091,54,0,0,0,0,54,21,0,0,0,0,17,3,0,0,0,0,3,73,0,0,0,0,74
UCL222092,50,0,0,0,0,51,19,0,0,0,0,19,5,0,0,0,0,5,71,0,0,0,0,75
UCL222093,57,0,0,0,0,57,15,0,0,0,0,15,0,0,0,0,0,0,73,0,0,0,0,74
UCL222094,144,0,0,0,0,153,7,0,0,0,0,11,0,0,0,0,0,0,161,0,0,0,0,159
UCL222095,128,0,0,0,0,129,54,0,0,0,0,54,7,0,0,0,0,7,179,0,0,0,0,182
UCL222096,74,0,0,0,0,73,7,0,0,0,0,7,0,0,0,0,0,0,79,0,0,0,0,82
UCL222097,89,0,0,0,0,90,27,0,0,0,0,27,0,0,0,0,0,0,115,0,0,0,0,114
UCL222098,109,0,0,0,3,112,8,0,0,0,0,8,7,0,0,0,0,7,125,0,0,0,3,131
UCL222099,117,3,0,0,0,126,63,0,4,0,0,65,3,0,0,0,0,3,183,3,4,0,0,189
UCL222100,129,0,0,0,0,127,23,0,0,0,0,23,10,0,0,0,0,10,152,0,0,0,0,156
UCL222101,73,3,0,6,0,82,30,3,0,0,0,36,7,0,0,0,0,9,110,4,3,9,0,126
UCL222102,68,0,0,0,0,67,20,0,0,0,0,20,3,0,0,0,0,3,85,0,0,0,0,90
UCL222103,65,0,0,0,0,65,12,0,0,0,0,15,0,0,0,0,0,0,81,0,0,0,0,85
UCL222104,127,0,0,0,0,123,28,0,0,0,0,28,0,0,0,0,0,0,149,0,0,0,0,148
UCL222105,90,0,0,3,3,95,18,0,0,0,0,18,6,0,0,0,0,6,115,0,0,4,3,125
UCL222106,95,0,0,0,0,96,15,0,0,0,0,15,3,0,0,0,0,3,114,0,0,0,0,110
UCL222107,153,0,0,0,0,153,31,0,0,0,0,31,3,0,0,0,0,3,182,0,0,0,0,182
UCL222108,123,7,0,11,3,137,36,4,0,9,0,51,13,0,0,0,0,12,170,11,0,20,3,201
UCL222109,93,0,0,0,0,93,32,0,4,0,0,37,7,0,0,0,0,8,133,0,4,0,0,135
UCL222110,120,0,0,0,0,120,12,0,0,0,0,12,7,0,0,0,0,4,139,0,0,0,0,143
UCL222111,72,0,0,0,0,70,15,0,0,0,0,15,0,0,0,0,0,0,89,0,0,0,0,90
UCL222112,53,0,0,0,0,57,16,0,0,0,0,22,0,0,0,0,3,3,75,0,0,0,3,81
UCL222113,97,0,0,0,0,99,18,0,0,0,0,18,3,0,0,0,0,3,119,0,0,0,0,115
UCL222114,61,0,0,0,0,64,15,0,0,0,0,15,4,0,0,0,0,4,74,0,0,0,0,78
UCL222115,77,0,0,0,0,79,25,0,4,0,0,28,3,0,0,0,0,3,109,0,5,0,0,108
UCL222116,66,0,0,0,3,71,14,0,0,0,0,13,0,0,0,0,0,0,83,0,0,0,3,85
UCL222117,107,0,0,0,0,107,24,0,0,0,0,24,4,0,0,0,0,4,133,0,0,0,0,133
UCL222118,56,0,0,0,0,56,8,0,0,0,0,8,0,0,0,0,0,0,61,0,0,0,0,61
UCL222119,52,0,0,3,0,56,20,0,0,0,0,20,0,0,0,0,0,0,74,0,0,3,0,75
UCL222120,76,0,0,0,0,76,24,0,0,0,0,24,3,0,0,0,0,3,107,0,0,0,0,107
UCL222121,71,0,0,0,0,71,19,0,0,0,0,24,0,0,0,0,0,0,91,0,0,0,3,96
UCL222122,57,0,0,0,0,55,5,0,0,0,0,5,3,0,0,0,0,3,65,0,0,0,0,65
UCL231777,113564,373,271,992,908,116107,20928,95,130,680,198,22020,3283,13,23,134,121,3571,137775,480,419,1802,1224,141696
UCL279997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL299994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
