UCL_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL215045,0,5,3,0,3,4,3,11,12,4,15,17,11,30,38,18,14,35,31,16,43,19,13,38,25,19,49,36,6,44,35,8,47,30,5,38,67,0,67,23,0,28,11,0,11,8,0,12,18,0,18,41,4,44,0,16,15,391,161,556
UCL215046,3,3,8,0,3,3,5,4,9,7,9,16,5,29,31,14,11,27,31,4,32,20,21,41,38,14,55,36,3,40,29,0,32,18,0,19,42,0,44,22,0,22,9,0,9,4,0,4,4,0,4,20,0,20,5,12,14,315,116,433
UCL215047,5,4,9,0,3,3,5,4,16,6,19,23,7,29,30,18,9,24,47,18,66,28,16,41,38,11,46,58,9,70,37,3,33,35,5,40,36,3,44,16,0,16,10,0,10,8,0,7,8,0,8,26,0,28,13,8,17,390,139,529
UCL215048,0,3,4,0,0,0,0,12,12,0,12,15,0,11,15,7,12,18,18,13,27,11,14,30,25,11,38,25,9,37,17,5,22,16,8,22,22,6,28,14,0,11,12,0,12,3,3,11,19,0,22,27,7,30,7,9,15,229,139,365
UCL215049,5,3,14,0,4,9,0,7,7,0,9,13,9,23,37,10,9,17,31,17,41,39,18,63,47,14,63,43,19,60,39,14,55,55,11,67,99,12,106,69,0,69,50,0,52,61,4,64,118,0,118,83,3,86,9,9,21,769,189,959
UCL215050,3,6,16,3,13,18,8,32,43,15,65,84,35,131,165,28,65,97,125,46,173,87,53,143,120,49,171,96,22,120,58,19,73,86,20,106,130,10,140,61,3,65,35,0,35,21,8,28,21,3,20,129,7,136,17,42,64,1087,593,1680
UCL215051,3,3,5,3,8,10,3,24,23,3,32,34,17,75,88,19,39,53,47,22,68,35,14,55,52,12,62,34,14,50,17,12,29,15,3,17,33,9,46,9,0,8,9,0,9,0,3,8,7,0,11,30,8,38,0,7,8,337,285,627
UCL215052,4,15,18,4,8,12,8,26,34,4,40,47,26,114,142,30,68,102,69,39,107,54,54,111,92,51,143,79,20,99,62,16,75,62,12,76,78,18,95,56,4,57,23,0,26,14,4,19,26,0,28,91,9,94,14,30,46,801,526,1326
UCL215053,3,8,10,5,3,9,7,14,24,3,37,43,26,70,101,21,28,50,89,37,124,41,22,63,36,25,58,33,7,43,28,3,32,36,3,35,41,0,44,20,0,20,3,0,3,3,0,6,4,0,4,67,3,64,17,21,35,493,291,780
UCL215054,3,4,10,0,0,3,7,16,24,14,17,34,23,65,84,14,16,28,31,19,52,37,29,70,66,22,88,53,4,63,28,11,36,23,4,25,33,3,40,10,0,10,6,0,6,0,0,0,3,0,3,40,4,43,10,11,17,402,227,631
UCL215055,0,0,0,0,0,4,3,13,17,3,20,23,19,44,69,17,25,35,41,13,57,36,9,45,50,14,64,31,4,41,34,4,36,29,8,40,54,3,60,28,0,27,14,0,14,10,0,10,12,0,12,36,3,36,10,16,20,425,177,600
UCL215056,6,7,10,3,4,7,0,9,10,0,27,28,17,51,65,22,20,39,39,14,46,24,14,38,22,16,35,29,0,31,18,7,21,19,0,22,26,0,25,4,0,4,8,0,8,0,4,7,10,0,10,23,0,26,9,16,25,268,187,457
UCL215057,4,13,11,7,3,8,0,15,14,4,30,34,20,68,86,14,42,57,37,26,65,45,21,73,42,21,66,55,13,67,30,9,44,20,9,30,46,4,54,23,0,23,11,0,11,6,5,11,15,0,15,37,0,36,3,16,23,431,291,721
UCL215058,8,7,15,3,3,6,7,16,25,8,51,60,30,107,142,30,52,86,94,38,131,63,39,99,74,33,110,68,11,77,50,11,58,40,7,43,64,8,71,35,0,35,17,0,17,8,3,13,10,0,11,73,12,82,15,32,47,703,418,1126
UCL215059,0,10,7,4,3,11,0,19,15,3,24,27,22,71,98,16,29,47,55,28,83,35,22,56,43,17,64,36,13,42,36,5,44,19,3,28,46,3,53,32,0,32,11,0,12,4,0,7,19,0,19,53,0,60,9,23,33,453,279,736
UCL215060,0,3,3,3,4,7,3,11,13,0,22,24,23,54,68,16,21,35,50,26,75,33,26,58,39,22,56,42,5,51,25,3,27,24,3,24,23,5,33,18,0,18,8,0,7,3,0,10,14,0,18,25,0,32,7,23,31,362,227,588
UCL215061,7,3,5,3,0,6,0,8,14,0,24,30,15,65,78,14,30,48,61,32,92,44,22,68,46,21,65,54,10,64,24,4,30,35,8,40,48,3,48,17,3,23,12,0,12,5,7,11,17,0,14,44,3,46,14,20,31,453,269,726
UCL215062,10,11,18,0,6,6,16,38,51,13,64,83,38,157,194,30,57,89,123,48,173,86,49,135,108,33,144,87,33,115,61,13,72,61,3,69,85,5,95,50,0,50,26,0,27,23,3,21,18,0,18,91,3,95,28,47,71,950,578,1530
UCL215063,6,12,19,9,18,21,8,34,43,4,45,53,27,102,134,24,38,71,96,29,129,48,17,66,60,14,76,37,7,44,22,3,31,15,3,17,37,4,40,14,0,14,5,0,5,0,4,4,3,0,3,43,0,44,16,30,46,479,368,848
UCL215064,0,4,7,0,0,3,3,19,27,7,17,23,7,47,55,9,18,26,35,19,51,27,14,39,31,12,41,20,6,26,14,3,20,11,0,15,32,3,37,9,0,9,10,0,6,3,0,4,5,0,3,18,0,20,4,13,12,238,185,417
UCL215065,8,15,19,3,13,18,8,32,43,6,55,58,41,132,171,37,69,101,156,43,195,85,38,126,97,32,126,89,17,106,55,8,68,36,5,41,64,11,76,42,0,44,19,0,19,12,10,21,30,0,30,82,13,91,27,47,70,899,529,1428
UCL215066,11,15,19,4,11,14,4,21,32,6,41,46,23,95,115,25,68,99,77,48,124,88,46,129,96,48,143,87,35,120,58,20,72,64,21,81,94,20,114,89,3,88,49,0,49,39,11,53,65,0,65,105,3,107,6,32,39,994,536,1526
UCL215067,6,9,14,4,4,7,3,18,18,3,42,48,31,87,122,25,46,72,74,33,113,66,21,84,73,33,106,79,18,100,47,8,58,60,8,62,91,11,106,48,5,53,27,0,27,19,3,26,33,3,36,60,9,62,14,35,47,766,392,1164
UCL215068,6,9,12,4,4,7,13,24,36,15,50,66,33,111,141,32,31,56,95,34,127,58,34,92,70,27,97,73,7,87,42,11,48,38,9,42,77,6,78,24,0,24,9,0,9,5,3,6,10,0,10,75,0,80,22,32,52,694,390,1084
UCL215069,5,4,16,4,3,8,3,15,13,3,11,19,14,30,42,12,16,32,33,19,48,41,16,56,50,16,65,64,16,74,57,11,67,59,4,68,125,13,135,102,0,102,60,0,60,48,8,54,70,0,74,107,3,106,11,8,22,866,191,1059
UCL215070,12,5,18,3,8,10,4,16,18,7,22,31,23,38,63,12,14,25,46,29,72,40,18,62,46,27,71,53,7,54,29,4,34,27,9,30,35,6,39,14,0,18,13,3,11,8,3,5,15,0,18,43,4,48,17,22,47,446,236,683
UCL215071,3,6,14,3,0,10,9,21,31,6,52,52,43,99,143,37,52,89,102,19,122,57,20,78,63,32,94,54,19,70,42,15,53,51,11,61,72,16,86,46,0,46,22,0,23,9,0,8,17,0,17,59,4,64,19,25,43,723,384,1110
UCL215072,6,7,15,0,3,9,6,11,14,4,21,27,33,60,88,22,23,47,56,17,73,65,28,91,89,15,99,73,18,91,75,9,81,72,9,79,153,17,167,108,0,108,65,0,65,28,3,32,55,3,58,116,3,117,20,14,36,1036,250,1290
UCL215073,0,10,9,0,4,4,3,3,9,0,12,12,17,33,55,13,14,24,41,10,46,22,10,27,32,19,53,31,10,42,21,4,27,26,4,28,34,0,41,26,0,27,12,0,12,4,0,6,8,0,6,37,0,37,4,7,17,329,147,481
UCL215074,3,6,13,4,5,10,7,21,29,8,28,36,18,59,81,8,30,43,65,23,88,44,30,67,56,31,83,62,14,75,44,12,53,38,9,44,81,3,79,43,0,43,16,0,16,8,0,12,20,0,20,48,3,53,4,20,24,564,307,871
UCL215075,3,6,8,5,4,4,3,11,11,3,16,20,17,39,50,5,28,36,23,19,44,26,14,34,40,12,53,24,6,29,25,9,29,14,3,17,44,3,45,15,0,15,6,0,6,3,3,7,11,0,11,21,0,23,9,16,25,296,186,485
UCL215076,4,0,3,3,0,7,3,3,10,7,3,5,6,21,21,11,10,19,20,13,26,32,8,34,35,15,50,61,5,68,36,3,42,47,5,57,89,4,90,48,0,48,17,0,17,10,3,16,16,0,16,47,0,50,8,9,18,494,108,602
UCL215077,4,9,12,6,6,13,6,27,35,3,45,45,18,133,146,17,35,55,72,34,107,53,43,94,65,27,90,53,19,73,29,3,29,35,5,41,38,0,39,20,3,21,15,0,15,3,0,4,4,0,4,49,0,51,19,35,55,514,424,938
UCL215078,3,3,8,3,7,10,5,6,11,5,17,26,15,39,56,19,24,35,47,21,68,34,14,50,61,18,76,47,7,49,44,7,48,26,4,31,60,3,70,34,3,35,13,0,13,6,0,6,9,0,9,60,0,61,12,22,36,500,192,692
UCL215079,7,4,12,10,3,13,9,20,27,6,48,57,33,118,153,35,55,86,91,31,121,65,41,107,87,41,126,96,27,123,67,27,97,71,15,87,128,16,147,85,3,91,35,0,34,12,7,20,34,0,34,110,0,115,25,32,53,1015,487,1498
UCL215080,11,8,18,4,6,12,3,22,19,3,28,36,17,61,80,27,31,58,46,16,61,41,25,63,64,25,84,41,10,52,33,0,35,30,5,33,45,3,44,29,0,29,10,0,10,8,3,6,8,0,8,55,4,55,15,27,42,470,284,756
UCL215081,4,3,9,3,3,3,5,10,9,4,13,19,5,39,44,11,23,41,38,19,55,28,15,44,22,15,42,43,7,53,23,0,25,25,3,28,29,0,33,20,0,19,9,0,9,0,7,4,6,0,6,30,0,27,9,16,19,314,175,494
UCL215082,0,0,0,0,0,0,3,9,9,0,13,10,9,16,27,5,4,9,17,6,24,11,6,20,20,9,26,26,3,30,21,5,25,28,3,30,51,3,50,28,0,28,19,0,19,4,0,4,10,0,10,20,4,20,3,7,9,262,89,352
UCL215083,8,9,12,3,3,10,10,25,34,9,41,45,27,74,100,26,36,62,90,30,120,53,37,91,74,32,110,76,25,98,55,22,75,77,11,80,103,18,122,77,0,77,29,0,29,25,3,32,39,0,36,96,4,97,12,26,38,883,390,1270
UCL215084,7,0,5,0,0,0,3,0,3,0,3,10,3,23,23,8,9,17,18,13,28,18,9,25,34,10,45,31,12,44,37,0,39,40,0,43,62,6,68,39,0,39,22,0,22,22,0,21,26,0,26,49,0,44,11,5,12,431,88,520
UCL215085,3,7,14,8,7,13,0,19,22,7,26,32,22,66,89,28,41,75,49,37,85,40,19,61,58,26,80,48,13,53,40,9,47,29,4,32,49,3,50,23,0,24,12,0,12,6,4,13,4,0,4,50,8,61,7,11,25,488,297,783
UCL215086,4,7,9,3,10,16,3,21,22,7,55,56,24,110,141,29,35,65,76,23,94,48,25,79,64,21,77,52,13,71,32,10,42,34,3,34,56,7,67,30,0,30,11,0,16,3,4,5,12,0,10,52,7,56,10,29,39,555,383,934
UCL215087,12,10,20,4,8,13,6,12,22,6,44,51,33,108,141,24,34,54,76,27,107,62,21,86,80,39,116,74,23,97,74,18,93,85,11,93,115,3,116,94,0,96,35,0,35,33,5,40,36,0,36,100,5,105,26,31,55,965,411,1375
UCL215088,0,4,8,4,3,5,3,19,19,4,24,33,22,45,65,11,23,32,61,16,69,29,15,40,47,13,62,40,14,54,29,7,35,20,3,23,39,0,36,23,0,23,5,0,5,4,0,4,7,0,7,42,3,40,15,20,33,409,196,601
UCL215089,3,3,7,0,0,0,0,3,3,0,3,3,8,3,7,3,3,5,8,0,8,5,4,13,17,7,21,20,3,25,13,0,13,23,0,28,38,3,44,44,0,44,53,0,53,29,0,34,101,0,96,62,0,61,5,0,7,433,29,466
UCL215090,4,15,21,3,3,8,8,18,28,5,26,33,26,66,90,18,39,52,67,28,91,52,22,74,89,29,119,75,22,97,66,23,94,63,13,73,124,22,148,99,3,98,59,0,59,54,6,62,79,0,79,114,0,117,8,24,29,1010,359,1370
UCL215091,3,6,16,4,4,9,15,25,38,3,26,33,28,66,96,32,34,66,62,38,94,103,36,142,111,39,148,119,29,147,91,18,107,101,4,114,132,7,138,63,3,65,32,0,32,29,3,28,21,0,21,107,3,104,24,21,42,1078,360,1442
UCL215092,3,3,7,5,6,10,3,13,13,0,14,17,20,28,50,13,13,28,33,17,55,25,13,34,33,14,49,19,3,24,25,3,31,20,0,22,25,8,29,18,0,18,3,0,3,7,3,9,3,0,3,23,0,23,3,11,14,286,150,438
UCL215093,4,3,6,3,0,8,3,8,14,8,15,18,12,34,44,7,13,23,44,17,60,27,17,46,62,15,80,51,10,65,51,8,55,48,6,51,92,5,99,56,0,56,30,0,33,16,0,20,30,0,30,56,0,56,13,12,25,608,175,782
UCL215094,4,4,12,3,0,6,8,14,22,4,33,42,24,94,111,22,41,60,70,30,98,59,21,80,71,24,98,69,20,88,59,3,64,53,4,61,86,11,94,52,0,56,27,0,27,18,3,25,22,0,22,93,6,97,12,17,32,755,333,1082
UCL215095,3,3,3,3,5,8,0,7,10,3,24,26,10,24,33,10,16,27,44,11,61,19,6,28,27,20,45,23,7,28,29,4,32,20,0,20,41,6,45,28,0,28,6,0,6,9,0,9,4,0,4,21,0,23,5,9,11,307,137,440
UCL215096,3,4,10,3,7,6,7,15,22,4,38,41,14,98,116,23,38,65,62,29,91,45,28,75,57,21,82,44,5,54,22,4,29,19,3,27,29,3,31,13,0,13,5,0,5,0,4,4,11,0,11,35,0,39,12,21,41,418,327,742
UCL215097,4,7,12,4,0,4,3,13,21,3,26,31,16,41,55,16,17,32,44,15,55,22,17,33,28,13,47,24,12,37,17,5,24,9,3,19,27,3,26,19,0,19,5,0,5,7,3,15,9,0,9,23,0,24,4,17,24,290,206,492
UCL221001,0,0,0,0,0,0,0,0,0,3,3,4,3,5,10,4,9,10,17,6,25,13,4,14,8,6,13,19,3,24,19,3,18,23,0,23,28,0,26,13,0,17,9,0,9,8,0,8,8,0,8,19,0,19,5,3,7,189,45,238
UCL221002,4,7,11,3,3,3,0,5,5,5,6,8,12,24,27,3,17,20,17,4,19,15,7,22,19,14,35,18,3,26,19,3,15,17,3,20,21,3,33,13,0,13,5,0,5,4,5,6,7,0,11,24,0,24,9,0,17,217,107,325
UCL221003,3,3,4,0,4,4,3,5,9,3,19,25,10,66,76,13,6,22,45,16,59,24,14,35,30,7,34,20,7,26,15,5,20,11,3,17,8,0,12,9,0,9,6,0,6,0,4,4,3,0,3,29,3,28,11,13,24,247,170,422
UCL221004,0,0,0,0,0,0,0,0,0,0,7,8,0,14,13,0,5,5,20,3,22,4,6,13,9,4,10,18,3,19,17,3,20,21,0,21,23,0,23,7,0,7,0,0,0,3,0,3,0,0,0,12,3,13,3,3,7,137,49,191
UCL221005,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,3,3,3,6,3,6,4,0,7,7,0,11,17,0,17,8,0,7,13,0,21,30,3,33,18,0,18,17,0,17,8,0,8,28,0,28,25,0,25,6,0,3,190,21,212
UCL221006,3,8,8,0,0,0,0,3,5,0,15,12,13,23,35,4,12,21,19,3,25,10,13,18,11,8,26,17,3,25,3,7,10,9,3,17,12,0,16,11,0,14,7,0,7,0,0,3,6,0,6,21,0,21,4,6,13,164,108,273
UCL221007,0,3,3,0,0,0,0,0,0,7,6,10,5,12,21,4,0,5,20,7,24,9,6,20,13,9,25,10,3,8,8,3,16,16,0,21,15,0,18,12,0,12,11,0,11,3,0,3,7,0,7,10,0,13,0,3,9,150,68,215
UCL221008,0,0,4,0,3,3,0,9,9,4,9,10,3,16,21,5,11,15,8,5,17,14,6,17,12,3,18,8,4,13,13,4,15,10,0,10,21,4,24,8,0,8,0,0,0,3,0,3,0,0,0,16,0,16,3,3,7,138,82,223
UCL221009,3,3,10,3,3,6,0,8,8,0,11,11,10,29,43,6,11,22,26,3,34,22,11,28,24,7,26,15,3,18,9,3,13,12,3,16,20,0,20,4,0,4,5,0,5,0,0,0,3,0,3,25,0,25,4,16,23,198,107,309
UCL221010,0,0,3,0,0,0,0,3,3,0,9,11,3,18,27,15,7,16,14,4,20,12,0,12,19,3,24,20,3,22,15,5,17,6,3,9,14,0,14,6,0,6,9,0,9,0,0,0,5,0,5,17,0,18,3,3,6,162,72,238
UCL221011,0,4,3,0,0,0,0,6,3,0,9,9,7,16,23,4,0,11,22,6,31,5,6,17,15,7,23,14,4,17,7,0,11,9,0,9,13,0,13,8,0,8,0,0,0,0,0,0,0,0,0,18,0,16,5,14,18,147,72,225
UCL221012,3,0,0,0,0,3,0,3,3,0,0,0,7,3,3,5,3,8,3,0,3,4,3,10,12,0,18,13,3,20,13,0,12,11,3,14,26,0,26,14,0,14,4,0,4,6,0,6,12,0,12,14,0,15,4,0,5,145,25,166
UCL221013,0,0,0,0,0,0,0,4,4,0,0,0,0,3,4,0,0,3,10,0,9,7,7,15,12,0,12,13,0,13,14,0,10,10,0,10,11,0,12,15,0,15,10,0,10,10,0,10,5,0,5,18,0,18,0,0,3,135,21,149
UCL221014,0,3,3,0,0,0,0,3,3,0,0,0,3,7,13,4,5,9,10,9,20,5,3,13,10,5,18,12,3,11,12,5,16,11,3,10,33,3,29,15,0,15,7,0,7,10,0,10,4,0,4,22,0,22,6,4,8,153,58,208
UCL221015,0,4,4,0,0,0,0,11,10,3,13,12,7,23,36,13,14,29,37,14,45,21,9,33,15,13,26,18,7,31,11,0,11,15,7,19,22,4,22,11,0,11,3,0,3,4,3,7,7,0,7,25,0,26,3,9,12,219,136,352
UCL221016,0,0,0,0,0,0,0,0,0,0,8,8,3,7,9,4,0,3,12,3,19,7,0,7,13,3,15,18,3,22,13,3,13,11,0,11,27,0,31,19,0,19,6,0,6,0,0,0,3,0,3,6,4,8,5,4,11,149,36,181
UCL221017,5,0,4,0,0,0,0,5,6,0,9,9,13,27,41,17,14,24,22,3,27,18,13,27,30,0,33,32,0,35,20,3,17,9,0,9,26,3,27,13,0,13,3,0,3,3,0,3,3,0,3,22,3,21,3,6,8,234,90,328
UCL221018,3,7,12,4,0,4,0,12,19,6,18,28,13,59,71,6,19,28,40,20,58,25,14,39,31,12,41,19,9,23,15,3,18,14,3,18,21,3,27,14,0,9,0,0,0,3,0,0,0,0,0,27,3,33,4,14,14,242,193,438
UCL221019,3,5,10,3,3,10,3,16,19,0,24,26,11,66,82,21,17,35,58,18,79,40,10,51,38,15,59,39,3,40,14,8,27,22,3,23,37,5,40,19,0,19,6,0,6,3,3,3,4,0,4,44,7,49,11,16,21,372,227,601
UCL221020,0,6,9,5,0,7,0,19,21,0,16,15,8,47,53,13,16,28,30,13,45,18,22,40,24,10,35,31,3,29,19,3,18,8,0,8,11,3,14,3,0,3,0,0,0,0,0,0,3,0,3,28,0,24,10,14,25,215,163,377
UCL221021,0,0,3,0,0,0,0,7,7,3,9,11,13,14,31,11,7,21,28,10,37,25,8,32,23,4,30,16,0,25,12,5,13,10,5,12,11,3,12,5,0,5,3,0,3,6,0,6,0,0,0,22,0,23,8,7,15,200,89,289
UCL221022,0,7,4,0,0,0,3,12,13,0,23,21,15,47,61,14,23,38,38,9,51,26,10,35,26,8,31,24,5,29,7,4,14,11,3,16,5,3,5,6,0,6,0,0,0,0,0,4,0,0,0,17,0,17,4,18,20,201,172,374
UCL221023,0,0,3,0,0,0,0,6,6,0,6,8,0,13,20,7,5,11,15,6,22,8,6,12,8,3,13,11,0,15,6,0,10,8,0,11,15,5,19,16,0,16,4,0,4,0,0,0,0,0,0,17,0,17,0,6,5,118,72,193
UCL221024,3,5,9,0,0,3,0,6,5,9,28,33,11,55,66,16,13,30,34,7,36,18,16,28,18,4,19,7,6,12,4,0,8,3,0,3,9,0,11,4,0,4,4,0,4,0,0,0,3,0,3,15,0,15,8,13,22,164,160,325
UCL221025,3,0,3,0,0,0,0,3,3,0,8,8,13,21,34,12,14,18,34,7,41,27,9,29,28,5,29,24,0,24,21,7,26,15,0,19,20,0,23,13,0,13,3,0,3,3,0,5,12,0,16,15,4,22,3,3,10,239,87,331
UCL221026,3,5,6,5,4,7,0,5,5,3,6,6,5,29,35,13,13,28,33,11,45,14,20,37,26,9,37,26,0,28,22,0,26,18,0,17,22,0,23,10,0,10,0,0,0,5,0,5,5,0,5,30,3,33,3,4,8,243,115,359
UCL221027,0,4,4,0,0,0,0,15,15,0,19,19,5,45,51,3,12,21,21,17,41,24,15,32,18,13,29,18,3,27,3,3,8,3,3,11,8,5,14,15,0,15,0,0,0,0,6,3,7,0,7,14,0,20,4,3,12,159,154,310
UCL221028,0,3,4,3,0,4,0,0,0,3,17,25,6,35,41,10,10,21,24,14,34,17,23,39,14,3,23,17,3,17,5,0,9,11,0,11,14,0,12,3,3,10,4,0,0,3,0,3,0,0,0,10,4,14,12,13,20,158,133,292
UCL221029,0,3,3,0,4,4,0,10,10,3,13,17,10,40,49,6,12,19,22,9,33,13,12,27,17,9,22,15,3,21,9,3,15,6,0,9,10,0,15,0,0,4,4,0,4,3,0,3,6,0,6,25,0,25,8,15,16,169,136,300
UCL221030,0,4,6,0,0,0,0,3,6,0,3,6,3,11,11,0,3,3,9,9,17,14,4,19,21,0,21,12,6,13,9,3,12,9,6,14,13,8,21,18,0,14,8,0,8,7,3,12,21,0,21,16,0,16,3,3,6,172,65,238
UCL221031,0,0,0,0,0,0,0,0,0,0,6,6,4,9,13,3,5,14,14,4,19,17,4,24,13,3,20,11,4,14,7,3,11,20,0,20,24,0,25,16,0,16,12,0,12,18,3,20,11,0,11,17,0,16,0,0,3,185,48,228
UCL221032,4,12,12,3,0,3,3,16,14,9,16,30,9,54,65,17,15,26,43,17,60,23,11,31,20,9,26,29,10,32,13,4,19,12,6,19,13,0,17,4,0,3,7,0,6,0,3,3,4,0,4,20,0,23,10,8,19,250,187,437
UCL221033,0,7,6,3,0,3,0,3,3,0,3,3,10,5,17,7,7,7,13,4,12,6,0,5,7,3,15,10,5,20,6,3,8,10,0,10,13,0,13,22,0,22,13,0,13,3,0,3,15,0,15,22,0,29,3,0,5,168,38,208
UCL221034,0,0,0,0,0,0,0,3,6,3,5,10,7,12,20,0,3,5,10,3,15,15,0,15,19,5,22,12,3,17,19,0,15,5,0,8,17,0,17,13,0,12,3,0,3,3,0,3,0,0,0,12,0,17,5,0,8,145,50,189
UCL221035,0,3,3,0,0,3,0,4,7,0,13,12,7,27,33,8,9,16,19,5,23,8,4,13,17,7,17,18,0,18,12,4,12,6,4,9,8,3,18,3,0,6,3,0,3,0,0,0,0,0,0,11,0,11,8,5,8,135,92,229
UCL221036,3,0,3,0,0,0,4,0,4,0,0,0,3,3,3,3,0,3,4,5,13,11,0,10,14,3,16,13,0,13,20,3,20,12,0,12,29,0,29,24,0,24,26,0,26,6,0,6,22,0,22,16,0,19,0,3,4,209,18,225
UCL221037,0,0,4,0,0,6,0,14,15,0,22,20,10,39,48,3,12,11,31,7,35,17,12,31,21,5,26,22,3,25,12,0,13,8,0,9,10,0,10,3,0,3,0,0,0,3,0,3,6,0,6,13,0,13,4,11,20,164,130,293
UCL221038,0,0,0,0,0,0,0,4,3,0,4,6,3,15,15,3,3,7,7,3,14,13,10,24,21,0,26,18,3,22,14,0,14,11,0,12,15,3,24,23,0,23,11,0,11,5,0,5,9,0,9,22,0,22,4,0,5,197,53,248
UCL221039,0,3,3,0,0,3,0,3,3,3,11,11,6,26,34,3,9,12,24,11,34,14,4,19,13,9,25,15,5,20,15,3,17,5,0,7,21,5,22,8,0,7,8,0,8,0,0,0,5,0,5,13,0,13,3,0,7,163,96,263
UCL221040,3,3,3,3,4,5,4,12,16,0,8,14,9,15,28,7,7,11,18,10,24,13,17,32,26,10,35,24,3,29,25,3,34,23,4,28,48,6,47,25,0,25,14,0,14,8,3,11,5,0,5,35,3,33,4,3,7,300,102,403
UCL221041,3,0,3,0,0,0,0,3,4,3,0,5,6,9,10,9,8,9,12,3,15,6,6,14,24,4,24,21,0,19,12,4,12,16,0,18,38,3,39,27,0,27,12,0,12,6,3,11,7,0,7,24,3,25,4,3,3,221,47,268
UCL221042,4,3,7,0,0,0,0,3,4,0,10,10,10,19,26,3,7,13,26,7,33,17,6,28,16,8,25,25,7,31,12,3,11,12,0,12,26,3,26,12,0,12,10,0,10,0,0,0,7,0,7,17,0,19,7,4,11,205,77,280
UCL221043,0,4,4,0,0,0,6,5,11,4,6,9,9,19,26,9,8,13,20,3,26,21,9,34,19,8,25,4,3,12,12,0,16,8,3,10,12,3,17,13,0,13,3,0,3,3,0,3,3,0,3,9,0,13,3,3,6,163,76,238
UCL221044,0,0,0,0,0,0,0,3,8,0,3,3,4,6,11,5,3,4,8,4,13,14,3,13,18,8,25,15,3,18,19,0,20,10,0,12,19,0,19,10,0,10,4,0,4,4,0,4,3,0,3,14,0,15,8,0,4,158,33,193
UCL221045,5,3,7,3,3,8,3,25,28,0,24,24,20,71,85,13,15,26,51,11,64,36,18,52,17,5,24,8,4,12,3,0,3,3,0,3,9,0,6,0,0,0,0,0,0,0,3,3,0,0,0,16,3,20,10,16,24,193,203,395
UCL221046,0,6,8,3,0,6,3,12,16,3,23,32,12,57,67,8,15,25,52,20,68,18,17,35,26,15,46,28,7,32,16,0,13,10,0,10,20,0,20,6,0,6,3,0,3,3,0,3,5,0,5,29,3,29,3,4,10,253,192,445
UCL221047,0,0,3,3,0,3,0,0,0,3,5,7,6,17,22,3,7,14,12,7,20,13,6,17,21,7,33,16,7,20,15,3,21,11,0,11,30,3,33,12,0,16,10,0,5,5,0,5,3,0,3,17,0,17,5,0,6,181,71,250
UCL221048,0,0,0,3,0,3,3,0,3,0,10,11,3,10,20,4,4,7,13,3,18,12,7,22,20,3,22,24,3,30,28,6,34,30,0,35,31,0,33,25,4,30,10,0,10,3,0,3,9,0,9,17,3,19,4,0,4,245,52,295
UCL221049,0,0,0,0,0,0,4,0,3,0,0,0,3,6,7,0,4,3,10,0,10,8,3,6,12,4,14,5,0,5,7,0,11,17,0,17,27,0,30,18,0,18,5,0,5,8,0,7,15,0,15,16,0,16,0,4,3,144,24,168
UCL221050,8,0,11,0,0,3,4,10,10,3,12,15,10,30,45,9,19,25,45,16,63,34,10,46,43,23,65,34,3,40,24,8,26,17,5,19,20,3,23,28,0,28,3,0,3,0,3,3,14,0,19,32,3,29,5,4,11,344,153,495
