UCL_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL221052,0,3,3,5,3,0,0,0,0,12,0,0,0,3,0,4,0,0,0,17,16,16,29,58,65,55,10,0,3,255
UCL221053,0,0,4,0,4,0,0,0,0,12,0,0,0,0,3,9,3,0,0,16,8,17,41,41,71,61,20,3,0,275
UCL221054,0,0,3,0,7,6,0,0,0,12,0,3,3,4,4,9,0,0,0,23,20,44,44,39,77,72,10,0,0,304
UCL221055,0,0,5,3,0,3,0,0,0,14,0,0,3,3,0,3,0,0,0,13,15,28,48,77,78,74,22,3,0,337
UCL221056,0,3,0,3,3,0,3,0,0,14,0,0,0,0,7,3,0,0,0,10,0,11,27,40,62,44,10,0,0,194
UCL221057,0,7,0,0,0,0,0,0,0,10,0,0,0,0,3,4,0,0,0,4,11,17,30,41,52,58,10,3,0,220
UCL221058,0,3,3,0,3,4,0,0,0,17,0,0,0,5,5,9,0,0,0,15,16,15,43,85,71,58,7,0,0,298
UCL221059,3,0,0,3,0,0,0,0,0,13,0,4,4,0,3,3,0,0,0,13,19,22,61,69,66,58,16,0,0,306
UCL221060,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,3,3,0,0,9,10,3,6,24,21,46,29,0,0,140
UCL221061,0,0,3,3,0,0,0,0,0,13,0,4,8,7,9,3,3,0,0,35,11,43,75,75,87,53,8,0,0,348
UCL221062,0,0,3,0,4,4,3,0,0,17,0,0,0,3,8,0,0,0,0,14,15,21,52,33,78,77,19,3,3,296
UCL221063,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,6,8,34,33,45,39,10,0,3,184
UCL221064,0,0,3,3,7,0,0,0,0,14,0,4,0,8,6,3,0,0,0,19,16,38,65,92,87,50,3,0,0,345
UCL221065,0,0,7,3,0,3,0,0,0,15,0,0,4,0,7,0,0,0,0,14,8,20,66,53,45,46,9,0,0,256
UCL221066,4,0,0,3,0,0,0,0,0,11,0,0,4,3,0,0,0,0,0,13,17,17,35,45,49,52,7,0,0,230
UCL221067,0,0,3,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,5,14,12,59,86,82,65,14,0,0,328
UCL221068,0,3,5,0,4,0,0,0,0,13,3,0,0,3,3,4,0,0,0,13,22,22,64,64,104,68,18,3,0,363
UCL221069,0,6,7,11,3,3,5,0,0,37,6,0,4,3,16,5,0,0,0,29,41,43,142,190,217,139,32,0,0,806
UCL221070,0,0,3,6,3,0,6,0,0,21,4,0,0,0,3,0,0,0,0,15,24,14,49,63,96,61,24,4,0,329
UCL221071,0,0,0,3,4,0,0,0,0,13,0,0,3,0,3,0,0,0,0,5,20,13,39,54,77,36,5,0,0,243
UCL221072,0,3,0,5,0,0,0,0,0,5,0,0,3,4,8,3,0,0,0,19,10,18,26,51,85,73,23,4,0,292
UCL221073,3,0,0,0,0,3,0,0,0,3,0,0,0,6,0,5,0,0,0,17,17,12,31,39,63,78,26,0,0,262
UCL221074,0,0,0,3,0,4,0,0,0,7,3,0,3,0,7,7,3,0,0,12,3,11,28,42,52,63,8,3,0,215
UCL221075,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,10,11,54,27,51,63,9,0,0,230
UCL221076,0,0,4,3,3,3,0,0,0,11,0,0,0,8,3,5,0,0,0,12,10,9,44,54,58,55,4,3,0,243
UCL221077,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,0,0,10,12,8,15,17,52,48,13,3,0,163
UCL221078,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,4,0,0,0,10,4,10,42,54,61,63,13,0,0,242
UCL221079,0,6,5,3,3,0,0,0,0,16,0,0,4,0,5,3,0,0,0,10,33,31,58,91,123,70,21,0,0,426
UCL221080,0,0,0,0,0,0,0,0,0,9,0,0,4,3,3,3,0,0,0,8,6,9,37,25,47,50,13,3,0,194
UCL221081,0,0,0,5,3,0,0,0,0,9,0,0,0,3,3,0,0,0,0,10,26,19,54,103,108,97,24,0,0,429
UCL221082,0,0,0,0,0,4,0,0,0,7,0,3,0,3,0,3,0,0,0,9,14,21,50,44,59,59,12,0,0,265
UCL222001,0,0,0,0,3,0,0,0,0,5,0,3,0,0,3,0,0,0,0,6,13,14,13,25,47,35,6,0,0,156
UCL222002,0,0,0,0,3,0,0,0,0,8,0,0,0,0,4,3,0,0,0,6,4,10,21,33,51,45,10,8,0,178
UCL222003,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,0,3,5,5,31,27,29,25,8,0,0,127
UCL222004,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,3,4,0,3,0,0,0,15
UCL222005,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,8,4,6,15,12,28,17,0,0,0,87
UCL222006,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,11,8,23,28,42,46,15,0,0,177
UCL222007,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,6,3,6,15,34,24,3,0,0,89
UCL222008,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,8,15,37,35,28,8,0,0,125
UCL222009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,4,7,13,24,25,38,8,0,0,123
UCL222010,0,0,3,3,0,0,0,0,0,12,0,0,3,4,3,0,0,0,0,11,10,14,24,31,56,40,6,0,0,176
UCL222011,0,3,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12,9,27,41,46,32,3,0,0,175
UCL222012,0,0,0,0,0,5,0,0,0,4,0,0,0,0,3,3,0,0,0,10,15,6,9,28,42,46,3,3,0,147
UCL222013,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,0,7,3,7,14,14,27,26,6,0,0,98
UCL222014,0,3,0,0,0,5,0,0,0,8,0,0,0,3,3,0,0,0,0,7,3,10,19,28,47,63,8,0,0,187
UCL222015,0,0,0,0,0,0,0,0,0,9,0,0,3,0,4,3,0,0,0,16,13,22,39,37,69,59,5,3,0,247
UCL222016,0,0,0,4,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,17,17,27,53,60,33,3,0,0,199
UCL222017,0,0,0,0,0,3,0,0,0,3,0,0,6,0,0,4,0,0,0,12,4,20,58,46,53,26,5,0,0,218
UCL222018,0,0,5,3,0,0,0,0,0,11,0,0,0,3,0,3,0,0,0,6,12,12,41,39,45,28,3,0,0,177
UCL222019,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8,0,8,17,15,15,19,6,0,0,84
UCL222020,0,0,0,0,0,3,0,0,0,4,0,0,0,0,4,0,0,0,0,3,3,9,4,8,19,24,8,0,0,72
UCL222021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,21,24,29,10,0,0,0,95
UCL222022,0,0,4,5,0,0,0,0,0,8,0,3,0,4,3,0,0,3,0,15,6,16,20,40,53,47,10,3,0,188
UCL222023,0,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,6,8,15,22,33,22,4,0,0,109
UCL222024,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,3,0,0,6,3,13,7,14,29,23,11,0,0,105
UCL222025,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,5,13,12,49,60,45,20,3,0,0,199
UCL222026,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,4,13,30,42,31,25,13,8,0,0,151
UCL222027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,12,18,18,23,6,0,0,76
UCL222028,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,11,9,25,35,32,41,0,0,0,152
UCL222029,0,0,3,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,6,29,32,24,32,13,0,0,147
UCL222030,0,0,0,3,0,0,0,0,0,4,0,0,0,3,4,3,3,0,0,10,3,4,12,24,34,25,7,0,0,110
UCL222031,0,0,0,0,0,4,0,0,0,9,0,0,3,0,0,0,0,0,0,6,10,7,20,29,22,22,4,0,0,118
UCL222032,0,4,0,0,3,0,0,0,0,7,0,0,3,3,0,3,0,0,0,11,9,8,36,43,54,33,10,0,0,196
UCL222033,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,5,15,5,29,10,7,0,0,70
UCL222034,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,5,11,16,11,25,6,0,0,75
UCL222035,0,0,0,0,3,0,0,0,0,3,0,0,3,0,4,0,0,0,0,4,5,9,12,23,25,20,5,0,0,104
UCL222036,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,3,11,28,34,35,26,22,3,0,162
UCL222037,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,9,10,14,35,23,27,4,0,0,122
UCL222038,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,3,17,18,14,29,3,0,0,84
UCL222039,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,5,3,6,24,20,18,0,0,0,77
UCL222040,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,9,7,0,6,7,16,14,4,5,0,70
UCL222041,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,8,3,24,16,34,20,3,0,0,109
UCL222042,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,8,12,11,23,29,22,10,0,0,111
UCL222043,0,0,0,0,3,0,0,0,0,10,0,0,3,0,4,3,0,0,0,10,7,3,26,37,44,34,4,0,0,156
UCL222044,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,3,16,41,31,32,5,0,0,133
UCL222045,0,0,0,0,0,3,0,0,0,7,0,0,3,0,0,0,0,0,0,5,6,3,23,29,23,26,9,0,0,125
UCL222046,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,18,12,22,33,3,3,0,93
UCL222047,0,0,0,0,0,3,0,0,0,3,0,0,3,0,3,0,0,0,0,10,10,16,40,38,49,44,6,0,0,200
UCL222048,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,3,4,0,0,12,5,3,19,28,29,41,7,3,0,137
UCL222049,0,0,0,0,0,4,0,0,0,7,0,0,0,3,0,0,0,0,0,4,3,11,14,10,22,33,4,0,0,94
UCL222050,0,0,0,4,3,0,0,0,0,7,0,0,0,5,0,0,0,0,0,3,11,13,19,31,41,23,5,0,0,145
UCL222051,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,8,12,14,20,23,37,25,3,3,0,140
UCL222052,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,5,0,0,4,15,23,22,0,0,0,70
UCL222053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,14,7,38,18,4,3,0,94
UCL222054,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,8,6,14,15,20,31,11,0,0,101
UCL222055,0,0,0,0,0,3,0,0,0,7,0,0,0,0,7,0,0,0,0,5,3,7,22,37,53,51,10,0,0,174
UCL222056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,10,5,25,19,26,43,19,0,0,137
UCL222057,0,3,3,3,0,0,0,0,0,8,0,8,3,0,0,0,0,0,0,13,17,20,44,32,53,38,10,7,0,213
UCL222058,0,0,0,3,0,3,0,0,0,7,0,0,0,3,0,0,0,0,0,6,8,12,20,43,34,27,8,0,0,155
UCL222059,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,7,7,12,36,37,42,30,10,0,0,171
UCL222060,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,3,8,4,25,31,18,31,7,0,0,120
UCL222061,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,11,7,9,9,18,20,37,7,0,0,111
UCL222062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,21,47,28,9,5,0,0,0,125
UCL222063,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,8,0,5,17,26,35,22,9,0,0,119
UCL222064,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,4,22,42,13,6,4,4,0,0,95
UCL222065,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,18,10,18,15,8,0,0,80
UCL222066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,14,22,27,15,8,0,0,85
UCL222067,0,3,0,3,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,7,9,15,10,26,39,15,3,0,0,124
UCL222068,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,10,5,7,23,32,54,55,5,3,0,179
UCL222069,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,5,7,25,21,37,47,12,0,0,162
UCL222070,0,0,3,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,5,24,13,36,59,70,46,8,0,0,253
UCL222071,0,0,0,0,3,0,0,0,0,7,0,0,0,3,3,0,0,0,0,3,9,8,11,29,35,20,0,0,0,117
UCL222072,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,15,9,10,13,21,28,4,0,0,108
UCL222073,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,7,8,11,15,7,18,22,7,0,0,90
UCL222074,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,11,0,16,18,17,27,21,5,0,0,116
UCL222075,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,7,3,3,22,14,24,23,6,5,0,110
UCL222076,0,0,0,0,0,0,0,0,0,9,3,0,0,3,0,0,0,0,0,8,13,14,22,49,45,31,12,0,0,189
UCL222077,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,9,14,13,14,38,30,5,0,4,117
UCL222078,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,6,5,4,16,24,38,49,13,0,0,148
UCL222079,0,0,4,0,0,3,0,0,0,8,0,0,3,0,3,0,0,0,0,11,4,17,32,29,36,29,9,0,0,150
UCL222080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,3,3,7,9,14,22,12,0,0,75
UCL222081,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,11,6,8,21,29,37,29,9,0,0,135
UCL222082,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3,7,5,3,21,28,22,3,0,0,86
UCL222083,0,0,0,3,0,0,0,0,0,11,0,3,0,0,4,0,0,0,0,12,6,12,22,41,54,25,13,0,0,183
UCL222084,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,3,0,7,3,13,27,33,29,37,7,3,0,152
UCL222085,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,0,7,17,14,6,0,0,54
UCL222086,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,6,11,18,39,30,45,11,3,0,161
UCL222087,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,3,0,0,3,5,3,8,25,24,16,0,0,0,80
UCL222088,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,3,0,0,0,5,3,17,12,37,61,53,17,5,0,206
UCL222089,0,0,3,0,3,3,0,0,0,12,0,0,0,0,0,3,3,0,0,9,7,5,21,32,45,64,19,0,0,197
UCL222090,0,0,0,0,0,0,3,0,0,7,0,0,0,0,3,0,0,0,0,9,6,13,16,19,28,24,7,3,0,116
UCL222091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,8,17,13,17,9,0,3,71
UCL222092,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3,3,8,16,27,22,11,4,0,0,95
UCL222093,0,0,3,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,8,4,26,21,23,19,0,0,0,100
UCL222094,0,0,0,0,0,0,4,0,0,5,0,0,0,0,3,4,0,0,0,17,10,13,12,18,43,70,15,3,3,196
UCL222095,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,13,8,15,23,24,30,9,0,0,127
UCL222096,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,13,17,22,31,6,0,0,88
UCL222097,0,0,3,4,0,0,0,0,0,11,0,3,0,0,0,0,0,3,0,10,13,11,17,27,31,24,0,3,3,125
UCL222098,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,0,0,0,5,11,16,36,27,46,40,9,4,0,193
UCL222099,0,0,0,0,3,0,3,0,0,9,0,0,0,0,5,0,0,0,0,8,3,15,23,14,50,42,8,0,3,161
UCL222100,0,0,0,3,7,3,0,0,0,7,3,0,3,3,3,5,0,0,0,10,6,8,37,46,33,42,4,3,0,180
UCL222101,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,7,5,11,9,12,18,28,4,0,0,85
UCL222102,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,6,12,19,8,27,27,3,3,0,95
UCL222103,0,0,0,3,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,3,7,8,26,27,27,33,3,0,0,141
UCL222104,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,13,8,24,53,47,22,17,0,0,185
UCL222105,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,6,3,11,23,35,46,5,0,0,132
UCL222106,0,0,6,0,0,0,0,0,0,10,0,0,3,3,0,3,0,0,0,7,9,12,33,43,42,32,6,0,0,176
UCL222107,0,0,4,0,3,0,0,0,0,7,0,0,3,0,4,0,0,0,0,7,15,14,76,29,48,38,8,0,0,223
UCL222108,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,4,14,13,21,22,37,35,12,0,0,157
UCL222109,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,6,23,8,31,27,14,0,0,116
UCL222110,0,0,0,3,0,0,0,0,0,5,0,3,4,0,0,0,0,0,0,9,7,12,37,49,45,45,12,0,0,202
UCL222111,0,3,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,15,25,21,39,24,0,0,0,126
UCL222112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,21,16,18,10,5,0,84
UCL222113,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,7,6,10,22,31,38,33,3,0,0,137
UCL222114,0,4,0,0,3,0,0,0,0,10,0,0,0,0,0,3,0,0,0,8,0,14,30,9,16,17,3,0,0,91
UCL222115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,8,21,24,3,0,0,64
UCL222116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,8,4,12,17,30,19,3,0,0,96
UCL222117,0,0,8,0,3,4,0,0,0,11,0,0,0,0,0,0,0,0,0,6,10,9,27,28,48,39,5,0,0,165
UCL222118,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,7,6,11,11,20,22,13,10,3,0,94
UCL222119,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,6,12,23,25,21,4,0,0,91
UCL222120,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,11,7,15,23,25,24,9,0,0,118
UCL222121,0,0,0,0,0,5,0,0,0,6,3,0,0,0,0,0,0,0,0,8,9,10,22,16,19,20,3,0,0,100
UCL222122,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,10,13,11,18,27,29,3,0,0,105
UCL231777,433,698,1002,1227,1744,1289,355,36,7,6790,598,699,1015,1515,2238,1886,913,290,71,9210,11331,13855,25363,36129,50857,43557,14633,2963,520,199216
UCL279997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,8,3,0,0,0,23
UCL299994,0,6,30,16,16,6,3,0,0,89,4,16,46,24,38,12,0,0,0,148,64,289,726,386,300,215,42,7,0,2033
