UCL_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
UCL213010,105,524,352,4988,199,6173,0,3,0,28,7,40,93,3,0,15,0,112,45,5,9,9,3,68,315,70,50,155,12,598,844,484,345,3896,163,5736,102,3,21,7,0,136,18,5,0,14,0,41,192,77,41,392,18,728,68,3,3,44,0,117,41,3,0,0,0,49,29,4,0,7,0,37,169,99,62,1059,31,1430,121,35,16,182,12,361,0,0,0,0,0,0,4,0,0,0,0,8,5,0,0,3,0,6,288,45,21,174,6,544,14,5,0,3,0,30,32,26,19,8,3,89,115,16,9,48,5,191,23,6,0,17,5,49,322,120,90,988,22,1534,35,4,0,7,0,42,14,3,0,4,0,20,28,0,3,13,0,41,14,5,0,0,0,20,7,0,0,0,3,9,11,0,0,0,0,18,36,6,4,27,9,72,466,80,53,151,19,768,38,11,10,140,990,1187,3035,987,654,8971,1418,15059
UCL213011,125,371,249,4079,123,4950,0,3,0,38,0,40,104,3,6,17,3,130,37,3,3,8,0,52,184,56,35,108,4,387,640,395,244,3585,130,4994,132,0,15,4,3,149,21,0,0,28,3,53,165,40,27,302,4,536,91,18,0,30,0,132,32,6,0,12,0,51,69,4,0,5,0,72,139,86,29,947,22,1229,585,64,29,242,9,916,8,0,0,0,0,8,3,0,0,3,0,10,3,0,0,0,0,6,188,20,16,97,10,330,26,3,3,3,0,35,23,5,3,10,0,44,86,10,3,35,0,128,14,4,0,5,0,25,263,101,78,859,20,1320,14,0,0,0,0,19,11,3,0,3,0,14,25,3,3,12,0,46,25,7,0,0,0,34,0,0,0,0,0,3,12,0,0,0,0,12,11,3,7,29,0,48,497,55,38,118,19,720,54,7,5,148,1160,1381,3047,778,491,7784,1444,13540
UCL213012,62,697,516,5730,78,7091,0,0,3,7,0,12,77,3,18,35,0,126,26,4,3,13,0,47,205,77,50,126,6,457,1162,707,487,5766,108,8224,17,0,3,0,0,16,31,9,6,68,0,109,177,62,45,540,7,833,46,18,3,43,0,113,24,7,5,12,0,40,33,0,0,7,0,39,228,219,121,2625,30,3224,157,51,25,276,4,512,10,0,0,0,0,10,4,0,0,16,0,24,6,3,0,4,0,17,58,17,12,40,0,127,21,3,4,5,0,36,55,36,24,11,0,118,52,16,12,53,0,136,16,4,3,8,0,33,269,205,137,1882,29,2521,7,0,0,3,0,17,34,10,7,0,0,53,15,4,3,21,0,46,4,0,0,0,0,3,5,0,0,0,0,5,3,0,0,4,0,8,48,24,11,83,0,166,314,108,77,251,11,760,21,5,3,90,724,840,2547,1347,910,12475,927,18205
UCL213013,44,264,157,3905,81,4439,0,6,3,33,0,41,28,3,3,24,0,63,15,0,0,9,0,24,94,28,20,58,0,196,378,256,140,3227,80,4072,45,0,21,3,0,73,5,0,0,16,0,23,56,24,19,465,10,570,9,0,3,5,0,19,11,0,0,0,0,11,38,0,3,8,0,47,59,47,24,908,14,1053,36,15,6,94,3,162,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,3,21,10,5,26,0,67,29,5,3,0,0,46,22,3,7,4,0,43,5,0,3,11,0,20,0,0,0,5,0,8,110,87,42,910,18,1171,0,0,0,0,0,4,14,7,0,4,0,22,22,0,0,15,0,31,20,0,0,0,0,19,0,0,0,0,0,0,9,0,0,0,0,9,12,0,3,11,0,30,147,28,24,78,3,272,9,4,5,132,730,882,1025,481,289,7355,908,10061
UCL213014,65,432,326,4605,129,5554,0,0,0,26,0,27,119,0,5,28,0,158,28,11,0,4,0,52,150,35,33,124,0,344,699,404,304,3964,126,5502,89,7,24,4,3,125,17,12,0,23,0,48,87,47,22,374,8,545,32,11,10,25,0,71,9,4,0,6,0,25,181,0,0,9,0,195,114,86,50,1286,25,1569,106,43,27,245,3,426,3,0,0,0,0,3,5,3,3,8,0,17,5,0,0,3,0,13,14,8,0,16,0,36,5,3,3,7,0,20,39,7,7,8,0,68,64,10,6,27,0,106,17,0,3,9,0,30,171,83,73,1114,10,1447,4,0,0,3,0,12,22,0,0,0,0,24,16,0,4,3,0,29,48,0,6,0,0,56,3,0,0,4,0,7,56,0,4,0,0,60,28,0,5,35,0,70,344,54,56,145,10,612,22,7,5,159,908,1107,2135,757,569,8867,1169,13511
UCL213015,52,154,135,3817,104,4270,0,0,0,52,6,58,76,0,11,5,0,96,0,0,0,0,0,0,19,15,5,34,0,75,203,154,130,3012,94,3593,70,0,8,0,0,72,12,0,3,21,0,37,30,20,13,369,5,438,3,0,0,12,0,17,3,3,0,4,0,15,170,7,0,0,0,181,48,26,26,1138,26,1257,242,55,16,263,11,587,14,0,0,0,0,17,0,0,0,3,0,3,0,0,0,0,0,3,3,0,0,5,0,11,0,5,0,0,0,7,12,0,3,3,0,24,4,0,0,4,0,13,0,0,0,0,0,0,53,34,25,835,31,971,0,0,0,0,0,0,11,3,0,0,0,13,20,0,0,4,0,20,19,3,0,0,0,22,3,3,0,0,0,4,22,0,0,0,0,28,10,3,0,31,0,42,521,20,25,53,18,640,23,5,0,137,973,1137,1439,321,245,7396,1206,10600
UCL213016,66,668,534,5155,57,6474,0,0,0,20,0,25,39,24,18,58,3,145,46,15,0,28,0,94,158,73,45,106,5,386,1119,631,469,4946,81,7251,26,0,11,3,0,37,38,7,3,55,0,100,188,82,40,469,9,789,64,19,4,59,0,146,34,9,0,8,0,50,36,4,8,3,0,53,262,177,127,2200,17,2786,217,85,38,330,9,678,3,0,0,3,0,12,7,4,0,18,0,27,29,6,3,6,0,47,78,19,9,25,0,127,24,4,6,3,0,38,51,32,28,3,0,118,66,25,18,56,3,159,21,8,0,7,0,32,292,183,129,1590,20,2212,17,0,0,5,0,24,68,17,9,0,0,99,31,10,0,19,0,54,12,3,0,10,0,30,6,0,0,0,0,6,5,0,0,0,0,12,44,16,13,58,0,127,432,156,119,242,13,955,19,9,10,108,741,890,2756,1318,942,11020,914,16948
UCL213017,75,493,299,6331,131,7322,3,0,0,22,0,24,91,9,0,54,6,165,18,3,0,9,0,31,152,39,29,109,0,319,537,486,288,6124,142,7576,76,0,15,0,0,105,18,10,3,77,0,106,142,50,35,607,12,844,41,12,12,25,4,85,28,7,3,23,0,61,98,5,0,0,0,102,87,137,66,2461,38,2794,517,123,51,558,12,1271,0,0,0,0,0,0,6,0,0,0,0,4,3,0,0,5,0,7,6,11,0,8,0,31,13,8,3,0,3,29,20,15,21,13,0,65,39,4,3,16,0,63,12,0,0,12,0,26,162,109,79,1702,32,2084,14,0,0,0,0,12,30,3,0,4,0,36,19,3,4,19,0,45,30,8,0,3,0,34,11,0,0,0,0,13,5,0,0,0,0,5,16,9,3,51,0,74,352,82,60,181,9,679,22,10,5,219,1218,1467,2212,964,585,13280,1525,18566
UCL213018,67,446,343,4765,76,5695,0,0,0,18,0,18,108,3,3,22,0,144,29,9,3,6,6,47,211,64,32,149,7,459,739,471,351,4616,95,6276,45,0,7,6,0,62,13,3,3,51,0,72,152,44,26,430,15,663,35,16,0,39,0,92,23,4,6,7,0,40,86,3,5,0,0,98,162,122,68,1488,22,1858,141,56,13,244,3,464,5,0,0,0,0,5,3,0,0,3,0,7,0,0,0,0,0,0,12,9,4,32,0,57,5,0,4,0,0,11,33,23,19,21,0,96,53,11,9,27,0,106,16,3,0,6,0,26,191,132,87,1249,21,1682,7,0,0,0,0,12,40,6,0,3,0,52,10,7,0,14,0,35,28,0,0,0,0,32,0,0,0,0,0,6,18,0,0,0,0,17,24,5,11,42,0,89,362,67,59,150,0,643,30,10,0,135,737,910,2210,885,635,9611,935,14276
UCL214001,18,152,94,2680,48,2992,0,0,0,3,0,3,62,0,8,5,0,70,4,3,0,0,0,7,50,16,4,31,0,96,205,152,105,2308,62,2840,61,3,4,0,0,70,9,0,0,14,0,20,51,19,14,253,6,347,5,3,0,9,0,20,13,5,0,0,0,18,64,0,0,4,0,66,33,24,19,672,7,762,21,13,6,86,0,130,3,0,0,0,0,3,13,0,0,0,0,16,0,0,0,0,0,0,3,3,0,8,0,20,57,6,0,4,0,73,19,4,0,4,0,31,11,0,3,8,0,22,8,3,0,7,0,12,50,49,43,645,9,800,3,0,0,0,0,3,3,0,0,0,0,3,4,0,0,11,0,14,0,0,0,0,0,7,7,0,0,0,0,7,18,0,0,0,0,18,7,3,0,27,0,36,118,16,14,64,19,235,13,0,0,75,287,376,791,296,199,5206,423,6925
UCL214002,25,237,153,3354,93,3875,0,0,0,6,0,7,54,0,4,18,6,79,5,0,0,0,0,4,78,24,11,36,4,150,328,261,158,3007,84,3833,26,0,12,0,0,39,14,3,0,17,0,34,109,30,28,297,8,468,13,12,0,5,0,34,10,0,0,5,0,20,63,4,0,0,0,63,76,76,25,1105,21,1290,48,19,4,145,3,222,0,0,0,0,0,0,11,0,0,0,0,14,6,0,0,0,0,6,9,9,7,7,5,34,7,0,0,0,0,3,14,14,6,4,0,30,47,3,7,26,0,76,8,3,0,3,0,14,72,82,41,918,17,1127,7,3,0,3,0,7,3,0,0,3,0,8,4,0,0,4,0,11,10,0,0,3,0,15,0,0,0,0,0,0,0,0,3,0,0,3,7,4,3,32,0,48,186,35,33,90,3,347,17,0,3,82,604,705,1033,491,294,6682,807,9298
UCL214003,32,344,174,2985,75,3609,0,0,0,12,0,12,65,9,0,20,0,100,5,0,0,8,0,12,72,25,8,33,4,151,454,322,209,2875,61,3924,26,0,3,0,0,27,11,3,0,23,0,40,79,39,22,291,5,433,19,3,0,9,0,38,17,0,7,5,0,28,32,3,0,0,0,37,112,86,57,1107,19,1381,49,37,14,162,11,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,10,0,33,8,0,3,3,0,15,18,4,12,6,0,39,38,6,4,23,0,73,6,0,3,9,0,17,125,90,51,883,15,1164,7,0,0,0,0,10,6,0,0,0,0,11,9,4,0,8,0,18,9,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,3,25,12,6,35,0,74,245,62,47,129,5,487,15,6,3,106,1407,1530,1185,626,368,6191,1556,9932
UCL214004,36,150,68,1605,57,1922,0,0,0,5,0,5,46,0,0,13,0,55,7,0,0,0,0,10,27,5,5,20,0,63,259,135,71,1477,45,1999,28,0,3,0,3,34,8,3,0,5,0,16,35,14,8,146,0,213,3,5,0,3,0,14,3,0,0,3,0,4,84,0,0,3,0,87,42,42,12,533,6,633,275,68,21,236,9,612,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,4,0,4,5,3,0,0,0,10,12,3,0,3,0,15,10,7,0,4,0,26,3,3,0,3,0,10,7,0,0,5,0,9,59,33,6,351,12,472,4,0,0,0,0,4,0,0,0,0,0,0,5,0,0,3,0,7,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,7,5,0,7,0,23,248,18,10,39,4,318,26,3,3,61,347,442,1081,310,137,3370,472,5375
UCL214005,4,19,19,412,12,465,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,6,3,0,0,0,13,40,22,31,351,6,454,4,0,0,0,0,4,0,0,0,4,0,5,10,0,3,43,0,54,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,3,5,141,3,156,6,0,0,13,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,73,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,13,0,3,16,3,38,0,0,0,6,38,38,86,32,41,804,57,1024
UCL214006,49,450,271,3062,26,3866,0,0,0,6,0,7,69,3,7,28,0,107,38,15,0,12,0,62,77,33,15,75,0,199,660,353,279,2743,38,4068,13,0,0,0,0,18,23,8,0,22,0,47,106,53,17,289,7,473,23,13,10,21,0,68,19,3,0,5,0,30,35,10,8,3,0,49,173,120,78,1192,16,1576,147,63,30,209,3,459,4,0,0,0,0,4,3,3,0,3,0,12,21,0,3,13,0,35,105,28,9,93,4,244,12,3,6,3,0,23,32,13,14,6,0,73,46,20,7,40,0,114,10,4,3,7,0,24,201,101,74,875,13,1267,5,0,0,6,0,13,33,5,0,5,0,48,26,0,0,10,0,43,21,7,0,7,0,28,4,0,0,0,0,4,14,3,5,0,0,16,31,11,3,31,0,84,220,68,39,117,3,448,7,0,3,60,495,567,1743,799,510,6192,586,9822
UCL214007,21,197,154,3406,95,3877,0,3,0,7,0,12,61,0,4,14,0,80,0,0,0,0,0,3,75,21,15,51,0,157,294,157,137,2901,82,3573,13,0,0,0,0,19,9,0,0,11,0,22,41,34,19,542,11,643,10,0,3,10,4,32,5,0,0,0,0,5,68,3,0,11,0,83,54,42,29,928,19,1064,22,9,3,54,0,87,5,0,0,0,0,5,4,0,0,0,0,7,0,0,0,0,0,0,5,0,3,7,0,16,55,3,0,3,0,58,8,4,6,9,0,33,10,3,0,12,0,24,3,0,0,9,0,14,99,58,39,1004,18,1216,0,0,0,0,0,0,19,0,5,0,0,27,6,0,0,4,0,13,4,0,3,0,0,10,0,0,0,0,0,0,7,0,0,0,0,7,15,5,3,25,0,47,101,23,20,48,3,194,12,0,0,105,454,570,827,347,261,6807,645,8888
UCL214008,49,330,257,2835,58,3527,0,0,0,56,0,51,39,3,5,17,0,65,9,3,0,7,0,19,158,46,23,89,6,327,761,316,285,2308,67,3740,18,3,0,0,0,28,11,5,3,39,0,60,127,38,27,195,5,394,12,7,0,17,0,44,21,6,4,6,5,35,14,3,0,3,0,27,142,98,45,739,24,1047,82,44,13,128,4,262,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,6,0,11,10,6,0,13,0,21,11,3,0,4,0,19,37,16,12,7,0,70,31,4,8,18,0,68,8,0,0,6,0,16,186,90,64,653,22,1006,6,0,0,3,0,13,17,0,0,8,0,17,6,0,0,5,0,13,11,0,3,3,0,12,7,0,0,6,0,4,3,3,0,0,0,4,25,7,3,18,0,58,217,39,36,89,6,392,23,3,9,62,400,491,1630,614,475,5214,543,8480
UCL214009,20,179,156,1615,61,2031,0,0,0,3,0,3,15,0,3,10,0,29,11,0,0,0,0,9,91,26,19,50,3,179,342,176,113,1386,28,2050,3,4,0,0,0,6,18,0,0,8,0,32,56,16,8,110,8,195,10,0,4,12,0,27,9,0,4,3,0,20,17,0,3,0,0,17,53,31,26,544,11,664,77,25,10,91,5,206,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,0,5,17,3,0,0,0,26,3,3,0,0,0,3,18,5,7,5,0,39,15,3,3,10,0,31,6,0,0,0,0,6,90,61,39,454,10,654,3,0,0,3,0,5,10,3,4,0,0,18,0,4,0,10,0,15,3,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,6,10,3,22,0,35,101,30,21,51,9,216,7,3,3,56,300,366,844,341,253,3201,422,5067
UCL214010,21,256,179,2391,41,2886,0,4,0,9,0,8,115,3,5,9,3,133,8,0,0,6,0,19,38,23,6,34,3,101,338,212,159,1860,57,2630,33,0,3,7,0,38,10,0,0,19,0,31,64,21,14,166,4,273,26,3,0,34,0,64,6,0,0,5,0,13,53,0,0,3,0,65,110,76,58,752,26,1014,110,44,14,173,4,342,5,0,0,0,0,5,6,4,0,3,0,12,16,8,3,5,4,38,62,20,6,55,3,149,10,0,0,0,0,13,12,9,6,7,0,29,9,3,3,12,0,27,3,0,0,5,0,8,74,56,40,515,17,703,3,0,0,0,0,6,7,0,0,0,0,13,9,0,4,5,0,20,3,3,0,0,0,7,8,0,0,0,0,7,3,0,0,0,0,9,7,0,0,15,0,29,171,38,30,93,5,335,10,4,0,56,404,477,1152,443,317,4519,525,6952
UCL214011,29,120,80,2321,70,2624,0,0,0,9,0,11,13,0,0,11,0,26,4,0,0,3,0,5,25,6,8,18,0,57,169,130,94,1877,65,2343,42,0,0,0,0,44,3,0,0,13,0,15,42,12,12,164,3,231,13,3,0,7,0,21,9,0,0,3,0,10,32,0,0,3,0,33,40,24,16,588,11,673,139,14,8,148,7,313,14,0,0,0,0,17,0,0,0,0,0,0,5,0,0,8,0,14,7,0,0,0,0,8,15,0,0,0,0,15,5,3,9,3,0,20,6,0,0,3,0,8,3,0,0,0,0,3,47,25,20,536,7,644,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,3,0,19,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,20,0,19,96,11,8,47,0,161,7,0,0,75,407,485,647,217,163,4328,546,5899
UCL214012,18,169,107,2031,71,2398,0,0,0,33,0,37,44,3,0,14,0,65,8,0,0,0,0,10,79,19,13,36,0,144,371,165,101,1653,47,2340,17,0,0,0,0,17,6,0,0,14,0,25,61,9,15,168,4,255,34,11,0,17,0,62,7,3,0,4,3,14,13,0,0,0,0,9,72,40,21,504,20,652,98,26,5,121,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,4,0,10,0,41,5,0,0,3,0,16,16,7,4,3,0,36,10,5,0,9,0,25,4,0,0,0,0,9,122,36,29,481,10,674,3,0,0,3,0,7,4,0,0,0,0,6,3,0,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,7,0,0,3,3,12,17,3,0,14,0,36,119,17,15,55,7,215,17,3,4,80,572,675,991,315,197,3864,712,6071
UCL214013,16,155,119,1886,50,2229,0,0,0,10,0,10,32,0,0,12,0,43,0,0,0,6,0,6,78,23,23,71,5,202,184,148,120,1681,41,2176,23,0,3,0,0,26,0,3,0,11,0,10,41,18,10,129,0,198,3,0,0,3,0,11,3,0,0,0,0,0,61,3,0,0,3,71,50,41,22,443,9,577,62,20,3,122,9,221,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,6,4,0,3,0,9,16,5,0,0,0,19,6,3,8,0,0,19,3,0,0,3,0,12,0,0,0,0,0,3,56,33,33,443,16,584,0,0,0,0,0,0,3,0,0,0,0,3,3,6,0,4,0,11,10,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,14,87,13,17,45,3,169,8,5,6,58,305,374,648,277,219,3566,405,5119
UCL214014,14,159,138,2933,106,3349,0,0,0,12,0,12,22,0,0,46,0,72,3,0,0,3,0,11,50,7,3,21,4,94,339,153,153,2563,95,3301,35,0,7,4,0,47,0,0,0,17,0,23,36,14,8,190,0,250,19,12,3,8,0,46,7,0,0,0,0,8,33,0,0,0,0,31,62,23,23,694,16,814,37,21,12,144,3,206,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,5,14,4,0,9,0,29,6,3,0,5,0,12,10,6,3,3,0,28,11,3,0,6,0,18,6,0,0,0,0,6,80,40,37,634,16,803,0,0,0,0,0,3,3,0,0,0,0,7,4,0,5,4,0,7,3,4,0,0,0,9,0,0,0,0,0,0,3,0,0,3,0,8,11,4,3,30,0,51,96,17,12,55,9,199,3,3,4,76,400,490,770,284,255,5583,605,7496
UCL214015,40,243,137,1973,49,2440,0,0,0,8,0,8,16,3,3,17,0,33,55,8,5,16,0,81,75,23,6,27,0,126,493,200,120,1900,66,2782,8,0,0,0,0,13,21,0,4,13,0,41,66,16,7,144,0,234,116,12,3,19,4,154,12,5,0,4,0,19,6,3,0,3,0,17,102,71,27,770,17,980,154,25,8,102,0,289,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,9,154,14,11,20,0,199,9,4,4,0,0,15,23,8,5,3,0,44,34,9,0,9,0,47,13,0,0,7,0,20,121,69,43,596,13,837,13,0,0,0,0,14,4,3,0,0,0,8,11,0,0,8,0,22,3,0,3,0,0,12,0,0,0,0,0,0,10,0,0,0,0,10,20,3,0,20,0,42,144,58,16,86,3,307,19,0,0,51,469,538,1428,465,244,4158,595,6881
UCL214016,26,180,89,2044,50,2392,0,0,0,8,0,11,115,0,3,20,4,137,13,0,0,3,0,10,40,22,8,28,0,99,201,153,99,1653,48,2156,64,0,4,0,0,74,5,0,0,18,0,28,50,26,9,171,6,249,7,3,4,10,0,23,10,3,0,4,0,17,15,7,0,8,0,25,51,39,24,534,10,657,92,16,9,100,9,229,5,0,0,0,3,6,0,0,0,3,0,3,0,0,0,0,0,0,16,3,3,6,0,35,6,0,0,0,0,8,3,11,0,3,0,20,26,4,0,14,0,52,3,0,0,0,0,6,39,46,32,447,13,576,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,6,0,14,7,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,5,0,3,10,0,21,121,29,17,45,3,208,5,0,4,76,610,694,812,333,182,3795,722,5844
UCL214017,18,130,80,2063,60,2351,0,0,0,3,0,3,33,0,0,4,0,40,3,0,0,0,0,6,23,12,8,18,0,68,158,117,79,2019,35,2421,28,3,0,0,0,32,3,0,0,12,0,18,17,15,4,235,6,275,6,3,0,3,0,13,0,0,0,3,0,9,33,5,0,3,0,40,25,12,12,472,9,533,8,3,0,53,0,64,8,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,3,0,0,0,0,11,8,5,0,0,0,23,5,6,0,3,0,15,0,0,0,0,0,0,32,37,22,454,5,547,3,0,0,0,0,4,14,0,0,0,0,13,4,0,0,0,0,4,10,0,0,0,0,10,0,0,0,0,0,0,7,0,0,0,0,3,6,0,3,20,0,29,124,8,15,53,0,203,3,0,0,63,368,433,513,225,144,4176,464,5520
UCL214018,55,318,192,2834,45,3438,0,0,0,14,0,17,56,0,3,15,0,77,30,7,0,16,0,56,49,7,0,48,0,109,455,218,160,2118,50,3007,28,0,7,0,0,42,11,4,0,14,0,29,72,37,14,195,5,321,52,14,10,53,8,135,15,9,3,5,0,26,89,3,3,9,0,103,92,71,40,725,16,941,214,74,35,230,5,564,3,0,0,0,0,3,26,3,3,9,4,42,40,8,4,25,0,79,147,38,20,110,6,321,16,3,3,5,0,21,21,17,9,4,0,48,40,6,3,19,0,66,4,0,0,5,0,13,120,68,46,503,19,763,6,0,0,0,0,12,24,0,0,0,0,30,13,0,6,0,0,24,35,3,0,9,0,40,25,3,0,0,0,30,3,0,0,0,0,5,17,4,6,12,0,41,322,60,43,82,12,512,18,6,3,79,560,668,1721,578,361,5166,698,8520
