UCL_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL215094,0,5,7,8,11,20,44,34,26,166,0,0,0,0,0,0,0,3,3,11,8,7,18,29,37,25,35,30,11,212,79,142,331,334,423,353,345,175,99,2278
UCL215095,0,0,4,3,3,10,21,14,3,51,0,0,0,0,3,0,0,0,0,5,4,3,13,4,6,23,17,11,4,87,18,69,172,117,122,168,144,68,15,890
UCL215096,0,0,3,4,6,22,37,39,36,142,0,0,0,0,4,5,0,0,0,13,13,11,18,10,15,26,32,34,28,184,32,71,168,126,191,252,252,191,109,1403
UCL215097,0,0,0,0,3,15,19,26,19,85,0,0,0,0,0,0,0,0,0,3,4,4,7,5,13,21,28,17,5,113,30,43,84,109,136,198,190,117,45,954
UCL221001,0,0,3,0,0,3,12,4,0,29,0,0,0,0,0,0,0,0,0,0,8,3,5,12,6,3,7,4,3,44,30,44,88,111,109,82,41,19,5,533
UCL221002,0,0,0,0,4,3,10,14,5,36,0,0,0,0,0,0,0,0,0,0,10,0,5,17,12,14,9,11,3,76,19,36,74,108,114,139,113,49,13,665
UCL221003,0,0,0,3,7,10,20,33,12,91,0,0,0,0,0,0,0,0,0,3,3,0,0,6,5,15,24,17,17,89,11,39,71,109,97,152,170,108,28,784
UCL221004,0,0,3,0,0,3,9,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,7,9,3,0,34,13,30,62,67,84,70,43,14,9,395
UCL221005,0,0,0,0,0,3,0,5,6,14,0,0,0,0,0,0,0,0,0,0,3,0,0,5,13,9,8,3,0,40,31,35,32,93,165,93,51,21,9,533
UCL221006,0,0,0,0,5,0,20,17,8,47,0,0,0,0,3,0,0,0,0,0,0,3,14,3,8,5,16,13,12,75,10,30,80,56,94,69,109,54,32,530
UCL221007,0,0,0,0,3,4,5,3,3,24,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,10,3,0,31,7,20,61,72,67,68,78,27,3,404
UCL221008,0,0,0,0,5,9,11,10,0,33,0,0,0,0,0,0,0,0,0,0,0,3,5,5,7,10,6,4,3,44,13,25,54,58,80,95,79,24,5,435
UCL221009,0,0,0,3,4,9,12,17,25,74,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,13,21,22,22,90,12,12,49,77,78,117,129,82,70,621
UCL221010,0,0,0,0,4,3,6,7,3,20,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,12,0,6,0,37,12,26,83,68,66,105,50,27,3,441
UCL221011,0,0,0,0,0,3,4,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,13,10,4,7,52,9,26,41,78,82,82,69,29,10,416
UCL221012,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,10,11,5,7,11,5,0,40,6,19,44,88,98,72,52,10,10,402
UCL221013,0,0,0,0,0,4,13,5,0,23,0,0,0,0,0,3,0,0,0,8,4,0,3,3,6,6,0,0,0,25,10,12,33,84,92,71,39,11,9,359
UCL221014,0,0,0,3,0,4,3,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,7,19,7,5,5,0,52,16,32,89,85,112,70,47,25,6,474
UCL221015,0,0,0,3,3,0,4,13,0,29,0,0,0,3,0,0,0,0,0,3,0,3,8,12,18,16,19,12,9,93,14,28,80,90,96,155,155,78,18,699
UCL221016,0,0,0,0,0,0,7,3,0,12,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,5,0,16,12,20,73,86,72,70,36,16,10,381
UCL221017,0,0,0,5,4,8,5,7,7,40,0,0,0,0,0,0,0,0,0,0,0,4,0,3,7,8,17,8,4,48,27,50,65,86,120,146,93,40,19,644
UCL221018,0,0,0,3,5,3,24,24,18,83,0,0,0,0,0,0,0,3,0,3,0,0,3,10,6,15,14,14,22,79,14,28,55,73,146,179,133,107,65,803
UCL221019,0,0,3,3,13,23,31,27,11,110,0,0,0,0,0,0,0,4,0,3,7,7,13,6,19,31,25,26,10,140,46,63,104,145,191,275,212,118,40,1183
UCL221020,0,0,0,3,6,9,20,25,30,97,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,17,18,20,22,90,11,22,74,65,110,149,128,92,75,718
UCL221021,0,0,0,3,8,3,17,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,9,22,6,5,65,23,19,50,52,93,126,156,44,13,589
UCL221022,0,0,0,0,6,4,19,9,3,41,0,0,0,0,0,0,0,0,0,0,0,4,8,13,11,15,21,12,9,87,5,28,71,74,94,137,188,76,22,687
UCL221023,0,0,0,0,0,3,3,3,3,15,0,0,0,0,0,0,0,0,0,0,3,3,10,12,17,14,12,5,0,64,7,15,41,70,81,76,67,30,19,407
UCL221024,0,0,0,0,7,16,24,20,8,77,0,0,0,0,0,0,0,0,0,3,0,0,5,7,13,11,14,18,0,72,9,25,43,44,103,140,125,86,25,592
UCL221025,0,0,0,0,4,9,24,12,4,50,0,0,0,0,3,0,3,0,0,9,0,0,0,3,14,20,17,9,7,72,18,26,55,57,113,181,186,65,22,718
UCL221026,0,0,0,3,3,9,10,4,0,35,0,0,0,0,0,0,0,0,0,3,3,0,3,8,16,12,15,5,0,70,21,45,63,106,175,165,106,37,10,728
UCL221027,0,0,0,0,5,5,17,19,11,55,0,0,0,0,0,0,0,0,0,0,0,3,3,5,9,11,23,13,22,85,8,27,56,43,78,99,133,86,51,597
UCL221028,0,0,0,0,6,3,14,28,19,70,0,0,0,0,0,0,0,0,0,3,3,0,6,6,14,22,26,17,14,115,17,28,60,60,109,116,128,87,51,656
UCL221029,0,0,0,0,0,7,17,19,9,53,0,0,0,0,0,0,0,0,0,0,3,4,3,3,8,8,11,19,9,57,12,32,46,54,99,102,106,86,18,556
UCL221030,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,13,15,4,0,44,9,21,15,58,70,130,150,73,17,534
UCL221031,0,0,0,0,3,3,7,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,3,0,0,0,18,11,52,77,77,109,95,44,13,0,477
UCL221032,0,3,3,0,4,7,21,12,4,61,0,0,0,0,0,0,0,0,0,5,0,5,6,10,7,15,37,19,3,104,21,41,86,97,123,161,189,80,11,806
UCL221033,0,0,0,0,0,3,7,7,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,9,3,0,0,28,15,27,45,80,100,88,76,14,4,453
UCL221034,0,0,0,0,5,0,3,5,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12,11,4,0,42,12,30,47,74,66,92,66,36,7,420
UCL221035,3,0,0,0,3,0,20,16,12,55,0,0,0,0,3,0,0,0,0,3,6,3,0,4,12,14,7,13,31,84,7,24,45,36,75,88,80,63,50,462
UCL221036,0,0,0,0,0,0,4,3,3,10,0,0,0,0,0,4,0,0,0,3,4,0,5,0,3,4,0,0,0,19,25,33,74,150,123,75,41,10,8,528
UCL221037,0,0,3,0,0,8,25,23,32,96,0,0,0,0,0,0,0,0,0,3,10,0,4,9,13,13,23,17,4,99,18,26,58,73,83,115,117,79,49,612
UCL221038,0,0,0,0,0,0,11,3,0,18,0,0,0,0,0,0,0,0,0,0,3,0,0,14,6,10,7,0,0,34,20,25,69,99,121,98,66,27,4,535
UCL221039,0,0,0,0,4,10,10,10,19,56,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,16,10,26,65,48,84,88,97,57,36,505
UCL221040,3,0,0,0,6,6,3,3,0,22,0,0,0,0,0,0,0,0,0,3,5,5,16,17,17,17,13,0,0,93,40,54,112,192,207,171,92,13,4,884
UCL221041,0,3,0,3,0,3,3,3,3,25,0,0,0,0,0,0,3,0,0,3,0,3,6,7,6,12,10,0,0,48,18,30,92,146,128,110,65,15,3,601
UCL221042,0,0,0,0,3,4,13,15,3,43,0,0,0,0,3,4,0,0,0,8,12,3,8,20,13,26,17,10,12,110,19,18,77,80,108,142,103,52,18,621
UCL221043,0,0,0,0,4,3,5,10,3,22,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,11,13,3,0,48,8,22,34,65,84,93,119,50,10,473
UCL221044,0,0,0,0,0,4,7,6,3,19,0,0,0,0,0,0,0,0,0,0,3,4,5,3,7,3,3,3,0,30,14,28,72,82,87,81,42,20,4,431
UCL221045,0,0,0,3,4,17,31,19,11,84,0,0,0,0,0,0,0,3,0,5,0,0,3,9,11,26,28,24,4,105,6,11,21,44,95,185,242,107,29,732
UCL221046,0,0,0,0,0,8,11,11,7,40,0,0,0,0,0,0,0,0,0,0,0,0,5,6,13,17,23,15,13,82,6,15,46,77,131,201,242,103,39,858
UCL221047,0,0,0,0,0,3,0,7,0,10,0,0,0,0,0,0,0,0,0,0,4,3,4,5,13,19,13,11,0,70,29,41,52,74,102,100,84,29,3,523
UCL221048,0,0,0,3,0,4,3,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,25,9,4,10,5,0,3,52,16,52,244,131,59,56,45,21,3,626
UCL221049,0,0,0,0,0,0,5,3,0,13,0,0,0,0,0,0,0,0,0,0,3,0,4,9,3,5,3,0,3,25,27,34,63,66,102,66,52,16,10,426
UCL221050,0,0,0,0,3,4,17,15,0,38,0,0,0,0,0,3,0,0,0,3,0,0,9,13,10,27,31,8,7,96,15,29,71,110,139,243,295,117,20,1040
UCL221051,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,3,0,0,18,20,35,47,117,97,86,35,22,0,463
UCL221052,0,0,4,3,3,5,13,22,24,79,0,0,0,0,0,0,0,0,0,7,3,3,3,6,9,18,21,18,8,84,11,22,47,77,91,114,97,76,48,596
UCL221053,0,0,3,0,3,8,20,22,9,68,0,0,0,0,0,0,0,0,0,3,3,4,3,0,0,8,10,4,8,41,16,29,63,61,100,126,113,65,28,594
UCL221054,0,0,0,0,7,4,8,3,3,26,0,0,0,0,0,0,0,0,0,4,0,0,0,5,10,3,0,0,0,19,17,53,51,57,95,97,41,10,9,415
UCL221055,0,0,0,5,3,5,10,20,15,54,0,0,0,0,0,0,0,3,0,3,0,0,0,9,4,13,10,7,9,49,15,34,61,90,97,118,120,81,31,650
UCL221056,0,0,0,0,3,5,9,14,0,29,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,10,18,3,0,40,4,21,28,55,81,115,173,61,3,541
UCL221057,0,0,0,0,0,7,3,6,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,9,4,4,34,10,23,50,50,74,120,84,53,5,461
UCL221058,0,0,0,3,3,4,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,11,11,6,8,5,0,45,19,30,82,119,104,87,56,27,0,521
UCL221059,0,0,0,0,0,0,11,4,3,20,0,0,0,0,0,0,0,0,0,0,0,3,6,3,15,4,10,10,3,48,10,30,72,77,87,100,75,45,13,505
UCL221060,0,0,0,0,0,0,11,6,6,25,0,0,0,0,0,0,0,0,0,0,0,3,3,4,8,5,12,18,3,59,5,13,17,43,43,112,172,90,21,514
UCL221061,0,0,3,6,4,5,19,6,0,45,0,0,0,0,0,0,0,0,0,3,8,6,31,23,35,24,23,3,0,153,22,64,130,119,144,135,82,21,5,721
UCL221062,0,3,4,0,6,7,20,34,14,93,0,0,0,0,0,0,0,0,0,3,3,4,10,10,4,23,19,7,8,88,20,40,80,59,125,155,182,115,41,820
UCL221063,0,0,0,3,3,5,16,17,15,58,0,0,0,0,0,0,0,0,0,3,0,0,7,3,7,19,22,10,7,79,7,20,52,52,70,100,81,49,33,472
UCL221064,0,0,3,0,4,5,8,3,0,20,0,0,0,0,0,0,0,0,0,0,6,3,3,6,5,0,0,0,0,26,18,46,88,109,110,72,33,6,5,483
UCL221065,0,0,0,0,0,7,9,6,3,31,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,5,10,0,0,26,19,20,86,68,70,90,57,22,4,432
UCL221066,0,0,0,0,3,8,8,9,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,9,3,4,29,13,29,53,62,66,94,48,18,6,391
UCL221067,0,0,0,3,3,0,14,3,3,21,0,0,0,0,0,0,0,0,0,0,0,3,9,4,8,4,17,7,0,55,8,29,83,113,106,106,103,25,11,584
UCL221068,0,0,0,0,0,9,20,16,13,60,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,8,16,10,4,43,19,27,96,90,119,125,121,78,51,731
UCL221069,0,3,5,0,9,5,15,12,3,50,0,0,0,0,0,0,0,0,0,0,3,0,10,12,8,14,9,4,0,66,42,52,189,243,269,225,149,31,12,1218
UCL221070,0,0,0,0,0,3,9,12,13,40,0,0,0,0,0,0,0,0,0,0,3,6,3,0,9,18,16,10,3,75,23,26,58,83,119,114,96,81,36,629
UCL221071,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,13,5,0,0,0,26,14,15,51,73,106,69,25,3,0,349
UCL221072,0,0,0,0,3,5,15,14,3,38,0,0,0,0,0,0,0,0,0,0,4,3,4,11,11,17,21,25,19,116,12,33,37,72,109,131,146,70,35,644
UCL221073,0,0,0,0,0,4,3,11,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,5,7,4,37,10,13,39,56,71,144,134,64,16,549
UCL221074,0,0,0,0,3,3,16,7,3,31,0,0,0,0,0,0,0,0,0,0,8,6,20,22,40,77,72,31,7,280,11,25,61,79,124,218,218,83,15,838
UCL221075,0,0,4,0,3,4,17,13,12,55,0,0,0,0,0,0,0,0,0,0,0,3,0,6,5,10,12,14,8,68,9,24,62,38,90,111,112,62,52,573
UCL221076,0,0,0,0,0,9,6,0,0,24,0,0,0,0,0,3,0,0,0,3,5,0,3,4,11,20,11,0,0,56,13,15,67,70,90,102,50,13,3,422
UCL221077,0,0,0,0,7,10,26,21,10,71,0,0,0,0,0,0,3,0,0,5,4,9,10,11,13,19,27,15,6,116,16,31,33,44,87,123,140,68,19,551
UCL221078,0,0,3,0,3,8,19,6,4,43,0,0,0,0,0,0,3,0,0,3,0,3,5,7,3,16,12,7,0,51,4,22,68,76,90,127,94,42,8,530
UCL221079,0,0,4,0,3,5,15,3,0,29,0,0,0,0,0,0,0,0,0,0,4,0,6,11,12,19,9,3,0,66,25,43,85,138,159,144,84,16,0,696
UCL221080,0,0,0,0,0,4,7,19,24,53,3,0,0,0,0,0,0,0,0,3,0,0,13,5,8,10,15,13,9,68,3,12,48,50,81,84,82,77,52,494
UCL221081,0,0,0,0,5,3,10,20,18,59,0,0,0,0,0,0,0,0,0,0,0,3,0,7,5,13,5,17,6,58,12,21,66,124,129,142,123,91,57,771
UCL221082,0,0,0,0,0,0,5,6,3,25,0,0,0,0,0,0,0,0,0,0,3,0,5,3,3,8,10,3,0,32,19,36,72,69,71,93,58,29,16,458
UCL222001,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,3,18,6,10,18,25,56,48,25,7,6,217
UCL222002,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,14,0,10,32,47,58,66,50,25,0,294
UCL222003,0,0,0,0,0,3,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,7,5,39,25,35,44,20,9,0,180
UCL222004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,5,0,7,3,3,0,3,0,0,0,23
UCL222005,0,0,0,3,0,3,5,3,3,14,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,3,7,0,0,25,11,14,27,17,43,32,33,13,3,184
UCL222006,0,4,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,4,3,0,10,4,3,4,0,0,30,5,15,25,41,60,71,65,17,3,300
UCL222007,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,9,6,4,9,20,41,34,32,8,3,154
UCL222008,0,0,0,3,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,14,6,0,0,30,9,3,25,55,43,50,45,9,0,233
UCL222009,0,0,0,3,0,5,11,9,6,31,0,0,0,0,0,0,0,0,0,0,0,4,7,4,4,3,7,3,4,38,6,10,21,34,37,62,50,27,9,274
UCL222010,0,0,0,0,3,3,8,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,10,7,4,11,7,4,0,55,3,14,41,41,71,58,46,6,0,284
UCL222011,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,0,0,13,12,19,38,50,53,55,30,5,0,258
UCL222012,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,21,11,7,13,30,51,74,47,18,12,271
UCL222013,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,3,3,0,28,3,9,20,17,33,51,39,18,0,199
UCL222014,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,3,4,0,22,3,15,25,33,56,101,61,21,3,320
UCL222015,0,0,0,4,5,7,7,3,0,24,0,0,0,0,0,0,0,0,0,0,6,0,3,3,3,3,3,3,4,30,22,24,53,47,83,80,37,12,3,362
UCL222016,0,0,0,0,0,3,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,17,16,15,41,67,74,50,36,3,0,296
UCL222017,0,0,0,0,3,5,10,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,5,0,0,0,25,7,33,73,69,72,53,35,17,0,352
UCL222018,0,0,0,0,4,3,4,9,0,25,0,0,0,0,0,0,0,0,0,0,3,3,7,3,11,4,7,0,0,40,18,18,49,54,61,55,34,13,0,296
UCL222019,0,0,0,0,3,0,9,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,9,9,3,0,45,3,16,30,24,42,47,48,13,3,215
UCL222020,0,0,0,0,0,4,9,11,6,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,11,8,4,34,8,9,13,20,28,43,43,29,14,199
UCL222021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,24,20,6,3,0,0,73,5,15,28,47,42,25,6,0,0,176
UCL222022,0,0,0,0,0,3,3,7,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,4,3,4,0,27,12,21,27,44,65,69,34,20,3,288
UCL222023,0,0,0,0,0,0,3,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,9,4,8,17,30,39,39,27,14,0,187
UCL222024,0,0,0,0,0,3,3,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,3,24,4,14,20,20,43,48,58,16,8,225
UCL222025,0,0,0,0,0,3,11,0,3,16,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,3,7,0,0,27,15,15,57,70,68,44,48,3,11,328
UCL222026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,16,12,4,9,3,0,66,12,38,66,46,39,15,18,5,0,246
UCL222027,0,0,0,0,0,0,4,3,0,7,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,0,5,0,24,0,5,14,20,21,29,35,17,3,151
UCL222028,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,18,3,7,33,40,40,66,34,13,3,243
UCL222029,0,0,0,0,0,3,8,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,17,0,11,33,39,32,54,53,4,3,239
UCL222030,0,0,0,0,8,4,15,4,0,29,0,0,0,0,0,0,0,0,0,0,0,4,0,5,14,10,9,15,0,55,4,4,22,46,77,97,112,30,6,407
UCL222031,0,0,0,0,0,0,4,3,0,9,0,0,0,0,0,0,0,0,0,0,4,3,0,0,6,3,4,0,0,17,15,19,30,38,40,36,28,9,3,212
UCL222032,0,0,0,0,0,3,10,5,0,17,0,0,0,0,0,0,0,0,0,0,3,3,6,5,13,4,6,0,4,51,18,21,47,58,82,68,42,11,6,354
UCL222033,0,0,0,0,0,0,3,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,3,3,22,8,6,20,12,42,20,45,22,5,183
UCL222034,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,0,18,0,5,20,24,22,47,26,17,0,163
UCL222035,0,0,0,0,0,3,4,4,7,13,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,8,8,0,3,25,14,9,18,33,35,41,44,16,12,212
UCL222036,0,3,0,0,3,0,4,4,5,20,0,0,0,0,3,0,0,0,0,3,0,0,3,3,9,0,0,0,0,17,4,17,41,44,42,43,49,10,10,265
UCL222037,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,8,3,0,24,0,11,13,43,29,39,37,10,4,191
UCL222038,3,0,0,0,0,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,10,7,0,0,41,7,10,27,38,26,57,36,3,0,206
UCL222039,0,0,3,3,0,5,14,6,12,43,0,0,0,0,0,0,0,0,0,3,0,0,3,0,8,9,4,10,4,40,3,8,26,28,45,73,53,33,19,294
UCL222040,0,0,0,0,0,3,3,3,4,13,0,0,0,0,0,0,0,0,0,0,4,0,4,6,6,3,4,4,0,30,13,6,15,20,26,31,26,25,11,165
UCL222041,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,13,7,7,29,24,43,21,27,12,3,170
UCL222042,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,8,3,0,3,0,20,3,12,13,34,36,27,23,7,0,160
UCL222043,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,12,8,7,29,48,56,41,39,9,3,232
UCL222044,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,4,0,7,8,3,9,3,6,0,30,6,3,21,56,45,62,48,28,10,276
UCL222045,0,0,0,0,0,3,13,0,3,28,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,7,5,0,3,24,6,3,32,50,37,56,42,12,9,239
UCL222046,0,0,0,0,3,3,0,7,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,9,6,7,30,0,8,19,20,40,45,31,30,10,206
UCL222047,0,0,0,0,0,3,7,6,3,25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,7,7,6,4,33,13,22,52,48,66,81,61,32,7,384
UCL222048,0,0,0,0,3,5,4,4,6,21,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,16,9,6,0,41,10,14,34,47,49,81,64,23,7,323
UCL222049,0,0,0,3,0,7,12,12,0,31,0,0,0,0,0,0,0,0,0,0,0,4,3,3,9,10,3,6,4,37,0,7,21,24,48,58,42,32,7,242
UCL222050,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,15,12,19,23,33,51,43,26,8,0,212
UCL222051,0,0,0,0,3,3,7,8,4,37,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,5,8,9,4,42,15,17,25,35,60,51,55,44,20,307
UCL222052,0,0,0,0,0,0,5,10,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,7,0,0,22,3,3,5,23,34,35,36,12,12,172
UCL222053,0,0,0,0,0,3,3,4,3,18,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,4,4,3,31,5,10,17,11,46,32,37,28,9,197
UCL222054,0,0,0,0,0,0,3,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,3,3,14,5,11,19,19,25,54,47,15,11,206
UCL222055,0,0,0,0,0,5,9,4,4,26,0,0,0,0,0,0,0,0,0,0,4,0,3,0,7,9,7,4,3,41,5,7,36,38,70,98,86,25,10,380
UCL222056,0,0,0,0,0,7,0,7,3,14,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,10,10,6,0,35,5,5,32,25,45,76,84,22,3,298
UCL222057,0,0,0,0,4,0,10,9,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,3,8,4,35,14,24,53,39,68,69,55,44,7,368
UCL222058,0,0,0,0,3,0,7,3,0,16,0,0,0,0,3,0,0,0,0,3,3,3,4,5,6,5,3,3,0,33,13,19,35,64,58,57,40,9,0,294
UCL222059,0,0,3,3,0,3,16,11,3,29,0,0,0,0,0,0,0,0,0,3,0,0,4,5,3,4,3,4,0,28,11,19,47,60,63,60,50,20,6,337
UCL222060,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,6,0,0,24,4,8,27,38,30,39,31,18,3,188
UCL222061,0,0,0,3,0,9,13,8,10,38,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,18,14,13,52,6,11,17,28,43,80,81,39,31,340
UCL222062,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,7,18,14,8,10,4,0,0,67,6,34,73,49,25,17,10,3,0,214
UCL222063,0,0,0,0,4,3,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,3,0,0,12,3,5,22,34,42,34,28,4,0,171
UCL222064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,32,12,8,3,0,0,0,64,7,30,72,25,16,12,4,3,0,161
UCL222065,0,0,0,0,0,3,4,5,3,18,0,0,0,0,0,0,0,0,0,0,3,0,4,4,4,4,3,0,0,19,3,11,26,24,26,31,27,11,3,163
UCL222066,0,0,0,0,0,4,9,3,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,4,0,16,4,4,17,28,30,34,25,17,11,161
UCL222067,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,5,18,18,34,44,25,11,3,3,169
UCL222068,0,0,0,0,0,8,3,11,6,31,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,5,6,16,27,68,8,15,31,40,68,73,36,41,37,349
UCL222069,0,0,0,0,0,4,7,4,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,8,4,0,24,3,6,34,27,43,76,66,30,11,302
