CED_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED226,..,367,508,218,214,208,102,38,8,1653,..,161,650,684,791,1058,1160,769,300,5577,287,344,367,186,156,184,130,64,20,1746,26115,12922,21554,17831,12930,9423,5418,2338,689,109225,..,945,22731,25809,16771,11857,6706,2324,348,87490,..,1292,4985,3221,2081,1020,301,48,5,12955,..,280,1543,2501,2749,1350,529,308,144,9401,53522,..,..,..,..,..,..,..,..,53522,..,12005,..,..,..,..,..,..,..,12005,..,7096,4666,1145,522,219,28,0,0,13674,..,1821,1681,490,546,924,691,355,177,6683,..,964,1199,397,233,134,54,14,3,2999,..,1019,1609,607,502,459,230,71,15,4505,..,380,1743,1884,1935,2005,1772,1058,409,11179,615,668,791,460,356,320,215,126,34,3578,54140,26472,40946,36493,25706,18288,10512,4305,1127,217990
CED227,..,418,365,103,177,184,134,30,9,1424,..,263,557,424,856,1578,1792,1944,1151,8573,206,304,194,111,151,234,242,143,57,1644,11219,6852,6932,7069,8601,8649,6813,4383,1833,62349,..,329,5086,7849,10012,10998,8524,4389,1059,48251,..,1448,2923,1721,1508,1015,475,123,23,9234,..,269,930,1341,1454,616,315,295,207,5435,22818,..,..,..,..,..,..,..,..,22818,..,5452,..,..,..,..,..,..,..,5452,..,3674,1381,568,493,263,36,0,0,6423,..,585,271,116,203,292,277,174,104,2024,..,374,254,131,110,60,28,9,8,963,..,888,925,311,424,451,290,71,17,3383,..,587,1309,1233,2167,3324,3224,2796,1580,16218,434,601,491,286,342,435,425,250,83,3358,23257,14198,13577,13559,16720,17460,13590,8116,3073,123556
CED228,..,842,937,211,153,190,95,54,14,2496,..,233,958,803,863,1217,1432,1501,883,7892,161,258,331,178,136,155,138,140,61,1568,12883,10256,12842,10880,10388,8942,6524,4319,1751,78793,..,631,9395,12480,12335,10621,8109,4316,932,58822,..,746,3531,1915,1342,754,228,53,3,8574,..,126,650,1600,2162,1387,647,596,401,7568,26107,..,..,..,..,..,..,..,..,26107,..,9681,..,..,..,..,..,..,..,9681,..,4466,4568,1496,1072,466,80,0,0,12158,..,1502,1267,442,522,700,496,415,257,5605,..,998,1088,332,241,159,47,19,8,2892,..,2192,2660,678,431,399,214,101,37,6701,..,448,1910,1756,1968,2290,2260,2026,1182,13846,336,515,687,454,315,303,240,216,94,3163,26439,21314,25752,21159,20388,17081,12327,7739,2921,155120
CED229,..,215,317,107,174,200,111,23,9,1160,..,172,585,571,760,1233,1374,880,364,5939,294,367,314,141,161,159,166,64,40,1696,22621,12049,15539,15294,13514,10166,6536,2639,873,99238,..,561,14845,20301,17213,13179,8581,2903,527,78104,..,1415,5234,3564,2632,1355,396,76,14,14684,..,251,1254,2205,2732,1293,497,266,179,8676,46193,..,..,..,..,..,..,..,..,46193,..,11331,..,..,..,..,..,..,..,11331,..,7835,4056,1091,500,218,44,0,0,13751,..,962,811,282,354,591,541,388,194,4128,..,580,568,214,186,131,48,22,3,1752,..,594,759,284,396,421,237,54,19,2776,..,359,1432,1525,1891,2306,2161,1262,515,11452,564,691,688,374,342,296,301,109,64,3429,46758,24577,29656,29830,26251,19801,12809,5089,1514,196278
CED230,..,319,293,108,198,246,166,61,16,1411,..,183,599,476,946,1806,2066,1735,943,8759,262,368,261,125,154,253,246,126,63,1850,15628,8786,10041,9563,10281,9887,8180,4224,1581,78166,..,423,8076,11003,11514,11597,10169,4412,909,58097,..,1668,4226,2587,2209,1389,572,114,10,12786,..,362,1190,1814,2076,945,420,320,201,7339,31376,..,..,..,..,..,..,..,..,31376,..,7299,..,..,..,..,..,..,..,7299,..,5185,2100,750,510,268,36,0,0,8856,..,636,403,171,235,416,365,262,123,2616,..,452,360,150,141,80,46,24,10,1261,..,628,692,274,433,466,311,131,33,2974,..,417,1401,1347,2271,3423,3361,2494,1274,15997,503,788,602,327,367,451,412,213,81,3754,31879,17870,19061,18419,19756,19042,15691,7975,2646,152346
CED231,..,9985,8250,984,296,197,106,46,11,19879,..,3058,3830,2435,1678,1805,1572,1025,421,15827,122,599,756,233,140,160,114,82,32,2225,8670,21491,28810,11965,8173,6542,4247,2238,810,92948,..,525,11321,9910,6909,5542,3881,1643,382,40115,..,3236,13058,4567,2276,1288,469,94,24,25006,..,82,564,1155,1595,999,397,308,199,5298,17295,..,..,..,..,..,..,..,..,17295,..,4641,..,..,..,..,..,..,..,4641,..,1567,1657,558,453,210,28,0,0,4480,..,3195,1940,390,241,332,250,178,92,6614,..,1470,1932,233,68,56,23,5,0,3795,..,17655,16847,2227,776,439,257,88,29,38309,..,5616,7540,4928,3609,3339,2604,1512,615,29757,265,1062,1541,494,316,273,187,114,56,4312,17566,39044,56395,24467,16245,12480,8087,3934,1396,179619
CED232,..,2504,3615,685,264,193,110,48,14,7432,..,784,2926,2779,1965,1914,1700,1124,656,13839,107,263,485,218,147,136,109,73,29,1561,8687,8797,18872,11543,8825,7043,4866,2384,1071,72084,..,397,8971,10040,7807,6830,5222,2092,587,41941,..,1675,9841,4181,2415,1311,590,104,31,20143,..,33,247,820,1378,849,288,176,138,3934,17458,..,..,..,..,..,..,..,..,17458,..,4723,..,..,..,..,..,..,..,4723,..,1413,1441,419,312,144,30,0,0,3750,..,1191,1092,261,151,216,155,130,76,3263,..,545,872,122,73,43,19,7,3,1677,..,4508,7356,1529,649,457,268,97,29,14892,..,1464,5734,5222,4013,3564,2830,1638,932,25393,221,490,906,478,299,246,183,105,52,2981,17681,16435,36453,23060,17099,13659,9579,4337,1834,140159
CED233,..,226,319,98,93,98,71,45,18,963,..,117,354,314,424,743,1199,1364,721,5239,102,169,152,89,85,124,110,104,42,963,10637,8235,7212,8459,10267,8652,6920,4365,1466,66208,..,119,5506,11455,14243,12441,9786,5412,1080,60053,..,357,1633,1105,1039,585,246,65,21,5044,..,39,245,874,1614,1004,416,385,214,4792,21882,..,..,..,..,..,..,..,..,21882,..,10249,..,..,..,..,..,..,..,10249,..,4112,4072,1019,762,280,42,3,0,10296,..,755,531,170,217,407,359,377,226,3028,..,562,468,139,112,64,29,20,3,1400,..,554,783,239,194,215,142,76,26,2229,..,302,735,722,981,1211,1657,1805,959,8371,188,313,322,184,172,197,166,162,67,1758,22068,17362,14294,15901,19332,16396,12845,8304,2598,129104
CED234,..,304,358,104,212,222,142,69,15,1432,..,185,486,420,846,1551,1734,1771,946,7948,235,324,244,126,167,234,224,124,40,1722,12159,7119,7087,7618,9083,9040,7197,4324,1573,65199,..,391,5426,8461,10467,11268,9195,4598,1003,50799,..,1232,2843,1896,1749,1201,554,145,30,9643,..,313,896,1529,1626,746,375,308,195,5988,24561,..,..,..,..,..,..,..,..,24561,..,6006,..,..,..,..,..,..,..,6006,..,4292,1539,691,492,272,36,3,0,7322,..,519,255,117,234,313,291,203,117,2047,..,377,249,113,114,76,40,10,5,988,..,689,798,312,440,457,335,141,32,3211,..,441,1193,1220,2173,3158,3195,2631,1294,15306,507,619,543,360,353,443,426,232,68,3546,25068,14885,13744,14688,17659,17929,14442,8272,2740,129429
CED235,..,449,350,113,125,137,70,23,8,1284,..,185,457,426,499,859,1080,1009,421,4938,150,260,253,147,124,145,139,103,44,1371,15189,10487,12620,11107,10966,9214,6195,3330,923,80040,..,641,11799,14834,14343,12562,8637,3775,562,67160,..,575,2624,1768,1361,716,205,62,6,7306,..,136,764,1580,2133,1307,621,418,174,7137,31084,..,..,..,..,..,..,..,..,31084,..,10171,..,..,..,..,..,..,..,10171,..,6367,5392,1600,876,282,33,0,0,14558,..,1173,989,318,389,573,496,409,203,4561,..,598,716,218,180,96,37,14,4,1866,..,1135,1141,379,318,297,150,45,11,3466,..,362,1111,1100,1259,1548,1597,1353,591,8921,339,498,571,355,267,246,243,155,65,2726,31425,21647,25120,22156,21125,17631,12021,6222,1613,158964
CED236,..,410,317,123,181,206,123,51,9,1421,..,220,470,399,935,1690,1850,1802,1026,8392,181,294,156,118,148,227,211,106,55,1511,10676,6333,5992,6866,8756,8883,7002,4059,1596,60159,..,200,4108,7570,9922,10867,8876,4013,819,46374,..,1305,2759,1909,1782,1227,483,116,27,9609,..,203,718,1258,1464,685,349,324,207,5209,21528,..,..,..,..,..,..,..,..,21528,..,5126,..,..,..,..,..,..,..,5126,..,3804,1281,642,509,272,41,0,0,6544,..,395,184,111,161,263,237,160,89,1596,..,326,193,74,58,44,21,11,3,738,..,881,830,284,389,451,303,123,21,3279,..,540,1135,1163,2213,3337,3263,2616,1398,15662,372,599,426,303,334,428,403,200,86,3160,21904,13378,11628,13312,16836,17586,13968,7565,2647,118820
CED237,..,2286,3050,658,253,203,119,43,10,6624,..,325,1451,1395,1155,1489,1358,1751,1044,9973,169,305,432,190,143,136,130,157,89,1752,12606,9910,17029,12548,9648,7158,5045,4566,1944,80443,..,606,10492,13555,10304,7175,5282,4110,1114,52635,..,1067,6834,3914,2102,995,274,68,9,15254,..,83,415,1153,1692,1043,534,669,365,5943,25533,..,..,..,..,..,..,..,..,25533,..,6865,..,..,..,..,..,..,..,6865,..,3474,3083,1163,1016,484,67,5,0,9284,..,1122,1240,338,347,411,389,321,214,4383,..,843,1363,229,112,65,32,6,3,2655,..,4477,6872,1490,585,423,228,103,30,14208,..,590,2881,2694,2399,2692,2184,2331,1453,17226,361,548,875,408,365,246,207,243,129,3378,25891,19674,34042,24938,18916,13538,9208,7844,3308,157364
CED294,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,154,279,344,173,120,132,83,17,3,1302,154,279,344,173,120,132,83,17,3,1302,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,314,539,839,476,367,299,190,47,14,3080,314,539,839,476,367,299,190,47,14,3080
CED297,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
