CED_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
CED224,30,32,18,9,3,3,5,431,18,449,570,157,41,10,30,18,4,21,22,23,16,3,44,1439,3,0,5,13,19,58,90,49,20,8,11,12,16,13,20,347,0,0,0,7,29,61,216,152,39,34,28,31,20,35,18,660,0,3,19,41,18,19,3,9,0,0,3,3,0,0,0,118,10,10,55,302,610,685,442,330,75,73,84,84,110,102,66,3039,0,34,30,15,0,0,0,0,4,0,0,0,0,0,0,88,3,67,53,16,27,21,32,24,3,0,4,7,5,0,9,272,15,35,69,188,273,297,528,309,89,129,82,91,84,51,63,2312,0,0,0,14,3,33,22,37,18,19,7,7,33,9,9,216,0,0,5,16,65,85,57,83,23,25,50,27,37,27,17,516,13,69,54,23,46,43,12,19,4,0,3,9,3,3,10,302,5,0,21,66,100,161,208,122,38,27,17,35,44,31,9,875
CED225,13,12,0,3,10,3,6,375,8,159,258,170,35,18,18,16,0,0,0,3,7,0,40,733,0,3,0,3,4,15,42,19,11,0,0,3,3,0,3,109,0,0,0,0,9,11,63,133,21,20,30,4,0,4,4,296,0,0,4,45,30,46,33,15,0,0,4,6,5,0,5,189,0,0,17,31,60,90,130,169,28,36,25,11,27,20,4,653,0,58,50,24,13,7,3,3,0,0,0,0,0,0,14,170,0,335,350,98,86,41,33,24,9,0,0,3,0,7,32,1019,9,8,51,161,398,365,606,377,129,104,86,53,66,23,83,2516,0,0,0,4,16,46,132,123,34,22,29,18,23,20,12,469,0,0,0,10,103,242,159,236,34,37,59,28,34,18,24,985,0,21,26,22,156,163,48,27,0,3,0,0,3,0,11,486,0,0,9,16,17,61,123,65,6,22,14,14,32,20,14,410
CED226,29,44,12,7,14,5,10,431,15,342,743,420,72,25,45,33,5,8,11,18,10,6,106,1862,0,0,0,0,7,19,89,77,3,6,11,12,8,0,6,239,0,0,0,3,8,48,150,295,46,41,26,32,35,30,24,741,0,3,4,96,156,152,209,181,30,18,32,34,43,3,34,1006,0,0,12,64,144,231,474,519,98,138,115,102,105,60,75,2142,0,230,519,276,104,44,30,23,10,0,8,3,3,0,45,1295,0,84,90,39,20,13,23,16,6,9,6,0,4,0,10,316,0,7,20,128,432,709,1696,1734,599,762,634,435,380,194,368,8108,0,0,0,7,12,96,419,578,159,206,150,214,192,113,28,2175,0,0,3,42,355,1183,1243,1755,232,260,285,233,252,163,102,6116,0,30,30,29,182,172,73,23,12,5,17,9,9,3,10,591,0,3,3,24,32,78,306,353,56,56,63,39,45,30,20,1105
CED227,3,4,3,3,4,3,0,97,10,297,384,123,21,6,0,0,5,7,5,3,7,4,73,952,0,3,0,0,0,0,6,11,0,4,0,0,0,6,19,52,0,0,0,0,0,0,24,22,3,4,0,3,5,21,18,94,0,0,3,5,0,0,0,3,0,0,0,0,0,0,0,11,0,0,3,13,0,9,19,42,11,19,34,48,60,90,77,440,0,9,9,9,0,3,0,0,0,0,0,0,0,0,3,38,0,112,105,28,24,3,10,7,0,0,4,0,4,0,13,321,5,4,16,86,174,171,233,81,29,19,54,10,30,13,47,965,0,0,0,0,0,0,12,18,8,30,17,3,6,7,0,103,0,0,0,4,34,89,76,185,40,31,49,47,40,27,28,649,0,11,4,6,7,7,0,3,0,0,0,0,0,0,5,43,0,0,3,0,0,0,9,3,0,0,0,0,0,0,4,29
CED228,34,22,13,5,11,17,14,426,20,1179,2370,988,105,54,50,49,20,31,41,42,29,15,260,5247,0,0,3,3,12,26,59,46,5,5,7,13,9,8,6,199,0,0,0,0,16,29,78,97,4,19,19,15,15,11,13,317,0,3,33,136,133,73,51,31,6,4,3,3,5,0,25,508,0,0,10,35,99,170,196,142,40,47,73,47,63,50,45,1021,6,537,1008,510,150,31,14,3,0,0,0,3,0,0,104,2369,0,63,58,20,18,4,8,9,0,4,0,3,3,4,4,197,0,4,14,79,161,220,483,405,142,157,145,112,122,60,99,2208,0,0,0,3,4,21,55,157,77,233,219,108,70,49,37,1030,0,0,3,30,266,599,292,352,72,78,100,105,122,59,91,2187,0,121,104,57,151,109,31,11,8,4,0,3,3,0,22,620,0,0,0,12,19,44,84,56,16,5,6,5,13,5,15,280
CED229,41,16,7,3,0,0,10,442,0,326,731,554,60,39,58,34,11,4,13,12,10,5,96,1945,0,7,0,0,3,12,23,22,5,5,3,0,4,0,3,94,0,0,0,0,0,12,33,37,5,3,10,4,5,6,10,133,0,0,16,93,87,94,83,54,14,12,8,14,8,3,6,503,3,0,17,23,60,72,95,121,15,16,30,20,29,11,22,544,0,196,317,137,62,35,16,10,0,4,0,0,0,0,30,818,0,157,148,27,29,18,17,17,3,0,0,0,0,0,9,431,3,13,34,119,350,451,785,566,203,189,196,144,146,47,155,3405,0,0,0,4,4,34,163,207,38,76,51,78,75,43,4,780,0,3,3,19,98,308,365,491,86,82,66,63,58,44,51,1742,0,29,24,10,68,38,16,22,4,0,5,0,0,0,9,222,0,0,3,23,9,30,127,113,13,23,13,19,14,5,10,413
CED230,11,10,7,12,17,0,11,331,16,246,251,121,22,11,9,6,5,0,3,3,3,0,51,738,0,3,3,4,0,0,22,12,3,7,0,7,0,0,11,74,0,0,0,0,0,4,10,22,3,0,3,9,4,4,0,73,0,0,0,6,12,7,13,10,0,0,0,0,0,0,0,39,0,0,11,14,23,24,43,51,5,7,7,4,12,6,3,208,0,140,100,30,12,0,11,3,0,0,0,0,0,0,15,301,0,512,497,111,140,35,28,8,3,11,4,3,0,0,34,1394,6,21,40,183,379,397,521,348,133,101,63,48,47,28,99,2422,0,0,0,0,3,7,19,42,12,8,12,8,16,3,8,138,0,0,0,5,75,141,129,273,35,43,27,27,46,19,22,837,0,21,20,22,45,35,19,3,0,0,0,3,0,0,0,167,3,0,3,7,7,5,23,32,4,0,0,0,3,0,3,96
CED231,90,79,48,59,76,37,20,869,14,355,573,232,30,21,52,94,45,74,124,132,153,89,92,2073,0,0,0,10,25,71,176,137,36,68,49,98,145,145,136,1102,0,0,0,3,23,65,332,501,131,195,244,303,369,367,287,2821,0,6,6,36,31,31,12,12,4,4,5,0,3,5,5,153,3,8,15,106,228,393,826,960,249,417,497,813,989,915,254,6676,0,55,84,32,13,6,4,0,0,0,3,3,0,0,10,208,0,44,51,25,26,21,40,29,3,10,18,23,22,33,25,365,5,7,44,142,336,451,842,807,340,350,321,347,374,288,164,4821,0,0,0,4,4,9,36,49,14,26,25,42,54,52,3,323,0,0,3,23,80,227,166,180,44,77,91,109,140,122,49,1301,6,13,32,10,73,63,13,19,3,7,7,15,26,8,12,308,0,0,14,18,52,108,311,273,87,113,143,220,270,289,70,1970
CED232,198,159,126,125,131,80,25,1533,10,193,209,124,25,25,43,94,45,97,116,114,102,68,46,1302,0,8,4,10,25,65,130,99,32,37,44,83,98,68,76,777,0,0,0,3,21,47,147,211,52,55,65,76,74,83,56,881,0,3,5,23,23,17,8,11,3,3,0,3,4,0,3,111,3,3,8,90,173,227,399,382,75,70,90,111,146,114,59,1959,0,56,28,14,15,3,5,0,0,0,0,0,0,0,6,135,0,60,48,23,23,35,43,52,15,8,17,8,35,19,4,394,3,9,58,206,436,440,785,706,282,321,281,261,290,174,106,4365,0,0,0,5,0,12,34,33,11,15,12,11,30,14,8,172,0,0,0,15,86,182,96,139,37,41,63,76,80,56,35,902,72,313,253,67,178,114,45,33,10,10,10,14,15,8,43,1191,0,7,7,23,55,83,157,130,26,54,43,43,63,31,18,731
CED233,12,3,3,0,0,0,11,214,27,1046,1414,429,62,44,37,26,7,10,18,13,10,3,173,3318,0,9,4,18,20,22,69,38,3,6,11,10,0,4,3,220,0,0,0,3,21,96,259,258,42,44,22,16,8,18,27,825,0,12,56,115,103,80,32,3,0,0,3,3,0,0,9,414,0,12,53,211,593,873,730,676,125,129,127,123,178,91,84,4002,0,107,80,17,13,8,4,0,3,0,0,0,0,0,9,233,0,127,113,23,26,12,20,10,3,0,3,3,0,0,14,352,12,15,37,105,220,210,351,141,41,37,25,20,17,15,35,1277,0,0,5,7,13,34,58,67,23,18,23,31,50,43,13,390,0,3,4,23,74,125,62,69,12,17,18,24,11,10,16,485,4,35,44,16,52,51,7,3,0,0,0,0,0,0,4,221,0,3,13,47,106,145,326,173,12,25,22,26,26,14,10,951
CED234,21,10,7,6,3,0,6,178,23,408,487,181,28,9,6,7,0,3,3,3,3,3,86,1252,0,0,0,0,0,0,3,6,0,0,0,6,3,0,3,32,0,0,0,0,0,6,10,15,3,5,3,3,15,8,11,70,0,0,0,4,3,3,9,3,0,0,0,0,0,0,3,25,0,0,4,9,21,11,33,45,20,22,15,40,46,29,19,316,0,35,32,4,4,0,0,0,0,0,0,0,0,0,3,89,0,167,169,27,40,11,26,17,0,10,0,3,0,3,17,491,0,11,36,125,249,223,384,237,48,57,60,61,48,20,89,1651,0,0,0,3,0,0,11,49,19,32,73,23,24,19,0,258,0,0,0,0,45,122,95,183,62,71,67,36,71,49,33,840,0,12,7,7,3,9,3,4,0,0,0,0,3,0,0,54,0,0,0,9,8,6,6,5,0,4,0,0,0,0,0,42
CED235,13,17,7,3,4,3,15,299,9,895,2318,1463,167,91,70,67,29,27,26,33,20,13,395,5632,0,3,0,3,8,8,38,31,0,3,0,3,0,3,3,104,0,0,0,0,7,14,50,61,3,0,4,6,0,0,3,151,0,4,23,273,338,357,213,143,19,23,18,4,24,3,60,1500,0,3,14,31,118,226,153,159,29,27,65,62,48,31,33,988,0,219,380,141,60,9,0,0,0,0,0,3,0,0,27,848,0,48,50,6,16,5,10,9,3,0,3,0,0,0,8,166,0,0,18,54,174,212,411,290,103,115,120,96,74,48,74,1796,0,0,0,6,11,55,128,172,28,55,84,63,59,41,24,719,0,0,3,28,169,481,365,366,58,75,85,87,57,29,56,1860,0,7,34,24,67,57,19,6,0,0,5,3,4,0,3,235,0,0,0,13,8,42,69,56,10,11,8,10,22,8,4,273
CED236,4,11,5,13,4,0,9,182,0,34,33,28,0,0,7,5,6,0,0,0,0,0,19,133,0,0,0,4,0,3,13,9,0,3,0,0,5,0,4,41,0,0,0,0,0,0,15,12,3,0,3,19,17,18,20,113,0,0,0,5,11,0,0,0,0,0,0,0,0,0,3,22,0,0,6,13,8,9,15,17,4,3,5,0,6,4,4,99,0,23,40,18,4,0,0,4,0,0,0,0,0,0,8,98,0,240,198,47,31,8,28,5,0,0,3,0,3,0,26,597,4,10,27,120,263,229,469,273,49,56,46,33,32,20,89,1719,0,0,0,0,0,3,6,10,0,7,3,0,0,0,3,38,0,0,0,6,40,71,74,100,20,43,48,29,47,36,31,540,0,4,5,0,16,0,0,3,0,0,0,0,0,0,3,45,0,0,0,8,4,5,7,8,0,0,6,0,0,0,0,39
CED237,39,32,37,12,17,3,10,513,53,1744,3402,1694,186,72,86,85,36,71,94,81,75,29,409,8099,0,4,0,6,15,42,109,90,11,14,10,3,22,14,30,364,0,0,0,0,3,22,77,72,15,15,14,17,16,10,18,294,0,12,64,581,709,460,306,202,32,43,46,48,38,18,122,2677,0,0,9,29,128,143,189,165,31,46,72,36,60,37,19,962,5,293,350,114,46,17,6,0,0,0,0,0,0,0,32,856,0,36,37,14,14,11,26,24,3,0,3,13,4,15,5,214,0,6,18,82,259,333,672,585,167,200,177,174,141,71,110,2996,0,0,0,3,14,82,332,670,254,311,310,361,399,240,91,3076,0,0,3,25,118,243,147,191,46,45,57,101,90,50,43,1163,3,57,74,23,91,82,23,22,8,9,9,3,4,0,18,422,0,0,8,17,40,42,73,48,11,19,13,15,13,9,12,315
CED294,0,0,0,0,3,14,3,27,0,3,12,4,0,0,0,0,0,0,0,4,10,12,12,58,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,11,0,0,0,0,0,6,4,0,3,0,0,0,3,9,9,37,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,9,11,10,42,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,6,0,3,0,0,0,3,0,0,0,3,0,0,29,0,0,3,8,20,13,39,23,12,6,13,3,5,17,46,219,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,11,0,0,0,0,3,5,3,6,0,3,3,0,0,5,7,41,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,13
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
