CED_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED223,1995,3243,6958,8084,8166,5883,1254,112,12,35714,1908,751,1511,1835,1748,3099,5185,3421,1818,21265,138,165,410,374,397,365,378,328,308,2862,4040,4158,8872,10296,10312,9343,6818,3863,2142,59838,387,2576,9496,10251,10544,7116,1184,67,12,41648,2534,3137,3261,5014,4781,4155,1638,199,17,24736,94,153,640,538,317,415,114,15,0,2282,57,99,234,209,198,139,54,20,5,1017,3078,5962,13633,16011,15839,11822,2993,306,33,69680,107,292,477,351,356,262,32,3,4,1879,680,366,256,245,206,181,48,3,0,1986,786,659,728,599,561,438,80,9,4,3867,3863,6622,14363,16609,16400,12261,3074,313,33,73543,4223,1552,2263,2471,2542,4864,9322,6040,2871,36137,285,351,814,802,846,720,656,539,465,5481,8365,8520,17438,19883,19791,17847,13056,6897,3368,115161
CED224,1973,4263,8244,7176,8295,5305,1583,168,28,37037,3041,1346,1503,1950,2243,2914,4652,3607,2611,23866,176,265,577,447,465,386,369,292,238,3214,5190,5875,10329,9581,11002,8607,6595,4071,2877,64116,145,2664,11501,9501,11004,6810,1490,141,13,43269,2592,4627,3588,3717,4510,3533,2082,328,46,25033,115,211,527,411,285,308,129,26,5,2023,63,157,246,166,195,114,66,26,11,1034,2909,7660,15862,13793,15989,10767,3769,524,75,71365,39,237,524,344,417,258,36,0,0,1853,689,677,346,239,232,178,53,10,3,2431,730,917,869,580,650,434,87,13,3,4283,3641,8571,16736,14377,16642,11201,3862,537,83,75645,6387,2831,2434,2490,2983,4409,7741,6135,3940,39354,363,541,1174,878,955,752,659,511,351,6176,10388,11947,20340,17749,20576,16356,12264,7178,4377,121182
CED225,2960,3868,7057,9315,9528,5648,922,76,18,39400,2361,738,1998,2422,2065,3103,4632,2468,1086,20873,199,200,426,445,481,371,309,226,162,2826,5528,4805,9485,12190,12073,9122,5856,2765,1272,63100,833,3741,9855,12214,13296,7350,980,63,28,48361,3642,3163,3492,5656,5306,3994,1243,135,13,26636,157,175,653,520,440,437,138,19,0,2541,96,168,252,250,263,166,49,20,3,1270,4728,7245,14252,18641,19298,11949,2412,228,49,78807,218,403,472,401,419,311,34,0,0,2258,926,356,248,293,218,177,39,6,0,2261,1143,758,726,696,631,491,73,9,3,4522,5873,8006,14974,19334,19933,12435,2484,238,52,83325,5283,1429,2576,3088,2869,4810,8319,4641,1761,34784,411,389,828,901,1001,777,604,409,267,5588,11570,9819,18379,23326,23807,18023,11413,5285,2077,123705
CED226,2861,5001,15131,13101,9773,5055,660,38,14,51639,3416,1626,6398,4717,3149,4454,4857,2352,846,31813,292,360,1200,899,707,568,416,265,174,4882,6573,6988,22730,18720,13632,10077,5933,2655,1034,88340,648,4259,21029,20493,14252,7176,821,26,14,68715,3301,4254,7452,6837,5012,3115,868,58,4,30914,114,218,1100,723,446,392,76,8,5,3082,135,294,750,580,330,170,55,14,3,2336,4196,9026,30338,28635,20045,10859,1817,106,32,105043,350,888,1704,1188,816,492,23,0,0,5466,1082,724,885,653,376,271,47,3,0,4036,1430,1614,2591,1835,1193,768,71,3,0,9502,5628,10637,32921,30473,21238,11626,1890,107,27,114550,7265,3064,8424,6348,4663,6901,8858,4302,1319,51146,614,800,2363,1888,1414,1092,814,485,262,9732,13511,14491,43711,38714,27320,19623,11563,4894,1608,175430
CED227,2010,2518,5106,5479,6910,5691,1290,194,38,29220,1812,753,1950,1678,1829,3263,5829,4376,2353,23848,276,289,573,517,707,801,725,603,415,4904,4098,3561,7630,7672,9444,9756,7842,5171,2810,57973,803,3070,6889,6722,8697,7064,1447,246,37,34972,2394,1552,2868,3421,3982,3878,1500,271,53,19922,134,151,497,325,424,626,225,38,10,2434,105,129,243,219,241,267,104,63,23,1393,3433,4903,10496,10692,13344,11829,3268,627,119,58717,228,379,514,388,406,316,21,3,3,2252,372,167,237,201,184,188,37,0,0,1390,602,542,750,587,590,505,57,6,7,3639,4032,5442,11244,11276,13942,12328,3322,634,125,62354,3922,1231,2641,2490,3118,5744,10926,7804,3694,41564,547,606,1257,1064,1461,1598,1500,1101,647,9788,8501,7289,15144,14831,18522,19671,15751,9536,4469,113709
CED228,1960,4377,9962,8156,7884,4851,847,63,13,38112,2533,1377,2861,2728,2480,4190,5716,4383,2040,28308,236,331,920,665,568,558,515,463,342,4607,4726,6090,13738,11550,10931,9598,7082,4914,2396,71030,314,3266,13778,11082,10581,6128,937,58,5,46148,2378,4397,4877,4488,4255,3323,1026,129,8,24881,93,214,694,499,325,303,94,9,0,2231,105,227,535,326,300,215,49,19,7,1775,2890,8101,19882,16388,15461,9966,2107,210,27,75035,147,521,1020,728,709,400,18,0,0,3548,689,657,504,383,339,288,37,3,0,2904,842,1178,1522,1109,1049,694,59,0,3,6458,3729,9282,21411,17492,16505,10659,2168,216,30,81490,5381,2850,4316,3776,3898,6611,10277,7731,3287,48123,469,756,1907,1321,1194,1069,994,819,525,9061,9577,12891,27629,22591,21595,18337,13440,8770,3842,138675
CED229,3270,4695,11638,11788,10866,6264,1069,75,26,49693,3011,1185,3955,3540,2740,4103,5700,2690,1113,28037,323,343,867,810,773,630,561,318,191,4816,6600,6214,16468,16139,14383,10993,7338,3085,1327,82548,1010,4802,16253,16202,14814,8121,1226,93,32,62544,3724,3540,5716,6921,5897,4293,1340,146,20,31596,144,249,1170,753,582,537,142,18,3,3600,162,257,475,424,351,205,66,13,3,1955,5039,8846,23614,24305,21646,13154,2775,264,59,99701,353,590,893,679,571,382,26,0,0,3500,945,366,418,427,284,255,60,4,0,2759,1304,959,1306,1102,861,633,85,9,3,6263,6340,9806,24921,25406,22509,13782,2860,272,61,105958,6669,2142,4926,4572,3976,6440,10437,5054,1800,46013,645,698,1692,1648,1524,1269,1100,577,294,9446,13648,12647,31546,31630,28001,21491,14390,5905,2156,161415
CED230,2439,3347,7492,7282,8162,5967,1223,182,25,36113,2131,948,2637,2360,2248,4282,7447,4243,2098,28384,250,311,603,612,689,774,759,550,333,4875,4817,4596,10734,10256,11101,11027,9428,4972,2450,69372,961,3611,9760,9226,10035,6616,1283,177,31,41709,2766,2242,4189,4688,5048,4541,1607,254,33,25373,134,181,730,430,550,651,197,38,4,2916,160,173,300,270,289,236,91,45,18,1576,4027,6215,14985,14615,15916,12036,3179,515,87,71572,302,527,567,492,486,428,21,5,0,2824,568,258,352,288,237,280,52,4,4,2044,865,781,916,776,729,706,74,6,4,4862,4893,6990,15903,15394,16643,12747,3252,518,89,76435,4592,1481,3368,3237,3436,6984,13471,7917,3257,47748,512,604,1220,1187,1443,1486,1450,986,515,9397,9998,9076,20488,19819,21524,21214,18180,9420,3861,133583
CED231,2276,9229,24468,9979,6536,4124,1098,97,24,57834,4258,7923,5059,2278,1829,2611,3300,2251,1082,30591,589,1652,3106,1328,945,761,523,359,276,9541,7116,18804,32636,13580,9309,7504,4921,2713,1383,97962,190,4997,33808,15138,9149,5144,1085,98,27,69631,1992,7450,10640,4432,3136,2554,1266,148,28,31641,105,417,1191,795,307,242,99,17,3,3179,167,348,629,257,185,104,46,13,5,1746,2448,13206,46272,20611,12777,8044,2497,277,67,106199,92,731,1741,722,577,301,33,8,0,4197,1272,2709,1319,380,258,209,55,4,0,6215,1361,3442,3057,1104,836,507,85,14,0,10413,3812,16644,49325,21711,13613,8555,2581,289,68,116612,7872,14606,8710,3510,3114,4430,5890,3875,1741,53754,1083,3139,6314,2808,1938,1550,1045,639,426,18932,12773,34386,64351,28030,18666,14544,9518,4799,2233,189301
CED232,1055,4470,16888,10049,7435,4766,1360,143,27,46198,1775,1824,2339,1757,1591,2527,3736,2432,1553,19520,237,693,2274,1220,875,733,522,297,254,7105,3058,6986,21498,13025,9900,8023,5621,2877,1829,72820,178,3495,24643,15191,10468,6029,1471,117,32,61631,1190,3496,6074,4179,3501,3156,1790,281,36,23703,49,145,884,657,319,282,113,18,9,2473,38,138,479,237,140,122,47,19,11,1235,1450,7279,32078,20265,14426,9598,3417,438,87,89039,41,345,961,616,511,304,43,7,0,2827,364,621,536,277,203,186,70,3,0,2253,403,970,1493,898,708,490,114,6,0,5087,1857,8244,33571,21160,15136,10090,3531,442,85,94119,3566,3394,3668,2496,2555,4200,6577,4287,2481,33222,442,1300,4429,2517,1858,1524,1083,575,404,14124,5865,12933,41667,26182,19543,15806,11193,5306,2973,141464
CED233,2080,3190,5828,6485,8195,5250,1296,147,18,32487,2173,829,1458,2047,2141,3570,5892,4504,2161,24782,111,126,283,277,345,343,356,358,292,2490,4369,4141,7575,8812,10679,9154,7543,5014,2473,59760,294,2448,8171,8552,10545,6731,1320,121,6,38184,2709,3249,2710,3779,4933,3831,1717,317,23,23270,91,160,447,328,276,321,146,27,3,1790,69,123,262,208,207,157,58,15,6,1105,3156,5969,11589,12871,15957,11043,3246,476,46,64351,79,264,462,349,394,280,31,4,0,1860,758,393,218,256,255,177,46,6,0,2106,838,656,678,601,648,463,78,6,0,3964,3987,6623,12270,13472,16601,11504,3325,486,49,68318,4989,1836,2174,2626,2923,5244,10050,8346,3523,41728,239,261,578,543,698,651,608,660,448,4678,9223,8724,15025,16642,20220,17404,13982,9488,4018,114724
CED234,2253,2401,5278,5930,7339,5732,1260,185,42,30425,1822,840,1924,1764,1880,3681,6391,4368,2097,24775,280,241,592,572,706,772,814,628,425,5021,4356,3478,7791,8261,9924,10189,8474,5184,2561,60215,925,2939,7006,7340,9175,7086,1407,213,46,36138,2595,1470,2866,3620,4169,4007,1515,289,50,20581,151,186,513,423,484,700,208,34,7,2709,176,168,224,226,275,222,110,58,23,1472,3843,4759,10613,11617,14101,12015,3239,598,119,60900,237,352,462,382,424,289,10,4,0,2156,450,177,220,191,188,195,33,0,3,1446,686,529,679,570,612,480,39,8,3,3605,4528,5287,11295,12184,14713,12494,3282,604,119,64505,4022,1402,2759,2763,3241,6172,12150,8204,3404,44125,583,512,1164,1162,1453,1599,1629,1169,654,9920,9131,7201,15214,16114,19400,20266,17067,9977,4181,118546
CED235,2365,4203,9138,8024,8074,4920,704,41,9,37489,2488,1412,3483,3088,2893,4334,5575,3491,1324,28093,195,251,673,493,461,478,372,290,130,3345,5044,5868,13298,11599,11435,9734,6657,3824,1466,68931,538,3545,12708,11176,10711,6583,867,31,8,46166,2857,3763,4844,4895,4639,3435,888,88,14,25417,119,204,730,479,367,368,89,5,3,2362,97,213,514,344,314,220,61,15,6,1778,3608,7725,18801,16887,16029,10607,1902,140,21,75723,210,553,956,655,552,304,13,0,0,3253,779,539,441,346,264,214,26,0,0,2617,993,1094,1395,1002,821,519,39,3,4,5868,4599,8819,20194,17896,16845,11121,1943,146,29,81585,5441,2718,4925,4276,4362,6651,10293,6435,2193,47296,359,544,1358,1028,871,868,732,513,209,6490,10405,12079,26474,23192,22079,18644,12975,7093,2430,135376
CED236,2078,2294,4533,5450,7195,5622,1331,205,44,28757,1580,653,1573,1486,1745,3675,6086,4000,2097,22903,230,211,406,479,573,676,721,576,370,4243,3885,3155,6516,7413,9523,9979,8136,4779,2509,55895,833,2645,5831,6500,8705,6578,1463,252,42,32843,2563,1653,2716,3671,4322,4268,1538,280,44,21055,127,174,516,405,523,633,239,46,13,2682,163,139,166,198,225,211,106,66,17,1291,3691,4609,9227,10779,13768,11687,3345,640,112,57866,203,370,373,338,351,284,14,0,3,1941,306,159,167,170,194,195,36,9,0,1232,510,531,539,512,548,470,47,5,3,3177,4201,5140,9773,11286,14318,12159,3400,650,116,61047,3403,1143,2321,2487,3185,6375,11607,7308,3252,41080,463,457,820,966,1225,1375,1425,1034,564,8327,8064,6740,12915,14738,18724,19914,16426,8995,3930,110449
CED237,1605,4934,14020,10081,7538,4233,704,70,11,43202,1864,1519,3090,2576,2149,3021,4416,4676,2484,25783,169,388,1121,763,563,442,373,399,217,4441,3636,6834,18237,13421,10254,7701,5487,5143,2713,73428,279,3315,19089,13640,10121,5155,718,44,14,52375,1872,4800,7235,5815,4157,2708,789,103,8,27485,68,189,904,690,352,255,63,14,3,2549,58,208,553,316,238,146,51,21,5,1608,2274,8513,27787,20464,14867,8261,1629,184,36,84018,176,491,1090,707,488,303,14,4,0,3272,622,716,645,355,279,202,37,5,0,2859,796,1203,1730,1064,772,503,54,6,0,6130,3071,9717,29522,21522,15641,8768,1679,187,35,90148,4075,2843,4697,3676,3437,4979,7708,7940,4024,43376,367,762,2311,1595,1127,868,713,692,371,8798,7513,13330,36524,26793,20195,14610,10101,8822,4431,142318
CED294,52,191,377,169,132,102,19,0,0,1038,90,157,230,172,129,178,157,40,23,1175,38,102,182,144,89,73,32,7,5,669,178,453,795,479,347,352,204,49,28,2883,27,136,482,250,171,109,19,0,0,1194,32,136,187,94,91,86,17,3,0,641,3,5,35,21,22,20,3,3,0,111,6,12,22,20,16,3,0,0,0,84,64,289,726,386,300,215,42,7,0,2033,21,52,148,83,72,30,5,0,0,410,29,59,54,29,13,20,3,0,0,204,47,111,202,111,90,48,10,0,0,613,117,397,921,499,388,268,51,7,0,2647,165,284,449,311,262,338,355,95,28,2291,74,215,474,477,328,210,80,16,5,1886,357,898,1848,1295,975,816,482,121,38,6825
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,8,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,4,3,11,5,0,0,0,25
