CED_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED224,0,0,3,35,31,11,5,3,0,91,9,40,43,285,57,59,14,3,3,516,0,0,6,67,21,61,48,49,52,302,0,21,19,109,88,82,114,57,41,527,25,107,130,258,107,128,73,34,9,875,0,44,104,322,178,118,90,38,7,900,0,0,0,12,24,16,15,18,6,96,3,34,128,431,184,148,86,55,21,1091,8,26,60,414,81,108,65,15,0,778,7,23,75,246,44,20,6,4,0,428,0,0,0,18,20,34,28,17,8,132,0,7,13,47,45,17,13,3,6,149,33,188,151,263,152,94,48,19,8,948,4,44,320,656,377,265,72,26,11,1783,0,0,3,29,24,22,24,5,4,102,0,0,16,53,19,23,5,3,4,116,55,181,399,1312,461,341,342,263,193,3546,259,570,915,2091,1027,798,725,539,352,7279,6495,17717,22342,38086,20576,16356,12264,7178,4377,145399
CED225,0,0,0,31,32,4,0,0,0,71,13,56,105,414,220,124,34,5,3,985,0,0,6,148,96,126,60,26,20,486,3,30,45,148,223,276,209,114,46,1093,12,65,77,99,70,58,19,10,0,410,7,87,173,376,315,163,88,43,16,1275,0,0,0,30,62,71,57,33,13,256,34,279,233,1419,650,310,167,79,14,3189,4,17,8,92,6,4,6,0,0,140,8,8,20,115,24,12,9,0,0,193,0,0,6,21,25,25,9,0,0,81,0,3,0,30,48,26,9,4,0,127,17,77,52,135,86,78,61,15,0,520,0,3,16,129,49,39,17,0,0,257,0,9,0,40,44,36,24,19,8,174,0,11,29,89,40,21,13,0,0,208,32,211,291,1234,853,591,411,261,80,3969,428,829,843,1987,1247,991,740,417,167,7648,10448,22811,21390,41704,23807,18023,11413,5285,2077,156965
CED226,3,4,9,59,23,3,0,3,0,100,44,474,788,2574,1255,674,240,52,24,6116,0,6,19,200,89,142,98,34,13,591,5,35,37,155,226,260,224,112,34,1083,31,223,166,380,174,88,26,13,0,1105,17,147,163,466,232,101,55,18,0,1209,0,0,5,67,113,151,75,48,13,471,23,165,146,1148,333,152,88,33,9,2096,4,14,23,151,24,21,8,0,0,241,52,515,464,489,80,46,14,0,0,1656,0,6,18,171,191,192,116,24,6,738,0,3,14,67,48,30,14,3,0,181,28,153,67,178,72,43,25,7,4,578,4,56,115,942,350,301,106,24,5,1907,0,11,10,53,33,37,9,10,4,163,0,11,36,164,51,17,4,0,0,296,149,880,1375,4899,1996,1118,600,279,71,11376,1080,1610,1509,4451,1692,1328,940,452,219,13282,22412,34136,28005,82424,27320,19623,11563,4894,1608,231979
CED227,0,3,0,9,17,12,4,3,0,39,16,73,70,257,99,86,30,10,0,649,0,0,0,5,0,10,14,4,5,43,0,0,4,18,44,53,73,51,22,276,0,3,3,11,3,8,0,0,0,29,3,21,51,81,38,22,27,3,0,243,0,0,0,7,3,19,29,17,5,77,5,12,11,93,15,8,11,0,4,162,3,0,35,173,6,0,0,0,0,214,12,36,28,84,25,10,3,0,0,204,0,0,0,3,0,4,3,3,0,12,0,12,17,75,98,51,44,18,0,317,3,3,16,45,21,31,26,9,0,143,6,9,20,133,62,83,23,3,0,335,0,0,0,8,7,13,12,3,0,47,0,9,3,20,22,9,8,0,0,67,12,79,104,393,197,187,146,82,39,1248,515,1080,1227,2745,1903,2146,1788,1246,616,13262,7955,16934,15788,29974,18522,19671,15751,9536,4469,138592
CED228,0,11,17,23,11,9,3,0,0,66,28,129,198,896,393,304,177,46,24,2187,0,3,10,88,59,128,103,112,120,620,0,9,6,60,53,78,85,41,18,363,3,31,31,137,38,20,18,0,5,280,0,5,22,125,35,26,15,5,5,239,0,0,3,51,68,105,99,89,27,440,4,57,120,474,129,114,74,27,23,1020,7,0,8,136,11,9,3,0,0,175,3,29,62,255,54,17,12,0,0,428,4,4,7,132,165,242,239,104,19,914,0,3,11,115,110,48,42,21,9,358,13,52,42,129,53,32,13,3,3,348,75,317,1366,5817,3535,2843,945,402,162,15453,0,0,4,18,6,6,7,3,4,58,0,3,4,46,5,0,4,0,0,57,95,334,804,2571,1034,822,750,580,275,7260,619,902,1301,3539,1388,1300,1164,842,372,11426,9761,17991,22466,50222,21595,18337,13440,8770,3842,166417
CED229,0,3,7,44,29,11,9,0,0,98,17,138,218,773,342,179,52,19,4,1742,0,3,7,63,28,50,35,23,16,222,0,20,23,118,132,182,196,114,25,815,7,57,78,137,78,39,9,3,0,413,6,75,104,259,152,64,39,18,0,719,0,0,0,8,32,50,28,23,6,147,30,188,147,1104,376,158,93,27,7,2132,0,3,5,46,4,5,3,0,0,70,3,29,55,216,49,21,11,0,0,387,0,10,33,266,215,191,123,37,7,885,4,19,55,362,262,112,55,11,3,883,15,57,51,156,58,58,33,15,0,440,3,15,27,195,43,32,7,0,3,332,0,6,6,32,31,32,32,14,6,157,0,26,60,145,64,28,3,3,0,330,64,320,361,1662,827,561,388,209,69,4457,874,1469,1428,3889,2018,1707,1295,621,279,13572,17852,31264,26298,63175,28001,21491,14390,5905,2156,210531
CED230,0,6,4,28,17,5,3,0,0,64,11,76,117,319,172,86,49,7,3,837,0,0,0,30,18,47,39,22,15,167,0,11,8,108,102,205,304,159,56,955,0,9,17,41,13,9,0,3,0,96,4,37,45,169,108,51,58,19,4,498,0,0,0,12,22,39,34,35,5,143,10,62,30,411,80,59,67,10,7,747,0,0,11,103,0,0,0,0,0,121,3,23,18,94,28,4,3,3,0,170,0,0,0,6,3,6,3,0,0,25,0,0,0,12,11,0,7,0,0,35,8,23,29,96,52,50,63,11,0,329,0,9,21,85,25,20,3,0,0,168,0,7,6,15,31,35,38,23,3,162,0,9,16,64,25,14,11,0,0,146,20,154,248,842,385,316,322,188,80,2551,605,1160,1199,2812,1896,1935,1832,1094,475,13007,11601,22144,19076,40304,21524,21214,18180,9420,3861,167328
CED231,0,0,8,59,19,8,3,3,0,109,12,30,207,813,113,77,47,5,3,1301,0,0,11,149,19,54,30,13,18,308,0,8,50,345,97,95,74,27,15,712,28,28,941,815,68,54,27,3,0,1970,4,6,137,441,69,53,22,4,0,733,0,0,5,29,18,31,29,29,5,147,0,13,175,454,65,51,23,15,0,797,9,8,385,1119,41,29,12,4,0,1612,14,26,510,1233,82,26,7,0,0,1889,0,5,9,65,36,27,24,4,4,178,0,3,26,186,92,62,41,23,6,431,35,97,278,935,152,92,64,15,4,1670,12,123,810,1615,896,899,414,229,97,5098,0,0,21,82,21,9,13,10,0,150,0,3,26,79,10,3,4,0,0,122,170,385,2218,6146,1151,683,514,329,123,11711,926,1009,4370,9615,2123,1735,1138,643,389,21943,8563,10730,47158,92381,18666,14544,9518,4799,2233,208593
CED232,0,3,6,37,25,11,0,0,0,90,8,24,70,605,96,59,28,12,0,902,0,0,3,202,48,166,219,179,364,1191,3,9,55,384,170,94,106,39,19,881,8,37,139,401,72,38,25,9,3,731,3,29,177,824,338,268,174,80,38,1942,0,0,0,51,12,33,19,25,7,149,0,6,39,304,49,55,38,12,3,503,6,8,72,306,25,29,6,0,0,450,19,13,86,385,47,11,3,0,0,572,0,3,7,55,16,13,4,5,0,106,0,3,3,113,51,34,17,4,11,237,76,172,193,792,256,171,115,13,13,1799,0,12,113,342,69,61,21,6,3,622,0,0,9,97,28,18,11,4,3,172,0,0,12,82,29,21,9,0,0,157,108,280,747,4347,934,895,1092,758,561,9725,612,716,1771,7167,1987,1633,1171,575,378,16009,7801,11441,18798,67846,19543,15806,11193,5306,2973,160699
CED233,0,0,4,21,18,14,3,3,0,72,3,32,40,198,78,74,55,9,0,485,0,0,0,36,10,65,49,35,22,221,3,8,10,56,71,81,122,77,37,473,9,98,133,265,153,144,98,37,3,951,9,99,271,334,330,216,116,50,17,1434,0,0,0,9,23,20,27,31,13,117,3,23,37,216,134,160,138,48,27,784,4,22,69,335,93,109,77,12,10,735,6,11,32,107,20,16,7,3,0,205,0,0,0,31,43,60,64,48,8,259,0,3,4,35,47,41,17,17,3,175,16,75,73,92,71,40,37,13,4,421,4,5,55,304,269,259,115,30,20,1063,0,5,3,11,21,20,9,15,3,86,0,3,3,50,37,27,11,3,0,132,23,153,196,805,540,540,497,424,200,3384,196,467,536,1243,824,802,733,642,408,5852,6720,16085,17941,31665,20220,17404,13982,9488,4018,137535
CED234,0,0,0,11,20,9,3,0,0,46,15,98,75,371,121,101,49,6,0,840,0,3,0,7,3,12,4,6,9,54,0,5,10,32,53,112,141,66,11,415,0,0,5,16,11,3,0,0,0,42,0,21,28,60,42,19,16,10,0,209,0,0,0,0,14,7,31,14,5,73,12,26,9,90,32,11,6,3,3,182,0,0,32,176,6,3,3,0,0,224,7,14,19,65,35,15,3,0,0,154,0,0,3,7,11,26,23,22,0,92,0,5,12,72,88,48,29,7,0,263,7,22,17,59,29,37,25,4,3,202,0,0,0,38,12,5,0,3,0,56,0,0,0,10,11,8,16,13,8,68,0,4,10,21,16,3,0,0,0,58,21,147,227,518,234,219,158,110,50,1674,588,1169,1171,2780,1914,2102,1954,1236,607,13523,8567,18253,16329,31326,19400,20266,17067,9977,4181,145366
CED235,0,3,7,22,8,3,3,0,0,48,11,96,212,739,347,285,143,28,10,1860,0,5,0,65,27,64,41,21,13,235,0,12,11,46,69,111,82,54,13,391,6,37,44,99,27,38,15,3,0,273,4,42,49,128,66,44,18,12,0,363,0,0,4,28,55,68,66,53,10,287,26,147,227,1138,436,337,173,65,17,2568,3,4,6,77,18,12,0,3,0,115,8,17,36,172,31,17,3,0,0,282,0,37,132,767,888,1224,1125,507,108,4788,5,8,22,197,223,147,76,29,0,716,7,41,29,80,30,37,12,0,0,232,10,60,220,1237,713,610,154,66,26,3080,0,3,4,11,11,19,6,12,3,66,3,17,34,102,22,6,3,0,0,187,97,476,557,2115,1027,851,604,326,97,6152,574,891,1064,2903,1296,1249,1055,648,200,9891,11773,20819,22489,49669,22079,18644,12975,7093,2430,167966
CED236,0,0,8,13,13,8,3,4,0,39,7,65,44,238,86,59,26,4,0,540,0,0,0,10,3,11,11,6,4,45,0,7,4,35,50,101,127,80,25,430,0,5,5,10,12,10,0,0,0,39,3,19,33,95,54,18,19,3,4,241,0,0,0,3,7,11,16,7,0,40,5,15,5,75,24,11,14,7,0,154,0,0,41,190,0,0,0,0,0,232,3,16,10,49,23,8,0,0,0,110,0,0,0,0,3,0,0,0,0,5,0,0,0,11,3,0,3,0,0,19,0,11,16,50,26,49,42,11,0,207,0,3,4,36,14,7,0,0,0,69,0,4,6,9,10,16,19,4,11,70,0,4,6,21,11,5,5,3,0,67,6,42,50,225,97,103,102,77,35,736,417,937,985,2282,1687,1874,1744,1153,518,11598,7126,16199,14804,27657,18724,19914,16426,8995,3930,133772
CED237,0,0,0,41,22,0,5,0,0,72,25,66,93,575,160,144,68,21,5,1163,0,0,9,122,42,69,50,58,67,422,3,6,27,194,96,56,52,45,24,500,4,17,47,170,38,28,13,3,0,315,3,10,38,222,35,28,15,11,0,360,0,0,3,25,30,27,26,34,17,153,24,66,76,477,189,130,55,19,15,1050,7,0,27,157,8,11,0,0,0,213,6,28,69,264,54,13,4,0,0,444,0,0,0,45,26,35,23,14,8,157,9,13,38,545,602,276,172,85,10,1739,16,59,86,437,89,41,39,7,6,787,9,37,110,515,189,249,88,24,14,1236,0,0,5,39,17,6,12,4,4,85,0,0,14,65,3,9,0,0,0,89,101,262,428,2466,670,466,460,340,174,5359,622,897,1222,4286,1390,1008,850,808,414,11493,10637,16691,20840,63319,20195,14610,10101,8822,4431,169649
CED294,0,0,0,3,3,0,0,0,0,7,0,0,4,25,5,3,3,0,0,41,0,0,0,9,3,0,0,0,0,11,0,0,3,10,0,7,3,0,0,22,0,0,7,4,0,3,0,0,0,13,0,0,0,13,4,0,3,0,0,25,0,0,0,0,0,4,0,0,0,6,0,0,4,10,0,3,0,0,0,28,0,0,18,33,4,0,0,0,0,64,0,0,3,11,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,12,9,0,3,0,0,26,4,0,13,17,3,3,3,0,0,47,0,0,17,31,11,10,3,0,0,76,0,0,0,8,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,3,11,19,79,163,42,22,19,4,4,359,46,55,177,503,161,131,74,15,5,1162,379,367,1254,3135,975,816,482,121,38,7565
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,8,11,5,0,0,0,29
