CED_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
CED223,0,0,7,19,13,19,17,5,3,89,0,0,7,15,3,0,3,0,0,33,0,0,6,19,0,0,0,0,0,24,0,7,0,25,17,22,47,34,13,169,10,53,60,316,166,128,61,25,8,836,0,3,0,15,7,9,19,5,6,65,0,0,4,37,10,9,0,0,0,62,0,0,0,20,17,6,3,0,0,48,3,3,29,152,57,51,29,7,5,339,0,5,0,46,24,32,21,29,19,170,3,15,22,59,53,75,60,45,19,345,0,21,25,76,22,22,17,10,0,185,3,14,32,120,81,32,18,10,0,306,0,0,0,6,19,16,19,14,3,80,0,14,24,118,64,53,46,21,10,342,0,0,10,58,14,14,4,0,0,99,3,7,31,89,30,12,7,0,0,177,0,0,3,21,35,48,50,16,0,178,0,0,0,11,9,9,5,6,0,46,9,37,30,100,60,38,36,5,0,308
CED224,0,0,4,28,19,8,3,0,0,61,0,0,3,18,11,6,3,4,6,40,0,0,10,21,3,0,0,0,0,42,0,8,9,19,11,22,33,17,4,120,12,87,130,397,198,158,98,66,19,1168,0,0,0,9,15,3,10,5,10,44,0,3,13,35,12,8,0,0,0,77,0,0,0,17,21,6,5,0,0,43,3,20,23,188,39,43,16,3,3,337,0,0,0,43,18,35,30,30,27,184,0,15,8,53,42,39,61,34,24,290,13,50,72,148,69,87,46,18,11,508,0,20,52,161,89,63,44,22,8,463,0,0,0,3,16,11,9,12,3,53,0,25,51,203,95,73,51,31,16,544,0,12,32,229,55,74,39,7,0,449,0,5,42,174,40,16,5,4,0,291,0,0,0,10,15,14,11,8,3,64,0,0,5,22,27,4,3,4,3,74,19,83,77,149,96,49,22,10,9,509
CED225,0,3,28,125,81,76,53,18,12,390,0,0,0,16,0,0,3,0,4,16,3,3,6,23,5,0,0,0,0,38,0,3,4,37,35,108,180,74,49,490,25,116,177,378,252,159,73,22,4,1202,0,0,0,17,33,28,37,10,4,128,3,27,33,114,24,13,4,0,0,219,0,0,0,25,22,5,0,0,0,48,4,29,60,274,129,95,26,5,3,624,0,0,3,85,56,63,34,19,11,270,3,17,20,77,108,147,100,60,30,548,4,26,42,63,45,31,10,5,0,231,0,37,82,198,165,79,51,22,12,640,0,0,0,14,31,38,24,16,12,134,17,146,100,726,310,141,90,35,7,1582,0,9,0,53,3,4,3,0,0,79,4,0,9,86,23,9,5,0,0,137,0,0,3,9,6,11,0,0,0,37,0,0,0,17,26,12,9,3,0,68,8,36,30,69,40,38,28,7,0,252
CED226,0,9,22,176,37,23,20,0,3,298,0,48,155,554,177,103,43,29,9,1119,0,16,31,176,8,5,3,0,0,244,0,3,0,24,12,44,48,19,8,157,142,733,689,1591,501,302,94,29,7,4081,0,0,4,22,19,31,24,0,3,113,33,112,77,614,50,29,12,0,0,933,0,0,0,33,5,0,0,3,0,43,24,236,388,1443,723,409,157,36,25,3433,0,3,11,106,57,75,46,20,11,338,0,17,15,85,101,145,120,69,19,569,15,117,89,202,91,39,16,5,0,570,8,69,84,245,110,51,28,10,0,605,0,0,3,29,58,74,36,24,10,232,14,78,67,554,137,81,42,15,7,997,3,10,15,91,16,14,3,0,0,152,26,244,229,337,59,35,11,0,0,935,0,0,10,100,98,99,48,15,8,377,0,0,3,27,18,13,9,4,0,76,21,76,39,91,32,23,13,0,3,299
CED227,0,6,0,10,0,0,0,0,0,21,0,0,10,30,7,9,0,0,0,56,0,0,6,21,0,0,0,0,0,25,0,0,3,14,3,32,61,27,9,147,7,27,52,166,109,82,45,21,3,526,0,0,0,3,3,6,8,0,0,21,0,18,5,14,3,0,0,0,0,35,0,3,0,5,7,8,4,3,0,26,6,36,31,180,70,76,26,7,0,438,0,0,0,0,0,3,7,3,3,16,0,0,4,8,30,29,35,29,16,151,0,3,0,8,0,0,0,0,0,19,0,9,30,43,21,15,10,3,3,130,0,0,0,4,3,5,14,5,8,33,3,3,6,31,8,9,3,0,3,64,0,0,26,98,3,0,0,0,0,130,7,19,16,51,21,10,3,0,0,120,0,0,0,3,0,0,0,0,0,4,0,3,12,42,43,29,13,8,0,155,0,0,5,25,11,16,15,4,0,81
CED228,0,0,3,35,17,18,10,9,6,93,0,50,68,215,26,15,0,0,0,376,3,3,52,161,8,5,0,0,0,239,0,0,0,18,3,8,27,21,3,89,29,128,188,426,147,100,39,6,3,1063,0,0,0,8,3,7,9,11,10,53,7,20,28,137,9,13,4,0,0,216,0,0,8,17,5,0,3,0,0,36,11,53,99,519,238,192,115,27,20,1284,0,0,7,51,36,68,67,81,80,384,0,10,6,25,21,40,37,26,16,181,3,14,16,77,19,11,6,0,3,157,0,0,9,47,19,16,5,0,3,106,0,0,0,16,33,53,50,63,22,230,3,23,33,195,56,57,38,16,15,437,5,0,4,83,9,10,0,0,0,114,0,5,37,189,46,19,5,0,0,304,0,3,5,70,91,124,121,62,12,486,0,3,3,43,58,24,21,5,3,172,3,30,28,65,19,12,8,0,3,164
CED229,0,4,18,56,20,12,7,3,3,124,0,4,3,12,4,3,0,0,0,22,0,12,20,90,4,0,0,0,0,119,0,4,3,14,15,48,82,35,9,208,51,260,212,588,293,171,69,25,10,1680,0,0,3,4,27,19,29,13,3,95,11,56,35,220,17,23,5,0,0,362,0,0,4,24,17,4,4,0,0,56,10,56,105,474,226,120,37,14,3,1052,0,0,3,45,16,31,9,13,7,130,0,6,7,58,67,97,104,61,17,430,3,31,37,86,44,14,6,3,0,225,3,44,57,123,75,33,18,7,0,356,0,0,0,9,20,26,14,9,6,79,17,96,69,568,179,81,53,18,7,1084,0,3,7,25,3,3,3,0,0,41,3,18,31,158,41,16,8,0,0,265,0,0,8,147,101,104,55,15,7,432,0,9,26,161,133,58,25,6,4,423,10,27,29,77,28,40,21,3,0,239
CED230,3,12,14,67,37,24,17,5,0,183,0,0,5,21,0,3,4,0,0,30,0,0,7,16,4,3,0,0,0,25,0,5,4,33,35,154,273,152,69,728,19,98,122,379,229,184,118,47,15,1202,0,0,0,8,15,21,30,14,3,98,3,11,3,41,6,3,3,0,0,60,0,6,0,16,12,3,0,0,0,34,3,34,57,221,128,72,43,6,3,573,0,0,0,13,11,19,17,14,13,92,0,6,7,52,47,116,162,79,28,494,0,3,3,27,7,8,0,3,0,51,0,17,24,74,52,33,29,7,4,249,0,0,0,10,7,18,18,12,4,69,5,24,13,192,38,28,40,3,7,357,0,0,7,53,0,3,0,0,0,64,0,4,6,76,19,4,0,3,0,125,0,0,0,0,0,0,3,0,0,10,0,0,0,3,3,0,6,0,0,14,8,9,17,49,25,27,26,3,0,167
CED231,0,0,41,82,3,5,3,3,3,134,0,4,72,34,9,7,0,3,0,130,0,3,19,65,3,0,0,0,0,90,0,3,27,77,11,21,34,8,3,182,13,43,387,1505,228,169,74,18,12,2435,0,0,0,44,5,12,3,0,0,67,3,3,10,67,5,5,0,0,0,99,0,0,8,30,12,3,3,0,0,57,3,17,112,457,69,51,29,3,3,753,0,0,6,100,10,32,14,7,17,188,0,4,31,150,48,42,45,12,7,332,15,15,548,403,40,34,9,0,0,1071,0,6,81,204,42,21,12,3,0,371,0,0,0,16,6,16,14,21,3,79,0,5,95,201,28,24,16,6,3,381,0,3,210,660,30,24,9,0,0,931,8,14,311,804,62,21,8,0,0,1223,0,0,8,37,22,12,8,5,0,89,0,0,14,71,53,25,28,14,0,207,20,41,160,486,60,47,30,7,3,862
CED232,0,0,8,67,15,11,7,7,4,113,0,0,3,9,4,3,3,0,7,27,0,0,24,52,6,0,0,0,0,80,4,16,8,72,25,15,35,15,9,196,21,40,274,1214,284,242,84,29,7,2189,0,0,6,61,19,10,3,3,4,109,0,0,9,48,0,3,0,0,0,65,0,3,3,23,15,7,0,0,0,57,4,12,37,372,55,40,25,7,3,555,0,0,0,130,34,86,99,120,238,709,3,3,32,184,75,40,45,23,9,406,3,13,92,213,41,24,15,3,3,405,0,10,87,387,168,141,77,46,23,936,0,0,0,28,4,19,11,17,9,79,0,0,11,138,28,33,17,3,3,236,5,4,45,178,14,21,5,0,0,277,10,6,43,264,38,8,8,0,0,377,0,4,4,22,13,7,6,0,0,47,0,3,0,46,25,20,6,3,8,109,37,80,81,438,136,85,58,4,5,925
CED233,0,0,0,15,10,14,11,4,0,51,0,0,3,12,0,6,0,3,3,30,0,0,0,10,0,0,0,0,0,8,3,4,0,7,9,16,43,42,27,154,3,45,92,154,128,107,53,31,18,627,0,0,0,7,11,15,13,9,4,55,3,25,21,65,15,12,11,0,0,158,0,3,4,7,6,10,3,4,0,42,3,18,15,134,63,48,44,4,0,322,0,0,0,16,13,37,32,23,10,128,0,3,9,26,33,46,60,47,25,242,3,48,60,154,75,89,55,13,5,493,4,44,135,190,186,100,61,34,6,765,0,0,0,4,6,11,14,11,10,53,3,4,16,112,72,91,70,31,14,409,0,6,27,185,64,74,44,8,8,410,6,3,13,86,21,14,0,3,0,138,0,0,0,21,22,29,30,31,3,140,0,0,4,21,29,20,9,11,3,95,9,40,27,54,42,19,12,6,3,213
CED234,0,0,0,3,3,0,0,0,0,7,0,0,0,4,0,0,0,0,0,10,0,0,3,10,3,0,0,0,0,14,0,4,5,15,15,49,106,34,14,249,13,62,91,220,165,143,74,38,9,810,0,0,0,8,6,10,11,3,3,45,8,25,23,45,0,0,0,0,0,100,0,0,0,9,9,3,0,0,0,17,6,41,38,228,104,90,48,6,0,569,0,0,0,3,3,6,3,4,5,31,0,0,0,13,31,55,71,27,6,204,0,0,5,9,6,3,0,0,0,27,0,3,15,29,14,8,13,3,0,97,0,0,0,0,7,5,17,4,4,33,6,13,3,45,15,4,3,3,0,92,0,0,32,140,3,3,3,0,0,183,4,3,12,51,32,12,3,0,0,117,0,0,0,3,4,8,10,14,0,44,0,0,7,39,38,24,12,4,0,125,3,16,6,33,22,18,13,4,3,121
CED235,3,4,11,56,21,24,4,6,0,130,0,0,3,15,5,4,0,0,0,27,0,16,39,133,6,10,4,0,0,206,0,3,4,11,3,20,19,13,5,74,24,170,142,295,127,97,24,9,0,899,0,0,3,4,7,10,17,12,0,59,7,28,33,185,21,22,4,3,0,295,0,3,3,10,3,3,0,0,0,22,3,47,104,439,214,191,88,20,8,1119,0,0,0,31,19,38,24,11,6,131,0,4,3,20,38,56,43,29,10,201,0,14,28,56,16,23,8,0,0,153,0,19,17,66,36,24,13,8,0,182,0,0,0,7,27,34,34,19,10,139,13,67,106,538,209,161,80,40,10,1226,0,3,5,37,7,3,0,0,0,65,3,3,18,123,23,14,3,0,0,190,0,18,63,409,459,614,528,266,50,2412,0,6,12,86,119,74,39,14,3,356,3,16,19,40,16,16,0,0,0,111
CED236,0,0,0,3,0,6,3,0,0,7,0,0,0,4,0,0,0,0,0,14,0,0,4,3,0,0,0,0,0,3,0,0,3,14,23,58,113,49,29,287,9,52,77,239,197,128,76,21,6,811,0,0,0,5,3,6,7,13,3,36,0,7,0,9,0,0,0,0,0,19,0,0,3,3,5,3,3,0,0,23,3,31,25,164,73,59,25,4,0,380,0,0,0,5,0,8,4,0,0,22,0,0,3,20,29,48,71,47,16,229,0,0,3,8,8,3,0,0,0,20,3,7,13,58,26,13,8,3,0,124,0,0,0,0,7,9,9,3,0,24,0,4,5,35,9,3,5,3,0,71,0,0,23,79,0,0,0,0,0,107,0,4,6,33,22,6,0,0,0,78,0,0,0,0,3,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,3,10,32,17,28,18,4,0,108
CED237,0,3,13,61,13,5,9,0,0,109,0,0,10,24,7,7,8,0,0,55,3,22,250,693,16,16,5,3,0,1003,0,5,5,29,15,10,15,10,3,99,9,48,180,909,192,106,40,11,8,1511,0,0,0,16,8,9,3,10,3,43,65,138,92,630,42,15,8,6,3,998,0,0,0,28,10,0,0,0,0,47,16,36,54,341,108,113,49,17,7,738,0,0,3,74,23,30,40,41,51,270,0,3,17,96,36,23,24,23,15,238,0,6,26,92,24,13,3,3,0,168,3,7,21,112,12,15,5,3,0,187,0,0,0,9,11,7,20,19,9,74,9,32,43,235,91,65,26,14,12,517,4,0,15,87,5,5,3,0,0,121,3,10,32,193,41,11,4,0,0,299,0,0,0,23,15,20,15,7,3,80,6,3,16,249,295,121,94,45,4,836,4,27,53,234,38,24,18,9,7,421
CED294,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,6,0,0,0,3,0,4,5,0,0,12,3,5,9,46,13,14,4,0,0,99,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,3,17,0,3,3,0,0,24,0,0,0,6,0,0,0,0,0,4,0,0,3,3,0,3,0,0,0,15,0,0,8,0,0,3,0,0,0,7,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,6,0,0,12,23,4,0,0,0,0,40,0,0,3,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,10,0,0,0,0,0,19
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
