CED_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
CED227,0,0,4,14,17,12,83,47,13,11,3,11,14,4,0,243,0,0,7,5,3,6,19,40,5,34,17,7,4,6,6,162,0,0,0,0,7,17,26,83,11,21,10,11,4,9,5,204,0,0,3,5,0,0,0,0,0,3,0,0,0,0,0,12,0,0,0,104,41,56,57,31,12,0,0,0,4,0,6,317,24,285,520,677,178,128,129,83,17,27,30,26,31,19,123,2306,0,3,8,25,18,11,27,24,8,4,8,3,13,0,0,143,0,0,0,0,51,66,67,66,13,13,16,7,13,4,23,335,0,0,3,3,3,3,21,17,0,7,3,3,0,0,0,67,14,68,131,158,157,182,384,469,128,119,111,115,134,71,180,2419,70,985,1429,1425,830,874,1415,1852,394,460,496,408,486,362,738,12233
CED228,0,0,8,16,34,38,47,38,9,11,9,9,8,11,3,239,0,5,18,86,40,160,99,183,44,135,112,41,44,28,28,1020,0,0,0,3,34,63,93,107,11,18,18,24,27,17,19,428,0,0,31,526,91,119,52,18,11,10,0,11,9,0,43,914,0,0,0,125,57,73,38,17,8,10,8,3,6,0,12,358,6,221,468,560,255,210,268,194,74,54,48,66,36,31,102,2599,0,0,7,20,32,34,61,71,11,30,23,12,15,14,12,348,0,0,0,31,3638,4790,2080,1889,289,361,594,473,445,217,633,15453,0,0,0,0,6,7,12,14,0,3,5,6,3,0,0,57,7,373,520,1257,1055,1381,1807,1660,344,478,606,523,542,332,369,11246,65,3181,6170,6380,6967,9769,7804,8828,1689,2315,3015,2721,2631,1632,2516,65684
CED229,0,0,5,26,60,51,179,228,48,13,19,18,26,20,16,719,0,3,15,53,26,266,443,774,87,151,86,71,64,42,48,2132,0,0,0,0,16,69,95,76,14,20,22,24,25,11,23,387,0,10,51,330,108,162,110,46,17,6,6,9,8,5,32,885,0,0,5,177,119,212,191,106,11,11,9,4,8,0,32,883,17,417,1151,1724,727,590,683,663,155,148,96,48,66,27,171,6669,0,0,4,46,27,44,102,84,17,18,21,16,28,9,19,440,0,0,0,4,47,81,48,65,14,14,19,12,10,10,14,332,0,0,0,3,5,11,68,142,11,24,9,16,12,19,3,330,8,153,265,699,530,815,1013,1093,174,198,224,161,255,143,203,5937,41,1700,3281,4802,2886,4496,7288,9597,1597,1605,1536,1412,1416,929,1464,44049
CED230,0,0,11,36,77,52,109,120,20,28,12,10,6,3,14,498,0,3,14,44,32,79,114,269,26,49,17,24,42,8,25,747,0,0,0,3,7,16,36,38,11,19,12,5,14,3,9,170,0,0,0,12,3,4,0,0,4,0,0,0,0,0,0,25,0,0,0,19,6,5,7,0,0,0,0,0,0,0,0,35,47,847,1667,2170,890,528,465,488,61,87,62,44,28,6,257,7649,0,11,7,50,44,42,68,47,7,9,19,13,10,3,6,329,0,0,0,3,15,36,26,32,8,6,6,4,6,0,17,168,0,0,0,3,15,8,19,52,9,7,4,11,0,3,12,146,12,147,246,538,342,475,777,696,95,96,96,78,94,52,104,3850,88,2372,3310,3798,2355,2192,3019,3651,567,635,511,455,503,222,868,24533
CED231,0,0,18,19,72,108,206,110,31,30,15,42,33,32,19,733,0,3,9,47,52,141,94,121,24,37,43,54,68,87,24,797,0,0,0,6,42,83,193,303,73,97,136,191,329,244,198,1889,0,0,12,53,11,37,24,16,8,5,3,3,0,0,6,178,0,4,0,99,51,66,63,46,13,4,12,10,24,14,31,431,11,219,486,692,534,740,886,771,295,307,296,373,489,327,225,6654,0,0,14,61,96,177,240,240,84,80,98,142,195,155,85,1670,0,0,4,20,1287,1357,613,541,147,155,168,200,238,201,175,5098,0,0,3,0,16,14,36,18,0,9,4,3,3,10,3,122,13,140,246,555,729,1668,2629,2248,609,746,958,1374,1925,1358,894,16102,63,1116,2452,3128,4474,7649,10977,12354,3974,5228,6367,9136,12354,9198,4525,92999
CED232,3,4,37,55,257,484,594,229,34,41,53,32,45,29,32,1942,0,3,14,50,46,112,82,64,16,26,22,25,27,15,10,503,0,0,3,10,30,41,108,117,31,35,26,59,38,30,41,572,0,0,7,24,5,23,21,16,3,0,9,0,0,0,0,106,0,3,3,56,30,31,22,31,4,11,8,13,12,9,8,237,37,289,646,956,622,695,1097,1123,381,448,440,430,537,312,241,8254,0,10,26,106,131,198,280,284,94,74,116,164,164,84,73,1799,0,0,0,12,165,98,55,105,30,27,24,36,26,26,21,622,0,0,0,4,28,18,47,27,7,9,0,4,9,5,3,157,55,608,620,722,1097,1840,1542,1485,404,540,594,738,983,638,485,12351,251,2008,2939,3562,3949,5891,7877,8687,2489,2894,3235,3870,4590,2902,2057,57201
CED233,3,3,13,39,154,166,513,318,27,44,24,37,46,35,14,1434,0,12,49,107,67,235,132,92,14,16,16,16,13,3,17,784,0,0,0,0,20,26,46,47,9,13,11,11,14,10,5,205,0,17,55,101,31,19,14,4,0,0,0,0,3,0,13,259,0,0,11,67,27,27,29,3,0,0,3,0,0,0,3,175,46,393,698,905,456,377,510,370,54,72,43,31,38,15,94,4111,0,6,3,42,34,56,101,57,9,16,19,16,22,12,12,421,0,0,0,3,610,223,75,41,3,7,20,20,19,21,23,1063,0,0,3,4,16,11,52,29,0,4,3,5,7,3,0,132,14,386,430,589,573,927,808,411,67,119,102,107,121,61,152,4876,140,2900,4975,4592,4704,8035,8481,6565,1241,1518,1482,1567,1544,850,1525,50120
CED234,0,0,8,9,11,3,70,51,6,5,3,27,5,4,4,209,0,0,0,5,8,12,27,59,6,17,10,12,17,5,8,182,0,0,0,0,5,21,37,45,5,5,7,11,6,0,10,154,0,6,38,27,4,6,6,0,0,0,0,0,0,0,4,92,0,0,0,67,35,60,54,11,3,0,0,5,0,6,12,263,25,406,810,858,249,163,164,115,42,32,32,19,19,15,164,3116,0,4,4,27,17,21,45,22,9,4,14,5,11,7,4,202,0,0,0,0,8,6,12,8,3,5,7,5,0,0,10,56,0,0,0,0,4,0,9,20,4,0,8,3,5,5,0,58,9,95,149,187,90,159,540,672,104,131,257,171,189,92,128,2979,61,1382,1990,1743,912,1033,2102,2619,481,535,753,618,620,370,761,15996
CED235,0,0,3,12,23,34,115,86,12,15,28,14,17,0,9,363,0,3,14,51,96,501,620,594,108,165,139,88,83,68,39,2568,0,0,0,3,35,40,63,57,10,10,11,16,12,12,18,282,3,66,321,2135,532,772,438,187,37,18,27,42,37,13,161,4788,0,0,8,228,129,170,78,32,7,9,3,6,8,7,24,716,18,153,492,813,315,276,307,295,60,71,40,22,39,27,82,3009,0,0,3,21,18,27,54,41,8,7,10,13,27,4,0,232,0,0,0,5,746,1009,435,349,70,56,93,83,68,46,130,3080,0,0,0,0,3,3,33,64,4,18,17,16,11,11,0,187,3,124,306,1027,887,1381,1589,1300,239,303,337,354,314,204,259,8627,53,1990,5626,8238,4528,7503,9041,10363,1765,2011,2651,2103,1986,1181,2181,61224
CED236,0,0,0,10,14,13,65,77,6,12,4,12,12,0,7,241,0,0,3,8,3,13,14,48,6,12,9,8,8,9,14,154,0,0,0,0,4,5,14,23,5,6,7,9,13,3,5,110,0,0,4,3,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,19,25,411,931,945,323,189,194,182,40,26,24,24,26,3,186,3538,0,8,6,40,18,25,43,26,12,6,3,5,7,8,4,207,0,0,0,3,7,11,8,12,0,0,3,5,7,3,17,69,0,0,0,0,3,3,14,25,3,7,3,0,0,7,3,67,8,67,95,123,76,93,161,137,25,31,14,61,96,79,135,1207,47,945,1510,1530,906,794,1321,1245,221,266,230,273,349,262,713,10614
CED237,0,0,7,24,45,61,87,62,12,13,16,16,7,15,7,360,0,8,10,59,41,217,178,214,50,53,56,39,62,35,20,1050,0,0,0,9,19,43,97,83,16,32,26,27,45,23,31,444,0,0,20,70,14,22,9,3,0,7,0,0,0,0,10,157,0,0,0,537,276,390,260,85,26,17,27,16,27,8,61,1739,29,181,432,529,398,454,660,512,165,131,137,157,140,88,115,4124,0,3,14,42,74,80,133,128,50,50,33,40,61,31,25,787,0,0,3,14,345,308,158,161,20,30,50,39,39,31,34,1236,0,0,0,3,18,11,29,16,3,3,5,0,0,0,0,89,4,249,313,745,625,924,1177,1928,275,434,630,795,837,549,294,9786,103,3067,6678,6320,4064,5328,6638,7998,1759,2207,2737,2860,3025,1968,2070,56817
CED294,0,0,0,3,6,0,7,0,0,0,0,0,0,3,0,25,0,0,0,4,0,0,0,5,0,0,0,0,0,3,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6,5,3,0,0,0,0,0,0,3,26,0,11,27,47,32,15,11,8,5,7,3,8,46,49,39,306,0,0,0,3,0,3,3,3,0,0,0,0,3,17,5,47,0,0,0,0,11,16,9,8,7,4,0,8,7,0,5,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,13,24,32,52,60,11,24,16,41,63,80,89,519,3,35,61,104,113,130,178,195,49,54,81,109,221,375,305,2011
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
