UCL_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
UCL222021,0,0,0,30,28,12,6,19,77,173
UCL222022,3,0,3,66,93,45,32,46,20,307
UCL222023,0,0,0,35,49,35,21,34,10,192
UCL222024,3,3,8,42,67,38,26,48,16,237
UCL222025,0,4,11,64,107,50,46,45,34,346
UCL222026,0,0,0,65,33,14,18,55,65,246
UCL222027,0,0,3,21,50,24,15,26,19,156
UCL222028,0,0,3,61,82,36,32,28,18,261
UCL222029,3,3,3,49,76,31,29,47,19,248
UCL222030,0,0,6,52,89,52,60,105,58,416
UCL222031,0,0,3,57,59,28,22,39,13,222
UCL222032,0,4,6,76,105,48,28,58,53,369
UCL222033,0,0,5,35,51,28,22,43,25,194
UCL222034,0,0,0,20,46,22,24,29,18,171
UCL222035,0,4,12,29,56,27,24,39,40,219
UCL222036,3,0,10,53,88,29,28,51,23,274
UCL222037,0,0,4,45,56,25,17,31,27,202
UCL222038,0,0,0,29,46,28,27,46,34,212
UCL222039,9,3,19,35,57,47,45,84,31,300
UCL222040,3,0,11,22,35,25,14,35,35,177
UCL222041,0,0,3,37,58,22,23,27,20,184
UCL222042,0,0,0,32,45,29,20,21,21,168
UCL222043,0,0,3,40,82,51,31,40,7,246
UCL222044,0,4,10,48,91,49,38,30,34,290
UCL222045,0,3,9,33,60,33,33,65,28,250
UCL222046,0,3,10,40,38,27,35,40,30,212
UCL222047,3,4,7,76,91,70,58,71,37,392
UCL222048,5,0,7,53,86,43,45,74,41,332
UCL222049,3,0,7,37,50,37,37,53,33,245
UCL222050,0,0,0,38,72,30,13,43,21,230
UCL222051,8,0,20,40,79,46,45,76,39,324
UCL222052,7,0,12,22,37,23,23,51,25,170
UCL222053,6,3,9,42,30,25,28,54,32,206
UCL222054,3,4,11,33,56,37,25,34,22,211
UCL222055,5,3,10,69,107,75,38,47,50,388
UCL222056,3,0,3,62,78,28,36,54,42,305
UCL222057,3,3,7,80,94,67,52,60,37,385
UCL222058,0,0,0,53,71,40,40,61,33,301
UCL222059,3,0,6,58,89,39,34,99,31,351
