UCL_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
UCL214006,5,4,5,5,9,0,34,6,0,5,0,0,0,9,7,7,3,3,0,0,20,0,8,13,0,3,0,26,12,15,6,3,6,0,41,10,14,18,5,6,0,54,10,32,18,10,0,0,76,13,35,14,15,5,0,85,25,69,17,9,9,0,125,25,62,17,11,11,0,124,15,71,9,3,5,0,109,42,114,27,9,3,0,187,23,59,4,4,0,0,91,18,52,5,0,0,0,78,39,76,10,0,3,0,126,29,83,19,0,0,0,134,12,23,7,3,3,0,43,7,13,0,0,0,0,23,12,34,5,3,9,0,61,311,769,219,70,73,7,1447
UCL214007,13,7,4,0,3,0,27,8,3,3,0,0,0,11,15,3,9,0,8,0,34,15,10,9,0,3,0,29,35,44,12,9,4,0,96,39,37,21,7,4,3,106,31,56,10,5,13,0,123,30,69,17,3,4,0,127,18,53,11,3,4,0,84,12,28,6,0,0,0,49,4,13,5,0,0,0,29,12,20,3,0,0,0,31,3,8,0,0,0,0,10,0,0,0,0,0,0,5,3,10,5,0,0,0,24,3,7,3,0,0,0,15,4,3,0,0,0,0,4,0,0,0,0,0,0,3,9,14,7,3,0,0,35,256,379,122,45,44,3,849
UCL214008,14,3,5,0,0,0,21,3,3,0,0,0,0,11,7,3,7,0,3,0,24,4,3,5,0,3,0,24,21,6,7,4,14,0,54,23,14,18,8,10,0,72,25,25,22,11,6,0,91,27,47,20,14,10,0,121,25,49,14,11,8,0,107,31,62,13,11,7,0,116,24,52,13,0,7,0,96,39,65,17,3,3,0,125,13,21,0,4,0,0,38,4,10,0,0,0,0,18,14,22,7,0,0,0,48,16,26,0,3,0,0,46,3,4,3,4,0,0,14,3,6,4,3,0,0,16,15,10,16,3,3,0,44,308,438,180,81,77,3,1085
UCL214009,3,3,0,0,0,0,10,0,0,0,0,0,0,3,8,0,0,0,0,0,7,0,0,0,0,0,0,5,8,8,0,0,0,0,14,4,8,0,5,3,0,17,7,19,0,0,0,0,27,4,23,0,3,6,0,33,4,21,0,3,0,0,34,10,23,3,0,0,0,36,13,15,3,0,0,0,33,17,26,3,4,0,0,48,3,8,0,0,0,0,16,6,4,0,0,0,0,10,5,10,0,0,0,0,21,9,15,3,0,0,0,27,8,4,4,0,0,0,14,4,3,0,0,0,0,6,3,5,0,0,0,0,13,115,180,36,26,14,7,379
UCL214010,4,8,4,3,3,0,26,0,3,5,0,0,0,11,3,6,3,0,4,0,17,4,3,0,0,0,0,15,11,11,6,4,0,0,37,10,10,11,5,3,0,39,19,15,10,3,5,0,60,17,47,20,4,5,0,97,23,57,12,7,7,0,104,27,39,21,6,3,0,93,5,55,10,3,0,3,75,30,48,16,0,0,0,99,7,21,0,0,3,0,35,3,6,3,0,0,0,13,4,28,10,0,0,0,46,4,18,12,0,0,0,39,3,9,0,0,0,0,10,0,0,3,0,0,0,3,10,23,10,0,5,0,52,191,417,152,49,47,10,863
UCL214011,7,3,5,0,0,0,8,4,0,0,0,0,0,5,10,0,0,0,0,0,13,3,3,3,3,0,0,15,18,10,8,3,0,0,36,17,20,16,15,7,0,75,20,40,13,3,8,0,79,18,45,9,0,3,0,76,15,30,11,9,3,0,65,9,21,6,3,0,0,40,6,13,3,0,0,0,26,9,18,3,0,4,0,33,3,9,0,0,0,0,12,0,0,0,0,0,0,4,4,4,3,0,0,0,11,4,5,0,0,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,6,0,3,0,0,20,150,240,84,36,29,3,540
UCL214012,7,3,4,0,0,0,19,3,0,3,0,0,0,7,4,4,6,0,0,0,13,8,7,0,0,0,0,16,13,3,0,3,5,0,20,16,9,7,3,3,0,41,16,17,11,9,3,0,53,19,27,6,3,7,0,59,26,19,12,0,0,0,51,9,20,4,0,0,0,45,7,5,5,3,0,0,24,10,10,3,0,0,0,27,3,5,0,0,0,0,12,3,0,0,3,0,0,11,3,3,4,0,0,0,12,0,3,3,0,0,0,8,0,3,0,0,0,0,0,4,0,0,0,0,0,7,3,3,0,3,0,0,13,154,156,64,28,21,3,428
UCL214013,10,7,0,0,0,0,17,0,3,3,0,0,0,6,0,3,0,0,4,0,11,3,7,0,0,3,0,16,5,3,5,5,0,0,28,6,19,3,4,0,0,35,12,17,12,3,4,0,58,12,38,7,4,0,0,62,20,40,3,3,0,3,70,20,40,0,3,7,0,69,4,20,4,0,0,0,27,14,26,4,0,0,0,41,3,13,0,0,0,0,15,0,4,0,0,0,0,6,0,3,4,0,0,0,12,3,7,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,3,5,0,0,15,120,242,60,39,28,3,494
UCL214014,7,0,0,3,3,0,13,3,0,0,0,3,0,13,18,6,4,3,4,0,39,9,6,4,6,3,0,31,24,10,8,7,10,0,61,29,50,19,4,12,0,115,22,38,14,13,14,0,101,20,27,3,8,5,0,67,9,24,7,9,3,0,51,12,20,3,3,0,0,39,6,5,0,0,0,0,13,3,3,5,0,0,0,20,0,5,0,0,0,0,9,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,5,0,0,0,0,5,0,3,0,0,0,0,3,3,0,0,0,0,0,3,7,10,9,3,0,0,32,187,229,88,63,60,4,633
UCL214015,9,3,0,0,0,0,11,0,0,0,0,0,0,4,4,3,0,0,0,0,6,6,3,0,0,0,0,16,9,6,3,0,3,0,19,15,10,3,0,3,3,30,15,11,6,0,0,0,37,15,26,3,3,4,0,53,16,26,11,3,0,0,54,19,26,3,0,3,0,53,9,9,7,0,0,0,26,10,15,10,3,4,0,45,4,3,0,0,0,0,11,5,3,0,0,0,0,5,14,11,3,0,3,0,27,7,6,3,0,4,0,22,3,0,0,0,0,0,6,4,0,0,0,0,0,8,14,8,3,0,3,0,34,185,166,57,17,36,3,463
UCL214016,7,4,8,0,4,0,21,0,0,7,0,0,0,6,6,3,0,0,3,0,11,4,0,5,0,0,0,8,15,15,3,4,8,0,38,20,22,11,7,11,0,68,15,29,16,6,8,0,74,15,22,10,8,5,3,68,13,14,10,3,6,0,46,10,27,6,3,3,0,52,0,7,0,0,0,0,17,4,8,0,0,3,0,23,0,3,0,0,0,0,5,0,0,0,0,0,0,7,5,0,0,0,0,0,7,0,4,0,0,0,0,5,5,0,0,0,0,0,7,3,0,0,0,0,0,3,3,9,7,4,0,0,24,134,168,81,40,64,3,487
UCL214017,0,5,0,0,0,0,6,0,0,0,0,0,0,6,3,7,3,4,4,0,20,4,10,5,0,0,0,25,27,21,15,3,11,3,74,25,42,8,8,3,3,89,27,35,12,3,0,0,75,13,24,9,3,0,0,52,7,17,4,0,0,0,33,6,8,8,0,0,0,24,0,9,3,0,0,0,11,0,10,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,7,0,0,0,0,0,5,0,0,3,0,0,0,3,0,0,0,0,0,0,3,6,3,0,4,0,0,16,138,189,74,28,24,5,462
UCL214018,13,3,8,0,0,0,25,7,0,0,0,3,0,10,4,4,0,3,3,0,20,4,4,5,0,0,0,11,12,15,8,3,3,0,40,18,23,14,4,4,0,64,24,30,23,13,8,0,105,26,57,18,16,14,0,130,38,73,21,15,15,3,170,36,98,31,5,3,0,183,23,67,22,6,3,0,129,34,99,17,8,4,0,159,10,37,10,6,3,0,62,9,23,4,0,0,0,34,33,46,16,5,7,0,94,20,24,14,0,9,0,70,7,8,7,0,0,0,30,3,6,4,0,0,0,9,8,24,19,0,7,0,64,330,641,252,82,78,3,1396
UCL214019,9,3,0,0,4,0,19,3,0,0,0,0,0,4,8,4,0,3,4,0,18,3,0,11,0,3,0,14,18,19,6,5,9,0,52,30,21,8,7,5,0,71,25,27,14,4,11,0,84,33,44,17,13,9,0,117,12,36,10,4,5,0,69,14,36,10,3,0,0,63,9,15,8,0,4,0,33,4,14,5,0,3,0,32,7,6,0,0,0,0,11,0,4,0,0,0,0,7,0,3,3,0,0,0,9,3,5,0,0,0,0,8,0,3,0,0,0,0,5,0,0,3,0,0,0,4,19,7,3,3,7,0,40,182,250,109,53,59,6,658
UCL214020,11,3,3,0,3,0,16,11,0,0,0,0,0,17,10,3,0,0,3,0,15,5,0,0,0,0,0,8,17,11,0,3,4,0,34,17,18,11,5,5,0,57,22,18,10,3,0,0,56,23,48,9,5,5,0,92,28,33,7,0,3,0,73,24,36,14,7,0,0,84,15,24,15,0,0,0,51,14,30,11,4,3,0,59,0,16,3,0,0,0,19,4,7,0,0,0,0,13,13,15,0,0,0,0,28,6,12,3,0,0,0,23,3,4,0,0,0,0,11,0,3,0,0,0,0,9,7,16,4,0,0,0,28,218,286,96,36,24,4,665
UCL215001,4,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,4,0,0,0,0,6,0,7,0,0,0,0,4,0,3,3,0,0,0,11,3,6,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,7,0,3,0,0,12,0,4,0,0,0,0,4,0,0,0,0,0,0,4,5,0,0,0,0,0,8,8,7,0,0,0,0,10,0,3,0,0,0,0,3,4,0,0,0,0,0,4,0,0,0,0,0,0,5,33,42,13,7,7,0,101
UCL215002,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,3,0,0,0,0,11,8,0,0,0,0,0,11,8,4,0,0,4,0,11,5,10,3,0,8,0,18,7,17,8,0,5,0,38,9,24,0,3,0,0,41,5,15,4,0,0,0,29,7,12,4,0,3,0,30,3,8,3,0,0,0,9,0,11,0,0,0,0,11,0,4,0,0,0,0,8,0,0,0,0,0,0,3,0,5,0,0,0,0,5,0,0,6,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,10,65,123,35,7,20,0,254
UCL215003,0,3,0,0,0,0,8,3,0,0,0,0,0,4,0,5,3,0,0,0,9,0,0,0,0,0,0,0,0,3,3,0,0,0,10,3,3,3,0,3,0,14,3,8,0,0,0,0,17,4,13,0,0,0,0,16,0,9,3,0,3,0,19,0,12,0,0,0,0,19,3,10,3,0,0,0,15,7,8,0,0,0,0,20,0,6,0,0,0,0,10,3,3,0,0,0,0,9,10,5,3,0,0,0,24,10,3,0,0,0,0,13,0,3,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,10,59,97,33,10,11,0,207
UCL215004,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,3,0,5,0,4,0,0,0,0,7,7,0,0,0,0,0,3,0,0,0,0,0,0,4,0,6,6,0,0,0,10,3,7,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,0,4,31,31,12,3,7,0,86
UCL215005,5,0,3,0,0,0,9,0,0,0,0,0,0,3,3,0,0,0,0,0,8,0,0,0,0,3,0,3,3,4,3,5,0,0,12,3,7,4,0,0,0,17,10,10,0,4,0,0,31,11,17,12,0,3,0,44,5,16,9,3,0,0,33,12,12,3,4,0,0,31,6,13,4,0,3,0,29,7,11,3,3,3,0,26,3,3,0,0,0,0,4,3,0,0,0,0,0,3,4,7,0,0,0,0,10,0,3,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,3,10,10,0,0,0,0,20,85,123,48,26,18,4,295
UCL215006,6,3,3,0,0,0,13,4,0,0,0,0,0,3,3,0,0,0,0,0,6,0,3,0,0,0,0,4,3,0,0,0,0,0,6,5,0,0,0,0,0,10,4,8,8,0,3,0,22,14,4,6,3,0,0,30,4,14,6,0,0,0,27,5,10,0,0,3,0,18,6,12,0,0,0,0,24,3,20,6,0,0,0,34,0,7,0,0,0,0,11,3,11,0,0,0,0,13,4,16,0,0,4,0,24,4,16,6,0,0,0,30,0,0,0,0,0,0,0,0,3,3,0,0,0,6,5,7,3,0,0,0,14,77,133,46,14,13,3,284
UCL215007,0,8,4,0,0,0,12,3,4,0,0,0,0,3,4,0,0,4,0,0,13,0,3,4,0,0,0,10,3,10,0,0,3,0,18,5,18,3,3,4,0,33,9,27,13,5,3,0,55,18,37,7,4,4,0,67,20,42,10,0,3,0,77,16,80,4,0,0,0,106,20,59,7,5,0,4,97,35,74,18,6,3,0,128,11,34,6,3,0,0,51,4,18,0,0,0,0,22,21,29,5,0,0,0,63,17,19,4,0,0,0,35,0,8,3,0,0,0,7,0,3,0,0,0,0,5,10,19,5,6,0,0,38,208,475,92,36,37,10,855
UCL215008,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,7,7,3,3,0,0,0,13,3,4,4,0,0,0,16,10,10,5,6,3,0,36,17,18,3,4,0,0,38,11,27,3,4,0,0,43,0,17,6,0,0,0,21,4,23,10,4,0,0,38,4,8,3,0,0,0,12,0,5,4,0,0,0,12,0,7,3,0,0,0,8,4,6,3,0,0,0,11,0,3,0,0,0,0,6,0,0,0,0,0,0,0,6,7,0,0,0,0,11,75,139,47,22,3,0,283
UCL215009,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,11,3,0,4,0,0,0,3,3,4,4,0,0,0,7,4,4,3,0,0,0,12,3,12,0,0,0,0,14,3,9,0,0,0,0,10,4,0,0,0,0,0,5,0,4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,30,16,4,0,0,80
UCL215010,6,3,3,0,0,0,8,3,3,0,0,0,0,7,0,3,0,0,0,0,5,0,0,3,0,4,0,10,0,0,0,0,0,0,3,0,3,5,0,0,0,10,3,3,0,0,0,0,12,3,7,5,4,0,0,19,9,12,3,0,0,0,25,0,18,6,0,0,0,20,4,18,3,0,3,0,23,11,27,9,0,0,0,40,0,10,4,5,0,0,22,6,11,0,0,0,0,14,6,26,6,0,0,0,43,9,26,11,0,0,0,49,5,12,0,0,0,0,20,0,0,0,0,0,0,6,0,13,4,0,0,0,14,61,192,71,14,10,0,341
UCL215011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,3,0,0,0,10,9,8,0,4,3,0,18,3,4,0,0,3,0,15,0,5,0,0,0,0,11,0,7,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,28,29,9,5,9,0,73
UCL215012,6,0,0,0,0,0,8,0,0,0,0,0,0,0,4,3,0,0,3,0,6,6,3,0,0,0,0,8,5,0,3,0,3,0,16,8,7,0,0,6,0,25,7,7,5,3,4,0,26,5,19,0,3,0,0,33,9,16,3,0,0,0,31,8,12,5,3,3,0,30,3,6,3,0,3,0,13,11,13,3,0,0,0,25,0,4,3,0,0,0,5,0,0,0,0,0,0,0,0,8,4,0,0,0,14,3,4,0,0,0,0,9,0,4,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,3,0,7,91,103,34,14,26,3,269
UCL215013,0,3,0,0,0,0,7,3,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,3,3,0,0,0,8,0,4,0,0,0,0,11,0,4,3,0,0,0,5,4,8,3,3,0,0,25,3,12,0,5,0,0,22,8,18,4,3,0,0,34,9,35,3,4,0,0,52,21,36,5,0,0,3,71,3,10,0,3,0,0,17,3,21,3,3,0,0,22,5,21,0,0,0,0,27,5,18,4,0,3,0,32,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,12,11,3,0,0,28,85,205,40,27,6,4,369
UCL215014,3,0,0,0,0,0,8,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,3,7,3,3,0,4,0,15,4,0,7,0,0,0,10,7,3,0,0,3,0,11,3,10,9,0,0,0,25,5,11,3,0,0,0,21,11,18,8,3,0,0,35,3,10,6,0,0,0,18,8,14,7,0,0,0,23,4,3,0,0,0,0,12,0,0,0,0,0,0,3,3,10,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,13,70,92,38,9,13,0,219
UCL215015,0,0,0,0,0,0,3,3,0,0,0,0,0,3,5,3,0,0,0,0,9,0,3,0,0,0,0,4,0,3,0,0,0,0,4,3,7,6,3,0,0,17,3,4,8,3,0,0,14,5,11,4,3,0,0,24,8,10,0,0,0,0,25,3,7,3,3,0,0,12,0,3,3,0,0,0,7,3,6,0,0,0,0,15,3,0,0,0,0,0,0,0,3,0,0,0,0,4,6,0,3,0,0,0,7,3,3,0,0,0,0,6,0,3,0,0,0,0,7,3,3,0,0,0,0,3,3,5,0,0,0,0,8,54,72,28,17,8,0,181
UCL215016,3,0,3,0,0,0,9,0,0,0,0,0,0,7,4,3,0,3,0,0,11,3,6,3,0,3,0,16,8,13,6,3,7,0,29,6,10,4,4,5,0,35,20,22,7,12,3,0,63,19,45,11,10,6,0,96,21,36,3,3,8,0,74,11,24,9,4,4,0,52,3,11,3,0,3,0,18,8,22,5,0,0,0,41,7,4,6,0,0,0,14,0,3,0,0,0,0,8,8,3,5,0,0,0,17,4,4,4,0,0,0,12,0,3,0,0,0,0,3,0,0,0,0,0,0,3,13,11,8,4,3,0,45,137,215,76,50,38,6,533
UCL215017,0,3,6,0,0,0,9,0,0,0,0,0,0,4,3,0,0,0,0,0,7,4,0,3,0,0,0,6,0,0,0,0,0,0,5,5,4,4,0,0,0,14,5,13,5,3,0,0,23,9,14,5,0,3,0,32,8,16,7,0,0,0,32,10,15,9,0,3,0,38,6,12,6,7,0,0,27,5,15,3,0,0,0,22,4,14,0,0,0,0,22,3,0,3,0,0,0,8,4,6,0,0,4,0,10,3,9,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,3,7,3,0,0,0,0,13,77,137,47,14,14,0,283
UCL215018,3,0,0,0,0,0,10,3,4,0,0,0,0,8,7,3,0,0,3,0,13,3,3,3,0,3,0,11,7,8,3,6,7,0,29,16,15,8,3,0,0,46,15,15,3,3,3,0,33,6,21,4,0,3,0,42,3,6,0,0,0,0,11,10,6,3,0,3,0,22,3,6,3,0,0,0,12,0,5,3,0,0,0,5,0,3,0,0,0,0,6,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,0,10,84,105,34,20,27,0,270
UCL215019,0,4,0,0,0,0,3,3,0,0,0,0,0,8,0,5,0,3,0,0,9,4,0,0,0,0,0,6,3,0,4,0,3,0,14,5,0,0,0,0,0,6,3,10,0,3,0,0,25,6,12,4,3,0,0,19,4,15,3,4,0,0,24,5,14,4,0,0,0,25,0,10,0,0,3,0,8,9,5,3,0,0,0,18,0,5,0,0,0,0,10,6,0,0,0,0,0,6,4,0,0,0,0,0,6,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,12,57,102,16,18,14,0,204
UCL215020,0,0,0,0,0,0,0,3,0,0,0,0,0,3,8,3,3,0,0,0,17,9,3,0,3,7,0,20,10,4,0,0,0,0,18,8,6,0,0,0,0,18,3,5,0,3,0,0,11,3,0,0,0,0,0,6,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,44,40,12,6,9,0,111
UCL215021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,9,0,4,0,0,3,0,6,10,3,0,0,0,0,18,8,8,0,0,0,0,19,3,9,4,3,3,0,27,11,15,5,0,0,0,30,5,9,0,3,0,0,12,8,13,4,0,0,0,26,3,3,0,0,0,0,5,3,3,0,0,0,0,5,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,51,76,22,8,12,0,163
UCL215022,5,0,0,0,0,0,14,0,0,0,0,4,0,7,6,3,0,0,3,0,24,8,5,4,3,0,0,27,11,14,11,6,5,0,57,25,24,10,9,3,0,79,18,17,5,4,0,0,46,13,12,3,3,3,0,37,3,11,3,3,0,0,23,6,16,3,0,0,0,28,3,0,0,0,0,0,6,5,10,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3,0,3,0,22,127,138,60,34,30,3,398
UCL215023,3,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,3,3,0,0,0,9,0,11,4,0,0,0,15,7,7,3,0,0,0,20,0,7,4,0,0,0,8,5,5,7,0,0,0,23,0,3,0,0,0,0,6,4,13,3,0,0,0,18,0,0,0,0,0,0,3,0,3,0,0,0,0,7,0,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,27,55,34,5,7,0,127
UCL215024,4,0,0,0,0,0,5,0,0,0,0,0,0,0,3,5,0,0,0,0,13,3,4,0,3,0,0,10,13,11,3,5,3,0,33,9,10,0,4,0,0,28,3,15,0,0,0,0,26,4,11,5,0,0,0,17,0,7,0,0,0,0,10,0,3,0,0,0,0,10,3,0,0,0,0,0,3,0,5,0,0,0,0,5,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,57,74,11,6,5,0,155
UCL215025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,3,0,0,0,0,0,4,6,6,0,0,0,0,9,3,10,0,4,0,0,13,5,3,3,3,0,0,13,3,4,0,0,0,0,5,0,3,0,0,0,0,4,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,27,34,8,3,0,0,75
UCL215026,10,0,0,0,0,0,17,5,0,0,0,0,0,4,3,3,0,0,0,0,8,7,3,0,0,0,0,6,14,0,3,3,3,0,18,11,14,0,4,0,0,25,18,11,3,0,0,0,31,11,15,4,3,5,0,36,11,19,6,3,0,0,41,13,16,7,3,0,0,37,9,12,0,0,0,0,25,14,14,4,0,0,0,40,3,3,0,0,3,0,13,3,0,0,0,0,0,9,6,10,5,0,0,0,19,8,9,0,0,0,0,15,5,4,0,0,0,0,11,0,0,0,0,0,0,3,4,4,4,3,0,0,17,155,136,45,20,21,0,381
UCL215027,7,0,0,0,0,0,6,0,0,0,0,0,0,5,3,0,0,3,3,0,13,5,3,0,0,0,0,13,8,4,7,3,5,0,27,17,13,0,3,8,0,36,9,19,5,4,0,0,34,16,16,4,3,3,0,47,8,15,3,0,0,0,28,3,15,4,3,0,0,32,3,4,7,0,0,0,12,3,11,0,3,0,0,17,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,11,91,110,36,19,25,0,284
