UCL_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL215018,4,8,38,36,36,31,13,5,0,165,0,3,17,25,27,26,9,3,0,106,0,0,12,17,30,15,4,3,0,88,0,0,0,5,21,5,4,0,0,45,0,0,0,15,14,11,3,0,0,43,0,0,0,4,7,5,5,0,0,21,15,8,24,28,31,33,47,62,24,280,131,131,259,305,373,415,455,305,123,2496
UCL215019,0,3,12,25,28,19,9,0,0,103,0,0,12,29,25,14,3,0,0,78,0,0,11,21,23,14,3,0,0,74,0,0,8,6,5,11,0,0,0,34,0,0,8,13,11,5,0,0,0,39,0,0,0,3,5,3,0,0,0,20,17,7,6,12,16,16,13,9,0,95,82,69,175,238,254,234,186,73,9,1318
UCL215020,0,3,15,15,17,23,0,3,0,75,0,0,8,7,3,4,0,0,0,32,0,0,3,0,3,3,0,0,0,20,0,0,0,5,3,6,4,0,0,13,0,0,0,3,7,6,3,0,0,19,0,0,0,0,3,4,0,0,0,3,9,7,3,8,19,18,27,46,15,148,61,57,91,104,160,211,221,177,88,1165
UCL215021,0,8,9,19,30,18,11,3,0,100,0,0,13,13,18,9,4,0,0,57,0,0,4,9,10,8,0,0,0,30,0,0,0,5,7,7,0,0,0,19,0,0,0,4,10,3,0,0,0,12,0,0,0,0,3,0,0,0,0,9,10,3,12,12,21,26,13,14,5,109,73,51,95,144,206,201,150,69,25,1015
UCL215022,0,20,64,40,38,42,22,3,3,232,0,5,56,30,19,28,7,3,0,151,0,0,16,22,21,20,8,0,0,85,0,0,17,16,18,25,3,0,0,75,0,5,23,16,31,34,3,0,0,120,0,0,3,3,11,13,3,3,0,43,40,80,69,61,58,54,57,22,0,442,313,439,661,493,483,616,508,194,46,3748
UCL215023,3,10,20,13,17,16,18,3,0,94,0,3,12,14,15,14,3,0,0,56,0,0,3,15,18,16,0,0,0,54,0,0,3,3,10,6,0,0,0,27,0,0,0,3,4,4,0,0,5,19,0,0,3,0,0,0,7,0,3,9,9,6,18,3,29,12,17,14,6,122,110,79,145,139,246,188,195,152,74,1318
UCL215024,0,3,20,22,20,17,7,3,0,91,0,0,12,10,19,12,4,0,0,54,0,0,7,13,6,10,3,0,0,40,0,0,3,4,6,0,3,0,0,18,0,3,0,5,4,0,0,0,0,18,0,0,0,4,3,9,3,0,0,18,12,10,14,7,16,25,30,33,14,162,73,70,138,173,192,257,349,235,118,1605
UCL215025,0,6,8,4,10,17,7,6,0,56,0,0,8,3,13,4,0,0,0,31,0,0,6,0,3,5,0,0,0,19,0,0,5,6,4,4,0,0,0,18,0,0,0,9,3,7,0,0,0,14,0,0,5,0,4,0,0,0,0,8,0,13,12,14,12,24,15,29,13,126,44,61,122,103,142,161,150,145,73,1010
UCL215026,0,10,52,45,57,44,33,19,10,266,0,0,26,22,26,28,16,8,0,127,0,0,12,25,21,30,11,7,0,100,0,0,11,26,30,11,4,3,0,90,0,0,10,20,19,18,5,0,0,76,0,0,3,10,10,9,10,3,0,43,29,4,27,50,44,64,91,73,64,453,207,141,396,467,568,752,928,506,292,4251
UCL215027,0,0,27,35,38,32,10,3,3,150,0,4,18,14,18,19,6,0,0,84,0,0,15,15,14,19,5,3,0,67,0,0,3,8,15,8,0,0,4,47,0,0,7,5,9,5,3,0,0,38,0,0,3,3,0,4,3,0,0,17,16,15,33,24,33,35,40,44,32,273,119,125,280,262,327,382,394,248,148,2285
UCL215028,0,12,32,36,51,52,20,9,4,208,0,3,14,31,35,29,10,3,0,129,0,0,4,19,26,30,10,3,0,100,0,0,5,15,25,10,3,3,0,64,0,0,7,11,19,28,8,0,4,81,0,0,4,11,13,6,9,0,0,45,25,8,12,23,40,59,35,36,35,280,137,108,272,361,548,626,484,263,154,2948
UCL215029,0,23,65,51,48,28,0,0,0,222,0,4,51,23,31,23,0,0,0,130,0,3,26,13,10,21,4,0,0,79,0,0,14,4,13,8,0,0,0,43,0,0,16,7,14,9,0,0,0,46,0,4,8,0,5,0,0,0,0,22,10,24,29,16,33,28,18,4,0,163,96,186,412,254,297,302,145,56,9,1747
UCL215030,0,4,10,8,21,17,6,0,0,70,0,0,12,5,11,11,0,3,0,46,0,0,3,7,11,9,0,0,0,34,0,0,4,3,3,12,0,0,0,18,0,0,4,8,0,6,0,0,0,27,0,0,0,3,3,0,0,0,0,12,11,0,9,18,25,31,27,19,31,162,81,57,98,140,189,242,196,134,84,1222
UCL215031,0,10,15,9,22,24,9,3,4,89,0,0,8,11,11,9,0,3,0,36,0,0,3,8,10,8,0,0,3,29,0,0,0,0,3,0,4,0,0,11,0,0,0,4,0,8,0,0,0,10,0,0,0,0,0,0,3,0,0,3,8,4,9,8,21,31,35,38,32,193,78,54,94,132,153,208,203,158,103,1186
UCL215032,0,5,36,31,32,27,11,4,9,155,0,4,17,25,17,31,7,6,0,104,0,0,10,17,12,8,3,3,0,47,0,0,3,15,9,10,0,0,0,39,0,0,3,13,4,8,0,3,3,33,0,0,3,0,0,0,0,0,0,8,16,15,13,19,33,34,50,57,62,304,126,109,240,275,326,442,443,327,173,2465
UCL215033,0,6,84,70,39,17,3,0,0,223,0,3,53,81,28,15,4,0,0,193,0,0,62,61,45,18,0,0,0,189,0,0,34,57,16,8,3,0,0,119,0,3,37,73,27,11,3,0,0,153,0,0,3,26,19,5,0,0,0,59,16,0,14,25,10,4,5,0,0,71,98,77,468,594,284,170,95,4,4,1793
UCL215034,0,3,3,4,9,20,6,0,4,49,0,0,7,4,5,6,3,3,0,32,0,0,3,0,8,3,0,0,4,18,0,0,0,4,3,5,0,0,0,9,0,0,3,8,3,5,0,0,0,14,0,0,0,3,3,0,0,0,0,6,7,3,9,0,12,14,32,20,46,150,48,46,61,87,115,187,218,159,114,1040
UCL215035,0,6,22,20,25,14,5,3,0,95,0,0,15,19,15,13,6,0,0,67,0,3,4,14,15,7,0,0,0,41,0,0,7,7,10,3,0,0,0,23,0,0,3,3,11,3,3,0,0,27,0,0,0,0,7,0,0,0,0,7,11,0,16,12,17,23,20,3,3,96,85,56,145,169,163,150,139,53,19,974
UCL215036,0,4,17,22,20,11,0,0,0,74,0,0,18,23,5,8,0,0,0,55,0,0,6,26,16,7,0,0,0,56,0,0,5,4,12,0,0,0,0,24,0,0,3,8,11,11,0,0,0,36,0,0,4,3,4,4,0,0,0,18,11,7,7,9,14,12,0,7,0,63,95,48,112,179,191,132,84,41,10,891
UCL215037,0,10,10,12,16,17,10,3,0,76,0,3,9,8,16,4,0,3,0,46,0,0,6,10,7,9,0,0,0,30,0,0,0,0,4,6,3,0,0,18,0,0,3,0,9,3,0,0,0,14,0,0,3,0,0,0,3,0,0,12,8,3,11,16,24,43,33,43,5,193,56,65,125,140,200,319,310,221,83,1517
UCL215038,0,14,6,15,27,11,0,3,0,83,0,8,23,14,11,4,4,0,0,65,0,0,3,14,8,4,0,0,0,31,0,0,9,0,7,5,0,0,0,17,0,0,3,6,3,3,0,0,0,16,0,0,3,3,3,0,0,0,0,15,9,5,11,14,11,19,13,17,8,109,74,106,149,159,173,185,190,128,73,1232
UCL215039,0,3,17,10,22,13,5,3,0,72,0,0,3,12,11,3,8,0,0,41,0,0,3,8,11,15,3,0,0,34,0,0,6,4,8,7,0,3,0,28,0,0,0,3,13,6,0,0,0,24,0,0,4,0,3,0,0,0,0,9,3,7,11,8,12,28,35,22,26,152,51,57,115,124,177,213,179,95,50,1063
UCL215040,0,15,55,31,42,43,17,6,7,224,0,5,9,29,25,15,5,3,0,87,0,0,11,11,22,19,8,0,0,75,0,3,4,7,17,5,0,5,0,40,0,0,9,13,15,12,0,0,0,45,0,0,4,3,10,7,7,0,0,24,27,19,33,39,39,49,58,72,26,359,199,168,336,341,442,493,487,412,189,3049
UCL215041,0,12,41,38,46,22,5,7,4,177,0,3,32,20,21,15,4,0,0,95,0,0,18,17,16,4,0,0,0,59,0,0,11,7,13,3,0,0,0,31,0,0,13,13,5,8,0,3,0,45,0,0,6,3,3,3,3,0,0,15,20,5,22,34,28,19,16,19,16,175,147,120,325,309,301,225,181,114,53,1768
UCL215042,0,7,25,29,23,16,9,3,0,119,0,3,13,17,16,19,4,0,0,60,0,0,9,12,10,12,4,0,0,46,0,0,8,10,8,6,0,0,0,35,0,3,4,3,6,4,0,0,0,22,0,0,0,3,3,0,3,0,0,13,15,9,14,19,17,21,11,15,3,120,94,84,195,211,199,207,155,74,27,1247
UCL215043,0,10,47,37,32,38,23,12,4,197,0,3,33,23,29,20,9,0,0,111,0,0,23,27,24,23,0,3,3,99,0,0,4,14,16,6,3,0,0,53,0,0,11,16,14,15,4,0,0,53,0,0,3,6,11,10,0,0,0,27,31,9,40,30,32,45,41,32,26,290,218,167,399,366,441,481,466,272,176,2991
UCL215044,0,17,59,75,71,41,26,10,10,302,0,11,34,55,57,44,10,6,0,223,0,6,26,57,47,33,5,3,0,178,0,4,20,36,25,10,0,0,3,99,0,0,9,30,47,21,6,4,0,116,0,0,3,11,22,9,4,3,0,60,40,25,38,71,46,59,72,78,77,500,237,229,494,631,639,601,586,401,239,4052
UCL215045,0,4,28,20,22,22,3,5,0,106,0,3,15,17,18,18,0,0,0,73,0,0,17,10,15,13,0,0,0,66,0,0,6,9,8,6,3,0,0,38,0,0,0,8,9,4,0,0,0,29,0,0,0,9,0,0,3,0,0,15,12,0,7,13,12,19,18,6,4,98,73,54,185,169,197,242,150,50,15,1147
UCL215046,0,0,26,28,19,11,4,0,0,90,0,3,15,8,4,11,0,0,0,39,0,0,10,9,3,4,0,0,0,26,0,0,3,5,5,6,3,0,0,23,0,0,3,5,7,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,7,0,9,3,4,16,13,9,0,53,78,63,144,140,140,153,119,60,21,918
UCL215047,0,13,37,18,13,8,0,0,0,91,0,3,18,15,11,7,0,0,0,57,0,0,5,3,4,3,0,0,0,24,0,0,3,8,4,3,0,0,0,17,0,0,4,4,3,0,0,0,0,15,0,0,3,3,3,3,0,0,0,13,10,3,24,16,15,19,17,12,3,120,83,95,274,166,178,172,121,50,13,1151
UCL215048,0,0,10,12,11,17,20,3,0,77,0,0,7,10,6,12,5,0,0,38,0,0,3,3,5,6,0,0,0,29,0,0,0,0,3,7,6,4,0,25,0,0,4,5,9,15,8,0,0,36,0,0,0,3,7,11,5,0,0,31,4,3,20,8,13,27,17,18,9,121,28,33,122,101,103,195,164,91,46,895
UCL215049,0,3,22,37,23,27,27,9,0,142,0,3,15,28,39,25,9,3,0,119,0,0,20,28,40,36,18,0,0,138,0,0,6,42,18,23,7,4,0,106,0,0,6,49,57,42,10,5,3,173,0,0,3,37,68,33,11,3,0,148,19,3,10,31,23,35,29,13,3,165,163,85,177,397,428,434,363,125,30,2198
UCL215050,0,15,67,49,57,45,24,9,3,270,0,11,28,47,26,25,14,4,3,156,0,0,21,15,24,23,11,0,0,99,0,0,16,27,20,14,0,0,0,85,0,0,21,24,17,19,0,0,0,78,0,0,9,6,15,10,4,0,0,41,31,26,34,39,45,41,55,48,27,360,255,228,509,462,494,548,537,331,145,3509
UCL215051,0,3,7,14,17,18,9,0,4,72,0,0,4,11,10,14,0,0,0,44,0,0,0,6,8,10,3,0,0,36,0,0,6,0,11,3,3,0,0,19,0,0,0,3,3,7,0,0,0,21,0,0,0,6,9,0,5,0,0,16,3,0,3,3,12,19,11,6,3,54,42,33,56,102,184,297,235,113,64,1126
UCL215052,3,10,35,63,52,52,15,5,7,245,0,0,29,37,27,28,4,0,5,135,0,0,18,26,29,24,5,0,0,103,0,0,4,17,20,17,3,0,0,61,0,0,13,14,12,13,0,6,0,59,0,0,5,3,7,3,3,3,3,18,18,16,43,42,35,38,38,20,13,270,169,159,359,408,429,453,403,247,144,2767
UCL215053,0,13,21,10,29,15,6,3,3,103,0,3,10,9,14,8,3,0,0,46,0,0,4,4,8,6,4,0,0,28,0,0,0,0,0,8,0,0,0,21,0,0,0,4,3,0,0,0,0,7,0,0,0,0,0,0,3,0,0,5,13,9,31,15,25,40,37,27,11,205,110,117,229,161,251,292,230,178,98,1668
UCL215054,0,6,21,19,30,17,0,0,0,95,0,0,7,13,12,6,0,0,0,46,0,0,5,3,9,9,0,0,0,24,0,0,3,0,4,3,0,0,0,9,0,0,4,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,5,5,26,15,19,18,17,6,3,116,80,103,196,181,228,244,140,53,21,1247
UCL215055,0,5,20,20,23,17,0,3,0,88,0,3,15,11,9,11,4,0,0,58,0,0,7,14,21,9,0,0,0,49,0,0,7,6,15,8,0,0,0,43,0,0,8,11,17,7,0,0,0,46,0,0,3,3,3,3,0,0,0,11,11,8,20,16,20,25,30,11,5,153,102,80,177,181,224,226,205,116,54,1364
UCL215056,0,4,8,13,8,15,3,0,0,48,0,4,4,10,3,4,0,0,0,28,0,3,4,4,8,3,3,0,0,24,0,0,0,0,10,0,0,0,0,11,0,0,0,0,3,7,0,0,0,13,0,0,0,0,0,5,4,0,0,10,4,5,4,7,11,14,20,25,14,92,46,56,82,106,120,161,167,122,55,913
UCL215057,0,0,13,20,23,34,14,3,3,110,0,0,7,15,8,20,15,0,0,69,0,0,7,14,16,12,4,0,0,46,0,0,0,12,10,9,0,0,0,29,0,0,4,6,12,13,4,0,0,41,0,0,0,4,5,8,0,0,0,23,3,3,6,16,17,19,25,14,5,116,73,33,118,212,221,287,289,132,44,1407
UCL215058,0,8,45,30,32,37,5,3,0,163,0,0,21,15,20,16,10,0,0,84,0,0,12,17,18,21,0,0,0,67,0,0,5,3,13,6,4,0,0,34,0,0,7,3,7,9,0,0,0,33,0,0,4,0,0,0,3,0,4,13,21,3,19,21,32,50,37,34,34,249,160,108,253,269,371,415,331,285,151,2345
UCL215059,0,7,30,19,20,25,8,0,5,120,0,3,9,12,15,11,3,3,0,56,0,3,12,11,14,17,3,0,0,55,0,0,4,7,3,5,0,0,0,22,0,0,9,11,10,6,0,0,0,27,0,0,0,4,3,4,3,0,0,16,13,0,17,7,20,34,30,18,6,139,75,74,167,170,210,287,263,147,81,1473
UCL215060,0,9,30,18,11,11,7,0,3,93,0,3,12,13,9,8,5,0,0,51,0,0,6,7,8,9,4,0,0,27,0,0,6,3,3,5,0,0,0,21,0,0,7,3,5,3,0,0,0,17,0,0,0,3,0,7,8,0,0,17,8,4,9,10,15,30,19,25,22,138,87,64,153,134,156,199,185,164,82,1222
UCL215061,3,5,23,19,19,21,9,6,3,97,0,3,12,10,8,12,0,3,3,49,0,6,3,9,11,7,0,0,0,34,0,0,0,0,9,11,4,0,0,28,0,0,0,3,5,4,0,0,0,22,0,0,0,0,3,0,4,5,3,19,7,4,8,8,15,16,23,22,20,121,93,93,193,148,206,247,201,193,125,1495
UCL215062,0,21,43,39,51,36,13,0,3,210,0,7,31,27,26,36,5,3,0,129,0,0,9,18,25,25,8,0,0,89,0,0,3,12,12,10,3,0,0,41,0,0,8,16,8,12,3,0,0,49,0,0,3,0,3,3,12,0,0,18,16,15,24,21,41,48,74,42,26,301,210,198,349,352,430,474,546,361,173,3088
UCL215063,0,0,14,9,26,16,11,6,5,87,0,0,6,8,7,5,0,0,3,35,0,0,3,8,8,9,0,0,0,29,0,0,0,0,3,0,0,0,0,13,0,0,0,3,0,6,0,0,0,13,0,0,0,3,3,0,0,0,0,14,14,8,18,11,23,28,49,28,24,205,104,76,153,158,251,283,350,198,93,1665
UCL215064,0,7,6,16,22,17,3,0,0,71,0,0,12,3,4,9,6,0,0,32,0,3,4,12,3,5,0,0,0,25,0,0,0,3,6,4,0,0,0,12,0,0,0,4,6,3,0,0,0,13,0,0,0,0,4,0,0,0,0,7,6,3,4,8,15,24,20,14,13,112,41,50,82,93,130,176,154,92,71,894
UCL215065,0,6,19,29,38,37,47,5,6,189,0,0,10,18,20,29,16,6,0,99,0,0,6,10,19,21,13,3,0,74,0,0,4,4,17,9,6,0,0,42,0,0,0,14,14,16,10,0,0,56,0,3,3,4,8,7,9,11,3,43,23,8,8,16,34,48,82,76,29,327,131,89,195,252,370,566,796,451,180,3029
UCL215066,0,4,24,22,39,73,72,29,8,261,0,3,19,26,40,49,28,14,5,180,0,3,9,28,28,40,35,8,8,165,0,0,3,22,40,23,14,5,5,119,0,0,5,27,33,39,23,17,3,148,0,0,0,18,28,30,19,12,3,112,15,5,17,17,30,49,83,59,28,307,173,92,181,283,437,621,821,494,180,3270
UCL215067,0,7,34,28,45,40,27,11,0,195,0,0,29,30,24,30,14,3,0,127,0,0,9,29,24,35,8,3,0,109,0,0,6,15,12,17,5,3,0,63,0,0,11,30,17,13,10,3,0,94,0,0,0,9,15,15,6,4,0,46,11,5,33,31,22,56,58,43,42,303,103,71,270,350,317,490,472,276,147,2512
UCL215068,0,10,37,23,39,36,7,3,8,163,0,0,18,20,15,14,0,4,0,71,0,0,5,10,15,7,0,0,0,40,0,0,4,7,5,4,0,0,0,21,0,0,5,3,7,7,0,3,0,26,0,0,3,0,7,3,0,0,0,14,30,14,39,39,47,56,63,56,35,367,185,144,341,300,345,377,318,218,131,2357
UCL215069,0,15,35,39,55,46,19,0,0,212,0,6,41,33,34,32,11,0,0,159,0,3,23,37,48,34,12,0,0,164,0,3,10,35,50,23,3,0,0,130,0,0,12,54,69,34,7,0,0,178,0,0,7,13,28,9,3,0,0,65,17,7,9,32,30,27,22,14,4,162,222,175,283,403,554,438,283,102,40,2504
UCL215070,0,3,25,18,16,20,5,3,4,93,0,4,14,10,10,6,3,0,0,37,0,0,6,6,3,14,0,0,0,25,0,0,0,9,3,8,4,0,0,19,0,0,0,5,0,3,0,0,0,10,0,0,3,0,3,4,0,0,0,7,28,27,55,40,52,64,33,37,24,365,113,130,373,229,238,289,190,99,58,1717
UCL215071,0,14,28,24,45,42,18,3,3,172,0,8,18,15,18,19,3,0,0,83,0,3,6,9,22,18,6,4,0,74,0,0,9,19,19,21,0,0,0,62,0,0,3,17,16,14,0,0,3,51,0,0,0,0,3,3,0,0,0,12,12,7,14,9,24,41,33,41,39,219,148,125,213,236,341,398,385,301,134,2296
UCL215072,0,13,50,46,73,62,9,3,0,264,0,3,44,42,45,29,10,0,0,182,0,3,28,29,49,25,10,0,0,147,0,0,18,37,35,17,3,0,0,113,0,0,16,44,43,31,5,0,0,142,0,0,0,9,15,4,3,0,0,38,32,12,19,47,45,32,39,11,7,243,277,194,380,526,603,521,358,134,42,3041
UCL215073,0,6,15,12,11,14,4,0,0,73,0,0,20,3,4,5,4,0,0,45,0,0,9,9,5,10,0,0,0,33,0,0,8,9,5,5,0,0,0,34,0,0,10,5,5,5,0,0,0,30,0,0,0,3,3,0,0,0,0,9,16,3,13,20,15,23,12,9,3,111,62,58,176,136,148,204,133,60,21,1005
UCL215074,0,3,42,30,36,42,8,9,4,183,0,0,15,26,17,18,11,0,0,86,0,0,8,19,20,21,3,0,3,80,0,0,3,18,4,9,0,0,0,39,0,0,3,9,8,16,0,0,0,40,0,0,0,0,3,3,3,3,0,16,12,3,12,16,18,30,30,26,25,170,100,71,190,256,287,341,287,137,74,1745
UCL215075,0,4,15,18,12,19,5,9,4,85,0,0,10,5,8,13,8,0,0,47,0,0,11,12,3,9,0,0,0,32,0,0,5,7,6,6,0,0,0,24,0,0,3,10,5,3,3,0,0,22,0,0,0,5,3,0,3,0,0,17,3,3,5,8,14,20,21,19,11,101,44,52,106,127,127,199,214,111,59,1041
UCL215076,0,3,37,34,37,32,6,0,0,148,0,5,23,29,18,13,0,0,0,87,0,0,13,21,20,9,0,0,0,65,0,0,9,12,14,8,0,0,0,44,0,0,10,17,8,9,0,0,0,33,0,0,0,3,3,3,0,0,0,17,10,4,11,16,10,5,0,3,0,71,138,116,219,264,255,214,110,44,8,1376
UCL215077,0,4,15,12,23,21,7,4,4,108,0,3,14,11,20,20,0,0,0,68,0,0,11,12,10,8,4,0,0,48,0,3,7,9,4,6,3,0,0,24,0,0,3,3,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,6,11,7,13,4,9,23,31,30,24,150,104,82,186,190,254,296,321,204,105,1742
UCL215078,0,11,28,26,21,25,3,5,0,127,0,0,25,19,13,20,0,0,0,83,0,0,13,12,5,13,0,0,0,46,0,0,9,11,5,4,0,0,0,37,0,0,3,10,9,3,0,0,0,33,0,0,0,4,3,3,0,0,0,15,6,10,16,22,15,18,33,30,3,149,113,75,237,217,192,270,218,124,28,1466
UCL215079,0,16,80,49,61,46,21,3,3,284,0,8,42,33,42,33,7,7,3,174,0,3,31,36,27,26,4,0,0,134,0,0,17,22,20,11,3,0,0,75,0,0,12,27,36,14,0,0,3,97,0,3,0,4,12,7,3,3,0,33,43,17,31,44,49,65,64,55,34,395,225,199,450,451,512,523,452,308,147,3277
UCL215080,0,0,19,33,31,22,11,5,0,121,0,3,19,13,24,8,3,7,0,69,0,0,0,12,18,11,0,0,0,42,0,0,0,10,5,8,0,0,0,27,0,0,0,3,9,14,0,0,0,22,0,0,0,0,3,4,4,0,0,11,20,11,23,21,31,38,50,32,30,256,118,93,175,204,262,287,245,198,81,1672
UCL215081,0,6,17,17,20,15,3,0,0,73,0,0,7,3,9,6,3,4,0,29,0,0,10,6,8,0,0,0,0,27,0,0,3,4,4,6,0,0,0,16,0,0,4,3,7,3,0,0,0,18,0,0,0,0,0,0,3,5,0,8,14,4,12,5,9,7,15,17,6,82,80,70,143,132,154,153,143,109,72,1052
UCL215082,0,6,16,28,18,16,4,0,0,89,0,0,10,14,3,11,0,0,0,50,0,0,8,14,15,3,0,0,0,45,0,0,3,3,8,7,0,0,0,18,0,0,7,13,13,0,0,0,0,33,0,0,0,0,0,4,0,0,0,3,6,4,10,18,20,10,15,3,4,87,60,41,125,185,134,112,91,39,21,811
UCL215083,0,10,54,56,50,42,11,6,3,230,0,6,47,26,26,27,4,0,0,135,0,3,25,30,20,25,3,0,0,106,0,3,10,24,23,15,3,0,0,81,0,0,27,35,25,23,0,0,0,110,0,0,9,8,10,10,0,0,0,43,23,15,30,40,35,45,59,37,20,304,194,182,415,431,390,417,375,240,113,2757
UCL215084,0,8,21,30,27,28,5,0,0,119,0,3,25,20,32,20,3,0,0,103,0,0,8,12,14,8,0,0,0,41,0,0,8,10,18,9,3,0,0,48,0,0,6,13,16,14,0,0,0,51,0,0,0,3,3,10,0,0,0,22,15,5,17,18,17,16,18,4,0,112,120,90,191,237,245,225,156,31,9,1298
UCL215085,0,5,23,25,28,30,11,4,0,118,0,3,11,11,26,6,4,0,0,70,0,0,3,11,10,15,0,0,0,40,0,0,0,3,18,4,4,0,0,32,0,0,0,3,12,6,4,0,0,26,0,0,0,3,0,0,0,0,0,10,22,14,10,24,30,47,26,11,4,190,112,83,132,221,316,333,264,111,43,1626
UCL215086,0,9,30,20,30,30,8,4,7,138,0,0,16,12,15,28,7,7,0,80,0,0,12,7,8,12,3,0,0,47,0,3,3,0,6,9,0,0,0,22,0,0,3,4,3,6,0,0,0,20,0,0,3,3,3,3,4,0,0,17,14,9,27,24,25,36,41,30,28,230,125,107,224,202,292,337,312,212,138,1943
UCL215087,0,8,59,55,70,32,13,4,4,250,0,6,33,47,46,30,11,0,0,173,0,0,18,46,36,14,3,0,4,126,0,0,17,23,32,16,3,0,0,88,0,0,11,26,29,14,3,3,0,86,0,0,5,12,16,0,4,0,0,33,46,27,19,42,52,37,48,29,19,307,294,223,372,515,548,396,402,261,142,3154
UCL215088,0,3,18,24,27,22,3,0,0,106,0,3,7,18,14,14,4,0,0,53,0,0,15,7,10,6,0,3,0,32,0,0,7,3,0,5,0,0,0,17,0,0,10,4,6,3,0,0,0,25,0,0,0,0,0,4,0,0,0,11,4,3,22,16,17,30,28,28,22,165,73,81,166,170,203,257,183,125,83,1337
UCL215089,3,17,18,19,15,22,17,3,0,112,0,0,8,16,23,20,4,0,0,71,0,0,9,22,25,27,3,0,0,88,0,0,5,14,16,20,6,0,0,56,0,0,4,20,37,26,7,0,0,92,0,0,3,21,43,30,3,0,0,116,13,8,0,14,19,15,7,4,0,86,165,148,98,164,294,275,134,36,7,1324
UCL215090,0,10,43,59,54,48,25,12,0,244,0,0,31,51,49,32,18,9,0,184,0,0,23,40,48,35,5,0,0,152,0,0,12,18,31,21,8,0,0,91,0,0,13,71,87,28,11,0,0,219,0,0,0,32,29,26,9,3,0,96,24,19,23,34,41,40,53,36,48,321,226,162,301,537,581,492,419,209,93,3005
UCL215091,0,26,78,78,72,45,17,0,4,327,0,11,57,52,36,40,3,3,0,193,0,0,38,24,24,26,6,0,0,119,0,0,9,22,22,7,0,0,0,68,0,0,11,15,18,3,3,0,0,54,0,0,0,0,3,3,0,0,0,7,30,20,31,33,35,33,30,18,3,235,261,274,597,559,544,474,328,114,40,3183
UCL215092,0,11,6,11,6,6,6,3,0,45,0,0,6,7,9,0,0,0,0,25,0,0,6,0,7,4,0,0,0,24,0,0,4,0,3,8,0,0,0,15,0,3,3,0,10,9,0,0,0,29,0,0,0,3,7,3,0,0,0,11,10,9,17,15,9,12,19,10,7,107,77,88,135,114,164,164,101,58,25,928
UCL215093,0,16,63,35,34,28,5,0,0,191,0,5,28,39,22,16,3,0,0,108,0,0,26,25,17,9,3,0,0,87,0,0,12,22,15,7,0,0,0,56,0,0,15,26,18,5,7,0,0,67,0,0,0,9,3,5,0,0,0,21,15,5,32,31,23,19,9,11,0,148,144,126,310,324,293,234,225,102,17,1767
