UCL_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
UCL222041,..,30,30,26,0,31,12,0,12,14,0,14,3,0,3,0,0,0,59,32,86
UCL222042,..,8,8,25,0,24,16,0,15,11,0,11,8,0,8,0,0,0,60,12,68
UCL222043,..,8,8,37,0,39,19,0,19,22,0,22,14,0,14,0,0,0,100,10,111
UCL222044,..,42,42,54,6,62,16,0,16,17,0,17,8,0,8,0,0,0,99,48,144
UCL222045,..,34,34,38,0,36,8,0,8,13,0,13,9,0,9,3,0,3,71,40,111
UCL222046,..,40,40,45,5,42,10,0,10,10,0,10,4,0,4,3,0,3,68,37,107
UCL222047,..,56,56,65,5,69,22,0,22,21,0,21,17,0,17,0,0,0,126,55,185
UCL222048,..,54,54,73,4,71,19,0,19,13,0,13,11,0,11,3,0,3,113,53,169
UCL222049,..,55,55,44,8,51,13,3,17,6,0,6,0,0,0,0,0,0,70,69,131
UCL222050,..,21,21,23,5,28,18,0,18,17,0,17,5,0,5,3,0,3,72,19,89
UCL222051,..,45,45,69,0,70,16,0,15,13,0,19,4,0,4,5,0,5,114,42,157
UCL222052,..,39,39,35,0,36,11,0,11,7,0,7,7,0,7,0,0,0,51,40,96
UCL222053,..,35,35,30,7,35,14,0,14,6,0,6,3,0,3,0,0,0,57,40,100
UCL222054,..,32,32,33,0,33,11,0,11,17,0,17,3,0,3,0,0,0,63,32,97
UCL222055,..,49,49,76,4,76,23,0,23,13,0,13,7,0,7,3,0,3,120,53,171
UCL222056,..,52,52,66,0,68,10,0,10,18,0,18,0,0,0,0,0,0,95,58,153
UCL222057,..,47,47,67,4,79,22,0,29,28,0,28,5,0,5,3,0,3,131,51,185
UCL222058,..,38,38,37,3,42,21,0,21,14,0,14,14,0,14,5,0,5,95,38,132
UCL222059,..,49,49,52,7,61,29,0,30,18,0,18,10,0,10,9,0,9,115,54,164
UCL222060,..,17,17,36,0,43,10,0,10,16,0,16,4,0,4,4,0,4,75,18,93
UCL222061,..,78,78,65,0,63,13,0,13,12,0,12,8,0,8,0,0,0,94,81,173
UCL222062,..,7,7,3,0,4,3,0,3,4,0,4,0,0,0,0,0,0,10,11,18
UCL222063,..,35,35,30,3,31,8,0,8,7,0,7,9,0,9,0,0,0,56,37,96
UCL222064,..,8,8,3,0,4,4,0,5,3,0,4,0,0,0,0,0,0,13,12,27
UCL222065,..,28,28,30,0,34,8,0,8,13,0,13,3,0,3,0,0,0,54,29,86
UCL222066,..,39,39,26,0,26,12,0,12,11,0,11,3,0,3,3,0,3,54,39,90
UCL222067,..,7,7,16,0,18,13,0,13,18,0,18,10,0,10,0,0,0,64,12,71
UCL222068,..,76,76,57,4,64,26,0,26,5,0,5,6,0,6,0,0,0,99,80,176
UCL222069,..,47,47,68,3,71,21,0,21,15,0,15,8,0,8,0,0,0,110,53,160
UCL222070,..,17,17,46,0,47,26,0,26,28,0,28,22,0,22,4,0,4,128,20,148
UCL222071,..,12,12,21,3,23,13,0,13,8,0,8,12,0,12,7,0,7,60,17,71
UCL222072,..,15,15,29,0,29,17,0,17,3,0,3,9,0,9,8,0,8,61,15,74
UCL222073,..,34,34,42,4,49,13,0,18,9,0,9,0,0,0,3,0,3,70,41,112
UCL222074,..,58,58,50,3,53,29,0,29,6,0,6,12,0,12,3,0,3,102,62,162
UCL222075,..,42,42,34,3,32,11,0,11,7,0,7,4,0,4,0,0,0,59,40,97
UCL222076,..,35,35,44,3,49,20,0,20,20,0,23,16,0,16,3,0,3,104,38,137
UCL222077,..,7,7,19,0,21,14,0,14,15,0,15,4,0,4,3,0,3,57,12,65
UCL222078,..,69,69,75,3,77,7,0,7,9,0,9,15,0,15,7,0,7,111,78,185
UCL222079,..,40,40,43,0,49,26,0,26,19,0,23,3,0,5,3,0,3,104,45,144
UCL222080,..,48,48,46,6,52,11,0,11,6,0,6,0,0,0,0,0,0,61,60,119
UCL222081,..,19,19,31,0,31,11,0,11,18,0,13,3,0,3,0,0,0,59,24,83
UCL222082,..,19,19,21,3,29,13,0,13,10,0,10,4,0,4,5,0,5,52,25,74
UCL222083,..,25,25,48,3,52,23,0,23,30,0,30,10,0,10,4,0,4,117,32,148
UCL222084,..,78,78,59,8,69,17,0,17,14,0,16,7,0,7,3,0,3,106,83,189
UCL222085,..,41,41,32,0,31,10,0,10,3,0,3,0,0,0,0,0,0,45,47,88
UCL222086,..,87,87,71,3,74,23,0,23,15,0,15,12,0,12,3,0,3,125,95,215
UCL222087,..,49,49,35,4,38,10,0,12,13,0,13,8,0,8,4,0,4,63,52,119
UCL222088,..,31,31,55,0,55,20,0,20,30,0,30,7,0,7,3,0,3,113,31,150
UCL222089,..,70,70,95,4,101,27,0,28,16,0,16,3,0,3,0,0,0,139,79,220
UCL222090,..,52,52,53,5,54,17,0,12,10,0,10,7,0,7,3,0,3,89,53,143
UCL222091,..,27,27,40,3,38,3,0,3,4,0,4,3,0,3,0,0,0,52,25,74
UCL222092,..,30,30,25,3,27,6,0,6,10,0,10,0,0,0,0,0,0,45,30,75
UCL222093,..,12,12,24,4,24,16,0,16,14,0,14,7,0,7,0,0,0,56,18,74
UCL222094,..,50,50,65,0,66,18,0,18,18,0,18,11,0,11,3,0,3,115,50,159
UCL222095,..,82,82,56,8,62,12,0,12,11,0,11,8,0,8,0,0,0,93,91,182
UCL222096,..,30,30,29,0,27,12,0,12,6,0,6,4,0,4,0,0,0,56,27,82
UCL222097,..,40,40,27,0,29,19,0,19,20,0,20,4,0,4,3,0,3,73,36,114
UCL222098,..,28,28,38,0,38,26,0,26,22,0,22,9,0,9,9,0,9,106,28,131
UCL222099,..,55,55,80,8,83,26,0,26,18,0,18,4,0,4,3,0,3,128,62,189
UCL222100,..,44,44,48,3,49,25,0,25,14,0,14,10,0,10,5,0,5,110,47,156
UCL222101,..,59,59,36,3,44,17,0,17,10,0,10,4,0,4,0,0,0,67,60,126
UCL222102,..,27,27,33,0,33,15,0,15,13,0,13,4,0,4,0,0,0,56,32,90
UCL222103,..,15,15,28,3,31,16,0,16,21,0,21,3,0,3,4,0,4,72,16,85
UCL222104,..,33,33,55,3,59,17,0,17,28,0,28,9,0,9,9,0,9,115,35,148
UCL222105,..,34,34,53,3,54,18,0,18,12,0,12,9,0,9,4,0,4,85,34,125
UCL222106,..,14,14,34,3,35,13,0,15,33,0,33,8,0,8,5,0,5,92,23,110
UCL222107,..,38,38,55,4,59,37,0,37,30,0,30,9,0,9,6,0,6,138,45,182
UCL222108,..,79,79,67,5,72,23,0,24,14,0,14,3,0,3,4,0,4,114,90,201
UCL222109,..,44,44,67,3,66,15,0,15,7,0,7,0,0,0,3,0,3,90,47,135
UCL222110,..,32,32,44,0,47,31,0,31,16,0,16,13,0,13,5,0,5,107,35,143
UCL222111,..,17,17,25,3,27,14,0,14,15,0,15,9,0,9,4,0,4,67,23,90
UCL222112,..,29,29,29,0,28,13,0,13,9,0,9,4,0,4,0,0,0,51,27,81
UCL222113,..,39,39,42,3,44,9,0,9,16,0,16,8,0,8,0,0,3,78,42,115
UCL222114,..,17,17,29,0,26,19,0,17,5,0,5,3,0,3,6,0,6,57,20,78
UCL222115,..,51,51,37,3,45,6,0,6,7,0,7,0,0,0,3,0,3,53,56,108
UCL222116,..,20,20,27,0,30,5,0,5,16,0,16,8,0,8,0,0,0,60,25,85
UCL222117,..,36,36,43,3,45,23,0,23,25,0,25,3,0,3,7,0,7,94,37,133
UCL222118,..,8,8,18,0,18,8,0,8,17,0,17,11,0,11,0,0,0,57,8,61
UCL222119,..,14,14,27,0,27,6,0,6,6,0,6,10,0,10,3,0,3,57,14,75
UCL222120,..,26,26,42,0,42,10,0,10,13,0,13,8,0,8,3,0,3,80,24,107
UCL222121,..,26,26,36,4,37,12,0,12,9,0,9,0,0,0,4,0,4,68,27,96
UCL222122,..,13,13,27,0,27,14,0,14,16,0,16,3,0,3,0,0,0,52,13,65
UCL231777,..,29303,29303,52589,2440,55029,19871,217,20086,21156,61,21217,10972,20,10990,5053,16,5071,109645,32059,141696
UCL279997,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL299994,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
