UCL_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL215096,4,16,3,5,0,41,3,0,17,18,30,3,75,0,0,0,3,0,0,3,0,0,4,0,16,0,19,0,0,0,0,4,3,12,8,16,62,51,172,10,320
UCL215097,7,17,5,3,0,35,3,0,15,9,5,0,37,0,0,0,0,0,0,3,3,0,0,0,7,0,13,0,0,0,0,4,7,16,13,8,57,42,120,22,262
UCL221001,0,8,5,3,0,16,0,0,16,15,11,0,42,0,0,0,0,0,0,3,0,0,0,0,11,0,15,0,0,0,0,11,0,11,4,4,41,39,137,6,232
UCL221002,0,14,4,4,0,26,0,0,11,7,8,0,27,0,0,0,0,5,0,3,0,0,3,0,4,0,8,0,0,0,3,0,3,14,11,3,50,45,117,14,244
UCL221003,0,8,5,3,0,13,0,0,8,7,11,4,37,0,0,0,0,0,0,3,0,0,0,3,3,0,4,0,0,0,0,4,0,7,5,5,32,41,83,16,183
UCL221004,7,8,0,0,0,17,0,0,7,12,7,0,32,0,0,0,4,3,0,4,0,0,0,0,11,0,14,0,0,0,0,3,0,9,0,10,22,37,96,10,175
UCL221005,3,6,3,4,0,21,3,3,16,8,7,3,34,0,0,0,0,5,0,5,0,0,0,0,10,3,17,0,0,4,3,4,4,12,10,8,62,47,115,22,266
UCL221006,8,8,3,5,0,30,0,0,10,5,7,5,29,0,0,0,0,0,0,0,0,0,0,0,8,0,13,0,0,0,0,0,0,0,9,14,44,23,86,11,177
UCL221007,5,8,3,0,0,16,0,0,9,8,7,0,28,0,0,3,0,0,0,3,0,0,0,0,3,0,7,0,0,0,0,3,3,7,3,9,39,24,72,9,169
UCL221008,6,8,3,3,0,21,0,3,9,12,12,3,39,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,4,0,8,12,8,26,22,66,9,150
UCL221009,3,11,0,3,0,20,3,0,13,6,6,3,38,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0,3,3,3,6,3,9,42,19,67,16,155
UCL221010,3,7,4,3,0,27,0,0,6,7,8,0,21,0,0,0,0,0,0,4,0,0,0,0,15,0,13,0,0,3,0,13,3,15,7,8,33,29,89,12,179
UCL221011,4,3,0,5,0,17,0,0,9,5,12,0,25,0,0,0,0,0,0,7,0,0,0,3,0,0,4,0,0,0,0,4,0,6,5,8,19,36,59,13,132
UCL221012,3,16,3,3,0,33,3,8,16,8,3,0,36,0,0,0,0,0,0,0,0,0,3,0,6,0,9,0,0,0,0,3,0,4,8,10,45,33,93,9,194
UCL221013,3,10,0,4,0,20,0,0,8,5,8,0,27,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,3,0,4,4,8,37,30,64,6,150
UCL221014,3,9,4,3,0,19,0,0,5,6,11,0,23,0,0,0,0,6,0,6,0,0,0,0,8,0,8,0,0,0,3,5,3,8,8,3,31,35,99,11,188
UCL221015,6,15,0,4,0,29,4,3,11,12,12,0,43,0,0,3,0,4,0,5,0,0,0,5,3,0,15,0,0,3,0,3,0,11,9,11,62,36,103,9,230
UCL221016,0,8,5,3,0,19,3,0,7,10,12,0,40,0,0,0,0,4,0,4,0,0,0,3,4,0,10,0,0,0,0,3,0,3,10,6,30,39,87,0,174
UCL221017,3,9,6,3,0,18,0,0,3,10,11,4,33,0,0,0,0,3,0,6,0,0,0,3,11,0,12,0,0,0,0,9,0,8,3,8,24,32,127,16,206
UCL221018,4,11,3,8,0,39,0,0,12,14,3,0,27,0,0,0,0,0,0,3,3,0,3,0,10,0,13,0,0,0,0,5,0,12,6,6,38,32,110,19,211
UCL221019,8,20,5,9,0,49,3,6,9,11,20,3,57,0,0,0,4,3,0,8,0,0,0,0,14,0,13,0,0,0,3,7,3,14,24,22,62,61,143,22,334
UCL221020,3,6,0,3,0,12,0,0,6,9,26,3,44,0,0,0,0,3,0,3,0,0,0,0,14,0,12,0,0,0,0,5,3,7,3,3,23,21,119,9,177
UCL221021,0,3,0,0,0,7,0,0,6,6,7,0,24,0,0,0,0,0,0,3,0,0,0,0,4,0,7,0,0,0,3,0,0,0,6,6,16,27,88,15,155
UCL221022,7,7,0,0,0,10,0,0,3,3,10,3,21,0,0,0,0,4,0,8,0,0,0,3,8,0,11,0,0,0,3,3,0,7,3,8,20,23,73,10,136
UCL221023,5,10,5,4,0,34,0,0,10,3,4,3,19,0,0,3,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,8,12,9,39,30,61,14,164
UCL221024,0,3,0,0,3,11,0,0,3,3,3,0,11,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,4,3,3,3,14,11,35,5,70
UCL221025,7,10,6,5,0,39,0,3,17,9,9,0,44,0,0,0,0,4,0,6,0,0,0,0,5,0,6,0,0,0,0,5,0,3,10,11,52,29,101,6,211
UCL221026,8,12,3,8,0,25,4,0,12,8,12,3,42,0,0,0,0,3,0,6,0,0,0,0,12,0,12,0,0,0,3,11,3,20,11,7,47,30,135,14,250
UCL221027,3,10,0,4,0,16,0,0,15,5,6,0,31,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,3,0,0,0,10,31,23,68,11,143
UCL221028,12,12,5,12,4,50,0,0,4,3,14,3,24,0,3,0,0,0,0,5,0,0,0,0,8,0,8,0,0,0,0,7,0,9,4,18,21,18,90,9,152
UCL221029,0,8,3,4,0,12,5,5,7,0,3,0,25,0,0,0,0,3,0,3,0,0,0,0,8,3,9,0,0,0,0,3,0,3,10,10,23,14,66,11,128
UCL221030,5,5,0,0,0,14,7,0,12,5,0,0,26,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,5,20,14,68,36,46,14,193
UCL221031,3,18,0,7,0,27,0,5,9,0,17,0,36,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,7,0,9,0,7,43,23,131,13,220
UCL221032,4,3,0,0,0,16,0,0,4,3,10,3,27,0,0,3,0,3,0,8,0,0,0,0,4,0,12,3,0,0,0,3,4,7,10,4,31,22,97,21,186
UCL221033,3,6,0,3,0,13,3,0,4,9,7,0,24,0,0,0,0,0,0,5,0,0,0,0,10,0,9,0,0,0,0,3,0,4,16,10,27,43,90,16,200
UCL221034,3,8,3,0,0,22,0,0,6,14,7,3,36,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,3,10,10,31,32,65,11,154
UCL221035,5,14,3,0,0,26,0,0,3,7,16,3,28,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,5,26,16,58,3,116
UCL221036,3,10,3,6,0,20,3,3,0,6,6,0,15,0,0,4,0,0,0,3,0,0,0,0,16,0,14,0,0,0,0,3,0,3,5,8,33,41,129,4,224
UCL221037,0,9,0,3,0,12,0,0,4,8,15,0,33,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,4,0,0,13,18,70,12,121
UCL221038,4,13,4,3,0,34,0,3,8,7,10,0,30,0,0,0,0,0,0,0,0,0,0,3,4,0,7,0,0,0,0,9,0,8,13,14,54,43,117,11,253
UCL221039,8,11,0,3,0,24,0,0,8,8,14,0,36,0,0,0,0,0,0,0,0,0,0,0,14,0,18,0,0,3,0,0,0,6,6,8,30,20,89,6,162
UCL221040,3,14,10,12,3,40,0,3,16,20,23,3,56,0,0,0,3,0,0,4,0,0,0,3,17,3,26,0,0,3,3,13,4,17,12,13,48,73,196,30,372
UCL221041,7,4,11,7,0,25,0,0,9,14,14,0,39,0,0,0,0,0,0,0,0,0,0,3,6,0,7,0,0,0,3,12,0,20,3,7,37,50,142,16,261
UCL221042,0,8,3,7,0,19,4,4,7,6,11,3,33,0,0,0,0,0,0,3,0,0,0,0,13,0,11,0,0,0,0,0,3,4,8,5,35,35,104,13,197
UCL221043,5,13,3,3,0,26,0,0,12,4,8,0,30,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,3,6,3,10,37,20,69,11,147
UCL221044,0,4,0,7,0,10,0,0,7,12,14,0,34,0,0,0,3,0,0,3,0,0,0,0,8,0,10,0,0,0,0,0,0,0,5,7,20,32,101,0,175
UCL221045,0,0,0,0,0,7,0,0,5,3,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,5,0,12,11,47,11,78
UCL221046,8,13,3,4,0,36,4,3,11,7,10,0,30,0,0,4,0,4,0,5,0,0,0,0,5,0,7,0,0,0,0,0,0,3,9,10,46,32,105,12,217
UCL221047,11,11,4,8,0,34,3,6,11,6,9,3,32,3,0,0,0,0,0,4,0,0,0,0,3,0,4,0,0,3,0,4,3,10,19,15,50,24,105,16,230
UCL221048,3,18,0,4,0,27,0,8,19,14,20,0,62,0,0,0,0,0,0,0,0,0,0,5,8,0,13,0,0,0,0,5,0,11,4,11,63,44,164,10,296
UCL221049,4,17,4,4,0,28,0,3,7,6,9,0,32,0,0,0,0,4,0,4,0,0,3,0,9,0,13,0,0,0,0,11,4,15,4,7,36,30,106,10,198
UCL221050,7,16,3,6,0,24,3,9,18,16,16,0,61,0,0,0,0,3,0,3,0,0,0,3,3,0,7,0,0,3,3,7,0,14,13,17,67,60,146,16,319
UCL221051,4,14,8,3,3,38,0,6,15,3,8,0,39,0,0,0,3,0,0,3,0,0,3,0,9,0,15,0,0,0,3,3,0,8,23,16,71,37,106,7,255
UCL221052,5,7,3,3,0,22,0,0,9,13,13,0,40,0,0,0,0,0,0,0,0,0,0,5,10,0,12,0,0,0,0,4,3,5,4,13,14,38,94,8,169
UCL221053,3,9,7,5,0,25,0,0,12,5,15,4,42,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,4,4,10,3,4,33,21,82,10,159
UCL221054,0,6,0,5,0,11,0,0,3,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,3,3,3,14,0,3,15,34,110,20,185
UCL221055,3,15,5,13,0,41,4,3,11,5,8,4,36,0,0,0,0,0,0,0,3,0,0,0,15,0,19,0,0,0,0,4,0,6,5,15,40,43,103,10,224
UCL221056,0,10,0,4,0,14,3,3,5,3,14,3,28,0,0,0,0,4,0,4,0,0,0,0,7,0,12,0,0,0,0,3,0,7,7,8,25,13,83,9,139
UCL221057,8,6,5,0,0,11,0,3,13,7,7,0,25,0,0,0,0,0,0,3,0,0,0,4,6,0,10,0,0,0,0,3,0,3,4,18,35,26,76,3,154
UCL221058,0,0,0,0,0,3,0,0,8,4,9,0,18,0,0,0,0,3,0,5,0,0,0,0,14,0,14,0,0,0,0,7,5,12,3,3,22,20,123,12,182
UCL221059,5,5,3,3,0,20,0,3,7,10,7,5,36,0,0,0,0,0,0,0,0,0,4,0,3,0,5,0,0,0,3,6,0,8,9,16,33,37,99,13,211
UCL221060,0,3,4,3,0,8,3,0,7,0,9,0,19,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,6,7,4,17,20,40,6,92
UCL221061,0,7,3,5,0,21,0,0,0,7,4,0,15,0,0,0,0,0,0,0,0,0,0,3,9,0,13,0,0,0,3,5,4,15,7,0,18,37,84,20,165
UCL221062,5,3,3,3,0,16,0,0,7,14,13,0,40,0,0,0,0,0,0,3,0,0,0,0,9,0,9,0,0,0,0,3,7,8,7,7,22,25,87,18,160
UCL221063,7,8,0,0,0,22,0,0,6,3,4,3,20,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,7,15,10,59,9,105
UCL221064,4,8,5,0,0,21,3,0,4,5,17,0,30,0,0,0,0,4,0,4,0,0,0,3,14,0,14,0,0,0,0,5,3,15,11,5,23,51,127,9,228
UCL221065,3,0,3,4,0,14,0,0,6,10,14,0,29,0,0,0,0,0,0,0,0,0,0,3,5,0,4,0,0,0,0,5,0,9,3,10,21,37,96,5,170
UCL221066,0,3,0,5,0,7,0,0,0,5,5,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,5,0,0,16,11,63,12,108
UCL221067,3,14,5,3,0,29,3,4,4,5,9,3,31,0,0,0,7,14,0,25,0,0,0,0,8,0,10,0,0,0,0,5,0,9,7,17,46,38,113,8,235
UCL221068,9,10,10,3,0,32,3,0,8,16,23,3,49,0,0,0,0,0,0,0,0,0,3,3,9,0,13,0,0,0,0,7,3,7,8,9,38,43,130,17,253
UCL221069,11,29,10,5,0,56,3,10,27,16,36,11,102,0,0,0,0,7,0,7,0,0,0,4,23,0,27,0,0,0,0,10,3,20,12,36,108,91,286,29,557
UCL221070,0,16,5,3,0,27,0,0,13,12,11,6,38,0,0,0,0,0,0,0,0,0,4,0,10,0,13,0,0,0,0,0,3,4,4,3,39,27,96,11,186
UCL221071,3,6,0,3,0,17,3,11,13,4,7,0,31,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,3,0,6,11,13,36,32,84,6,182
UCL221072,6,12,3,0,0,30,3,0,7,5,14,4,30,0,0,0,3,4,0,11,0,0,0,0,3,0,5,0,0,0,3,8,5,16,25,12,48,25,73,16,202
UCL221073,0,5,0,3,0,14,0,3,10,7,9,0,27,0,0,9,8,3,0,20,0,0,0,0,3,0,3,0,0,0,0,7,0,10,9,7,53,40,81,9,188
UCL221074,3,7,0,0,0,15,0,4,7,3,6,0,27,0,0,0,4,0,0,5,0,0,0,0,11,0,11,0,0,0,3,5,0,12,7,6,32,28,64,10,149
UCL221075,7,6,3,3,0,17,0,0,14,13,23,0,53,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,10,33,27,68,14,144
UCL221076,0,3,4,0,0,13,0,0,7,3,5,0,22,0,0,0,0,0,0,3,0,0,0,0,4,0,4,0,0,0,0,9,4,11,5,3,17,28,90,14,152
UCL221077,0,3,0,0,0,11,0,0,3,3,3,4,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,5,14,18,41,12,97
UCL221078,3,10,4,4,0,19,0,0,5,5,3,0,16,0,0,0,0,0,0,5,0,0,0,0,3,0,3,0,0,0,0,3,0,3,9,6,23,32,66,7,145
UCL221079,3,11,7,4,0,31,7,3,18,11,17,0,54,0,0,0,0,0,0,3,0,0,0,3,4,0,10,0,0,0,0,6,0,8,17,14,45,50,136,12,264
UCL221080,3,10,0,3,0,15,0,0,6,4,10,0,21,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,0,0,5,0,5,8,4,24,10,54,4,105
UCL221081,14,25,8,5,0,72,5,6,26,14,18,0,68,0,0,7,0,0,0,8,0,0,0,0,7,0,9,0,0,0,0,4,0,4,42,26,92,44,117,19,330
UCL221082,3,8,5,6,0,30,0,0,9,3,4,0,19,0,0,0,0,0,0,6,0,0,0,0,3,0,3,0,0,0,0,3,0,3,3,10,34,26,101,7,184
UCL222001,0,10,6,0,0,18,0,7,8,3,4,0,18,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,9,10,29,21,35,6,105
UCL222002,0,10,0,0,0,17,5,0,8,3,6,0,22,0,0,3,0,0,0,3,0,0,0,0,5,0,5,0,0,0,4,0,0,4,16,12,43,13,48,4,134
UCL222003,3,0,0,0,0,6,0,3,3,0,4,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,3,3,10,11,14,44,4,81
UCL222004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,4,3,14
UCL222005,0,0,0,0,0,0,0,0,3,3,5,3,13,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,0,9,8,32,8,54
UCL222006,0,7,3,0,0,11,0,0,7,10,7,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,26,23,71,4,135
UCL222007,0,3,0,0,0,5,0,0,3,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,4,3,4,9,11,31,0,63
UCL222008,3,8,0,0,0,13,3,0,3,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,6,8,28,17,28,6,88
UCL222009,0,0,0,0,0,4,0,0,5,4,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,10,8,42,3,68
UCL222010,0,6,0,0,0,4,0,0,3,5,4,0,14,0,0,0,0,0,3,4,0,0,0,0,7,0,5,0,0,0,0,6,0,6,0,0,21,23,47,10,98
UCL222011,3,8,3,6,0,16,4,0,7,4,9,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,8,4,32,14,53,0,113
UCL222012,0,4,0,0,0,5,3,0,3,3,6,0,16,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,5,3,12,12,52,3,93
UCL222013,4,0,0,0,0,9,0,0,3,0,0,0,7,0,0,0,0,3,0,3,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,4,4,9,40,3,61
UCL222014,0,5,0,0,0,11,3,0,10,3,5,0,21,0,0,0,3,0,0,3,0,0,3,0,7,0,8,0,0,0,0,0,0,0,7,3,41,25,47,6,135
UCL222015,0,4,8,4,0,15,0,0,5,3,3,0,10,0,0,0,0,0,0,6,0,0,0,0,4,0,5,0,0,0,0,4,4,8,4,4,21,19,71,9,134
UCL222016,0,7,3,3,0,19,0,0,6,7,4,0,16,0,0,0,3,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,0,7,0,24,13,60,5,121
UCL222017,3,3,0,0,0,15,0,0,6,5,14,0,24,0,0,0,0,7,0,7,0,0,0,0,3,0,3,0,0,0,0,7,0,8,3,5,16,19,90,6,135
UCL222018,8,3,3,0,0,15,0,0,7,4,3,4,14,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,4,4,0,3,4,10,22,21,58,6,114
UCL222019,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,5,5,27,4,43
UCL222020,0,3,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,0,3,0,0,10,4,24,0,43
UCL222021,0,6,0,3,0,13,4,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,3,20,18,18,0,67
UCL222022,0,3,3,6,0,14,0,0,4,11,8,0,21,0,0,0,0,0,0,0,0,0,0,3,5,0,11,0,0,0,0,0,3,3,0,3,19,29,68,5,129
UCL222023,0,3,6,0,0,19,0,0,0,3,5,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,3,0,4,7,0,8,11,34,4,68
UCL222024,0,0,3,0,3,10,0,0,3,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,6,3,3,9,16,35,9,69
UCL222025,3,3,0,4,0,17,0,4,6,5,9,0,22,0,0,0,0,3,0,4,0,0,0,0,3,0,3,0,0,0,0,7,0,7,4,11,21,25,73,5,137
UCL222026,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,26,16,47,3,103
UCL222027,0,3,0,0,0,5,0,0,4,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,12,8,22,3,56
UCL222028,4,4,3,3,0,22,4,4,5,6,10,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,20,26,47,4,120
UCL222029,4,3,0,0,0,4,0,0,7,6,11,0,21,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0,3,0,4,13,15,54,6,90
UCL222030,0,0,3,0,0,6,0,0,3,5,5,3,16,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,7,0,0,9,9,28,6,54
UCL222031,0,3,0,3,0,7,0,0,4,0,6,0,18,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,3,0,3,10,12,43,7,71
UCL222032,0,8,0,5,0,18,0,3,3,5,0,0,15,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,0,0,3,0,7,4,10,30,24,73,3,148
UCL222033,0,10,0,3,0,16,0,0,5,0,5,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,9,13,3,23,3,43
UCL222034,0,3,0,0,0,4,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,19,10,20,6,58
UCL222035,0,3,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,21,3,36
UCL222036,3,9,0,0,0,17,0,0,3,5,0,0,7,0,0,9,0,3,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,7,37,18,32,0,102
UCL222037,0,3,3,0,0,6,0,3,0,3,5,0,10,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,0,0,3,0,4,0,8,22,19,36,6,91
UCL222038,0,0,3,0,0,5,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,0,3,0,0,7,8,23,9,50
UCL222039,0,0,0,0,0,4,0,0,8,4,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,6,25,0,47
UCL222040,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,6,12,8,33
UCL222041,3,5,0,3,0,9,0,0,5,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,3,9,10,35,3,70
UCL222042,0,0,0,3,0,10,0,0,8,0,5,3,18,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,0,3,0,3,3,4,19,14,36,3,77
UCL222043,0,3,0,0,0,12,0,0,0,3,9,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,3,0,3,3,8,12,13,72,3,115
UCL222044,0,4,4,0,0,10,0,0,3,3,6,0,14,0,0,6,0,0,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,7,21,16,45,3,95
UCL222045,5,0,0,0,0,5,0,3,3,3,4,3,22,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,3,3,13,8,39,8,80
UCL222046,0,0,0,0,0,0,0,0,0,3,6,3,13,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,8,4,26,5,42
UCL222047,3,3,0,3,0,14,0,0,5,3,13,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,6,13,13,77,3,115
UCL222048,0,4,0,3,0,7,0,0,7,5,13,0,18,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,3,0,6,0,0,13,12,47,4,80
UCL222049,0,3,0,0,0,3,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,26,6,47
UCL222050,0,3,4,0,0,6,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,4,3,0,12,16,63,3,100
UCL222051,0,3,3,0,0,5,0,0,4,10,4,0,19,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,6,0,0,14,10,51,9,87
UCL222052,0,0,0,0,0,5,0,0,3,5,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,18,0,40
UCL222053,3,7,3,0,0,11,0,0,3,3,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,8,30,3,64
UCL222054,0,0,3,4,0,4,3,0,3,3,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,13,20,28,3,71
UCL222055,11,15,4,0,3,38,4,3,7,7,3,0,20,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,0,3,0,0,5,4,14,42,19,30,8,119
UCL222056,0,0,0,0,0,3,0,0,3,0,3,0,10,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,19,15,37,10,81
UCL222057,0,3,0,0,0,5,0,0,0,3,3,0,5,0,0,0,0,3,0,3,0,0,0,0,10,0,8,0,0,0,0,5,0,4,0,3,12,24,83,6,132
UCL222058,3,6,3,0,0,13,0,3,6,0,3,0,18,0,0,0,0,0,0,3,0,0,0,0,3,0,8,0,0,0,0,3,0,5,10,7,22,13,48,3,101
UCL222059,0,0,0,3,0,3,0,3,4,10,3,3,22,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,3,3,23,55,8,94
UCL222060,3,3,0,0,0,10,0,5,3,3,5,3,15,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,3,6,6,15,17,36,3,80
UCL222061,0,5,0,4,0,4,0,0,3,4,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,3,0,8,13,30,7,64
UCL222062,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,14,16,22,8,71
UCL222063,0,3,0,6,0,12,4,0,7,3,3,0,21,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,3,7,0,14,22,39,0,80
UCL222064,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,19,8,21,3,59
UCL222065,0,0,0,4,0,8,0,0,0,5,5,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,7,13,28,0,47
UCL222066,0,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,3,20,3,34
UCL222067,3,7,0,0,0,12,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,9,12,3,44,8,68
UCL222068,4,7,0,3,0,14,3,6,14,3,5,0,28,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,3,0,0,3,3,12,32,13,43,3,109
