UCL_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL214020,1862,1959,3823,513,516,1028,139,172,312,527,589,1118,31,33,60,12,12,24,16,18,32,15,8,18,4,4,11,3,4,12,0,0,0,751,840,1592,28,34,63,25,37,69,1317,1433,2752,428,407,834,3600,3802,7403
UCL215001,323,323,654,72,63,132,3,4,4,91,93,178,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,96,102,195,8,11,17,5,0,5,179,178,355,32,48,84,535,550,1088
UCL215002,623,656,1281,187,212,395,15,18,26,158,157,320,8,13,20,0,7,7,3,9,7,0,0,0,3,0,3,0,0,0,0,0,0,193,202,388,15,14,27,3,6,5,394,428,817,111,100,208,1123,1183,2308
UCL215003,691,685,1375,118,134,248,8,3,10,248,280,530,6,7,14,6,3,14,3,4,4,3,3,3,3,4,8,0,0,0,0,0,0,279,302,577,22,25,45,3,7,4,418,460,875,96,85,180,1200,1226,2425
UCL215004,311,327,633,109,92,201,6,6,15,95,118,208,7,5,8,3,0,4,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,109,131,242,26,35,59,4,4,12,250,268,512,79,75,150,634,664,1300
UCL215005,572,606,1173,106,120,229,7,3,10,241,257,499,0,3,3,0,3,3,0,3,9,0,3,5,0,0,0,0,0,0,0,0,0,253,279,532,15,17,31,0,8,5,376,419,799,85,87,170,1031,1113,2146
UCL215006,608,671,1280,121,140,258,9,13,25,203,201,401,3,0,5,0,0,0,3,3,3,0,0,0,3,0,3,0,4,3,0,0,0,222,222,445,13,15,21,9,6,13,363,379,745,76,90,166,1043,1137,2188
UCL215007,1105,1079,2183,209,210,420,20,13,33,724,730,1453,14,13,32,9,9,11,10,12,21,3,4,10,3,3,6,0,0,0,0,0,0,777,782,1560,19,17,40,15,5,17,1013,1026,2038,164,174,330,2281,2274,4558
UCL215008,445,470,914,75,84,161,47,46,93,120,134,259,24,28,52,0,0,0,5,7,14,0,0,0,3,3,5,5,4,11,0,0,0,202,225,432,3,3,3,10,11,17,297,323,615,42,41,81,779,839,1619
UCL215009,260,236,499,19,26,50,20,32,48,50,42,93,3,0,7,0,0,0,3,5,11,0,0,0,0,0,3,0,0,0,0,0,0,77,82,164,3,3,4,0,0,0,101,112,218,29,30,65,397,377,773
UCL215010,689,651,1341,49,38,85,6,3,5,258,249,500,4,3,9,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,267,257,522,8,5,15,0,0,0,325,291,617,61,56,114,1078,1000,2078
UCL215011,284,302,584,61,53,112,0,3,3,72,83,156,6,5,14,4,0,3,0,6,7,0,0,0,0,0,4,0,0,0,0,0,0,87,102,191,7,6,15,0,4,7,153,166,321,51,62,110,486,534,1021
UCL215012,701,829,1529,162,203,367,52,59,107,205,207,410,18,18,33,0,5,4,8,9,15,4,6,12,10,8,18,9,8,11,0,0,0,297,318,616,19,24,47,4,6,11,482,560,1042,98,116,219,1286,1501,2785
UCL215013,197,205,400,46,43,92,14,7,25,469,447,918,4,0,8,3,3,10,0,0,0,0,3,3,0,0,3,0,3,6,0,0,0,501,468,968,13,23,38,3,6,8,564,543,1106,69,73,139,833,813,1653
