UCL_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
UCL213018,2506,1624,1508,1487,1750,1677,1496,910,393,13354,6,5,3,0,0,3,3,0,0,20,0,0,3,0,0,0,3,0,0,10,48,80,68,24,47,41,39,35,14,405,3,3,5,0,7,0,3,0,0,22,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,85,77,30,62,45,49,34,14,444,57,86,78,30,60,46,50,36,14,464,2569,1708,1589,1522,1810,1727,1549,948,406,13815
UCL214001,1067,738,683,678,899,876,774,492,262,6465,0,0,0,0,0,0,0,0,5,11,3,0,3,8,6,6,0,0,0,24,26,44,45,30,49,39,21,8,9,277,0,0,5,0,3,0,0,0,0,11,0,3,9,12,18,8,4,0,0,52,4,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,58,71,52,73,56,20,8,9,380,30,55,76,52,70,55,21,8,16,387,1100,794,760,731,969,930,790,504,273,6858
UCL214002,1411,914,812,825,1101,1232,1141,801,442,8679,3,4,3,0,0,0,0,0,3,15,4,0,4,0,0,5,3,0,0,24,26,75,41,30,40,45,25,24,17,319,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,28,81,50,35,42,55,34,24,17,376,34,80,58,39,42,55,34,28,22,388,1438,994,869,860,1145,1291,1173,823,468,9065
UCL214003,1473,836,978,1173,1348,1327,1132,732,362,9367,0,0,0,3,0,0,0,0,0,6,0,0,3,0,3,8,4,3,0,18,26,54,35,36,41,54,54,38,20,361,0,3,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,6,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,64,42,41,51,65,64,38,19,413,31,64,42,43,52,70,66,38,20,423,1504,896,1019,1219,1397,1394,1198,773,379,9786
UCL214004,898,529,530,525,593,597,637,467,178,4949,0,3,0,3,3,0,0,0,3,14,0,0,0,5,0,9,8,4,3,27,15,31,28,16,20,24,29,22,4,194,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,36,26,21,32,39,39,29,9,244,24,35,31,20,31,42,38,30,11,260,924,570,557,546,628,633,674,497,189,5211
UCL214005,167,133,77,117,135,122,136,52,17,949,0,0,0,0,0,0,3,0,0,4,3,0,0,0,4,3,3,3,0,20,3,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,3,6,3,3,3,0,29,3,8,3,3,6,3,6,5,0,32,172,135,78,123,138,126,146,54,21,985
UCL214006,2302,1070,938,1449,1329,945,784,344,188,9350,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,3,6,0,0,12,16,40,15,16,18,11,19,12,3,149,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,40,17,16,20,11,24,17,4,173,16,45,17,16,20,11,24,17,4,175,2323,1119,957,1461,1346,955,804,358,191,9520
UCL214007,1424,1024,847,851,1030,1089,984,641,368,8262,4,0,0,0,0,0,3,3,0,9,0,0,0,0,3,8,4,0,0,12,38,87,59,40,57,36,24,14,9,364,0,0,0,3,8,0,3,0,0,11,6,10,0,3,7,10,3,0,0,31,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,97,63,44,69,51,38,14,13,432,39,97,63,46,72,51,38,19,13,439,1465,1127,908,895,1102,1142,1023,659,378,8700
UCL214008,1476,798,832,991,1119,1130,904,541,216,8018,0,0,0,0,0,0,3,0,0,10,0,0,4,4,6,5,0,0,0,22,34,42,44,40,26,31,45,22,10,293,0,0,0,9,3,3,0,0,0,27,0,5,0,3,0,4,5,0,0,14,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,51,53,58,36,49,54,17,10,364,37,52,53,59,43,48,61,21,10,372,1511,848,888,1051,1164,1179,967,558,223,8396
UCL214009,812,297,366,496,503,687,781,429,203,4576,0,0,0,0,0,3,0,0,3,5,0,0,0,0,0,6,3,0,0,14,28,16,39,11,30,35,31,12,9,220,0,0,0,0,4,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,31,16,45,17,37,43,37,12,9,257,31,16,45,15,37,46,37,12,12,261,842,310,414,517,540,735,819,442,213,4834
UCL214010,1422,927,681,852,887,696,617,406,144,6648,0,7,0,0,0,0,0,0,0,5,5,13,0,0,0,0,7,0,0,26,23,46,33,16,16,12,9,12,9,165,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,4,0,0,0,9,0,0,0,0,0,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,64,35,19,22,25,19,12,8,216,25,66,35,19,22,25,20,12,8,225,1440,999,713,869,914,723,643,420,153,6870
UCL214011,965,587,580,551,640,728,703,484,280,5510,3,0,3,0,0,0,3,0,0,10,0,3,4,4,0,0,0,0,0,12,17,27,14,15,20,17,8,9,7,144,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,36,23,16,23,22,7,17,7,167,21,32,27,16,23,22,15,19,7,184,987,623,609,562,668,750,712,501,282,5691
UCL214012,838,479,458,492,683,868,950,510,232,5501,0,3,0,0,5,0,3,0,0,14,0,0,0,4,0,14,8,6,0,38,36,33,37,53,51,84,96,47,9,453,0,0,3,0,5,3,0,4,0,12,0,0,0,0,3,7,7,0,0,16,0,0,0,0,3,3,0,0,0,4,3,0,0,3,0,6,10,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,39,33,42,67,64,118,121,58,14,550,41,39,43,67,73,118,119,58,12,567,876,517,496,563,756,984,1070,564,244,6069
UCL214013,964,492,558,506,544,575,539,369,205,4750,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,12,37,23,12,15,20,8,9,4,136,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,43,32,12,15,18,12,9,4,154,12,46,32,11,15,18,12,9,4,156,981,537,584,513,560,596,553,381,206,4908
UCL214014,1131,753,588,673,833,963,1064,755,322,7083,0,3,3,0,0,0,3,0,4,14,0,0,0,0,3,3,9,0,0,17,29,50,37,28,21,35,30,15,15,270,0,0,0,0,0,3,0,0,0,10,3,0,0,4,0,3,0,0,0,14,0,0,0,5,0,3,3,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,58,42,32,27,50,40,19,15,321,39,58,45,35,28,50,37,18,20,337,1169,811,634,704,867,1012,1102,775,345,7424
UCL214015,797,424,362,531,779,1172,1317,621,268,6284,0,5,0,0,0,0,0,0,0,5,0,0,0,0,3,0,3,3,0,13,45,29,44,30,44,60,57,17,3,334,0,0,3,0,0,0,3,0,0,12,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,33,47,35,46,64,69,20,3,365,43,37,47,36,46,69,72,26,3,374,843,459,409,568,823,1241,1390,645,272,6658
UCL214016,876,738,557,592,742,838,612,382,190,5524,11,0,0,0,0,0,0,0,0,16,0,6,0,0,9,3,0,0,0,20,20,20,31,27,11,30,8,14,8,162,0,0,3,4,0,12,3,0,0,21,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,6,7,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,20,27,39,28,18,52,21,15,8,233,33,27,39,30,18,55,19,15,5,246,904,764,598,625,758,888,629,399,195,5765
UCL214017,775,586,545,558,675,728,663,430,230,5191,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,5,16,40,36,16,26,15,6,8,5,172,0,0,0,0,3,0,0,0,0,7,0,0,0,3,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,40,35,20,29,22,12,8,5,194,16,42,40,20,29,25,12,10,5,199,795,628,585,579,711,754,677,443,231,5395
UCL214018,1930,1096,1067,1159,1283,955,508,164,43,8210,6,0,4,0,0,6,0,0,0,16,0,0,0,0,0,0,0,3,0,0,15,41,24,20,16,19,12,12,4,168,7,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,39,24,18,23,26,12,16,4,188,27,47,27,17,20,29,12,15,4,202,1953,1145,1094,1180,1307,985,521,179,48,8408
UCL214019,1269,771,751,660,963,1030,956,674,334,7398,0,4,5,0,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,4,19,58,37,22,35,23,18,20,21,255,0,0,0,0,3,3,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,62,35,18,36,32,23,27,21,272,21,68,41,22,36,27,29,27,21,291,1284,835,786,684,999,1058,979,701,352,7690
UCL214020,1317,646,619,720,818,919,1024,717,350,7136,0,0,0,0,0,0,0,7,0,7,3,6,8,3,3,8,3,3,3,43,20,38,34,17,23,42,67,48,13,302,3,0,0,0,3,8,3,3,0,20,0,9,4,16,4,0,3,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,28,54,46,44,37,62,80,54,19,410,28,53,46,43,39,62,77,52,16,420,1351,702,665,762,859,980,1103,777,367,7559
UCL215001,147,97,57,94,155,204,121,71,13,967,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,16,10,14,8,17,15,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,10,10,13,17,17,0,0,95,6,18,10,10,13,17,17,0,0,97,151,119,74,107,167,224,136,75,15,1062
UCL215002,349,187,212,252,282,312,323,194,104,2223,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,4,4,10,11,16,10,12,16,3,4,83,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,11,13,11,20,18,3,4,96,11,11,11,13,11,20,18,3,4,95,353,204,226,270,291,327,343,199,109,2320
UCL215003,366,184,186,238,329,356,345,173,98,2271,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,15,12,26,30,19,34,28,12,0,172,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,23,31,21,39,37,9,0,190,19,17,23,31,21,42,37,9,0,188,382,198,206,264,346,396,381,180,102,2462
UCL215004,186,105,132,133,160,203,136,88,31,1176,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,12,7,9,22,8,19,29,9,9,3,121,0,6,3,3,0,9,0,0,0,23,0,0,3,0,4,8,8,0,0,27,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,31,11,28,45,24,13,3,186,15,19,31,11,28,45,24,13,3,186,198,123,164,151,188,252,159,93,35,1362
UCL215005,423,226,231,276,297,291,238,130,69,2177,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13,7,8,8,6,4,3,13,3,57,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,5,5,14,11,3,13,3,68,13,7,5,11,14,11,4,10,3,75,437,234,237,285,308,298,244,144,72,2248
UCL215006,412,195,184,248,294,318,261,173,47,2131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,8,12,7,9,8,9,15,12,0,80,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,10,11,7,12,21,16,5,100,8,12,10,11,7,12,21,16,5,100,415,208,193,256,302,334,284,194,48,2235
UCL215007,1291,557,622,801,556,417,306,162,94,4808,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,23,18,14,12,9,7,7,11,9,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,22,12,14,9,13,8,9,9,123,20,22,12,14,9,13,8,9,10,122,1312,577,640,813,564,422,313,168,100,4927
UCL215008,500,166,206,270,272,168,77,26,5,1691,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,8,7,8,5,5,0,0,3,0,0,22,3,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,5,4,0,0,3,3,0,37,7,9,5,4,0,0,3,3,0,42,509,180,211,275,269,168,82,27,5,1731
UCL215009,119,63,71,62,92,139,149,64,13,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,3,3,3,12,4,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,6,6,5,10,4,0,39,3,4,4,6,9,5,10,4,0,39,124,72,71,72,101,146,157,69,13,819
UCL215010,488,257,153,308,309,271,176,79,33,2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,7,3,4,4,3,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,7,5,6,4,3,3,42,4,7,6,7,5,6,4,3,3,42,498,267,160,310,310,279,174,80,34,2114
UCL215011,142,58,75,76,113,164,187,114,61,1000,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,12,6,6,10,3,14,4,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,7,13,10,8,14,4,0,77,9,12,7,13,10,8,18,4,0,77,153,75,89,87,121,168,202,114,62,1078
UCL215012,459,190,181,322,365,449,389,240,98,2696,3,0,0,0,0,0,0,0,0,5,0,3,0,0,3,10,0,0,0,19,5,15,12,19,24,20,19,13,0,121,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,14,21,19,29,28,24,13,0,155,9,14,23,19,29,31,22,13,0,164,465,207,202,344,396,478,410,250,95,2861
UCL215013,547,166,386,313,206,122,64,15,4,1822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,3,0,9,10,3,0,0,37,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,10,10,3,0,0,43,5,11,0,0,10,10,3,0,0,43,555,170,385,315,215,133,72,15,3,1861
UCL215014,220,135,154,168,198,142,100,43,5,1159,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,8,8,4,4,3,3,0,0,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,4,4,3,3,3,0,3,41,8,14,4,4,3,5,3,0,3,47,231,145,160,170,199,149,100,38,6,1206
UCL215015,352,167,158,232,271,296,341,164,81,2064,0,0,0,0,0,0,0,0,0,3,9,3,6,6,6,3,6,0,0,35,45,33,21,41,32,22,24,10,7,242,11,3,7,11,3,6,5,0,0,59,3,3,3,0,0,10,3,4,0,32,0,0,3,0,3,0,0,0,0,7,0,0,0,0,0,3,0,0,0,6,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,40,47,61,50,50,41,20,7,380,69,40,45,61,50,50,40,20,7,382,425,207,205,294,322,346,386,182,85,2449
UCL215016,745,450,493,400,523,476,316,157,53,3614,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,25,19,5,8,9,4,0,0,82,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,25,19,6,14,11,10,0,0,100,12,25,19,6,14,11,10,0,0,100,764,479,510,408,538,486,323,158,57,3719
UCL215017,414,240,178,225,272,222,190,83,55,1877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,6,3,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,7,6,3,3,0,0,37,0,11,9,7,6,3,5,0,0,34,412,246,188,228,275,226,191,88,55,1918
UCL215018,479,239,240,281,341,384,407,274,116,2766,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,9,23,15,12,11,17,10,4,4,114,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23,17,12,15,21,10,4,4,118,11,21,17,12,15,21,10,4,4,123,496,264,256,288,356,404,415,282,121,2890
