UCL_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL214013,0,20,186,1022,419,48,5,45,1751,0,14,50,11,0,0,0,3,78,0,0,5,0,0,0,0,0,4,0,17,50,11,0,0,0,3,84,0,23,105,22,4,0,0,8,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,105,22,4,0,0,8,151,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,60,346,1060,420,48,7,57,1991
UCL214014,3,42,510,1673,431,45,14,95,2821,3,56,182,33,6,0,0,17,293,0,0,0,0,0,0,0,0,0,3,56,182,31,6,0,0,17,292,0,17,13,4,0,0,0,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,4,0,0,0,7,45,7,19,14,3,0,0,0,4,48,0,0,4,9,0,0,0,0,13,13,139,728,1719,441,47,17,119,3215
UCL214015,0,17,402,1463,576,75,19,75,2628,0,20,55,36,0,0,0,3,114,0,0,14,37,5,0,0,0,59,0,25,67,77,11,0,0,3,178,3,4,54,37,3,3,0,7,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,54,37,3,3,0,7,110,0,0,3,0,0,0,0,0,7,0,0,0,5,3,0,0,4,17,5,47,526,1584,588,77,19,90,2940
UCL214016,6,16,265,1263,354,48,10,63,2024,0,12,9,4,0,0,0,4,27,0,0,3,0,0,0,0,0,3,0,12,8,4,0,0,0,4,34,0,51,141,8,0,0,0,11,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,141,8,0,0,0,11,215,3,12,8,0,0,0,0,0,23,0,0,0,4,0,0,0,0,8,13,92,420,1279,357,48,10,77,2290
UCL214017,3,28,313,1213,384,44,29,47,2053,0,27,13,7,0,0,0,3,49,0,0,0,0,0,0,0,0,0,0,27,13,7,0,0,0,3,49,0,33,95,8,3,0,0,6,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,95,8,3,0,0,6,147,0,4,0,3,0,0,0,0,9,0,0,3,11,0,0,0,0,16,3,88,426,1235,386,46,31,62,2289
UCL214018,3,8,82,1085,1094,154,19,51,2491,0,4,45,66,3,0,0,4,132,0,0,6,3,0,0,0,0,10,0,4,48,71,3,0,0,4,138,0,0,13,28,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,13,147,1188,1093,149,19,56,2672
UCL214019,8,54,612,1583,549,74,17,87,2986,0,80,39,12,0,0,0,5,144,0,0,0,0,0,0,0,0,0,0,80,43,12,0,0,0,5,142,3,14,7,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,7,3,0,0,0,0,30,3,19,63,3,0,0,0,7,91,0,0,0,0,3,0,0,4,11,17,173,724,1605,553,74,17,112,3262
UCL214020,3,22,282,1443,640,86,7,78,2557,0,12,51,11,3,0,0,0,78,0,0,12,7,0,0,0,0,19,0,12,59,19,7,0,0,0,100,0,23,123,19,0,0,0,19,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,23,121,19,0,0,0,19,191,0,0,0,0,3,0,0,0,4,8,12,26,7,3,0,0,4,61,9,68,496,1495,654,85,7,100,2914
UCL215001,0,8,61,211,104,13,7,12,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,72,216,109,13,7,12,431
UCL215002,0,8,122,491,162,13,3,35,837,0,7,55,12,3,0,0,17,99,0,0,0,0,0,0,0,0,0,0,7,55,12,3,0,0,17,98,0,0,17,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,17,0,9,9,4,3,0,0,15,45,0,0,0,0,0,0,0,0,0,0,25,214,515,163,13,3,63,1000
UCL215003,3,6,95,515,227,32,8,20,908,0,0,13,3,0,0,0,0,15,0,0,0,3,0,0,0,0,9,0,0,12,4,3,0,0,0,27,0,17,14,3,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,3,0,0,0,0,37,0,3,3,0,0,0,0,0,11,0,0,0,3,0,0,0,0,3,3,26,128,529,229,36,8,23,984
UCL215004,0,22,77,222,73,18,4,9,433,0,18,9,3,0,0,0,0,33,0,0,3,9,0,0,0,0,17,0,19,14,16,3,0,0,0,50,0,0,14,12,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,0,0,0,0,27,0,7,5,3,0,0,0,0,16,0,0,0,0,0,0,0,0,3,4,44,107,253,78,16,6,10,526
UCL215005,0,5,87,427,217,22,3,18,781,0,9,9,5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,9,9,5,0,0,0,0,17,0,0,32,10,0,0,0,7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,10,0,0,0,7,49,0,0,3,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,3,13,128,442,217,22,4,31,863
UCL215006,0,14,107,418,241,26,4,15,833,0,0,0,3,0,0,0,0,4,0,0,0,3,0,0,0,0,3,0,0,3,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,104,430,241,26,4,21,842
UCL215007,0,8,90,591,749,64,10,24,1538,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,96,593,750,64,10,25,1552
UCL215008,0,0,15,217,273,27,3,6,547,0,0,7,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,219,273,27,3,6,556
UCL215009,0,3,46,215,64,5,0,8,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,8,0,7,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,15,51,220,68,6,0,9,373
UCL215010,0,3,16,228,280,65,14,8,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,3,19,231,289,65,14,13,632
UCL215011,3,7,88,275,55,9,0,16,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,4,16,0,3,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,3,3,15,100,275,55,9,0,18,482
UCL215012,0,21,159,582,233,24,10,21,1043,0,0,25,15,7,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,25,15,7,0,0,0,48,0,14,30,16,0,0,0,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,30,16,0,0,0,5,70,0,3,3,3,0,0,0,0,11,0,0,3,3,4,0,0,4,13,0,39,222,613,242,24,10,30,1176
UCL215013,0,0,12,142,330,32,7,7,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,142,329,32,7,7,529
UCL215014,0,0,24,243,118,24,0,11,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,243,123,24,0,11,423
UCL215015,3,13,112,440,159,32,8,25,782,0,18,29,3,0,0,0,4,53,0,0,0,0,0,0,0,0,3,0,18,27,6,0,0,0,4,53,0,0,43,13,3,0,0,3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,13,3,0,0,3,63,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,4,4,24,185,461,169,32,8,32,912
UCL215016,0,14,134,699,363,62,6,19,1298,0,10,7,13,0,0,0,3,34,0,0,0,0,0,0,0,0,0,0,10,7,12,0,0,0,3,36,0,13,35,9,0,0,0,3,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,35,9,0,0,0,3,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,31,178,725,363,62,9,25,1400
UCL215017,0,6,30,269,196,30,0,9,548,0,0,37,24,3,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,37,24,3,0,0,0,60,0,3,19,0,0,0,0,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,86,302,201,30,4,11,643
UCL215018,0,16,178,623,219,24,5,34,1100,0,22,38,4,0,0,0,5,73,0,0,0,3,0,0,0,0,5,0,22,41,9,0,0,0,5,79,0,0,17,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,26,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,40,237,640,224,24,5,43,1207
UCL215019,3,13,90,343,148,18,4,17,630,0,0,0,3,0,0,0,0,7,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,8,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,13,89,355,150,18,4,17,646
UCL215020,3,10,124,327,72,11,0,18,573,3,3,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,8,3,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,20,129,330,72,11,0,25,593
UCL215021,0,6,53,248,98,10,3,15,431,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,3,19,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,22,0,15,3,0,0,0,0,0,21,0,0,3,3,3,0,0,0,9,0,20,80,252,97,15,4,15,485
UCL215022,0,3,42,1195,267,33,9,40,1590,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,9,0,0,0,0,9,0,15,16,9,0,0,0,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,9,0,0,0,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,25,0,22,65,1214,265,37,12,61,1666
UCL215023,3,4,76,327,124,3,3,16,554,0,14,4,3,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0,14,4,3,0,0,0,3,26,0,0,18,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,21,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,4,8,3,20,99,333,123,3,4,26,609
UCL215024,0,4,117,466,129,12,0,17,753,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,16,11,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,0,0,0,0,0,31,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,25,137,467,129,12,0,22,794
UCL215025,0,10,81,271,67,4,0,16,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,84,271,67,4,3,16,470
UCL215026,4,15,187,838,455,55,7,40,1608,0,33,150,49,0,0,0,20,249,0,0,8,34,7,0,0,3,43,0,33,156,77,4,0,0,23,296,0,10,40,15,0,0,0,0,74,0,9,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,46,17,0,0,0,4,83,0,0,3,0,0,0,0,0,6,0,0,4,4,3,0,0,0,15,6,72,393,944,463,55,13,66,2008
UCL215027,0,18,121,414,113,20,5,20,714,0,21,10,0,0,0,0,35,64,0,0,0,0,0,0,0,0,0,0,21,15,0,0,0,0,35,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,135,53,3,0,3,239,4,4,3,19,3,0,0,0,33,3,42,176,569,170,27,8,58,1051
UCL215028,0,53,413,653,187,25,7,44,1384,3,17,14,7,0,0,0,0,39,0,0,4,4,0,0,0,0,7,3,15,18,7,0,0,0,0,49,0,18,4,0,0,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,3,30,0,3,4,0,3,0,0,0,7,0,0,4,11,0,0,0,0,17,4,95,443,670,188,25,11,52,1488
UCL215029,0,3,46,478,217,13,5,17,778,0,0,0,9,0,0,0,0,9,0,0,0,4,0,0,0,0,4,0,0,0,8,0,0,0,0,8,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,54,487,215,13,5,17,792
UCL215030,0,11,119,327,79,8,3,15,562,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,11,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,9,0,26,125,329,81,12,3,17,595
UCL215031,0,4,77,303,89,12,3,19,501,0,11,7,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,11,7,3,0,0,0,0,16,0,10,9,0,0,0,0,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,8,21,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,24,90,309,89,12,3,25,554
UCL215032,3,15,197,652,182,17,3,30,1106,0,43,35,0,0,0,0,10,92,0,0,0,0,0,0,0,0,0,0,43,37,0,0,0,0,10,90,0,13,23,5,4,0,0,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,5,4,0,0,3,49,4,3,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,3,9,72,260,667,185,17,5,44,1255
UCL215033,0,0,9,209,490,51,5,9,772,0,0,0,40,7,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,40,7,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,244,495,53,5,13,816
UCL215034,0,5,85,270,59,10,3,10,434,0,3,27,0,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0,3,31,0,16,11,0,0,0,0,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,0,0,0,0,3,40,4,7,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,3,4,35,127,269,59,10,3,18,523
UCL215035,0,4,52,168,131,26,3,9,402,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,64,174,134,26,3,13,418
UCL215036,0,3,41,168,121,23,7,8,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44,168,121,23,7,8,365
UCL215037,0,19,179,374,105,6,5,41,726,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,14,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,15,4,7,3,0,0,0,0,3,23,0,3,0,0,0,0,0,0,5,5,32,198,384,105,6,5,45,769
UCL215038,0,4,134,326,112,9,0,12,598,0,5,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,14,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,142,331,112,9,0,18,615
UCL215039,0,5,77,305,77,7,0,14,486,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,19,3,0,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,3,0,0,0,3,34,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,3,3,14,103,309,77,7,0,15,529
UCL215040,4,18,218,749,291,41,17,40,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,4,0,0,0,4,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,4,0,0,0,4,57,0,6,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,32,266,755,291,41,18,47,1461
UCL215041,0,5,117,361,247,20,3,11,771,0,20,3,0,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,115,367,247,20,3,18,797
UCL215042,0,7,70,316,139,10,3,17,565,0,4,6,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,12,80,315,141,9,3,17,587
UCL215043,0,14,182,727,273,42,4,25,1270,0,21,69,16,0,0,0,6,107,0,0,0,0,0,0,0,0,0,0,21,65,16,0,0,0,6,113,0,0,8,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,20,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,35,260,749,272,40,4,37,1408
UCL215044,0,23,220,883,349,48,14,36,1579,0,33,97,22,0,0,0,6,156,0,0,0,0,0,0,0,0,0,0,33,96,22,0,0,0,6,155,0,3,57,7,0,0,0,3,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,7,0,0,0,3,71,0,5,8,9,0,0,3,0,27,0,0,0,0,0,0,0,0,4,3,67,386,918,350,48,17,45,1832
UCL215045,0,12,57,292,149,17,3,8,529,0,9,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,21,60,296,151,17,3,14,556
