UCL_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
UCL215067,14,0,38,8,0,0,0,6,0,73,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,3,0,10,3,7,0,3,0,0,0,10,0,21,150,273,130,101,63,34,23,61,14,846
UCL215068,8,0,11,3,3,3,0,3,0,37,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,3,3,4,0,3,6,8,9,35,63,112,94,74,50,39,42,79,12,562
UCL215069,4,3,18,5,11,5,0,12,0,56,0,0,0,0,0,0,0,0,0,0,7,4,5,0,4,0,0,0,0,23,3,3,3,0,7,0,0,3,0,23,136,297,233,153,143,46,44,55,12,1120
UCL215070,4,0,4,0,0,3,0,3,0,17,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,12,27,40,67,31,45,25,15,17,60,18,309
UCL215071,5,0,13,8,4,7,0,6,0,40,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,9,5,0,8,4,0,0,5,3,3,31,75,118,100,79,50,32,31,46,10,553
UCL215072,3,0,22,6,10,7,3,5,0,62,0,0,0,0,0,0,0,0,0,0,6,3,0,6,4,0,3,0,0,23,3,0,12,8,0,5,5,13,8,53,133,239,266,157,132,75,75,79,12,1170
UCL215073,3,0,10,3,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,3,3,15,34,54,83,55,23,28,24,22,7,335
UCL215074,12,0,23,5,5,5,3,9,0,63,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,0,0,0,3,3,5,7,3,3,26,83,127,115,71,66,32,30,55,4,581
UCL215075,3,0,16,5,0,6,0,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,11,49,87,65,46,36,14,9,26,5,339
UCL215076,6,0,13,5,8,3,7,4,0,47,0,0,0,0,0,0,0,0,0,0,3,4,4,0,4,0,0,3,0,12,4,3,12,4,0,0,3,3,5,33,56,95,173,84,79,27,37,58,15,630
UCL215077,11,0,15,6,3,0,3,8,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,0,0,0,0,4,3,22,76,88,75,67,30,18,17,54,10,433
UCL215078,4,0,8,7,3,3,6,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,10,3,0,3,0,3,0,21,61,77,127,77,58,19,41,31,6,492
UCL215079,9,0,26,13,4,9,4,9,3,75,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,11,8,3,8,4,4,8,7,10,6,54,132,260,194,126,118,51,42,110,23,1037
UCL215080,3,0,16,0,0,3,0,3,0,29,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,5,3,0,3,4,3,9,25,40,87,97,77,36,32,26,31,13,441
UCL215081,3,0,7,0,0,4,3,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,3,0,3,3,0,3,6,8,0,19,26,40,53,31,21,24,24,55,3,288
UCL215082,0,0,4,3,5,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,8,37,53,80,32,43,14,23,19,3,304
UCL215083,5,5,23,13,8,5,0,3,0,66,0,0,0,0,0,0,0,0,0,5,5,3,0,3,0,0,0,0,0,14,6,0,7,8,9,3,9,4,0,45,114,239,223,121,119,48,57,55,19,981
UCL215084,3,0,9,4,3,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,3,0,4,3,0,0,3,0,0,17,75,92,147,59,43,22,47,24,5,520
UCL215085,11,0,6,7,3,4,5,0,0,33,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,15,4,4,5,6,0,3,3,5,3,41,66,131,95,75,38,32,30,37,11,509
UCL215086,4,0,6,5,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,0,3,4,0,0,0,6,0,23,60,120,97,108,35,27,23,33,7,507
UCL215087,10,3,21,10,11,9,0,3,0,62,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,12,0,0,13,12,5,9,10,11,0,55,114,205,283,143,102,72,57,56,14,1050
UCL215088,0,0,8,0,0,9,0,9,0,21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13,0,0,4,0,0,0,0,4,0,13,43,68,69,59,32,33,27,36,4,369
UCL215089,3,3,3,4,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,9,0,3,3,4,3,0,0,0,0,11,132,157,109,54,81,31,7,13,8,588
UCL215090,11,0,11,10,4,10,0,3,0,54,0,0,0,0,0,0,0,0,0,3,8,4,5,3,3,0,0,0,0,24,0,8,4,4,4,0,0,7,5,32,179,465,163,154,97,68,27,45,17,1214
UCL215091,10,0,40,10,13,18,4,6,0,104,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,11,0,6,14,9,3,9,3,5,3,49,108,175,371,197,121,93,75,109,17,1264
UCL215092,3,0,4,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,20,32,71,47,20,19,15,21,0,252
UCL215093,3,0,22,9,11,4,3,7,0,63,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,14,0,4,9,0,3,3,0,0,4,17,91,155,181,75,80,54,30,42,14,721
UCL215094,5,0,27,14,12,3,4,10,0,65,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,10,5,3,8,4,3,3,4,4,4,42,92,111,193,127,75,39,45,71,18,771
UCL215095,3,0,10,4,3,0,0,3,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,3,0,14,24,63,62,51,47,15,23,28,0,311
UCL215096,3,0,7,0,0,3,0,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,6,43,72,62,48,20,25,19,37,6,320
UCL215097,0,0,9,0,0,3,0,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,0,0,4,0,4,19,24,75,55,37,15,10,20,19,9,262
UCL221001,3,0,13,6,0,6,0,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,24,42,62,30,26,13,13,25,3,232
UCL221002,0,0,9,3,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,5,0,0,0,3,0,3,3,19,42,56,47,20,21,8,11,38,8,244
UCL221003,0,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,27,36,28,30,14,8,11,25,4,183
UCL221004,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,5,12,35,36,27,26,12,15,17,3,175
UCL221005,0,0,3,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,3,0,15,44,64,59,13,33,17,7,19,4,266
UCL221006,3,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,38,48,29,14,18,9,10,6,0,177
UCL221007,0,0,11,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,11,25,41,36,18,19,8,10,12,0,169
UCL221008,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,12,6,35,27,24,14,8,11,18,7,150
UCL221009,3,0,7,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,3,10,36,44,18,21,11,7,12,13,4,155
UCL221010,0,0,10,6,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,3,11,48,63,23,18,5,3,12,4,179
UCL221011,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,5,3,0,13,13,28,29,24,13,6,5,10,0,132
UCL221012,3,0,4,5,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,60,47,17,19,6,4,9,0,194
UCL221013,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,33,41,30,20,17,3,4,3,3,150
UCL221014,0,0,7,4,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,7,17,27,49,22,19,15,12,20,5,188
UCL221015,4,0,7,0,3,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,26,72,48,35,12,22,3,10,0,230
UCL221016,5,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,22,36,28,25,27,8,10,14,0,174
UCL221017,3,0,6,0,0,3,0,7,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,5,0,9,28,34,46,20,20,16,14,25,0,206
UCL221018,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,3,0,3,4,0,0,12,27,50,32,29,23,16,10,18,3,211
UCL221019,4,0,13,3,0,0,0,3,0,28,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,6,0,0,3,3,4,0,3,5,0,18,40,82,65,43,31,26,9,37,3,334
UCL221020,0,0,8,3,4,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,14,18,21,47,32,16,17,11,16,3,177
UCL221021,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,3,3,0,15,11,32,41,15,9,14,13,19,0,155
UCL221022,3,3,7,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,0,5,11,23,32,23,12,9,12,17,3,136
UCL221023,0,0,9,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,9,36,40,39,24,12,4,0,6,4,164
UCL221024,0,0,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,5,6,15,18,16,7,8,3,9,0,70
UCL221025,0,0,3,0,6,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,6,32,57,25,32,25,16,8,11,4,211
UCL221026,3,0,3,4,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,33,51,61,31,26,10,15,17,5,250
UCL221027,0,0,3,0,3,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,21,38,20,18,21,9,13,10,0,143
UCL221028,3,0,9,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,8,15,21,36,40,10,7,3,17,0,152
UCL221029,0,0,7,3,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,15,29,28,10,15,9,7,8,0,128
UCL221030,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,10,43,63,23,11,6,12,3,20,3,193
UCL221031,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,11,24,39,48,30,27,11,18,22,3,220
UCL221032,0,0,5,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,10,25,22,28,32,20,19,10,18,5,186
UCL221033,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,3,3,3,0,11,27,44,38,15,30,14,14,21,6,200
UCL221034,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,10,19,41,29,19,11,4,13,15,0,154
UCL221035,4,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,15,31,12,25,3,3,9,11,0,116
UCL221036,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,32,37,55,18,42,13,17,10,4,224
UCL221037,0,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,0,8,13,19,18,29,10,4,10,19,3,121
UCL221038,0,0,11,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,0,9,40,56,53,27,22,10,13,25,4,253
UCL221039,0,0,6,0,0,0,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,29,46,23,17,12,8,5,15,0,162
UCL221040,0,0,6,4,0,0,3,4,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,9,0,3,3,0,4,0,25,47,67,95,61,35,18,25,30,3,372
UCL221041,0,0,6,3,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,3,0,0,3,0,0,16,28,52,79,41,26,10,17,20,0,261
UCL221042,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,7,33,47,42,34,13,8,8,12,6,197
UCL221043,0,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,15,40,27,23,16,13,4,10,0,147
UCL221044,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,31,47,25,21,6,15,19,0,175
UCL221045,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,5,10,10,16,15,3,7,3,8,4,78
UCL221046,8,0,4,3,0,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,3,0,7,35,46,47,31,15,20,3,19,3,217
UCL221047,0,0,7,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,3,0,0,3,3,0,4,0,3,0,17,31,65,41,31,16,6,13,20,0,230
UCL221048,0,0,11,6,3,3,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,3,0,0,0,3,4,3,0,0,15,26,63,68,52,33,22,15,28,3,296
UCL221049,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,35,38,53,13,21,13,7,11,3,198
UCL221050,3,0,5,7,3,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,3,0,0,0,14,46,82,50,43,36,29,11,23,4,319
UCL221051,0,0,3,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,35,74,56,20,29,19,10,11,0,255
UCL221052,0,0,3,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,7,17,37,32,19,22,11,8,18,3,169
UCL221053,0,0,0,6,3,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,0,10,23,37,25,31,11,7,9,8,4,159
UCL221054,0,0,4,3,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,3,0,0,3,17,17,27,55,22,25,12,14,12,6,185
UCL221055,0,0,3,3,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,11,27,59,35,30,25,3,15,21,3,224
UCL221056,0,0,5,3,0,0,0,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,13,29,28,28,11,10,10,16,0,139
UCL221057,0,0,3,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,22,34,39,27,13,9,5,15,0,154
UCL221058,0,0,11,3,4,6,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,19,11,53,19,15,12,27,12,3,182
UCL221059,3,0,9,4,0,0,0,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,12,39,39,48,27,18,11,7,19,0,211
UCL221060,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,25,17,15,13,6,3,3,0,92
UCL221061,0,0,3,3,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,4,0,0,6,0,3,17,8,13,37,31,21,7,22,15,9,165
UCL221062,0,0,6,0,0,3,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,26,32,33,23,15,6,7,15,3,160
UCL221063,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,13,28,23,13,5,7,7,4,0,105
UCL221064,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,32,58,28,30,12,14,17,0,228
UCL221065,0,0,0,3,0,3,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,3,0,4,12,30,26,27,27,20,9,19,3,170
UCL221066,4,0,4,3,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,6,10,12,17,21,6,9,9,18,3,108
UCL221067,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,5,22,60,52,38,15,17,7,20,3,235
UCL221068,3,0,4,0,0,0,3,3,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,14,28,56,53,37,25,12,18,25,3,253
UCL221069,9,0,14,5,3,4,5,0,0,37,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,11,3,7,3,0,0,0,3,3,6,27,67,129,129,72,47,25,29,43,11,557
UCL221070,0,0,5,0,0,0,3,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,22,44,38,20,16,9,14,24,0,186
UCL221071,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,9,18,50,45,13,20,5,9,7,3,182
UCL221072,0,3,7,0,4,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,5,9,24,60,26,24,17,12,10,18,12,202
UCL221073,0,0,3,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,40,46,37,23,16,14,4,8,3,188
UCL221074,3,0,5,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3,20,34,33,25,6,9,4,14,0,149
UCL221075,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,17,43,26,25,15,3,3,15,4,144
UCL221076,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,10,24,47,13,19,5,12,19,4,152
UCL221077,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,13,25,11,12,12,15,3,4,9,0,97
UCL221078,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,16,36,30,18,13,9,5,14,3,145
UCL221079,0,0,4,5,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,13,31,67,57,38,28,10,12,22,3,264
UCL221080,0,0,4,4,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,26,23,10,6,10,6,7,0,105
UCL221081,3,0,5,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,3,0,0,0,0,0,0,16,50,128,48,39,32,11,12,13,3,330
UCL221082,0,0,4,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,28,55,30,18,9,19,9,4,184
UCL222001,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,13,41,22,10,13,4,0,0,4,105
UCL222002,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,28,48,21,10,15,3,0,5,3,134
UCL222003,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,15,15,13,10,5,3,5,3,81
UCL222004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,3,0,0,0,0,0,0,14
UCL222005,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,9,10,13,0,4,4,7,0,54
UCL222006,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,11,13,30,30,17,23,5,3,4,3,135
UCL222007,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,16,14,6,9,3,3,4,3,63
UCL222008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,27,14,12,10,3,3,3,0,88
UCL222009,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,12,9,15,5,4,3,4,0,68
UCL222010,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,15,21,29,8,9,6,4,6,4,98
UCL222011,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,19,18,10,4,5,11,0,113
