UCL_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
UCL222080,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,9,0,3,4,6,0,0,0,0,0,14,6,7,3,0,4,0,0,3,0,22,0,3,3,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,10,16,5,0,7,9,0,75
UCL222081,0,0,0,0,0,0,0,0,0,6,0,3,4,0,0,0,0,0,0,8,5,7,3,3,0,0,0,0,0,21,5,4,0,4,0,0,0,3,0,29,3,7,4,3,0,3,0,11,0,37,8,5,3,0,8,0,0,10,0,29,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,23,20,15,7,4,4,22,3,135
UCL222082,0,0,0,0,0,0,0,3,0,7,0,0,0,3,0,0,0,3,0,5,0,0,5,0,0,0,0,0,0,3,0,4,3,3,5,0,3,3,0,21,3,0,11,4,3,3,3,3,0,28,4,0,3,0,0,0,3,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,15,9,13,3,16,17,0,86
UCL222083,0,0,4,0,0,3,0,0,0,6,0,0,4,3,4,0,0,3,0,12,4,0,8,0,0,0,8,3,0,22,0,3,12,3,10,3,8,3,0,41,5,4,8,8,10,3,8,10,4,54,0,6,3,7,3,3,11,0,0,25,6,0,0,3,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,43,22,23,14,26,24,3,183
UCL222084,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,13,4,3,5,0,0,0,3,11,0,27,8,4,8,4,0,0,0,10,0,33,9,3,3,3,3,5,4,7,0,29,8,0,0,5,3,0,13,4,0,37,3,0,0,3,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,30,14,19,17,9,4,14,35,3,152
UCL222085,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,5,0,3,0,3,0,0,4,0,17,3,0,0,0,0,0,0,7,0,14,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,4,3,6,0,6,18,0,54
UCL222086,0,0,0,3,0,0,0,0,0,6,0,0,6,3,0,0,0,3,0,11,4,5,0,3,3,0,0,3,0,18,13,5,0,9,0,3,5,3,0,39,12,6,0,0,5,0,6,0,0,30,9,5,3,3,3,6,4,9,0,45,4,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,40,31,15,24,12,12,16,19,3,161
UCL222087,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,5,3,0,0,0,0,8,4,0,0,7,4,0,3,3,0,25,5,0,6,4,4,0,0,3,0,24,0,5,0,5,0,0,0,3,0,16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,15,21,5,8,9,11,3,80
UCL222088,0,0,0,0,0,0,0,0,0,3,0,3,3,7,0,0,0,4,0,17,3,3,0,0,0,3,0,0,0,12,8,15,0,4,3,3,0,3,0,37,9,19,9,7,8,3,3,3,0,61,0,20,3,5,6,0,3,8,0,53,0,4,0,0,3,4,0,0,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,24,65,23,28,29,12,8,21,0,206
UCL222089,0,0,3,0,0,0,0,3,0,7,0,0,3,0,0,0,0,0,0,5,3,4,7,3,3,3,0,0,0,21,4,5,7,5,3,4,0,0,0,32,4,3,8,11,6,7,3,4,0,45,11,9,10,8,7,11,4,6,0,64,0,6,4,0,0,3,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,41,33,25,31,9,23,5,197
UCL222090,0,0,0,0,0,0,0,7,0,6,3,3,3,0,0,0,0,3,0,13,5,4,5,0,3,0,0,0,0,16,3,7,0,0,0,0,0,4,0,19,8,5,0,8,3,3,0,0,0,28,4,3,0,3,0,3,3,6,0,24,0,0,3,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,21,18,16,15,5,5,5,17,3,116
