UCL_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL215014,9,13,14,38,46,83,0,3,3,0,3,3,39,50,89,33,33,65,3,3,4,0,3,7,34,44,83,0,3,0,0,0,0,4,0,3,0,8,8,0,0,0,10,15,23,0,11,6,0,0,3,0,3,3,3,13,11,0,0,3,8,25,25,0,0,0,0,3,3,0,0,0,0,3,3,37,29,67,134,174,307
UCL215015,15,18,33,97,61,160,0,0,0,0,0,6,97,65,165,44,48,88,3,3,6,8,9,19,56,62,116,0,7,7,0,3,5,3,0,3,0,7,7,0,0,0,4,10,17,3,3,3,0,6,9,0,0,0,3,3,6,0,0,0,8,14,21,0,0,0,3,6,11,0,0,0,3,6,9,128,135,261,314,309,621
UCL215016,29,37,66,130,141,268,12,14,30,4,5,8,140,161,305,115,98,216,12,15,27,4,3,3,135,111,245,11,7,17,5,3,3,6,15,22,6,10,21,0,0,0,28,33,63,8,18,28,3,11,12,3,5,10,11,19,34,0,0,0,23,58,80,0,3,3,11,12,28,0,0,0,15,17,29,127,152,278,493,575,1065
UCL215017,18,11,29,53,46,99,39,41,84,6,10,22,105,100,204,39,37,81,22,22,46,8,15,22,67,79,146,3,3,12,0,0,0,10,3,14,0,6,10,0,0,0,13,16,30,9,19,29,3,3,9,0,3,3,0,7,11,0,0,0,12,37,48,0,0,3,3,7,7,0,0,0,0,12,14,73,87,158,286,336,626
UCL215018,23,21,42,47,38,87,64,68,134,0,0,3,115,109,221,43,33,78,33,42,72,0,4,4,81,80,154,4,3,11,0,0,0,0,5,9,6,4,9,0,0,0,13,12,31,4,12,18,0,3,4,0,0,0,8,8,20,0,0,0,13,28,39,8,3,7,3,5,5,0,0,0,10,8,17,129,143,277,382,397,779
UCL215019,18,15,29,43,51,97,0,0,0,30,22,47,77,75,147,28,32,61,0,0,0,31,35,63,57,66,119,0,0,0,0,3,8,7,0,5,7,7,10,0,0,0,11,15,24,0,5,5,0,9,9,0,0,0,4,10,15,0,0,0,6,20,27,0,0,0,3,4,5,0,0,0,4,4,5,42,47,96,215,241,452
UCL215020,6,11,14,29,28,63,10,5,17,0,0,0,39,39,72,28,34,61,3,7,7,0,0,0,29,38,66,0,0,0,0,0,0,3,0,5,0,0,4,0,0,0,5,5,9,3,0,5,0,0,3,0,0,0,3,0,4,0,0,0,3,4,16,0,3,4,0,3,6,0,0,0,3,4,11,55,67,118,139,164,306
UCL215021,10,12,14,33,32,59,12,20,32,4,7,10,44,56,102,28,33,56,8,9,16,3,3,11,39,47,83,0,0,0,0,3,3,3,6,6,3,8,11,0,0,0,13,13,20,0,0,0,0,3,3,0,0,3,0,4,6,0,0,0,3,10,9,0,0,0,0,4,5,0,0,0,3,4,3,56,66,117,157,201,365
UCL215022,26,30,63,115,122,240,32,37,75,5,0,9,157,164,322,97,112,214,11,9,22,7,11,12,115,132,253,8,13,22,7,13,18,12,16,26,11,16,26,0,0,0,35,53,89,86,97,179,43,36,77,0,14,16,13,26,40,0,0,0,138,171,309,4,8,14,8,19,27,0,0,0,9,28,40,251,254,506,739,833,1569
UCL215023,11,15,24,53,36,89,15,9,22,0,0,3,65,47,115,41,29,71,11,16,27,0,0,0,56,40,97,0,3,3,0,0,0,8,3,13,0,8,3,0,0,0,7,14,24,3,5,8,0,4,4,0,0,0,3,0,3,0,0,0,3,10,19,0,0,0,0,3,3,0,0,0,0,3,3,54,66,123,208,203,407
UCL215024,10,19,28,35,33,72,18,21,45,0,3,3,58,59,120,39,37,82,0,0,0,0,0,0,43,42,83,0,0,0,0,0,0,5,0,5,0,7,6,0,0,0,7,9,13,3,3,10,0,4,4,0,0,0,0,3,3,0,0,0,3,6,12,0,0,0,0,0,3,0,0,0,0,3,5,75,83,159,198,215,417
UCL215025,3,5,11,30,21,50,23,11,26,0,0,0,49,30,77,19,30,55,0,0,0,0,0,0,19,30,55,3,0,3,0,0,0,0,0,3,0,3,9,0,0,0,3,6,15,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,3,6,10,0,0,0,3,5,4,0,0,0,3,3,6,77,73,145,160,163,318
UCL215026,28,34,61,148,128,274,3,4,3,23,22,44,175,147,320,59,67,126,9,0,10,42,56,102,102,121,227,8,6,9,0,3,4,5,11,11,5,14,23,0,0,0,19,36,57,3,10,15,4,9,19,0,0,3,7,24,30,0,0,0,17,50,66,6,5,8,5,17,18,0,0,0,9,21,28,200,199,403,557,609,1162
UCL215027,15,17,37,69,79,145,17,27,46,3,3,5,89,112,195,38,45,82,14,15,32,3,6,6,49,67,124,3,0,5,0,0,0,0,3,3,4,5,13,0,0,0,11,9,20,5,11,14,11,18,28,4,3,11,3,18,24,0,0,0,29,50,75,4,6,13,4,4,7,0,0,0,5,8,17,133,155,287,334,420,752
UCL215028,29,26,54,63,75,147,20,25,43,15,11,28,104,111,213,60,55,114,8,9,19,10,0,10,80,63,149,7,0,5,0,3,5,4,8,13,12,8,25,0,0,0,22,22,44,6,9,16,0,14,13,0,0,4,0,33,31,0,0,0,12,57,67,0,4,4,9,12,19,0,0,0,9,19,25,115,140,261,375,434,810
UCL215029,20,21,40,56,63,121,6,11,11,0,3,3,64,75,137,56,30,86,8,6,13,3,0,4,68,37,107,3,0,6,3,0,3,5,3,7,3,7,17,0,0,0,16,13,34,11,24,37,0,8,9,0,5,11,3,13,17,0,0,0,25,48,73,0,0,0,7,11,20,0,0,0,7,11,20,74,86,159,268,299,571
UCL215030,3,8,10,42,37,82,0,4,4,3,10,14,45,49,98,44,48,93,0,0,4,0,0,0,49,44,94,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,3,9,3,6,6,3,0,3,0,0,3,0,6,4,0,0,0,9,13,22,0,0,0,0,6,7,0,0,0,0,3,10,68,96,168,173,220,397
UCL215031,11,5,16,48,29,72,15,14,26,0,0,0,64,42,102,43,39,80,0,0,0,0,0,0,44,39,80,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,5,3,5,4,0,0,0,0,0,0,3,3,9,0,0,0,3,9,12,0,0,0,0,0,0,0,0,0,0,0,0,92,88,178,211,183,392
UCL215032,16,18,33,67,53,116,43,48,91,0,3,3,109,106,213,66,41,110,6,13,19,7,3,14,85,56,139,0,5,10,0,0,3,3,11,16,8,11,18,0,0,0,14,31,45,3,4,7,0,3,8,3,0,3,3,10,17,0,0,0,13,24,30,5,3,9,4,6,11,0,0,0,7,9,20,120,161,280,361,409,768
UCL215033,36,33,67,127,111,241,17,17,28,24,40,67,167,169,339,34,30,66,14,5,14,28,35,61,72,74,149,0,0,0,0,3,3,5,0,3,22,11,29,0,0,0,26,12,43,4,20,28,5,11,19,0,0,0,14,22,41,0,0,0,23,61,82,0,3,6,3,13,17,0,0,0,8,18,18,47,43,86,377,406,787
UCL215034,7,3,8,22,25,41,0,0,0,3,0,0,22,24,43,22,28,49,0,5,3,3,0,3,28,31,59,0,3,3,0,0,0,3,0,3,0,3,7,0,0,0,5,8,10,0,6,4,0,0,3,0,3,3,3,3,6,0,0,0,7,12,18,0,0,0,3,4,9,0,0,0,3,5,4,44,45,88,109,126,236
UCL215035,14,10,27,38,37,70,22,15,43,6,6,12,67,62,127,27,24,55,23,18,33,10,4,19,58,45,104,4,4,8,0,0,3,5,4,10,3,0,6,0,0,0,10,7,17,10,9,13,0,3,3,0,3,3,3,3,10,0,0,0,11,19,27,0,0,0,0,0,0,0,0,0,0,0,0,47,50,96,210,194,397
UCL215036,12,17,33,47,54,101,6,0,8,13,7,21,67,60,126,43,36,81,9,0,11,10,9,18,59,53,115,0,3,3,0,0,0,8,3,12,0,3,4,0,0,0,13,14,22,5,4,10,0,3,3,0,3,5,4,8,8,0,0,0,10,18,26,0,0,0,3,3,6,0,0,0,3,6,10,39,39,74,195,203,400
UCL215037,9,6,17,17,21,36,23,30,46,3,0,3,43,49,89,22,19,33,4,6,6,0,4,4,26,20,50,3,3,4,0,3,6,0,3,5,3,3,5,0,0,0,4,15,22,0,5,9,0,0,0,0,3,3,0,6,8,0,0,0,3,14,17,3,4,3,3,3,3,0,0,0,3,7,6,89,98,186,180,201,381
UCL215038,17,10,22,54,58,105,16,10,29,0,3,3,68,72,138,27,20,50,11,11,28,0,0,0,39,36,74,0,0,3,0,8,4,4,3,5,5,3,7,0,0,0,6,15,22,3,6,11,0,3,3,0,0,3,0,3,3,0,0,0,10,13,16,0,0,3,4,4,6,0,0,0,3,8,7,52,59,116,203,202,399
UCL215039,10,5,14,43,35,78,3,3,5,0,0,0,49,38,85,25,26,49,0,3,3,0,4,3,31,28,60,0,0,0,0,0,4,3,0,5,0,9,9,0,0,0,3,8,13,0,3,3,0,4,4,0,0,0,0,9,8,0,0,0,0,8,9,0,0,0,0,4,4,0,0,0,0,5,6,64,57,116,155,154,312
UCL215040,14,21,39,82,70,154,31,36,71,14,14,26,133,123,256,83,70,150,7,11,18,15,21,39,105,106,213,0,8,4,0,7,9,5,3,9,5,9,19,0,0,0,17,26,41,9,3,13,0,3,3,0,0,3,3,11,13,0,0,0,9,21,32,0,0,0,0,4,8,0,0,0,3,4,6,165,200,368,450,496,946
UCL215041,25,24,51,51,69,117,24,44,65,4,12,13,81,116,196,65,58,124,9,11,21,5,7,10,81,71,156,7,5,14,0,3,4,8,3,13,7,0,5,0,0,0,20,18,32,0,9,10,3,3,9,0,3,5,3,16,13,0,0,0,5,30,33,0,0,0,5,11,17,0,0,0,4,11,18,89,112,207,313,381,692
UCL215042,17,14,31,55,40,91,29,28,56,0,0,3,82,72,150,38,25,58,12,29,38,0,0,3,49,48,101,5,3,6,0,3,4,4,4,10,3,6,12,0,0,0,17,17,35,6,3,6,3,3,4,0,0,0,3,11,17,0,0,0,12,21,32,0,3,3,0,8,9,0,0,0,6,10,10,71,65,138,255,248,496
UCL215043,29,29,59,126,97,216,33,31,62,3,0,8,158,126,288,83,81,164,20,17,40,3,0,3,108,102,207,7,10,12,3,8,8,10,3,13,13,11,25,0,0,0,29,35,59,4,11,17,3,3,7,0,3,8,8,11,21,0,0,0,16,34,50,4,5,10,9,16,21,0,0,0,8,26,31,128,175,301,472,523,995
UCL215044,42,36,71,103,89,192,50,69,123,9,10,18,160,172,331,60,65,122,44,46,92,23,14,40,120,133,252,4,9,9,0,8,7,14,9,19,8,11,17,0,0,0,22,29,54,13,22,32,16,19,32,4,0,3,17,28,44,0,0,0,46,70,117,0,3,10,7,15,21,0,0,0,5,19,32,218,225,437,615,678,1294
UCL215045,17,16,33,68,42,105,15,17,38,7,0,10,88,61,149,24,18,43,20,18,31,11,7,13,52,43,93,0,0,0,0,0,0,3,3,3,3,7,4,0,0,0,10,10,20,0,7,7,3,8,7,0,0,0,3,7,10,0,0,0,7,21,23,0,0,0,3,3,7,0,0,0,3,3,6,51,48,97,219,201,422
UCL215046,12,11,21,49,42,84,16,18,28,0,0,0,58,52,116,33,39,73,0,0,0,4,0,5,40,43,78,0,0,0,0,3,6,4,3,4,3,4,7,0,0,0,13,8,18,3,7,10,0,0,3,0,0,0,0,5,5,0,0,0,3,18,17,0,4,4,3,3,6,0,0,0,3,3,3,26,35,64,150,165,320
UCL215047,15,10,24,59,91,150,11,13,19,8,4,9,74,106,180,21,30,51,12,3,11,4,0,10,35,35,75,3,7,7,0,3,3,4,3,5,7,8,14,0,0,0,15,21,35,7,8,19,0,3,7,0,3,3,3,3,11,0,0,0,15,22,35,0,0,3,0,4,3,0,0,0,3,8,9,56,68,117,203,278,478
UCL215048,8,3,17,33,24,53,0,0,0,0,0,4,39,26,60,11,15,25,0,0,3,4,5,12,16,24,39,0,0,0,0,0,0,3,0,5,3,4,10,0,0,0,6,12,18,0,0,4,0,3,3,0,0,0,0,4,7,0,0,0,3,6,12,0,0,0,0,0,3,0,0,0,0,3,3,46,68,114,122,138,259
UCL215049,17,30,48,147,89,233,16,22,43,18,18,36,181,133,312,21,19,40,35,22,64,46,47,92,101,87,196,0,0,4,0,0,0,6,0,6,3,9,11,0,0,0,15,10,22,25,31,53,4,6,14,0,3,3,9,25,32,0,0,0,37,55,93,0,3,4,3,9,14,0,0,0,3,8,16,107,104,217,467,434,901
UCL215050,36,40,73,116,133,252,52,27,80,12,9,21,177,172,349,92,98,195,19,35,53,17,10,23,130,140,264,3,4,5,0,4,7,3,8,12,6,13,25,0,0,0,16,29,52,10,9,20,0,4,3,6,3,7,9,22,32,0,0,0,24,40,61,5,4,4,8,8,18,0,0,0,12,11,20,175,203,378,572,636,1205
UCL215051,8,3,10,19,26,42,7,4,11,4,4,8,30,35,63,17,13,27,3,3,8,5,3,6,27,19,43,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,11,0,3,3,0,3,3,0,0,0,3,18,21,0,0,0,11,23,29,0,0,0,0,5,6,0,0,0,0,5,6,42,34,74,112,124,239
UCL215052,39,33,74,64,74,134,62,59,121,18,17,31,145,146,296,76,82,158,7,0,5,10,9,17,88,94,183,0,3,6,0,3,3,8,9,23,8,6,12,0,0,0,22,24,48,10,7,14,4,8,7,0,9,6,5,20,28,0,0,0,18,38,55,0,4,7,4,11,14,0,0,0,9,18,25,137,150,290,460,508,966
UCL215053,24,12,38,37,40,70,13,25,37,0,4,6,51,64,115,41,52,87,0,4,3,0,3,4,42,57,97,4,4,8,0,0,0,0,0,4,0,0,0,0,0,0,3,7,14,0,4,4,0,3,3,0,3,3,0,3,11,0,0,0,0,16,20,0,3,8,0,8,8,0,0,0,5,5,11,113,109,219,245,276,514
UCL215054,13,14,22,60,58,121,6,7,16,3,3,8,71,71,145,40,32,74,0,4,0,3,3,8,45,39,85,0,0,4,3,0,3,3,9,12,0,9,9,0,0,0,9,19,28,4,5,6,0,4,4,5,0,7,0,14,11,0,0,0,10,23,31,0,3,5,9,10,15,0,0,0,5,11,20,81,73,148,229,245,473
UCL215055,26,8,30,82,68,146,6,0,8,3,0,3,86,69,156,38,40,84,10,7,16,3,0,3,50,49,101,0,3,6,0,0,3,10,0,7,0,3,6,0,0,0,10,12,21,3,3,6,6,12,12,0,7,8,5,17,21,0,0,0,12,28,48,3,4,4,5,3,7,0,0,0,8,3,15,82,82,166,273,259,536
UCL215056,11,12,22,37,24,67,8,13,26,0,0,0,53,37,94,13,22,33,8,5,17,0,0,0,20,28,48,0,5,4,0,0,0,0,3,3,3,5,9,3,0,3,7,10,20,0,3,4,0,3,3,0,0,0,0,8,8,0,0,0,0,15,24,0,0,0,0,3,4,0,0,0,0,6,3,49,52,103,151,166,311
UCL215057,16,11,25,64,70,137,0,0,0,3,3,10,67,78,143,43,46,91,0,0,4,0,0,3,49,51,99,3,0,3,3,0,3,6,0,6,8,7,12,0,0,0,14,6,21,0,3,3,4,3,10,0,0,4,9,13,18,0,0,0,11,17,33,0,0,0,3,5,12,0,0,0,3,5,12,66,61,125,223,232,454
UCL215058,28,13,39,51,48,94,47,39,89,3,3,5,97,92,190,51,38,90,38,44,83,0,5,5,92,91,182,3,3,6,0,4,4,4,5,7,3,15,13,0,0,0,12,21,36,6,11,15,3,5,3,0,0,0,3,6,9,0,0,0,9,21,36,3,4,5,5,5,11,0,0,0,6,10,13,104,126,227,346,367,721
UCL215059,13,7,26,40,52,85,14,12,26,0,0,0,49,62,118,23,28,50,10,11,20,3,3,10,37,41,82,0,3,3,3,3,3,4,3,7,3,6,11,0,0,0,8,15,23,0,7,7,0,0,3,0,3,3,4,3,9,0,0,0,6,16,19,0,0,0,0,4,4,0,0,3,3,5,5,64,81,141,182,232,412
UCL215060,11,6,19,24,21,42,40,29,67,5,0,3,73,50,121,30,31,57,19,18,28,3,4,13,49,45,99,0,0,0,0,0,0,5,0,6,3,5,13,0,0,0,6,9,18,3,3,5,0,3,3,0,0,0,0,8,8,0,0,0,3,8,10,0,3,3,0,4,4,0,0,0,0,8,6,61,64,122,198,195,395
UCL215061,9,10,16,41,34,77,3,8,9,13,17,25,50,60,111,46,52,101,0,0,0,3,3,4,53,59,105,3,0,4,0,0,0,0,3,3,0,0,3,0,0,0,3,7,12,3,3,5,0,3,3,0,0,3,0,4,4,0,0,0,5,16,22,0,0,0,3,11,13,0,0,0,3,14,14,46,57,102,165,219,388
UCL215062,16,14,34,76,61,133,57,74,130,0,4,3,139,131,273,61,57,117,42,42,90,3,5,5,111,108,213,3,13,11,0,8,6,7,6,16,6,19,28,0,0,0,19,39,65,6,13,17,7,8,14,0,15,15,3,12,13,0,0,0,17,48,65,3,7,8,8,10,13,0,0,0,9,16,24,139,148,288,459,503,959
UCL215063,18,19,40,66,70,133,8,10,23,0,0,0,74,82,151,51,48,106,3,0,3,0,0,0,54,49,106,0,0,0,0,3,3,3,0,3,0,5,9,0,0,0,7,14,21,3,0,8,0,6,3,0,0,0,0,8,8,0,0,0,3,17,21,4,6,7,8,6,14,0,0,0,9,8,23,94,128,221,255,320,583
UCL215064,3,10,11,31,35,70,0,0,0,0,0,0,31,35,70,27,25,57,0,0,0,0,0,0,27,25,57,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,3,11,12,0,0,0,0,4,4,0,0,0,0,4,4,60,50,112,134,133,273
UCL215065,12,23,36,72,64,131,4,3,3,9,9,13,77,70,148,39,29,73,30,33,58,5,4,12,75,69,144,3,0,8,3,7,7,14,5,13,4,20,23,0,0,0,24,28,50,4,7,5,0,5,3,0,4,4,12,7,18,0,0,0,15,23,34,0,0,0,0,12,10,0,0,0,0,12,12,145,147,292,347,368,719
UCL215066,17,27,39,66,55,123,56,40,95,5,13,20,123,112,237,27,23,52,41,39,78,34,36,64,100,101,201,3,3,4,0,3,3,9,0,9,8,3,8,0,0,0,18,9,32,22,26,44,6,8,16,3,3,6,16,31,38,0,0,0,48,74,118,0,0,0,3,7,8,0,0,0,6,8,11,141,160,308,452,490,939
UCL215067,30,20,54,56,70,124,53,43,96,0,4,4,104,117,221,29,27,61,23,26,47,15,6,20,64,58,124,0,3,3,0,3,6,7,3,8,5,6,10,0,0,0,13,16,33,0,3,6,3,4,10,0,0,0,12,17,30,0,0,0,14,28,45,0,0,0,3,9,8,0,0,0,3,9,12,150,144,291,378,399,779
UCL215068,23,18,44,91,101,196,15,18,32,6,7,16,119,128,245,72,85,154,3,3,8,12,8,15,83,99,177,3,0,3,0,5,5,3,12,16,5,20,20,0,3,3,15,35,50,3,9,13,4,6,9,0,6,6,3,6,13,0,0,0,6,26,40,0,3,4,4,3,7,0,0,0,3,6,15,175,189,371,427,501,928
UCL215069,36,22,57,123,123,241,27,39,65,11,19,34,164,173,337,69,65,134,40,37,77,22,21,45,128,127,257,0,3,3,0,4,3,13,3,14,9,14,19,0,0,0,26,21,50,27,45,70,3,4,11,3,10,9,13,21,34,0,0,0,43,83,127,0,0,3,8,18,22,0,0,0,6,16,25,67,64,137,475,510,981
UCL215070,24,19,37,49,43,99,25,37,61,0,0,0,81,85,161,67,50,117,5,3,7,3,0,3,75,53,122,0,4,4,3,0,8,0,4,3,7,12,11,0,0,0,9,15,23,3,4,9,0,3,3,4,0,3,0,0,4,0,0,0,7,15,21,3,4,5,3,4,8,0,0,0,3,12,15,196,182,376,390,371,762
UCL215071,20,13,30,45,51,102,41,29,67,4,0,3,96,83,172,71,73,149,4,6,11,3,4,6,80,88,168,3,0,3,0,3,3,9,5,12,4,16,17,0,0,0,18,23,40,3,6,11,0,0,3,0,0,0,5,18,23,0,0,0,11,32,36,0,0,3,4,4,11,0,0,0,3,8,14,95,128,225,323,367,686
UCL215072,33,35,69,136,142,277,28,32,59,9,9,16,179,178,354,114,99,212,32,32,65,10,10,19,155,134,291,0,3,4,0,0,3,22,8,28,7,9,15,0,0,0,34,23,56,13,31,49,3,7,13,4,9,9,6,12,22,0,0,0,31,69,95,0,5,6,9,22,26,0,0,0,9,22,31,133,145,273,565,605,1173
UCL215073,8,3,11,41,35,79,3,0,3,0,3,7,42,40,84,18,20,35,8,12,22,0,0,4,32,30,62,0,0,4,3,0,4,4,3,8,3,8,8,0,0,0,9,10,20,4,0,3,0,0,3,0,0,0,0,5,8,0,0,0,3,11,15,4,0,4,7,7,10,0,0,0,9,9,13,52,62,108,150,161,310
UCL215074,19,14,29,70,68,140,22,17,35,10,3,10,95,92,185,29,39,71,13,26,33,7,8,15,48,70,118,0,3,3,0,12,12,4,4,7,3,10,19,0,0,0,10,24,32,7,9,15,0,3,4,0,3,3,0,10,9,0,0,0,4,23,34,0,0,0,0,4,4,0,0,0,0,7,7,66,81,152,244,311,563
UCL215075,5,11,17,26,26,60,0,0,0,13,16,29,47,45,91,11,6,22,0,0,0,9,15,25,21,26,47,0,0,0,0,0,0,9,3,9,0,6,9,0,0,0,8,9,20,3,0,4,3,3,6,0,0,0,3,6,6,0,0,0,10,10,19,0,0,4,0,4,4,0,0,0,0,7,5,46,45,99,135,149,289
UCL215076,29,19,51,81,79,158,9,14,29,8,7,13,95,100,199,50,35,90,8,18,30,6,6,11,69,63,132,3,5,12,0,3,7,13,3,17,6,5,14,0,0,0,28,18,48,17,15,25,3,5,3,0,0,0,0,4,4,0,0,0,19,21,37,5,0,5,4,3,5,0,0,3,9,8,12,23,26,54,268,264,529
UCL215077,9,16,25,47,41,89,17,13,28,3,0,6,65,56,125,54,58,118,0,0,0,0,0,0,53,63,115,0,0,0,0,0,3,8,5,7,0,4,8,0,0,0,7,5,21,0,10,12,0,3,4,0,0,0,0,5,5,0,0,0,3,13,19,3,0,10,0,3,6,0,0,0,4,9,13,55,68,119,207,227,438
UCL215078,14,14,29,58,45,103,39,27,68,7,7,9,99,82,177,35,35,68,14,19,35,4,7,13,54,58,111,5,3,4,0,3,8,0,7,8,8,11,10,0,0,0,14,23,29,0,4,7,0,7,7,0,3,3,0,19,16,0,0,0,3,36,33,0,0,0,4,7,8,0,0,0,5,7,13,74,82,149,255,295,551
UCL215079,29,36,69,106,72,181,76,61,139,4,8,12,189,144,331,52,40,96,50,48,100,28,14,41,138,108,238,0,9,9,0,9,6,8,3,12,8,6,15,0,0,0,18,25,43,14,12,24,3,4,10,0,3,3,5,20,29,0,0,0,21,42,61,7,0,4,0,5,8,0,0,0,4,10,14,177,186,365,578,549,1126
UCL215080,14,10,22,54,35,92,24,39,63,0,0,0,79,70,153,53,37,89,22,12,32,0,0,0,70,53,125,3,0,7,0,3,5,7,0,12,0,9,12,0,0,3,15,17,31,7,7,12,3,3,4,0,0,0,3,4,6,0,0,0,12,23,27,4,3,5,0,4,10,0,0,0,3,11,15,121,124,239,315,305,614
UCL215081,16,9,22,53,47,97,10,6,17,0,0,0,60,60,122,27,26,56,3,7,13,3,0,3,35,33,68,0,0,0,0,3,3,7,3,6,4,3,6,0,0,0,12,10,20,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,9,10,0,0,0,0,0,3,0,0,0,0,3,7,53,41,95,175,165,334
UCL215082,17,19,32,65,48,113,5,8,12,0,4,5,78,59,131,27,23,48,9,5,10,0,6,3,33,32,63,0,0,3,0,0,0,7,0,14,0,9,13,0,0,0,12,14,22,3,9,8,0,0,0,0,0,0,0,3,4,0,0,0,6,10,20,0,0,3,0,4,4,0,0,0,0,4,3,71,47,117,215,180,391
UCL215083,26,28,58,130,124,251,25,37,67,5,9,19,163,171,340,84,91,174,16,7,25,13,10,22,109,105,215,7,5,10,0,4,8,4,3,15,7,27,34,0,0,0,19,41,60,7,23,32,4,14,23,0,3,3,4,18,26,0,0,0,24,58,80,3,3,5,3,15,15,0,0,3,6,18,26,150,157,308,500,576,1075
UCL215084,24,14,41,70,68,134,8,13,18,3,5,5,79,78,162,36,29,64,15,19,27,3,5,12,51,55,106,0,3,3,0,0,0,7,0,6,0,5,9,0,0,0,4,10,12,9,9,24,4,3,7,0,0,0,4,7,8,0,0,0,16,24,40,0,3,3,0,9,9,0,0,0,0,9,10,63,45,117,242,239,487
UCL215085,15,12,21,42,42,87,3,5,10,25,19,37,68,61,131,28,19,52,4,0,9,27,28,51,64,47,110,3,6,11,3,3,4,7,0,9,0,11,13,0,0,0,13,23,36,6,6,12,5,9,9,0,3,4,6,18,19,0,0,0,11,33,47,3,3,10,3,10,13,0,0,0,3,15,22,89,80,168,261,267,525
UCL215086,12,13,25,57,41,99,27,40,69,3,0,3,87,78,168,65,63,128,0,0,0,6,0,9,73,63,133,3,0,5,0,0,0,0,0,3,7,6,18,0,0,0,11,10,20,0,3,4,0,3,4,0,0,0,6,8,14,0,0,0,10,18,24,4,4,5,0,3,5,0,0,0,3,5,12,121,132,253,319,313,636
