UCL_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
UCL214017,0,0,3,3,5,7,0,0,0,0,0,0,0,0,0,817,682,1499,66,58,126,14,0,14,3,0,3,15,3,20,9,6,9,48,59,114,982,816,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,6,7,8,6,6,13,0,0,0,0,0,0,0,0,0,0,0,0,28,36,66,99,179,281,16,10,19,1130,1037,2170
UCL214018,64,88,150,3,3,4,0,0,0,0,0,0,0,0,3,1623,1249,2876,85,82,169,45,0,44,3,0,3,3,0,3,5,7,19,18,15,40,1856,1450,3310,8,3,10,0,0,0,0,3,3,24,23,45,4,3,9,3,0,3,45,30,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,22,59,39,97,18,7,27,0,0,0,0,0,0,18,7,27,49,96,141,147,256,407,25,24,41,2151,1874,4029
UCL214019,0,0,0,9,3,7,0,0,0,3,0,3,0,0,3,987,857,1838,76,64,137,25,0,22,0,0,0,24,3,33,8,3,13,69,59,132,1196,1000,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,11,12,4,14,0,0,0,0,0,0,0,0,0,0,0,0,27,70,94,135,238,372,30,22,49,1394,1333,2731
UCL214020,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1029,880,1907,74,62,133,20,0,20,3,0,3,28,8,39,9,5,15,56,51,108,1230,1010,2234,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,12,13,3,21,0,0,0,0,0,0,0,0,0,0,0,0,39,73,111,139,249,388,19,14,36,1446,1343,2792
UCL215001,5,0,6,3,0,3,0,0,0,0,4,3,0,0,0,173,156,331,6,4,13,0,0,0,0,0,0,0,0,3,0,0,0,5,13,20,204,182,385,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,12,24,32,38,38,78,0,0,0,263,248,508
UCL215002,0,0,0,3,3,13,0,0,0,0,0,0,0,0,0,364,260,624,19,16,41,5,0,5,4,0,3,8,0,8,0,0,3,29,47,80,435,332,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,24,42,39,71,113,9,9,14,507,441,943
UCL215003,7,4,7,0,4,4,0,0,0,0,0,0,0,0,0,370,350,717,26,13,36,9,0,9,3,0,3,7,3,9,4,0,4,24,25,51,444,403,848,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,3,6,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,0,4,11,4,10,0,0,0,0,0,0,0,0,0,0,0,0,36,45,86,71,107,179,10,10,23,577,571,1149
UCL215004,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,164,132,290,11,12,28,7,0,7,0,0,0,14,7,16,3,0,3,44,58,104,245,211,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,3,0,3,3,0,3,28,29,53,43,54,98,3,0,3,321,293,617
UCL215005,28,27,54,0,0,0,0,0,0,0,0,0,0,0,0,309,250,559,24,16,43,4,0,4,0,0,0,0,0,3,0,0,0,8,12,22,386,307,691,4,4,7,0,0,0,3,6,7,8,4,6,0,3,6,0,0,3,14,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,9,24,12,35,0,4,7,0,0,0,0,0,0,0,4,7,18,24,46,42,66,114,5,5,12,481,423,905
UCL215006,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,400,331,728,12,23,35,4,0,4,0,0,0,4,0,4,0,0,3,11,7,15,435,368,795,0,0,0,0,0,0,0,0,0,6,5,13,0,0,0,0,0,0,6,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,6,15,0,0,0,0,0,0,0,0,0,0,0,0,28,54,78,42,91,132,9,5,9,514,519,1034
UCL215007,14,4,14,9,4,9,0,0,0,0,0,0,0,0,0,987,767,1756,51,44,95,13,0,14,3,0,3,3,3,3,3,0,5,9,17,31,1097,842,1935,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,5,0,8,7,6,20,9,4,10,3,0,3,0,0,0,11,4,13,21,38,62,98,195,291,13,12,19,1251,1087,2334
UCL215008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,305,672,12,20,31,8,0,8,3,0,3,4,0,4,0,0,3,5,8,10,398,333,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,7,6,3,10,0,0,0,0,0,0,0,0,0,0,0,0,7,22,32,33,57,83,7,9,12,453,416,870
UCL215009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,102,222,14,7,23,3,0,3,0,0,0,0,0,0,0,0,0,7,3,11,142,117,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,13,20,33,47,6,3,7,170,160,330
UCL215010,4,9,11,0,0,0,0,0,0,0,0,0,0,0,0,456,351,809,19,19,33,19,0,19,0,0,0,0,0,0,3,3,4,3,3,8,507,381,883,0,0,0,0,0,0,0,0,0,4,3,9,3,3,4,0,0,0,6,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,11,10,18,0,3,4,0,0,0,0,0,0,0,3,4,20,47,68,40,82,124,8,7,11,586,525,1113
UCL215011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,94,225,10,12,16,7,0,9,0,0,0,0,0,3,0,0,0,13,15,25,156,126,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,14,13,15,26,41,5,3,9,177,166,346
UCL215012,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,403,394,798,15,26,40,11,0,11,3,0,3,8,4,13,10,6,14,44,62,99,503,484,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,7,7,4,7,11,0,0,0,0,0,0,0,0,0,0,0,0,38,49,82,72,119,188,3,12,20,622,671,1295
UCL215013,12,9,17,0,0,0,0,0,0,0,0,0,0,0,0,406,269,677,13,9,26,9,0,9,0,0,0,0,0,0,0,0,0,3,0,6,446,291,737,0,0,0,0,0,0,0,0,0,5,9,13,0,3,3,0,0,0,5,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,17,26,3,3,4,0,0,0,0,0,0,3,3,4,10,19,31,20,70,94,3,0,6,485,403,883
UCL215014,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,260,216,477,13,10,21,15,0,15,0,0,5,0,0,0,0,0,0,0,3,3,297,231,524,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,13,3,15,0,0,0,0,0,0,0,0,0,0,0,0,7,16,18,19,39,58,3,6,17,336,300,632
UCL215015,0,0,0,0,3,4,0,0,0,0,0,0,3,0,3,275,231,500,18,28,41,3,0,3,7,0,7,16,8,16,5,3,8,53,49,101,368,323,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,47,48,91,64,81,140,3,6,8,482,462,947
UCL215016,22,19,42,0,0,0,0,0,0,0,0,0,0,0,0,696,510,1202,33,39,75,17,0,19,3,0,3,7,0,7,7,3,9,12,13,31,793,591,1384,4,0,3,0,0,0,0,0,0,3,3,8,0,0,0,3,0,3,12,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,16,10,26,0,3,7,0,0,0,0,0,0,0,3,7,14,32,50,66,105,170,14,8,22,900,755,1654
UCL215017,7,13,18,0,0,0,0,0,0,0,0,0,0,0,0,337,255,591,19,14,35,13,0,16,0,0,0,0,0,0,0,0,0,3,4,11,391,288,678,0,0,6,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,8,15,4,4,6,0,0,0,0,0,0,3,4,5,17,22,38,29,78,107,3,12,14,442,403,851
UCL215018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,358,761,18,20,40,13,0,13,3,0,3,4,0,7,4,3,13,46,45,95,501,437,934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14,24,37,58,98,161,15,8,23,596,565,1153
UCL215019,3,3,5,0,3,3,0,0,0,0,0,0,0,0,0,283,229,511,18,15,36,10,0,9,0,0,3,4,0,7,0,0,0,3,3,8,328,260,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,7,0,0,0,0,0,0,0,0,0,4,0,4,20,23,45,30,77,106,11,3,12,397,358,755
UCL215020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,131,271,18,6,27,12,0,12,0,0,0,4,0,4,0,0,0,14,28,44,191,164,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,15,16,39,56,6,3,8,225,219,437
UCL215021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,186,381,10,9,16,8,0,8,3,0,3,0,0,0,3,0,3,3,11,16,226,200,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,19,32,48,81,3,3,5,272,266,538
UCL215022,3,0,3,10,8,14,0,0,3,0,0,0,0,0,0,625,573,1198,38,44,84,8,0,8,5,0,5,0,0,0,5,0,10,19,8,31,714,638,1353,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,0,4,7,5,8,3,0,3,0,0,0,0,0,0,3,0,3,10,17,28,73,125,196,6,10,12,815,788,1604
UCL215023,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,240,179,423,21,13,33,11,0,11,0,0,0,6,9,10,0,0,0,21,21,44,309,222,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,6,15,28,57,87,3,4,3,350,287,644
UCL215024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,197,455,3,12,14,11,0,11,0,0,0,3,4,11,3,0,3,16,19,39,305,228,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,30,31,41,74,5,8,7,346,301,643
UCL215025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,94,244,13,12,25,4,0,4,3,0,3,0,0,7,0,0,0,21,32,49,196,140,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,19,37,60,0,4,4,230,191,422
UCL215026,0,0,0,4,0,6,0,0,0,0,0,0,3,0,3,573,508,1081,23,48,71,8,0,8,7,4,6,11,6,21,8,3,9,42,53,94,685,616,1305,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,3,9,0,0,0,0,0,0,0,0,0,0,0,0,38,52,87,108,177,284,6,3,12,850,856,1707
UCL215027,3,0,6,4,4,10,0,0,0,0,0,0,0,0,0,383,294,677,12,17,30,6,0,6,4,0,4,0,0,3,0,0,0,9,19,32,426,334,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,4,7,0,0,0,0,0,0,0,4,7,15,27,46,43,78,121,15,3,19,499,453,956
UCL215028,4,8,14,4,0,4,0,0,0,0,0,0,0,0,4,416,450,866,29,32,60,6,0,6,3,0,3,3,3,6,4,8,13,49,52,102,523,557,1078,3,0,5,0,0,0,0,0,0,4,3,14,0,0,0,0,0,0,9,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,12,7,22,0,3,6,0,0,0,0,0,0,3,3,5,85,79,160,63,109,170,17,11,29,702,767,1469
UCL215029,42,44,87,4,6,4,0,0,0,0,0,0,0,0,0,411,340,754,26,16,49,8,0,8,4,0,4,3,0,3,3,0,3,0,6,7,508,415,920,0,4,3,0,0,0,0,0,0,11,7,20,0,0,0,0,0,3,14,19,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,24,16,37,3,6,7,0,0,0,0,0,0,4,6,11,9,25,30,30,67,99,9,8,23,582,542,1120
UCL215030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,146,310,15,7,21,3,0,3,0,0,0,0,0,3,0,0,0,16,16,33,209,169,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,10,14,27,35,58,3,3,5,246,211,459
UCL215031,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,182,126,305,8,9,19,10,0,10,0,0,0,8,3,11,5,0,5,32,37,70,241,176,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,11,22,38,57,0,0,3,275,222,492
UCL215032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,343,721,19,22,43,17,0,17,0,0,0,8,4,15,4,0,3,37,41,72,465,410,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,15,12,3,15,0,0,0,0,0,0,0,0,0,0,0,0,28,27,54,56,73,127,9,9,15,563,524,1089
UCL215033,26,20,44,0,0,0,0,0,0,0,0,0,0,0,0,585,418,1003,12,23,38,4,0,4,3,0,3,0,0,0,0,0,0,4,3,12,638,469,1108,0,0,0,0,0,0,0,0,0,17,14,34,0,3,3,0,0,0,17,19,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,22,28,52,9,13,17,0,0,0,0,0,0,9,13,17,18,21,44,55,111,164,5,7,14,741,648,1391
UCL215034,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,123,109,229,7,8,15,3,0,3,0,0,0,3,0,0,0,0,0,27,22,47,161,138,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,19,22,31,53,4,3,4,191,181,373
UCL215035,11,0,15,0,0,0,0,0,0,0,0,0,0,0,0,234,169,402,3,11,8,13,0,14,0,0,0,0,0,0,0,0,0,3,0,6,261,187,454,5,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,3,12,3,0,5,0,0,0,0,0,0,3,0,3,10,20,31,25,48,68,9,10,11,314,262,579
UCL215036,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,225,153,381,8,6,18,0,0,0,3,0,3,0,0,0,0,0,0,3,5,7,245,172,419,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,17,19,35,30,51,75,5,6,15,302,247,551
UCL215037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,147,347,6,9,10,3,0,3,0,0,0,3,0,3,6,3,5,10,12,16,222,165,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,15,21,27,51,71,3,0,8,269,231,500
UCL215038,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,201,182,386,14,6,20,5,0,3,0,0,0,9,3,16,0,0,0,28,10,39,265,201,469,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,4,8,13,18,33,56,10,6,14,299,262,558
UCL215039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,157,345,12,14,28,3,0,3,3,0,3,0,0,0,0,0,0,14,19,30,227,191,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,16,21,19,44,3,3,6,256,225,481
UCL215040,0,0,0,3,0,7,0,0,0,0,0,0,0,0,3,529,407,931,33,41,72,13,0,13,0,0,0,6,5,10,7,3,12,43,56,94,629,515,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,23,31,57,58,104,159,9,8,15,727,662,1387
UCL215041,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,446,330,777,12,22,38,14,0,14,4,0,4,0,0,0,0,3,3,5,7,16,486,367,854,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,3,9,0,3,3,0,0,0,0,0,0,0,3,3,10,20,30,36,75,118,7,6,8,552,470,1022
UCL215042,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,282,236,516,17,13,29,3,0,3,0,0,0,3,0,3,0,0,0,14,3,20,326,249,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,18,19,56,65,114,7,7,8,390,339,729
UCL215043,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,507,436,942,47,31,75,15,0,15,4,0,4,0,0,0,6,0,6,19,33,50,589,505,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,9,5,7,11,0,0,0,0,0,0,0,0,0,0,0,0,15,29,46,72,124,197,8,18,27,697,677,1371
UCL215044,61,39,94,3,3,7,0,0,0,0,0,0,0,0,3,642,543,1178,31,47,80,15,0,15,0,0,0,11,3,13,10,3,8,70,64,127,828,697,1528,3,4,3,0,0,0,0,7,5,11,7,13,0,3,3,3,0,3,15,18,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,12,27,20,48,0,13,12,0,0,0,0,0,0,0,13,12,46,71,113,93,173,263,7,11,22,1009,982,1992
UCL215045,0,6,6,0,3,0,0,0,0,0,0,0,0,0,0,252,201,450,13,4,19,5,0,12,0,0,0,0,0,0,3,0,4,9,13,20,279,227,512,0,0,0,0,0,0,0,0,0,7,3,9,0,3,3,0,0,0,11,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,8,10,17,0,0,0,0,0,0,0,0,0,0,0,0,14,30,43,36,51,92,3,6,10,343,323,664
UCL215046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,162,381,11,12,22,6,0,4,0,0,0,0,0,0,0,0,0,3,15,17,247,188,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,12,17,22,28,54,4,0,7,281,230,511
UCL215047,7,4,10,0,0,0,0,0,0,0,0,0,0,0,0,267,184,446,10,9,24,10,0,10,3,0,3,0,0,0,0,3,3,7,3,10,304,205,511,0,0,4,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,0,3,4,0,0,0,0,0,0,0,3,4,7,13,21,12,42,50,3,6,4,331,270,605
UCL215048,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,145,107,249,3,12,16,4,0,4,0,0,0,0,0,3,3,4,8,30,37,71,194,159,351,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,16,33,28,32,67,0,3,4,241,211,453
UCL215049,31,38,70,0,0,0,0,0,0,0,0,0,0,0,3,451,325,774,22,22,48,6,0,6,3,0,3,7,0,7,4,3,6,16,11,31,543,399,948,0,0,0,0,0,0,5,3,5,22,7,31,0,3,3,4,0,4,32,17,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,36,19,55,3,3,6,0,0,0,0,0,0,3,3,6,41,65,112,65,100,166,12,11,26,708,602,1305
UCL215050,0,3,3,0,3,7,0,0,0,0,0,0,0,0,0,636,544,1180,49,43,98,13,0,13,5,0,5,9,3,12,8,0,10,28,32,61,755,636,1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,37,52,101,139,245,11,10,20,890,824,1712
UCL215051,5,7,6,0,0,0,0,0,0,0,0,0,0,0,0,152,154,299,7,6,13,6,0,6,0,0,0,0,0,0,0,3,5,15,14,27,178,176,357,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,3,0,0,0,0,0,0,4,3,3,21,28,47,17,42,64,3,3,5,228,252,482
