UCL_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
UCL215021,0,0,0,0,0,0,9,0,0,0,0,9,10,0,0,0,0,6,22,0,0,0,0,22,20,0,0,0,0,25,62,0,0,0,0,63,33,0,0,0,3,38,16,0,0,0,0,16,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,12,184,0,0,0,8,194
UCL215022,28,0,0,0,0,27,30,0,0,0,0,30,37,0,0,0,0,37,70,0,0,0,0,70,101,0,0,0,0,103,110,0,0,0,0,110,64,0,0,0,0,62,25,0,0,0,0,25,10,0,0,0,0,10,5,0,0,0,0,5,3,0,0,0,0,3,23,0,0,0,0,23,506,0,0,0,0,507
UCL215023,7,0,0,0,0,7,5,0,0,0,0,5,8,0,0,0,0,8,24,0,0,0,0,24,30,0,0,0,0,30,37,0,0,0,0,38,26,0,0,0,0,26,15,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,164,0,0,0,0,167
UCL215024,9,0,0,0,0,9,14,0,0,0,0,14,11,0,0,0,0,11,42,0,0,0,0,42,31,0,0,0,0,34,49,0,0,0,0,49,15,0,0,0,0,15,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,8,0,0,0,0,8,210,0,0,0,0,210
UCL215025,4,0,0,0,0,4,8,0,0,0,0,8,9,0,0,0,0,9,18,0,0,0,0,18,19,0,0,0,0,19,26,0,0,0,0,26,8,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,113,0,0,0,0,113
UCL215026,23,0,0,0,0,25,12,0,0,0,0,16,8,0,0,0,0,11,21,4,0,0,0,26,34,0,0,0,0,34,84,5,3,0,0,91,88,0,4,0,0,90,80,3,0,0,0,82,24,0,0,0,0,25,12,0,0,0,0,18,8,0,0,0,0,16,30,0,0,0,0,28,430,19,5,0,0,460
UCL215027,11,0,0,4,0,14,15,0,0,5,0,16,12,0,0,4,0,13,28,0,0,10,0,36,32,0,0,6,4,43,74,0,0,18,5,101,51,0,0,9,4,68,23,0,0,10,0,34,3,0,0,0,0,3,3,0,0,3,0,8,0,0,0,0,0,0,16,0,0,4,0,18,259,0,0,70,12,346
UCL215028,17,0,0,0,0,20,14,0,0,0,0,14,13,0,0,0,0,13,30,0,0,0,0,30,38,0,0,0,0,35,82,0,0,0,0,83,75,0,0,0,0,77,62,0,0,0,0,62,16,0,0,0,0,16,7,0,0,0,0,7,14,0,0,0,0,14,37,0,0,0,0,37,405,0,0,0,7,411
UCL215029,17,0,0,0,0,17,14,0,0,0,0,14,11,0,0,0,0,11,18,0,0,0,0,18,31,0,0,0,0,33,89,0,0,0,3,94,112,0,0,0,0,112,64,0,0,0,0,64,25,0,0,0,0,31,9,0,0,0,0,5,4,0,0,0,0,4,25,0,0,0,0,25,419,0,0,0,3,425
UCL215030,9,0,0,0,0,9,23,0,0,0,0,23,28,0,0,0,0,28,21,0,0,0,0,21,23,0,0,0,0,29,31,0,0,0,3,33,12,0,0,0,0,12,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,162,0,0,0,5,167
UCL215031,7,0,0,0,0,7,18,0,0,0,0,18,14,0,0,0,0,14,30,0,0,0,0,30,17,0,0,0,0,17,28,0,0,0,0,28,11,0,0,0,0,11,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,8,131,0,0,0,0,134
UCL215032,24,0,0,0,0,24,11,0,0,0,0,16,22,0,0,0,0,25,37,0,3,0,0,42,57,0,0,0,0,52,87,0,0,0,0,87,42,0,0,0,0,46,25,0,0,0,0,25,9,0,0,0,0,9,6,0,0,0,0,6,0,0,0,0,0,0,16,0,0,0,0,16,340,3,3,0,0,343
UCL215033,14,0,0,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,12,5,3,0,0,0,8,50,9,0,0,0,58,131,11,0,0,0,138,231,5,0,0,0,237,94,0,0,0,0,94,33,0,0,0,0,36,15,0,0,0,0,15,18,0,0,0,0,18,609,30,0,0,0,633
UCL215034,9,0,0,0,0,6,3,0,0,0,0,3,6,0,0,0,0,6,9,0,0,0,0,9,11,0,0,0,0,11,22,0,0,0,0,28,17,0,0,0,0,17,6,0,0,0,0,6,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,96,0,3,0,0,94
UCL215035,11,0,0,0,0,11,3,0,0,0,0,3,6,0,0,0,0,6,9,0,0,0,0,9,10,0,0,0,0,15,37,0,4,0,0,46,39,0,0,0,0,39,54,0,0,0,0,54,8,0,0,0,0,8,4,0,0,0,0,4,3,0,0,0,0,0,13,0,0,0,0,13,201,0,7,0,0,207
UCL215036,12,0,0,0,0,12,5,0,0,0,0,5,3,0,0,0,0,3,8,0,0,0,0,8,13,0,0,0,0,13,32,0,0,0,0,32,44,0,0,0,0,44,50,0,0,0,0,50,20,0,0,0,0,20,11,0,0,0,0,11,0,0,0,0,0,0,8,0,0,0,0,8,202,0,0,0,0,202
UCL215037,12,0,0,0,0,11,15,0,0,0,0,16,12,0,0,0,0,15,19,0,0,0,0,21,28,0,0,0,0,24,57,0,0,0,0,57,19,0,0,0,0,19,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,11,0,0,0,0,11,189,0,4,3,0,199
UCL215038,3,0,0,0,0,3,13,0,0,0,0,13,9,0,0,0,0,9,36,0,0,0,0,32,38,0,0,0,0,38,54,0,0,0,0,53,23,0,0,0,0,23,9,0,0,0,0,6,6,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,6,200,0,0,3,0,199
UCL215039,6,0,0,0,0,6,6,0,0,0,0,6,12,0,0,0,0,12,28,0,0,0,0,28,26,0,0,0,0,26,43,0,0,0,0,43,10,0,0,0,0,12,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,151,0,0,0,0,154
UCL215040,21,0,0,0,0,21,17,0,0,0,0,17,25,0,0,0,0,29,61,0,0,0,0,68,47,0,0,0,0,49,92,0,0,0,0,92,51,0,0,0,0,51,21,0,0,0,0,21,5,0,0,0,0,5,3,0,0,0,0,3,3,0,0,0,0,3,15,0,0,0,0,15,360,0,3,3,0,371
UCL215041,6,0,0,0,0,6,12,0,0,0,0,12,6,0,0,0,0,6,11,0,0,0,0,11,23,0,0,0,0,23,79,0,0,0,0,79,99,0,0,0,0,99,79,0,0,0,0,79,18,0,0,0,0,18,17,0,0,0,0,17,6,0,0,0,0,6,12,0,0,0,0,14,365,0,0,0,0,361
UCL215042,16,0,0,0,0,16,5,0,0,0,0,8,6,0,0,0,0,12,16,0,0,0,0,16,24,0,0,0,0,24,56,0,0,0,0,56,60,0,0,0,0,60,28,0,0,0,0,28,9,0,0,0,0,9,7,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,4,227,0,0,4,0,230
UCL215043,31,0,0,0,0,31,18,0,0,0,0,18,15,0,0,0,0,15,38,0,3,0,0,43,58,0,0,0,0,57,101,0,0,0,0,104,87,0,0,0,0,86,45,0,0,0,0,45,10,0,0,0,0,15,14,0,0,0,0,14,3,0,0,0,0,3,15,0,0,0,0,17,443,5,3,0,0,457
UCL215044,25,0,0,0,0,24,11,0,0,0,0,11,19,0,0,0,0,19,23,0,0,0,0,25,40,0,0,0,0,40,111,6,3,0,0,112,139,0,0,0,0,141,125,3,0,0,0,131,30,0,0,0,0,28,26,0,0,0,0,26,13,0,0,0,0,11,21,0,0,3,0,26,570,10,10,3,0,593
UCL215045,3,0,0,0,0,3,8,0,0,0,0,8,4,0,0,0,0,4,16,0,0,0,0,16,16,0,0,0,3,20,53,0,0,0,0,53,53,3,0,0,0,56,55,0,0,0,0,55,8,0,0,0,0,13,3,0,0,0,0,3,3,0,0,0,0,3,9,0,0,0,0,9,240,3,0,0,4,248
UCL215046,3,0,0,0,0,4,3,0,0,0,0,3,8,0,0,0,0,8,12,0,0,0,0,12,12,0,0,0,0,12,36,0,0,0,0,36,50,0,0,0,0,49,34,0,0,0,0,34,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,14,173,0,0,0,0,175
UCL215047,5,0,0,0,0,5,13,0,0,0,0,13,4,0,0,0,0,3,8,0,0,0,0,8,22,3,0,0,0,26,58,3,0,0,0,61,81,0,0,0,0,81,41,0,0,0,0,42,7,0,0,0,0,7,9,0,0,0,0,9,0,0,0,0,0,0,14,0,0,0,0,14,257,6,0,0,0,269
UCL215048,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,8,0,0,0,0,10,5,0,0,0,0,3,17,0,0,0,0,16,10,0,0,0,0,12,4,0,0,0,0,9,5,0,0,0,0,3,3,0,0,0,0,6,59,0,3,0,3,70
UCL215049,34,0,0,0,0,34,9,0,0,0,0,9,3,0,0,0,0,3,17,0,0,0,0,17,9,0,0,0,0,9,44,0,0,0,0,44,59,0,0,0,0,59,84,0,0,0,0,84,47,0,0,0,0,47,65,0,0,0,0,65,50,0,0,0,0,50,23,0,0,0,0,23,439,0,0,0,0,441
UCL215050,29,0,0,0,0,29,26,0,0,0,0,24,21,0,0,0,0,24,47,0,0,0,0,47,53,0,0,0,0,56,166,0,0,0,0,165,94,0,0,0,0,94,49,0,0,0,0,49,9,0,0,0,0,9,5,0,0,0,0,5,0,0,0,0,0,0,24,0,0,0,0,28,534,0,0,0,3,538
UCL215051,13,0,0,0,0,13,10,0,0,0,0,10,14,0,0,0,0,14,14,0,0,0,0,14,20,0,0,0,0,20,42,0,0,0,0,42,23,0,0,0,0,25,25,0,0,0,0,26,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,10,183,0,0,0,0,187
UCL215052,10,0,0,0,0,10,15,0,0,0,0,15,10,0,0,0,0,10,18,0,0,0,0,18,37,0,3,0,0,43,79,0,0,0,0,79,86,0,0,0,0,88,57,0,0,0,0,57,14,0,0,0,0,14,6,0,0,0,0,8,5,0,0,0,0,5,20,0,0,0,0,20,361,3,3,0,0,367
UCL215053,9,0,0,0,0,9,12,0,0,0,0,16,15,0,0,0,0,15,43,3,0,0,0,47,66,0,0,0,0,67,71,0,0,0,0,69,29,0,0,0,0,30,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,265,8,4,0,0,273
UCL215054,12,0,0,0,0,12,11,0,0,0,0,11,10,0,0,0,0,10,29,0,0,0,0,29,29,0,0,0,0,29,93,0,0,0,0,93,57,0,0,0,0,57,16,0,0,0,0,16,3,0,0,0,0,3,6,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,10,270,0,0,0,0,270
UCL215055,15,0,0,0,0,15,9,0,0,0,0,9,12,0,0,0,0,15,17,0,0,0,0,17,24,0,0,0,0,23,62,0,0,0,0,62,45,0,0,0,0,45,21,0,0,0,0,21,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,17,229,0,0,0,3,232
UCL215056,12,0,0,0,0,12,8,0,0,0,0,8,7,0,0,0,0,10,20,0,0,0,0,20,25,0,0,0,0,25,27,0,0,0,0,30,8,0,0,0,0,8,11,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,125,0,0,0,0,127
UCL215057,19,0,0,0,0,19,14,0,0,0,0,14,7,0,0,0,0,11,17,0,0,0,0,17,31,0,0,0,0,30,44,0,0,0,4,47,34,0,0,0,0,34,8,0,0,0,3,12,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,5,13,0,0,0,0,9,205,0,3,0,10,217
UCL215058,13,0,0,0,0,13,11,0,0,0,0,11,9,0,0,0,0,9,24,0,0,0,0,24,31,0,0,0,0,36,93,3,0,0,0,99,55,0,0,0,0,60,36,0,0,0,0,37,12,0,0,0,0,12,4,0,0,0,0,4,3,0,0,0,0,3,12,0,0,0,0,12,307,5,0,4,0,317
UCL215059,11,0,0,0,0,11,10,0,0,0,0,10,5,0,0,0,0,5,14,0,0,0,0,15,13,0,0,0,0,13,55,0,0,0,0,55,37,0,0,0,0,44,22,0,0,0,0,22,11,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,14,190,0,3,0,0,197
UCL215060,7,0,0,0,0,7,14,0,0,0,0,13,13,0,0,0,0,14,26,0,0,0,0,31,25,0,0,0,0,25,42,0,0,0,0,42,18,0,0,0,0,18,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,149,0,3,4,0,164
UCL215061,9,0,0,0,0,9,13,0,0,0,0,13,20,0,0,0,0,20,50,0,0,0,0,46,34,0,0,0,0,34,38,0,0,0,0,38,11,0,0,0,0,11,10,0,0,0,0,10,4,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,199,0,0,0,0,197
UCL215062,17,0,0,0,0,17,14,0,0,0,0,14,20,0,3,0,0,21,46,3,0,0,0,55,59,3,0,0,0,67,104,3,0,0,0,113,57,0,0,0,0,55,36,0,0,0,0,36,7,0,0,0,0,7,12,0,0,0,0,12,3,0,0,0,0,3,14,0,0,0,0,20,392,9,6,3,0,414
UCL215063,19,0,0,0,0,15,12,0,3,0,0,9,13,0,0,0,0,13,23,0,0,0,0,23,32,0,0,0,0,32,40,0,0,0,0,40,13,0,0,0,0,13,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,8,0,0,0,0,8,167,0,3,0,0,170
UCL215064,12,0,0,0,0,12,20,0,0,0,0,20,9,0,0,0,0,9,19,0,0,0,0,19,16,0,0,0,0,16,19,0,0,0,0,19,8,0,0,0,0,8,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,106
UCL215065,29,3,0,0,0,27,5,4,0,0,0,12,11,0,0,0,0,18,25,3,0,0,0,24,40,0,0,0,0,40,68,3,0,0,0,77,36,0,0,0,0,36,28,0,0,0,0,28,12,0,0,0,0,12,11,0,0,0,0,11,8,0,0,0,0,8,15,0,0,0,0,15,291,16,4,0,0,306
UCL215066,9,0,0,0,0,15,10,0,0,0,0,10,3,0,0,0,0,3,15,6,0,0,0,19,20,0,0,0,0,19,52,4,0,0,0,56,37,0,0,0,0,39,48,0,0,0,0,47,21,0,0,0,0,21,30,0,0,0,0,32,23,0,0,0,0,20,15,0,0,0,0,15,277,12,4,0,0,298
UCL215067,16,0,0,0,0,14,11,0,0,0,0,11,0,0,0,0,0,0,15,0,0,0,0,15,8,0,0,0,0,11,64,0,0,0,0,65,41,0,0,0,0,42,60,0,0,0,0,63,29,0,0,0,0,28,15,3,0,0,0,17,8,0,0,0,0,5,11,0,0,0,0,8,279,11,0,3,0,296
UCL215068,19,0,0,0,0,19,14,0,0,0,0,12,18,0,0,0,0,23,48,0,0,0,0,48,57,0,0,0,0,61,92,0,0,0,0,93,35,0,0,0,0,35,21,0,0,0,0,21,0,0,0,0,0,0,6,0,0,0,0,3,5,0,0,0,0,5,21,0,0,0,0,22,337,0,3,0,0,347
UCL215069,27,0,0,0,0,27,13,0,0,0,0,14,10,3,0,0,0,9,18,0,0,0,0,18,27,0,0,0,0,27,73,0,0,0,0,80,97,3,0,0,0,105,131,6,0,0,0,137,65,0,0,0,0,65,41,0,0,0,0,41,21,0,0,0,0,21,24,0,0,0,0,24,553,14,0,0,0,565
UCL215070,4,0,0,0,0,4,7,0,0,0,0,7,4,0,0,0,0,4,17,0,0,0,0,14,24,0,0,0,0,28,34,0,0,0,0,34,16,0,0,0,0,21,7,0,0,0,0,7,5,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,9,131,0,0,3,0,137
UCL215071,19,0,0,0,0,19,18,0,0,0,0,18,9,0,0,0,0,9,27,0,0,0,0,30,42,0,0,0,0,42,89,0,0,0,0,94,44,0,0,0,0,44,25,0,0,0,0,25,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,16,304,0,0,0,0,307
UCL215072,26,0,0,0,0,26,16,0,0,0,0,16,13,0,0,0,0,14,29,0,0,0,0,33,31,0,0,0,0,29,114,0,0,0,0,113,151,0,0,0,0,151,162,0,3,0,0,164,54,0,0,0,0,54,18,0,0,0,0,18,14,0,0,0,0,21,37,0,0,0,0,37,661,5,13,0,0,680
UCL215073,5,0,0,0,0,5,12,0,0,0,0,12,8,0,0,0,0,8,12,0,0,0,0,12,29,0,0,0,0,29,46,0,0,0,0,49,39,0,0,0,0,39,22,0,0,0,0,23,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,8,183,0,0,0,0,187
UCL215074,12,0,0,0,0,12,3,0,0,0,0,3,6,0,3,0,0,13,17,0,0,0,0,20,37,0,0,0,0,34,93,0,0,0,0,94,57,0,0,0,0,55,22,0,0,0,0,22,7,0,0,0,0,7,6,0,0,0,0,6,3,0,0,0,0,3,11,0,0,0,0,15,284,3,3,4,0,291
UCL215075,5,0,0,0,0,5,8,0,0,0,0,8,7,0,0,0,0,7,7,0,0,0,0,7,6,0,0,0,0,6,19,0,0,0,0,19,13,0,0,0,0,19,21,4,0,0,0,26,9,0,0,0,0,9,9,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,8,100,5,0,0,3,108
UCL215076,11,0,0,0,0,11,5,0,0,0,0,5,14,0,0,0,0,14,12,0,0,0,0,12,25,0,0,0,0,26,62,0,0,0,0,65,80,0,0,0,0,80,88,0,0,0,0,88,46,0,0,0,0,46,13,0,0,0,0,13,5,0,0,0,0,5,25,0,0,0,0,25,379,0,0,0,3,376
UCL215077,20,0,0,0,0,26,22,0,0,0,0,22,26,0,0,0,0,28,39,0,0,0,0,39,51,0,0,0,0,51,57,0,0,0,0,57,24,0,0,0,0,24,7,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,11,264,0,0,0,0,267
UCL215078,21,0,0,0,0,21,13,0,0,0,0,13,3,0,0,0,0,3,16,0,0,0,0,16,29,0,0,0,0,29,85,0,0,0,0,85,76,0,0,0,0,76,31,0,0,0,0,31,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,9,297,0,0,0,0,297
UCL215079,13,0,0,0,0,13,5,0,0,0,0,5,11,0,0,0,0,11,30,3,0,0,0,34,51,5,0,0,0,60,133,3,0,3,0,135,115,0,0,0,0,115,82,0,0,0,0,82,15,0,0,0,0,15,12,0,0,0,0,8,9,0,0,0,0,9,23,0,0,0,0,23,491,8,0,3,0,502
UCL215080,11,0,0,0,0,11,3,0,0,0,0,5,12,0,0,0,0,12,32,0,0,0,0,32,37,0,0,0,0,35,53,0,0,0,0,57,30,0,0,0,0,28,24,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,213,0,3,3,3,220
UCL215081,9,0,0,0,0,9,4,0,0,0,0,4,12,0,0,0,0,12,31,0,0,0,0,31,25,0,0,0,0,29,61,0,0,0,0,60,15,0,0,0,0,20,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,187,0,3,0,0,191
UCL215082,4,0,0,0,0,4,6,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,7,7,0,0,0,0,7,25,0,0,0,0,25,35,0,0,0,0,35,59,0,0,0,0,58,24,0,0,0,0,24,5,0,0,0,0,5,3,0,0,0,0,3,8,0,0,0,0,8,175,0,0,0,0,181
UCL215083,12,0,0,0,0,12,14,0,0,0,0,14,23,0,0,0,0,23,31,0,0,0,0,31,32,3,0,0,0,41,132,0,3,0,0,135,123,0,0,0,0,123,79,0,0,0,0,79,17,0,0,0,0,18,8,0,0,0,0,8,3,0,0,0,0,3,26,0,0,0,0,26,506,3,3,0,0,514
UCL215084,11,0,0,0,0,11,3,0,0,0,0,3,3,0,0,0,0,3,8,0,0,0,0,8,22,0,0,0,0,22,47,0,0,0,0,47,58,0,0,0,0,58,86,0,0,0,0,86,19,0,0,0,0,19,10,0,0,0,0,10,9,0,0,0,0,9,23,0,0,0,0,23,305,0,0,0,0,305
UCL215085,15,0,0,0,0,15,6,0,0,0,0,6,10,0,0,0,0,10,19,0,0,0,0,21,37,0,0,0,0,32,74,0,0,0,0,74,55,0,0,0,0,55,42,0,0,0,0,42,10,0,0,0,0,10,5,0,0,0,0,5,6,0,0,0,0,6,14,0,0,0,0,15,294,0,0,0,0,295
UCL215086,17,0,0,0,0,18,31,0,0,0,0,31,23,0,0,0,0,23,54,0,0,0,0,52,28,0,0,0,0,27,50,0,0,0,0,50,12,0,0,0,0,12,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,14,250,0,0,0,3,248
UCL215087,17,0,0,0,0,19,16,0,0,0,0,12,4,3,0,0,0,11,25,0,0,0,0,25,26,0,0,0,0,32,98,0,3,0,0,103,140,0,0,0,0,139,136,0,0,0,0,133,28,0,0,0,0,28,36,0,0,0,0,34,10,0,0,0,0,10,33,0,0,0,0,34,561,14,8,0,0,581
UCL215088,10,0,0,0,0,10,4,0,0,0,0,4,8,0,0,0,0,8,11,0,0,0,0,11,19,0,0,0,0,19,61,0,0,0,0,61,46,0,0,0,0,46,23,0,0,0,0,23,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,206,0,0,0,0,208
UCL215089,9,0,0,0,0,9,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,8,0,0,0,0,8,26,0,0,0,0,26,20,0,0,0,0,20,39,0,0,0,0,39,22,0,0,0,0,22,37,0,0,0,0,37,41,0,0,0,0,41,15,0,0,0,0,15,225,0,0,0,0,225
UCL215090,24,0,0,0,0,24,18,0,0,0,0,18,17,0,0,0,0,17,20,0,0,0,0,20,30,0,0,0,0,30,79,3,0,0,0,87,89,0,0,0,0,89,113,0,0,0,0,120,55,0,0,0,0,55,36,0,0,0,0,36,18,0,0,0,0,18,22,0,0,0,0,22,523,3,0,0,0,528
UCL215091,30,0,0,0,0,30,20,0,0,0,0,20,18,0,0,0,0,18,29,0,0,0,0,29,56,0,0,0,0,56,160,0,0,0,0,160,212,0,0,0,0,211,171,0,0,0,0,171,33,0,0,0,0,33,26,0,0,0,0,26,0,0,0,0,0,0,42,0,0,0,0,42,802,3,0,0,0,802
UCL215092,3,0,0,0,0,3,8,0,0,0,0,8,15,0,0,0,0,15,33,0,0,0,0,33,37,0,0,0,0,37,39,0,0,0,0,39,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,14,162,0,0,0,0,162
UCL215093,16,0,0,0,0,16,5,0,0,0,0,5,8,0,0,0,0,8,4,0,0,0,0,6,15,0,0,0,0,15,56,0,0,0,0,58,59,3,0,0,0,59,104,3,0,0,0,108,47,0,0,0,0,47,27,0,0,0,0,27,3,0,0,0,0,3,21,0,0,0,0,21,370,8,0,0,0,380
UCL215094,24,0,0,0,0,29,13,0,0,0,0,16,7,0,0,0,0,7,20,0,0,0,0,26,24,0,0,0,0,25,87,0,3,0,0,87,104,0,0,0,0,104,94,0,0,0,0,95,24,0,0,0,0,24,19,0,0,0,0,19,11,0,0,0,0,11,29,3,0,0,0,32,465,5,6,0,0,484
UCL215095,15,0,0,0,0,15,3,0,0,0,0,6,3,0,0,0,0,3,8,0,0,0,0,10,22,0,0,0,0,22,43,0,0,0,0,43,44,0,0,0,0,44,18,0,0,0,0,18,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,8,0,0,0,0,8,174,3,0,0,0,177
UCL215096,8,0,0,0,0,8,13,0,0,0,0,13,11,0,0,0,0,11,20,0,0,0,0,20,19,0,0,0,0,22,37,0,0,0,0,37,20,0,0,0,0,24,11,0,0,0,0,11,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,149,0,0,0,0,152
UCL215097,4,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,13,0,0,0,0,13,29,0,0,0,0,38,19,0,0,0,0,19,13,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,9,98,3,0,0,3,111
UCL221001,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,10,0,0,0,0,10,29,0,0,0,0,29,31,0,0,0,0,29,26,0,0,0,0,26,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,125,0,0,0,0,125
