UCL_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
UCL221053,3,0,0,0,0,3,0,0,0,12,0,3,0,0,3,5,0,3,5,16,16,42,33,30,37,67,20,21,8,275
UCL221054,0,0,0,0,4,8,0,3,0,12,0,0,0,3,3,7,3,3,3,23,11,35,36,41,51,67,18,40,9,304
UCL221055,0,0,0,0,0,4,5,3,0,14,0,3,0,0,3,3,0,0,0,13,17,48,34,42,48,55,34,59,3,337
UCL221056,0,3,0,0,0,3,0,3,0,14,0,0,0,0,0,0,0,3,0,10,17,22,28,21,32,38,22,18,0,194
UCL221057,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,5,27,35,37,37,35,17,28,3,220
UCL221058,0,5,0,3,0,3,3,3,0,17,0,0,0,0,6,4,0,3,3,15,11,33,20,39,53,64,24,51,10,298
UCL221059,0,3,0,0,0,3,0,0,0,13,0,3,3,0,0,3,0,0,3,13,6,38,39,47,47,37,36,45,14,306
UCL221060,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,9,9,21,19,37,15,18,9,16,0,140
UCL221061,0,0,0,3,3,0,0,0,0,13,0,0,0,4,10,3,0,3,7,35,19,41,34,41,78,62,19,45,17,348
UCL221062,0,0,0,0,3,6,4,3,0,17,0,3,0,3,6,0,0,0,3,14,15,48,39,27,50,42,30,36,10,296
UCL221063,0,0,0,0,4,3,0,0,0,5,0,0,0,0,0,3,0,0,0,3,6,28,21,14,34,40,13,23,3,184
UCL221064,0,0,4,0,0,3,5,0,0,14,0,0,0,0,0,3,0,0,3,19,19,36,44,42,58,63,40,43,7,345
UCL221065,0,3,3,0,0,3,0,0,0,15,0,0,0,3,4,4,0,4,0,14,16,25,29,38,52,44,19,30,5,256
UCL221066,0,0,0,0,5,0,4,0,0,11,0,0,0,0,0,4,0,3,0,13,18,21,12,33,41,42,34,29,3,230
UCL221067,0,0,0,0,0,0,0,3,0,5,0,3,0,0,0,0,0,0,0,5,19,39,44,55,45,49,28,40,9,328
UCL221068,0,0,0,0,0,4,4,3,0,13,3,0,0,3,3,0,0,3,3,13,33,38,41,48,59,44,28,58,13,363
UCL221069,0,3,0,3,13,12,0,6,0,37,3,0,0,3,8,9,3,3,6,29,28,99,82,111,160,144,62,118,13,806
UCL221070,3,3,3,0,0,6,0,3,0,21,0,0,0,0,3,0,0,3,0,15,27,56,34,40,45,54,26,38,3,329
UCL221071,0,0,0,0,0,3,0,3,0,13,0,0,0,0,0,0,0,0,0,5,18,29,38,16,37,39,28,37,0,243
UCL221072,0,0,0,3,0,3,0,0,0,5,0,0,0,0,3,8,0,0,3,19,15,47,40,44,41,46,18,36,6,292
UCL221073,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,4,17,18,41,43,40,38,39,7,33,9,262
UCL221074,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,0,3,0,12,12,45,28,26,27,31,21,24,0,215
UCL221075,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,3,12,46,17,29,34,42,19,22,0,230
UCL221076,0,0,0,3,0,4,0,3,0,11,0,0,0,0,4,0,0,0,4,12,8,27,22,24,61,52,19,29,6,243
UCL221077,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,4,10,11,29,18,19,29,21,6,25,4,163
UCL221078,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,10,14,22,28,31,47,42,19,34,3,242
UCL221079,0,0,4,5,0,7,0,0,0,16,0,3,0,0,3,0,0,3,3,10,15,65,41,45,75,73,37,64,8,426
UCL221080,0,4,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,3,4,8,7,29,20,29,21,29,7,47,3,194
UCL221081,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,10,19,65,53,44,75,73,41,54,3,429
UCL221082,0,0,0,0,0,3,3,0,0,7,0,0,3,0,0,0,0,0,0,9,19,26,31,35,53,39,22,42,7,265
UCL222001,0,3,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,3,0,6,0,20,17,21,23,32,8,30,3,156
UCL222002,0,0,0,0,0,0,0,4,0,8,0,4,0,0,0,0,0,0,0,6,8,29,28,23,21,28,11,32,0,178
UCL222003,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,8,19,17,19,16,20,12,12,3,127
UCL222004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,9,0,15
UCL222005,0,3,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,8,3,8,13,10,16,10,4,18,0,87
UCL222006,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,5,9,19,14,19,31,43,12,25,8,177
UCL222007,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,0,0,0,3,8,5,11,14,8,10,14,17,16,0,89
UCL222008,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,0,3,0,7,10,20,9,19,21,25,7,18,3,125
UCL222009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,11,12,12,17,28,13,28,3,123
UCL222010,0,3,0,0,4,0,3,0,0,12,0,0,0,0,0,0,0,3,0,11,5,21,16,19,34,37,11,27,8,176
UCL222011,0,0,0,3,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,7,25,26,17,25,25,18,21,5,175
UCL222012,0,0,0,0,0,3,0,0,0,4,0,5,0,0,0,0,0,0,3,10,12,17,18,15,13,29,16,28,4,147
UCL222013,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,12,13,7,15,14,10,19,0,98
UCL222014,0,3,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,7,7,30,20,22,17,31,18,22,5,187
UCL222015,0,0,0,5,0,0,0,0,0,9,0,0,0,0,3,0,0,0,6,16,14,27,11,30,56,38,24,41,8,247
UCL222016,0,0,0,0,7,0,0,3,0,8,0,0,0,0,0,0,0,0,0,4,11,18,13,15,40,41,21,30,9,199
UCL222017,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,3,0,0,3,12,15,28,19,23,40,30,27,21,3,218
UCL222018,0,0,0,0,3,3,0,0,0,11,0,0,0,0,4,3,0,0,0,6,4,20,25,22,36,25,9,32,0,177
UCL222019,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,3,7,6,10,13,15,12,17,0,84
UCL222020,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,14,11,4,4,8,8,13,8,72
UCL222021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,4,15,10,17,10,18,3,95
UCL222022,0,4,0,0,0,3,0,0,0,8,0,0,0,0,6,4,0,3,3,15,10,25,17,36,30,29,11,25,3,188
UCL222023,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,7,7,12,14,24,18,8,12,0,109
UCL222024,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,3,15,15,3,16,25,10,17,0,105
UCL222025,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,5,4,24,23,33,37,33,19,19,3,199
UCL222026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,5,5,17,28,19,19,54,3,151
UCL222027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,13,18,8,6,7,4,14,6,76
UCL222028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,23,19,20,25,25,13,20,0,152
UCL222029,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,4,19,19,13,29,21,17,21,3,147
UCL222030,0,3,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,7,10,9,18,9,12,18,13,12,10,7,110
UCL222031,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,6,6,18,15,17,18,18,6,26,0,118
UCL222032,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,3,0,0,0,11,8,19,26,19,31,33,20,30,8,196
UCL222033,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,8,4,9,13,6,3,18,3,70
UCL222034,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,5,10,13,9,8,14,8,8,3,75
UCL222035,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,6,13,14,10,11,16,7,18,8,104
UCL222036,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,11,20,12,20,25,22,7,41,0,162
UCL222037,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,3,0,3,8,22,13,14,8,19,15,26,3,122
UCL222038,0,0,0,0,3,0,0,0,0,10,0,0,0,0,3,0,0,0,0,4,8,4,16,15,23,12,9,4,0,84
UCL222039,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,19,10,8,19,10,3,8,0,77
UCL222040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,16,11,3,5,12,4,5,10,70
UCL222041,0,0,0,0,0,0,3,0,0,5,0,0,0,0,3,0,0,0,0,6,5,17,4,18,18,21,12,11,0,109
UCL222042,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,3,3,14,17,14,14,22,8,21,0,111
UCL222043,0,0,0,0,0,0,0,0,0,10,0,0,0,3,3,3,0,0,0,10,14,11,14,24,30,34,17,26,0,156
UCL222044,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,15,17,16,17,27,15,16,0,133
UCL222045,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,9,18,12,21,21,13,7,23,9,125
UCL222046,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,7,11,13,15,19,9,18,0,93
UCL222047,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,10,9,26,15,26,41,39,15,30,0,200
UCL222048,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,5,12,9,17,15,22,15,20,8,18,3,137
UCL222049,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,4,5,13,9,15,16,18,4,11,4,94
UCL222050,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,3,0,0,3,9,23,16,16,17,24,17,18,0,145
UCL222051,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,8,6,24,9,16,20,32,12,16,8,140
UCL222052,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,0,5,8,6,8,12,7,10,3,9,0,70
UCL222053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,14,13,11,14,17,3,16,0,94
UCL222054,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,7,19,17,9,18,11,4,14,0,101
UCL222055,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,5,4,23,15,22,23,30,16,33,4,174
UCL222056,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,10,23,22,18,16,13,16,19,4,137
UCL222057,0,4,0,0,4,0,0,0,0,8,0,0,3,0,0,4,3,0,5,13,6,38,19,23,31,30,16,44,5,213
UCL222058,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,3,22,22,17,27,22,8,29,5,155
UCL222059,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,7,6,15,16,21,28,41,15,21,0,171
UCL222060,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,3,10,17,13,9,19,19,12,14,0,120
UCL222061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,11,9,13,14,17,14,13,5,22,0,111
UCL222062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,13,23,17,14,41,3,125
UCL222063,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,8,7,14,17,10,27,24,13,13,3,119
UCL222064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,3,3,9,20,16,23,22,0,95
UCL222065,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,12,5,7,18,11,9,7,3,80
UCL222066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,16,8,9,6,18,13,20,0,85
UCL222067,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,20,15,18,14,22,15,25,0,124
UCL222068,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,0,0,3,0,10,16,18,13,37,28,36,15,23,3,179
UCL222069,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,8,12,23,19,17,14,27,11,19,3,162
UCL222070,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,5,13,39,22,23,42,47,26,37,6,253
UCL222071,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,3,7,16,16,12,21,12,16,11,8,117
UCL222072,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,23,9,12,9,20,14,20,4,108
UCL222073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,6,4,9,20,13,4,16,9,90
UCL222074,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,11,5,14,13,9,21,24,12,13,4,116
UCL222075,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,7,5,11,11,4,20,16,11,24,3,110
UCL222076,0,0,0,0,4,0,0,3,0,9,0,3,4,0,0,3,0,0,0,8,5,18,24,27,32,30,21,32,3,189
UCL222077,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,5,13,13,13,23,30,14,8,3,117
UCL222078,3,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,6,11,23,20,16,28,25,8,30,0,148
UCL222079,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,11,3,13,23,11,26,22,14,19,5,150
UCL222080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,7,9,10,15,11,6,9,3,75
UCL222081,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,10,24,16,13,14,23,13,28,4,135
UCL222082,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,8,10,6,11,16,15,5,9,0,86
UCL222083,0,0,0,0,0,0,3,0,0,11,0,0,0,0,4,0,0,0,3,12,5,19,16,19,28,39,17,23,10,183
UCL222084,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,5,7,9,22,8,22,20,22,16,20,8,152
UCL222085,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,3,4,3,7,0,12,3,12,0,54
UCL222086,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,17,22,24,27,30,5,29,0,161
UCL222087,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,11,16,14,6,16,9,9,8,0,80
UCL222088,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,6,30,33,21,27,37,16,30,3,206
UCL222089,0,0,0,3,0,3,0,3,0,12,0,3,0,0,0,0,0,0,5,9,4,33,29,37,26,30,14,25,4,197
UCL222090,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,4,9,3,23,8,15,17,19,4,13,8,116
UCL222091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,8,16,6,6,9,3,5,3,71
UCL222092,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,5,10,8,5,11,14,16,28,0,95
UCL222093,0,0,0,0,3,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,3,11,10,8,19,20,14,14,0,100
UCL222094,0,0,0,0,0,3,0,0,0,5,0,0,4,0,0,3,0,0,3,17,12,32,25,28,20,30,16,33,3,196
UCL222095,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,3,11,22,16,16,9,21,13,24,4,127
UCL222096,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,4,19,19,12,7,14,10,7,0,88
UCL222097,0,0,0,0,3,3,0,0,0,11,3,0,0,0,0,0,0,3,3,10,7,17,14,9,32,11,14,16,4,125
UCL222098,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,5,7,33,24,24,34,36,12,25,0,193
UCL222099,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,3,11,13,21,31,30,17,28,9,161
UCL222100,0,0,4,0,0,4,0,0,0,7,7,3,0,0,0,0,0,0,3,10,18,33,18,19,30,21,15,17,7,180
UCL222101,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,3,13,22,3,15,14,6,13,4,85
UCL222102,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,5,14,6,3,24,17,4,16,4,95
UCL222103,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,5,11,16,18,28,32,11,14,0,141
UCL222104,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,5,21,19,27,29,30,27,29,6,185
UCL222105,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,15,14,14,17,21,5,33,0,132
UCL222106,0,0,0,0,0,3,0,3,0,10,0,0,0,0,3,3,0,0,0,7,3,21,18,17,35,38,19,27,0,176
UCL222107,0,0,3,0,0,3,0,0,0,7,0,0,0,0,0,3,0,0,0,7,9,27,19,30,45,36,19,25,9,223
UCL222108,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,9,22,27,21,28,22,10,22,3,157
UCL222109,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,7,21,10,12,11,15,10,26,3,116
UCL222110,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,3,9,3,24,23,23,28,37,26,24,9,202
UCL222111,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,14,12,6,29,29,10,25,0,126
UCL222112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,13,10,7,6,7,23,0,84
UCL222113,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,7,9,20,20,24,28,22,11,6,5,137
UCL222114,0,0,0,0,3,3,0,0,0,10,0,0,0,0,0,3,0,0,0,8,7,12,9,9,21,24,11,3,0,91
UCL222115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,12,9,11,9,6,8,0,64
UCL222116,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,8,0,9,10,9,13,15,6,18,3,96
UCL222117,0,0,4,3,3,0,0,0,0,11,0,0,0,0,0,0,0,3,0,6,8,22,16,22,26,31,9,26,3,165
UCL222118,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,7,3,19,4,13,15,23,8,10,6,94
UCL222119,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,7,7,8,10,23,12,8,18,0,91
UCL222120,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,19,10,18,21,22,15,5,0,118
UCL222121,0,0,0,0,0,4,3,0,0,6,0,0,0,0,0,3,0,0,0,8,3,8,8,13,18,21,8,15,0,100
UCL222122,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,18,12,14,16,28,11,8,0,105
UCL231777,217,888,670,734,1089,1402,567,1137,97,6790,482,981,707,728,998,1460,498,1339,2026,9210,8622,25102,21079,23359,26795,33143,16075,40191,4861,199216
UCL279997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,17,0,23
UCL299994,4,13,10,4,18,20,4,16,0,89,16,11,18,11,19,11,6,10,39,148,111,212,205,226,348,385,170,296,84,2033
