UCL_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
UCL213012,0,0,0,0,0,3,4,0,0,6,0,0,0,0,0,0,0,0,0,7,0,4,0,6,3,7,9,4,3,28,0,0,0,8,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,14,11,4,5,5,0,46,0,0,0,10,3,5,15,13,5,47,0,3,0,8,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,4,0,0,0,20,0,0,0,0,0,10,7,4,0,23,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,9,9,18,39,22,8,107,0,15,11,54,29,23,27,4,3,173,0,0,0,0,10,9,9,8,0,30,0,0,0,0,0,0,0,0,0,0
UCL213013,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,13,3,3,0,0,0,24,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,8,0,0,0,0,4,0,0,0,5,8,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,14,0,0,0,0,0,0,6,3,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,17,12,10,11,49,0,8,8,29,25,28,12,3,0,114,0,0,0,0,0,0,3,3,0,8,0,0,0,4,0,0,0,0,0,8
UCL213014,0,0,0,0,0,3,0,0,0,8,0,0,3,8,0,0,0,0,0,13,3,9,0,105,3,8,4,3,0,130,0,0,0,5,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,5,3,3,0,19,0,3,0,3,0,3,12,17,0,47,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,10,0,3,5,22,7,14,4,0,0,57,0,0,0,0,0,0,5,3,0,11,0,0,0,3,0,3,0,0,0,11,0,0,0,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,4,0,0,0,8,0,9,29,24,8,85,3,7,16,37,28,24,17,8,0,130,0,0,0,0,0,0,3,4,0,5,3,4,0,11,3,0,0,0,0,23
UCL213015,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,9,7,8,20,123,8,9,4,0,0,174,0,3,3,18,9,0,0,0,0,34,0,0,4,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,9,0,0,0,8,0,0,0,0,0,8,0,0,0,5,0,16,37,49,21,126,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,9,8,34,6,0,0,0,0,62,0,0,0,0,0,3,0,0,0,3,0,3,0,8,0,3,0,0,0,10,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,14,3,4,5,20,6,0,7,0,0,43,0,0,0,0,0,0,0,0,0,0,0,5,4,25,6,0,0,0,0,39
UCL213016,0,0,3,0,3,8,6,3,3,25,0,3,0,4,3,0,0,0,0,17,0,0,0,16,3,3,7,0,0,38,0,0,0,5,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,16,10,11,11,3,0,51,0,0,0,3,6,15,23,9,3,63,0,4,7,10,7,3,0,0,0,22,0,0,5,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,0,0,0,17,0,0,0,0,3,7,15,9,0,29,0,0,0,5,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,6,12,15,20,6,65,0,15,16,93,47,21,10,4,0,202,0,0,0,3,8,3,10,0,0,22,0,0,0,0,0,0,0,0,0,0
UCL213017,0,0,0,0,0,4,4,3,3,18,0,0,0,6,0,3,0,0,0,8,0,6,3,55,0,0,4,3,0,76,0,0,0,3,0,3,0,0,0,5,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,12,0,0,0,4,5,35,92,78,44,254,0,0,0,7,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,7,0,0,0,30,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,26,0,0,0,4,4,14,33,10,12,78,0,3,5,32,17,6,24,7,5,106,0,0,0,0,0,4,0,0,0,6,0,0,0,8,0,0,0,0,0,8
UCL213018,0,0,0,0,0,0,3,0,0,11,0,0,4,0,0,0,0,0,0,5,3,3,8,48,9,3,8,0,0,76,0,0,5,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,4,3,22,0,0,0,0,7,6,15,19,7,54,0,0,0,5,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,16,51,25,13,114,0,11,16,39,30,22,18,4,3,148,0,0,0,0,4,3,7,0,0,13,0,0,0,3,0,0,0,0,0,7
UCL214001,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,10,0,0,0,42,3,0,6,0,0,47,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,4,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,14,3,4,28,0,8,13,51,20,9,4,0,0,108,0,0,0,3,0,0,0,0,0,3,0,4,0,11,3,0,0,0,0,20
UCL214002,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,3,7,0,39,3,3,3,0,0,56,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,0,6,0,0,0,0,3,6,6,0,0,15,0,0,0,0,0,0,9,7,3,24,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,9,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,19,13,3,42,0,0,3,7,19,8,7,3,0,51,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0
UCL214003,0,0,0,0,3,0,3,0,0,3,0,0,11,8,7,0,0,0,0,22,3,0,0,41,3,0,0,3,0,48,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,6,0,5,0,0,0,7,6,3,0,18,0,0,0,0,4,4,3,0,0,22,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,11,0,0,0,3,4,5,0,0,0,17,0,0,0,0,0,4,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,9,16,3,0,41,0,6,10,34,20,29,12,7,0,114,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0
UCL214004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,15,67,3,3,0,0,0,100,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,3,0,8,3,22,15,4,0,0,0,52,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13,14,51,53,12,141,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,30,4,0,0,0,0,46,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,18,0,9,19,20,15,9,7,5,3,94,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,14
UCL214005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL214006,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,4,0,0,0,16,5,3,0,6,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,3,4,4,3,31,0,0,0,0,10,10,11,5,5,39,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,13,0,0,0,3,0,16,8,3,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,13,6,0,26,3,8,5,53,30,14,6,7,0,131,0,0,0,4,8,0,9,3,0,21,0,0,0,3,0,0,0,0,0,3
UCL214007,0,0,0,0,0,0,6,0,0,6,0,0,4,3,0,0,0,0,0,4,0,3,7,33,3,3,0,0,0,55,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,10,15,14,8,45,3,12,8,34,18,12,15,4,7,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL214008,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,0,6,0,0,14,0,0,0,4,0,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,3,0,14,0,0,0,3,0,8,7,10,5,25,0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,3,18,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,22,31,11,11,84,0,7,4,37,33,35,14,8,0,135,0,0,0,6,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0
UCL214009,0,0,0,0,3,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,18,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,8,4,0,15,0,0,0,0,0,4,16,4,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,7,3,0,16,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,9,30,17,8,59,0,0,0,15,9,10,11,10,0,60,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0
UCL214010,0,0,0,0,0,0,6,0,0,10,0,3,0,0,0,0,0,0,0,4,0,0,0,33,3,0,0,0,0,42,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,3,6,8,0,28,0,0,0,0,3,9,3,10,3,37,0,0,8,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,3,0,0,0,20,0,0,0,0,3,7,7,4,0,23,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,0,22,0,0,0,13,11,11,10,6,0,60,0,0,0,0,0,3,3,3,0,7,0,0,0,0,0,0,0,0,0,0
UCL214011,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,5,25,20,7,65,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,10,0,6,17,0,3,9,14,13,14,9,4,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL214012,0,0,0,0,0,6,10,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,3,0,16,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,0,0,14,0,0,0,0,0,7,10,15,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,8,0,0,0,0,0,5,4,4,3,13,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,14,7,57,0,4,3,22,11,11,12,3,3,69,0,0,0,0,3,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0
UCL214013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,35,5,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,3,0,0,19,0,0,0,3,0,4,6,10,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,17,3,45,0,6,3,13,11,10,4,0,0,48,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0
UCL214014,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,3,4,3,0,36,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,3,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,10,11,11,4,34,0,3,7,6,17,11,6,8,3,56,0,0,0,0,0,3,3,3,4,7,0,0,0,4,0,0,0,0,0,5
UCL214015,0,0,0,0,4,16,29,28,3,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,9,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,10,0,0,18,0,0,0,0,5,16,21,17,7,65,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,17,49,24,0,99,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,11,4,38,0,8,3,19,25,22,24,9,3,119,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0
UCL214016,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,10,0,0,0,0,3,8,15,15,8,49,0,0,0,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,9,0,0,0,0,3,3,6,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0,5,28,0,0,7,3,11,10,7,0,0,37,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
UCL214017,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,22,0,0,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,8,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,4,3,5,0,16,0,3,0,11,8,6,5,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL214018,0,0,0,0,4,3,3,0,0,13,0,0,0,0,4,0,3,0,0,8,0,3,0,44,3,3,3,0,0,62,0,3,0,3,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,3,0,0,0,9,0,3,3,0,0,20,0,5,0,3,9,4,0,0,0,19,0,0,0,0,20,17,17,3,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,13,0,0,3,3,3,5,3,0,0,18,0,0,4,9,0,19,18,4,0,59,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,11,0,4,10,29,23,16,4,3,0,96,0,0,0,0,0,3,0,0,0,7,3,0,0,8,3,0,0,0,0,15
UCL214019,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,6,4,0,4,31,5,0,0,0,0,46,0,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,3,14,0,0,0,0,0,8,35,31,16,98,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,4,4,0,0,9,0,0,0,0,0,3,0,0,0,4,0,0,0,7,3,0,0,0,0,12,0,0,0,6,0,0,0,0,0,6,0,0,0,4,3,11,32,12,7,68,0,3,13,29,11,26,16,4,0,108,0,0,0,0,0,6,0,0,3,9,0,0,0,0,0,0,0,0,0,0
UCL214020,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,28,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,0,3,3,8,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,12,0,0,0,0,0,3,12,3,0,16,0,0,0,3,3,0,0,0,0,3,0,0,0,8,0,0,0,0,0,8,0,3,0,3,0,0,0,0,0,11,0,0,0,0,0,6,11,4,0,22,0,0,7,3,9,13,10,3,4,42,0,0,0,0,0,0,3,0,0,8,0,0,0,3,0,0,0,0,0,3
UCL215001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
