UCL_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
UCL221003,409,856,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,11,0,3,0,0,4,17,4,9,422,884,85,..,498,884
UCL221004,186,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,191,497,12,..,202,497
UCL221005,215,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,721,8,..,224,721
UCL221006,250,581,0,0,0,0,0,0,18,18,0,0,0,0,0,0,18,18,0,0,0,0,0,0,3,8,3,9,3,3,273,614,67,..,333,614
UCL221007,214,506,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,215,510,40,..,256,510
UCL221008,212,487,12,13,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,498,35,..,252,498
UCL221009,284,624,0,0,0,0,0,0,17,21,0,0,0,0,0,0,17,21,0,0,0,0,0,0,3,5,4,6,0,0,309,656,54,..,360,656
UCL221010,234,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,555,19,..,259,555
UCL221011,209,465,11,13,0,0,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,11,3,3,225,497,30,..,252,497
UCL221012,170,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,166,505,18,..,188,505
UCL221013,145,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,3,0,8,149,481,15,..,168,481
UCL221014,208,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,564,20,..,233,564
UCL221015,329,667,0,4,11,23,14,23,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,8,8,0,4,352,704,642,..,991,704
UCL221016,179,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,181,547,5,..,187,547
UCL221017,304,775,14,15,0,0,14,15,6,3,0,0,0,0,0,0,6,3,0,3,0,0,0,0,5,16,7,22,0,0,328,822,48,..,378,822
UCL221018,418,843,8,12,0,3,14,13,3,7,0,0,0,0,0,0,3,7,0,4,0,0,0,0,0,7,3,8,0,0,438,872,67,..,508,872
UCL221019,566,1224,0,0,0,0,0,0,9,17,0,0,0,0,0,6,9,23,17,16,0,0,0,0,3,7,17,23,0,14,601,1283,124,..,726,1283
UCL221020,351,677,0,9,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,10,21,29,377,729,83,..,459,729
UCL221021,289,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,641,160,..,455,641
UCL221022,376,696,0,3,0,0,0,3,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,374,699,419,..,796,699
UCL221023,163,380,9,15,0,0,9,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,7,4,7,10,17,193,419,57,..,246,419
UCL221024,267,524,4,7,0,0,4,7,22,30,0,0,0,0,0,0,22,30,16,18,0,0,0,0,4,12,25,33,3,8,325,595,75,..,404,595
UCL221025,327,721,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,331,734,84,..,418,734
UCL221026,355,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,359,835,82,..,441,835
UCL221027,278,534,17,21,0,0,17,21,10,12,0,0,0,0,0,0,10,12,0,0,0,0,0,0,3,5,6,10,0,0,310,575,100,..,412,575
UCL221028,273,524,12,11,0,0,12,11,0,0,0,0,0,0,0,0,0,0,3,6,3,5,0,0,0,3,12,14,3,8,292,559,183,..,479,559
UCL221029,279,567,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,16,18,0,3,0,0,4,15,21,32,0,0,300,610,52,..,351,610
UCL221030,230,515,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,6,3,6,0,3,238,536,435,..,677,536
UCL221031,228,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,622,13,..,246,622
UCL221032,384,799,0,3,0,0,0,3,3,4,0,0,0,0,0,0,3,4,43,63,0,0,0,0,0,0,43,63,0,3,437,873,123,..,555,873
UCL221033,208,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,568,16,..,225,568
UCL221034,186,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,5,189,491,23,..,212,491
UCL221035,222,453,0,3,0,0,0,3,7,3,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,3,0,3,0,0,229,463,42,..,274,463
UCL221036,225,784,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,787,14,..,241,787
UCL221037,269,574,0,3,0,0,0,3,6,9,0,0,0,0,0,0,6,9,9,9,0,0,0,0,5,8,14,16,4,10,293,610,46,..,341,610
UCL221038,238,665,5,6,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,674,23,..,263,674
UCL221039,251,534,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,6,0,0,0,0,0,0,5,9,5,9,0,0,263,546,72,..,334,546
UCL221040,390,1005,0,7,0,0,0,7,4,8,0,0,0,0,3,3,3,6,0,0,0,0,6,5,0,0,3,5,0,0,403,1035,58,..,457,1035
UCL221041,268,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,3,8,0,0,268,770,32,..,299,770
UCL221042,280,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,280,674,44,..,322,674
UCL221043,234,503,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,10,238,518,176,..,412,518
UCL221044,189,533,0,6,0,0,0,6,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,193,543,15,..,211,543
UCL221045,387,675,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,0,3,4,0,0,395,681,1250,..,1649,681
UCL221046,412,817,25,32,0,0,25,32,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,10,0,0,7,17,0,8,445,866,301,..,749,866
UCL221047,238,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,5,17,0,3,250,569,36,..,287,569
UCL221048,286,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0,0,0,0,15,11,0,3,295,855,22,..,315,855
UCL221049,169,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,9,0,0,168,530,7,..,180,530
UCL221050,476,996,0,0,3,5,7,5,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,7,5,6,10,10,495,1020,311,..,803,1020
UCL221051,200,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,6,0,0,206,654,12,..,215,654
UCL221052,263,604,16,26,0,0,16,26,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,284,632,32,..,314,632
UCL221053,300,678,3,5,0,0,3,5,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,6,8,6,8,3,9,318,704,77,..,396,704
UCL221054,165,471,19,37,0,0,19,37,3,10,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,186,509,7,..,195,509
UCL221055,293,729,9,13,0,0,9,13,3,7,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,304,750,36,..,336,750
UCL221056,249,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,565,81,..,330,565
UCL221057,253,523,5,6,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,3,12,0,0,261,542,32,..,294,542
UCL221058,242,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,668,23,..,260,668
UCL221059,222,557,13,23,0,0,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,242,582,54,..,296,582
UCL221060,244,446,0,3,3,5,3,6,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3,3,0,0,253,457,232,..,478,457
UCL221061,214,589,3,6,0,0,3,6,0,0,0,0,0,0,0,0,0,0,43,58,63,82,0,3,0,0,101,138,3,14,320,739,10,..,327,739
UCL221062,387,800,9,9,0,0,9,9,3,3,0,0,0,0,0,0,3,3,8,13,0,0,0,5,8,13,16,26,3,4,420,845,78,..,498,845
UCL221063,224,460,4,7,0,0,4,7,3,7,0,0,0,0,0,0,3,7,0,0,0,0,0,0,3,5,3,5,0,0,236,487,53,..,291,487
UCL221064,222,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,220,634,18,..,242,634
UCL221065,199,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,536,22,..,230,536
UCL221066,189,478,7,7,0,0,7,7,6,3,0,0,0,0,0,0,6,3,0,0,0,0,0,0,3,3,3,6,3,3,200,497,21,..,220,497
UCL221067,292,672,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,675,582,..,878,675
UCL221068,353,776,17,26,0,0,17,26,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,5,6,0,0,373,815,67,..,445,815
UCL221069,545,1580,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,545,1588,25,..,567,1588
UCL221070,320,708,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,10,327,728,50,..,376,728
UCL221071,149,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,480,7,..,158,480
UCL221072,264,577,5,4,0,0,5,4,4,4,0,0,0,0,0,0,4,4,0,0,0,0,3,5,16,14,17,19,5,11,298,612,87,..,385,612
UCL221073,249,539,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,545,711,..,962,545
UCL221074,330,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,336,602,1132,..,1469,602
UCL221075,251,537,6,5,0,0,6,5,0,3,0,0,0,0,0,0,0,3,7,4,0,0,0,0,0,0,8,6,3,3,269,557,58,..,332,557
UCL221076,194,445,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,200,450,37,..,232,450
UCL221077,257,508,0,0,0,0,0,0,12,9,0,0,0,0,0,0,12,9,8,15,0,0,0,0,0,0,14,11,9,15,289,544,88,..,372,544
UCL221078,177,452,9,21,15,31,23,50,0,0,0,0,0,0,0,0,0,0,56,80,0,4,0,0,0,0,57,90,0,3,261,591,21,..,284,591
UCL221079,317,863,3,7,0,0,3,7,10,10,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,329,879,27,..,357,879
UCL221080,238,470,3,6,0,3,3,11,3,7,0,0,0,0,0,0,3,7,0,0,4,3,0,0,5,4,9,7,0,0,251,495,56,..,306,495
UCL221081,334,814,24,32,0,0,24,32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,14,11,21,0,4,371,872,42,..,420,872
UCL221082,214,545,6,3,0,0,6,3,12,16,0,0,0,0,0,0,12,16,0,0,0,0,0,0,0,4,0,4,0,0,232,561,22,..,258,561
UCL222001,87,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,261,12,..,97,261
UCL222002,133,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,136,355,82,..,225,355
UCL222003,92,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,264,10,..,97,264
UCL222004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,5,0
UCL222005,89,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,207,10,..,99,207
UCL222006,134,325,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,332,32,..,166,332
UCL222007,80,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,179,7,..,88,179
UCL222008,113,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,241,152,..,261,241
UCL222009,133,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,7,16,3,11,141,295,32,..,174,295
UCL222010,103,301,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,102,318,9,..,109,318
UCL222011,107,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,105,343,8,..,113,343
UCL222012,125,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,126,288,216,..,345,288
UCL222013,89,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,194,62,..,152,194
UCL222014,142,338,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,343,165,..,312,343
UCL222015,149,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,152,425,28,..,184,425
UCL222016,134,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,355,20,..,151,355
UCL222017,197,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,3,3,196,434,34,..,229,434
UCL222018,134,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,371,5,..,134,371
UCL222019,101,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,104,221,24,..,126,221
UCL222020,111,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,216,22,..,135,216
UCL222021,31,104,0,0,8,26,8,26,0,7,0,3,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,43,141,90,..,133,141
UCL222022,123,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,122,337,13,..,134,337
UCL222023,95,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,0,0,97,242,14,..,111,242
UCL222024,103,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,10,0,3,113,234,18,..,126,234
UCL222025,150,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,407,9,..,165,407
UCL222026,3,8,3,10,0,0,3,10,30,65,10,23,12,36,0,0,50,129,0,0,0,0,0,0,0,0,0,0,0,5,51,146,37,..,91,146
UCL222027,74,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,8,0,4,81,176,23,..,106,176
UCL222028,114,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,311,7,..,125,311
UCL222029,123,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,8,0,0,128,306,20,..,142,306
UCL222030,208,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,374,505,..,720,374
UCL222031,100,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,104,263,19,..,122,263
UCL222032,155,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,4,6,160,403,9,..,171,403
UCL222033,102,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,201,22,..,120,201
UCL222034,81,181,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7,0,3,93,195,14,..,101,195
UCL222035,100,221,0,0,0,0,0,0,9,5,0,0,0,0,0,0,9,5,0,3,0,0,0,0,3,7,3,6,0,0,112,234,28,..,141,234
UCL222036,95,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,4,5,6,14,14,37,119,257,216,..,330,257
UCL222037,75,173,0,3,0,0,4,3,7,5,0,0,0,0,0,0,7,5,0,0,0,0,0,0,3,5,3,8,3,10,88,195,75,..,163,195
UCL222038,98,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,100,230,30,..,136,230
UCL222039,42,83,96,202,0,4,100,206,9,10,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,151,295,63,..,209,295
UCL222040,83,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,4,8,0,0,85,176,12,..,95,176
UCL222041,86,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,86,215,9,..,94,215
UCL222042,68,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,206,0,..,72,206
UCL222043,102,310,0,0,0,0,0,0,7,9,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,4,111,321,6,..,116,321
UCL222044,139,300,0,5,3,10,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,3,144,322,112,..,259,322
UCL222045,100,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,3,9,6,17,0,0,111,269,8,..,118,269
UCL222046,103,220,0,0,0,0,0,0,5,3,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,107,227,21,..,128,227
UCL222047,179,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,185,432,9,..,192,432
UCL222048,165,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,3,169,351,22,..,190,351
UCL222049,126,238,0,0,0,0,0,0,5,10,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,131,246,50,..,180,246
UCL222050,89,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,246,3,..,92,246
UCL222051,146,356,4,9,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,157,375,24,..,183,375
UCL222052,92,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,96,192,26,..,119,192
UCL222053,91,190,3,5,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,196,18,..,114,196
UCL222054,85,175,0,0,9,9,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,0,97,193,164,..,261,193
UCL222055,165,353,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,6,0,0,3,11,4,3,171,370,166,..,341,370
UCL222056,142,275,3,6,0,0,3,6,3,3,0,0,0,0,0,0,3,3,0,8,0,0,0,0,6,10,8,16,0,0,153,297,75,..,226,297
UCL222057,171,410,0,0,0,0,0,0,14,17,0,0,0,0,0,0,14,17,0,0,0,0,0,0,0,0,0,0,0,6,185,438,26,..,208,438
UCL222058,120,323,0,0,0,0,0,0,6,16,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,8,3,9,0,3,132,348,15,..,147,348
UCL222059,165,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,164,395,15,..,185,395
UCL222060,88,229,0,0,0,0,0,0,3,10,0,0,0,0,0,0,3,10,5,5,0,0,0,0,0,0,5,5,0,0,93,238,3,..,95,238
UCL222061,166,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,10,13,0,0,173,327,45,..,221,327
UCL222062,0,0,0,0,0,0,0,0,3,4,0,3,14,36,0,0,17,47,0,0,0,0,0,0,0,0,0,0,5,8,18,50,344,..,361,50
UCL222063,88,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,96,196,25,..,117,196
UCL222064,0,0,0,0,4,17,4,17,5,21,3,13,16,29,0,0,18,57,0,0,0,0,0,0,0,0,0,0,3,4,27,76,66,..,93,76
UCL222065,79,180,0,0,0,0,0,0,4,5,0,0,0,0,0,0,4,5,0,4,0,0,0,0,0,0,0,4,0,0,86,186,3,..,94,186
UCL222066,86,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,3,0,3,90,203,30,..,119,203
UCL222067,70,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,71,227,5,..,78,227
UCL222068,170,334,0,0,0,0,0,0,6,3,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,176,338,35,..,215,338
UCL222069,141,312,7,16,0,3,11,18,4,10,0,0,0,0,0,0,4,10,0,0,0,0,0,0,6,12,9,11,0,0,160,345,93,..,249,345
UCL222070,148,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,462,10,..,154,462
UCL222071,71,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,224,5,..,74,224
UCL222072,69,182,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,12,74,195,20,..,93,195
UCL222073,109,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,112,235,8,..,121,235
UCL222074,146,328,0,0,0,0,0,0,8,10,0,0,0,0,0,0,8,10,0,0,0,0,0,0,8,16,8,16,3,7,162,357,24,..,189,357
UCL222075,88,199,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,10,3,10,3,6,97,211,38,..,137,211
UCL222076,134,350,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,7,4,13,137,370,10,..,153,370
UCL222077,67,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,65,185,3,..,69,185
UCL222078,174,381,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,6,17,0,0,185,399,64,..,252,399
UCL222079,140,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,11,0,3,144,348,9,..,148,348
UCL222080,106,193,0,3,0,0,0,3,5,8,0,0,0,0,0,0,5,8,0,0,0,0,0,0,3,4,3,4,0,0,119,210,105,..,218,210
UCL222081,73,172,0,0,0,0,0,0,3,9,0,0,0,0,0,0,3,9,0,0,3,8,0,0,0,3,4,5,7,15,83,199,88,..,178,199
UCL222082,71,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,74,186,14,..,86,186
UCL222083,148,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,148,400,24,..,176,400
UCL222084,173,374,5,6,0,0,5,6,8,14,0,0,0,0,0,0,8,14,4,10,0,0,0,0,0,0,4,10,0,0,189,400,42,..,229,400
UCL222085,85,155,0,0,0,0,0,0,7,10,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,88,161,16,..,103,161
UCL222086,206,417,0,0,0,0,0,0,6,9,0,0,0,0,0,0,6,9,3,4,0,0,0,0,3,8,3,12,0,0,215,430,68,..,280,430
UCL222087,91,204,0,0,0,0,0,0,5,4,0,0,0,0,0,0,5,4,6,18,3,3,0,0,0,0,7,20,10,13,119,249,55,..,169,249
UCL222088,145,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,368,63,..,208,368
