UCL_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL214016,0,0,0,7,0,0,0,0,0,7,0,0,0,5,32,45,0,0,0,0,0,0,0,0,0,5,3,15,72,29,6,78,3,54,7,33,6,242,42,564
UCL214017,0,0,0,15,0,0,0,3,0,3,0,0,0,11,31,51,0,0,0,0,0,0,0,0,0,15,3,20,86,23,7,92,16,44,11,48,5,289,44,661
UCL214018,0,0,0,10,0,0,0,0,0,3,0,0,0,3,25,43,4,0,0,0,0,0,0,0,0,0,6,11,174,21,5,96,17,83,9,40,10,183,31,664
UCL214019,0,4,0,9,0,0,0,0,0,3,0,0,0,11,32,42,0,0,0,0,0,0,0,3,0,20,13,39,63,51,8,91,9,50,0,76,13,425,53,849
UCL214020,0,3,0,16,0,0,0,0,0,0,0,0,0,16,33,56,0,0,0,0,0,3,0,0,0,26,9,41,108,37,8,116,13,59,6,60,12,538,61,1015
UCL215001,0,6,0,9,0,0,0,0,0,0,0,0,0,5,12,13,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0,17,0,7,3,14,0,72,13,162
UCL215002,0,0,0,4,0,0,0,0,0,0,0,0,0,8,14,23,0,0,0,0,0,0,0,0,0,6,0,6,47,13,6,30,6,18,3,25,4,134,15,295
UCL215003,0,3,0,19,0,0,0,0,0,0,0,0,0,3,20,27,0,0,0,0,0,0,0,0,0,8,0,8,41,19,7,38,0,25,3,22,3,144,20,334
UCL215004,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,9,0,0,0,0,0,0,0,0,0,0,0,5,16,13,4,28,0,3,0,18,4,56,9,156
UCL215005,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,16,3,0,0,0,0,0,0,0,0,0,0,3,44,6,3,20,4,34,3,12,4,99,9,235
UCL215006,0,0,0,20,0,0,0,0,0,0,0,0,0,3,7,12,0,0,0,0,0,3,0,0,0,4,0,5,38,25,0,28,4,21,0,33,7,127,13,286
UCL215007,0,0,0,8,0,0,0,0,0,3,0,0,0,3,17,20,0,0,0,0,0,0,0,0,0,3,0,3,124,14,3,60,7,42,4,32,5,126,23,445
UCL215008,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,46,6,3,37,0,13,0,3,3,44,5,165
UCL215009,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,0,0,0,0,0,0,0,0,0,3,3,4,20,6,0,7,0,10,0,10,3,69,8,137
UCL215010,0,0,0,10,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,36,4,0,37,0,13,0,7,4,51,6,165
UCL215011,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,3,0,4,5,4,3,14,4,15,0,13,0,57,19,134
