SA3_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
20904,93,647,10,183,80,30,0,8,4,1059,11,146,0,13,22,6,0,0,0,197,699,4461,228,951,1416,608,42,261,100,8761,4,9,5,40,17,11,0,0,0,91,258,453,119,456,571,217,21,86,12,2194,335,538,253,1384,1012,409,40,133,40,4156,350,347,778,1992,1400,721,111,356,72,6135,40,39,40,122,259,124,21,54,5,714,70,63,62,325,338,133,23,83,20,1118,37,70,32,56,98,49,13,27,3,376,63,121,46,234,224,155,26,97,101,1063,2162,8114,1650,5999,5769,2597,305,1205,396,28199,12,59,0,7,11,3,0,0,0,85,47,390,6,9,20,8,4,6,0,493,624,1934,200,352,542,277,186,220,55,4390,17,155,3,16,30,7,4,10,7,248,176,870,35,216,119,42,17,24,12,1509,35,193,10,21,30,11,3,3,6,304,1834,7255,836,1402,2129,1057,562,670,205,15950,7,10,17,43,18,15,11,7,3,135
21001,40,303,3,42,43,9,3,3,3,449,10,51,0,4,7,4,0,0,3,75,430,1831,85,249,579,215,10,43,44,3488,3,4,0,4,10,0,0,0,0,25,84,174,35,99,183,50,6,7,8,645,145,170,53,232,318,107,6,31,13,1062,71,78,147,305,331,155,16,46,15,1171,9,12,8,28,59,24,0,10,4,142,18,24,10,65,106,50,3,10,10,298,13,30,3,12,26,15,0,5,3,104,21,50,18,45,62,38,5,20,16,270,958,3264,377,1115,1808,677,45,178,125,8550,9,46,0,0,5,0,0,0,0,66,31,184,3,0,6,3,3,0,3,235,239,740,26,34,125,43,13,17,22,1260,24,55,0,3,7,0,0,0,3,101,92,424,11,57,61,16,3,5,3,672,17,69,0,4,15,5,0,0,4,123,1126,3189,255,367,815,364,73,123,72,6389,3,4,4,13,8,3,0,4,0,39
21002,37,194,5,32,24,0,0,0,4,302,12,46,0,3,8,0,0,0,0,62,185,864,35,142,201,58,4,17,10,1520,0,3,0,0,0,0,0,0,0,9,57,132,19,73,76,24,3,9,3,397,70,96,35,168,149,38,6,20,8,590,46,50,121,246,223,87,3,48,4,835,12,4,10,24,39,25,0,10,0,116,23,8,9,53,50,23,3,15,0,185,0,12,3,7,12,4,0,8,0,44,8,24,11,36,41,24,0,10,9,161,511,1670,253,800,839,284,20,141,44,4565,3,10,0,3,0,0,0,0,0,15,16,85,4,4,4,3,0,0,0,118,136,304,11,20,25,4,0,3,9,513,13,31,0,0,0,0,0,0,3,45,72,268,8,42,40,3,4,3,4,450,18,55,3,4,10,0,0,0,0,93,456,1388,91,213,248,99,21,43,19,2575,0,7,0,3,3,0,0,0,0,11
21003,56,354,7,75,55,13,0,6,3,559,9,78,0,4,14,0,0,0,3,115,380,2018,135,410,640,218,18,130,37,3982,3,4,0,9,4,3,0,3,0,21,93,160,53,144,169,65,3,27,8,716,110,201,99,354,309,124,7,53,15,1259,92,96,169,433,336,147,22,82,10,1390,15,13,3,27,56,23,3,14,3,156,18,29,23,79,97,37,7,16,7,298,6,26,7,27,21,12,0,9,0,118,16,43,10,69,72,34,3,31,32,320,927,3797,538,1734,1933,718,66,411,138,10262,8,36,3,0,0,0,0,0,0,45,22,284,9,3,14,4,0,3,6,339,364,1196,111,187,258,122,110,139,33,2516,16,72,4,5,16,0,5,11,3,130,94,521,14,93,72,19,11,14,8,848,27,110,8,8,26,3,0,0,3,181,964,3650,506,614,980,411,242,394,96,7863,3,3,3,7,4,4,0,7,0,34
21004,24,191,0,52,21,7,0,3,0,298,8,33,0,0,3,0,0,0,0,46,141,900,45,158,227,75,3,17,12,1585,0,0,0,9,0,0,0,0,0,15,59,107,24,100,121,43,4,16,4,461,86,118,40,306,229,96,9,13,5,898,83,80,197,470,401,170,27,82,13,1518,6,9,10,29,61,28,0,15,0,167,18,11,7,69,77,36,3,13,3,240,3,12,0,10,21,9,0,0,3,56,25,27,14,52,50,28,0,15,15,221,489,1698,347,1270,1233,494,50,177,55,5807,0,15,0,0,0,0,0,0,0,18,8,63,4,0,0,0,0,0,0,75,116,239,3,25,31,12,0,0,0,435,11,24,0,0,0,0,0,0,0,34,43,256,10,58,30,7,3,3,3,416,10,46,3,6,8,3,0,0,0,77,334,1401,117,228,317,124,43,48,26,2644,0,6,0,13,0,3,0,0,0,22
21005,41,330,3,139,45,16,0,3,5,584,11,62,0,7,17,0,0,0,0,95,389,2376,152,616,853,358,56,188,67,5053,7,3,0,30,13,3,0,0,3,61,129,206,70,301,334,115,20,56,16,1247,194,321,147,963,624,279,41,110,43,2731,179,198,374,1255,787,333,94,260,49,3522,24,21,11,87,122,72,16,41,3,389,35,35,29,223,202,87,16,55,7,697,21,53,16,42,44,24,7,14,9,217,31,62,29,163,145,97,13,78,64,681,1192,4353,872,3966,3374,1475,267,865,272,16641,0,39,3,3,6,0,3,0,0,61,25,186,3,4,16,3,0,4,3,235,343,1154,118,224,332,170,166,135,35,2684,15,53,3,13,7,3,10,0,0,104,75,471,23,156,68,31,22,12,11,859,28,78,3,9,15,3,3,0,0,144,1103,3962,557,934,1350,627,525,535,147,9744,13,11,13,26,17,4,7,0,8,104
21101,92,628,12,164,104,23,3,14,9,1043,29,153,5,6,22,5,0,0,3,232,774,4419,247,753,1385,535,41,157,77,8386,0,7,0,22,14,4,0,0,0,56,224,499,79,381,526,171,15,63,20,1983,333,428,172,934,913,317,31,102,36,3262,317,260,582,1373,1156,483,106,249,58,4598,21,19,18,86,161,78,14,33,10,434,51,69,30,235,280,112,21,64,4,870,33,69,23,44,95,31,7,15,10,324,45,85,24,114,146,74,11,58,58,628,2189,8022,1241,4239,5129,1934,259,781,302,24101,17,67,4,7,8,3,0,0,0,108,71,516,17,15,30,4,4,7,5,658,702,2057,154,155,510,188,39,67,45,3909,29,116,0,5,11,13,0,4,0,181,214,968,36,193,151,30,12,29,12,1648,63,197,15,17,32,14,0,3,3,342,2204,7716,843,1041,2038,961,251,422,145,15626,8,7,4,21,10,10,3,4,0,75
21102,36,154,4,22,28,6,0,0,0,249,8,33,0,3,4,0,0,0,0,57,246,921,37,133,263,108,3,18,20,1743,0,0,3,3,3,0,0,0,0,6,41,119,15,58,106,42,0,0,5,383,49,72,20,87,118,41,0,14,5,410,35,37,66,135,128,51,0,14,3,465,3,0,0,10,27,6,0,3,0,58,21,6,4,25,48,21,0,4,3,127,4,15,4,9,9,6,0,0,0,44,6,29,0,20,27,18,0,8,13,125,527,1720,168,508,795,315,9,66,54,4171,7,12,0,3,0,3,0,4,0,28,25,144,3,0,11,0,0,0,0,188,198,452,19,25,56,31,0,9,11,796,10,35,0,0,0,0,0,0,0,49,85,233,7,34,32,9,0,4,4,410,16,42,0,0,6,0,0,0,0,76,780,1740,109,185,383,195,21,37,42,3491,0,0,3,3,3,8,0,0,0,15
21103,103,631,13,118,91,22,0,6,3,982,25,153,0,13,31,0,0,3,0,223,655,3560,152,567,960,348,23,106,39,6413,3,6,0,11,9,9,0,3,0,33,182,422,74,316,374,113,10,45,14,1561,237,379,118,626,564,196,19,47,25,2230,214,243,439,1004,869,338,44,165,33,3346,21,12,11,66,102,58,6,22,3,308,43,49,29,168,197,82,3,23,6,598,13,50,7,26,49,14,0,10,3,173,35,72,18,89,98,51,4,46,42,453,1763,6701,897,3085,3599,1284,115,493,180,18120,22,45,0,3,12,0,0,0,0,85,69,354,7,5,17,0,0,3,7,462,527,1648,84,109,349,105,25,35,41,2921,29,102,5,3,8,7,0,0,4,160,204,974,46,146,115,34,3,16,9,1548,70,203,12,28,48,3,4,3,0,369,1721,6084,518,825,1402,599,128,247,100,11626,3,10,8,18,10,13,0,3,0,58
21104,58,371,9,58,60,10,0,4,3,567,8,83,0,9,19,5,0,0,0,124,495,2228,135,383,728,256,19,70,36,4347,0,0,0,0,7,3,0,0,0,9,90,202,31,128,197,58,3,27,14,742,104,172,66,259,266,101,11,29,3,1018,85,64,118,349,268,93,14,55,8,1060,10,11,9,25,34,21,3,4,0,118,13,20,15,55,80,26,3,12,4,230,19,26,11,23,23,7,0,4,3,115,6,44,9,35,41,21,0,14,22,177,1075,4162,431,1389,1944,665,57,242,117,10076,11,36,0,3,11,6,0,0,0,63,47,344,7,9,11,9,0,0,3,431,455,1521,97,90,330,129,30,53,28,2735,29,71,0,4,16,4,0,0,4,128,129,598,23,69,82,19,7,3,8,939,31,108,7,16,23,6,0,0,0,183,1261,4259,437,560,1113,492,99,196,77,8493,3,0,3,0,7,3,4,0,0,22
21105,105,715,19,193,95,25,3,9,4,1166,37,161,7,16,21,3,0,3,3,250,649,3641,180,618,880,291,27,136,60,6484,7,12,6,21,8,3,0,7,0,65,247,523,112,451,513,142,12,50,23,2080,348,525,206,1030,831,276,24,113,34,3375,419,315,754,1647,1260,572,68,334,56,5430,37,18,33,125,195,80,10,58,3,559,61,62,46,263,247,95,8,50,3,843,19,49,18,29,55,27,3,11,3,219,59,94,50,187,133,91,15,99,68,802,2216,7145,1450,4654,4365,1637,181,885,263,22802,17,56,0,0,7,0,0,4,0,84,76,369,3,7,20,0,0,3,3,491,442,1223,37,76,163,59,10,23,23,2062,37,89,0,11,8,0,0,0,0,148,213,1033,40,222,125,40,13,23,6,1725,70,212,10,33,34,12,0,6,3,385,1652,5850,490,860,1140,472,117,315,105,11002,10,12,13,24,16,6,3,7,0,96
21201,42,332,11,104,46,10,0,4,0,549,10,82,0,7,16,0,0,3,0,123,293,1974,78,313,468,170,6,73,19,3395,3,3,4,11,7,0,0,0,0,31,121,217,38,232,279,83,14,39,12,1032,226,344,109,690,505,205,18,83,23,2211,220,223,452,1050,951,438,77,246,38,3697,30,15,20,90,123,71,14,46,8,416,44,35,29,143,152,80,15,38,10,555,12,28,6,19,41,12,3,18,0,145,43,48,22,101,95,63,6,37,30,453,1114,3761,791,2815,2756,1168,158,599,143,13305,10,24,0,0,0,0,0,0,0,41,14,140,6,9,3,0,0,0,0,171,186,604,41,52,114,50,27,29,11,1101,10,43,3,3,3,0,0,0,3,69,81,457,23,123,50,22,15,8,4,776,23,96,6,15,21,0,4,3,0,164,701,2945,247,442,655,293,100,185,51,5617,5,10,9,13,7,0,0,0,0,44
21202,38,370,10,123,60,15,0,12,0,631,14,88,0,3,11,0,0,0,3,121,479,2774,152,553,906,354,33,152,70,5482,4,6,0,10,10,11,0,0,0,46,143,350,73,241,423,113,20,71,20,1449,244,365,157,783,677,276,33,98,27,2665,219,188,421,1093,899,433,93,233,36,3606,26,18,21,74,150,58,9,36,3,390,57,39,19,190,198,81,20,52,4,664,19,54,14,32,69,26,7,21,3,242,36,89,29,105,133,80,30,69,45,609,1418,5218,928,3321,3758,1497,243,766,226,17374,6,52,0,0,7,0,0,3,0,64,30,277,8,4,10,4,3,4,0,350,436,1346,106,141,331,120,64,63,27,2638,29,101,0,6,26,3,3,0,0,172,122,529,27,144,76,28,4,18,4,953,33,117,3,6,19,0,0,0,4,193,1339,4755,575,773,1339,618,286,388,126,10200,9,6,9,19,13,9,4,5,0,72
21203,36,317,9,176,48,11,4,6,7,622,23,91,0,7,22,3,0,0,0,145,422,2997,167,740,1027,369,62,245,64,6098,4,8,4,24,18,9,0,3,0,70,190,323,88,400,430,128,20,82,16,1682,321,475,205,1312,795,295,42,159,35,3634,324,314,651,1751,1280,556,168,470,59,5565,40,25,20,132,185,99,24,66,9,599,62,27,34,283,232,123,38,75,13,883,22,60,17,56,66,34,13,18,8,297,47,99,42,183,179,86,27,103,88,844,1618,5506,1291,5268,4564,1830,411,1284,321,22095,4,23,0,0,9,0,0,0,0,39,17,202,11,8,8,0,0,3,4,249,431,1304,160,274,463,188,130,126,50,3122,22,83,3,9,14,14,8,0,3,163,97,472,28,203,75,22,18,17,10,949,42,124,5,15,32,7,6,3,0,241,1197,4843,700,1031,1557,688,506,559,120,11192,6,14,16,31,14,14,9,7,3,110
21204,50,301,6,149,77,15,0,10,4,609,6,73,0,9,23,6,0,0,0,111,510,3052,249,812,1330,606,80,402,91,7141,7,9,0,22,11,9,0,3,3,62,122,266,126,284,368,133,24,130,22,1472,188,308,259,921,611,335,45,189,36,2891,177,164,402,1221,631,306,116,373,46,3432,18,13,20,88,100,64,23,70,6,404,42,41,36,224,182,73,33,81,9,720,33,56,23,72,66,31,8,42,11,333,28,76,45,152,133,93,32,118,90,760,1372,5348,1242,4164,3903,1805,364,1520,337,20054,5,45,3,0,7,3,0,0,0,60,44,328,18,10,24,8,4,10,5,449,498,1686,229,312,565,308,171,266,60,4100,26,91,15,13,28,14,4,7,4,196,103,491,23,168,105,28,18,18,8,971,18,117,8,9,26,10,8,4,0,200,1412,5648,1049,1209,2119,1060,676,1074,184,14442,13,13,14,31,14,8,11,13,3,122
21205,154,739,31,138,137,30,4,12,3,1243,35,127,5,9,38,6,0,0,0,229,1196,5745,343,943,2003,801,49,259,150,11479,4,3,0,13,10,4,3,3,0,43,241,441,108,311,467,152,16,93,14,1847,286,378,159,636,676,268,16,92,24,2535,162,166,365,714,543,247,39,138,25,2402,20,18,10,66,82,59,0,38,0,309,43,44,20,132,214,82,9,42,6,598,40,101,14,41,84,39,0,14,4,338,38,113,24,83,107,50,17,52,62,551,2822,10686,1185,3320,5082,1952,166,816,348,26376,24,89,3,0,12,4,0,0,3,147,189,1523,30,20,56,13,4,7,13,1867,1572,4393,331,324,1087,446,97,196,106,8560,68,206,8,16,44,15,4,7,5,373,287,1219,69,165,207,48,11,23,13,2040,76,186,14,17,51,7,3,0,5,363,3431,11303,1213,1394,3032,1549,371,812,329,23431,10,12,14,18,9,6,7,6,0,80
21301,45,398,10,124,45,9,0,12,3,651,5,70,0,5,17,0,0,0,0,105,566,3266,246,758,1467,556,77,342,80,7362,8,9,3,16,11,10,3,3,0,69,150,250,89,301,376,133,28,95,19,1440,231,324,205,843,637,282,59,161,40,2781,212,185,457,1233,744,405,145,366,54,3794,27,18,17,100,115,71,19,54,6,426,45,32,35,255,202,109,24,88,13,800,15,44,24,56,73,28,12,32,8,289,44,92,44,152,138,103,34,150,91,848,1467,5485,1171,3981,4050,1812,413,1382,334,20102,12,43,4,3,5,3,0,0,0,68,30,184,10,8,7,3,4,5,0,253,338,1284,141,224,355,197,156,197,38,2934,17,78,11,10,19,3,7,11,0,159,83,581,17,139,78,28,21,26,7,980,16,109,7,17,24,5,0,3,0,175,1414,5597,945,1150,2249,950,664,855,216,14034,11,9,11,18,17,13,15,12,3,114
21302,118,546,15,77,70,7,0,7,12,849,34,101,0,4,23,0,0,0,3,167,727,2751,135,389,773,267,18,90,52,5205,4,3,0,5,3,4,0,3,0,29,116,228,43,145,225,85,8,26,8,888,194,261,82,404,409,131,13,32,25,1552,136,105,232,460,486,181,42,95,21,1770,11,18,10,28,66,24,4,10,3,178,34,31,16,86,132,46,8,14,3,374,20,37,8,12,27,16,0,11,4,133,21,56,14,49,74,25,8,26,28,310,1779,5247,591,1750,2477,844,108,333,175,13297,11,48,0,4,0,3,0,0,0,72,69,381,5,4,10,5,0,0,12,493,699,1477,64,111,252,88,39,34,33,2798,42,97,4,8,17,3,4,3,3,175,201,759,39,97,108,15,7,17,16,1254,51,135,7,5,30,3,3,4,3,248,1785,4871,436,590,1188,476,145,252,115,9867,11,10,8,8,3,8,3,3,0,49
21303,139,608,12,68,81,26,0,0,7,938,44,137,3,17,27,6,0,3,0,228,934,3186,176,588,974,408,30,216,63,6576,0,4,0,10,4,4,0,3,3,32,133,176,63,147,154,74,12,33,9,803,171,211,118,399,302,146,14,64,17,1443,139,123,183,388,315,158,35,95,24,1459,18,10,4,38,38,31,8,18,0,164,25,38,16,92,78,42,0,32,5,317,21,33,9,29,35,13,0,6,4,152,16,45,18,45,27,27,4,28,31,241,1996,5978,644,1922,2292,1017,111,561,205,14720,9,47,0,3,7,0,0,0,0,73,68,480,14,5,12,3,0,7,5,581,635,1982,143,206,439,214,82,216,61,3977,49,112,7,7,9,6,8,3,3,206,220,939,28,90,119,36,6,13,5,1459,67,188,8,23,30,7,0,5,0,326,2054,5914,609,957,1534,804,252,598,157,12887,0,11,6,11,5,11,4,4,3,43
21304,64,443,7,144,62,24,4,10,4,758,15,95,0,11,23,0,0,0,0,141,525,3136,191,559,1116,365,53,123,59,6123,3,4,3,24,7,4,3,0,0,49,201,270,70,331,397,128,24,54,15,1480,286,362,151,942,762,234,25,79,41,2885,304,249,511,1398,1172,516,121,272,61,4608,29,22,22,82,149,103,13,47,0,479,68,49,40,260,248,100,22,63,16,861,18,46,13,33,50,22,3,10,0,204,50,76,26,150,126,80,16,72,55,650,1706,5510,1059,4027,4308,1635,293,757,270,19567,3,44,3,3,5,3,0,0,0,62,23,198,12,10,11,3,0,0,4,251,402,1154,80,132,309,111,83,43,36,2338,21,73,3,11,18,3,3,3,3,132,130,629,19,159,89,40,8,14,5,1086,30,126,3,9,34,3,3,0,0,211,1349,4986,563,790,1599,593,362,319,133,10697,10,12,6,24,7,4,5,6,0,81
21305,86,542,20,200,118,33,0,6,5,1008,14,130,3,11,27,3,0,0,0,195,879,4586,328,1204,1836,681,116,313,112,10066,4,12,5,24,11,11,0,4,3,80,228,376,121,464,478,173,26,64,29,1962,414,495,259,1514,1006,391,66,162,42,4347,354,312,620,1700,1336,613,206,407,66,5614,34,19,24,107,155,96,22,61,3,522,71,65,43,266,251,102,41,77,15,934,33,83,22,81,85,41,18,33,14,414,56,95,39,179,163,99,34,71,103,851,2576,8521,1607,6169,6239,2505,575,1342,452,29982,14,47,3,3,6,4,0,3,0,84,58,500,15,15,22,5,4,7,5,642,1359,3801,401,575,1338,597,315,291,137,8816,56,183,10,26,37,26,6,12,3,353,207,855,48,247,166,62,37,16,19,1648,55,213,11,19,44,7,5,7,0,346,2418,8297,1196,1761,2828,1324,889,845,268,19831,9,14,15,28,15,14,11,7,11,133
21401,51,522,9,149,67,25,0,0,3,827,23,121,0,7,31,3,0,0,0,187,510,3059,110,495,669,282,18,103,36,5276,6,14,0,23,14,6,0,3,0,58,188,413,65,355,396,132,10,45,14,1607,330,455,162,959,756,314,23,96,27,3116,325,281,647,1615,1232,557,100,321,50,5134,36,21,28,127,124,88,11,47,7,486,62,43,43,238,261,106,15,54,14,824,12,43,7,31,60,29,8,18,3,213,54,95,34,158,149,97,14,63,64,726,1729,5807,1120,4216,3833,1670,201,761,223,19559,10,44,3,9,3,0,0,0,0,66,27,176,3,0,3,3,0,0,3,213,308,954,49,80,126,58,26,32,16,1643,18,66,0,11,9,10,0,0,0,108,122,718,25,177,86,37,6,12,6,1182,50,163,10,15,31,11,3,4,0,288,1159,4713,403,702,925,475,145,255,74,8849,6,17,10,24,13,13,3,8,0,82
21402,132,675,14,147,88,22,0,7,10,1097,36,124,0,16,17,3,0,4,6,207,653,3681,141,503,697,326,15,90,50,6165,8,4,0,12,5,4,0,3,0,41,265,534,106,397,462,171,4,57,18,2014,314,490,146,877,630,296,17,118,20,2914,366,270,679,1482,1012,566,52,315,45,4784,31,25,36,121,157,93,12,50,7,530,72,56,55,278,242,116,13,69,3,907,31,46,15,46,77,35,0,11,8,271,80,129,38,196,148,110,16,74,62,856,2224,7022,1253,4138,3628,1770,126,808,236,21193,9,59,0,4,5,0,0,0,0,81,53,332,4,11,10,6,0,0,3,419,505,1201,38,71,104,48,0,17,19,1989,38,80,3,8,6,11,0,0,0,146,254,968,29,186,113,39,13,21,19,1636,64,164,14,22,29,0,0,4,8,304,1819,5842,416,725,903,556,81,209,114,10667,15,16,6,18,11,8,0,4,0,74
21501,42,235,0,34,28,3,0,3,7,349,9,62,0,5,3,0,0,0,0,84,242,1318,34,155,161,38,3,51,5,2011,0,4,0,3,3,0,0,0,0,16,156,189,22,155,112,29,7,17,10,695,115,164,36,338,211,58,7,33,3,965,190,111,244,736,377,176,16,158,18,2024,26,8,13,54,72,47,3,30,0,262,47,22,16,118,77,36,6,27,0,347,13,13,0,11,12,3,4,12,4,71,39,52,18,87,48,41,4,58,23,366,928,2380,382,1712,1122,433,45,393,78,7474,3,13,0,3,0,0,0,0,0,17,16,73,0,3,0,0,0,0,5,93,80,207,8,22,23,11,3,3,3,356,10,17,0,3,0,0,0,0,0,30,66,298,7,43,32,3,0,5,6,464,23,77,3,14,3,0,0,0,0,124,503,1788,77,217,195,59,25,97,14,2983,0,4,4,3,3,3,0,0,0,25
