SA3_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
21204,537,335,330,40,1243,203,89,98,11,400,192,197,345,32,759,106,145,337,25,611,1019,509,498,62,2080,535,652,749,40,1980,2476,1132,867,102,4579,1221,1607,958,133,3921,1475,2252,925,184,4840,1255,2276,693,135,4360,794,1933,536,83,3345,808,1789,393,65,3051,1393,3152,479,127,5151,676,2078,219,33,3001,332,1065,87,27,1512,163,699,56,10,929,220,1029,64,14,1326,856,2345,752,58,4005,365,274,187,30,861,14619,23552,8570,1204,47951
21205,678,180,343,88,1286,209,74,130,31,448,167,98,176,36,487,118,97,179,12,407,816,176,289,41,1321,397,304,437,41,1178,1913,490,476,54,2929,1191,783,499,101,2572,1492,1261,662,134,3546,1232,1300,502,97,3133,757,1356,402,66,2585,765,1484,345,43,2634,1587,3214,537,96,5425,1093,2470,229,56,3845,664,1808,102,36,2607,448,1441,89,12,1993,863,3350,140,32,4377,939,2540,551,39,4070,273,158,91,19,551,15599,22576,6179,1030,45390
21301,463,252,382,31,1125,197,107,125,19,444,162,211,487,27,880,96,146,455,15,708,1027,457,641,66,2191,491,612,828,57,1982,2385,955,904,73,4318,1040,1518,1029,131,3715,1239,2131,1070,145,4575,1083,2210,798,154,4250,697,1925,561,70,3250,750,1797,417,91,3058,1300,3235,492,101,5125,713,2182,251,52,3201,345,1245,107,20,1712,182,764,67,10,1023,221,1102,87,17,1428,762,2609,858,50,4281,441,351,275,29,1099,13591,23797,9831,1163,48380
21302,147,56,72,8,283,93,13,32,4,148,57,48,100,8,222,22,25,99,0,151,342,98,165,23,627,146,110,269,18,546,848,198,305,36,1389,482,330,355,44,1216,548,479,420,49,1501,493,635,306,50,1491,360,698,247,32,1335,426,653,205,33,1320,944,1427,304,47,2720,714,1167,118,38,2039,476,983,52,11,1524,328,748,66,3,1151,642,1809,51,17,2520,522,1178,338,20,2051,177,120,77,9,386,7786,10774,3578,456,22593
21303,163,66,83,18,336,58,18,49,10,139,68,43,133,14,252,39,51,109,6,206,284,100,165,34,583,154,138,251,40,585,591,263,295,68,1204,348,364,318,62,1088,512,516,353,90,1470,501,542,217,55,1317,438,504,196,44,1175,457,523,159,51,1187,1007,1140,200,60,2415,774,991,98,43,1910,537,758,50,14,1367,411,561,51,12,1035,679,1272,37,17,2000,513,736,254,35,1539,97,66,61,11,241,7624,8661,3072,681,20044
21304,280,132,181,12,600,95,49,59,10,214,93,81,194,14,368,41,43,280,6,365,469,184,402,22,1080,255,286,716,22,1279,1396,483,756,49,2684,731,897,745,40,2421,998,1548,754,68,3362,944,1858,592,55,3455,654,1869,422,37,2982,755,1858,315,35,2962,1568,3676,437,58,5736,879,2525,166,25,3597,446,1517,83,16,2055,229,929,48,4,1219,298,1392,55,4,1752,635,2107,575,19,3329,262,261,159,7,696,11033,21678,6948,506,40163
21305,567,204,272,20,1070,141,102,94,12,345,119,166,274,9,570,85,121,342,13,559,542,396,509,29,1472,342,552,881,27,1808,1520,930,855,51,3358,1081,1642,999,65,3784,1358,2464,1018,77,4915,1403,2853,712,91,5066,1040,2823,550,72,4489,1130,2695,425,58,4309,2342,5432,558,110,8440,1349,3447,254,39,5091,756,2165,99,29,3051,421,1477,60,11,1963,557,2237,79,19,2891,969,2964,730,35,4693,279,315,210,12,822,15992,32996,8933,777,58695
21401,159,60,103,10,329,80,26,52,3,162,75,40,168,7,288,46,21,234,3,306,453,79,430,19,977,295,152,707,18,1173,1446,294,758,51,2544,901,564,814,73,2349,1123,1002,859,72,3050,1054,1267,654,85,3060,742,1320,508,61,2623,754,1354,314,41,2466,1738,2680,418,55,4891,1036,1930,161,35,3163,493,1112,76,17,1695,268,669,59,3,996,363,1123,51,13,1548,761,1735,741,23,3262,282,190,179,13,664,12058,15607,7275,604,35552
21402,250,54,72,3,383,139,23,49,7,221,96,32,133,11,272,71,16,231,0,316,730,72,337,21,1160,384,132,685,12,1219,2479,266,686,29,3462,1626,484,718,66,2899,1997,906,737,57,3696,1673,1221,503,36,3436,955,1325,397,19,2697,1050,1400,282,27,2754,1796,2681,378,30,4881,1125,1939,115,12,3201,583,1302,56,3,1937,354,854,64,4,1273,944,1949,52,7,2950,1164,2218,725,22,4128,528,193,146,19,887,17941,17072,6371,397,41779
21501,90,38,25,0,154,66,22,17,7,108,60,31,50,4,143,22,15,100,0,137,372,54,173,8,605,215,81,284,4,590,1162,183,294,29,1669,692,334,284,37,1335,799,512,247,36,1592,764,598,156,27,1539,340,502,92,4,939,445,492,57,17,1011,664,775,64,18,1524,381,428,27,3,846,183,265,3,0,459,78,127,19,0,226,186,217,20,3,431,485,817,189,5,1486,191,62,66,8,330,7204,5554,2160,210,15130
21502,85,27,29,3,138,57,18,22,0,102,35,29,88,3,156,27,9,120,0,161,265,61,208,17,546,150,84,304,16,551,947,156,327,28,1453,483,294,318,31,1125,583,458,241,28,1305,587,510,166,23,1287,301,479,125,9,910,378,478,61,4,917,604,805,75,9,1493,282,517,26,6,830,141,270,9,3,415,61,153,11,0,222,121,254,16,0,392,383,741,231,13,1367,203,83,88,3,373,5681,5432,2461,189,13763
21503,72,28,15,0,120,51,13,7,0,75,35,21,44,0,105,21,11,63,3,95,264,65,112,8,440,114,60,155,6,337,722,142,166,19,1048,419,210,158,22,808,488,334,131,21,966,458,377,81,21,926,200,303,50,8,562,289,302,35,9,634,359,509,40,11,927,150,306,13,0,473,92,132,6,0,233,28,87,7,0,125,97,142,0,3,239,270,518,118,5,907,164,51,43,0,259,4308,3593,1244,136,9279
21601,79,15,15,3,113,46,11,10,0,71,34,16,40,0,86,23,5,65,0,88,242,28,108,3,385,109,46,189,3,341,778,96,187,16,1076,392,184,172,11,761,499,302,168,9,976,458,399,110,11,977,239,310,76,10,632,281,352,50,5,687,447,579,52,11,1093,202,340,25,0,569,89,214,7,0,310,36,86,7,0,138,98,164,9,0,268,246,571,130,5,953,124,54,44,10,232,4423,3770,1464,108,9757
21602,48,13,14,4,75,32,13,13,0,59,26,18,43,3,91,12,11,49,0,76,234,25,107,8,364,105,39,146,4,286,656,75,150,9,885,337,118,165,8,625,399,244,108,9,755,361,274,88,8,737,181,262,54,7,499,204,259,32,6,501,312,420,35,4,763,151,238,17,8,402,75,126,4,0,209,27,64,4,0,99,68,114,9,0,190,225,408,106,8,745,128,43,31,0,204,3579,2747,1164,82,7579
21603,102,50,46,5,197,57,12,12,4,90,41,36,69,7,155,24,21,117,0,166,297,118,208,10,628,168,131,339,9,652,933,199,348,22,1502,477,330,347,21,1180,672,537,317,23,1552,590,591,234,20,1435,341,592,125,18,1070,395,572,94,14,1077,674,1056,116,22,1870,408,689,46,6,1141,171,373,10,0,561,75,215,14,0,300,175,383,15,0,573,398,831,248,17,1491,171,101,90,10,371,6177,6822,2799,206,16003
21701,36,17,9,0,58,41,11,11,0,64,40,15,35,0,94,20,3,57,3,88,209,37,98,8,350,132,43,167,7,348,682,98,180,8,971,382,196,166,24,770,459,303,145,11,919,417,315,104,6,840,254,337,60,3,657,278,265,41,7,589,407,522,44,3,971,243,350,20,0,607,135,176,10,0,323,67,89,9,0,169,128,164,7,3,303,257,538,144,4,945,141,36,40,9,219,4325,3503,1364,101,9292
21703,67,32,15,0,120,50,18,19,0,85,37,17,45,3,107,18,4,71,0,99,232,39,108,7,384,119,53,180,5,357,602,100,168,10,886,395,180,164,23,759,516,340,146,17,1019,398,372,107,21,893,212,318,57,9,598,258,352,39,9,653,423,564,55,8,1042,183,344,19,7,548,105,172,9,0,290,45,82,9,0,135,125,161,12,4,301,270,479,134,3,893,116,50,51,8,218,4166,3678,1404,149,9389
21704,64,19,20,5,118,44,3,16,3,73,41,13,55,3,107,21,13,84,3,116,250,34,128,12,422,152,41,248,10,450,735,114,236,11,1093,462,223,238,24,945,562,404,192,22,1182,520,507,169,26,1219,292,491,95,8,898,385,495,70,17,962,629,841,101,17,1592,352,574,27,12,955,149,315,12,0,473,85,175,15,0,277,187,319,15,0,513,313,645,167,10,1131,131,48,53,3,233,5368,5282,1937,176,12765
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
