SA3_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
21105,1259,964,2224,227,202,435,9,3,15,8,8,13,29,6,37,28160,23295,51454,1367,1336,2697,784,7,796,207,10,219,120,24,148,173,94,266,561,515,1070,32903,26461,59364,211,149,355,0,0,0,50,34,82,578,418,991,69,86,153,28,3,32,938,683,1623,0,0,0,0,0,0,12,11,25,31,29,63,3,3,3,42,48,91,286,128,417,1265,860,2126,196,160,361,4,0,4,12,0,18,217,167,384,1561,2305,3863,2640,4978,7614,362,313,679,38948,35081,74031
21201,781,591,1372,70,62,132,4,0,7,4,5,13,24,12,36,17815,14142,31958,952,895,1846,521,15,540,121,9,132,57,21,79,116,84,198,297,286,579,20759,16124,36881,130,96,222,0,0,0,28,23,49,201,160,364,30,38,68,32,4,35,414,324,742,0,0,0,0,0,0,8,5,16,11,6,20,0,0,0,24,15,39,166,61,232,606,403,1004,112,106,217,3,3,6,8,6,14,126,115,244,836,1364,2199,1479,2769,4249,245,214,453,24049,20987,45037
21202,1309,1019,2331,158,239,399,16,3,19,13,7,13,50,28,71,24750,18546,43293,1318,1524,2838,548,9,560,139,15,152,70,14,77,167,93,263,195,233,434,28720,21731,50455,227,195,425,0,0,0,27,35,61,477,266,744,45,101,145,20,8,26,798,599,1398,0,0,0,0,0,0,18,10,34,16,29,44,3,3,8,41,43,86,218,101,318,1056,743,1803,225,192,414,3,0,3,8,0,10,233,193,427,851,1406,2259,1805,3061,4866,347,223,570,33020,27358,60378
21203,1682,1526,3206,219,288,507,10,8,13,9,6,13,92,30,117,32255,23235,55485,1768,2127,3898,773,14,789,184,4,191,72,9,82,285,108,388,294,305,604,37638,27666,65304,266,287,554,0,0,0,44,50,95,521,331,852,56,150,202,20,12,36,907,829,1738,0,0,0,0,0,0,21,25,43,26,50,82,3,0,8,56,77,132,314,132,447,1274,1041,2313,260,311,570,8,4,16,13,3,23,286,317,605,789,1572,2360,2198,4037,6239,399,317,713,42578,34954,77534
21204,2636,2304,4941,627,732,1358,10,3,13,13,11,29,145,50,191,31509,19677,51184,1772,2586,4355,543,12,550,140,11,143,205,25,235,327,129,458,488,528,1018,38419,26073,64488,450,463,918,0,0,0,108,104,214,608,419,1030,94,164,264,32,20,45,1302,1174,2471,0,0,0,0,3,8,52,23,67,34,101,133,14,9,23,98,132,228,313,180,496,1710,1485,3188,306,369,667,9,7,17,6,0,12,323,375,698,728,1086,1811,2020,3067,5084,549,343,897,43746,32424,76174
21205,3810,2920,6737,552,829,1379,14,0,19,49,38,93,87,38,127,25923,20668,46595,1116,1949,3059,277,5,280,213,11,225,469,90,558,249,118,370,873,880,1755,33638,27554,61196,679,528,1201,0,0,0,220,208,424,898,586,1489,98,193,291,78,27,107,1972,1538,3511,0,0,0,15,19,33,24,19,42,33,76,114,18,13,28,88,124,216,242,180,422,2307,1843,4147,502,444,950,14,14,21,11,0,12,530,455,983,1574,1743,3318,2424,3924,6341,320,270,588,40785,35785,76573
21301,2931,3248,6176,296,402,702,8,8,16,16,38,55,184,45,228,30548,19672,50218,1747,2483,4232,487,13,503,154,10,172,176,44,220,264,108,373,299,396,691,37114,26467,63582,456,542,996,0,0,0,160,192,351,593,505,1093,86,209,294,44,16,62,1335,1457,2796,0,0,0,0,0,6,40,22,59,22,34,56,9,7,17,69,69,134,293,159,453,1702,1676,3376,358,483,832,5,3,13,5,3,11,368,491,855,574,1016,1588,2218,3324,5541,664,480,1138,42639,33458,76092
21302,2090,2168,4249,163,200,359,3,3,13,6,12,22,50,19,70,13625,10582,24207,595,853,1445,160,4,164,178,24,201,454,102,559,132,70,200,289,347,637,17744,14380,32125,222,232,462,0,0,0,121,155,276,291,315,601,48,105,158,74,36,109,760,843,1606,0,0,0,10,9,20,15,10,24,8,19,23,4,7,14,30,44,80,176,93,262,968,982,1951,186,239,430,0,6,7,9,6,13,203,247,453,580,956,1534,1283,2206,3491,194,151,338,20978,18913,39891
21303,2911,2864,5781,402,547,947,12,7,12,133,218,356,70,36,106,12010,8672,20683,524,1031,1556,95,0,100,273,48,317,859,304,1163,126,65,194,562,649,1218,17981,14445,32429,578,541,1119,3,0,3,398,421,817,281,267,543,44,103,148,106,61,164,1408,1388,2795,0,0,0,38,44,81,16,16,31,11,24,31,4,3,10,61,83,148,163,140,303,1632,1612,3247,400,368,767,5,7,18,13,7,22,424,381,806,550,761,1315,1349,2168,3512,198,141,340,22133,19511,41648
21304,1605,1765,3373,162,236,397,12,4,13,14,15,27,72,15,91,27188,20313,47500,1472,1822,3290,614,10,621,140,12,147,57,32,84,220,106,329,310,310,620,31852,24640,56495,255,221,479,0,0,0,53,72,130,622,506,1124,62,143,197,36,11,44,1025,956,1978,0,0,0,0,0,0,19,19,36,22,30,57,4,4,10,47,53,100,279,127,405,1355,1134,2494,273,325,599,5,3,13,14,3,16,293,337,626,668,1279,1942,2157,3744,5898,346,302,645,36666,31427,68097
21305,4368,3837,8207,246,358,607,14,6,21,23,28,49,194,50,248,38310,25464,63774,2096,2984,5079,571,3,576,317,18,338,240,42,280,379,170,542,460,502,957,47204,33455,80663,874,766,1640,0,0,0,193,201,396,1235,822,2056,175,347,530,120,37,162,2601,2181,4785,0,0,3,3,4,3,20,19,37,18,54,75,5,5,17,50,82,133,417,222,642,3074,2487,5556,826,878,1708,4,10,19,18,9,27,855,894,1748,1191,2350,3543,3026,4973,8001,561,422,983,55907,44579,100495
21401,846,673,1521,294,319,616,12,3,19,10,5,11,40,28,66,24779,20816,45597,1389,1382,2773,436,14,447,193,14,208,150,42,190,190,75,267,383,446,827,28727,23821,52547,187,135,321,0,0,0,31,21,47,369,243,605,50,67,114,32,6,36,659,468,1135,0,0,0,0,3,0,16,8,22,31,40,74,9,7,13,54,60,114,238,107,348,950,643,1591,137,132,267,7,0,3,4,3,5,145,136,282,857,1376,2239,2119,4044,6159,304,286,588,33101,30305,63406
21402,301,146,454,211,148,361,15,13,21,15,10,24,18,15,35,25586,21803,47394,1354,1402,2752,590,11,600,104,12,112,172,49,221,251,134,390,1033,704,1744,29654,24450,54101,57,27,92,0,0,0,10,3,14,319,164,479,14,30,47,5,0,5,405,225,629,0,0,0,0,3,3,7,11,20,25,29,59,9,3,11,36,49,89,259,112,372,699,391,1088,97,70,163,4,5,10,8,9,17,108,84,193,1772,2584,4352,2520,4549,7070,344,341,690,35097,32401,67498
21501,13,9,16,45,38,84,9,3,11,3,7,10,11,13,21,8750,7528,16276,574,589,1168,217,7,226,47,13,63,146,35,180,220,53,269,906,694,1602,10935,8985,19924,0,3,3,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,5,3,9,0,0,0,0,0,0,3,0,6,0,6,6,3,0,3,5,10,12,90,38,121,98,46,143,3,0,3,7,0,7,13,0,13,19,0,19,1240,1041,2282,997,1736,2731,180,143,325,13459,11956,25418
21502,4,3,9,78,39,119,7,0,6,4,0,3,13,13,24,8430,7511,15945,657,749,1406,150,5,159,76,8,86,93,32,128,102,42,148,460,382,841,10087,8778,18864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,4,11,15,0,0,0,7,13,17,47,46,90,56,51,115,0,0,0,0,0,0,12,3,17,14,3,21,525,556,1082,810,1304,2111,181,135,312,11669,10835,22501
21503,6,3,7,25,24,49,5,0,7,0,0,0,10,9,19,5580,4293,9866,358,373,731,130,3,137,61,8,66,82,28,110,113,33,141,563,562,1126,6923,5337,12261,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,4,8,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,7,0,6,35,15,57,42,22,67,0,0,0,0,0,0,7,0,7,8,0,8,751,664,1413,512,923,1435,149,127,269,8391,7064,15456
21601,8,7,13,20,14,39,0,3,3,0,3,7,9,11,15,5770,4920,10686,318,314,627,143,7,148,102,25,125,82,32,117,77,27,104,412,374,786,6928,5737,12666,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,3,52,19,77,59,21,87,3,0,3,0,0,0,0,0,0,7,0,7,673,573,1249,640,1137,1777,135,109,241,8444,7579,16022
21602,0,0,6,16,14,28,0,0,0,0,0,0,3,4,3,4122,3476,7600,269,250,520,105,5,107,65,12,74,79,24,104,54,34,93,320,289,613,5044,4113,9159,0,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,3,0,5,35,23,60,43,24,68,0,0,3,0,0,0,4,0,4,5,0,8,551,456,1012,547,836,1389,93,84,178,6281,5522,11806
21603,14,14,26,42,45,86,3,0,3,0,3,3,19,21,44,10370,8789,19166,660,908,1560,167,4,170,101,12,118,166,53,218,103,34,130,526,441,970,12179,10320,22496,0,0,0,0,0,0,4,0,3,4,3,3,3,0,3,0,0,0,11,9,17,0,0,0,0,0,0,3,0,4,3,8,11,9,0,9,11,11,19,90,38,126,112,54,161,0,3,5,0,0,0,5,0,7,7,3,13,637,637,1273,968,1619,2581,189,158,350,14091,12785,26876
21701,6,0,9,32,17,52,3,0,7,0,3,4,16,12,32,5408,4630,10037,306,329,633,150,8,160,56,13,76,61,14,71,98,34,136,456,378,835,6596,5434,12036,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,3,0,3,50,24,70,57,23,84,3,0,0,0,0,0,0,0,0,3,0,3,764,659,1424,715,1099,1818,125,112,239,8266,7329,15595
21703,13,11,19,28,13,40,6,3,8,3,0,5,12,8,17,5610,4645,10256,324,332,658,142,6,146,101,27,129,99,28,128,109,34,146,613,484,1097,7067,5592,12658,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,3,0,3,9,3,11,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,55,24,74,65,25,91,6,0,6,0,0,0,4,0,4,5,0,11,1030,832,1863,655,1190,1847,140,119,257,8967,7760,16727
21704,9,5,10,52,33,84,0,0,0,9,4,12,21,17,39,8255,7353,15601,610,657,1267,174,3,176,106,10,116,136,47,179,111,45,158,626,453,1081,10113,8618,18732,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,3,5,9,5,9,12,3,0,3,12,10,25,83,39,120,96,52,146,3,0,3,0,0,3,6,0,10,10,4,19,784,747,1528,952,1636,2589,140,127,271,12106,11183,23287
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,23,0,23
29999,60,36,101,22,18,42,0,0,0,39,49,85,10,3,10,582,275,859,70,59,126,17,0,17,14,0,14,17,8,19,36,16,50,140,83,227,1002,549,1552,9,18,24,0,0,0,5,9,20,4,7,8,0,0,0,4,0,7,29,35,64,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,13,7,14,39,41,83,14,9,21,0,0,0,0,0,0,12,9,24,25,38,69,138,134,274,19,18,33,1242,786,2033
