SA3_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
21101,45674,47544,93218,2199,2347,4544,330,335,672,15616,16412,32029,314,348,664,158,181,339,148,145,291,68,74,149,23,31,56,32,40,72,0,0,3,16693,17578,34270,2797,3342,6138,277,269,542,21961,23539,45497,3101,3327,6429,70740,74403,145139
21102,8240,8454,16698,363,371,731,50,51,104,2458,2597,5057,44,55,99,16,14,29,20,20,44,10,3,12,4,7,6,6,13,21,0,0,0,2607,2763,5367,425,429,848,39,42,81,3437,3597,7034,562,570,1130,12239,12624,24860
21103,29409,31373,60782,1605,1760,3364,276,277,552,12664,13686,26344,266,249,515,96,110,210,97,92,191,50,52,106,38,34,73,36,35,75,0,0,0,13524,14540,28064,2300,2559,4861,229,276,508,17661,19141,36799,2326,2723,5049,49396,53231,102629
21104,16767,18206,34979,797,838,1643,168,178,339,6002,6283,12289,131,146,275,82,69,153,71,80,152,42,39,82,16,18,35,31,40,72,0,0,0,6544,6847,13392,2178,2415,4593,128,80,207,9645,10186,19831,1062,1289,2348,27477,29680,57159
21105,43654,44165,87816,3812,4063,7877,343,375,717,14858,15880,30732,385,403,793,110,109,214,173,170,342,63,75,133,45,52,98,37,41,76,4,3,9,16011,17105,33115,1244,1390,2630,277,300,577,21343,22861,44198,3759,3872,7634,68750,70903,139650
21201,21414,21375,42792,2674,2936,5609,319,306,624,13313,14549,27858,309,311,622,73,91,165,113,93,206,46,50,93,37,55,90,27,31,56,3,3,4,14232,15478,29715,1123,1278,2401,227,203,432,18257,19899,38156,2712,2804,5509,42382,44079,86460
21202,36261,37092,73352,2551,2648,5198,327,319,650,13562,13719,27283,310,312,619,143,124,270,143,108,248,55,55,113,31,25,57,41,33,75,9,0,9,14620,14707,29328,3797,3805,7606,309,255,568,21281,21417,42697,3129,3159,6290,60669,61666,122333
21203,38464,38433,76899,2982,3024,6003,511,511,1019,23349,23524,46871,446,417,869,189,184,373,203,199,406,59,65,131,63,65,128,46,34,84,3,0,3,24872,25002,49874,4894,5641,10526,426,345,775,33176,34007,67186,4550,4560,9107,76189,76999,153190
21204,47351,48273,95618,5030,4635,9668,482,402,882,16462,15201,31662,387,319,705,203,144,344,184,141,322,71,68,133,55,42,94,49,35,86,14,0,15,17899,16352,34253,11906,10710,22613,583,381,961,35423,32080,67495,5792,5313,11111,88561,85659,174226
21205,42986,45717,88703,3176,3238,6407,615,619,1238,16328,15983,32304,483,461,942,257,269,533,253,267,517,176,172,345,74,77,152,129,108,234,0,0,0,18305,17960,36265,12565,13130,25693,357,298,652,34396,34626,69025,4125,4400,8522,81507,84737,166243
