SA2_MAINCODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
215021399,0,0,0,6,0,0,0,3,0,3,0,0,0,4,33,44,0,0,0,0,0,0,0,0,0,12,11,22,120,22,7,87,15,46,10,33,9,200,47,594
215021469,0,8,0,48,10,0,0,7,0,3,0,3,0,17,89,124,0,0,0,3,0,0,0,3,0,19,22,51,331,64,11,252,17,148,12,90,18,667,118,1734
215021470,0,4,0,27,11,0,0,0,0,0,0,3,0,7,80,110,3,0,3,3,0,0,0,6,0,26,30,73,325,73,10,208,21,137,9,99,22,631,120,1652
215031400,0,0,0,9,0,0,0,0,0,3,0,0,0,9,38,54,3,3,0,0,0,0,0,0,0,14,12,25,135,36,5,138,12,51,5,50,10,297,60,794
215031401,0,0,0,20,3,0,0,0,0,0,0,0,0,9,33,45,5,0,0,3,0,0,0,0,0,14,10,28,158,52,7,134,11,57,13,58,31,375,54,950
215031402,0,0,0,7,0,0,0,0,0,3,0,0,0,10,12,25,0,0,0,0,0,0,0,0,0,5,6,16,58,30,3,59,4,32,10,36,0,190,28,458
215031403,0,0,0,7,0,0,0,4,0,0,0,0,0,3,9,28,0,0,3,0,0,0,0,0,0,7,9,17,51,22,9,44,3,43,3,25,9,78,23,297
215031404,3,0,0,30,3,0,0,3,0,6,0,0,0,8,39,62,5,0,3,0,0,0,0,0,0,12,19,40,241,42,12,151,13,86,5,73,18,388,71,1091
215031405,0,0,0,25,0,0,0,3,0,0,0,3,0,6,35,52,0,4,3,0,0,0,0,3,0,18,4,31,141,30,9,122,10,71,5,45,12,226,42,712
216011406,3,3,0,38,3,0,0,3,0,3,0,0,0,12,58,92,6,0,0,3,0,0,0,0,0,29,19,55,308,77,17,229,16,111,18,107,26,661,103,1664
216011407,0,0,0,28,0,0,0,0,0,0,0,0,3,14,51,72,9,0,0,0,0,0,0,0,0,10,7,32,201,66,10,168,22,108,9,92,11,474,71,1235
216011408,0,0,0,13,0,0,0,0,0,0,0,3,0,5,12,26,0,0,0,0,0,0,0,0,0,3,3,17,91,28,5,75,7,44,6,39,10,131,27,464
216011409,0,0,0,12,0,0,0,0,0,0,0,0,0,4,20,26,0,0,0,0,0,0,0,0,0,4,3,13,71,21,5,62,0,48,4,35,4,206,34,496
