SA2_MAINCODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
207011147,78,254,43,20,13,628,210,62,485,103,57,38,967,14,8,35,11,11,0,78,9,8,42,15,35,9,118,35,10,102,30,34,27,232,1119,323,2575,704,563,175,5460
207011148,130,363,72,39,18,827,239,80,580,134,90,40,1173,15,7,44,21,20,3,113,17,11,65,33,54,4,183,40,14,103,33,34,31,259,1192,434,3308,893,848,224,6902
207011149,150,399,76,40,22,1003,304,128,608,127,82,35,1283,18,9,74,17,13,0,138,29,8,59,27,64,3,199,45,13,124,34,30,23,274,1680,607,3840,934,799,216,8079
207011150,100,317,60,28,9,737,238,97,533,109,54,29,1065,23,10,61,19,18,0,129,21,14,59,32,51,0,176,34,6,97,30,40,21,222,1269,508,3215,767,696,139,6597
207011151,147,452,54,40,8,1167,382,126,742,138,82,38,1511,26,15,107,26,27,4,214,30,12,82,38,81,3,238,55,12,134,37,28,32,305,2305,690,4964,1084,982,223,10246
207011152,98,337,57,25,3,790,246,84,429,90,35,21,896,23,6,60,26,23,3,134,15,8,54,23,48,0,149,48,13,115,18,27,27,244,1391,475,3198,740,644,155,6602
207011153,144,402,57,47,15,1046,495,155,941,153,74,59,1876,40,6,98,30,25,7,209,29,15,74,39,75,5,236,76,20,154,50,53,37,385,2051,668,4663,1065,977,276,9704
207011154,38,137,25,21,0,319,95,43,211,37,32,9,431,8,3,16,3,6,0,44,4,3,16,11,25,4,65,8,3,25,12,11,3,75,468,182,1130,296,306,54,2436
207011155,118,308,53,28,7,716,261,89,514,85,58,28,1037,16,11,53,15,12,0,111,30,12,50,18,30,6,143,54,13,100,14,27,18,220,1286,477,2962,676,557,154,6099
207021156,44,130,32,32,10,359,83,38,230,69,70,19,501,3,4,22,15,7,0,57,10,7,27,23,65,3,140,16,3,45,32,32,22,148,495,165,1417,545,691,150,3462
207021157,81,273,67,50,5,649,178,60,452,143,111,45,986,4,6,35,12,22,5,93,30,4,70,53,98,7,253,43,5,112,38,51,44,286,1118,326,2762,982,1102,249,6543
207021159,80,228,53,37,14,542,139,66,377,111,96,42,829,8,4,24,9,20,3,63,24,7,42,22,105,4,201,33,0,95,44,31,24,224,836,286,2283,778,996,237,5411
207021160,62,220,54,39,6,492,105,68,279,75,75,30,630,9,0,32,20,19,5,80,15,9,38,20,72,9,164,24,6,75,23,31,12,166,634,245,1796,702,838,165,4375
207021424,59,205,44,47,5,490,130,45,318,132,77,20,727,8,4,25,8,15,4,72,22,4,50,25,79,3,184,27,6,87,27,28,21,202,778,236,2043,729,850,153,4786
207021425,41,182,52,26,7,410,129,43,292,95,97,25,676,3,0,34,16,6,3,64,8,0,36,42,70,9,169,36,7,71,25,33,14,179,715,182,1836,663,746,158,4292
207031161,142,424,81,63,23,1009,201,127,540,191,123,33,1217,15,12,53,22,16,3,130,30,15,85,57,111,9,302,38,12,84,34,54,26,247,1273,564,3184,1154,1257,234,7666
207031162,66,215,44,37,7,474,63,62,257,94,82,20,579,6,4,29,8,12,0,58,21,7,28,16,58,0,131,25,4,36,16,19,9,100,562,256,1438,516,644,94,3513
207031163,114,305,64,43,10,786,161,90,536,149,100,35,1072,11,5,47,10,17,3,97,36,12,65,61,67,11,255,40,6,101,53,59,26,287,1278,413,2860,1011,941,175,6675
207031164,121,305,66,49,11,765,178,107,503,163,113,35,1100,13,4,50,14,15,3,106,23,11,57,40,79,3,212,27,9,89,39,29,15,217,1075,432,2578,911,977,171,6155
207031165,45,171,49,16,9,422,81,33,263,71,57,15,521,6,3,23,15,9,3,54,13,6,32,26,41,4,120,26,6,54,19,20,19,149,689,189,1487,549,533,107,3542
207031166,38,148,38,37,5,371,62,33,209,93,63,11,476,3,3,13,8,9,0,40,13,3,30,29,68,3,147,12,4,47,24,47,15,147,556,147,1317,512,574,94,3207
207031167,67,247,39,18,9,548,135,54,328,83,47,12,662,8,3,30,17,7,0,64,13,4,31,20,30,3,106,21,4,59,20,14,7,120,813,307,1890,495,435,88,4024
208011168,69,268,55,36,12,585,95,62,252,90,61,10,568,8,4,43,21,10,3,86,3,4,27,25,45,4,111,21,9,70,39,34,20,189,599,323,1990,786,826,163,4691
208011169,98,332,86,35,12,812,244,81,557,117,76,37,1102,27,9,81,26,30,3,170,21,10,64,32,79,3,215,59,16,180,57,44,39,395,1528,509,3940,1037,934,249,8197
208011170,86,245,65,33,10,611,145,66,348,99,69,24,745,16,8,59,28,17,0,125,7,9,42,26,68,4,153,37,14,101,44,40,22,250,884,358,2586,836,794,183,5646
208011171,80,208,66,38,4,500,81,56,198,109,86,12,543,12,4,32,19,17,0,79,5,5,32,33,63,3,143,7,3,50,25,45,21,146,504,270,1626,735,848,99,4075
208011172,101,291,83,45,16,714,170,68,421,139,81,21,898,9,9,64,28,19,3,131,15,8,57,27,61,5,175,31,7,105,46,45,29,260,1049,440,2783,990,943,173,6374
208011173,103,325,88,44,5,753,151,81,336,126,82,21,790,17,8,65,14,30,5,144,13,4,34,36,63,4,160,41,7,119,35,53,20,275,977,389,2645,932,966,172,6079
208021174,138,403,95,76,11,989,168,77,488,189,161,48,1122,17,5,66,37,22,3,154,12,7,79,44,104,6,262,41,5,94,56,63,25,283,1324,508,3404,1266,1372,243,8118
208021176,110,371,70,44,11,905,167,72,393,140,114,14,903,22,5,30,17,23,0,103,20,6,58,46,67,12,212,52,9,102,31,46,29,260,1483,426,3133,974,1000,194,7201
208021177,135,442,101,61,33,1079,297,77,674,124,93,43,1308,27,19,81,21,27,10,180,24,5,78,46,67,7,229,57,13,165,52,49,43,368,1500,509,3935,973,930,281,8132
208021178,117,352,97,38,15,843,212,73,543,142,88,38,1095,11,11,58,16,20,3,114,23,3,75,48,89,14,259,30,14,112,43,51,25,276,1091,429,3196,940,861,253,6768
208021179,76,235,51,29,9,541,132,64,328,81,52,12,672,17,4,44,24,12,4,102,16,6,39,28,60,3,147,20,8,79,21,25,18,170,787,361,2290,603,623,124,4783
208021180,45,131,26,22,0,324,61,21,178,58,52,10,391,10,0,22,3,7,3,44,10,0,21,16,34,5,90,18,0,33,15,18,12,90,510,154,1239,397,462,82,2845
208021181,78,197,25,36,10,476,94,50,234,81,56,20,530,10,5,38,8,9,0,73,16,0,40,15,50,0,130,19,3,51,19,26,18,129,662,285,1628,518,619,114,3828
208021182,87,240,71,28,3,626,118,56,328,116,79,20,725,18,10,46,16,16,0,104,8,4,48,30,68,3,171,47,3,79,23,31,16,205,1139,334,2368,793,718,152,5508
208021426,81,272,77,47,14,657,118,58,296,149,105,29,754,11,0,42,24,17,3,91,8,14,29,42,91,8,195,24,11,64,42,49,30,205,714,293,2089,885,1049,210,5241
208021427,75,220,62,40,12,526,92,51,248,126,99,18,643,4,5,38,16,20,3,92,9,0,39,28,95,5,181,18,3,47,24,37,21,150,532,262,1745,808,1040,157,4531
208031183,27,141,38,36,15,315,58,32,181,73,84,22,448,7,0,24,9,17,0,56,3,3,21,23,63,3,109,20,0,25,31,41,15,128,335,120,1054,587,874,153,3126
208031184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,3,4,0,12
208031185,53,164,57,53,8,384,48,38,208,126,143,14,575,0,0,30,11,18,3,69,3,0,20,28,96,7,159,12,0,22,30,95,26,190,254,167,1065,758,1498,153,3900
208031186,97,267,91,52,5,613,74,61,248,125,171,21,692,6,0,24,23,36,0,89,12,4,27,30,113,3,182,7,3,42,35,80,38,202,395,273,1468,941,1681,179,4932
208031187,20,58,16,23,3,148,14,16,104,69,54,12,275,0,0,11,5,10,0,29,0,0,7,22,43,3,79,4,0,14,11,39,9,77,115,57,450,337,689,63,1718
208031188,124,393,101,66,11,872,137,108,466,194,194,34,1129,14,3,46,40,40,3,145,21,9,52,72,151,7,312,37,6,78,46,113,33,309,891,442,2810,1451,1975,257,7819
208031189,91,310,66,47,13,645,60,52,246,112,109,12,591,3,3,33,19,30,4,95,9,4,26,40,85,4,180,21,3,51,30,59,14,181,431,252,1554,885,1349,139,4600
208031190,83,282,69,41,22,623,75,65,275,112,99,23,654,4,5,36,22,15,3,93,7,7,29,30,100,3,175,12,3,53,18,56,27,167,535,307,1761,838,1172,176,4789
208031191,54,157,33,20,8,322,51,30,166,84,94,14,437,8,5,15,11,16,3,57,8,3,28,28,58,8,126,17,3,37,26,34,15,131,344,159,1166,549,739,91,3041
208031192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208031193,151,434,109,81,18,1016,127,110,410,176,170,32,1020,9,5,51,31,29,9,143,15,7,28,67,135,6,255,25,7,71,47,67,24,241,797,490,2582,1345,1874,221,7301
208041194,109,350,70,28,7,821,298,125,674,120,65,32,1325,22,7,88,23,32,4,181,19,13,64,39,65,5,205,42,17,149,36,27,24,299,1597,550,4071,1031,790,217,8261
208041195,104,406,86,46,11,960,268,90,604,132,76,31,1202,14,16,72,22,21,0,145,17,6,47,36,69,4,181,52,13,103,51,52,27,286,1515,530,3794,1003,963,204,8005
209011196,48,146,49,39,7,357,47,33,177,112,128,16,511,3,0,18,12,14,0,40,8,3,21,28,59,4,122,14,0,33,13,56,16,133,306,131,946,557,926,119,2980
209011197,166,414,139,92,20,990,146,120,508,218,252,36,1287,10,7,38,40,28,3,124,14,14,38,48,164,9,288,12,10,51,28,79,30,214,693,502,2402,1270,2180,234,7280
209011198,139,310,65,39,16,826,186,101,456,121,109,33,1005,11,12,43,15,25,4,96,9,3,44,19,68,0,152,23,8,65,22,36,20,168,970,457,2275,729,919,140,5489
209011199,87,218,51,42,3,559,125,70,355,119,144,24,837,4,8,44,14,19,3,93,7,14,29,28,75,9,166,8,6,39,33,53,23,162,597,268,1520,678,1022,131,4222
209011200,105,245,36,27,7,628,212,88,376,95,65,30,873,9,9,47,14,21,3,98,16,11,33,16,43,6,127,21,8,54,12,21,16,133,965,374,2026,553,622,142,4684
209011201,51,158,22,19,3,388,155,26,248,40,26,14,513,6,7,30,7,10,0,57,9,3,21,19,28,6,81,18,3,52,11,11,7,98,603,213,1398,344,374,78,3011
209011202,147,386,103,79,9,914,130,102,377,166,151,30,950,13,9,54,22,31,3,124,12,5,39,52,106,10,225,12,7,47,27,75,18,188,645,436,2014,989,1695,180,5959
209011203,128,345,103,80,13,897,161,111,451,184,163,28,1087,7,10,40,20,19,3,100,16,7,39,30,94,3,186,11,4,67,29,49,27,189,890,432,2342,1016,1568,172,6414
209011204,55,183,44,36,3,388,49,45,209,94,113,14,533,3,3,21,10,15,3,59,9,0,18,21,79,3,131,7,3,24,17,31,15,104,278,167,986,558,999,89,3081
209021205,36,161,35,25,8,415,72,31,192,65,71,18,442,3,0,15,5,18,0,41,11,0,39,19,47,6,119,15,7,53,23,26,18,145,615,149,1231,515,612,140,3259
209021207,116,344,84,69,20,844,158,90,471,225,247,42,1223,18,6,63,30,27,6,147,16,7,62,71,151,4,309,32,0,97,55,107,93,383,1020,361,2690,1439,2087,357,7950
209021208,120,273,96,67,16,753,131,70,331,190,192,48,961,10,17,50,20,19,3,129,16,6,44,48,139,18,263,27,14,84,56,85,44,306,881,385,2241,1272,1811,298,6887
209021428,147,341,85,69,9,903,171,94,469,193,174,22,1119,17,15,83,27,26,3,177,18,5,46,48,86,8,211,20,7,83,38,56,42,246,1011,438,2670,1148,1422,235,6922
209021429,93,270,55,44,9,646,97,62,303,100,75,17,660,14,9,55,17,14,3,117,17,13,33,24,57,6,154,13,6,69,23,33,13,157,636,341,1815,692,834,133,4452
209031209,231,570,129,84,16,1326,214,116,532,264,216,39,1378,17,14,64,31,44,5,180,24,16,59,51,173,16,340,26,5,89,52,100,26,298,1058,651,3134,1456,2227,243,8766
209031210,34,101,20,22,0,207,14,21,73,50,47,6,210,0,3,13,5,14,0,28,5,0,7,8,38,7,65,0,0,14,4,20,5,46,78,95,369,226,500,42,1314
209031211,24,37,27,25,6,133,8,10,43,50,58,10,179,0,3,3,3,3,0,15,0,0,0,11,35,0,56,0,0,5,12,44,6,65,49,57,187,252,654,79,1275
209031212,38,108,31,32,3,260,43,39,83,46,41,8,262,4,0,18,8,10,0,43,3,3,9,5,47,3,74,3,0,22,19,34,4,88,153,123,537,334,710,87,1940
209031213,54,173,41,29,4,373,42,39,189,86,69,10,439,5,0,27,25,20,0,78,4,4,21,34,91,3,153,4,4,34,16,42,19,129,269,168,1041,614,1082,132,3313
209031214,62,153,38,25,9,363,65,38,142,65,48,8,368,4,3,18,15,7,0,48,6,0,18,15,43,0,83,11,0,34,15,21,10,92,309,173,881,449,645,72,2529
209031215,107,317,95,79,21,713,80,80,287,173,182,21,823,4,5,25,13,28,5,76,11,11,26,40,154,4,243,5,8,34,26,81,17,167,352,311,1435,946,1877,144,5059
209041216,22,84,23,14,5,210,52,23,178,60,57,9,386,3,0,3,3,9,0,21,6,0,18,18,39,0,83,24,3,39,14,25,10,118,335,97,819,395,528,79,2259
209041217,19,69,22,15,9,172,26,12,96,56,78,9,275,4,0,8,0,7,0,26,10,4,16,8,39,3,81,12,0,21,14,26,16,89,212,66,547,314,503,100,1737
209041219,55,151,47,52,12,382,73,36,214,138,186,29,674,6,3,3,5,13,3,38,12,0,22,50,141,11,238,20,3,55,48,110,46,278,408,154,1282,965,1666,297,4769
209041220,65,235,89,102,12,586,70,37,300,169,219,39,832,0,3,17,11,21,0,54,9,3,34,51,157,14,266,7,7,60,40,90,45,252,385,171,1576,1049,2009,279,5475
209041221,41,157,58,55,11,369,58,36,223,135,162,23,630,3,0,9,18,18,3,44,6,4,22,29,101,6,164,13,0,28,18,60,33,155,253,107,1050,666,1288,178,3543
209041223,28,106,48,52,13,303,62,22,200,131,188,26,637,3,0,11,14,9,3,42,3,0,22,34,138,9,211,14,0,45,41,104,70,276,358,109,1126,771,1487,288,4132
209041224,54,160,99,92,11,453,36,43,151,174,217,27,645,0,0,8,8,30,4,47,3,3,14,27,185,14,254,9,0,16,29,127,40,218,171,170,759,871,2475,267,4723
209041225,30,111,51,46,12,281,23,20,104,94,108,19,365,0,0,6,9,16,0,31,3,0,11,15,100,8,134,0,0,17,22,65,23,125,92,64,440,432,1240,155,2430
209041430,126,361,127,116,12,842,65,69,346,259,314,35,1094,0,4,25,27,23,0,81,7,7,36,61,247,8,356,9,3,31,31,127,34,240,350,284,1651,1464,3121,227,7095
209041431,32,104,46,53,6,278,40,20,196,139,155,42,579,3,0,6,9,16,3,39,3,0,20,36,101,7,171,6,0,22,30,82,42,185,245,93,840,643,1362,251,3433
209041432,17,57,34,22,4,162,21,14,116,83,98,20,350,0,0,8,7,9,0,24,0,0,18,17,53,7,106,6,0,28,17,40,21,104,169,54,559,413,785,118,2097
209041433,28,76,40,34,3,229,72,36,258,142,115,23,654,4,0,13,10,7,0,27,6,0,21,20,56,3,112,10,3,31,33,60,17,149,429,115,993,727,918,151,3338
209041434,76,193,75,84,11,525,78,66,331,220,265,28,993,3,0,6,12,21,4,50,10,4,24,37,158,0,234,8,0,33,37,68,25,180,491,216,1347,1058,2065,214,5389
209041435,47,146,54,48,9,360,70,41,221,142,151,24,654,0,0,14,12,14,7,46,10,0,24,24,107,7,182,13,0,30,16,59,27,150,366,142,1104,752,1395,189,3957
209041436,35,114,52,59,4,324,47,37,243,144,203,24,702,0,0,6,10,8,0,31,0,3,17,27,92,9,149,6,0,25,21,57,16,126,292,126,967,669,1409,152,3609
209041437,20,101,32,29,3,237,52,22,204,108,97,20,505,0,3,8,3,0,3,24,9,0,15,32,56,3,114,15,0,27,30,36,29,135,406,89,889,631,811,132,2964
210011226,34,130,43,31,7,302,34,19,126,63,64,6,311,0,0,11,9,10,4,31,3,0,17,17,53,6,90,3,4,19,27,32,17,104,189,97,743,485,832,96,2441
210011227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210011228,41,147,45,33,7,315,28,15,105,42,51,19,258,0,0,16,4,13,0,35,10,0,19,25,79,4,133,3,3,16,12,41,16,98,156,98,787,485,873,127,2519
210011229,134,382,107,85,14,879,116,48,406,146,184,35,936,5,9,45,30,25,8,129,10,5,41,66,196,16,342,20,0,79,50,93,58,303,628,341,2668,1292,2181,331,7442
210011230,43,150,29,36,8,326,46,25,114,57,39,10,290,3,0,9,8,15,4,40,5,6,19,16,39,0,86,14,3,25,14,21,6,88,257,137,852,469,667,84,2463
210011231,60,192,53,37,12,447,51,49,227,80,50,13,473,3,0,29,9,15,0,63,6,0,33,15,61,4,120,9,3,33,11,42,5,109,331,223,1337,526,833,127,3374
210021232,82,257,71,68,11,560,60,71,208,101,101,19,559,3,3,26,8,28,3,72,7,0,25,23,104,4,168,3,9,38,22,67,13,151,304,268,1213,786,1622,145,4350
210021233,37,88,17,13,5,198,16,20,63,21,28,7,155,7,3,7,8,6,3,30,3,0,12,3,19,3,39,9,4,19,3,13,8,57,143,104,408,186,315,59,1212
210021234,27,63,25,36,8,181,7,22,70,47,58,11,204,0,0,7,3,6,0,22,3,0,7,7,52,3,65,4,0,13,3,20,6,46,75,80,362,257,606,46,1430
210021235,54,123,54,54,7,308,18,30,96,89,85,18,335,4,0,12,14,27,3,54,4,0,4,16,113,8,150,4,0,11,18,58,21,115,123,139,589,539,1359,164,2911
210031236,88,120,36,18,5,365,70,37,148,38,54,7,356,11,8,35,12,19,0,82,14,3,36,14,38,3,106,16,3,30,11,28,14,90,393,202,998,420,500,73,2577
210031237,45,123,40,29,11,350,55,27,156,88,107,18,453,7,0,18,5,8,3,44,11,0,21,27,72,3,126,23,4,57,17,45,38,176,459,126,1016,524,808,171,3104
210031239,139,430,104,87,25,991,160,98,478,188,166,25,1114,12,5,66,37,35,6,162,11,9,62,45,140,5,282,32,7,85,61,98,41,317,1046,469,3086,1447,1996,286,8329
210031438,68,227,72,58,12,552,103,57,320,208,174,26,888,16,13,26,17,29,0,94,13,3,42,61,130,6,248,47,8,83,52,89,62,339,818,274,2073,1165,1622,327,6283
210031439,21,52,12,11,3,113,14,9,46,24,24,6,127,0,0,6,3,10,0,24,0,0,4,8,26,3,43,0,0,13,4,16,3,35,86,45,313,204,312,30,986
210031440,17,69,18,21,3,144,17,19,56,52,50,8,202,3,0,11,3,3,0,18,3,0,13,10,45,9,86,3,0,11,15,21,8,60,106,53,383,265,458,80,1339
210041240,57,198,72,80,13,462,32,45,175,132,160,15,561,3,3,14,10,25,6,56,7,0,15,33,126,8,180,4,7,14,22,74,12,127,176,160,891,758,1866,152,4006
210041241,130,384,124,149,23,914,82,85,336,251,352,57,1161,3,0,34,32,55,13,141,3,3,17,69,298,10,410,10,3,31,42,139,31,263,349,368,1759,1583,3919,367,8345
210051242,30,62,30,31,11,187,32,8,109,94,120,17,374,0,0,10,3,14,0,29,7,0,20,22,37,5,95,13,3,29,21,51,23,139,220,59,620,465,782,163,2302
210051243,13,90,38,33,11,220,18,10,73,112,116,22,344,4,0,12,3,8,0,26,5,0,9,24,69,5,120,6,0,37,23,63,38,157,143,49,510,451,886,186,2226
210051245,60,196,76,98,13,516,45,49,195,142,168,23,621,5,3,11,6,25,0,49,3,3,25,24,163,11,233,5,5,37,28,84,38,188,216,183,1149,948,2013,245,4754
210051246,52,210,66,69,16,477,60,27,211,115,121,30,565,0,0,35,15,12,3,67,3,3,27,49,168,8,259,9,4,55,36,90,33,225,329,147,1499,999,1829,247,5045
210051247,28,96,48,43,5,252,13,12,92,95,136,16,359,3,0,3,4,5,0,15,3,4,7,14,60,3,84,4,0,22,31,47,27,138,108,56,561,449,897,148,2231
210051248,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18,3,12,0,35
210051249,59,152,62,66,11,436,49,29,239,196,172,29,715,4,0,18,11,9,0,38,3,0,18,37,105,10,170,17,4,39,40,71,47,212,363,142,1207,870,1446,237,4267
210051250,26,73,22,28,6,174,11,21,62,51,65,9,225,3,0,6,14,10,0,35,3,0,9,14,47,0,77,8,0,16,8,53,13,97,97,66,433,357,779,94,1822
210051441,11,57,35,42,3,162,30,13,75,64,103,23,312,3,0,6,9,5,0,24,3,0,4,15,62,11,95,7,0,9,18,57,20,113,152,55,377,386,948,133,2042
210051442,34,95,36,42,5,255,45,23,157,135,128,24,519,7,0,0,7,8,3,23,5,0,21,34,80,7,142,12,0,28,36,55,9,144,343,108,831,719,1064,148,3220
210051443,23,106,67,63,6,305,60,22,209,165,162,15,642,3,3,8,12,27,0,55,9,0,21,44,132,3,202,11,4,34,28,82,46,211,400,95,1076,909,1713,196,4390
210051444,33,113,45,33,5,292,66,32,244,152,148,27,677,0,0,9,6,6,0,24,7,0,15,32,84,5,141,15,3,35,41,56,26,176,542,125,1196,907,1158,188,4108
210051445,11,35,17,19,0,98,19,4,48,41,26,6,148,0,0,3,0,4,0,10,0,0,4,5,42,0,59,3,0,4,13,31,7,56,84,34,263,240,455,51,1136
211011251,60,148,56,44,15,381,40,37,207,116,176,20,594,3,3,22,11,18,4,60,13,5,17,37,100,5,175,10,5,33,23,83,24,173,334,161,1103,730,1381,149,3858
211011254,71,230,49,64,7,516,67,50,295,156,178,16,765,5,0,24,18,25,0,65,17,4,37,41,123,5,231,17,5,55,21,86,34,223,510,225,1690,870,1552,166,5019
211011255,28,104,35,22,10,235,34,16,92,75,64,14,288,0,0,10,3,8,0,25,0,3,17,23,84,3,129,5,6,16,24,40,6,96,158,88,698,453,828,87,2307
211011256,64,223,83,41,11,516,63,54,299,163,157,28,762,3,0,27,15,18,3,71,7,3,47,37,166,4,265,24,3,49,27,87,32,224,496,208,1628,984,1717,197,5233
211011257,34,102,35,17,5,265,38,24,131,89,76,12,372,0,0,13,11,8,0,37,4,0,13,16,90,5,137,4,0,36,17,43,7,109,300,120,834,553,876,89,2769
211011258,23,137,52,42,9,331,72,29,196,93,98,27,512,7,3,9,16,25,0,52,3,5,22,30,101,6,168,14,3,40,39,60,23,170,352,121,1189,684,1155,154,3656
211011259,62,196,70,42,11,489,66,54,329,160,136,25,777,4,3,20,9,21,0,58,16,6,34,37,99,0,197,20,4,47,26,62,33,189,534,206,1582,860,1294,148,4631
211011260,86,278,71,54,11,636,97,58,367,184,161,30,897,9,0,33,21,21,4,83,21,7,45,45,123,8,250,31,10,85,40,72,19,258,766,298,2236,996,1433,198,5921
211011446,103,295,114,102,21,747,77,71,347,272,322,39,1133,10,0,38,36,36,3,121,9,4,37,68,217,14,361,14,3,51,61,145,51,329,494,272,1853,1386,2846,299,7159
211011447,72,181,65,67,7,463,60,55,205,143,212,27,711,4,0,19,19,14,0,60,9,7,44,41,119,10,224,0,0,38,31,86,20,186,329,196,1209,820,1812,147,4518
211011448,71,217,85,80,6,527,46,50,241,177,212,28,757,9,3,20,24,13,4,68,9,4,25,30,158,8,235,12,0,29,38,91,32,214,325,195,1253,964,2034,193,4958
211011449,27,62,24,30,0,169,14,19,73,50,65,6,225,0,0,6,6,11,0,29,3,3,13,16,37,4,70,0,0,12,10,32,15,70,78,77,349,292,630,60,1487
211021261,79,290,56,45,12,604,116,80,409,138,83,25,853,3,7,33,18,17,3,84,14,5,46,31,117,6,223,20,7,86,41,62,26,244,650,342,2258,856,1174,170,5456
211021262,54,158,49,36,9,390,87,48,207,107,88,23,557,5,3,20,10,12,0,54,10,3,26,23,88,3,146,16,8,50,27,53,21,175,359,192,1239,628,1085,129,3630
211031263,42,157,68,50,17,368,43,54,185,140,181,21,629,0,0,18,17,19,3,61,8,3,27,39,125,3,203,6,3,34,24,80,26,171,226,179,952,782,1702,171,4001
211031265,114,428,96,99,13,907,90,67,366,213,210,31,983,7,5,33,17,36,3,102,22,7,32,62,185,10,319,22,6,49,43,85,28,227,518,363,2027,1236,2200,212,6563
211031266,93,273,85,69,9,687,78,76,346,179,242,25,954,6,8,23,29,15,0,84,23,9,52,47,118,0,245,23,3,59,36,74,38,229,686,312,1968,1026,1687,177,5852
211031267,151,395,121,68,17,972,123,99,464,243,234,34,1196,6,4,42,26,36,3,117,27,10,69,40,137,6,295,21,4,70,49,78,31,247,840,429,2466,1251,1990,219,7186
211031268,65,187,62,32,7,448,52,51,199,97,95,21,515,0,3,17,7,8,3,38,8,6,28,26,71,4,145,10,3,37,19,28,24,130,346,203,1193,632,958,96,3423
211031450,94,228,89,61,10,570,74,64,285,195,239,27,885,3,7,25,7,20,0,65,11,0,40,54,137,4,246,11,5,27,20,89,22,176,399,269,1322,939,1876,157,4962
211031451,78,229,60,52,10,510,56,53,222,123,167,18,641,5,4,18,8,23,4,65,6,13,28,32,105,7,188,13,4,26,28,66,27,167,359,237,1252,748,1428,168,4191
211031452,26,82,15,22,3,172,12,21,87,59,67,11,252,0,0,12,4,9,0,22,8,0,9,14,47,0,75,3,0,10,10,18,9,54,93,79,448,298,587,62,1576
211041269,48,175,50,24,9,411,83,43,221,94,76,15,527,7,3,16,9,8,0,41,16,5,34,35,54,7,155,23,3,58,18,35,7,147,576,190,1425,592,657,86,3522
211041270,120,322,90,47,3,756,108,82,386,162,140,31,916,8,3,28,22,13,3,82,32,16,69,37,82,3,230,27,4,67,32,62,22,214,900,409,2458,967,1217,150,6105
211041271,72,182,59,31,6,472,83,70,261,105,112,21,651,4,3,23,6,13,4,52,13,8,47,40,63,3,175,23,3,53,20,34,19,155,597,275,1690,683,845,108,4206
211041272,64,181,63,50,14,499,84,48,241,111,80,12,569,3,4,14,11,6,3,43,20,5,29,20,59,4,146,12,3,44,23,29,11,130,536,206,1374,603,737,111,3575
211041273,55,209,44,32,8,466,68,28,228,93,80,21,519,4,0,21,15,5,0,46,20,6,42,27,58,3,145,21,0,38,26,39,12,139,622,181,1545,591,685,105,3726
211051274,97,225,68,76,10,587,57,31,168,122,121,20,521,3,3,29,9,22,0,70,10,9,29,32,95,11,182,16,0,33,31,56,32,174,317,225,1016,685,1306,148,3700
211051275,55,142,55,55,12,349,25,25,138,112,125,12,451,0,0,10,11,18,3,51,9,4,18,26,116,0,176,0,0,21,23,60,19,118,147,126,749,660,1445,119,3246
211051276,75,167,76,66,13,435,42,36,161,157,143,26,561,17,5,28,25,34,3,115,4,4,25,41,160,11,232,4,6,38,27,86,35,202,169,174,927,801,1872,223,4166
211051277,26,126,43,54,7,289,28,31,112,117,153,12,459,0,5,8,11,10,0,21,5,0,12,27,98,7,151,3,0,15,13,66,18,123,119,94,552,537,1351,100,2758
211051278,77,236,117,93,12,596,43,66,233,210,274,25,862,0,0,28,20,39,4,90,18,7,21,49,245,9,345,8,0,35,37,158,41,274,239,219,1230,1130,2843,236,5899
