SA2_MAINCODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
205051101,..,14,24,3,19,22,9,7,0,103,..,20,41,27,60,160,181,167,91,741,16,24,12,3,16,31,25,6,6,148,1216,662,721,717,842,980,703,376,128,6345,..,28,528,824,962,1229,901,405,59,4936,..,155,317,223,194,168,57,15,0,1123,..,14,93,124,147,57,25,19,18,506,2440,..,..,..,..,..,..,..,..,2440,..,573,..,..,..,..,..,..,..,573,..,412,164,50,36,25,0,0,0,693,..,58,14,13,15,30,30,15,10,178,..,30,27,7,11,4,0,0,0,85,..,38,49,18,36,43,29,9,0,224,..,53,108,114,150,308,324,247,116,1425,39,55,43,24,41,48,48,12,6,312,2474,1415,1354,1381,1591,1921,1414,722,212,12494
205051102,..,8,0,0,11,9,0,0,0,27,..,5,14,12,18,43,22,19,10,149,4,12,4,3,0,3,5,0,0,34,326,177,225,210,263,287,171,69,23,1758,..,13,209,251,339,378,273,82,13,1556,..,30,82,77,63,38,15,3,0,310,..,3,18,29,14,20,9,7,3,118,686,..,..,..,..,..,..,..,..,686,..,138,..,..,..,..,..,..,..,138,..,138,47,23,13,11,0,0,0,227,..,15,5,0,4,8,6,3,7,61,..,12,7,3,0,3,5,0,0,36,..,7,9,9,19,14,7,4,0,67,..,9,32,41,55,73,53,38,14,320,6,17,18,5,7,7,4,0,0,68,699,384,426,442,515,555,372,138,45,3587
205051103,..,51,46,13,22,21,8,5,0,167,..,37,72,64,126,195,204,209,125,1037,15,35,33,12,22,21,28,16,6,193,1280,747,888,846,935,881,639,408,204,6827,..,23,693,926,924,970,751,348,105,4744,..,173,351,194,162,102,36,14,0,1029,..,28,106,167,189,84,35,23,24,654,2610,..,..,..,..,..,..,..,..,2610,..,591,..,..,..,..,..,..,..,591,..,375,121,44,43,19,3,0,0,610,..,58,22,8,27,27,16,25,12,193,..,37,31,11,10,3,0,0,0,89,..,132,115,28,37,46,25,8,0,388,..,78,170,171,242,338,310,293,169,1768,40,78,55,35,48,41,38,29,8,372,2648,1575,1673,1582,1696,1625,1216,723,315,13058
205051104,..,3,3,3,13,16,14,0,3,58,..,6,16,16,36,70,79,64,46,339,7,4,13,0,9,11,12,8,3,71,327,215,198,226,352,435,329,176,71,2317,..,3,127,208,333,519,446,184,46,1868,..,46,103,89,100,91,42,8,0,472,..,7,31,36,48,35,14,17,6,182,677,..,..,..,..,..,..,..,..,677,..,190,..,..,..,..,..,..,..,190,..,126,50,28,17,11,0,0,0,230,..,20,4,0,6,8,8,7,3,59,..,11,4,3,5,9,3,0,0,30,..,13,10,3,32,27,28,4,3,114,..,25,35,40,106,180,164,115,67,729,20,17,21,9,16,19,14,9,3,141,696,448,387,428,660,886,721,336,125,4698
206011105,..,863,1161,211,47,37,20,8,0,2348,..,85,356,340,226,262,203,189,72,1739,23,72,107,34,26,25,23,23,8,335,1211,1768,3605,1998,1200,936,616,498,167,11996,..,51,1185,1524,983,760,552,389,101,5547,..,265,1957,966,402,195,67,6,3,3861,..,3,31,110,163,122,70,97,38,636,2445,..,..,..,..,..,..,..,..,2445,..,576,..,..,..,..,..,..,..,576,..,256,241,135,133,56,4,0,0,820,..,203,204,38,55,33,36,33,26,630,..,146,271,34,16,7,0,0,0,470,..,1538,2293,447,115,65,31,18,5,4514,..,160,697,636,437,494,347,272,108,3144,44,122,225,78,62,40,37,34,16,645,2492,3328,7099,3978,2364,1766,1145,847,284,23292
206011106,..,317,448,94,32,20,8,0,0,922,..,59,261,166,91,104,103,72,40,883,9,22,35,10,3,8,11,7,3,107,551,780,1702,905,525,383,266,215,76,5404,..,22,584,688,437,303,235,188,38,2494,..,147,915,406,168,75,22,4,0,1740,..,3,17,69,91,53,17,44,17,303,1102,..,..,..,..,..,..,..,..,1102,..,271,..,..,..,..,..,..,..,271,..,90,99,58,64,24,3,0,0,333,..,86,98,19,19,21,14,10,6,273,..,71,135,18,8,3,0,0,0,233,..,542,904,188,61,39,16,9,0,1745,..,99,470,307,172,157,149,105,49,1509,21,46,68,26,19,12,14,10,3,214,1121,1380,3283,1767,1035,676,479,368,115,10215
206011107,..,342,368,57,16,7,15,11,4,814,..,48,202,191,135,150,129,123,60,1043,14,38,47,13,20,13,14,6,9,167,861,913,1634,1022,765,585,409,293,118,6599,..,40,805,942,746,532,378,232,68,3732,..,135,691,336,163,112,25,11,0,1473,..,4,31,92,118,85,43,54,20,450,1742,..,..,..,..,..,..,..,..,1742,..,431,..,..,..,..,..,..,..,431,..,174,218,82,86,25,3,0,0,591,..,90,112,17,26,22,28,21,17,342,..,65,109,12,11,4,0,0,0,200,..,581,734,123,45,32,28,13,4,1558,..,81,405,377,272,282,228,161,87,1890,20,53,90,39,31,18,22,13,17,305,1763,1652,3198,2029,1493,1115,748,502,216,12711
206011108,..,379,526,107,48,39,20,4,4,1130,..,38,179,194,167,227,194,205,138,1343,21,52,77,27,24,37,28,28,10,305,2044,1540,2478,2035,1645,1246,822,646,288,12744,..,81,1306,2126,1791,1289,881,633,163,8280,..,137,918,723,382,175,37,7,0,2380,..,12,44,143,254,172,99,107,59,878,4013,..,..,..,..,..,..,..,..,4013,..,1057,..,..,..,..,..,..,..,1057,..,530,578,235,170,86,19,0,0,1620,..,134,174,55,41,65,72,58,38,645,..,151,258,44,20,14,5,0,0,488,..,728,1182,264,123,83,41,14,3,2443,..,76,330,356,354,394,299,286,186,2274,52,98,153,61,60,52,42,44,19,589,4059,2997,4946,4009,3190,2327,1501,1152,475,24655
206011109,..,37,40,10,12,11,7,0,0,118,..,5,30,32,50,84,64,90,63,420,10,7,23,8,5,4,8,9,8,81,906,562,578,753,728,501,305,249,124,4712,..,7,374,980,1013,589,361,236,81,3644,..,26,220,206,135,63,13,7,0,667,..,4,8,61,105,65,36,38,30,338,1850,..,..,..,..,..,..,..,..,1850,..,659,..,..,..,..,..,..,..,659,..,271,233,66,51,31,9,0,0,659,..,49,46,13,26,24,29,25,16,213,..,28,53,10,6,3,4,0,0,106,..,73,89,33,26,17,17,8,0,256,..,12,51,72,118,135,100,119,90,701,24,18,43,13,9,11,8,13,7,146,1872,1147,1110,1457,1481,939,569,431,226,9228
206021110,..,117,126,23,21,14,12,4,0,319,..,29,104,103,76,83,72,78,44,585,9,31,16,7,10,9,3,11,7,98,690,576,775,635,680,448,264,207,74,4350,..,13,403,640,765,489,269,178,32,2788,..,60,353,216,130,119,33,0,0,917,..,3,18,46,74,55,28,27,17,274,1349,..,..,..,..,..,..,..,..,1349,..,501,..,..,..,..,..,..,..,501,..,155,132,46,47,24,4,0,0,401,..,37,38,12,9,14,9,22,11,165,..,44,41,3,9,5,0,0,0,107,..,219,272,45,39,29,17,10,0,625,..,41,190,184,165,155,124,102,53,1013,19,40,42,20,23,13,11,11,6,182,1369,1113,1486,1210,1273,906,495,346,120,8319
206021111,..,332,748,164,53,41,18,3,0,1355,..,49,251,267,216,233,221,189,99,1523,30,64,95,32,21,21,24,18,8,304,1870,1318,2511,2027,1757,1084,700,520,197,11987,..,15,827,1786,1737,946,666,486,109,6568,..,126,1222,813,539,341,89,14,0,3140,..,6,28,139,245,144,70,87,44,757,3735,..,..,..,..,..,..,..,..,3735,..,1060,..,..,..,..,..,..,..,1060,..,321,269,156,153,55,8,0,0,960,..,114,156,36,42,39,31,37,24,490,..,78,177,30,10,5,3,0,0,310,..,514,1342,310,109,84,38,15,0,2420,..,92,436,466,409,413,360,295,142,2610,58,91,164,69,41,38,34,26,7,530,3793,2418,4621,3806,3289,2073,1293,959,332,22581
206021112,..,247,442,111,46,26,14,6,3,892,..,41,241,258,186,204,148,184,87,1355,21,32,56,33,17,12,16,13,13,199,1384,908,1877,1677,1182,789,482,447,174,8925,..,36,833,1531,1114,650,492,389,83,5126,..,105,830,600,344,169,45,14,0,2112,..,3,44,120,164,109,39,61,40,592,2775,..,..,..,..,..,..,..,..,2775,..,640,..,..,..,..,..,..,..,640,..,245,263,112,90,53,7,0,0,764,..,119,103,31,29,26,17,33,28,394,..,64,82,18,19,8,4,3,0,192,..,464,841,204,102,50,23,14,5,1713,..,75,417,438,377,379,256,254,124,2310,34,50,95,61,51,20,21,18,17,371,2816,1799,3503,3135,2283,1470,906,791,295,16991
206031113,..,151,250,37,30,11,9,7,3,498,..,33,146,135,140,175,130,100,37,902,13,28,27,17,10,13,13,16,5,140,1203,771,1436,1106,950,747,411,272,90,6984,..,19,786,1222,1025,756,418,215,54,4500,..,97,598,312,197,110,38,6,0,1363,..,7,60,127,154,121,39,35,26,568,2462,..,..,..,..,..,..,..,..,2462,..,655,..,..,..,..,..,..,..,655,..,230,243,76,65,31,5,0,0,648,..,91,97,28,24,45,41,26,12,360,..,47,74,13,11,8,3,0,0,158,..,297,488,94,70,37,17,12,8,1020,..,56,271,270,289,307,223,137,63,1615,26,53,64,29,24,19,22,18,3,259,2487,1563,2685,2178,1855,1424,803,446,171,13611
206031114,..,141,225,33,19,33,19,7,3,472,..,53,334,228,204,280,257,242,201,1804,12,43,64,22,20,27,11,12,13,224,2094,1781,2236,1790,1991,1547,879,560,329,13207,..,50,1446,2209,2607,1946,1063,506,155,9985,..,150,756,302,241,156,46,6,0,1669,..,3,48,166,278,178,59,49,55,837,4194,..,..,..,..,..,..,..,..,4194,..,1959,..,..,..,..,..,..,..,1959,..,691,566,117,84,62,14,0,0,1535,..,146,131,52,38,51,56,40,22,531,..,68,105,23,4,8,0,0,0,219,..,309,454,83,39,53,32,13,3,987,..,102,563,454,439,491,382,312,259,2998,40,85,106,46,40,49,29,21,19,425,4234,3559,4176,3455,3768,3005,1686,950,514,25339
206031115,..,212,212,28,22,17,4,4,0,500,..,47,157,148,92,116,113,88,38,804,18,32,37,11,4,13,7,3,0,127,706,749,1212,700,496,401,244,162,64,4725,..,29,673,586,392,273,170,79,18,2223,..,98,488,196,85,68,10,3,0,952,..,12,71,101,139,75,29,24,21,470,1408,..,..,..,..,..,..,..,..,1408,..,361,..,..,..,..,..,..,..,361,..,139,111,49,26,22,3,0,0,349,..,142,106,20,32,35,15,11,6,371,..,53,50,18,0,3,0,0,0,123,..,449,461,67,34,35,12,9,0,1075,..,93,301,265,202,214,175,114,54,1411,25,49,75,25,21,21,15,8,7,241,1428,1428,2331,1332,936,741,432,241,105,8976
206031116,..,138,158,34,15,16,3,3,0,373,..,32,138,125,108,135,143,148,95,919,13,28,38,18,11,10,10,15,7,147,1068,870,1192,1070,907,750,462,350,158,6829,..,25,678,1236,1191,863,533,278,79,4873,..,91,509,252,158,97,26,0,0,1142,..,5,18,71,107,93,27,44,31,402,2155,..,..,..,..,..,..,..,..,2155,..,731,..,..,..,..,..,..,..,731,..,280,242,75,69,41,9,0,0,710,..,84,87,23,32,27,36,27,14,328,..,64,95,21,3,4,3,4,0,196,..,300,361,75,33,38,16,8,4,832,..,51,251,211,215,247,263,205,129,1570,22,57,64,40,21,18,20,15,10,271,2177,1676,2307,1998,1831,1432,926,584,267,13199
206041117,..,1997,732,57,15,16,6,3,0,2824,..,991,385,139,117,109,122,46,19,1930,8,98,55,24,3,12,5,12,3,213,482,3911,2079,627,467,377,267,131,40,8386,..,45,595,420,302,269,186,100,15,1926,..,418,712,213,100,56,34,9,0,1530,..,3,47,96,138,70,38,23,6,423,996,..,..,..,..,..,..,..,..,996,..,323,..,..,..,..,..,..,..,323,..,95,120,43,20,10,0,0,0,287,..,481,161,22,15,25,12,13,3,725,..,150,123,7,3,0,4,0,0,287,..,3263,1468,135,37,24,23,4,3,4954,..,1847,724,301,251,208,210,90,32,3671,16,160,126,39,16,24,13,13,3,412,1014,6783,4062,1282,881,693,508,247,71,15544
206041118,..,380,333,38,13,11,0,0,0,776,..,133,203,116,83,71,33,14,4,657,6,20,25,14,3,5,0,0,0,76,341,946,1737,590,438,357,159,42,7,4612,..,53,1271,647,416,387,239,49,3,3055,..,194,627,182,129,82,23,8,0,1240,..,0,25,39,77,50,13,4,0,205,681,..,..,..,..,..,..,..,..,681,..,156,..,..,..,..,..,..,..,156,..,85,88,18,0,0,0,0,0,191,..,164,116,14,17,13,9,4,0,333,..,120,119,11,3,3,0,0,0,257,..,744,860,96,34,16,11,0,0,1765,..,239,444,298,200,151,65,21,9,1429,5,30,60,22,10,11,0,0,0,146,685,1777,3618,1324,886,709,364,89,11,9461
206041119,..,47,176,15,6,4,3,3,0,258,..,25,111,103,80,76,56,30,27,527,3,12,13,8,5,6,0,0,0,50,128,190,649,291,251,292,211,69,43,2125,..,7,205,187,212,328,280,69,16,1310,..,36,350,132,59,42,16,0,0,642,..,0,0,18,16,17,11,0,3,68,250,..,..,..,..,..,..,..,..,250,..,74,..,..,..,..,..,..,..,74,..,36,66,7,6,5,0,0,0,116,..,37,24,7,0,3,6,3,0,80,..,17,26,7,0,0,0,0,0,57,..,84,304,52,21,13,7,4,0,485,..,43,189,186,145,133,96,43,34,859,3,23,30,12,13,12,12,3,0,102,251,355,1194,605,471,548,422,126,62,4033
206041120,..,0,3,0,0,0,0,0,0,6,..,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,12,4,0,0,0,0,0,25,..,0,0,12,0,0,0,0,0,8,..,0,0,3,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,8,..,..,..,..,..,..,..,..,8,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,3,6,0,0,0,0,0,0,11,..,0,3,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,4,14,14,3,3,0,0,0,46
206041121,..,217,367,40,24,13,6,3,0,665,..,23,162,154,118,120,124,50,17,776,9,28,35,17,12,6,7,4,0,122,712,569,1551,895,578,408,255,120,42,5130,..,12,714,885,525,334,174,78,21,2742,..,73,806,362,160,98,23,13,0,1542,..,6,29,60,95,68,25,18,9,300,1440,..,..,..,..,..,..,..,..,1440,..,303,..,..,..,..,..,..,..,303,..,99,95,35,19,17,3,0,0,258,..,89,83,30,21,26,20,12,4,289,..,52,84,13,4,8,0,0,0,156,..,384,715,108,48,24,7,3,0,1288,..,56,286,282,212,229,202,89,34,1388,18,40,77,25,19,19,18,7,3,222,1453,1111,2891,1795,1100,811,467,224,72,9925
206041122,..,4165,1842,170,38,13,10,3,0,6236,..,1195,949,360,198,143,88,27,19,2991,5,124,117,16,11,13,8,0,0,300,504,7429,5857,1268,697,468,242,65,30,16573,..,195,2711,973,429,394,245,75,13,5031,..,1107,1850,378,155,82,37,3,3,3624,..,8,43,89,173,70,17,10,5,402,1000,..,..,..,..,..,..,..,..,1000,..,324,..,..,..,..,..,..,..,324,..,85,102,31,6,6,0,0,0,234,..,1402,518,58,30,28,12,0,0,2041,..,497,492,39,5,3,0,0,0,1042,..,7360,3743,371,83,35,21,4,3,11625,..,2215,1960,806,422,295,189,55,28,5964,9,203,223,50,30,28,17,5,3,570,1011,13393,11650,2805,1338,931,532,147,58,31864
206041123,..,1104,804,84,24,18,11,3,0,2051,..,307,347,189,135,161,129,91,29,1383,13,62,76,18,10,9,10,4,4,213,864,2233,2697,1130,769,509,340,179,50,8772,..,45,1020,994,656,422,314,118,28,3589,..,360,1247,404,213,96,28,10,3,2353,..,11,62,130,173,76,34,23,12,519,1731,..,..,..,..,..,..,..,..,1731,..,501,..,..,..,..,..,..,..,501,..,132,130,43,19,17,0,0,0,348,..,236,213,45,23,33,22,25,0,586,..,131,193,17,7,6,0,0,0,362,..,1999,1769,218,73,45,29,8,0,4141,..,576,702,391,310,313,232,144,46,2703,22,117,140,52,25,15,11,10,3,406,1754,4104,5478,2292,1497,1017,670,326,90,17229
206041124,..,278,223,23,4,3,0,0,3,528,..,55,92,42,32,45,38,32,20,356,0,37,19,5,0,3,5,0,0,66,191,578,689,248,176,174,125,63,33,2283,..,8,281,220,180,180,155,59,6,1087,..,76,269,78,45,24,17,3,0,522,..,0,12,20,24,29,5,3,0,97,383,..,..,..,..,..,..,..,..,383,..,130,..,..,..,..,..,..,..,130,..,39,47,12,3,0,0,0,0,100,..,67,37,12,3,3,3,8,3,136,..,54,49,0,3,0,0,0,0,111,..,558,470,31,26,8,4,0,4,1109,..,80,185,84,71,70,56,43,29,612,0,78,40,6,7,3,5,3,0,136,381,1099,1381,464,358,313,245,119,49,4410
206041125,..,86,136,26,10,6,5,0,0,266,..,34,157,112,79,75,87,66,35,651,3,4,29,6,4,5,7,5,3,60,201,303,757,349,285,287,273,132,52,2640,..,8,300,257,223,275,306,135,33,1538,..,65,401,140,66,44,37,3,0,754,..,0,4,13,46,39,8,3,3,125,392,..,..,..,..,..,..,..,..,392,..,151,..,..,..,..,..,..,..,151,..,49,55,11,6,4,0,0,0,119,..,43,42,5,8,0,6,7,0,116,..,11,48,0,0,0,0,0,0,63,..,134,253,46,16,12,13,3,0,472,..,53,289,200,160,139,145,93,62,1141,3,18,34,11,6,15,9,5,3,109,396,537,1420,693,532,520,523,252,108,4981
206041126,..,809,721,93,27,5,13,0,0,1671,..,274,504,256,130,108,80,32,5,1385,3,42,54,16,15,8,11,3,0,155,393,1846,3214,1013,559,489,285,79,23,7894,..,64,1654,896,473,525,339,111,14,4076,..,368,1414,353,112,68,37,0,4,2359,..,7,23,66,124,68,18,5,6,314,757,..,..,..,..,..,..,..,..,757,..,234,..,..,..,..,..,..,..,234,..,75,110,22,0,3,0,0,0,218,..,376,262,41,17,22,6,3,3,738,..,155,238,16,5,4,0,0,0,427,..,1527,1609,210,60,16,16,3,0,3447,..,501,1043,596,320,203,131,53,14,2857,8,85,108,41,29,21,15,3,4,308,757,3399,6470,2246,1143,928,562,178,43,15731
206041127,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
206051128,..,122,214,51,32,17,8,0,0,440,..,54,172,179,174,179,229,121,64,1170,12,16,39,11,19,23,7,10,0,132,980,653,1317,1102,1050,799,677,304,106,6985,..,13,678,1118,1032,867,797,337,95,4929,..,91,663,398,304,165,90,10,0,1730,..,0,13,75,139,77,30,28,19,386,1942,..,..,..,..,..,..,..,..,1942,..,523,..,..,..,..,..,..,..,523,..,139,140,42,51,15,3,0,0,390,..,87,79,23,11,16,13,19,7,257,..,24,58,10,3,3,0,0,0,106,..,248,453,117,56,36,24,0,0,938,..,104,343,338,318,360,363,199,101,2130,22,43,63,35,35,35,20,9,3,268,1971,1284,2497,2164,1959,1564,1343,608,218,13603
206051129,..,155,406,81,43,27,8,7,0,729,..,46,366,405,301,213,155,75,38,1605,24,29,60,35,20,14,11,8,4,198,927,654,1945,1436,1053,675,332,170,71,7251,..,15,649,994,808,566,280,110,27,3454,..,127,1152,590,322,175,57,4,0,2425,..,4,32,123,147,86,16,17,12,444,1881,..,..,..,..,..,..,..,..,1881,..,440,..,..,..,..,..,..,..,440,..,115,90,24,28,14,3,0,0,275,..,81,96,29,11,16,7,12,7,254,..,34,48,15,3,4,0,0,0,110,..,234,680,171,95,66,24,11,4,1288,..,90,595,677,541,361,261,122,56,2710,46,45,105,71,35,26,14,7,4,360,1924,1187,3450,2694,1984,1320,669,290,116,13633
206051130,..,58,180,58,15,13,16,11,0,353,..,19,199,351,224,245,230,160,55,1477,11,21,37,35,20,12,23,5,4,164,976,528,1455,1487,1121,900,678,339,97,7581,..,9,731,1275,1039,893,711,272,58,4987,..,101,852,509,318,162,71,16,3,2037,..,5,29,111,177,96,49,45,18,526,2007,..,..,..,..,..,..,..,..,2007,..,438,..,..,..,..,..,..,..,438,..,182,173,74,77,20,3,0,0,535,..,70,73,27,18,31,20,18,10,269,..,25,46,17,14,4,0,0,0,98,..,109,372,121,59,40,30,14,0,754,..,49,354,603,433,428,341,211,74,2505,27,35,69,62,37,31,31,15,5,321,2033,1016,2697,2798,2183,1712,1269,594,173,14471
206051131,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,11
206051132,..,137,223,55,19,15,6,3,0,454,..,50,198,188,163,176,156,98,34,1062,10,21,36,8,8,10,12,6,6,111,583,555,1304,866,673,550,401,198,68,5192,..,16,619,788,550,437,394,171,38,3016,..,101,682,333,208,108,56,5,3,1491,..,8,36,62,128,70,19,15,6,357,1172,..,..,..,..,..,..,..,..,1172,..,283,..,..,..,..,..,..,..,283,..,93,108,33,26,11,0,0,0,269,..,101,101,29,13,20,17,10,7,292,..,40,50,10,3,3,0,0,0,106,..,223,453,117,41,32,15,3,0,882,..,86,406,377,328,327,268,137,52,1978,13,29,67,33,22,13,18,17,3,226,1186,992,2510,1780,1318,1023,787,365,112,10078
206051133,..,361,674,135,51,37,13,3,3,1287,..,137,736,637,461,388,239,135,68,2795,19,61,107,43,29,27,13,3,4,300,849,1241,3592,1827,1327,955,532,238,111,10677,..,56,1282,1139,784,614,429,157,39,4498,..,438,2297,808,432,241,93,14,7,4326,..,5,43,99,186,140,40,19,23,543,1652,..,..,..,..,..,..,..,..,1652,..,446,..,..,..,..,..,..,..,446,..,128,141,40,31,20,7,0,0,358,..,132,148,41,19,29,18,11,9,406,..,67,125,15,16,10,4,0,0,246,..,616,1414,317,122,111,47,11,4,2640,..,266,1487,1227,991,786,486,231,119,5600,30,94,200,101,69,44,29,5,8,582,1682,2245,7142,3787,2651,1995,1146,448,203,21298
206051134,..,276,578,85,37,16,12,0,0,1003,..,68,347,388,222,196,175,108,66,1571,14,33,60,30,22,13,10,8,0,187,951,855,2319,1313,797,561,375,197,104,7477,..,86,974,988,548,386,246,123,31,3390,..,180,1241,517,281,118,34,17,0,2391,..,5,30,98,147,83,31,14,10,418,1920,..,..,..,..,..,..,..,..,1920,..,371,..,..,..,..,..,..,..,371,..,122,120,36,27,14,3,0,0,314,..,115,127,31,18,30,19,9,8,363,..,51,105,9,8,5,0,0,0,183,..,507,1144,229,100,39,33,11,0,2058,..,117,667,686,478,381,297,162,96,2883,36,51,108,64,35,22,17,11,3,341,1953,1601,4514,2661,1644,1075,682,348,154,14637
206061135,..,120,202,31,14,3,5,0,0,384,..,30,146,126,95,133,157,119,81,889,12,14,21,10,3,12,11,7,8,92,582,544,926,646,531,433,415,235,118,4429,..,13,492,625,570,438,417,208,37,2798,..,70,381,158,104,47,30,8,0,801,..,0,11,63,76,59,20,15,9,243,1135,..,..,..,..,..,..,..,..,1135,..,432,..,..,..,..,..,..,..,432,..,93,74,26,15,14,3,0,0,220,..,64,60,15,8,15,7,12,10,199,..,23,36,10,3,0,3,0,0,77,..,195,367,69,24,7,22,9,3,696,..,42,234,206,168,199,235,165,99,1347,14,24,55,25,13,14,22,10,9,181,1146,969,1714,1187,985,786,757,418,169,8131
