SA2_MAINCODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
212041313,24,6,53,27,26,17,3,5,0,158,0,0,0,0,0,0,0,0,0,0,9,3,6,5,10,7,0,0,0,50,6,6,15,8,14,9,4,8,12,82,473,934,578,304,460,252,101,134,39,3270
212041314,44,12,152,58,38,41,19,53,6,416,3,0,3,0,0,3,0,0,0,12,14,16,8,15,21,13,10,8,0,104,15,17,26,21,17,12,26,37,33,206,887,1875,1036,696,1061,504,447,510,119,7128
212041316,6,0,57,24,12,17,10,11,3,139,0,0,0,0,0,0,0,5,0,9,3,4,3,0,3,3,0,3,0,24,4,3,5,4,4,3,14,7,17,65,167,407,335,221,246,122,156,156,41,1859
212041317,26,3,164,62,24,33,45,40,6,414,0,0,6,4,0,0,3,8,0,24,3,6,12,10,4,8,11,23,3,84,8,10,27,25,7,9,23,38,43,191,314,994,765,579,477,354,421,597,117,4623
212041318,19,0,61,35,16,18,21,23,0,200,0,0,0,0,0,0,3,6,0,6,5,0,3,7,0,3,13,9,3,47,5,7,15,15,11,6,16,26,18,117,190,498,405,359,351,213,258,267,51,2590
212041459,27,3,137,36,17,16,44,46,6,334,0,0,3,0,0,0,0,3,0,9,5,4,9,10,6,0,8,13,0,62,5,10,17,23,20,10,17,25,22,143,240,690,559,545,444,233,339,452,66,3567
212041460,19,3,127,59,35,25,26,54,7,361,0,3,3,0,0,3,0,4,0,15,6,6,5,11,6,7,13,16,3,73,4,5,31,13,12,13,20,31,37,162,264,771,686,637,513,311,352,468,88,4098
212051319,43,13,106,27,35,20,5,14,0,264,3,0,0,3,0,3,0,3,0,8,16,26,11,13,15,8,3,5,3,97,7,12,21,8,16,13,4,4,25,100,1006,2428,684,558,821,446,144,251,92,6438
212051320,25,9,129,45,24,24,15,36,0,312,0,0,7,0,0,3,0,0,0,13,6,9,7,14,17,4,7,7,0,74,7,12,11,9,10,10,12,17,29,118,496,2173,656,569,717,439,233,439,97,5828
212051321,21,6,68,32,25,24,6,26,0,203,3,0,0,3,0,0,0,0,3,13,11,31,4,13,9,8,3,8,3,87,12,20,8,4,17,5,6,4,24,103,1073,2751,596,521,873,428,145,270,113,6771
