SA2_MAINCODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
214011371,6132,15279,1760,2809,513,993,2277,3804,659,1003,54,76,63,90,4,3,781,1178,0,3,5,8,0,0,15,33,20,41,26,60,9228,20362,1049,..,10279,20362
214011372,6532,16050,630,1044,104,235,732,1272,110,186,0,0,0,0,3,3,114,192,3,8,0,0,0,0,8,26,11,37,12,17,7401,17570,632,..,8027,17570
214011373,5565,15468,683,996,173,376,855,1375,40,51,8,9,0,0,0,0,46,64,13,15,27,34,0,0,0,0,37,50,10,28,6522,16984,557,..,7077,16984
214011374,6967,20196,1029,1808,92,208,1126,2016,73,151,0,0,0,0,0,0,73,151,3,8,107,130,0,0,4,21,119,158,0,3,8285,22527,476,..,8759,22527
214011375,4920,12172,1104,1739,396,763,1496,2506,193,282,79,114,8,4,0,0,276,401,0,0,40,45,0,3,11,16,53,64,6,3,6751,15149,747,..,7497,15149
214011376,3596,11113,368,897,188,493,551,1387,3,4,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4151,12503,275,..,4433,12503
214021377,3513,8224,348,635,336,770,682,1406,45,68,12,21,4,9,0,0,57,96,40,46,77,118,0,0,3,0,116,167,23,41,4389,9940,3372,..,7765,9940
214021378,1846,4524,0,3,3,3,4,3,7,10,0,0,3,8,0,0,9,18,0,0,0,0,3,3,8,19,8,22,8,14,1876,4577,1676,..,3557,4577
214021379,6734,17352,977,1681,163,307,1140,1985,30,43,0,0,3,5,0,0,30,51,9,20,28,41,3,5,3,5,49,68,11,23,7961,19479,1623,..,9585,19479
214021380,6614,16980,366,578,359,730,721,1304,1993,3156,38,63,0,3,0,8,2033,3231,5,11,110,144,0,0,4,9,120,166,15,28,9510,21711,1391,..,10899,21711
214021381,5435,15740,211,340,35,73,251,417,249,376,0,0,3,15,0,0,250,389,0,0,0,0,0,0,3,8,3,8,11,30,5951,16576,650,..,6603,16576
214021382,5510,15383,608,1127,219,494,827,1616,32,34,0,0,0,0,0,0,32,34,0,3,0,0,0,3,0,0,0,7,15,37,6385,17081,1558,..,7944,17081
214021383,6378,14344,189,281,47,99,239,380,11,24,3,6,5,12,0,0,20,42,31,48,6,8,5,12,4,7,43,64,15,34,6696,14871,12770,..,19469,14871
214021384,7293,16616,903,1301,136,256,1039,1561,257,363,0,0,0,0,0,0,263,363,25,32,56,69,0,4,6,6,92,115,41,67,8727,18722,4434,..,13159,18722
214021385,5350,15181,806,1358,78,169,878,1529,3,3,0,0,0,3,0,0,4,13,19,27,23,30,3,5,0,0,38,60,16,32,6288,16806,404,..,6698,16806
215011386,2802,6506,118,150,0,0,118,150,105,170,3,5,0,0,0,0,110,172,12,22,5,10,0,0,16,30,38,56,15,21,3076,6905,440,..,3519,6905
215011387,1120,2616,4,16,0,0,4,16,6,11,0,0,0,0,0,0,6,11,3,0,0,0,8,11,0,3,11,11,11,17,1144,2669,295,..,1439,2669
215011388,5606,13506,433,600,11,27,446,625,392,564,0,0,0,0,0,0,392,564,5,6,0,0,0,0,7,8,9,19,26,47,6481,14755,821,..,7305,14755
215011389,1220,3030,0,0,0,0,0,0,7,8,0,0,0,0,0,0,7,8,0,3,3,9,3,3,9,18,17,31,6,19,1246,3091,287,..,1538,3091
215011390,2540,5753,103,211,8,10,111,219,80,90,0,0,0,0,0,0,80,90,7,12,0,0,4,11,7,20,17,35,27,56,2769,6150,733,..,3505,6150
215011391,1383,2966,28,35,0,4,32,36,15,17,0,0,0,0,0,0,15,17,14,13,3,3,0,0,8,11,23,27,7,26,1464,3072,290,..,1755,3072
215011392,2954,6795,58,78,0,0,58,78,152,202,0,0,0,0,0,0,150,203,13,20,11,25,0,0,5,14,36,57,38,94,3231,7229,670,..,3902,7229
215011393,1081,2437,23,33,0,0,23,33,10,12,0,0,0,0,0,0,10,12,3,0,0,0,0,0,10,17,13,24,4,9,1139,2504,417,..,1554,2504
215011394,2538,5651,15,21,0,0,15,21,46,56,0,0,0,0,0,0,50,57,7,6,0,0,0,0,24,44,29,53,32,72,2664,5844,679,..,3335,5844
215021395,2243,6197,7,6,0,0,7,6,62,81,0,0,0,0,0,0,62,81,12,14,11,15,4,4,3,5,25,42,12,45,2351,6369,189,..,2536,6369
215021396,1579,4140,17,40,0,7,22,47,32,45,0,0,0,0,0,0,32,45,11,13,4,9,0,0,0,0,22,19,13,30,1662,4291,103,..,1770,4291
215021398,1335,3185,0,0,0,0,0,0,27,38,0,0,0,0,0,0,27,38,15,25,19,45,0,0,3,6,42,77,17,30,1417,3333,382,..,1800,3333
215021399,1931,5007,7,13,0,0,7,13,97,133,0,0,0,0,0,0,100,130,16,21,5,9,0,0,3,3,23,36,13,40,2069,5221,238,..,2311,5221
215021469,5158,13206,1031,1705,48,83,1076,1789,540,830,0,0,0,0,0,0,539,836,10,24,0,7,0,4,9,23,27,65,27,59,6830,15946,862,..,7689,15946
215021470,4388,11464,581,950,9,25,593,971,385,618,0,0,0,0,0,0,385,618,42,60,43,76,0,0,3,5,84,145,24,40,5481,13237,590,..,6071,13237
215031400,2330,5233,36,44,0,5,35,49,56,67,0,0,0,0,0,0,56,67,10,15,4,3,0,0,19,35,30,55,12,18,2455,5433,494,..,2953,5433
215031401,2557,5925,4,10,0,0,4,10,53,60,0,0,0,0,0,0,53,60,13,19,0,0,0,0,8,17,21,41,6,12,2649,6045,525,..,3170,6045
215031402,1487,3305,0,0,0,0,0,0,57,75,0,0,0,0,0,0,57,75,19,24,0,0,0,0,4,8,24,32,0,9,1572,3416,248,..,1813,3416
215031403,933,2668,20,25,0,0,20,25,30,61,0,0,0,0,0,0,30,61,16,30,19,21,9,27,6,3,42,82,3,16,1027,2852,160,..,1188,2852
215031404,3326,8348,248,393,11,8,259,404,359,589,0,0,0,3,3,0,360,589,20,23,3,8,0,0,6,15,26,45,54,119,4026,9509,438,..,4461,9509
215031405,2034,5117,7,6,0,0,7,6,21,36,0,0,0,0,0,0,21,36,12,36,17,27,3,7,12,25,41,97,40,109,2145,5369,326,..,2467,5369
216011406,4678,11792,665,995,18,30,679,1019,42,68,0,0,0,0,0,0,42,68,10,6,15,22,0,0,4,8,27,39,23,54,5442,12979,761,..,6198,12979
216011407,3583,9078,51,88,0,0,53,88,336,494,0,0,0,0,5,9,336,498,19,28,8,15,0,0,6,18,36,58,19,40,4031,9767,411,..,4443,9767
216011408,1266,3322,4,9,0,0,4,9,9,5,0,0,0,0,0,0,9,5,3,7,0,0,0,0,3,16,6,21,6,22,1296,3374,243,..,1542,3374
