POA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA3695,3,0,5,78,100,71,55,55,24,378
POA3697,5,4,16,108,143,57,66,79,40,487
POA3698,8,4,17,147,230,126,84,94,58,731
POA3699,9,5,27,162,238,128,97,171,130,923
POA3700,34,4,57,207,290,154,145,195,99,1090
POA3701,9,0,16,140,252,125,126,149,96,893
POA3704,0,0,0,7,8,4,5,3,0,20
POA3705,0,0,3,34,41,28,27,43,24,206
POA3707,39,30,90,262,394,205,182,301,195,1541
POA3708,3,0,3,4,14,9,9,8,5,52
POA3709,4,3,8,54,60,40,30,53,35,264
POA3711,6,0,9,65,117,69,55,67,48,421
POA3712,8,3,7,50,79,33,47,66,37,312
POA3713,27,9,53,140,193,101,93,253,147,933
POA3714,78,22,140,530,790,400,342,586,346,2994
POA3715,0,0,3,49,76,42,30,31,35,266
POA3717,28,19,64,351,545,351,262,444,269,2219
POA3718,0,0,6,10,16,12,10,10,7,70
POA3719,0,0,4,48,93,54,43,54,30,330
POA3720,0,4,9,91,111,79,67,64,76,487
POA3722,81,30,171,828,1126,554,436,690,414,4049
POA3723,9,6,29,480,646,328,268,449,354,2520
POA3725,0,3,11,91,118,95,66,78,70,517
POA3726,4,0,10,64,76,60,51,52,43,339
POA3727,0,0,3,48,50,21,38,64,44,265
POA3728,3,3,12,117,124,58,81,102,62,534
POA3730,187,105,383,1215,1800,892,754,1636,1022,7318
POA3732,3,3,12,97,141,67,53,90,46,486
POA3733,0,0,0,34,51,14,26,31,22,175
POA3735,6,7,20,108,132,80,57,82,43,510
POA3737,84,41,177,695,927,506,385,738,410,3666
POA3738,0,0,0,40,53,22,17,26,25,183
POA3739,0,0,0,37,50,32,9,18,17,172
POA3740,6,3,13,163,268,120,95,144,95,884
POA3741,37,28,108,495,735,357,247,437,369,2634
POA3744,3,0,7,71,112,57,51,50,27,367
POA3746,3,3,8,56,95,61,36,53,36,338
POA3747,57,25,120,696,1027,569,391,621,572,3877
POA3749,50,3,71,291,487,231,165,265,104,1545
POA3750,14,5,20,1299,1540,664,634,1815,635,6585
POA3751,0,0,6,30,55,25,18,76,34,236
POA3752,258,22,323,4219,4598,1927,1575,5062,934,18311
POA3753,5,0,3,351,445,211,177,367,157,1701
POA3754,53,21,109,6558,7579,3080,2795,5444,1668,27121
POA3755,3,0,3,57,42,30,29,41,14,218
POA3756,24,8,62,2038,2410,1002,887,1812,983,9136
POA3757,103,23,169,1505,1835,900,763,1377,721,7098
POA3758,6,0,8,405,476,235,187,281,130,1710
POA3759,6,0,16,185,278,137,79,128,75,882
POA3760,0,0,0,64,108,48,31,37,20,307
POA3761,0,0,8,221,270,156,124,115,105,994
POA3762,0,0,8,19,30,13,12,14,26,120
POA3763,3,0,6,253,369,168,127,214,119,1247
POA3764,100,28,175,1453,1913,820,766,1610,735,7301
POA3765,150,40,244,1327,1554,695,481,1113,330,5495
POA3766,7,0,11,244,314,150,102,126,50,992
POA3767,18,4,29,220,312,166,122,140,65,1033
POA3770,9,11,35,631,692,334,281,471,192,2601
POA3775,11,0,39,681,892,426,304,512,297,3118
POA3777,140,36,249,1838,2372,1177,926,1581,890,8785
POA3778,0,0,0,33,44,23,15,39,16,170
POA3779,3,3,3,75,92,29,36,64,54,351
POA3781,15,6,30,738,1050,460,344,537,327,3463
POA3782,47,20,131,1436,1858,944,686,990,432,6344
POA3783,12,3,24,417,527,280,197,286,154,1852
POA3785,0,0,0,15,19,14,7,3,11,65
POA3786,3,3,18,273,367,206,118,176,106,1250
POA3787,0,0,14,209,270,124,79,112,68,864
POA3788,8,3,16,278,459,228,180,191,87,1424
POA3789,0,0,4,61,72,51,14,17,11,229
POA3791,3,0,4,273,372,188,136,136,71,1172
POA3792,9,0,9,179,266,134,88,115,69,853
POA3793,23,5,67,646,800,416,326,484,182,2850
POA3795,17,3,34,244,280,139,106,190,68,1017
POA3796,38,16,95,1931,2151,1031,800,1368,478,7752
POA3797,53,7,90,560,716,386,344,563,295,2867
POA3799,50,11,98,967,1236,638,557,845,516,4753
POA3800,0,0,0,604,514,73,15,857,147,2204
POA3802,167,34,303,4392,4658,2079,1761,5709,1254,19853
POA3803,158,13,213,1754,1850,814,687,3031,597,8735
POA3804,130,15,168,1624,1640,753,600,1606,422,6644
POA3805,250,53,457,10307,10779,4627,3907,11954,2521,44099
POA3806,398,124,815,9320,10074,4529,3496,8178,2024,37615
POA3807,17,10,51,1443,1591,691,490,1075,306,5604
POA3808,23,3,38,524,682,341,231,420,183,2384
POA3809,10,5,16,1433,1595,602,519,1052,298,5502
POA3810,335,123,630,8327,9320,4011,3483,7990,2796,35914
POA3812,14,4,33,471,512,234,203,330,146,1898
POA3813,0,0,8,151,198,102,87,100,85,727
POA3814,8,7,29,380,452,243,205,323,173,1773
POA3815,38,12,61,513,584,307,266,480,242,2392
POA3816,13,3,29,436,550,274,232,432,210,2135
POA3818,206,63,366,2299,2956,1414,1318,2237,1131,11348
POA3820,135,129,424,2800,3506,1692,1423,2488,1133,13037
POA3821,5,11,31,485,639,365,294,331,228,2336
POA3822,3,0,11,165,185,109,98,136,67,770
POA3823,7,3,20,326,407,206,215,233,147,1524
POA3824,62,37,145,737,1034,534,493,780,440,4016
POA3825,301,108,592,2933,3954,2050,1970,4135,1857,16893
POA3831,12,10,46,287,353,233,195,191,151,1408
POA3832,4,3,3,29,43,38,28,33,43,216
POA3833,0,4,4,50,61,36,41,44,42,272
POA3835,3,0,6,66,98,66,38,85,30,379
POA3840,245,72,465,2377,3107,1647,1504,3310,1718,13660
POA3842,22,4,48,729,951,503,422,877,453,3946
POA3844,249,195,639,4682,6266,2881,2356,4665,2473,23326
POA3847,12,8,24,345,434,231,215,375,196,1794
POA3850,225,77,455,2309,3119,1503,1286,2501,1237,11951
POA3851,18,11,60,665,996,598,516,778,1312,4869
POA3852,0,0,0,30,22,4,0,28,3,83
POA3854,4,0,7,221,301,179,144,183,57,1088
POA3856,0,0,3,144,207,116,117,125,61,768
POA3857,0,0,4,59,77,50,44,57,21,304
POA3858,48,18,91,426,572,371,287,527,272,2450
POA3859,0,0,9,134,178,97,74,124,60,677
POA3860,78,32,167,1088,1452,801,769,1101,619,5837
POA3862,11,9,38,487,649,370,363,429,256,2554
POA3864,0,0,3,41,52,24,21,29,14,178
POA3865,3,4,7,71,81,66,47,65,41,367
POA3869,11,7,21,267,356,179,179,232,112,1325
POA3870,3,8,19,219,285,154,160,141,108,1068
POA3871,33,16,64,448,625,369,291,387,260,2384
POA3873,0,0,0,47,66,33,44,42,24,266
POA3874,4,0,10,80,124,76,53,126,41,494
POA3875,259,162,597,2756,3792,2021,1790,2990,1967,15311
POA3878,6,8,28,198,265,158,104,147,90,961
POA3880,97,50,205,583,867,532,407,789,412,3595
POA3882,4,6,19,156,246,148,132,152,87,925
POA3885,4,9,20,266,401,259,223,246,146,1545
POA3886,0,0,0,65,66,54,47,50,32,306
POA3887,4,0,3,46,73,27,43,80,35,298
POA3888,63,28,117,404,694,426,359,580,397,2850
POA3889,3,0,3,15,40,22,30,28,29,160
POA3890,0,0,0,31,62,37,39,61,47,274
POA3891,0,0,3,16,25,12,19,14,11,104
POA3892,12,10,39,143,263,155,118,165,87,936
POA3893,0,0,0,0,4,8,3,5,3,16
POA3895,5,0,7,25,41,25,30,31,20,163
POA3896,5,4,6,41,102,40,49,46,56,331
POA3898,5,0,7,113,150,71,74,109,122,639
POA3900,3,0,3,23,33,26,18,24,16,128
POA3902,0,0,4,57,89,66,43,61,27,352
POA3903,7,3,12,103,146,108,77,105,97,634
POA3904,9,7,26,219,354,207,160,183,140,1259
POA3909,87,107,270,1063,1577,888,860,1423,925,6726
POA3910,76,39,214,4578,5026,2215,1605,3615,1132,18173
POA3911,15,6,34,646,726,309,274,624,228,2823
POA3912,143,65,305,2894,3238,1542,1203,2518,919,12317
POA3913,16,8,38,663,773,381,279,463,177,2750
POA3915,102,42,199,1543,1930,934,796,2022,852,8076
POA3916,48,6,60,161,228,133,76,140,96,825
POA3918,25,8,47,606,873,417,317,514,242,2972
POA3919,5,6,18,520,704,304,290,496,215,2536
POA3920,0,0,0,280,117,43,44,452,39,968
POA3921,0,0,0,8,24,20,22,14,10,96
POA3922,160,60,341,1104,1852,898,664,1309,675,6505
POA3923,5,3,12,100,121,79,55,78,26,456
POA3925,37,10,89,568,799,379,305,481,248,2781
POA3926,23,15,75,551,786,409,324,351,260,2683
POA3927,20,3,45,269,432,211,143,200,148,1395
POA3928,0,3,6,75,109,63,46,38,28,352
POA3929,5,5,26,143,213,158,93,111,70,790
POA3930,202,57,443,3206,4041,2157,1489,2381,837,14109
POA3931,504,137,998,4404,5463,2602,1705,4389,1600,20165
POA3933,8,3,13,193,232,115,97,178,110,923
POA3934,260,69,535,3428,4231,2020,1448,2544,902,14578
POA3936,114,133,374,2076,2536,1226,843,1877,879,9434
POA3937,10,0,32,274,397,169,129,178,113,1262
POA3938,31,20,86,472,638,361,284,477,203,2431
POA3939,264,149,638,2366,3087,1560,1265,2747,1283,12306
POA3940,299,169,642,663,980,492,344,1255,605,4335
POA3941,107,77,307,1942,2654,1312,1073,2032,1043,10049
POA3942,24,26,85,380,545,309,190,354,276,2054
POA3943,35,12,85,270,414,207,150,275,160,1481
POA3944,5,4,26,97,119,80,71,78,39,481
POA3945,3,3,10,159,233,130,114,122,58,813
POA3946,4,0,11,35,51,24,19,38,16,176
POA3950,101,34,192,734,924,550,460,847,390,3912
POA3951,3,3,11,165,230,115,109,117,80,810
POA3953,110,49,237,1217,1607,939,763,1103,655,6277
POA3954,0,0,3,69,89,61,51,37,24,333
POA3956,8,9,43,405,568,343,296,357,429,2398
POA3957,0,0,0,51,46,45,24,34,15,219
POA3958,0,0,3,42,53,41,23,37,31,227
POA3959,10,8,29,169,264,142,118,129,106,927
POA3960,76,22,143,356,599,295,266,395,220,2139
POA3962,8,8,19,127,202,124,95,144,91,792
POA3964,0,0,0,22,27,21,28,15,6,117
POA3965,3,3,9,21,40,28,26,50,28,194
POA3966,0,0,6,80,112,68,52,97,32,442
POA3967,0,3,3,22,20,29,16,10,11,109
POA3971,54,48,152,596,842,481,418,677,436,3453
POA3975,138,3,163,2416,2672,1124,995,3184,755,11138
POA3976,80,25,166,3971,4013,1674,1640,6667,1806,19773
POA3977,408,216,901,16037,17624,7400,6296,17808,5461,70623
POA3978,20,3,34,1857,2162,860,693,1735,528,7842
POA3979,0,0,3,47,77,43,25,22,22,241
POA3980,9,3,31,562,695,330,266,511,292,2646
POA3981,49,27,105,805,969,481,409,778,441,3886
POA3984,26,27,95,797,1057,626,478,973,466,4395
POA3987,0,0,13,208,339,159,193,189,105,1189
POA3988,6,0,22,164,192,130,114,147,61,814
POA3990,0,0,0,14,23,14,11,16,13,97
POA3991,0,0,3,54,80,49,39,57,30,314
POA3992,0,3,9,165,211,107,89,147,67,783
POA3995,158,103,391,1512,2094,1085,963,1772,1064,8486
POA3996,106,41,227,833,1304,670,516,855,445,4619
